Reporting Area,MMWR YEAR,MMWR WEEK,"All causes, by age (years), All Ages**","All causes, by age (years), All Ages**, flag","All causes, by age (years), ?65","All causes, by age (years), ?65, flag","All causes, by age (years), 45–64","All causes, by age (years), 45–64, flag","All causes, by age (years), 25–44","All causes, by age (years), 25–44, flag","All causes, by age (years), 1–24","All causes, by age (years), 1–24, flag","All causes, by age (years), LT 1","All causes, by age (years), LT 1, flag",P&I† Total,"P&I† Total, flag",Location 1,Location 2
"Toledo, OH",2015,52,80,,57,,19,,3,,,-,1,,10,,"Toledo, OH
(41.655298, -83.535717)",
"South Bend, IN",2015,52,56,,38,,13,,4,,,-,1,,7,,"South Bend, IN
(41.675032, -86.251962)",
"Erie, PA",2015,52,38,,31,,6,,,-,1,,,-,3,,"Erie, PA
(34.1647, -114.300301)",
"Yonkers, NY",2015,52,22,,16,,5,,,-,1,,,-,4,,"Yonkers, NY
(40.932014, -73.896052)",
"Camden, NJ",2015,52,29,,13,,14,,1,,,-,1,,1,,"Camden, NJ
(39.945208, -75.118833)",
"Tampa, FL",2015,52,123,,80,,34,,6,,2,,1,,11,,"Tampa, FL
(37.8606, -78.804199)",
"Schenectady, NY",2015,52,33,,24,,8,,,-,1,,,-,3,,"Schenectady, NY
(42.814219, -73.944103)",
"Waterbury, CT",2015,52,26,,19,,5,,1,,,-,1,,,-,"Waterbury, CT
(41.554261, -73.043069)",
"Grand Rapids, MI",2015,52,72,,51,,17,,1,,1,,2,,7,,"Grand Rapids, MI
(47.925705, -97.036068)",
"New Bedford, MA",2015,52,17,,14,,3,,,-,,-,,-,,-,"New Bedford, MA
(41.63405, -70.92766)",
"Albuquerque, NM",2015,52,98,,64,,23,,8,,3,,,-,4,,"Albuquerque, NM
(35.084248, -106.649241)",
"Akron, OH",2015,52,56,,39,,10,,4,,2,,1,,8,,"Akron, OH
(41.084821, -81.515607)",
"Berkeley, CA",2015,52,11,,8,,2,,,-,1,,,-,1,,"Berkeley, CA
(40.692529, -73.990996)",
"Dallas, TX",2015,52,195,,120,,53,,12,,6,,4,,11,,"Dallas, TX
(37.691113, -122.472221)",
"Lincoln, NC",2015,52,56,,47,,8,,,-,1,,,-,4,,"Lincoln, NC
(40.813599, -96.70261)",
"Cleveland, OH",2015,52,226,,165,,43,,15,,1,,2,,5,,"Cleveland, OH
(41.505546, -81.6915)",
"Scranton, PA",2015,52,32,,25,,4,,3,,,-,,-,1,,"Scranton, PA
(41.409113, -75.662346)",
"St. Petersburg, FL",2015,52,245,,176,,48,,13,,8,,,-,18,,"St. Petersburg, FL
(27.772069, -82.638488)",
"San Antonio, TX",2015,52,,-,,-,,-,,-,,-,,-,,-,"San Antonio, TX
(29.425173, -98.494599)",
"Washington, D.C.",2015,52,72,,38,,27,,3,,1,,3,,3,,"Washington, D.C.
(38.892062, -77.019912)",
"Jacksonville, FL",2015,52,172,,107,,48,,13,,3,,1,,10,,"Jacksonville, FL
(30.325968, -81.65676)",
"Charlotte, NC",2015,52,166,,110,,41,,7,,7,,1,,7,,"Charlotte, NC
(35.222936, -80.840161)",
"Syracuse, NY",2015,52,69,,53,,13,,3,,,-,,-,5,,"Syracuse, NY
(43.047945, -76.147448)",
W.N. Central,2015,52,487,,361,,87,,20,,11,,7,,34,,,
"Seattle, WA",2015,52,,U,,U,,U,,U,,U,,U,,U,"Seattle, WA
(47.603229, -122.33028)",
"Baton Rouge, LA",2015,52,89,,59,,21,,5,,1,,3,,4,,"Baton Rouge, LA
(30.443319, -91.187488)",
Mountain,2015,52,1040,,740,,191,,77,,20,,11,,54,,,
"Mobile, AL",2015,52,45,,27,,14,,3,,1,,,-,2,,"Mobile, AL
(34.661541, -77.695461)",
"Lansing, MI",2015,52,51,,38,,11,,2,,,-,,-,,-,"Lansing, MI
(42.733625, -84.553927)",
"Springfield, MA",2015,52,27,,20,,4,,2,,1,,,-,,-,"Springfield, MA
(39.79936, -89.643624)",
"Detroit, MI",2015,52,86,,43,,32,,8,,2,,1,,6,,"Detroit, MI
(42.332916, -83.047853)",
"Allentown, PA",2015,52,37,,26,,8,,3,,,-,,-,1,,"Allentown, PA
(40.602753, -75.469759)",
"Hartford, CT",2015,52,64,,43,,17,,3,,,-,1,,3,,"Hartford, CT
(41.765775, -72.673356)",
"Shreveport, LA",2015,52,74,,55,,13,,4,,1,,1,,7,,"Shreveport, LA
(32.51424, -93.747757)",
"Norfolk, VA",2015,52,34,,28,,6,,,-,,-,,-,,-,"Norfolk, VA
(36.846164, -76.285913)",
"Fall River, MA",2015,52,21,,16,,3,,2,,,-,,-,3,,"Fall River, MA
(41.701025, -71.155389)",
"Utica, NY",2015,52,12,,9,,2,,,-,1,,,-,,-,"Utica, NY
(39.800598, -104.997498)",
"Trenton, NJ",2015,52,,U,,U,,U,,U,,U,,U,,U,"Trenton, NJ
(40.220572, -74.759709)",
"Kansas City, KS",2015,52,25,,18,,6,,1,,,-,,-,2,,"Kansas City, KS
(39.099792, -94.578559)",
"Rochester, NY",2015,52,151,,119,,23,,1,,5,,3,,6,,"Rochester, NY
(43.155708, -77.612547)",
"Savannah, GA",2015,52,38,,25,,9,,2,,1,,1,,3,,"Savannah, GA
(40.115007, -111.654713)",
"Somerville, MA",2015,52,1,,1,,,-,,-,,-,,-,,-,"Somerville, MA
(42.389121, -71.097145)",
"Montgomery, AL",2015,52,46,,36,,8,,1,,1,,,-,4,,"Montgomery, AL
(32.376547, -86.299651)",
"Newark, NJ",2015,52,21,,11,,6,,3,,,-,1,,,-,"Newark, NJ
(41.433057, -71.460182)",
"Dayton, OH",2015,52,112,,77,,22,,5,,6,,2,,6,,"Dayton, OH
(39.760982, -84.192203)",
"Bridgeport, CT",2015,52,54,,44,,7,,1,,1,,1,,5,,"Bridgeport, CT
(41.179195, -73.189476)",
"Elizabeth, NJ",2015,52,23,,15,,5,,3,,,-,,-,3,,"Elizabeth, NJ
(40.661927, -74.211653)",
"Pittsburgh, PA§",2015,52,,U,,U,,U,,U,,U,,U,,U,"Pittsburgh, PA
(40.442169, -79.994945)",
"San Diego, CA",2015,52,151,,100,,38,,7,,2,,4,,9,,"San Diego, CA
(32.71576, -117.163817)",
"Corpus Christi, TX",2015,52,,U,,U,,U,,U,,U,,U,,U,"Corpus Christi, TX
(27.796416, -97.404131)",
"New Orleans, LA",2015,52,90,,50,,29,,6,,4,,1,,3,,"New Orleans, LA
(29.950621, -90.074948)",
"Jersey City, NJ",2015,52,13,,10,,3,,,-,,-,,-,,-,"Jersey City, NJ
(40.717495, -74.044111)",
"Portland, OR",2015,52,89,,64,,18,,3,,1,,3,,5,,"Portland, OR
(45.516018, -122.681425)",
"Reading, PA",2015,52,35,,24,,7,,4,,,-,,-,,-,"Reading, PA
(40.336919, -75.921965)",
"Paterson, NJ",2015,52,26,,21,,2,,1,,,-,2,,3,,"Paterson, NJ
(40.916612, -74.172191)",
"Kansas City, MO",2015,52,88,,60,,16,,7,,3,,1,,3,,"Kansas City, MO
(39.099792, -94.578559)",
"Providence, RI",2015,52,73,,51,,17,,5,,,-,,-,4,,"Providence, RI
(41.824461, -71.412747)",
"Worcester, MA",2015,52,81,,60,,16,,4,,,-,1,,11,,"Worcester, MA
(42.262073, -71.802278)",
Pacific,2015,52,1537,,1094,,312,,79,,23,,29,,109,,,
"Gary, IN",2015,52,6,,1,,2,,2,,1,,,-,1,,"Gary, IN
(42.375508, -87.924192)",
"Long Beach, CA",2015,52,59,,43,,13,,2,,,-,1,,6,,"Long Beach, CA
(33.767168, -118.193723)",
E.S. Central,2015,52,948,,612,,236,,58,,33,,9,,58,,,
"Atlanta, GA",2015,52,156,,103,,34,,14,,1,,4,,4,,"Atlanta, GA
(33.748547, -84.391502)",
"Indianapolis, IN",2015,52,185,,98,,56,,17,,10,,4,,15,,"Indianapolis, IN
(39.76845, -86.156212)",
"Evansville, IN",2015,52,51,,41,,7,,2,,1,,,-,3,,"Evansville, IN
(37.975708, -87.569907)",
"Pasadena, CA",2015,52,27,,24,,2,,1,,,-,,-,2,,"Pasadena, CA
(34.14955, -118.141452)",
"New Haven, CT",2015,52,31,,12,,11,,5,,2,,1,,1,,"New Haven, CT
(42.856701, -78.741699)",
"Salt Lake City, UT",2015,52,138,,87,,31,,13,,4,,3,,9,,"Salt Lake City, UT
(40.758478, -111.888142)",
"Los Angeles, CA",2015,52,225,,152,,42,,21,,5,,5,,21,,"Los Angeles, CA
(34.052238, -118.243344)",
"Pueblo, CO",2015,52,22,,18,,2,,2,,,-,,-,,-,"Pueblo, CO
(28.151559, -82.351822)",
"Richmond, VA",2015,52,55,,36,,16,,1,,2,,,-,2,,"Richmond, VA
(37.540759, -77.433932)",
"Omaha, NE",2015,52,67,,55,,9,,1,,1,,1,,6,,"Omaha, NE
(46.07035, -93.666319)",
Total¶,2015,52,10718,,7381,,2345,,611,,229,,150,,609,,,
"San Francisco, CA",2015,52,111,,74,,26,,6,,1,,4,,3,,"San Francisco, CA
(37.78008, -122.420168)",
"Baltimore, MD",2015,52,205,,95,,67,,25,,12,,6,,7,,"Baltimore, MD
(39.290443, -76.612333)",
New England,2015,52,586,,419,,114,,32,,9,,12,,43,,,
"Memphis, TN",2015,52,180,,112,,46,,14,,7,,1,,11,,"Memphis, TN
(35.143378, -90.052136)",
"Chicago, IL",2015,52,219,,155,,43,,16,,4,,1,,13,,"Chicago, IL
(41.775002, -87.696388)",
"Miami, FL",2015,52,53,,37,,7,,3,,6,,,-,3,,"Miami, FL
(44.977479, -93.264346)",
"Knoxville, TN",2015,52,119,,75,,28,,10,,5,,1,,15,,"Knoxville, TN
(35.962631, -83.916677)",
"Canton, OH",2015,52,29,,24,,4,,1,,,-,,-,2,,"Canton, OH
(39.945208, -75.118833)",
"Columbus, OH",2015,52,212,,145,,46,,10,,5,,6,,11,,"Columbus, OH
(39.920765, -82.80058)",
"Boston, MA",2015,52,161,,113,,28,,8,,5,,7,,14,,"Boston, MA
(42.358894, -71.056742)",
"Phoenix, AZ",2015,52,174,,121,,26,,21,,2,,3,,8,,"Phoenix, AZ
(30.406931, -87.217578)",
Mid. Atlantic,2015,52,1583,,1178,,298,,60,,24,,23,,66,,,
"Fresno, CA",2015,52,128,,93,,28,,4,,2,,1,,13,,"Fresno, CA
(36.731654, -119.785856)",
"Chattanooga, TN",2015,52,87,,67,,18,,1,,,-,1,,3,,"Chattanooga, TN
(35.045756, -85.308287)",
"Spokane, WA",2015,52,79,,58,,14,,3,,1,,3,,7,,"Spokane, WA
(47.658999, -117.425022)",
"Austin, TX",2015,52,122,,78,,33,,8,,2,,1,,7,,"Austin, TX
(30.264979, -97.746598)",
"St. Paul, MN",2015,52,58,,46,,9,,,-,2,,1,,1,,"St. Paul, MN
(44.943719, -93.094281)",
"Philadelphia, PA",2015,52,,U,,U,,U,,U,,U,,U,,U,"Philadelphia, PA
(39.951061, -75.16562)",
"Minneapolis, MN",2015,52,52,,35,,10,,2,,2,,3,,2,,"Minneapolis, MN
(44.977479, -93.264346)",
"Peoria, IL",2015,52,48,,35,,9,,1,,1,,2,,7,,"Peoria, IL
(32.283586, -90.10038)",
"Tulsa, OK",2015,52,120,,83,,22,,10,,3,,2,,7,,"Tulsa, OK
(61.096484, -160.967455)",
S. Atlantic,2015,52,1333,,846,,340,,87,,43,,17,,69,,,
E.N. Central,2015,52,1841,,1240,,420,,117,,39,,25,,114,,,
"Milwaukee, WI",2015,52,61,,39,,16,,6,,,-,,-,2,,"Milwaukee, WI
(43.041072, -87.909421)",
W.S. Central,2015,52,1363,,891,,347,,81,,27,,17,,62,,,
"Lexington, KY",2015,52,86,,61,,15,,7,,2,,1,,2,,"Lexington, KY
(34.052238, -118.243344)",
"El Paso, TX",2015,52,165,,120,,34,,9,,2,,,-,1,,"El Paso, TX
(31.76006, -106.492257)",
"Rockford, IL",2015,52,62,,41,,16,,4,,1,,,-,3,,"Rockford, IL
(42.266802, -89.088377)",
"Youngstown, OH",2015,52,75,,48,,17,,8,,1,,1,,1,,"Youngstown, OH
(41.100083, -80.649387)",
"Tacoma, WA",2015,52,135,,95,,28,,9,,1,,2,,11,,"Tacoma, WA
(32.221878, -110.971225)",
"Des Moines, IA",2015,52,,-,,-,,-,,-,,-,,-,,-,"Des Moines, IA
(41.588822, -93.620309)",
"St. Louis, MO",2015,52,39,,24,,10,,3,,2,,,-,6,,"St. Louis, MO
(38.630276, -90.200309)",
"San Jose, CA",2015,52,195,,145,,32,,8,,6,,4,,8,,"San Jose, CA
(35.398134, -105.477067)",
"Glendale, CA",2015,52,43,,31,,9,,3,,,-,,-,4,,"Glendale, CA
(34.148138, -118.246437)",
"Nashville, TN",2015,52,238,,147,,65,,14,,9,,3,,9,,"Nashville, TN
(36.166687, -86.779932)",
"Fort Wayne, IN",2015,52,93,,67,,19,,4,,2,,1,,5,,"Fort Wayne, IN
(41.331128, -73.987189)",
"Wilmington, DE",2015,52,14,,11,,3,,,-,,-,,-,1,,"Wilmington, DE
(39.744432, -75.5451)",
"Little Rock, AR",2015,52,87,,56,,21,,4,,3,,3,,5,,"Little Rock, AR
(34.748745, -92.275105)",
"Lynn, MA",2015,52,,U,,U,,U,,U,,U,,U,,U,"Lynn, MA
(20.841375, -156.933118)",
"Camden, NJ",2015,7,34,,20,,12,,2,,,-,,-,5,,"Camden, NJ
(39.945254393, -75.11912631)",
"Hartford, CT",2015,17,59,,47,,9,,1,,2,,,-,8,,"Hartford, CT
(41.763492762, -72.674015739)",
"Honolulu, HI",2015,19,87,,70,,11,,5,,1,,,-,12,,"Honolulu, HI
(21.304852326, -157.857747981)",
"Lynn, MA",2015,15,10,,4,,3,,3,,,-,,-,,-,"Lynn, MA
(42.463701967, -70.95021832)",
"New Bedford, MA",2015,3,27,,19,,7,,1,,,-,,-,1,,"New Bedford, MA
(41.637673747, -70.930865995)",
"Savannah, GA",2015,25,39,,29,,8,,1,,1,,,-,2,,"Savannah, GA
(32.080910203, -81.091188258)",
"Hartford, CT",2015,2,76,,64,,9,,2,,,-,1,,10,,"Hartford, CT
(41.763492762, -72.674015739)",
"Gary, IN",2015,16,17,,9,,5,,1,,2,,,-,,-,"Gary, IN
(41.603712705, -87.337165861)",
"Evansville, IN",2015,7,46,,34,,9,,2,,,-,1,,5,,"Evansville, IN
(37.977083292, -87.564049986)",
"San Francisco, CA",2015,18,131,,88,,27,,12,,3,,1,,10,,"San Francisco, CA
(37.777122595, -122.419638255)",
"San Francisco, CA",2015,20,123,,92,,24,,3,,1,,3,,5,,"San Francisco, CA
(37.777122595, -122.419638255)",
"Atlanta, GA",2015,18,156,,80,,56,,10,,9,,1,,9,,"Atlanta, GA
(33.748313352, -84.391108799)",
"San Jose, CA",2015,15,215,,153,,47,,9,,1,,5,,9,,"San Jose, CA
(37.338581021, -121.885566523)",
"Montgomery, AL",2015,26,60,,38,,14,,4,,3,,1,,4,,"Montgomery, AL
(32.366807196, -86.299968424)",
"Canton, OH",2015,20,36,,30,,6,,,-,,-,,-,,-,"Canton, OH
(40.79781037, -81.371568026)",
"Elizabeth, NJ",2015,30,8,,4,,3,,1,,,-,,-,,-,"Elizabeth, NJ
(40.663811186, -74.211438656)",
"Chicago, IL",2015,29,,U,,U,,U,,U,,U,,U,,U,"Chicago, IL
(41.88425252, -87.632447765)",
"Kansas City, KS",2015,19,24,,10,,11,,3,,,-,,-,1,,"Kansas City, KS
(39.113522284, -94.626817552)",
"El Paso, TX",2015,12,96,,74,,15,,4,,1,,2,,4,,"El Paso, TX
(31.759162782, -106.487485931)",
"Shreveport, LA",2015,13,75,,48,,19,,3,,3,,2,,5,,"Shreveport, LA
(32.514610362, -93.747267014)",
"Salt Lake City, UT",2015,23,161,,91,,41,,18,,5,,6,,18,,"Salt Lake City, UT
(40.65968998, -111.913001387)",
"Syracuse, NY",2015,10,103,,86,,14,,1,,2,,,-,12,,"Syracuse, NY
(43.049993414, -76.147387001)",
"Lowell, MA",2015,27,28,,17,,8,,2,,,-,1,,3,,"Lowell, MA
(42.64588413, -71.312839916)",
"Pittsburgh, PA§",2015,23,38,,28,,9,,1,,,-,,-,2,,"Pittsburgh, PA
(40.438340807, -79.997468425)",
"Akron, OH",2015,9,77,,50,,18,,5,,1,,3,,5,,"Akron, OH
(41.084191894, -81.514058583)",
"Memphis, TN",2015,1,241,,148,,62,,19,,2,,10,,18,,"Memphis, TN
(35.149763174, -90.049247836)",
"Minneapolis, MN",2015,2,72,,44,,17,,8,,1,,2,,9,,"Minneapolis, MN
(44.979033073, -93.264925965)",
"Tucson, AZ",2015,26,135,,91,,38,,3,,,-,2,,4,,"Tucson, AZ
(32.221736133, -110.926475524)",
"Elizabeth, NJ",2015,19,15,,6,,6,,3,,,-,,-,,-,"Elizabeth, NJ
(40.663811186, -74.211438656)",
"New Bedford, MA",2015,15,35,,27,,7,,1,,,-,,-,1,,"New Bedford, MA
(41.637673747, -70.930865995)",
"Long Beach, CA",2015,28,54,,35,,15,,3,,1,,,-,7,,"Long Beach, CA
(33.76672318, -118.192397652)",
"Lowell, MA",2015,10,29,,15,,9,,3,,2,,,-,4,,"Lowell, MA
(42.64588413, -71.312839916)",
"Lansing, MI",2015,27,33,,23,,5,,3,,2,,,-,2,,"Lansing, MI
(42.731940407, -84.552249254)",
"Birmingham, AL",2015,25,182,,119,,44,,12,,3,,4,,19,,"Birmingham, AL
(33.520682342, -86.811758885)",
"Los Angeles, CA",2015,13,216,,142,,53,,13,,6,,2,,23,,"Los Angeles, CA
(34.053491483, -118.245319794)",
"Pueblo, CO",2015,5,30,,25,,4,,1,,,-,,-,2,,"Pueblo, CO
(38.254448885, -104.609137134)",
"Austin, TX",2015,14,124,,88,,19,,11,,3,,3,,10,,"Austin, TX
(30.267593273, -97.742986581)",
"Dallas, TX",2015,3,303,,192,,78,,17,,5,,10,,30,,"Dallas, TX
(32.778154096, -96.79539837)",
"Elizabeth, NJ",2015,5,20,,16,,4,,,-,,-,,-,1,,"Elizabeth, NJ
(40.663989214, -74.210699628)",
"Pueblo, CO",2015,21,30,,24,,6,,,-,,-,,-,1,,"Pueblo, CO
(38.263860486, -104.612368707)",
"Baltimore, MD",2015,17,,-,,-,,-,,-,,-,,-,,-,"Baltimore, MD
(39.29058295, -76.609259843)",
"Miami, FL",2015,24,81,,62,,15,,3,,1,,,-,6,,"Miami, FL
(25.774812797, -80.197726986)",
"Paterson, NJ",2015,20,15,,11,,3,,,-,,-,,-,3,,"Paterson, NJ
(40.916614001, -74.171635905)",
"Gary, IN",2015,1,15,,7,,5,,2,,,-,1,,,-,"Gary, IN
(41.603712705, -87.337165861)",
"Paterson, NJ",2015,10,16,,7,,7,,1,,1,,,-,,-,"Paterson, NJ
(40.916614001, -74.171635905)",
"Wichita, KS",2015,29,96,,67,,20,,6,,2,,1,,7,,"Wichita, KS
(37.68698068, -97.335578556)",
"Denver, CO",2015,16,79,,51,,18,,5,,,-,5,,1,,"Denver, CO
(39.740012153, -104.992297587)",
"Evansville, IN",2015,1,95,,71,,17,,6,,,-,1,,9,,"Evansville, IN
(37.977083292, -87.564049986)",
"Jacksonville, FL",2015,24,154,,112,,29,,8,,3,,2,,9,,"Jacksonville, FL
(30.331474176, -81.656215709)",
"Spokane, WA",2015,9,79,,57,,15,,3,,2,,2,,6,,"Spokane, WA
(47.657256257, -117.41227619)",
"Grand Rapids, MI",2015,28,62,,43,,15,,2,,2,,,-,5,,"Grand Rapids, MI
(42.966413417, -85.671176459)",
"Austin, TX",2015,28,92,,53,,24,,10,,3,,2,,5,,"Austin, TX
(30.267593273, -97.742986581)",
"Baltimore, MD",2015,21,,-,,-,,-,,-,,-,,-,,-,"Baltimore, MD
(39.29058295, -76.609259843)",
"Kansas City, MO",2015,9,148,,93,,33,,11,,6,,5,,17,,"Kansas City, MO
(39.102950303, -94.583075872)",
"San Francisco, CA",2015,19,94,,67,,12,,10,,4,,1,,7,,"San Francisco, CA
(37.777122595, -122.419638255)",
"Camden, NJ",2015,11,26,,22,,3,,1,,,-,,-,1,,"Camden, NJ
(39.945254393, -75.11912631)",
"Duluth, MN",2015,12,38,,26,,9,,2,,1,,,-,2,,"Duluth, MN
(46.787957607, -92.099847487)",
"New Bedford, MA",2015,7,30,,22,,7,,1,,,-,,-,,-,"New Bedford, MA
(41.637673747, -70.930865995)",
"El Paso, TX",2015,24,101,,65,,26,,7,,1,,2,,5,,"El Paso, TX
(31.759162782, -106.487485931)",
"Waterbury, CT",2015,6,35,,22,,10,,3,,,-,,-,4,,"Waterbury, CT
(41.554071522, -73.046169011)",
"Charlotte, NC",2015,17,142,,105,,29,,5,,2,,1,,6,,"Charlotte, NC
(35.222860105, -80.837958651)",
"Washington, D.C.",2015,9,119,,62,,38,,9,,5,,5,,15,,"Washington, D.C.
(38.890372584, -77.031956785)",
"Sacramento, CA",2015,27,235,,159,,56,,12,,5,,3,,21,,"Sacramento, CA
(38.579330516, -121.490895555)",
"Ogden, UT",2015,19,42,,26,,12,,1,,1,,2,,3,,"Ogden, UT
(41.222361187, -111.970475972)",
"Scranton, PA",2015,23,17,,15,,2,,,-,,-,,-,,-,"Scranton, PA
(41.410153881, -75.660778037)",
"Kansas City, KS",2015,23,27,,13,,12,,2,,,-,,-,2,,"Kansas City, KS
(39.113522284, -94.626817552)",
"Des Moines, IA",2015,13,,-,,-,,-,,-,,-,,-,,-,"Des Moines, IA
(41.589761958, -93.615646303)",
"Trenton, NJ",2015,20,33,,19,,8,,6,,,-,,-,,-,"Trenton, NJ
(40.217880783, -74.759398894)",
"Tucson, AZ",2015,9,184,,135,,40,,6,,2,,1,,8,,"Tucson, AZ
(32.22155133, -110.969756668)",
"Fall River, MA",2015,26,18,,14,,1,,3,,,-,,-,,-,"Fall River, MA
(41.701489621, -71.155046142)",
"Washington, D.C.",2015,13,87,,52,,20,,7,,,-,8,,4,,"Washington, D.C.
(38.890372584, -77.031956785)",
"Fresno, CA",2015,21,129,,97,,22,,6,,2,,2,,11,,"Fresno, CA
(36.740681734, -119.785725806)",
"Jacksonville, FL",2015,1,227,,155,,54,,11,,4,,3,,12,,"Jacksonville, FL
(30.331474176, -81.656215709)",
"Rockford, IL",2015,14,69,,55,,9,,5,,,-,,-,3,,"Rockford, IL
(42.266902195, -89.07834614)",
"Miami, FL",2015,22,72,,55,,9,,5,,3,,,-,2,,"Miami, FL
(25.774812797, -80.197726986)",
"Utica, NY",2015,28,12,,10,,1,,1,,,-,,-,1,,"Utica, NY
(43.09589128, -75.242575744)",
"Savannah, GA",2015,11,54,,40,,10,,2,,2,,,-,3,,"Savannah, GA
(32.080910203, -81.091188258)",
"Las Vegas, NV",2015,7,348,,261,,61,,22,,2,,2,,38,,"Las Vegas, NV
(36.171910966, -115.139967261)",
"Yonkers, NY",2015,26,12,,8,,4,,,-,,-,,-,,-,"Yonkers, NY
(40.931205964, -73.898748021)",
"Boise, ID",2015,16,81,,62,,15,,3,,1,,,-,2,,"Boise, ID
(43.606982959, -116.193408649)",
"New Bedford, MA",2015,29,29,,23,,5,,1,,,-,,-,,-,"New Bedford, MA
(41.637673747, -70.930865995)",
"San Antonio, TX",2015,19,265,,175,,56,,21,,7,,6,,6,,"San Antonio, TX
(29.42458231, -98.494606375)",
"Albuquerque, NM",2015,7,129,,93,,20,,10,,6,,,-,8,,"Albuquerque, NM
(35.0842329, -106.649048732)",
"Albany, NY",2015,26,62,,40,,17,,4,,,-,1,,3,,"Albany, NY
(42.652575532, -73.756228221)",
"Schenectady, NY",2015,1,28,,22,,1,,5,,,-,,-,5,,"Schenectady, NY
(42.812252781, -73.941017355)",
"New Orleans, LA",2015,25,44,,18,,12,,9,,4,,1,,,-,"New Orleans, LA
(29.953701483, -90.077749504)",
"Elizabeth, NJ",2015,15,14,,12,,2,,,-,,-,,-,1,,"Elizabeth, NJ
(40.663811186, -74.211438656)",
"Lincoln, NC",2015,19,64,,46,,15,,1,,2,,,-,3,,"Lincoln, NC
(35.485781434, -81.230882441)",
"Chicago, IL",2015,25,282,,175,,74,,23,,10,,,-,19,,"Chicago, IL
(41.88425252, -87.632447765)",
"Kansas City, KS",2015,14,42,,21,,14,,5,,2,,,-,3,,"Kansas City, KS
(39.113522284, -94.626817552)",
"Atlanta, GA",2015,22,152,,87,,42,,18,,4,,1,,8,,"Atlanta, GA
(33.748313352, -84.391108799)",
"Albany, NY",2015,9,55,,39,,15,,,-,,-,1,,5,,"Albany, NY
(42.651552455, -73.755207464)",
"Long Beach, CA",2015,26,56,,38,,11,,4,,2,,1,,6,,"Long Beach, CA
(33.766956015, -118.189225851)",
"Lynn, MA",2015,3,,U,,U,,U,,U,,U,,U,,U,"Lynn, MA
(42.463701967, -70.95021832)",
"Toledo, OH",2015,17,123,,88,,27,,4,,3,,1,,6,,"Toledo, OH
(41.653811799, -83.536258818)",
"Santa Cruz, CA",2015,24,35,,28,,5,,2,,,-,,-,1,,"Santa Cruz, CA
(36.97402108, -122.030946814)",
"South Bend, IN",2015,21,55,,42,,8,,3,,1,,1,,8,,"South Bend, IN
(41.679050291, -86.254035791)",
"Baltimore, MD",2015,10,,-,,-,,-,,-,,-,,-,,-,"Baltimore, MD
(39.29058295, -76.609259843)",
"Las Vegas, NV",2015,28,299,,197,,77,,20,,5,,,-,17,,"Las Vegas, NV
(36.171910966, -115.139967261)",
"Boise, ID",2015,20,77,,63,,12,,,-,,-,2,,3,,"Boise, ID
(43.606982959, -116.193408649)",
"Honolulu, HI",2015,8,70,,50,,17,,1,,,-,2,,8,,"Honolulu, HI
(21.304852326, -157.857747981)",
"Glendale, CA",2015,22,43,,36,,6,,1,,,-,,-,6,,"Glendale, CA
(34.146331966, -118.24863632)",
"Atlanta, GA",2015,5,195,,121,,54,,11,,8,,1,,14,,"Atlanta, GA
(33.748998178, -84.387978512)",
"Dayton, OH",2015,10,142,,108,,25,,3,,5,,1,,12,,"Dayton, OH
(39.759111071, -84.194437954)",
"Albany, NY",2015,25,51,,34,,13,,3,,,-,1,,1,,"Albany, NY
(42.651552455, -73.755207464)",
"New Bedford, MA",2015,6,30,,21,,7,,2,,,-,,-,,-,"New Bedford, MA
(41.637673747, -70.930865995)",
"Tucson, AZ",2015,29,174,,133,,30,,6,,3,,,-,2,,"Tucson, AZ
(32.22155133, -110.969756668)",
"Glendale, CA",2015,2,45,,40,,2,,3,,,-,,-,11,,"Glendale, CA
(34.146331966, -118.24863632)",
"San Diego, CA",2015,6,210,,150,,42,,14,,1,,2,,25,,"San Diego, CA
(32.715691385, -117.161718476)",
"Little Rock, AR",2015,18,126,,77,,33,,10,,3,,3,,17,,"Little Rock, AR
(34.748650322, -92.274489668)",
"Sacramento, CA",2015,12,255,,177,,60,,12,,4,,2,,19,,"Sacramento, CA
(38.579330516, -121.490895555)",
"Syracuse, NY",2015,22,105,,79,,17,,5,,2,,2,,6,,"Syracuse, NY
(43.049993414, -76.147387001)",
"Worcester, MA",2015,19,75,,61,,8,,4,,1,,1,,6,,"Worcester, MA
(42.263412285, -71.802187459)",
"Cleveland, OH",2015,13,247,,178,,54,,11,,1,,3,,15,,"Cleveland, OH
(41.504750432, -81.690719132)",
"Waterbury, CT",2015,21,22,,16,,5,,1,,,-,,-,2,,"Waterbury, CT
(41.554071522, -73.046169011)",
"New Haven, CT",2015,22,27,,20,,6,,,-,1,,,-,4,,"New Haven, CT
(41.307621675, -72.92461791)",
"Fall River, MA",2015,9,29,,23,,5,,1,,,-,,-,3,,"Fall River, MA
(41.697353421, -71.143648218)",
"Norfolk, VA",2015,23,43,,29,,14,,,-,,-,,-,4,,"Norfolk, VA
(36.846823884, -76.285058371)",
"Peoria, IL",2015,10,71,,54,,13,,3,,,-,1,,7,,"Peoria, IL
(40.692143915, -89.587757328)",
