BRAND-NAME,DOSAGE-FORM,PRODUCER,PRODUCT-IMAGE,LABEL-IMAGE,APPROVAL-DATE,REGISTRATION-NUMBER,TETRAHYDROCANNABINOL-THC,TETRAHYDROCANNABINOL-ACID-THCA,CANNABIDIOLS-CBD,CANNABIDIOL-ACID-CBDA,A-PINENE,B-MYRCENE,B-CARYOPHYLLENE,B-PINENE,LIMONENE,OCIMENE,LINALOOL-LIN,HUMULENE-HUM,CBG,CBG-A,CANNABAVARIN-CBDV,CANNABICHROMENE-CBC,CANNBINOL-CBN,TETRAHYDROCANNABIVARIN-THCV,A-BISABOLOL,A-PHELLANDRENE,A-TERPINENE,B-EUDESMOL,B-TERPINENE,FENCHONE,PULEGOL,BORNEOL,ISOPULEGOL,CARENE,CAMPHENE,CAMPHOR,CARYOPHYLLENE-OXIDE,CEDROL,EUCALYPTOL,GERANIOL,GUAIOL,GERANYL-ACETATE,ISOBORNEOL,MENTHOL,L-FENCHONE,NEROL,SABINENE,TERPINEOL,TERPINOLENE,TRANS-B-FARNESENE,VALENCENE,A-CEDRENE,A-FARNESENE,B-FARNESENE,CIS-NEROLIDOL,FENCHOL,TRANS-NEROLIDOL
Albivex DC Pure Vape T391 I 8398,"Extracts, sprays, tinctures or oils",CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3422161&GUID=53A383FC-4882-45B8-8A23-5FF6A9384646),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3422160&GUID=95AAE051-7B38-417B-9C26-2C820A3AAA66),04/13/2020 12:00:00 AM,MMBR.0007329,78.22,0,78.22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Androven CH T40% H 8375,Raw material (flower),CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3381767&GUID=4E55DB2F-0E7B-47D1-B693-05F74A77DC05),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3381766&GUID=C506F29B-7349-4AD9-9CA7-33DF299E118C),03/10/2020 12:00:00 AM,MMBR.0007131,39.60,0.11,39.60,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aniva T29 8408,Raw material (flower),THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3335685&GUID=7DD15DB8-9658-447D-A3B8-EF5B89E07B18),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3335673&GUID=42E8B62B-31C8-43FD-97A3-AF3A4A580B8E),02/06/2020 12:00:00 AM,MMBR.0006935,0.27,28.9,0.27,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aniva T30 8815,Raw material (flower),THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3423540&GUID=9A52C965-307F-487A-972F-7B7E64C7DD22),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3423538&GUID=A1E8DBB9-61E5-4513-A4E0-CF4E4AA593AE),04/14/2020 12:00:00 AM,MMBR.0007346,0.32,29.8,0.32,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aniva T30 PR 8816,Cigarettes (pre-rolled cones),THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3423550&GUID=3FA73127-A91C-49F9-B397-745EC73C7FDC),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3423549&GUID=C99B0B4C-9DA9-4761-A3AE-6A076C5BB9C8),04/14/2020 12:00:00 AM,MMBR.0007349,0.32,29.8,0.32,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C100 Tabs 8395,Capsules or pills,CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3422326&GUID=37AF82C9-5101-45F0-B1CC-8892BAC03FED),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3422325&GUID=91E6949A-3BAE-4390-B750-BA70FB8906EC),04/13/2020 12:00:00 AM,MMBR.0007332,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360X T796C1 8045,"Extracts, sprays, tinctures or oils",THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3301765&GUID=630B0DA9-FA66-4811-8F0B-65192CFBDF39),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3301764&GUID=5C039407-1548-4079-96F1-CF6C4B2EBC96),01/07/2020 12:00:00 AM,MMBR.0006730,79.8,0.10,79.8,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBD23:1 C25T1 8060,Capsules or pills,THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3305514&GUID=3713406D-ECC3-4FB1-BE01-38868AE2F6FB),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3305511&GUID=8BFF22BE-2A56-4DAD-958D-436BA91E3772),01/10/2020 12:00:00 AM,MMBR.0006755,0.38,<0.10,0.38,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aniva T834 8453,"Extracts, sprays, tinctures or oils",THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3365721&GUID=3432522D-6288-40F8-844E-98ACA3835C66),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3365716&GUID=162B9A2A-FB71-4C63-841F-216DBAAB51CA),02/26/2020 12:00:00 AM,MMBR.0007056,2.90,<0.10,2.90,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AnivaPure T200C1 8414,"Extracts, sprays, tinctures or oils",THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3347115&GUID=A8BFDA35-CB37-4B19-B5B6-7A55B173E1F5),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3347093&GUID=14DCF66A-DCB3-4874-A8F9-DB70CC753FAE),02/11/2020 12:00:00 AM,MMBR.0006965,78.9,0.49,78.9,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AnivaPure T200C1 8426,"Extracts, sprays, tinctures or oils",THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3360685&GUID=576B0DEE-85D8-4758-B578-22BEFDB4CD30),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3360684&GUID=D2834570-F1BE-49E0-864D-1D5F17202E03),02/25/2020 12:00:00 AM,MMBR.0007044,55.9,13.7,55.9,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AnivaPure T200C1 8502,"Extracts, sprays, tinctures or oils",THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3418057&GUID=5A0C438F-2927-43BC-B671-4E5526160991),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3418056&GUID=7A20537F-16DB-442A-AB93-ED94A2F30225),04/07/2020 12:00:00 AM,MMBR.0007296,67.9,5.13,67.9,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AnivaPure T350C1 8427,"Extracts, sprays, tinctures or oils",THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3360702&GUID=AEFAC7B5-DAFD-45B7-89B8-EE469DB1F9CD),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3360698&GUID=118742C1-A348-4DB4-B358-7C5D973CEE4E),02/25/2020 12:00:00 AM,MMBR.0007041,55.9,13.7,55.9,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AnivaPure T350C1 8503,"Extracts, sprays, tinctures or oils",THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3418068&GUID=894FAFAD-6FD3-4B4F-8BD5-333E5A1264C1),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3418066&GUID=ED364DAF-3730-49AC-B98A-0F4555534837),04/07/2020 12:00:00 AM,MMBR.0007297,67.9,5.13,67.9,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBD23:1 C50T2 8071,Capsules or pills,THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3305537&GUID=803F4FF9-26EF-4376-B817-E18D882B007A),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3305536&GUID=8A981597-C68F-4611-B6BB-C6EF3CF84D0A),01/10/2020 12:00:00 AM,MMBR.0006758,0.38,<0.10,0.38,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albivex T93% I 8318 TS,Raw material (flower),CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3323465&GUID=425A05AE-3A55-4C4C-81A2-0F8E2158D956),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3323294&GUID=BCB36059-66A4-44F8-9745-E97BA559C3DC),01/28/2020 12:00:00 AM,MMBR.0006862,11.51,81.60,11.51,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aniva T29 PR 8409,Cigarettes (pre-rolled cones),THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3335748&GUID=A47AE4A6-F6C2-4431-BD80-3C346C99F9A7),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3335745&GUID=E260E920-4B85-4099-82B6-5796B5567227),02/04/2020 12:00:00 AM,MMBR.0006916,0.27,28.9,0.27,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AnivaPure T350C2 8415,"Extracts, sprays, tinctures or oils",THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3347163&GUID=0B3CD168-A68F-4A50-AFDA-9DF9D9AE8A9D),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3347160&GUID=5DBBD916-50B9-42AF-87B0-3293838057D7),02/11/2020 12:00:00 AM,MMBR.0006962,78.9,0.49,78.9,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AnivaPure T708C3 8428,"Extracts, sprays, tinctures or oils",THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3360726&GUID=28604C8E-CB56-46CB-9E2A-BB3258C70A88),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3360724&GUID=FDB7CB53-30DE-423A-BAAB-6465F8A947DA),02/25/2020 12:00:00 AM,MMBR.0007042,55.9,13.7,55.9,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AnivaPure T757C3 8504,"Extracts, sprays, tinctures or oils",THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3418076&GUID=BF16168E-B19A-4D09-AE43-CB1F0F146897),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3418075&GUID=BF47F599-38AB-405F-9636-3C7E180981B1),04/07/2020 12:00:00 AM,MMBR.0007295,67.9,5.13,67.9,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AnivaPure T800C4 8416,"Extracts, sprays, tinctures or oils",THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3347264&GUID=7C6ADE02-7A14-4E9D-8AD1-CCEEBEFCCFAF),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3347262&GUID=C785CD96-4EF0-4D18-80B2-C76F3173BEBD),02/11/2020 12:00:00 AM,MMBR.0006964,78.9,0.49,78.9,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avengiva T30 8490,Raw material (flower),THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3410089&GUID=1C5D133C-7EB8-4F1C-9C48-FAF986C132BD),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3410088&GUID=3C29C62B-681C-4CD3-BF69-26CDD9C0281D),03/31/2020 12:00:00 AM,MMBR.0007246,0.26,30.0,0.26,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C200 Nano-Tincture 7903,"Extracts, sprays, tinctures or oils",CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3315037&GUID=09D3C025-5E5B-42A0-9318-02EFD8A2DCD3),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3315032&GUID=ACF52700-284E-44FD-BDC6-3B34BDFCD254),01/17/2020 12:00:00 AM,MMBR.0006800,<0.10,<0.10,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBD C465 8049,"Extracts, sprays, tinctures or oils",THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3289010&GUID=1BC4F292-B65D-47D5-8A14-3A910954B4D3),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3289003&GUID=9882685F-EECE-4B04-8406-B355B0BC3AA8),12/30/2019 12:00:00 AM,MMBR.0006673,<0.10,<0.10,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albivex Flower SC T31% I 7872,Raw material (flower),CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3276675&GUID=B064FAD6-6CF0-46C8-A0A3-19DC39E0063C),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3276510&GUID=E8E91CF7-502C-48A4-9BB3-B1F773ACEBD3),12/20/2019 12:00:00 AM,MMBR.0006651,0.25,30.80,0.25,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albivex Flower T31% I 7863,Raw material (flower),CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3257989&GUID=7D55F19A-B0B2-4E05-B154-A5EE06D9F356),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3257987&GUID=23DBA25A-0E0D-419B-97A6-78E0C5F11CEA),12/10/2019 12:00:00 AM,MMBR.0006562,0.25,30.80,0.25,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balinica T25 8425,Raw material (flower),THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3361062&GUID=9EE5F6D2-CBB1-479B-B076-D48DF18D2356),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3361060&GUID=BD24F5E4-3D0D-451A-9C76-0B1356CEA928),02/25/2020 12:00:00 AM,MMBR.0007049,0.38,24.9,0.38,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalinicaPure T200C1 8836,"Extracts, sprays, tinctures or oils",THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3442887&GUID=BDBD1752-2970-4957-AD63-516C52994880),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3442886&GUID=D76A964B-2CCD-4FE9-93AC-6143E2A8C84D),04/27/2020 12:00:00 AM,MMBR.0007422,68.4,6.69,68.4,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalinicaPure T350C2 8837,"Extracts, sprays, tinctures or oils",THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3442897&GUID=E1F9E33D-8090-4837-B344-9ACF23B50866),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3442896&GUID=2E4571C1-BB89-453D-8820-2683CC72AB9C),04/27/2020 12:00:00 AM,MMBR.0007428,68.4,6.69,68.4,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalinicaPure T698C4 8838,"Extracts, sprays, tinctures or oils",THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3442903&GUID=8949FFAC-C714-40CB-A4F1-6D5921A6FD92),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3442902&GUID=29B5F781-0AA1-4972-ADC8-2486FD2A0DDE),04/27/2020 12:00:00 AM,MMBR.0007427,68.4,6.69,68.4,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandolyn Flower SC T31% H 8379,Raw material (flower),CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3389595&GUID=F2D64F0E-6E0C-42CD-8F3A-782AC135B907),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3389594&GUID=14CFB2CF-6513-469F-8BA9-5850CA0B78DE),03/16/2020 12:00:00 AM,MMBR.0007142,0.21,30.95,0.21,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astroden Flower T25% H 8332,Raw material (flower),CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3334199&GUID=8A9E6AF7-7C28-49D4-8D57-91A46C7DAD20),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3334102&GUID=79CCA567-A8AA-4DD8-8066-FDECEAB76A11),02/04/2020 12:00:00 AM,MMBR.0006919,0,25.31,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandolyn Flower T31% H 8372,Raw material (flower),CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3377292&GUID=63A061FF-FA2C-41DB-80C2-E5ABD844CFC6),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3377290&GUID=3FB2B87C-5988-401A-A16E-2EE7CDAEC715),03/09/2020 12:00:00 AM,MMBR.0007103,0.21,30.95,0.21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
