PermitID,PermitApplication,FullPermitNo,FullApplicationNo,ApplicationDate,IssueDate,PermitFromDate,PermitToDate,ApplicationTypeName,ApplicationTypeOther,OldPermitNo,OldExpirationDate,OldGrossVehicleWeight,PermitServiceCompany,PermitteeCompany,IndustryTypeName,IndustryTypeOther,LeaseCompanyName,LeaseExpirationDate,Year,Make,Model,State,CDNo,SerialNo,ManufacturerGVWR,RegisteredGVWR,VehicleType,VehicleTypeOther,PermitType,OverallWidth,OverallLength,OverallHeight,TotalNoOfAxle,WheelBase,LoadInDescription,LoadInWidth,LoadInHeight,LoadInLength,LoadInWeight,LoadOutDescription,LoadOutWidth,LoadOutHeight,LoadOutLength,LoadOutWeight,SteeringWeight,SteeringNoOfTires,SteeringLoadRating,Axle2Weight,Axle2Space,Axle2NoOfTires,Axle2LoadRating,Axle3Weight,Axle3Space,Axle3NoOfTires,Axle3LoadRating,Axle4Weight,Axle4Space,Axle4NoOfTires,Axle4LoadRating,Axle5Weight,Axle5Space,Axle5NoOfTires,Axle5LoadRating,Axle6Weight,Axle6Space,Axle6NoOfTires,Axle6LoadRating,Axle7Weight,Axle7Space,Axle7NoOfTires,Axle7LoadRating,Axle8Weight,Axle8Space,Axle8NoOfTires,Axle8LoadRating,Axle9Weight,Axle9Space,Axle9NoOfTires,Axle9LoadRating,Axle10Weight,Axle10Space,Axle10NoOfTires,Axle10LoadRating,Axle11Weight,Axle11Space,Axle11NoOfTires,Axle11LoadRating
2460,Overweight,GPQZ-201482-845,ISL-201471-730,07/01/2014 05:18:15 PM,08/02/2014 01:13:46 PM,08/02/2014 12:00:00 AM,06/30/2015 12:00:00 AM,Renewal,,IDGP-2013824-715,,,ISLAND TRANSPORTATION CORP,,Other,FUEL TRANSPORTATION,,,2010,FREIGHTLINER,,,,,52000,93000,Tractor Trailer,,"Type 3, 5 axles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461,Crane,GMEJ-2015722-656,CRA1-201471-731,07/01/2014 08:51:34 PM,07/22/2015 11:55:05 AM,07/22/2015 12:00:00 AM,12/31/2015 12:00:00 AM,,,,,,CRANES EXPRESS INC.,,Special Hauling,,,,2005,GROVE,GMK3055,NY,3527,GF238547,73689,,,,,8.04,37.04,11.09,3,14.06,,,,,,,,,,,23276,,,25207,9.02,,,25206,5.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462,Overweight,GPQZ-201482-844,ISL-201472-732,07/02/2014 09:09:09 AM,08/02/2014 01:12:12 PM,08/02/2014 12:00:00 AM,06/30/2015 12:00:00 AM,Renewal,,MHBS-201394-778,,,ISLAND TRANSPORTATION CORP,,Other,FUEL TRANSPORTATION,,,2010,FREIGHTLINER,,,,,52000,93000,Tractor Trailer,,"Type 3, 5 axles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465,Overweight,GPQZ-201482-843,ISL-201472-735,07/02/2014 10:06:42 AM,08/02/2014 01:08:19 PM,08/02/2014 12:00:00 AM,06/30/2015 12:00:00 AM,Renewal,,MHBS-201394-781,,,ISLAND TRANSPORTATION CORP,,Other,FUEL TRANSPORTATION,,,2010,FREIGHTLINER,,,,,52000,93000,Tractor Trailer,,"Type 3, 5 axles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466,Overweight,GPQZ-201482-842,ISL-201472-736,07/02/2014 10:54:02 AM,08/02/2014 01:06:14 PM,08/02/2014 12:00:00 AM,06/30/2015 12:00:00 AM,Renewal,,MHBS-201394-780,,,ISLAND TRANSPORTATION CORP,,Other,FUEL TRANSPORTATION,,,2010,FREIGHTLINER,,,,,52000,93000,Tractor Trailer,,"Type 3, 5 axles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467,Overweight,GPQZ-201482-841,ISL-201472-737,07/02/2014 11:31:52 AM,08/02/2014 01:02:53 PM,08/02/2014 12:00:00 AM,06/30/2015 12:00:00 AM,Renewal,,MHBS-201394-782,,,ISLAND TRANSPORTATION CORP,,Other,FUEL TRANSPORTATION,,,2010,FREIGHTLINER,,,,,52000,93000,Tractor Trailer,,"Type 3, 5 axles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471,Bulk Milk,RIE1-2014917-907,Wor-201477-741,07/07/2014 01:59:46 PM,09/17/2014 05:27:50 PM,09/17/2014 12:00:00 AM,10/16/2014 12:00:00 AM,,,,,,Worcester Creameries,Mapleton Ag. Transport,Bulk Transportation,,,,2011,Freightliner,,,,,,,,,,,,,,,Bulk Empty Milk,8,12,55.03,99000,Empty,8,12,55.03,34000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472,Bulk Milk,RIE1-2014917-908,Wor-201477-742,07/07/2014 02:13:40 PM,09/17/2014 05:30:10 PM,09/17/2014 12:00:00 AM,10/16/2014 12:00:00 AM,,,,,,Worcester Creameries,Mapleton Ag. Transport,Bulk Transportation,,,,2010,Freightliner,,,,,,,,,,,,,,,Bulk Raw Milk,8,12,55.04,99000,Empty,8,12,55.04,34000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473,Bulk Milk,RIE1-2014917-906,Wor-201477-743,07/07/2014 02:15:56 PM,09/17/2014 05:27:14 PM,09/17/2014 12:00:00 AM,10/16/2014 12:00:00 AM,,,,,,Worcester Creameries,Mapleton Ag. Transport,Bulk Transportation,,,,2012,Western Star,,,,,,,,,,,,,,,Bulk Raw Milk,8,12,55.04,99000,Empty,8,12,55.04,34000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474,Bulk Milk,RIE1-2014917-886,Wor-201477-744,07/07/2014 02:26:07 PM,09/17/2014 05:06:56 PM,09/17/2014 12:00:00 AM,10/16/2014 12:00:00 AM,,,,,,Worcester Creameries,"Coventry Transport Services, LLC.",Bulk Transportation,,,,2013,Mack,,,,,,,,,,,,,,,Bulk Raw Milk,8,11.06,60,99000,Empty,8,11.06,60,31000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475,Bulk Milk,RIE1-2014917-888,Wor-201477-745,07/07/2014 02:35:37 PM,09/17/2014 05:09:11 PM,09/17/2014 12:00:00 AM,10/16/2014 12:00:00 AM,,,,,,Worcester Creameries,"Coventry Transport Services, LLC.",Bulk Transportation,,,,2012,Mack,,,,,,,,,,,,,,,Bulk Raw Milk,8,11.06,60,99000,Empty,8,11.06,60,31000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476,Bulk Milk,RIE1-2014917-889,Wor-201477-746,07/07/2014 02:49:45 PM,09/17/2014 05:10:41 PM,09/17/2014 12:00:00 AM,10/16/2014 12:00:00 AM,,,,,,Worcester Creameries,"Coventry Transport Services, LLC.",Bulk Transportation,,,,2011,Freightliner,,,,,,,,,,,,,,,Bulk Raw Milk,8,11.06,60,99000,Empty,8,11.06,60,31000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477,Bulk Milk,RIE1-2014917-885,Wor-201477-747,07/07/2014 02:51:37 PM,09/17/2014 05:02:50 PM,09/17/2014 12:00:00 AM,10/16/2014 12:00:00 AM,,,,,,Worcester Creameries,"Coventry Transport Services, LLC.",Bulk Transportation,,,,2009,Freightliner,,,,,,,,,,,,,,,Bulk Raw Milk,8,11.06,60,99000,Empty,8,11.06,60,31000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478,Bulk Milk,RIE1-2014917-887,Wor-201477-748,07/07/2014 02:53:39 PM,09/17/2014 05:07:53 PM,09/17/2014 12:00:00 AM,10/16/2014 12:00:00 AM,,,,,,Worcester Creameries,"Coventry Transport Services, LLC.",Bulk Transportation,,,,2000,WesternStar,,,,,,,,,,,,,,,Bulk Raw Milk,8,11.06,60,99000,Empty,8,11.06,60,31000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479,Bulk Milk,RIE1-2014917-884,Wor-201477-749,07/07/2014 02:58:01 PM,09/17/2014 05:00:18 PM,09/17/2014 12:00:00 AM,10/16/2014 12:00:00 AM,,,,,,Worcester Creameries,"Coventry Transport Services, LLC.",Bulk Transportation,,,,2013,Mack,,,,,,,,,,,,,,,Raw Bulk Milk,8,11.06,60,99000,Empty,8,11.06,60,31000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480,Overweight,GPQZ-201482-852,Val-201477-750,07/07/2014 05:23:39 PM,08/02/2014 02:36:13 PM,08/02/2014 12:00:00 AM,07/31/2015 12:00:00 AM,Renewal,,IDGP-2013824-736,07/31/2014 12:00:00 AM,78000,Valente Equipment Leasing Corp.,,Other,Concrete Supply,,,2012,MACK,,,,,78000,78000,Other Single,CONCRETE MIXER,"Type 2, 3 to 4 axles",8,31.03,12.06,3,21.03,,,,,,,,,,,20000,2,8800,29000,16.09,4,8800,29000,4.06,4,8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481,Overweight,GPQZ-201482-853,Val-201477-751,07/07/2014 05:35:00 PM,08/02/2014 02:37:59 PM,08/02/2014 12:00:00 AM,07/31/2015 12:00:00 AM,Renewal,,IDGP-2013824-737,07/31/2014 12:00:00 AM,78000,Valente Equipment Leasing Corp.,,Other,Concrete Supply,,,2012,MACK,,,,,78000,78000,Other Single,,"Type 2, 3 to 4 axles",8,31.03,12.06,3,21.03,,,,,,,,,,,20000,2,8800,29000,16.09,4,8800,29000,4.06,4,8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482,Overweight,GPQZ-201482-854,Val-201477-752,07/07/2014 05:42:13 PM,08/02/2014 02:41:35 PM,08/02/2014 12:00:00 AM,07/31/2015 12:00:00 AM,Renewal,,MHBS-201394-787,07/31/2014 12:00:00 AM,78000,Valente Equipment Leasing Corp.,,Other,Concrete Supply,,,2013,MACK,,,,,78000,55000,Other Single,CONCRETE MIXER,"Type 2, 3 to 4 axles",8,31.03,12.06,3,21.03,,,,,,,,,,,20000,2,8800,29000,16.09,4,8800,29000,4.06,4,8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483,Overweight,GPQZ-201482-857,SEV-201478-753,07/08/2014 10:01:56 AM,08/02/2014 02:47:44 PM,08/02/2014 12:00:00 AM,06/30/2015 12:00:00 AM,Renewal,,IDGP-2013824-718,06/30/2014 12:00:00 AM,79000,SEVENTY THREE TRUCK LEASING CORP.,,Construction,,,,2007,MACK,,,,,79000,54000,Cement Truck,,"Type 2, 3 to 4 axles",8,31,11.09,3,21.02,,,,,,,,,,,20000,2,9920,29500,16.08,2,9920,29500,4.06,2,9920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484,Overweight,GPQZ-201482-858,SEV-201478-754,07/08/2014 10:17:31 AM,08/02/2014 02:49:16 PM,08/02/2014 12:00:00 AM,06/30/2015 12:00:00 AM,Renewal,,IDGP-2013824-720,06/30/2014 12:00:00 AM,79000,SEVENTY THREE TRUCK LEASING CORP.,,Construction,,,,2007,MACK,,,,,79000,54000,Cement Truck,,"Type 2, 3 to 4 axles",8,31,11.09,3,21.02,,,,,,,,,,,20000,2,9920,29500,16.08,2,9920,29500,4.06,2,9920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485,Overweight,GPQZ-201482-859,SEV-201478-755,07/08/2014 10:35:18 AM,08/02/2014 02:52:50 PM,08/02/2014 12:00:00 AM,06/30/2015 12:00:00 AM,Renewal,,IDGP-2013824-721,06/30/2014 12:00:00 AM,79000,SEVENTY THREE TRUCK LEASING CORP.,,Construction,,,,2007,MACK,,,,,79000,54000,Cement Truck,,"Type 2, 3 to 4 axles",8,31,11.09,3,21.02,,,,,,,,,,,20000,2,9920,29500,16.08,2,9920,29500,4.06,2,9920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486,Overweight,GPQZ-201482-860,SEV-201478-756,07/08/2014 11:07:01 AM,08/02/2014 02:54:05 PM,08/02/2014 12:00:00 AM,06/30/2015 12:00:00 AM,Renewal,,IDGP-2013824-722,06/30/2014 12:00:00 AM,79000,SEVENTY THREE TRUCK LEASING CORP.,,Construction,,,,2007,MACK,,,,,79000,54000,Cement Truck,,"Type 2, 3 to 4 axles",8,31,11.09,3,21.02,,,,,,,,,,,20000,2,9920,29500,16.08,2,9920,29500,4.06,2,9920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487,Overweight,GPQZ-201482-861,SEV-201478-757,07/08/2014 11:29:18 AM,08/02/2014 02:55:20 PM,08/02/2014 12:00:00 AM,06/30/2015 12:00:00 AM,Renewal,,IDGP-2013824-723,06/30/2014 12:00:00 AM,79000,SEVENTY THREE TRUCK LEASING CORP.,,Construction,,,,2007,MACK,,,,,79000,54000,Cement Truck,,"Type 2, 3 to 4 axles",8,31,11.09,3,21.02,,,,,,,,,,,20000,2,9920,29500,16.08,2,9920,29500,4.06,2,9920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489,Overweight,GPQZ-201482-862,The1-201478-759,07/08/2014 03:28:15 PM,08/02/2014 02:56:44 PM,08/31/2014 12:00:00 AM,08/31/2015 12:00:00 AM,Renewal,,K8LU-2013826-762,08/31/2014 12:00:00 AM,70000,The Green-Wood Cemetery,,Other,Cemetery,,,1986,Volvo White,,,,,70000,70000,Dump Truck,,"Type 2, 3 to 4 axles",8,31.06,11.06,3,17.09,,,,,,,,,,,20000,2,9040,25000,13,4,7660,25000,4.09,4,7660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492,Overweight,LSVD-2014711-826,A.-2014711-762,07/11/2014 10:03:43 AM,07/11/2014 10:27:30 AM,07/11/2014 12:00:00 AM,06/30/2015 12:00:00 AM,Other,Renew OWP #2013824701,,,,"A. Russo Wrecking, Inc",,Other,,,,2003,PETERBILT,,,,,120000,120000,Tractor Trailer,,"Type 4, 6 axles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495,Overweight,BNVU-2014925-925,CAS1-2014715-765,07/15/2014 10:48:41 AM,09/25/2014 05:44:09 PM,09/25/2014 12:00:00 AM,03/31/2015 12:00:00 AM,Correction,,AS40201441364,03/31/2014 12:00:00 AM,79000,CASA REDIMIX CONCRETE CORP.,,Cement,,,,2013,VOLVO,,,,,77280,52300,Cement Truck,,"Type 2, 3 to 4 axles",8,33.06,13,3,15.07,,,,,,,,,,,20000,2,20000,28640,11.01,4,29500,28640,4.06,4,29500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498,Overweight,TC4W-2014716-828,Vin-2014716-768,07/16/2014 11:21:02 AM,07/16/2014 11:22:06 AM,07/31/2014 12:00:00 AM,07/31/2015 12:00:00 AM,Renewal,,jq1a-2013810-676,07/31/2014 12:00:00 AM,79000,"Vincent Rusciano Construction Co., Inc.",,Construction,,,,1969,Mack,,,,,79000,79000,Dump Truck,,"Type 2, 3 to 4 axles",8.02,25.04,10.03,3,16.03,,,,,,,,,,,20000,2,9230,29500,11.08,4,9230,29500,4.07,4,9230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6500,Overweight,P7X6-20171024-780,con-2017109-608,10/09/2017 10:02:49 AM,10/24/2017 04:49:37 PM,11/01/2017 12:00:00 AM,10/31/2018 12:00:00 AM,Renewal,,AOBH-2017113-59,,,consolidated edison co. inc.,,Other,,,,2012,freightliner,,,,,64000,64000,Other Single,utility,"Type 2, 3 to 4 axles",8,34,12,3,18.01,,,,,,,,,,,18000,2,9000,23000,13.03,4,5750,23000,4.10,4,5750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
