id,Year,Employer_Name,Employer_Email,Employer_Phone,Employer_Address,Employer_City,Employer_State,Employer_Zip,Employer_Country,compensation,expenditures,agg_contrib,ballot_prop,entertain,vendor,expert_retain,inform_material,lobbying_comm,ie_in_support,itemized_exp,other_l3_exp,political,corr_compensation,corr_expend,total_exp,l3_nid,employer_nid
16475-2019,2019,Google LLC and its Affiliates,google@politicomlaw.com,(415) 903-2800,"c/o 28 Liberty Ship Way, Suite 2815",Sausalito,CA,94965,US,60000.00,21.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1039.05,0.00,0.00,0.00,61060.81,65017,16475
16065-2016,2016,ACT INC,ACT@NMGOVLAW.COM,(415) 389-6800,C/O 2350 KERNER BLVD STE 250,SAN RAFAEL,CA,94901,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30612,16065
16066-2016,2016,ACTION FOR RHC'S,MCDURKAN@GMAIL.COM,(206) 915-7527,2442 NW MARKET ST #559,SEATTLE,WA,98107,US,36000.00,11000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,546.20,0.00,36000.00,0.00,47546.20,30731,16066
43258-2019,2019,"Aristocrat Technologies, Inc.",dan.little@aristocrat.com,702-270-1461,10220 Aristocrat Way,Las Vegas,NV,891,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,43258
16058-2016,2016,AAA WASHINGTON,HarryThomas@AAAWA.COM,(425) 646-2004,3605 132nd Ave SE,BELLEVUE,WA,98006,US,250.00,65.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,315.00,29346,16058
16060-2016,2016,ABBOTT LABORATORIES,colleen.bryant@abbott.com,224-667-5951,100 ABBOTT PARK RD,ABBOTT PARK,IL,600646094,US,8400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8400.00,30755,16060
16802-2019,2019,PORT OF MOSES LAKE,KRDETROLIO@PORTOFMOSESLAKE.COM,(509) 762-5363,7810 ANDREWS ST NE STE 200,MOSES LAKE,WA,988373294,US,38500.00,6237.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44737.98,65573,16802
43258-2020,2020,"Aristocrat Technologies, Inc.",dan.little@aristocrat.com,702-270-1461,10220 Aristocrat Way,Las Vegas,NV,891,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,43258
16097-2018,2018,AMERICAN CIVIL LIBERTIES UNION OF WA,sabduhrrahmaan@ACLU-WA.ORG,(206) 624-2184,901 5TH AVE STE 630,SEATTLE,WA,981642008,US,114240.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,114240.00,50566,16097
16068-2016,2016,ADVANCE AMERICA (THRU MULTISTATE),CCASTRO@MULTISTATE.COM,(703) 684-1110,515 KING ST STE 300,ALEXANDRIA,VA,22314,US,13191.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13191.48,30577,16068
16068-2017,2017,ADVANCE AMERICA (THRU MULTISTATE),CCASTRO@MULTISTATE.COM,(703) 684-1110,515 KING ST STE 300,ALEXANDRIA,VA,22314,US,13191.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13191.48,41196,16068
16873-2019,2019,SAP PUBLIC SERVICES INC,S.SEALE@SAP.COM,(601) 402-0451,3999 W CHESTER PIKE,NEWTOWN SQUARE,PA,19073,US,30000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30000.00,63348,16873
17247-2018,2018,WA ST ASSN OF FIRE CHIEFS,KATHLEEN@WASHINGTONFIRECHIEFS.ORG,(360) 352-0161,605 11TH AVE SE STE 211,OLYMPIA,WA,98501,US,74223.20,2287.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64510.64,52116,17247
16070-2018,2018,ARNPS UNITED OF WA ST,AU@AUWS.ORG,(253) 480-1035,10024 SE 240TH ST #230,KENT,WA,980311035,US,16000.00,347.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14750.00,0.00,16347.77,52314,16070
42126-2018,2018,Spark Therapeutics Inc.,jskelton@politicomlaw.com,(415) 903-2800 ,"c/o 28 Liberty Ship Way, Suite 2815",Sausalito,CA,94965,US,32000.00,199.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32199.49,52514,42126
16070-2016,2016,ARNPS UNITED OF WA ST,AU@AUWS.ORG,(253) 480-1035,10024 SE 240TH ST #230,KENT,WA,980311035,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14800.00,0.00,0.00,30433,16070
16314-2019,2019,CITY OF SPOKANE,lwilliams@spokanecity.org,509-625-6585,808 W SPOKANE FALLS BLVD,Spokane,WA,99201,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,16314
16071-2016,2016,AEROSPACE FUTURES ALLIANCE OF WASHINGTON LTD,KELLYM@AFA-WA.COM,(253) 632-0381,PO BOX 26552,FEDERAL WAY,WA,98093,US,276350.03,12700.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30300.00,153633.41,0.00,319350.03,29356,16071
16071-2017,2017,AEROSPACE FUTURES ALLIANCE OF WASHINGTON LTD,KELLYM@AFA-WA.COM,(253) 632-0381,PO BOX 26552,FEDERAL WAY,WA,98093,US,196630.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,196630.86,40296,16071
16068-2018,2018,ADVANCE AMERICA (THRU MULTISTATE),CCASTRO@MULTISTATE.COM,(703) 684-1110,515 KING ST STE 300,ALEXANDRIA,VA,22314,US,13191.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13191.48,52361,16068
16072-2017,2017,Intl Assn of Machinists & Aerospace Workers Dist Lodge 751,susanp@iam751.org,(206) 764-0310,9125 15th Pl S,Seattle,WA,98108-5100,US,69807.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69807.57,39024,16072
16071-2018,2018,AEROSPACE FUTURES ALLIANCE OF WASHINGTON LTD,KELLYM@AFA-WA.COM,(253) 632-0381,PO BOX 26552,FEDERAL WAY,WA,98093,US,206772.63,941.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,207713.63,51241,16071
16072-2016,2016,Intl Assn of Machinists & Aerospace Workers Dist Lodge 751,susanp@iam751.org,(206) 764-0310,9125 15th Pl S,Seattle,WA,98108-5100,US,35062.75,9000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14362.75,0.00,44062.75,28965,16072
23608-2018,2018,PHYSICIANS COMM FOR RESPONSIBLE MEDICINE,LegalDept@pcrm.org,,5100 WISCONSIN AVE NW STE 400,WASHINGTON,DC,20016,US,76.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76.50,49886,23608
23608-2019,2019,PHYSICIANS COMM FOR RESPONSIBLE MEDICINE,LegalDept@pcrm.org,,5100 WISCONSIN AVE NW STE 400,WASHINGTON,DC,20016,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61593,23608
16076-2016,2016,AMERICAN INSTITUTE OF ARCHITECTS WA COUNCIL,tsueirro@aiawa.org,(206) 957-1925,1010 WESTERN AVE,SEATTLE,WA,98104,US,21595.82,3550.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21000.00,216.98,216.98,30388,16076
16058-2017,2017,AAA WASHINGTON,HarryThomas@AAAWA.COM,(425) 646-2004,3605 132nd Ave SE,BELLEVUE,WA,98006,US,315.80,70.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,385.80,39800,16058
30616-2020,2020,American Behavioral Health Services Inc,tonyp@abhsinc.net,5092325766,P.O. Box 141106,Spokane Valley,WA,99216,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,30616
30616-2017,2017,American Behavioral Health Services Inc,tonyp@abhsinc.net,5092325766,P.O. Box 141106,Spokane Valley,WA,99216,US,49190.00,1001.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50191.18,41378,30616
16075-2017,2017,AGRI BEEF CO,CHRIS.NIMS@AGRIBEEF.COM,(208) 338-2500,1555 SHORELINE DR STE 320,BOISE,ID,83702,US,72000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,83000.00,0.00,72000.00,41972,16075
36043-2019,2019,"Youth Villages, Inc.",kate.cantrell@youthvillages.org,213-326-3286,3320 Brother Blvd,Memphis,TN,38133,US,73500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73500.00,64673,36043
16075-2016,2016,AGRI BEEF CO,CHRIS.NIMS@AGRIBEEF.COM,(208) 338-2500,1555 SHORELINE DR STE 320,BOISE,ID,83702,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3000.00,90000.00,0.00,3000.00,30853,16075
16075-2018,2018,AGRI BEEF CO,CHRIS.NIMS@AGRIBEEF.COM,(208) 338-2500,1555 SHORELINE DR STE 320,BOISE,ID,83702,US,60000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9500.00,72000.00,0.00,69500.00,52568,16075
16077-2016,2016,ALASKA AIRLINES,megan.ouellette@alaskaair.com,(206) 392-5035,PO BOX 68900,Seattle,WA,98038,US,72000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72000.00,32012,16077
16077-2017,2017,ALASKA AIRLINES,megan.ouellette@alaskaair.com,(206) 392-5035,PO BOX 68900,Seattle,WA,98038,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72200.00,72000.00,416.57,72616.57,40990,16077
16067-2017,2017,WA EAST ASIAN MEDICINE ASSN,info@weama.info,(360) 438-2260,145 LILLY RD NE STE 102,OLYMPIA,WA,98506,US,30006.00,419.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36479.50,0.00,30425.03,41987,16067
16072-2018,2018,Intl Assn of Machinists & Aerospace Workers Dist Lodge 751,susanp@iam751.org,(206) 764-0310,9125 15th Pl S,Seattle,WA,98108-5100,US,28314.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5000.00,0.00,0.00,33314.02,49531,16072
16078-2016,2016,ALIGNED AG DISTRIBUTORS LLC,marytolke@alignedag.com,,224-B S BELL AVE,AMES,IA,50010,US,9000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9000.00,2000.00,2000.00,30676,16078
16078-2017,2017,ALIGNED AG DISTRIBUTORS LLC,marytolke@alignedag.com,,224-B S BELL AVE,AMES,IA,50010,US,15000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18000.00,0.00,15000.00,41821,16078
60622-2019,2019,Accenture LLP,eric.sildon@stateandfed.com,2025331140,800 Connecticut Avenue NW,Washington,DC,20006,US,10400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6500.00,64355,60622
16079-2016,2016,ALKERMES PLC,PAUL.NIELSEN@ALKERMES.COM,360 921 2860,852 WINTER ST,WALTHAN,MA,02451,US,70320.00,39603.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85320.00,7404.00,7404.00,30988,16079
16079-2017,2017,ALKERMES PLC,PAUL.NIELSEN@ALKERMES.COM,360 921 2860,852 WINTER ST,WALTHAN,MA,02451,US,78750.00,50658.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,129408.00,40941,16079
49578-2018,2018,AMERICAN FIDELITY CORP,BARRY.KOONCE@AMERICANFIDELITY.COM,405.416.8627,9000 CAMERON PKWY,OKLAHOMA,OK,73114,US,10000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10000.00,52672,49578
16787-2019,2019,PIERCE TRANSIT,bhunter@piercetransit.org,(253) 984-8200,3701 96th Street SW,LAKEWOOD,WA,98499,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,16787
16080-2017,2017,ALLERGAN USA INC,allegan@politicomlaw.com,(415) 903-2800,c/o Politicom Law LLP,Sausalito,CA,94965,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40456,16080
16080-2016,2016,ALLERGAN USA INC,allegan@politicomlaw.com,(415) 903-2800,c/o Politicom Law LLP,Sausalito,CA,94965,US,50348.44,156.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50504.69,30459,16080
16081-2016,2016,ALLIANCE OF AUTO MANUFACTURERS,SROSSOW@AUTOALLIANCE.ORG,(202) 326-5500,803 7TH ST NW STE 300,WASHINGTON,DC,20001,US,51000.00,3367.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54367.17,30910,16081
16081-2017,2017,ALLIANCE OF AUTO MANUFACTURERS,SROSSOW@AUTOALLIANCE.ORG,(202) 326-5500,803 7TH ST NW STE 300,WASHINGTON,DC,20001,US,49241.65,19576.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61000.00,19729.86,19729.86,39899,16081
16087-2018,2018,AMALGAMATED TRANSIT UNION LEG COUNCIL,ATULC.FST@GMAIL.COM,(360) 738-3299,1308 Meador Ave C-1,BELLINGHAM,WA,98229,US,33096.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32150.00,0.00,0.00,65246.00,52629,16087
32990-2018,2018,"POSaBit, Inc",jennifer@posabit.com,4258905615,1128 8th St,Kirkland,WA,98033,US,30000.00,609.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30609.42,63813,32990
32990-2017,2017,"POSaBit, Inc",jennifer@posabit.com,4258905615,1128 8th St,Kirkland,WA,98033,US,19500.00,450.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19950.41,40958,32990
16314-2020,2020,CITY OF SPOKANE,lwilliams@spokanecity.org,509-625-6585,808 W SPOKANE FALLS BLVD,Spokane,WA,99201,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,16314
16787-2020,2020,PIERCE TRANSIT,bhunter@piercetransit.org,(253) 984-8200,3701 96th Street SW,LAKEWOOD,WA,98499,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,16787
16293-2018,2018,CITY OF LAKEWOOD,invalid@invalid.com,,6000 MAIN ST SW,LAKEWOOD,WA,98499,US,56649.96,10.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56660.02,49479,16293
16360-2019,2019,CONSUMER REPORTS,JLEVY@CONSUMER.ORG,,1535 MISSION ST,SAN FRANCISCO,CA,94103,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,16360
16085-2016,2016,ALLSTATE INSURANCE CO,JON.HEDEGARD@ALLSTATE.COM,(425) 489-5511,18911 NORTH CREEK PARKWAY,BOTHELL,WA,98001,US,42000.00,30090.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72090.96,30680,16085
16085-2017,2017,ALLSTATE INSURANCE CO,JON.HEDEGARD@ALLSTATE.COM,(425) 489-5511,18911 NORTH CREEK PARKWAY,BOTHELL,WA,98001,US,54000.00,30107.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84107.76,41255,16085
16082-2016,2016,ALLIED DAILY NEWSPAPERS OF WA,ANEWSPAPER@AOL.COM,(360) 943-9960,PO BOX 29,OLYMPIA,WA,985070029,US,48000.00,4047.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48000.00,4057.24,4057.24,29215,16082
16086-2017,2017,ALZHEIMERS ASSN WA ST CHAPTER,BLEROY@ALZ.ORG,(206) 529-3891,100 W HARRISON ST STE N 200,SEATTLE,WA,98119,US,12000.00,32.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12032.10,40819,16086
16086-2016,2016,ALZHEIMERS ASSN WA ST CHAPTER,BLEROY@ALZ.ORG,(206) 529-3891,100 W HARRISON ST STE N 200,SEATTLE,WA,98119,US,9000.00,33.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9033.48,31216,16086
16087-2017,2017,AMALGAMATED TRANSIT UNION LEG COUNCIL,ATULC.FST@GMAIL.COM,(360) 738-3299,1308 Meador Ave C-1,BELLINGHAM,WA,98229,US,31975.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31975.56,40019,16087
16087-2016,2016,AMALGAMATED TRANSIT UNION LEG COUNCIL,ATULC.FST@GMAIL.COM,(360) 738-3299,1308 Meador Ave C-1,BELLINGHAM,WA,98229,US,25200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25200.00,40018,16087
16360-2020,2020,CONSUMER REPORTS,JLEVY@CONSUMER.ORG,,1535 MISSION ST,SAN FRANCISCO,CA,94103,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,16360
17044-2020,2020,WA ASSN OF AREA AGENCIES ON AGING,w4a@agingwashington.org,360-485-9761,2404 HERITAGE CT SW,OLYMPIA,WA,985026047,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,17044
16089-2016,2016,GRADUATION ALLIANCE,ACCOUNTING@GRADUATIONALLIANCE.COM,(801) 931-2707,310 S MAIN 12TH FL,SALT LAKE CITY,UT,84101,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,16089
16079-2018,2018,ALKERMES PLC,PAUL.NIELSEN@ALKERMES.COM,360 921 2860,852 WINTER ST,WALTHAN,MA,02451,US,87000.00,20769.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,107769.95,52303,16079
16081-2018,2018,ALLIANCE OF AUTO MANUFACTURERS,SROSSOW@AUTOALLIANCE.ORG,(202) 326-5500,803 7TH ST NW STE 300,WASHINGTON,DC,20001,US,62692.24,3415.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66108.06,52601,16081
16080-2018,2018,ALLERGAN USA INC,allegan@politicomlaw.com,(415) 903-2800,c/o Politicom Law LLP,Sausalito,CA,94965,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50046,16080
