License Number,Entity Name,Telephone Number,SHL Endorsed,Building,Street,City,State,Postcode,Type of Base,Latitude,Longitude,Date,Time,Location
B02638,EAGER LIMO SERVICE INC.,7183587252,Yes,43-10,MAIN STREET  2ND FLR,FLUSHING,NY,11355,BLACK CAR BASE,40.752286,-73.826739,05/10/2020,18:02:48,"(40.752286, -73.826739)"
B03228,LIQUID FOX TRANSPORTATION CORP.,9174719640,No,605,EAST  132 STREET,BRONX,NY,10454,BLACK CAR BASE,,,05/10/2020,18:02:48,
B90662,MAYOOR TRANSPORTATION INC.,9142354700,No,498,MAIN STREET  SUITE 4,NEW ROCHELLE,NY,10801,PARATRANSIT BASE,40.908868,-73.781264,05/10/2020,18:02:48,"(40.908868, -73.781264)"
B02794,ASAP LUXE INC,7183630046,No,1304,UTICA AVENUE,BROOKLYN,NY,11203,BLACK CAR BASE,40.640752,-73.92954,05/10/2020,18:02:48,"(40.640752, -73.92954)"
B02799,CHURCH AVENUE EXPRESS INC,7186338444,No,99,CHURCH AVENUE,BROOKLYN,NY,11218,LIVERY BASE,40.64171,-73.98135,05/10/2020,18:02:48,"(40.64171, -73.98135)"
B03194,"SUNNY DAY TRANSPORTATION,CORP",7184096281,No,1831,WOOD AVENUE,BRONX,NY,10460,BLACK CAR BASE,,,05/10/2020,18:02:48,
B90710,"ROYALTY TRANSPORTATION,LLC",7187715100,No,414,UTICA AVENUE  2ND FLOOR,BROOKLYN,NY,11213,PARATRANSIT BASE,40.664234,-73.931867,05/10/2020,18:02:48,"(40.664234, -73.931867)"
B01288,NEW ELEGANTE CAR SVC INC,7183283333,No,1804,RANDALL AVENUE,BRONX,NY,10473,LIVERY BASE,40.816803,-73.862557,05/10/2020,18:02:48,"(40.816803, -73.862557)"
B90722,KEY AMBULLETTE SERVICE INC.,9292452140,No,447,DEKALB AVENUE,BROOKLYN,NY,11205,PARATRANSIT BASE,40.690648,-73.959591,05/10/2020,18:02:48,"(40.690648, -73.959591)"
B03266,HOYT LIMO & SERVICE CORP.,7182045861,No,2303,ASTORIA BOULEVARD,ASTORIA,NY,11102,BLACK CAR BASE,,,05/10/2020,18:02:48,
B90647,APOLLO NY-CITY AMBULETTE INC.,7182243331,No,208-01,NORTHERN BOULEVARD  #4B,BAYSIDE,NY,11361,PARATRANSIT BASE,40.759033,-73.775428,05/10/2020,18:02:48,"(40.759033, -73.775428)"
B02480,WOODHAVEN LIMOUSINE INC,7183742609,No,25-26,50 STREET  STE 209B,WOODSIDE,NY,11377,LUXURY/LIMOUSINE,40.763637,-73.904449,05/10/2020,18:02:48,"(40.763637, -73.904449)"
B01470,AGUILA CAR & LIMO CORPORATION,7186998100,No,45-16,NATIONAL STREET,CORONA,NY,11368,LIVERY BASE,40.745662,-73.86428,05/10/2020,18:02:48,"(40.745662, -73.86428)"
B00975,"T.J.Q. CAR SERVICE, INC.",7186292540,No,4912,AVENUE D,BROOKLYN,NY,11203,LIVERY BASE,40.64196,-73.9298,05/10/2020,18:02:48,"(40.64196, -73.9298)"
B01452,AREAS TRANSP INC,7189673232,No,5230,ARTHUR KILL ROAD,STATEN ISLAND,NY,10307,LIVERY BASE,40.515342,-74.244236,05/10/2020,18:02:48,"(40.515342, -74.244236)"
B01777,PREMIUM RADIO DISP & MULTI SVC,2126942222,Yes,425,EDGECOMBE AVENUE,NEW YORK,NY,10032,LIVERY BASE,40.82983,-73.94008,05/10/2020,18:02:48,"(40.82983, -73.94008)"
B01469,"BROTHERS CAR SERVICE, INC.",7182351100,No,241,CRESCENT STREET,BROOKLYN,NY,11208,LIVERY BASE,40.68342,-73.871853,05/10/2020,18:02:48,"(40.68342, -73.871853)"
B01081,GEORGE TOWN MANAGEMENT INC,7186422222,Yes,6002,FOSTER AVENUE,BROOKLYN,NY,11236,LIVERY BASE,40.648318,-73.89232,05/10/2020,18:02:48,"(40.648318, -73.89232)"
B01311,DISCOUNT CAR SVCE,7187400101,No,94-44,213 STREET,QUEENS VILLAGE,NY,11428,LIVERY BASE,40.71643,-73.74506,05/10/2020,18:02:48,"(40.71643, -73.74506)"
B02557,185 MALTA CAR SERVICE LLC,7187596777,No,9104,AVENUE L  UNIT B,BROOKLYN,NY,11236,LIVERY BASE,40.63578,-73.8995,05/10/2020,18:02:48,"(40.63578, -73.8995)"
B01743,TWO WAY BLACK CARS & RAD GRP,2126633333,No,2642,BROADWAY  3 FL,NEW YORK,NY,10025,LIVERY BASE,40.797215,-73.96941,05/10/2020,18:02:48,"(40.797215, -73.96941)"
B03123,CLAY TRANSPORTATION INC.,7189425544,No,1831,GRAND CONCOURSE,BRONX,NY,10453,BLACK CAR BASE,,,05/10/2020,18:02:48,
B00111,SKYLINE CREDIT RIDE INC,7184828585,No,52-29,35 STREET,L.I.C,NY,11101,BLACK CAR BASE,40.735627,-73.93612,05/10/2020,18:02:48,"(40.735627, -73.93612)"
B02401,NORTHSIDE BK LLC,7189634444,No,207,BEDFORD AVENUE,BROOKLYN,NY,11211,BLACK CAR BASE,40.716862,-73.958563,05/10/2020,18:02:48,"(40.716862, -73.958563)"
B01362,AMERICAN BASE NO.1 INC.,7186656664,No,3077,3RD AVENUE,BRONX,NY,10451,LIVERY BASE,40.814476,-73.914387,05/10/2020,18:02:48,"(40.814476, -73.914387)"
B02977,MEDROCK CAR SERVICE INC.,7188884848,No,162-13,46 AVENUE  #2 FLOOR,FLUSHING,NY,11358,BLACK CAR BASE,40.762492,-73.803318,05/10/2020,18:02:48,"(40.762492, -73.803318)"
B01069,RPO CAR AND LIMOUSINE SERVICE INC.,7186418956,No,122-01,LIBERTY AVENUE,RICHIMOND HILL,NY,11419,LIVERY BASE,40.688842,-73.81686,05/10/2020,18:02:48,"(40.688842, -73.81686)"
B90737,ADVANTAGE VAN OF NY INC.,3475020000,No,3037,AVENUE V,BROOKLYN,NY,11229,PARATRANSIT BASE,,,05/10/2020,18:02:48,
B03135,28 EXPRESS INC.,9292299957,No,133-48,37 AVENUE,FLUSHING,NY,11354,BLACK CAR BASE,,,05/10/2020,18:02:48,
B02027,"PARIS LIMOUSINE SERVICE, CORP",7183961100,No,37-21,VERNON BOULEVARD,LIC,NY,11101,LUXURY/LIMOUSINE,40.759847,-73.943275,05/10/2020,18:02:48,"(40.759847, -73.943275)"
B00987,MARLBORO CAR SERVICE INC.,3472290000,No,275,KINGS HIGHWAY,BROOKLYN,NY,11223,LIVERY BASE,40.63575,-73.962804,05/10/2020,18:02:48,"(40.63575, -73.962804)"
B00639,ROCAPULCO CAR SERVICE INC.,7184747100,No,239,BEACH  116 STREET,ROCKAWAY PARK,NY,11694,LIVERY BASE,40.580524,-73.837823,05/10/2020,18:02:48,"(40.580524, -73.837823)"
B03160,"CURB TRANSPORTATION SERVICES,LLC",7187011317,No,11-11,34 AVENUE,LIC,NY,11106,BLACK CAR BASE,,,05/10/2020,18:02:48,
B03220,PASEO TRANSPORTATION INC.,6463207798,No,1541,ST NICHOLAS AVENUE,NEW YORK,NY,10040,BLACK CAR BASE,,,05/10/2020,18:02:48,
B02926,SAI EXECUTIVE LIMO CORP,6469200000,No,4,DORIS RD,HICKSVILLE,NY,11801,LUXURY/LIMOUSINE,40.754119,-73.526293,05/10/2020,18:02:48,"(40.754119, -73.526293)"
B01800,EMPIRE INTERNATIONAL LTD.,2017841200,No,225,MEADOWLANDS PARKWAY,SECAUCUS,NJ,07094,LUXURY/LIMOUSINE,40.78084,-74.080302,05/10/2020,18:02:48,"(40.78084, -74.080302)"
B00647,KISS CAR SERVICE INC,7187331111,Yes,2774,WEBSTER AVENUE,BRONX,NY,10458,LIVERY BASE,40.865895,-73.88565,05/10/2020,18:02:48,"(40.865895, -73.88565)"
B02920,AMAZING CAR AND LIMO SERVICE INC,7189425959,No,1903,WEST FARMS RD,BRONX,NY,10460,LIVERY BASE,40.605623,-74.008705,05/10/2020,18:02:48,"(40.605623, -74.008705)"
B00210,"HOWARD CAR SERVICE,INC.",7188353500,No,6,COLEMAN SQUARE,HOWARD BEACH,NY,11414,LIVERY BASE,40.660308,-73.83054,05/10/2020,18:02:48,"(40.660308, -73.83054)"
B02303,MINEOLA TRANSPORTATION INC.,9178595195,No,1267,ATLANTIC AVENUE,BROOKLYN,NY,11216,BLACK CAR BASE,40.678709,-73.948652,05/10/2020,18:02:48,"(40.678709, -73.948652)"
B02870,"NEUN-NY,LLC",6466653514,No,636,WEST   28 STREET,NEW YORK,NY,10001,BLACK CAR BASE,40.75273,-74.00641,05/10/2020,18:02:48,"(40.75273, -74.00641)"
B00009,T-D MAINTENANCE,7184561111,No,127-01,METROPOLITAN AVENUE,KEW GARDENS,NY,11415,LIVERY BASE,40.70681,-73.877681,05/10/2020,18:02:48,"(40.70681, -73.877681)"
B03006,HUDSON HEIGHTS TRANSPORTATION INC.,7186062710,No,2470,49 STREET  #3,ASTORIA,NY,11103,BLACK CAR BASE,,,05/10/2020,18:02:48,
B01183,ODYSSEY GLOBAL TRANSPORTATION & LIMO LLC.,9174409997,No,32-72,GALE AVENUE,LIC,NY,11101,BLACK CAR BASE,40.749486,-73.94651,05/10/2020,18:02:48,"(40.749486, -73.94651)"
B02944,SCORPIO FIVE STAR CAR & LIMO SERVICE INC,9176839470,No,127-19,ROCKAWAY BOULEVARD,SOUTH OZONE PAR,NY,11420,BLACK CAR BASE,40.675409,-73.810012,05/10/2020,18:02:48,"(40.675409, -73.810012)"
B02492,"EZCAR.COM, LLC",7189656150,No,712,THIRD AVENUE,BROOKLYN,NY,11232,BLACK CAR BASE,40.663353,-73.998939,05/10/2020,18:02:48,"(40.663353, -73.998939)"
B01846,ROMANTIQUE LIMOUSINE INC.,7182327273,No,1421,86 STREET,BROOKLYN,NY,11228,LUXURY/LIMOUSINE,40.612483,-74.010847,05/10/2020,18:02:48,"(40.612483, -74.010847)"
B01343,ALL PEOPLE CAR SERVICE INC.,7182823700,No,932,UTICA AVENUE,BROOKLYN,NY,11203,LIVERY BASE,40.650332,-73.930492,05/10/2020,18:02:48,"(40.650332, -73.930492)"
B02507,SARAH VENTURES INC.,3473030625,No,2823,FREDERICK DOUGLASS BOULEVARD,NEW YORK,NY,10039,BLACK CAR BASE,40.816898,-73.92174,05/10/2020,18:02:48,"(40.816898, -73.92174)"
B02847,JOY LUXURY INC,7186846000,Yes,2078,CROSS BRONX EXPRESSWAY,BRONX,NY,10472,BLACK CAR BASE,40.831091,-73.85419,05/10/2020,18:02:48,"(40.831091, -73.85419)"
B02468,GROUNDLINK HOLDINGS LLC,2127877777,No,134,WEST  37 STREET  2FL,NEW YORK,NY,10018,LUXURY/LIMOUSINE,40.760951,-73.931034,05/10/2020,18:02:48,"(40.760951, -73.931034)"
B03303,MOTA LUXURY CORP.,6463594256,No,96-14,101 AVENUE,JAMAICA,NY,11416,BLACK CAR BASE,,,05/10/2020,18:02:48,
B01445,J T TRANS CO INC,7184398899,No,775,60 STREET,BROOKLYN,NY,11220,LIVERY BASE,40.63578,-74.009774,05/10/2020,18:02:48,"(40.63578, -74.009774)"
B80080,PEBBLES TRANSPORTATION INC.,5163543337,No,3712,FLATLANDS AVENUE  2F,BROOKLYN,NY,11234,COMMUTER VAN AUTHORITY BASE,40.618436,-73.939214,05/10/2020,18:02:48,"(40.618436, -73.939214)"
B01231,GO CAR CORP.,7183877777,No,616,GRAND STREET,BROOKLYN,NY,11211,LIVERY BASE,40.711065,-73.94753,05/10/2020,18:02:48,"(40.711065, -73.94753)"
B03289,HEISENBERG-ESSER CORP,6493791603,No,575,5 AVENUE,NEW YORK,NY,10017,BLACK CAR BASE,,,05/10/2020,18:02:48,
B02811,M.L TRIPS CORP.,7183882222,No,390,METROPOLITAN AVENUE,BROOKLYN,NY,11211,BLACK CAR BASE,40.713899,-73.95531,05/10/2020,18:02:48,"(40.713899, -73.95531)"
B03203,GREATEST TRANSPORTATION LLC,9146149990,No,34-18,NORTHERN BOULEVARD  SUITE#344,LONG ISLAND CIT,NY,11101,BLACK CAR BASE,,,05/10/2020,18:02:48,
B03276,510 BLACK CAR CORP.,7184857797,No,2225,PITKIN AVENUE,BROOKLYN,NY,11207,BLACK CAR BASE,,,05/10/2020,18:02:48,
B02836,DRINNEN-NY LLC,7189715559,No,636,WEST 28 STREET,NEW YORK,NY,10001,BLACK CAR BASE,40.74844,-73.93946,05/10/2020,18:02:48,"(40.74844, -73.93946)"
B90149,HUNTER AMBULETTE AMBUL INC,5163712622,No,1028,FREEMAN STREET,BRONX,NY,10459,PARATRANSIT BASE,40.612075,-73.752768,05/10/2020,18:02:48,"(40.612075, -73.752768)"
B03120,ABIX TRANSPORTATION CORP,7186842224,No,391,EAST 149TH STREET SUITE 321A,BRONX,NY,10455,BLACK CAR BASE,,,05/10/2020,18:02:48,
B03084,PERSIST CORPORATION,7184660040,No,1324,EAST GUN HILL ROAD,BRONX,NY,10469,BLACK CAR BASE,,,05/10/2020,18:02:48,
B90570,BANNER INTERNATIONAL CORP.,7185253497,No,226-12,144 AVENUE,LAURELTON,NY,11413,PARATRANSIT BASE,40.663994,-73.751771,05/10/2020,18:02:48,"(40.663994, -73.751771)"
B90545,M.J. TRANS CORP.,7183330400,No,1788,STILLWELL AVENUE,BROOKLYN,NY,11223,PARATRANSIT BASE,40.602774,-73.986703,05/10/2020,18:02:48,"(40.602774, -73.986703)"
B80094,ALPHA VAN LINE,5162850750,No,115-54,238 STREET,ELMONT,NY,11003,COMMUTER VAN AUTHORITY BASE,40.693473,-73.724446,05/10/2020,18:02:48,"(40.693473, -73.724446)"
B02550,AGAPE LUXURY CORP.,9173090202,No,560,SOUTHERN BOULEVARD,BRONX,NY,10455,BLACK CAR BASE,40.812094,-73.90301,05/10/2020,18:02:48,"(40.812094, -73.90301)"
B02475,ECKFORD LITE CAR & LIMO INC.,3476129290,No,49-17A,69 STREET,WOODSIDE,NY,11377,BLACK CAR BASE,40.732487,-73.95427,05/10/2020,18:02:48,"(40.732487, -73.95427)"
B00170,EMUNAH CAR SERVICE INC,7189750909,No,1311,51 STREET,BROOKLYN,NY,11219,LIVERY BASE,40.633811,-73.992805,05/10/2020,18:02:48,"(40.633811, -73.992805)"
B02424,FRIENDLY RIDE INC,7185455466,No,32-72,GALE AVENUE,LIC,NY,11101,LUXURY/LIMOUSINE,40.619641,-73.737598,05/10/2020,18:02:48,"(40.619641, -73.737598)"
B80087,"COMMUNITY TRANSPORTATION SYSTEMS, CORP",7185275500,No,157-11,ROCKAWAY BOULEVARD,JAMAICA,NY,11434,COMMUTER VAN AUTHORITY BASE,40.666206,-73.778903,05/10/2020,18:02:48,"(40.666206, -73.778903)"
B01300,KENNEDY RAD DISP INC,2122348000,Yes,3696,BROADWAY,NEW YORK,NY,10031,LIVERY BASE,40.831241,-73.94661,05/10/2020,18:02:48,"(40.831241, -73.94661)"
B01364,NY ATLIXCO CAR SERVICE INC,7184245800,Yes,102-20,35 AVENUE,CORONA,NY,11368,LIVERY BASE,40.75458,-73.86581,05/10/2020,18:02:48,"(40.75458, -73.86581)"
B03256,JETSET TRANSPORTATION CORP.,3472491686,No,118-35,QUEENS BLVD  STE #400 OFFICE405,FOREST HILLS,NY,11375,BLACK CAR BASE,,,05/10/2020,18:02:48,
B02970,FLYTE LINE TRANSPORTATION LLC,8888885466,No,90,MCKEE DRIVE,MAHWAH,NJ,07430,BLACK CAR BASE,41.083191,-74.149513,05/10/2020,18:02:48,"(41.083191, -74.149513)"
B02969,LYFE AUTO GROUP INC,7187066234,No,32-10,GREENPOINT AVENUE,LIC,NY,11101,BLACK CAR BASE,40.734944,-73.935733,05/10/2020,18:02:48,"(40.734944, -73.935733)"
B01871,"ALPINE LIMOUSINE SERVICE, INC.",2013739599,No,9,BROOK AVENUE,MAYWOOD,NJ,07607,LUXURY/LIMOUSINE,40.901645,-74.070797,05/10/2020,18:02:48,"(40.901645, -74.070797)"
B02834,811 TRANSIT CORP,9176887993,No,3038,92 STREET  FL1,EAST ELMHURST,NY,11369,BLACK CAR BASE,40.761071,-73.876906,05/10/2020,18:02:48,"(40.761071, -73.876906)"
B02573,SUNSET PARK CAR SERVICE INC,7184362027,No,4405,5 AVENUE,BROOKLYN,NY,11220,LIVERY BASE,40.64816,-74.00679,05/10/2020,18:02:48,"(40.64816, -74.00679)"
B01312,BROOKLYN RAD DISP INC,7183844444,No,232,METROPOLITAN AVENUE,BROOKLYN,NY,11211,LIVERY BASE,40.714797,-73.959738,05/10/2020,18:02:48,"(40.714797, -73.959738)"
B03183,SAVANNAH TRANSPORTATION MANAGEMENT LLC,7187088198,No,5030,BROADWAY  SUITE 673,NEW YORK,NY,10034,BLACK CAR BASE,,,05/10/2020,18:02:48,
B01332,SKYWAY CAR SERVICE EXPRESS INC.,7183585858,Yes,68-20A,FRESH MEADOW LANE,QUEENS,NY,11365,LIVERY BASE,40.733337,-73.794706,05/10/2020,18:02:48,"(40.733337, -73.794706)"
B01215,ECUADOOR CORP,7182048412,No,44-10,30 AVENUE,ASTORIA,NY,11103,LIVERY BASE,40.762272,-73.911591,05/10/2020,18:02:48,"(40.762272, -73.911591)"
B90687,"WORLD AMBULETTE TRANSPORTATION, INC.",7184453070,No,40-29,149 STREET,FLUSHING,NY,11354,PARATRANSIT BASE,40.762448,-73.815763,05/10/2020,18:02:48,"(40.762448, -73.815763)"
B80271,FLUSHING COMMUTER VAN MANAGEMENT CORP,7189393699,No,136-31,41 AVENUE,FLUSHING,NY,11355,COMMUTER VAN AUTHORITY BASE,,,05/10/2020,18:02:48,
B03009,APPROACH CAR SERVICE LLC.,6466613333,No,2704,WILLIAMSBRIDGE ROAD,BRONX,NY,10469,LIVERY BASE,,,05/10/2020,18:02:48,
B80182,EIGHT STAR INC.,3476446822,No,136-31,41 AVENUE  PH,FLUSHING,NY,11355,COMMUTER VAN AUTHORITY BASE,40.74931,-73.821321,05/10/2020,18:02:48,"(40.74931, -73.821321)"
B02391,"BAYRIDGE EXPRESS, INC",7186807000,No,377,BAYRIDGE AVENUE,BROOKLYN,NY,11220,LIVERY BASE,40.634907,-74.023845,05/10/2020,18:02:48,"(40.634907, -74.023845)"
B02841,"SKYWAY EXECUTIVE SERVICE, INC",7183595959,No,68-20A,FRESH MEADOW LANE,FRESH MEADOWS,NY,11365,BLACK CAR BASE,40.733337,-73.794706,05/10/2020,18:02:48,"(40.733337, -73.794706)"
B03187,A & J CAR SERVICE CORP,6469389605,No,2825,THIRD AVENUE  SUITE 301#C5,BRONX,NY,10455,BLACK CAR BASE,,,05/10/2020,18:02:48,
B03023,HERMANY LIMO TRANSPORTATION LLC,7186845959,No,3432,EAST TREMONT AVENUE,BRONX,NY,10465,BLACK CAR BASE,,,05/10/2020,18:02:48,
B02228,SPECIAL RADIO DISP.CORP.,2126663939,No,72,WEST  109 STREET,NEW YORK,NY,10025,LIVERY BASE,40.800928,-73.961258,05/10/2020,18:02:48,"(40.800928, -73.961258)"
B01559,MUNKACS CAR SVC LTD,7188541267,No,4002,14 AVENUE,BROOKLYN,NY,11218,LIVERY BASE,40.638787,-73.984991,05/10/2020,18:02:48,"(40.638787, -73.984991)"
B01984,NY 88 EXPRESS CORP.,7187060033,No,6506,11 AVENUE,BROOKLYN,NY,11219,LIVERY BASE,40.628543,-74.006362,05/10/2020,18:02:48,"(40.628543, -74.006362)"
B01417,NESHER EXPRESS CAR SERVICE 2 INC.,7188716800,No,1309,50TH STREET,BROOKLYN,NY,11219,LIVERY BASE,40.634321,-73.992234,05/10/2020,18:02:48,"(40.634321, -73.992234)"
B90735,UHC ADULT DAY PROGRAM & TRANSPORTATION SERVICES,9174737551,No,368,EAST  149 STREET  SUITE 3 FLR,BRONX,NY,10455,PARATRANSIT BASE,,,05/10/2020,18:02:48,
B01424,EAGLE CAR & LIMO LTD.,7187452000,No,1709,79 STREET,BROOKLYN,NY,11214,LIVERY BASE,40.612363,-74.000396,05/10/2020,18:02:48,"(40.612363, -74.000396)"
B03254,TEMPO TRANSPORTATION CORP.,9174421822,No,34-18,NORTHERN BOULEVARD,LIC,NY,11101,BLACK CAR BASE,,,05/10/2020,18:02:48,
B03171,HIGHLAND TRANSPORTATION MANAGEMENT CORP.,7182712700,No,34-18,NORTHERN BOULEVARD,LIC,NY,11101,BLACK CAR BASE,,,05/10/2020,18:02:48,
B01510,JPAN TRANSPORTATION INC,7182063300,Yes,159-06,HILLSIDE AVENUE,JAMAICA,NY,11432,LIVERY BASE,40.707728,-73.8025,05/10/2020,18:02:48,"(40.707728, -73.8025)"
B03116,NAVI TRANSPORTATION INC.,9292996284,No,219-16,LINDEN BOULEVARD,CAMBRIA HEIGHTS,NY,11411,BLACK CAR BASE,,,05/10/2020,18:02:48,
B02764,"DANACH-NY,LLC",7189715635,No,636,WEST   28 STREET,NEW YORK,NY,10001,BLACK CAR BASE,40.74844,-73.93946,05/10/2020,18:02:48,"(40.74844, -73.93946)"
B02998,GENESIS LUXURY TRANSPORTATION CORP.,7188725260,No,782,SOUTHERN BOULEVARD,BRONX,NY,10455,BLACK CAR BASE,,,05/10/2020,18:02:48,
B02846,DLS TRANSPORTATION CORP.,7182850357,No,914,SOUNDVIEW AVENUE  2ND FL,BRONX,NY,10473,BLACK CAR BASE,40.823574,-73.867859,05/10/2020,18:02:48,"(40.823574, -73.867859)"
B02429,SEAGULL RIDE CORP,7187033333,No,2692,CONEY ISLAND AVENUE,BROOKLYN,NY,11235,BLACK CAR BASE,40.59092,-73.961,05/10/2020,18:02:48,"(40.59092, -73.961)"
B00319,AVENTINE AUTO RENTAL INC,7183361010,No,2079,EAST   16 STREET,BROOKLYN,NY,11229,LIVERY BASE,40.599286,-73.95541,05/10/2020,18:02:48,"(40.599286, -73.95541)"
B00531,"FRIENDLY BEST-WAY TRANSPORTATION, INC.",7182526363,Yes,1448,CONEY ISLAND AVENUE,BROOKLYN,NY,11230,LIVERY BASE,40.622131,-73.96493,05/10/2020,18:02:48,"(40.622131, -73.96493)"
B02120,HARRISON GLOBAL LLC,7188917220,No,780,DOWD AVENUE,ELIZABETH,NJ,07201,LUXURY/LIMOUSINE,40.672805,-74.191579,05/10/2020,18:02:48,"(40.672805, -74.191579)"
B02285,"VALERA GLOBAL, INC.",7184331111,No,36-36,33 STREET  SUITE 308,LIC,NY,11106,LUXURY/LIMOUSINE,40.740256,-73.952684,05/10/2020,18:02:48,"(40.740256, -73.952684)"
B02832,NYC FLY WHEELS INC.,7184231111,No,208-01,NORTHERN BOULEVARD  SUITE #4B,BAYSIDE,NY,11361,LIVERY BASE,40.759035,-73.775438,05/10/2020,18:02:48,"(40.759035, -73.775438)"
B03125,SIMPLE CARS LLC.,8337746753,No,31 - 00,47TH AVENUE  3RD FLOOR,LONG ISL CITY,NY,11101,BLACK CAR BASE,,,05/10/2020,18:02:48,
B02857,MATHES SERVICE INC.,7185252943,No,169-25,137 AVENUE,JAMAICA,NY,11434,LIVERY BASE,,,05/10/2020,18:02:48,
B02342,"QUEST INTERNATIONAL LIMOUSINE, INC.",2122650307,No,330,WEST   38 STREET  STE 1408,NEW YORK,NY,10018,BLACK CAR BASE,40.755282,-73.99349,05/10/2020,18:02:48,"(40.755282, -73.99349)"
B00254,XYZ TWO WAY RADIO,7184993505,No,275,20 STREET,BROOKLYN,NY,11215,BLACK CAR BASE,40.661323,-73.99142,05/10/2020,18:02:48,"(40.661323, -73.99142)"
B03122,SIN FRONTERAS CAR SERVICE INC,3473582081,No,1224,FOREST AVENUE,STATEN ISLAND,NY,10310,BLACK CAR BASE,,,05/10/2020,18:02:48,
B03246,FASTRIDE LIMO INC.,3472716510,No,2121,DAVIDSON AVENUE,BRONX,NY,10453,BLACK CAR BASE,,,05/10/2020,18:02:48,
B02951,"APPROACH QUALITY TRANSPORTATION, LLC",6466613333,No,1,KNICKERBOCKER AVE,BROOKLYN,NY,11237,BLACK CAR BASE,40.866034,-73.859787,05/10/2020,18:02:48,"(40.866034, -73.859787)"
B02876,"VIERZEHN-NY, LLC",6466657584,No,636,WEST   28 STREET,NEW YORK,NY,10001,BLACK CAR BASE,40.75273,-74.00641,05/10/2020,18:02:48,"(40.75273, -74.00641)"
B03011,GOOD DAY TRANSPORTATION INC,3475336221,No,1111,CHURCH AVENUE,BROOKLYN,NY,11218,BLACK CAR BASE,,,05/10/2020,18:02:48,
B90568,AMG TRANSPORTATION INC.,7186460550,Yes,30A,COMMERCIAL STREET,FREEPORT,NY,11520,PARATRANSIT BASE,40.658652,-73.580098,05/10/2020,18:02:48,"(40.658652, -73.580098)"
B02928,N.Y.M EXPRESS INC,7185029299,No,2809,WEBSTER AVENUE,BRONX,NY,10458,BLACK CAR BASE,40.866717,-73.88502,05/10/2020,18:02:48,"(40.866717, -73.88502)"
B02710,"GOLDEN AGE TRANSIT,LLC",6462349911,No,677,56 STREET,BROOKLYN,NY,11220,LIVERY BASE,40.65464,-74.01359,05/10/2020,18:02:48,"(40.65464, -74.01359)"
B00078,R & R ROAD LIMO SVCE INC,7185858500,No,865,EAST  138 STREET,BRONX,NY,10454,LUXURY/LIMOUSINE,40.803251,-73.90843,05/10/2020,18:02:48,"(40.803251, -73.90843)"
B00013,LOVE CORPORATE CAR INC,7184381100,No,41 - 24,38TH STREET,LIC,NY,11101,BLACK CAR BASE,40.638477,-73.983333,05/10/2020,18:02:48,"(40.638477, -73.983333)"
