name;segment;length;status;geo_shape;width;trailtype;surftype;installdate;priorcorr;pilzone;equestrian;ada;projname;projnum;lastmaint;notes;rating;looptrail;loopname;geo_point_2d
Camp Branch GW Connector;Connects to Felspar Way;0.04155752;Existing;"{""type"": ""LineString"", ""coordinates"": [[-78.78427952083696, 35.70886457990364], [-78.78442757744749, 35.70886081581843], [-78.78462659682, 35.70885178041649], [-78.78468909736189, 35.70884652606372], [-78.784715473024, 35.708839862949596], [-78.78474350708932, 35.708811745742636], [-78.784801267036, 35.70872062782541], [-78.78486282387962, 35.70862628609344]]}";10.0;Greenway Connector;Asphalt;;NA;South;No;;;;;;;;;35.7088113, -78.7846075454
Irongate Greenway;E Chatham St to Trinity Rd;1.25838553;Proposed;"{""type"": ""LineString"", ""coordinates"": [[-78.75448812191541, 35.78152575942131], [-78.75482878017434, 35.78173236965794], [-78.75496962524916, 35.78181638715378], [-78.75515715893945, 35.78193080788258], [-78.75537231743131, 35.78205282895639], [-78.75558745616283, 35.78218160428967], [-78.7557944979713, 35.78225632462512], [-78.75596808558082, 35.78241204012521], [-78.7561253581898, 35.782500168656455], [-78.75635708079848, 35.78260871265217], [-78.75657242861361, 35.782696956728714], [-78.75677086373952, 35.782859471781265], [-78.75691120759636, 35.78305564582124], [-78.756943703527, 35.78326511754147], [-78.75706774701716, 35.78335993230871], [-78.75724944222738, 35.783596722772835], [-78.75736498254761, 35.78377258006529], [-78.75748062572993, 35.78391466583941], [-78.75757150369498, 35.784022927012536], [-78.75766246396417, 35.78410416685099], [-78.75773681846378, 35.78418537450052], [-78.75778616571976, 35.78431381514876], [-78.757877247847, 35.784354526079106], [-78.75811752514436, 35.784395536848024], [-78.75844886397466, 35.78448400777456], [-78.75879672898313, 35.78459953193722], [-78.75931855611817, 35.78474917408808], [-78.7596054307604, 35.784824671984126], [-78.75971388277196, 35.78486350675553], [-78.75979887407507, 35.78491224061674], [-78.75987106985585, 35.78498341972569], [-78.75989535171037, 35.78503828467139], [-78.76005551076257, 35.78532112041767], [-78.7601884022414, 35.7854475036309], [-78.76060905390582, 35.78563642801223], [-78.76131810431211, 35.78584420093981], [-78.76191032669308, 35.786194902910765], [-78.76191577847712, 35.786347360650325], [-78.76216271718806, 35.78647616915999], [-78.76229149020618, 35.786543340784746], [-78.76238710122654, 35.786593193166425], [-78.76258652036154, 35.786743893707055], [-78.76289338853961, 35.78693237740516], [-78.76334901380659, 35.787100277824884], [-78.76379571282402, 35.78726545068369], [-78.76434236433182, 35.78729446985132], [-78.76526087404775, 35.78710795311764], [-78.7668943867418, 35.78738186039414], [-78.76888973358436, 35.78758644326926], [-78.76992778547611, 35.78789719028316], [-78.77028796425074, 35.78793200018242], [-78.77046068193656, 35.78793317837454], [-78.77092563187945, 35.787941731094655], [-78.77106765528171, 35.788095581599826], [-78.77115956313432, 35.788175955820044], [-78.7712151130378, 35.788146195924476], [-78.77128833384852, 35.78812781799446], [-78.77135281946791, 35.78812793902935], [-78.77142002232677, 35.78815104308192], [-78.77158881741741, 35.788347430724926], [-78.77169181943194, 35.7883800063526], [-78.77220504294343, 35.78869807856921], [-78.77250253822508, 35.7889029176014], [-78.77290148609764, 35.78918260059734], [-78.77309843446928, 35.78899135996737]]}";0.0;Greenway;Asphalt;;Downtown To Raleigh;Central;;;;;;;;;;35.7860522419, -78.7635087707
GLC Rd Street-Side Trail (West);Waterford PDD;0.10585121;Existing;"{""type"": ""LineString"", ""coordinates"": [[-78.90006090495463, 35.85267528565526], [-78.90011624750039, 35.85287965076798], [-78.90016049687637, 35.85311811548042], [-78.90017670463112, 35.85324585416104], [-78.90018615214396, 35.8533835847611], [-78.90018999078467, 35.85355462811921], [-78.90018848344793, 35.85368235317859], [-78.90017387688492, 35.85389669533004], [-78.90013674166055, 35.85411324437876], [-78.9001476705523, 35.854144348920386], [-78.90012297679412, 35.85419460801525]]}";10.0;Street-Side;Concrete;;NA;West;No;;;;;;;;;35.8534353208, -78.9001559742
Green Hope School Rd Street-Side Trail;Copperleaf to Bellewood Manor;0.43286448;Proposed;"{""type"": ""LineString"", ""coordinates"": [[-78.90668426202171, 35.79725452581202], [-78.90779955766705, 35.79715767507589], [-78.90883521802166, 35.79687947997783], [-78.9093593881179, 35.796685218729465], [-78.91027291331112, 35.79607338078566], [-78.91073061452546, 35.79559948447964], [-78.91101887292189, 35.795269871778956], [-78.91161916209269, 35.794912265946465], [-78.91202456112019, 35.79476754368884], [-78.91248921362829, 35.79455415442242], [-78.91293666140916, 35.7944230659321], [-78.91323413511454, 35.794370205433246]]}";0.0;Street-Side;Asphalt;;NA;West;;;;;;;;;;35.7959909286, -78.9100233512
Yates Store Rd Street-Side Trail;From Weldon Ridge GW to Montvale GW;0.29286725;Existing;"{""type"": ""LineString"", ""coordinates"": [[-78.92324388001427, 35.808886556695164], [-78.92342154705167, 35.80878513754495], [-78.92352736137813, 35.808699538372025], [-78.92378004703923, 35.80844452140386], [-78.92389122408137, 35.80830337505276], [-78.92403289380916, 35.80810465046169], [-78.92413492688732, 35.80791395265625], [-78.92421875108522, 35.807718286086], [-78.92424291072138, 35.80764481160403], [-78.92423249284103, 35.807515073175956], [-78.92426892980457, 35.80737105426005], [-78.9243102042232, 35.807063919078516], [-78.924358614291, 35.806639456871025], [-78.92439758748401, 35.80628748589703], [-78.92440479378551, 35.80609479912607], [-78.92443762670563, 35.80604712348278], [-78.92444357132666, 35.80595173605677], [-78.92447652977994, 35.80576955858002], [-78.92454703758725, 35.80550536741033], [-78.92466798188933, 35.80515249332775], [-78.92463688242695, 35.805026580831765], [-78.92466331694202, 35.804954227067576]]}";10.0;Street-Side;Asphalt;;NA;West;No;;;;;;;;;35.8070463094, -78.9241978457
Black Creek Greenway;From Castalia Dr to Battery Loop;0.17401328999999902;Existing;"{""type"": ""LineString"", ""coordinates"": [[-78.81598147281001, 35.78119902828105], [-78.8160504896348, 35.78113134686883], [-78.81607921566885, 35.7811013898761], [-78.81610128193053, 35.781071777051984], [-78.81610811905705, 35.781030387699055], [-78.81611220258978, 35.780977011709254], [-78.81611372185971, 35.780901839129406], [-78.81612454974474, 35.78084738449202], [-78.81615010685329, 35.780765712534595], [-78.81617964173778, 35.78071317443748], [-78.81621315923626, 35.78065211110987], [-78.8162293188674, 35.780625287122525], [-78.81625351881931, 35.78058392484702], [-78.81626419568875, 35.78055888536026], [-78.81627766932212, 35.78052730993029], [-78.81628710414444, 35.78049246103218], [-78.81629256801025, 35.780461965951176], [-78.816300684142, 35.78041403924932], [-78.81631280446739, 35.78034759864554], [-78.81632765856475, 35.780301866058714], [-78.81635177678413, 35.78025941120592], [-78.81637596419776, 35.78022349661258], [-78.81641484243174, 35.78017670779162], [-78.81644841122203, 35.7801299118594], [-78.81646043498047, 35.780105471973094], [-78.81646722624195, 35.7800841807135], [-78.81647002184414, 35.78004060578579], [-78.8164730360333, 35.7798641179157], [-78.81647729002191, 35.779846639127385], [-78.81648786030624, 35.779831452961204], [-78.81650120640795, 35.77981845944143], [-78.81651867424614, 35.779809712056306], [-78.81654616874644, 35.779802092028135], [-78.81657618179422, 35.77979890229246], [-78.81664436471259, 35.77980118528653], [-78.8166750488941, 35.779799582904324], [-78.81670852119754, 35.77979474617569], [-78.81677404688033, 35.77977959308149], [-78.81686369053025, 35.77975902847959], [-78.81696936085324, 35.77973303925902], [-78.81707231604355, 35.77971467034967], [-78.8171078886253, 35.779712852566355], [-78.81714589590487, 35.77971587324322], [-78.81719780364304, 35.77972142321115], [-78.81724483340903, 35.779722557359534], [-78.81731303105204, 35.77971829984008], [-78.8173430474455, 35.77971360106853], [-78.81737315599328, 35.779705317777406], [-78.81740833439481, 35.7796919116203], [-78.81743879750913, 35.77967600075912], [-78.81746783552485, 35.77965683660246], [-78.81749097040039, 35.779639035442756], [-78.81754326170736, 35.77958681951816], [-78.8176155528583, 35.779523740755536], [-78.81765328015526, 35.779490478099575]]}";10.0;Greenway;Asphalt;;BC To WO;Central;No;;;;;;;;;35.7801563108, -78.8166424816
Chapel Hill Rd Street-Side Trail;Stalls Medical east to I40;1.14450237;Proposed;"{""type"": ""LineString"", ""coordinates"": [[-78.7659959782998, 35.79463489412959], [-78.76538837780691, 35.7947919580953], [-78.76420519002446, 35.79511074924408], [-78.76375416410724, 35.79522816318454], [-78.7633137135065, 35.795389792383936], [-78.76321029538671, 35.79541128043834], [-78.76280905994882, 35.79551001628199], [-78.76257400847544, 35.79557207736157], [-78.76197221148743, 35.795729110340545], [-78.76144558124999, 35.79586715024328], [-78.76101932267365, 35.79595945240052], [-78.7607441485697, 35.796018686662805], [-78.76047120623099, 35.79609301134491], [-78.76006176216458, 35.79619975024485], [-78.75976470980243, 35.79627343188005], [-78.75945090567838, 35.79633817086201], [-78.75927282346304, 35.79637703473628], [-78.75887598064878, 35.79644160365022], [-78.75852134111439, 35.79648843629719], [-78.75830829453047, 35.79652009534751], [-78.75784589016975, 35.7965465077578], [-78.75748551792437, 35.796564804850355], [-78.7570450204237, 35.79656749215068], [-78.75647331750989, 35.79655090551214], [-78.75616997643063, 35.796527720279755], [-78.7556523658521, 35.796466077203654], [-78.75509983015436, 35.796384164475064], [-78.75476315426874, 35.79631694219375], [-78.75441328344998, 35.79623662112994], [-78.75399942959021, 35.79612765235152], [-78.75349743183654, 35.795978798873286], [-78.75309554684925, 35.795843704200024], [-78.75265004269895, 35.7956650767814], [-78.75229900052398, 35.795528113228066], [-78.75202086662861, 35.795396398651], [-78.75066794955855, 35.79485597821821], [-78.74814818015885, 35.79373459262305], [-78.74681027823056, 35.793369847894255]]}";0.0;Street-Side;Concrete;;NA;Central;;;;;;;;;;35.7954668935, -78.7563186382
Brier's Creek Greenway;From Weston Pkwy to Crabtree Creek GW;0.16211239;Proposed;"{""type"": ""LineString"", ""coordinates"": [[-78.80629662005884, 35.82641439302494], [-78.80596645912087, 35.82665538868061], [-78.80619568774726, 35.82686456747379], [-78.80683515819676, 35.82744961263783], [-78.80729737032686, 35.827747518447886], [-78.80761943063223, 35.82804025125407], [-78.80765608941287, 35.828084956528066]]}";0.0;Street-Side;Concrete;;NA;Central;;;;;;;;;;35.8272477118, -78.8067004887
Green Level Greenway;Morrisville Pkwy Ped tunnel to Hilliard Forest Sub;0.06198106999999901;Existing;"{""type"": ""LineString"", ""coordinates"": [[-78.8993357860657, 35.805392140169], [-78.89927928903415, 35.8051536142444], [-78.89925553418323, 35.8050692925919], [-78.89923006101328, 35.80495480177236], [-78.89921409793871, 35.80484389531274], [-78.89920757209326, 35.80479500231209], [-78.89918789093394, 35.80473059633725], [-78.89916309840424, 35.80465783974986], [-78.89912198762948, 35.80458879036694], [-78.89908176842192, 35.8045226494194]]}";10.0;Greenway;Asphalt;2013-12-16T01:00:00+00:00;NA;West;No;;The Mews at Greystone-Parcel MR-2;08-SP-008;;;;;;35.8049493543, -78.8992285147
Unnamed Greenway;Apex Boundary to Arthur Pierce Rd;1.128267249999999;Proposed;"{""type"": ""LineString"", ""coordinates"": [[-78.78853180604727, 35.69450139713391], [-78.78872990873532, 35.69438403942983], [-78.78951355736314, 35.69401607004998], [-78.79046007899754, 35.693962025907425], [-78.79078194723793, 35.69286149471359], [-78.7913979064343, 35.69192162054181], [-78.79203722161266, 35.69142221792656], [-78.7919393598852, 35.691301930374024], [-78.79201390385519, 35.690961722729156], [-78.79235890324819, 35.69038173439837], [-78.79270285539667, 35.69024217926177], [-78.79329393323088, 35.68940235331919], [-78.79342015848287, 35.68804121109968], [-78.79300739247944, 35.686318800200866], [-78.79293469962731, 35.68593829658211], [-78.7921739517478, 35.685977040374354], [-78.79163595415923, 35.68523538426758], [-78.79097680463444, 35.6839129397928], [-78.79073403910958, 35.68289150678425], [-78.79061251893081, 35.68245085708311], [-78.79000113757249, 35.681649006285014], [-78.7895110523447, 35.681407919992225]]}";0.0;Greenway;Asphalt;;NA;South;;;;;;;;;;35.6883435962, -78.7915574192
Panther Creek GW Connector;Connects to Buhrstone Drive;0.04731395;Proposed;"{""type"": ""LineString"", ""coordinates"": [[-78.89734789348809, 35.81748891526498], [-78.89734902162017, 35.817522541340374], [-78.89734753291, 35.81754281106338], [-78.89734018071059, 35.817567844800024], [-78.89724554819229, 35.8177293334785], [-78.89723967442539, 35.81774304140422], [-78.89723526550006, 35.81775615388234], [-78.89723817245377, 35.81777284991849], [-78.89724254804095, 35.81778596980271], [-78.89725497706438, 35.81779790401252], [-78.89727033770134, 35.81780626420331], [-78.89729155882377, 35.817812243502814], [-78.89732084287654, 35.817808691687524], [-78.8974445910427, 35.81777719694832], [-78.89747168176984, 35.817771854105615], [-78.89750022902035, 35.81777247479839], [-78.89752803838746, 35.81777726713374], [-78.897552185074, 35.81778444221215], [-78.89757559196869, 35.8177981738603], [-78.89759971676912, 35.817822638276716], [-78.89762894721834, 35.817861415634624]]}";0.0;Greenway Connector;Asphalt;;NA;West;;;;;;;;;;35.8177294918, -78.8973811043
Annie Jones GW Connector;Connects to Scottish Hills Rec Area;0.01419406;Existing;"{""type"": ""LineString"", ""coordinates"": [[-78.81366662074886, 35.75984854764377], [-78.81373183908143, 35.75981362360227], [-78.81376896824244, 35.75979094019235], [-78.81386409640437, 35.759720921732715]]}";5.0;Greenway Connector;Asphalt;;NA;Central;No;;;;;;;;;35.759788089, -78.8137674877
Morrisville Pkwy Street-Side Trail;Copperleaf Reserve frontage to Ferson Rd;0.24609575;Existing;"{""type"": ""LineString"", ""coordinates"": [[-78.9194370345725, 35.79603716992219], [-78.91963877980184, 35.796269820706684], [-78.91963435213988, 35.796307736222644], [-78.919608836067, 35.79635708483358], [-78.91955960055945, 35.7964157177991], [-78.91947962268296, 35.796480054837254], [-78.91937857623046, 35.7965379387175], [-78.91924238973762, 35.79660796099656], [-78.91921163847188, 35.79662368069589], [-78.9191905424617, 35.79664369896739], [-78.91915099321707, 35.796675151998386], [-78.91909914084835, 35.7967158977657], [-78.91905431018996, 35.79676022558965], [-78.91901299105055, 35.79680455482902], [-78.9189874937909, 35.796834586719015], [-78.91892335459494, 35.79686816941139], [-78.91886096571812, 35.79690604631264], [-78.91882318244531, 35.79692819949396], [-78.91879154319071, 35.79695321941069], [-78.9185454044487, 35.79720131179971], [-78.91848123737515, 35.79726208132086], [-78.9184328915518, 35.79730712221993], [-78.91838456338719, 35.79733570736798], [-78.91833096269859, 35.79736715071375], [-78.91828526437324, 35.79740002975987], [-78.91824658634935, 35.797437922238494], [-78.91821229365624, 35.79748154114927], [-78.91814807069828, 35.797595968049976], [-78.91811992774797, 35.797636729312714], [-78.91808827423134, 35.79767534212117], [-78.91804960323343, 35.79770607971191], [-78.91801709658485, 35.7977196509351], [-78.91795737900637, 35.79772104206844], [-78.91790907982048, 35.79771957821372], [-78.9178906367265, 35.79772171187497], [-78.91778603158042, 35.797821087845314], [-78.91778864766047, 35.79783897577524], [-78.917805240833, 35.79793056297801], [-78.917803457742, 35.7979563175272], [-78.91777795530642, 35.79799064132423], [-78.91774191685228, 35.79802281191632], [-78.91768567099518, 35.798064268860585], [-78.91754858414792, 35.79815289133276], [-78.91750903206766, 35.79818577423834], [-78.9174791451857, 35.79821437150222], [-78.91745539323391, 35.79825370515274], [-78.91739557733305, 35.79835096411484], [-78.91734545653203, 35.79841460428671], [-78.91729887655588, 35.79844962934239], [-78.91727251651061, 35.79846320453531], [-78.91720839324633, 35.79847818539646], [-78.9170898273358, 35.79848883611783], [-78.91698705792163, 35.79850951406081]]}";10.0;Street-Side;Asphalt;;NA;West;No;;;;;;;;;35.7973394822, -78.9184117407
Morrisville Pkwy Street-Side Trail;Ferson Rd to ATT;0.19768068999999902;Proposed;"{""type"": ""LineString"", ""coordinates"": [[-78.92236743581034, 35.79450661666794], [-78.92076008479195, 35.795503222414965], [-78.9196723229725, 35.79614523719176], [-78.91963877980184, 35.796269820706684]]}";0.0;Street-Side;Asphalt;;NA;West;;;;;;;;;;35.7953673617, -78.9209703773
Walnut Street Park Greenway;Links Pirates Cove GW to Walnut St Park - W;0.14134218;Proposed;"{""type"": ""LineString"", ""coordinates"": [[-78.75637536001913, 35.76372160001283], [-78.75616699205122, 35.76365479403293], [-78.75598691952231, 35.76359477026769], [-78.75582360504404, 35.76353876380386], [-78.75566204135555, 35.76348900879866], [-78.75548852684638, 35.76343397921608], [-78.75536645078559, 35.76339595304676], [-78.75522781642263, 35.763343960390856], [-78.75505975694037, 35.76329656027889], [-78.75491980816041, 35.763260953898], [-78.75478843592904, 35.76323185525368], [-78.75469757194986, 35.76321107550768], [-78.75453585058564, 35.76318603193479], [-78.7543314271218, 35.76315339737214], [-78.7541836731215, 35.76313538319976], [-78.75414457753665, 35.76313353223304], [-78.75411404304643, 35.76314321330108], [-78.75407373033583, 35.763181230231346], [-78.75405124289112, 35.76323256545759]]}";0.0;Greenway;Asphalt;;NA;Central;;;;;;;;;;35.7633724221, -78.755201052
Piney Plains Rd Street-Side Trail;Along Piney Plains Road;0.27734281999999905;Proposed;"{""type"": ""LineString"", ""coordinates"": [[-78.7435306939944, 35.76002751217499], [-78.74353213330977, 35.760010228165626], [-78.7435616135666, 35.76001429585109], [-78.74359744274767, 35.76000922456191], [-78.74386827610073, 35.75990211704828], [-78.7441959323932, 35.75973291783522], [-78.74481424797705, 35.75944820131501], [-78.74600852308545, 35.758891574248885], [-78.7462120294806, 35.758782321872616], [-78.7464552227953, 35.75861939419418], [-78.74664571087186, 35.75846925475576], [-78.74679652254777, 35.75831473398061], [-78.74694481918978, 35.7581559065301], [-78.7471169745269, 35.75793906687668], [-78.74731979784517, 35.75761528556062]]}";0.0;Street-Side;Concrete;;NA;Central;;;;;;;;;;35.7590056424, -78.7455586761
Black Creek Greenway;Crabtree Lake GW to Reedy Creek Trailhead;0.22828261999999902;Existing;"{""type"": ""LineString"", ""coordinates"": [[-78.7866284939127, 35.833576155524796], [-78.78658641895467, 35.83350735369245], [-78.78634075397889, 35.83327443892282], [-78.78631905289713, 35.83325185142123], [-78.78630361056824, 35.83322276368143], [-78.78629474216834, 35.833195653263815], [-78.7862877672345, 35.83315402844732], [-78.78628580323414, 35.83309934944302], [-78.78628594650877, 35.83304515544203], [-78.7862799761986, 35.83294256373567], [-78.78625946982658, 35.832851205050304], [-78.78624784230645, 35.83278299635958], [-78.78624263309197, 35.8327437937997], [-78.78623412330168, 35.832708343095646], [-78.78622895420521, 35.83268578456146], [-78.78622058483009, 35.832661278950276], [-78.78618641066049, 35.8326032058212], [-78.78608580902832, 35.8324690628679], [-78.78602656501523, 35.8323871550923], [-78.78599362690817, 35.8322766041356], [-78.78594974846645, 35.83218878082169], [-78.78584037498877, 35.83205503505169], [-78.78580978089347, 35.832014913574845], [-78.78579132252997, 35.83197842774854], [-78.7857881240697, 35.83194406252448], [-78.78578696566879, 35.831903790863244], [-78.78579292986747, 35.83162622230686], [-78.78574310918437, 35.831521781447115], [-78.78567908193351, 35.83143089863392], [-78.78563751601226, 35.83136202701118], [-78.78563216994642, 35.83134243891421], [-78.78562962111695, 35.83131773798255], [-78.78563491381952, 35.83129358713158], [-78.7856614151689, 35.83125497567454], [-78.78569710154412, 35.831219062717516], [-78.78577428447956, 35.831151207427084], [-78.78578437857543, 35.83112954997357], [-78.78578907559711, 35.83110754413521], [-78.78579707773333, 35.83107963948907], [-78.78581041801881, 35.831010402901796], [-78.78582917897486, 35.83090084220121], [-78.78583428788392, 35.83084116958371], [-78.78583741395363, 35.830766650371565], [-78.7858507101596, 35.83072195962764], [-78.78586549909522, 35.8306665393618], [-78.78587769878183, 35.83063675198954], [-78.78587883269694, 35.830608135836954], [-78.78586865671052, 35.83058009740003], [-78.7858431465794, 35.83053712582017]]}";10.0;Greenway;Asphalt;;BC To WO, Um Park To ATT;Central;No;;;;;;;;;35.8320890038, -78.7860096305
Campbell Greenway;Pritchett Farm to Fordland Dr;0.5385104699999991;Proposed;"{""type"": ""LineString"", ""coordinates"": [[-78.74028906041013, 35.73641330811584], [-78.74062940898715, 35.73606163273029], [-78.74131922756703, 35.73505117179265], [-78.74136846724195, 35.73432011223241], [-78.74123807538308, 35.733842533512636], [-78.74119744394949, 35.73366689194996], [-78.74119903504331, 35.733406458130744], [-78.74100393103049, 35.73327698109067], [-78.74093741473793, 35.73300380132439], [-78.74094243093157, 35.732884104134854], [-78.74110519119085, 35.73256412308221], [-78.7411196683312, 35.73204124489051], [-78.74099681017697, 35.73181679087055], [-78.74099137974483, 35.7315923522266], [-78.74089932916131, 35.73142815197584], [-78.74100240010365, 35.73125448436597], [-78.7409236954625, 35.73089500022177], [-78.74093421970099, 35.730817543434576], [-78.74105416558493, 35.73068777999343], [-78.74126012679064, 35.73052813616711], [-78.74137367527811, 35.73034415095212], [-78.74142395466441, 35.73005686507456], [-78.74145216807811, 35.7298211117863], [-78.74151137152467, 35.7294298339947], [-78.74161510862706, 35.72917820933735]]}";0.0;Greenway;Asphalt;;NA;South;;;;;;;;;;35.7328625807, -78.7411140002
SE Cary Pkwy Street-Side Trail;Speight Branch GW to Macedonia GW;0.538808249999999;Proposed;"{""type"": ""LineString"", ""coordinates"": [[-78.75326353705941, 35.73798793115837], [-78.75191570472387, 35.73766544623658], [-78.75157869635605, 35.737594998453574], [-78.75118453409021, 35.737536742810946], [-78.75095958743155, 35.73751511721476], [-78.75071119429066, 35.73750251717976], [-78.75040086771816, 35.73749482648634], [-78.75022782368215, 35.73749749659227], [-78.74999906577608, 35.73751012745964], [-78.7497023547268, 35.73753975395878], [-78.74918543173779, 35.73759714695678], [-78.74862553071112, 35.73765851236458], [-78.74803662747806, 35.737726804321944], [-78.74757288086676, 35.737777249174826], [-78.74724271988585, 35.73780780624604], [-78.74698068485698, 35.73782036236029], [-78.74671733567169, 35.73782183026631], [-78.74642934513868, 35.737810145037706], [-78.74621921075554, 35.73779357742292], [-78.74603385863732, 35.737772029753714], [-78.745827556483, 35.73774236910605], [-78.74559653341056, 35.73769754067043], [-78.74534818019487, 35.73764562331964], [-78.74501633109803, 35.737570433312364], [-78.74443161368666, 35.7374330616466], [-78.74424123736308, 35.73739042331878], [-78.74419793201834, 35.73739462461803], [-78.7441441276722, 35.737389265659424], [-78.74386720575768, 35.737294019108276]]}";0.0;Street-Side;Concrete;;NA;South;;;;;;;;;;35.7376535698, -78.748562167
SE Cary Pkwy Street-Side Trail;Holly Springs Road to Campbell Greenway;0.21603357;Existing;"{""type"": ""LineString"", ""coordinates"": [[-78.74386720575768, 35.737294019108276], [-78.74383270035095, 35.737266506444165], [-78.74349835736629, 35.73717613175624], [-78.74328967678225, 35.737122271111964], [-78.74322359746556, 35.73711354632946], [-78.7429715559482, 35.73708153456987], [-78.74266212582265, 35.73706800325909], [-78.74176481115293, 35.73703605395012], [-78.7415642178884, 35.737015118822434], [-78.74103635847963, 35.73688664603881], [-78.74014816126811, 35.73663303922221]]}";10.0;Street-Side;Concrete;;NA;South;No;;Pritchett Farms Phase 1;14-SB-031;;;;;;35.736994829, -78.7420047565
Chapel Hill Rd Street-Side Trail;Along Academy Plaza;0.12966403;Proposed;"{""type"": ""LineString"", ""coordinates"": [[-78.78104195413867, 35.79157050492569], [-78.78100343342149, 35.79156922789674], [-78.78058823177581, 35.79151765331356], [-78.78025745313668, 35.79148246187661], [-78.78011577464628, 35.79147228700304], [-78.77992595115326, 35.791465610554155], [-78.77984577247581, 35.791469136875364], [-78.77972932230578, 35.79148150824826], [-78.77966584910207, 35.79147993871598], [-78.7795481176076, 35.791467626136956], [-78.77950791383944, 35.79146489623106], [-78.77914636101383, 35.7914630254989], [-78.77882299992679, 35.79149006598873], [-78.77874587692857, 35.79148624127685]]}";5.0;Street-Side;Concrete;;NA;Central;;;;;;;;;;35.7914908975, -78.7798950371
Chapel Hill Rd Street-Side Trail;Along Preschool;0.055303079999999005;Proposed;"{""type"": ""LineString"", ""coordinates"": [[-78.77148219712893, 35.79317593551503], [-78.77137994507653, 35.79320428109437], [-78.77130129979713, 35.79323129815498], [-78.7712435770032, 35.79325282921991], [-78.77117910623832, 35.7932757320466], [-78.77107730802103, 35.79329257259143], [-78.77089645726471, 35.79333091196937], [-78.77081387984522, 35.79334778843306], [-78.77068547742117, 35.79338161847879], [-78.77054552106071, 35.79341722841446]]}";5.0;Street-Side;Concrete;;NA;Central;;;;;;;;;;35.7933023659, -78.7710156261
Indian Creek Greenway;Parallel to Town Hall Campus Dr;0.32619741;Existing;"{""type"": ""LineString"", ""coordinates"": [[-78.83840210066954, 35.82708198280748], [-78.8384281573367, 35.82708310074704], [-78.8384840814176, 35.8270786213373], [-78.8385242357813, 35.82707326024224], [-78.83858117687001, 35.82706661443486], [-78.83861737154679, 35.82705886134198], [-78.83867169689263, 35.8270524301513], [-78.83870196760994, 35.827055474345094], [-78.83873608325186, 35.827075716500794], [-78.83875207552171, 35.82709153257529], [-78.83877202189967, 35.827112538331534], [-78.83879209750097, 35.82715311034107], [-78.83881631128972, 35.827212027193085], [-78.83884197671267, 35.82726452578021], [-78.83887176715521, 35.82730367569943], [-78.83890312092093, 35.827345892200846], [-78.83893053907171, 35.827383643709624], [-78.83895047051257, 35.82741220707154], [-78.83896172192559, 35.827436683146296], [-78.83897703087966, 35.82745722125856], [-78.83899622625232, 35.82747416278515], [-78.839020311927, 35.82749137936338], [-78.83920668625258, 35.82758099857864], [-78.83924610414006, 35.8276065879646], [-78.8392634446995, 35.82762294564392], [-78.83930830351905, 35.82766970722623], [-78.83936290704219, 35.82773567636665], [-78.83943409070474, 35.82777632371213], [-78.83954554701793, 35.82783751758254], [-78.83963762239391, 35.827890472932104], [-78.83970145614713, 35.82793728366158], [-78.83974877479133, 35.82797728112236], [-78.83979355557142, 35.82802065882295], [-78.8398283083646, 35.82806041710767], [-78.83996828603942, 35.82824184676436], [-78.83999563524172, 35.82827233951761], [-78.84001971652447, 35.828292002998985], [-78.8400575239271, 35.82832242834289], [-78.84023287273392, 35.8284448047615], [-78.84043928869744, 35.82859459408765], [-78.84065958793536, 35.828803340983086], [-78.84073938837736, 35.82888055585963], [-78.84091515368539, 35.829049453063405], [-78.84107303469159, 35.82922073774554], [-78.84116979315887, 35.829338548704776], [-78.84128045304897, 35.82947793388883], [-78.8413505635593, 35.829565308137816], [-78.84151527520675, 35.829795452532196], [-78.84156208740319, 35.82987914236613], [-78.8416086569486, 35.830043795609825], [-78.84172054217258, 35.83044857485518], [-78.84175147065191, 35.83063309914355]]}";10.0;Greenway;Asphalt;;NA;Central;No;;;;;;;;;35.8286183324, -78.8402959502
Preston Village Greenway;Louis Stephens Rd to Upchurch Meadow Rd;0.38819532;Existing;"{""type"": ""LineString"", ""coordinates"": [[-78.85789419344542, 35.80346964270964], [-78.8582339145538, 35.80359652580045], [-78.85833900486423, 35.80371914699321], [-78.85842165081222, 35.80375599327342], [-78.85897639380974, 35.803772024141246], [-78.8589447282, 35.804089883803805], [-78.8588953751478, 35.80459062140546], [-78.85886909846121, 35.80486348704233], [-78.85883789315862, 35.8052074732514], [-78.85879766245625, 35.80584273220588], [-78.85882306387911, 35.80587760010804], [-78.85885928746903, 35.80589554351795], [-78.85897274996498, 35.8059097104916], [-78.85960806957767, 35.805901510001455], [-78.85968861101895, 35.80588894708997], [-78.85986645382125, 35.805826060846115], [-78.860595427018, 35.805779481189916], [-78.86067017871648, 35.80579988731707], [-78.86083925681454, 35.80583177421671], [-78.86099722231278, 35.805854215716415], [-78.86111247461169, 35.805857248525186], [-78.86118728132844, 35.805845720934165], [-78.86125982749539, 35.80582451487258], [-78.8613002537267, 35.805801335242], [-78.86134905760912, 35.80575977785764], [-78.86141263397602, 35.80570856140228], [-78.86147568029412, 35.80567088960136], [-78.86151843113876, 35.805669005722585], [-78.86181178373404, 35.80570320825776]]}";10.0;Greenway;Asphalt;;NA;West;No;;;;;;;;;35.8050965326, -78.859495908
