year_month,month_of_release,passenger_type,direction,sex,age,estimate,standard_error,status
2018-08,2019-12,Long-term migrant,Arrivals,Female,10-14 years,244,0,Final
2018-09,2019-12,Long-term migrant,Arrivals,Female,10-14 years,242,0,Provisional
2018-10,2019-12,Long-term migrant,Arrivals,Female,10-14 years,218,1,Provisional
2018-11,2019-12,Long-term migrant,Arrivals,Female,10-14 years,207,2,Provisional
2018-12,2019-12,Long-term migrant,Arrivals,Female,10-14 years,409,4,Provisional
2019-01,2019-12,Long-term migrant,Arrivals,Female,10-14 years,523,12,Provisional
2019-02,2019-12,Long-term migrant,Arrivals,Female,10-14 years,225,7,Provisional
2019-03,2019-12,Long-term migrant,Arrivals,Female,10-14 years,201,7,Provisional
2019-04,2019-12,Long-term migrant,Arrivals,Female,10-14 years,206,9,Provisional
2019-05,2019-12,Long-term migrant,Arrivals,Female,10-14 years,183,7,Provisional
2019-06,2019-12,Long-term migrant,Arrivals,Female,10-14 years,201,8,Provisional
2019-07,2019-12,Long-term migrant,Arrivals,Female,10-14 years,392,16,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Female,10-14 years,302,11,Provisional
2019-09,2019-12,Long-term migrant,Arrivals,Female,10-14 years,219,10,Provisional
2019-10,2019-12,Long-term migrant,Arrivals,Female,10-14 years,235,12,Provisional
2019-11,2019-12,Long-term migrant,Arrivals,Female,10-14 years,217,13,Provisional
2019-12,2019-12,Long-term migrant,Arrivals,Female,10-14 years,499,36,Provisional
2018-08,2019-12,Long-term migrant,Arrivals,Male,10-14 years,277,0,Final
2018-09,2019-12,Long-term migrant,Arrivals,Male,10-14 years,227,0,Provisional
2018-10,2019-12,Long-term migrant,Arrivals,Male,10-14 years,250,1,Provisional
2018-11,2019-12,Long-term migrant,Arrivals,Male,10-14 years,208,2,Provisional
2018-12,2019-12,Long-term migrant,Arrivals,Male,10-14 years,468,5,Provisional
2019-01,2019-12,Long-term migrant,Arrivals,Male,10-14 years,569,13,Provisional
2019-02,2019-12,Long-term migrant,Arrivals,Male,10-14 years,225,6,Provisional
2019-03,2019-12,Long-term migrant,Arrivals,Male,10-14 years,218,6,Provisional
2019-04,2019-12,Long-term migrant,Arrivals,Male,10-14 years,216,10,Provisional
2019-05,2019-12,Long-term migrant,Arrivals,Male,10-14 years,210,7,Provisional
2019-06,2019-12,Long-term migrant,Arrivals,Male,10-14 years,244,8,Provisional
2019-07,2019-12,Long-term migrant,Arrivals,Male,10-14 years,427,17,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Male,10-14 years,264,10,Provisional
2019-09,2019-12,Long-term migrant,Arrivals,Male,10-14 years,259,10,Provisional
2019-10,2019-12,Long-term migrant,Arrivals,Male,10-14 years,259,13,Provisional
2019-11,2019-12,Long-term migrant,Arrivals,Male,10-14 years,202,12,Provisional
2019-12,2019-12,Long-term migrant,Arrivals,Male,10-14 years,477,36,Provisional
2018-08,2019-12,Long-term migrant,Arrivals,Female,15-19 years,320,0,Final
2018-09,2019-12,Long-term migrant,Arrivals,Female,15-19 years,286,0,Provisional
2018-10,2019-12,Long-term migrant,Arrivals,Female,15-19 years,289,3,Provisional
2018-11,2019-12,Long-term migrant,Arrivals,Female,15-19 years,269,3,Provisional
2018-12,2019-12,Long-term migrant,Arrivals,Female,15-19 years,395,5,Provisional
2019-01,2019-12,Long-term migrant,Arrivals,Female,15-19 years,721,27,Provisional
2019-02,2019-12,Long-term migrant,Arrivals,Female,15-19 years,506,20,Provisional
2019-03,2019-12,Long-term migrant,Arrivals,Female,15-19 years,285,11,Provisional
2019-04,2019-12,Long-term migrant,Arrivals,Female,15-19 years,309,17,Provisional
2019-05,2019-12,Long-term migrant,Arrivals,Female,15-19 years,186,9,Provisional
2019-06,2019-12,Long-term migrant,Arrivals,Female,15-19 years,235,12,Provisional
2019-07,2019-12,Long-term migrant,Arrivals,Female,15-19 years,667,32,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Female,15-19 years,315,15,Provisional
2019-09,2019-12,Long-term migrant,Arrivals,Female,15-19 years,311,18,Provisional
2019-10,2019-12,Long-term migrant,Arrivals,Female,15-19 years,284,19,Provisional
2019-11,2019-12,Long-term migrant,Arrivals,Female,15-19 years,275,17,Provisional
2019-12,2019-12,Long-term migrant,Arrivals,Female,15-19 years,425,33,Provisional
2018-08,2019-12,Long-term migrant,Arrivals,Male,15-19 years,413,0,Final
2018-09,2019-12,Long-term migrant,Arrivals,Male,15-19 years,344,0,Provisional
2018-10,2019-12,Long-term migrant,Arrivals,Male,15-19 years,350,1,Provisional
2018-11,2019-12,Long-term migrant,Arrivals,Male,15-19 years,315,3,Provisional
2018-12,2019-12,Long-term migrant,Arrivals,Male,15-19 years,392,5,Provisional
2019-01,2019-12,Long-term migrant,Arrivals,Male,15-19 years,719,21,Provisional
2019-02,2019-12,Long-term migrant,Arrivals,Male,15-19 years,519,18,Provisional
2019-03,2019-12,Long-term migrant,Arrivals,Male,15-19 years,288,11,Provisional
2019-04,2019-12,Long-term migrant,Arrivals,Male,15-19 years,304,16,Provisional
2019-05,2019-12,Long-term migrant,Arrivals,Male,15-19 years,222,9,Provisional
2019-06,2019-12,Long-term migrant,Arrivals,Male,15-19 years,284,12,Provisional
2019-07,2019-12,Long-term migrant,Arrivals,Male,15-19 years,663,29,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Male,15-19 years,335,15,Provisional
2019-09,2019-12,Long-term migrant,Arrivals,Male,15-19 years,343,17,Provisional
2019-10,2019-12,Long-term migrant,Arrivals,Male,15-19 years,354,19,Provisional
2019-11,2019-12,Long-term migrant,Arrivals,Male,15-19 years,350,19,Provisional
2019-12,2019-12,Long-term migrant,Arrivals,Male,15-19 years,456,33,Provisional
2018-08,2019-12,Long-term migrant,Arrivals,Female,20-24 years,766,0,Final
2018-09,2019-12,Long-term migrant,Arrivals,Female,20-24 years,871,0,Provisional
2018-10,2019-12,Long-term migrant,Arrivals,Female,20-24 years,683,3,Provisional
2018-11,2019-12,Long-term migrant,Arrivals,Female,20-24 years,787,6,Provisional
2018-12,2019-12,Long-term migrant,Arrivals,Female,20-24 years,708,7,Provisional
2019-01,2019-12,Long-term migrant,Arrivals,Female,20-24 years,821,15,Provisional
2019-02,2019-12,Long-term migrant,Arrivals,Female,20-24 years,1127,29,Provisional
2019-03,2019-12,Long-term migrant,Arrivals,Female,20-24 years,722,22,Provisional
2019-04,2019-12,Long-term migrant,Arrivals,Female,20-24 years,440,17,Provisional
2019-05,2019-12,Long-term migrant,Arrivals,Female,20-24 years,530,18,Provisional
2019-06,2019-12,Long-term migrant,Arrivals,Female,20-24 years,601,22,Provisional
2019-07,2019-12,Long-term migrant,Arrivals,Female,20-24 years,915,27,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Female,20-24 years,677,23,Provisional
2019-09,2019-12,Long-term migrant,Arrivals,Female,20-24 years,764,27,Provisional
2019-10,2019-12,Long-term migrant,Arrivals,Female,20-24 years,710,28,Provisional
2019-11,2019-12,Long-term migrant,Arrivals,Female,20-24 years,756,36,Provisional
2019-12,2019-12,Long-term migrant,Arrivals,Female,20-24 years,729,45,Provisional
2018-08,2019-12,Long-term migrant,Arrivals,Male,20-24 years,680,0,Final
2018-09,2019-12,Long-term migrant,Arrivals,Male,20-24 years,773,0,Provisional
2018-10,2019-12,Long-term migrant,Arrivals,Male,20-24 years,708,3,Provisional
2018-11,2019-12,Long-term migrant,Arrivals,Male,20-24 years,719,5,Provisional
2018-12,2019-12,Long-term migrant,Arrivals,Male,20-24 years,596,6,Provisional
2019-01,2019-12,Long-term migrant,Arrivals,Male,20-24 years,694,11,Provisional
2019-02,2019-12,Long-term migrant,Arrivals,Male,20-24 years,1234,27,Provisional
2019-03,2019-12,Long-term migrant,Arrivals,Male,20-24 years,671,19,Provisional
2019-04,2019-12,Long-term migrant,Arrivals,Male,20-24 years,453,17,Provisional
2019-05,2019-12,Long-term migrant,Arrivals,Male,20-24 years,500,15,Provisional
2019-06,2019-12,Long-term migrant,Arrivals,Male,20-24 years,560,18,Provisional
2019-07,2019-12,Long-term migrant,Arrivals,Male,20-24 years,1044,26,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Male,20-24 years,733,22,Provisional
2019-09,2019-12,Long-term migrant,Arrivals,Male,20-24 years,714,27,Provisional
2019-10,2019-12,Long-term migrant,Arrivals,Male,20-24 years,835,32,Provisional
2019-11,2019-12,Long-term migrant,Arrivals,Male,20-24 years,884,35,Provisional
2019-12,2019-12,Long-term migrant,Arrivals,Male,20-24 years,677,39,Provisional
2018-08,2019-12,Long-term migrant,Arrivals,Female,25-29 years,1219,0,Final
2018-09,2019-12,Long-term migrant,Arrivals,Female,25-29 years,1308,0,Provisional
2018-10,2019-12,Long-term migrant,Arrivals,Female,25-29 years,1300,4,Provisional
2018-11,2019-12,Long-term migrant,Arrivals,Female,25-29 years,1255,7,Provisional
2018-12,2019-12,Long-term migrant,Arrivals,Female,25-29 years,1163,9,Provisional
2019-01,2019-12,Long-term migrant,Arrivals,Female,25-29 years,1109,16,Provisional
2019-02,2019-12,Long-term migrant,Arrivals,Female,25-29 years,1285,26,Provisional
2019-03,2019-12,Long-term migrant,Arrivals,Female,25-29 years,1035,26,Provisional
2019-04,2019-12,Long-term migrant,Arrivals,Female,25-29 years,711,22,Provisional
2019-05,2019-12,Long-term migrant,Arrivals,Female,25-29 years,865,23,Provisional
2019-06,2019-12,Long-term migrant,Arrivals,Female,25-29 years,878,25,Provisional
2019-07,2019-12,Long-term migrant,Arrivals,Female,25-29 years,1014,25,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Female,25-29 years,1131,32,Provisional
2019-09,2019-12,Long-term migrant,Arrivals,Female,25-29 years,1219,34,Provisional
2019-10,2019-12,Long-term migrant,Arrivals,Female,25-29 years,1285,42,Provisional
2019-11,2019-12,Long-term migrant,Arrivals,Female,25-29 years,1210,44,Provisional
2019-12,2019-12,Long-term migrant,Arrivals,Female,25-29 years,1229,63,Provisional
2018-08,2019-12,Long-term migrant,Arrivals,Male,25-29 years,1037,0,Final
2018-09,2019-12,Long-term migrant,Arrivals,Male,25-29 years,1110,0,Provisional
2018-10,2019-12,Long-term migrant,Arrivals,Male,25-29 years,1107,3,Provisional
2018-11,2019-12,Long-term migrant,Arrivals,Male,25-29 years,1203,6,Provisional
2018-12,2019-12,Long-term migrant,Arrivals,Male,25-29 years,958,8,Provisional
2019-01,2019-12,Long-term migrant,Arrivals,Male,25-29 years,1036,15,Provisional
2019-02,2019-12,Long-term migrant,Arrivals,Male,25-29 years,1324,26,Provisional
2019-03,2019-12,Long-term migrant,Arrivals,Male,25-29 years,989,25,Provisional
2019-04,2019-12,Long-term migrant,Arrivals,Male,25-29 years,679,21,Provisional
2019-05,2019-12,Long-term migrant,Arrivals,Male,25-29 years,810,22,Provisional
2019-06,2019-12,Long-term migrant,Arrivals,Male,25-29 years,822,23,Provisional
2019-07,2019-12,Long-term migrant,Arrivals,Male,25-29 years,1034,24,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Male,25-29 years,959,30,Provisional
2019-09,2019-12,Long-term migrant,Arrivals,Male,25-29 years,1032,31,Provisional
2019-10,2019-12,Long-term migrant,Arrivals,Male,25-29 years,1188,38,Provisional
2019-11,2019-12,Long-term migrant,Arrivals,Male,25-29 years,1165,44,Provisional
2019-12,2019-12,Long-term migrant,Arrivals,Male,25-29 years,1051,55,Provisional
2018-08,2019-12,Long-term migrant,Arrivals,Female,30-34 years,779,0,Final
2018-09,2019-12,Long-term migrant,Arrivals,Female,30-34 years,799,0,Provisional
2018-10,2019-12,Long-term migrant,Arrivals,Female,30-34 years,791,3,Provisional
2018-11,2019-12,Long-term migrant,Arrivals,Female,30-34 years,774,5,Provisional
2018-12,2019-12,Long-term migrant,Arrivals,Female,30-34 years,876,8,Provisional
2019-01,2019-12,Long-term migrant,Arrivals,Female,30-34 years,820,11,Provisional
2019-02,2019-12,Long-term migrant,Arrivals,Female,30-34 years,799,17,Provisional
2019-03,2019-12,Long-term migrant,Arrivals,Female,30-34 years,737,18,Provisional
2019-04,2019-12,Long-term migrant,Arrivals,Female,30-34 years,554,17,Provisional
2019-05,2019-12,Long-term migrant,Arrivals,Female,30-34 years,655,18,Provisional
2019-06,2019-12,Long-term migrant,Arrivals,Female,30-34 years,660,19,Provisional
2019-07,2019-12,Long-term migrant,Arrivals,Female,30-34 years,705,20,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Female,30-34 years,780,21,Provisional
2019-09,2019-12,Long-term migrant,Arrivals,Female,30-34 years,809,26,Provisional
2019-10,2019-12,Long-term migrant,Arrivals,Female,30-34 years,873,30,Provisional
2019-11,2019-12,Long-term migrant,Arrivals,Female,30-34 years,791,33,Provisional
2019-12,2019-12,Long-term migrant,Arrivals,Female,30-34 years,910,48,Provisional
2018-08,2019-12,Long-term migrant,Arrivals,Male,30-34 years,861,0,Final
2018-09,2019-12,Long-term migrant,Arrivals,Male,30-34 years,875,0,Provisional
2018-10,2019-12,Long-term migrant,Arrivals,Male,30-34 years,931,4,Provisional
2018-11,2019-12,Long-term migrant,Arrivals,Male,30-34 years,842,6,Provisional
2018-12,2019-12,Long-term migrant,Arrivals,Male,30-34 years,792,8,Provisional
2019-01,2019-12,Long-term migrant,Arrivals,Male,30-34 years,805,11,Provisional
2019-02,2019-12,Long-term migrant,Arrivals,Male,30-34 years,934,19,Provisional
2019-03,2019-12,Long-term migrant,Arrivals,Male,30-34 years,793,19,Provisional
2019-04,2019-12,Long-term migrant,Arrivals,Male,30-34 years,523,17,Provisional
2019-05,2019-12,Long-term migrant,Arrivals,Male,30-34 years,752,19,Provisional
2019-06,2019-12,Long-term migrant,Arrivals,Male,30-34 years,735,19,Provisional
2019-07,2019-12,Long-term migrant,Arrivals,Male,30-34 years,763,21,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Male,30-34 years,843,24,Provisional
2019-09,2019-12,Long-term migrant,Arrivals,Male,30-34 years,864,27,Provisional
2019-10,2019-12,Long-term migrant,Arrivals,Male,30-34 years,981,33,Provisional
2019-11,2019-12,Long-term migrant,Arrivals,Male,30-34 years,932,34,Provisional
2019-12,2019-12,Long-term migrant,Arrivals,Male,30-34 years,906,50,Provisional
2018-08,2019-12,Long-term migrant,Arrivals,Female,35-39 years,486,0,Final
2018-09,2019-12,Long-term migrant,Arrivals,Female,35-39 years,543,0,Provisional
2018-10,2019-12,Long-term migrant,Arrivals,Female,35-39 years,526,2,Provisional
2018-11,2019-12,Long-term migrant,Arrivals,Female,35-39 years,494,3,Provisional
2018-12,2019-12,Long-term migrant,Arrivals,Female,35-39 years,576,6,Provisional
2019-01,2019-12,Long-term migrant,Arrivals,Female,35-39 years,580,9,Provisional
2019-02,2019-12,Long-term migrant,Arrivals,Female,35-39 years,504,12,Provisional
2019-03,2019-12,Long-term migrant,Arrivals,Female,35-39 years,423,11,Provisional
2019-04,2019-12,Long-term migrant,Arrivals,Female,35-39 years,365,14,Provisional
2019-05,2019-12,Long-term migrant,Arrivals,Female,35-39 years,372,13,Provisional
2019-06,2019-12,Long-term migrant,Arrivals,Female,35-39 years,435,14,Provisional
2019-07,2019-12,Long-term migrant,Arrivals,Female,35-39 years,531,17,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Female,35-39 years,510,17,Provisional
2019-09,2019-12,Long-term migrant,Arrivals,Female,35-39 years,483,18,Provisional
2019-10,2019-12,Long-term migrant,Arrivals,Female,35-39 years,515,21,Provisional
2019-11,2019-12,Long-term migrant,Arrivals,Female,35-39 years,467,23,Provisional
2019-12,2019-12,Long-term migrant,Arrivals,Female,35-39 years,619,46,Provisional
2018-08,2019-12,Long-term migrant,Arrivals,Male,35-39 years,676,0,Final
2018-09,2019-12,Long-term migrant,Arrivals,Male,35-39 years,611,0,Provisional
2018-10,2019-12,Long-term migrant,Arrivals,Male,35-39 years,623,3,Provisional
2018-11,2019-12,Long-term migrant,Arrivals,Male,35-39 years,604,5,Provisional
2018-12,2019-12,Long-term migrant,Arrivals,Male,35-39 years,566,7,Provisional
2019-01,2019-12,Long-term migrant,Arrivals,Male,35-39 years,684,10,Provisional
2019-02,2019-12,Long-term migrant,Arrivals,Male,35-39 years,717,16,Provisional
2019-03,2019-12,Long-term migrant,Arrivals,Male,35-39 years,615,14,Provisional
2019-04,2019-12,Long-term migrant,Arrivals,Male,35-39 years,437,15,Provisional
2019-05,2019-12,Long-term migrant,Arrivals,Male,35-39 years,570,15,Provisional
2019-06,2019-12,Long-term migrant,Arrivals,Male,35-39 years,539,17,Provisional
2019-07,2019-12,Long-term migrant,Arrivals,Male,35-39 years,579,18,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Male,35-39 years,670,20,Provisional
2019-09,2019-12,Long-term migrant,Arrivals,Male,35-39 years,646,22,Provisional
2019-10,2019-12,Long-term migrant,Arrivals,Male,35-39 years,687,27,Provisional
2019-11,2019-12,Long-term migrant,Arrivals,Male,35-39 years,627,29,Provisional
2019-12,2019-12,Long-term migrant,Arrivals,Male,35-39 years,651,48,Provisional
2018-08,2019-12,Long-term migrant,Arrivals,Female,40-44 years,317,0,Final
2018-09,2019-12,Long-term migrant,Arrivals,Female,40-44 years,297,0,Provisional
2018-10,2019-12,Long-term migrant,Arrivals,Female,40-44 years,323,2,Provisional
2018-11,2019-12,Long-term migrant,Arrivals,Female,40-44 years,299,3,Provisional
2018-12,2019-12,Long-term migrant,Arrivals,Female,40-44 years,418,5,Provisional
2019-01,2019-12,Long-term migrant,Arrivals,Female,40-44 years,467,9,Provisional
2019-02,2019-12,Long-term migrant,Arrivals,Female,40-44 years,283,10,Provisional
2019-03,2019-12,Long-term migrant,Arrivals,Female,40-44 years,265,10,Provisional
2019-04,2019-12,Long-term migrant,Arrivals,Female,40-44 years,210,10,Provisional
2019-05,2019-12,Long-term migrant,Arrivals,Female,40-44 years,249,10,Provisional
2019-06,2019-12,Long-term migrant,Arrivals,Female,40-44 years,254,11,Provisional
2019-07,2019-12,Long-term migrant,Arrivals,Female,40-44 years,351,15,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Female,40-44 years,306,13,Provisional
2019-09,2019-12,Long-term migrant,Arrivals,Female,40-44 years,297,14,Provisional
2019-10,2019-12,Long-term migrant,Arrivals,Female,40-44 years,316,16,Provisional
2019-11,2019-12,Long-term migrant,Arrivals,Female,40-44 years,292,18,Provisional
2019-12,2019-12,Long-term migrant,Arrivals,Female,40-44 years,396,29,Provisional
2018-08,2019-12,Long-term migrant,Arrivals,Male,40-44 years,483,0,Final
2018-09,2019-12,Long-term migrant,Arrivals,Male,40-44 years,504,0,Provisional
2018-10,2019-12,Long-term migrant,Arrivals,Male,40-44 years,428,3,Provisional
2018-11,2019-12,Long-term migrant,Arrivals,Male,40-44 years,419,4,Provisional
2018-12,2019-12,Long-term migrant,Arrivals,Male,40-44 years,407,7,Provisional
2019-01,2019-12,Long-term migrant,Arrivals,Male,40-44 years,470,9,Provisional
2019-02,2019-12,Long-term migrant,Arrivals,Male,40-44 years,459,13,Provisional
2019-03,2019-12,Long-term migrant,Arrivals,Male,40-44 years,365,12,Provisional
2019-04,2019-12,Long-term migrant,Arrivals,Male,40-44 years,290,11,Provisional
2019-05,2019-12,Long-term migrant,Arrivals,Male,40-44 years,377,13,Provisional
2019-06,2019-12,Long-term migrant,Arrivals,Male,40-44 years,418,14,Provisional
2019-07,2019-12,Long-term migrant,Arrivals,Male,40-44 years,428,15,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Male,40-44 years,487,17,Provisional
2019-09,2019-12,Long-term migrant,Arrivals,Male,40-44 years,443,18,Provisional
2019-10,2019-12,Long-term migrant,Arrivals,Male,40-44 years,457,21,Provisional
2019-11,2019-12,Long-term migrant,Arrivals,Male,40-44 years,468,24,Provisional
2019-12,2019-12,Long-term migrant,Arrivals,Male,40-44 years,447,32,Provisional
2018-08,2019-12,Long-term migrant,Arrivals,Female,45-49 years,191,0,Final
2018-09,2019-12,Long-term migrant,Arrivals,Female,45-49 years,192,0,Provisional
2018-10,2019-12,Long-term migrant,Arrivals,Female,45-49 years,204,2,Provisional
2018-11,2019-12,Long-term migrant,Arrivals,Female,45-49 years,189,3,Provisional
2018-12,2019-12,Long-term migrant,Arrivals,Female,45-49 years,318,5,Provisional
2019-01,2019-12,Long-term migrant,Arrivals,Female,45-49 years,296,7,Provisional
2019-02,2019-12,Long-term migrant,Arrivals,Female,45-49 years,183,7,Provisional
2019-03,2019-12,Long-term migrant,Arrivals,Female,45-49 years,189,9,Provisional
2019-04,2019-12,Long-term migrant,Arrivals,Female,45-49 years,168,10,Provisional
2019-05,2019-12,Long-term migrant,Arrivals,Female,45-49 years,158,10,Provisional
2019-06,2019-12,Long-term migrant,Arrivals,Female,45-49 years,190,10,Provisional
2019-07,2019-12,Long-term migrant,Arrivals,Female,45-49 years,205,12,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Female,45-49 years,216,12,Provisional
2019-09,2019-12,Long-term migrant,Arrivals,Female,45-49 years,218,15,Provisional
2019-10,2019-12,Long-term migrant,Arrivals,Female,45-49 years,216,14,Provisional
2019-11,2019-12,Long-term migrant,Arrivals,Female,45-49 years,225,17,Provisional
2019-12,2019-12,Long-term migrant,Arrivals,Female,45-49 years,297,39,Provisional
2018-08,2019-12,Long-term migrant,Arrivals,Male,45-49 years,276,0,Final
2018-09,2019-12,Long-term migrant,Arrivals,Male,45-49 years,342,0,Provisional
2018-10,2019-12,Long-term migrant,Arrivals,Male,45-49 years,295,3,Provisional
2018-11,2019-12,Long-term migrant,Arrivals,Male,45-49 years,297,5,Provisional
2018-12,2019-12,Long-term migrant,Arrivals,Male,45-49 years,346,6,Provisional
2019-01,2019-12,Long-term migrant,Arrivals,Male,45-49 years,343,7,Provisional
2019-02,2019-12,Long-term migrant,Arrivals,Male,45-49 years,278,9,Provisional
2019-03,2019-12,Long-term migrant,Arrivals,Male,45-49 years,301,12,Provisional
2019-04,2019-12,Long-term migrant,Arrivals,Male,45-49 years,228,11,Provisional
2019-05,2019-12,Long-term migrant,Arrivals,Male,45-49 years,246,11,Provisional
2019-06,2019-12,Long-term migrant,Arrivals,Male,45-49 years,252,12,Provisional
2019-07,2019-12,Long-term migrant,Arrivals,Male,45-49 years,256,14,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Male,45-49 years,297,15,Provisional
2019-09,2019-12,Long-term migrant,Arrivals,Male,45-49 years,303,19,Provisional
2019-10,2019-12,Long-term migrant,Arrivals,Male,45-49 years,322,20,Provisional
2019-11,2019-12,Long-term migrant,Arrivals,Male,45-49 years,319,21,Provisional
2019-12,2019-12,Long-term migrant,Arrivals,Male,45-49 years,334,39,Provisional
2018-08,2019-12,Long-term migrant,Arrivals,Female,5-9 years,349,0,Final
2018-09,2019-12,Long-term migrant,Arrivals,Female,5-9 years,309,0,Provisional
2018-10,2019-12,Long-term migrant,Arrivals,Female,5-9 years,257,1,Provisional
2018-11,2019-12,Long-term migrant,Arrivals,Female,5-9 years,272,2,Provisional
2018-12,2019-12,Long-term migrant,Arrivals,Female,5-9 years,524,4,Provisional
2019-01,2019-12,Long-term migrant,Arrivals,Female,5-9 years,500,9,Provisional
2019-02,2019-12,Long-term migrant,Arrivals,Female,5-9 years,293,7,Provisional
2019-03,2019-12,Long-term migrant,Arrivals,Female,5-9 years,258,7,Provisional
2019-04,2019-12,Long-term migrant,Arrivals,Female,5-9 years,245,9,Provisional
2019-05,2019-12,Long-term migrant,Arrivals,Female,5-9 years,261,8,Provisional
2019-06,2019-12,Long-term migrant,Arrivals,Female,5-9 years,295,10,Provisional
2019-07,2019-12,Long-term migrant,Arrivals,Female,5-9 years,419,13,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Female,5-9 years,379,12,Provisional
2019-09,2019-12,Long-term migrant,Arrivals,Female,5-9 years,350,13,Provisional
2019-10,2019-12,Long-term migrant,Arrivals,Female,5-9 years,316,20,Provisional
2019-11,2019-12,Long-term migrant,Arrivals,Female,5-9 years,300,17,Provisional
2019-12,2019-12,Long-term migrant,Arrivals,Female,5-9 years,543,39,Provisional
2018-08,2019-12,Long-term migrant,Arrivals,Male,5-9 years,360,0,Final
2018-09,2019-12,Long-term migrant,Arrivals,Male,5-9 years,365,0,Provisional
2018-10,2019-12,Long-term migrant,Arrivals,Male,5-9 years,299,1,Provisional
2018-11,2019-12,Long-term migrant,Arrivals,Male,5-9 years,304,2,Provisional
2018-12,2019-12,Long-term migrant,Arrivals,Male,5-9 years,521,3,Provisional
2019-01,2019-12,Long-term migrant,Arrivals,Male,5-9 years,509,8,Provisional
2019-02,2019-12,Long-term migrant,Arrivals,Male,5-9 years,293,6,Provisional
2019-03,2019-12,Long-term migrant,Arrivals,Male,5-9 years,244,6,Provisional
