Posting Date,Contract Number,Department,Description,Contract Amount,Recommended Vendor,MBE/WBE/DBE Participation,MBE/WBE/DBE type,Direct Participation,Indirect Participation
07/15/2016,1645-15224,1200.DEPT. OF FACILITIES/MGMT,Fuses Supplies,22000.00,Evergreen Supply Co.,,"No Goal Set - Contract < $25,000",,
01/11/2017,1685-15563,1011.OFFICE OF CHIEF ADMIN OFFICER,Feeder and Booklet Maker,51947.00,Tompkins Printing Equipment Company,Tribune Products CO.,MBE-6,,6
04/25/2017,1730-16426,1440.JUVENILE TEMPORARY DETENT.CNTR,Sanitary Disposal Supply & Service,23899.20,Hygiene Solutions,N/A,"No Goal Set - Contract < $25,000",,
05/05/2017,1730-16454,1007.REVENUE,Vehicle Tags,23685.00,"Keyes-Davis Company, Inc.",N/A,"No Goal Set - Contract < $25,000",,
12/14/2016,1626-15456R,1259.MEDICAL EXAMINER,Cardinal Scale Model,8797.90,"Indi Enterprise, Inc.",,"No Goal Set - Contract < $25,000",,
08/03/2016,1645-15519,1200.DEPT. OF FACILITIES/MGMT,Tube Punch Equipment,7085.28,"T&N Chicago, Inc.",,"No Goal Set - Contract < $25,000",,
12/09/2016,1645-15521,1200.DEPT. OF FACILITIES/MGMT,Combination Vacuum and Condensate Unit,67529.29,"Indi Enterprise, Inc.",,N/A,,
12/28/2016,1645-15708,1200.DEPT. OF FACILITIES/MGMT,V-Belts,117918.00,Root Brothers Mfg & Supply Co.,Nelson Transport,MBE-6,,25
05/17/2017,1711-12345,1032.DEPARTMENT OF HUMAN RESOURCES,Training Assistance,15000.00,Training Institute,N/A,N/A,,
09/21/2016,1611-15305,1210.OFFICE OF THE SHERIFF,Video Surveillance Equipment,23588.22,"Sirchie Acquisition Company, LLC","Award Less < $25,000","12.5% MBE
5% WBE",,
02/16/2017,1614-15742,1440.JUVENILE TEMPORARY DETENT.CNTR,Resident Gym Shoes,75810.60,"Victory Supply, Inc.",,N/A,,
11/02/2016,1626-15676,1335.CLERK OF CRCT CRT OFF.OF CLERK,Walkie Straddle Stacker with Power Steering,18984.75,Beams Technologies,,"No Goal Set - Contract < $25,000",,
07/20/2016,1626-15453,1259.MEDICAL EXAMINER,National Institute Standard and Technology Alcohols,26198.00,Indi Enterprises,,N/A,,
04/21/2017,1626-15858,1440.JUVENILE TEMPORARY DETENT.CNTR,Electric Dryer,4025.00,"Supreme Laundry Service, LLC",N/A,"No Goal Set - Contract < $25,000",,
04/10/2017,1635-15845,1259.MEDICAL EXAMINER,Medical Grade Gases,63235.00,"Chicago United Industries, Ltd.",N/A,0%,,
05/12/2017,1728-16463,1500.COUNTY HIGHWAY DEPARTMENT,Fire Hydrant Replacement,15000.00,"American Backflow Prevention, Inc.",N/A,"No Goal Set - Contract < $25,000",,
02/08/2017,1645-15717,1200.DEPT. OF FACILITIES/MGMT,Custodial Cleaning Equipment,126921.44,"Indi Enterprises, Inc.",Bearing & Industrial Supply Company,MBE (8),25,
09/28/2016,1626-15635,1200.DEPT. OF FACILITIES/MGMT,Clamps 2 inch Coated Friction Clamps,3946.13,"Chicago United Industries, Ltd",,"No Goal Set - Contract < $25,000",,
09/07/2016,1626-15571,1259.MEDICAL EXAMINER,Turbovap LV Automated Evaporated System or Equal to with Racks,8075.00,"Horizon Technology, Inc.",,"No Goal Set - Contract < $25,000",,
08/03/2016,1611-15197,1239.DEPARTMENT OF CORRECTIONS,Veterinarian Services,39914.60,"VCA Animal Hospitals, Inc. d/b/a VCA Berywn Animal Hospital",,N/A,,
06/22/2016,1645-15268B,1205.JUDICIAL ADVISORY COUNCIL,Restorative Justice Demonstration Grant,100000.00,Lawndale Christian Legal Center,,N/A,,
11/09/2016,1626-15806,1200.DEPT. OF FACILITIES/MGMT,Scissor Lift,9417.00,"Herc Rentals, Inc.",,"No Goal Set - Contract < $25,000",,
10/07/2016,1626-15633,1200.DEPT. OF FACILITIES/MGMT,Glass,11727.46,MTH Industries,,"No Goal Set - Contract < $25,000",,
06/22/2016,1645-15275A,1205.JUDICIAL ADVISORY COUNCIL,Recidivism Reduction Demonstration Grant,100000.00,One Hope United,,N/A,,
01/13/2017,1685-15563,1161.DEPT OF ENVIROMENTAL CTRL,Total Suspended Particulates Samplers,15085.00,Tisch Environmental,N/A,N/A,,
06/29/2016,1626-15546,1200.DEPT. OF FACILITIES/MGMT,Sheet Metal Air Shear,4321.77,Root Brothers Mfg & Supply Co.,,"No Goal Set - Contract < $25,000",,
06/22/2016,1645-15275C,1205.JUDICIAL ADVISORY COUNCIL,Recidivism Reduction Demonstration Grant,100000.00,"McDermott Center, d/b/a Haymarket Center",,N/A,,
01/11/2017,1685-15587,1011.OFFICE OF CHIEF ADMIN OFFICER,"Slitter, Cutter and Creaser",22847.00,Tompkins Printing Equipment Company,N/A,N/A,,
12/09/2016,1645-15340,1200.DEPT. OF FACILITIES/MGMT,Fire Alarm Testing and Battery Replacement,85560.00,"Engineering Security and Sounds, Inc.","JM Polcurr, inc.",MBE-9,25,
04/07/2017,1726-16195,Circuit Clerk of the Court,Illinois Civil Law Citation Tickets,15081.00,Cherokee Printing,N/A,"No Goal Set - Contract < $25,000",,
03/31/2017,1626-15723,1335.CLERK OF CRCT CRT OFF.OF CLERK,Uniforms,4996.00,"Uniforms Manufacturing, Inc.",N/A,"No Goal Set - Contract < $25,000",,
08/03/2016,1545-15083R,1200.DEPT. OF FACILITIES/MGMT,Panasonic Camera and Lenses,30451.20,"Adorama, Inc.",,N/A,,
05/19/2017,1635-15620,1335.CLERK OF CRCT CRT OFF.OF CLERK,Rubber Stamps and Marking Equipment,99990.00,"Trademark Products, Inc.",N/A,0%,,
09/21/2016,1645-15469,1200.DEPT. OF FACILITIES/MGMT,ABB Heating Ventilation Air Conditioning (HVAC) Drives,25179.00,"Anchor Mechanical, Inc.",,N/A,,
09/09/2016,1635-15630,1524.COUNTY CLERK ELECTION DIV.FUND,Laptop Computer Rental,14765.62,Meeting Tomorrow,,"No Goal Set - Contract < $25,000",,
06/22/2016,1645-15268G,1205.JUDICIAL ADVISORY COUNCIL,Restorative Justice Demonstration Grant,40000.00,Precious Blood Ministry of Reconciliation,,N/A,,
07/13/2016,1626-15552,1200.DEPT. OF FACILITIES/MGMT,S Flex Drives,7073.16,"Chicago United Industrues, Ltd.",,"No Goal Set - Contract < $25,000",,
06/17/2016,1511-15181R,1239.DEPARTMENT OF CORRECTIONS,Ice Machine Repair and Maintenance,65722.50,"A.M.C. Mechanical, Inc.",,N/A,,
01/20/2017,1635-15597,1335.CLERK OF CRCT CRT OFF.OF CLERK,Forklift,84000.00,"Atlas & Associates, Inc.",,N/A,,
06/22/2016,1645-15275B,1205.JUDICIAL ADVISORY COUNCIL,Recidivism Reduction Demonstration Grant,100000.00,South Suburban PADS,,N/A,,
11/10/2016,1626-15718,1200.DEPT. OF FACILITIES/MGMT,Slats and Related Parts for the ASI Doors Aluminum Roll Up Panel,16023.00,Builders Chiacgo Corporation,,"No Goal Set - Contract < $25,000",,
07/13/2016,1623-15418,1013.PLANNING & DEVELOPMENT,Market Analysis for the Town,14500.00,Goodman Williams Group,,"No Goal Set - Contract < $25,000",,
06/22/2016,1645-15275F,1205.JUDICIAL ADVISORY COUNCIL,Recidivism Reduction Demonstration Grant,40000.00,Chicago Urban League,,N/A,,
06/22/2016,1645-15268F,1205.JUDICIAL ADVISORY COUNCIL,Restorative Justice Demonstration Grant,40000.00,Woodlawn East Community and Neighbors,,N/A,,
08/24/2016,154-15099,1200.DEPT. OF FACILITIES/MGMT,Asbestos Supplies,68145.54,"Occupational Training and Supply, Inc.","American Heritage Supplies, Ltd.",WBE-9,,0.5
06/27/2016,1623-15351,1501.MFT ILLINOIS FIRST (IST),Diesel and Unleaded Fuel System Repairs at District 5,45184.00,"Crowne Industries, Ltd.",,N/A,,
06/22/2016,1645-15275K,1205.JUDICIAL ADVISORY COUNCIL,Recidivism Reduction Demonstration Grant,40000.00,St. Leonard's Ministries,,N/A,,
06/22/2016,1645-15275I,1205.JUDICIAL ADVISORY COUNCIL,Recidivism Reduction Demonstration Grant,40000.00,Chicagoland Prison Outreach,,N/A,,
09/21/2016,1626-15604,1200.DEPT. OF FACILITIES/MGMT,Water Diaphragm,14527.50,Secure Detention Products,,"No Goal Set - Contract < $25,000",,
02/10/2017,1623-15410,1500.COUNTY HIGHWAY DEPARTMENT,Hot Box Asphalt Recyclers,47782.00,"Spaulding Manufactuing, Inc.",N/A,MBE Waiver Granted,,
08/24/2016,1626-15447,1030.CHIEF PROCUREMENT OFFICER,Electronic Barcode File System,4875.00,Bradford Systems Corporation,,"No Goal Set - Contract < $25,000",,
11/04/2016,1626-15772,1524.COUNTY CLERK ELECTION DIV.FUND,Electric Pallet Jack,7440.00,Atlas Toyota Material Handling LLC,,"No Goal Set - Contract < $25,000",,
01/11/2017,1635-15665,1161.DEPT OF ENVIROMENTAL CTRL,Nitrogen Oxide Monitors,15489.79,"Indi Enterprise, Inc.",N/A,N/A,,
06/22/2016,1645-15275H,1205.JUDICIAL ADVISORY COUNCIL,Recidivism Reduction Demonstration Grant,40000.00,First Defense Legal Aid,,N/A,,
11/10/2016,1626-15795,1440.JUVENILE TEMPORARY DETENT.CNTR,Recreation Games,4270.00,Indi Enterprises,,"No Goal Set - Contract < $25,000",,
02/21/2017,1726-16123,1002.HUMAN RIGHTS AND ETHICS,Breakfast Catering Services,4085.00,"Twomaytoz, Inc.",,"No Goal Set - Contract < $25,000",,
06/22/2016,1645-15268A,1205.JUDICIAL ADVISORY COUNCIL,Restorative Justice Demonstration Grant,100000.00,Umoja Student Development,,N/A,,
06/17/2016,1645-15171,1200.DEPT. OF FACILITIES/MGMT,"Inspection, Maintenance and Repair of Flagpoles",15000.00,"R&R Equipment Plus, Inc.",,N/A,,
11/16/2016,1626-15807,1130.RECORDER OF DEEDS,Maintenance on twelve (12) Lekrievers,11400.00,Ellis Systems Corp,,"No Goal Set - Contract < $25,000",,
01/06/2017,1645-15613,1200.DEPT. OF FACILITIES/MGMT,Medeco Locksmith Catalog Supplies,67500.00,"Midwest Group Distribution and Services, Inc. d/b/a Ewert, Inc.",,N/A,,
08/24/2016,1626-15617,1524.COUNTY CLERK ELECTION DIV.FUND,Soft Enamel Lapel Pins,2976.00,"Konik & Company, Inc.",,"No Goal Set - Contract < $25,000",,
02/08/2017,1645-15717,,,,,"Dan's Printing & Office Supply dba Daniel's Printingand Office Supply, Inc.",WBE-7,,10
02/24/2017,1623-15542,1161.DEPT OF ENVIROMENTAL CTRL,Phase I and II Environmental Site Assessments,53257.00,"Terracon Consultants, Inc.",N/A,0%,,
04/28/2017,1623-15687,1500.COUNTY HIGHWAY DEPARTMENT,Large Format Printers with Controller and Scanner,75888.00,"KIP America, inc.",N/A,0%,,
11/04/2016,1626-15746,1200.DEPT. OF FACILITIES/MGMT,Variable Frequency Drive,3509.75,Chicago United Industries Ltd,,"No Goal Set - Contract < $25,000",,
08/05/2016,1645-15426,1200.DEPT. OF FACILITIES/MGMT,Skid Steer Loader,45894.00,"Atlas Bobcat, Inc.",,N/A,,
11/04/2016,1626-15804,1200.DEPT. OF FACILITIES/MGMT,Cyclone Blender,5775.00,Frontier Industrial Supply Company,,"No Goal Set - Contract < $25,000",,
09/21/2016,1645-15314,1200.DEPT. OF FACILITIES/MGMT,Plumbing Supplies for Cast Iron and Poly Vinyl Chloride Piping,68700.00,"Johnson Pipe and Supply Company, Inc",Boye Janitorial Services,MBE-6,,0.25
08/12/2016,1625-15460,1007.REVENUE,Printing Cigarette Tax Stamps,35679.00,Meyercord Revenue,,0% Goal,,
12/09/2016,1690-15780,1500.COUNTY HIGHWAY DEPARTMENT,De-Icing Materials,120320.00,"Sicalco, Ltd.",,Full Waiver Granted,,
10/26/2016,1611-15581,1210.OFFICE OF THE SHERIFF,Gun Lockers,20580.00,"Bob Barker Company, Inc.",,"No Goal Set - Contract < $25,000",,
06/08/2016,1626-15513,1280.ADULT PROBATION DEPT.,Refrigerator - Freezer,1300.00,"Gold Edge Supply, Inc.",,N/A,,
09/30/2016,1535-15124,1335.CLERK OF CRCT CRT OFF.OF CLERK,Printing of Court Calendars,31586.40,Fidelity Print Communications,Fidelity Print Communications,MBE-6,95,
11/08/2016,1611-15720,1217.SHERIFF'S INFORMATION TECHNOLOGY,Fire Exstinguisher Training,19357.97,Tom Smith Fire Equipment Company,,N/A,,
06/22/2016,1645-15224,1200.DEPT. OF FACILITIES/MGMT,Fuses Supplies,90402.18,Evergreen Supply Co.,Evergreen Supply Co.,WBE-7,75,
09/21/2016,1626-15677,1300.JUDICIARY,Red Journals,12764.00,Atlas Stationers,,"No Goal Set - Contract < $25,000",,
10/28/2016,1635-15553R,1524.COUNTY CLERK ELECTION DIV.FUND,Rental Vehicles,100657.60,Enterprise Leasing Co,,N/A,,
03/22/2017,1611-15825,1210.OFFICE OF THE SHERIFF,Aftermarket Vehicle Equipment,20813.14,"Chicago Parts and Sounds, LLC",,N/A,,
02/24/2017,1626-15850,1200.DEPT. OF FACILITIES/MGMT,Acorn Mirrors,2687.50,"Cornestone Detention Products, Inc.",N/A,"No Goal Set - Contract < $25,000",,
08/19/2016,1626-15458,1440.JUVENILE TEMPORARY DETENT.CNTR,Monthly Preventative Maintenance and repairs for the Dishwasher,13416.00,"A.M.C. Mechanical, Inc.",,"No Goal Set - Contract < $25,000",,
11/10/2016,1626-15761,1011.OFFICE OF CHIEF ADMIN OFFICER,Printing of 10X13 #28,7411.00,Mac Paper Converters,,"No Goal Set - Contract < $25,000",,
08/19/2016,1626-15609,1200.DEPT. OF FACILITIES/MGMT,Plumbing Parts,2808.25,Johnson Pipe & Supply Co.,,"No Goal Set - Contract < $25,000",,
06/08/2016,1514-15034,1130.RECORDER OF DEEDS,Postage Equipment,32259.56,"Neopost USA, Inc.",,N/A,,
10/20/2016,1626-15759,1200.DEPT. OF FACILITIES/MGMT,Hot Water Heater,9410.00,Johnson Pipe & Supply Company,,"No Goal Set - Contract < $25,000",,
06/22/2016,1645-15268D,1205.JUDICIAL ADVISORY COUNCIL,Restorative Justice Demonstration Grant,40000.00,Sankofa Safe Child,,N/A,,
11/10/2016,1626-15796,1440.JUVENILE TEMPORARY DETENT.CNTR,Women's Thermal Tops and Bottoms,3547.20,Teach-Shirts FTDTM,,"No Goal Set - Contract < $25,000",,
06/22/2016,1645-15268E,1205.JUDICIAL ADVISORY COUNCIL,Restorative Justice Demonstration Grant,40000.00,OMNI Youth Services,,N/A,,
10/11/2017,1712-16591,1210.OFFICE OF THE SHERIFF,Insulated Food Delivery Carts,52500.00,"Atlas and Associates, Inc.",N/A,,,
07/19/2017,1745-16560,1200.DEPT. OF FACILITIES/MGMT,Square D Variable Speed Drivers,37889.75,"Chicago United Industries, Ltd.",N/A,N/A,,
08/21/2017,1784-16512A,1200.DEPT. OF FACILITIES/MGMT,Tools and Accessories Catalogs,45000.00,"Hilti, Inc.",N/A,N/A,,
07/06/2017,1728-16645,1500.COUNTY HIGHWAY DEPARTMENT,John Deere HX 7 Rotary Cutters,13329.44,"Buck Bros, Inc.",N/A,N/A,,
07/12/2017,1718-16242,,,,,Wrangler Tech,WBE-7,10,
07/14/2017,1784-16490,1200.DEPT. OF FACILITIES/MGMT,Emergency Mobile Pump Equipment,5233.85,"Tiles in Style, LLC, DBA Taza Supplies, LLC",N/A,"No Goal Set - Contract < $25,000",,
07/14/2017,1784-16489,1200.DEPT. OF FACILITIES/MGMT,Emergency Equipment,5071.50,The Standard Companies,N/A,"No Goal Set - Contract < $25,000",,
08/21/2017,1712-16369,,,,,"ILink Resources, Inc.",WBE-7,5,
09/20/2017,1645-15768,1200.DEPT. OF FACILITIES/MGMT,Large Format Color Plotter Scanner and Copier,38563.00,"System Solutions, Inc.","System Solutions, Inc.",MBE-8,100,
06/02/2017,1753-16597,1440.JUVENILE TEMPORARY DETENT.CNTR,"Industrial Dryer, 75 LB Capacity",4400.00,Washburn Machinery Inc.,N/A,"No Goal Set - Contract < $25,000",,
09/15/2017,1725-16590,1110.COUNTY CLERK,Wire Security Carts and Shelves,56289.00,"Material Systems, Inc.",N/A,,,
08/04/2017,1785-15853,1211.DEPT. OF ADMIN/SUPPORT SER,Docupunch,33322.00,Tompkins Printing Equipment Company,Consolidated Printing,WBE-7,,5
09/15/2017,1730-16373,1310.OFFICE OF THE CHIEF JUDGE,Mobile Polycom Video Conferencing Equipment,116700.00,"Atlas & Associates, Inc.",N/A,,,
06/09/2017,1790-16326,1310.OFFICE OF THE CHIEF JUDGE,Courier Services,26962.50,"Delivery and Distribution Solutions, LLC.",N/A,0%,,
06/28/2017,1730-16542,1310.OFFICE OF THE CHIEF JUDGE,"Lunch, Snack, Dinner Meals & Additional Beverage Service at the Bridgeview Courthouse",16635.00,"Twomaytoz, Inc.",N/A,"No Goal Set - Contract < $25,000",,
07/10/2017,1745-16451,1200.DEPT. OF FACILITIES/MGMT,Rock Salt and Deicing Salt,62750.00,"Valdes, LLC",Valdes dba Valdes Enterprises,MBE-8,1,
07/12/2017,1718-16242,1009.ENTERPRISE TECHNOLOGY,"Avaya End of Life Maintenance, Repair and Support",91712.80,"Morgan Birge and Associates, Inc.","MPSK, Inc. dba The Syber Technology Group",MBE-6,25,
08/04/2017,1785-15851,1211.DEPT. OF ADMIN/SUPPORT SER,Programmable Paper Cutter,30448.00,Tompkins Printing Equipment Company,Tribune Company,MBE-8,,5
08/09/2017,1745-16633,1200.DEPT. OF FACILITIES/MGMT,Natural Choice carbon Plus Filters,5011.00,Root Brothers Manufacturing & Supply Company,,"No Goal Set - Contract < $25,000",,
08/18/2017,1725-16693,1081.FIRST DISTRICT,Newsletter,10307.60,"Resonance Campaigns, LLC","No Goal Set - Contract < $25,000",,,
06/28/2017,1730-16541,1310.OFFICE OF THE CHIEF JUDGE,Breakfast and additional beverage service at the Bridgeview Courthouse,9857.50,"Twomaytoz, Inc.",N/A,"No Goal Set - Contract < $25,000",,
08/23/2017,1735-16562,1335.CLERK OF CRCT CRT OFF.OF CLERK,Printing of Court Diversion Envelopes,78400.00,"Envelope Connection, Inc.","Envelop Connection, Inc.",MBE-9,89.8,
07/21/2017,1745-16471,,,,,"Express Electric Supply, LLC",WBE-7,12.5,
07/21/2017,1745-16174,1200.DEPT. OF FACILITIES/MGMT,Work Gloves,118975.04,"Progressive Industries, Inc.","Progressive Industries, Inc.",WBE-7,100,
07/26/2017,1784-16490,1200.DEPT. OF FACILITIES/MGMT,Rixson Door Closers,2620.00,Accredited Lock Supply Co.,N/A,"No Goal Set - Contract < $25,000",,
09/29/2017,1745-16775,1200.DEPT. OF FACILITIES/MGMT,Overhead Door Service,24906.25,"Midway Distribution, Inc.",N/A,"No Goal Set - Contract < $25,000",,
06/07/2017,1728-16462R,1500.COUNTY HIGHWAY DEPARTMENT,Power Unit and Pump Replacement,8762.00,"P. R. Streich & Sons, Inc.",N/A,"No Goal Set - Contract < $25,000",,
10/03/2017,1725-16685,1310.OFFICE OF THE CHIEF JUDGE,2018 and 2019 Planners/Calendars,25417.80,Runco Office Supplies & Equipment,,N/A,,
09/08/2017,1718-16240R,1009.ENTERPRISE TECHNOLOGY,raised and Sub-Floor Cleaning,65520.00,A&A Integrated Services,N/A,,,
06/14/2017,1635-15789,1335.CLERK OF CRCT CRT OFF.OF CLERK,Microfilm Cabinets,65271.40,Root Brothers Mfg & Supply Co.,N/A,0%,,
07/28/2017,1745-16517,1200.DEPT. OF FACILITIES/MGMT,Knape and Vogt Hardware Catalog,94000.00,"Atlas and Associates, Inc.","Atlas and Associates, Inc.",MBE-6,100,
07/21/2017,1745-16471,1200.DEPT. OF FACILITIES/MGMT,Exide Batteries,30118.50,Evergreen,Evergreen Supply Co.,MBE-6,100,
06/28/2017,1725-16503,1007.REVENUE,Pre-Sort Mail Service,0.00,"Postal Partners, Inc.",N/A,N/A,,
07/14/2017,1745-16552,1200.DEPT. OF FACILITIES/MGMT,Flags and Accessories,52172.00,WGN Flag & Decorating Co.,N/A,0%,,
07/14/2017,1784-16498,1200.DEPT. OF FACILITIES/MGMT,Acorn Plumbing Supplies,16862.72,"T & N Chicago, Inc.",N/A,"No Goal Set - Contract < $25,000",,
09/29/2017,1745-16627,1200.DEPT. OF FACILITIES/MGMT,Annual Fire Pump Tests & Maintenance Service,146220.00,Simplex Grinnell LP,Computer Services & Consulting,MBE-9,12.5,
06/28/2017,1645-15575,1200.DEPT. OF FACILITIES/MGMT,Articulating Boom Lift,108031.00,"T&N Chicago, Inc.",N/A,N/A,,
06/16/2017,1745-16439,1200.DEPT. OF FACILITIES/MGMT,Furnish and Installation of Glass Windows,10984.00,Arlington Glass and Mirror Company,N/A,"12.5% MBE
5% WBE",,
08/28/2017,1728-16536R,1500.COUNTY HIGHWAY DEPARTMENT,Furnish and Deliver Mounted Multi-Spindel Rotary Cutters,100000.00,Russo Power Equipment,N/A,,,
07/14/2017,1745-16473,1200.DEPT. OF FACILITIES/MGMT,Wall Clocks,5304.00,International Promotional Ideas,N/A,"No Goal Set - Contract < $25,000",,
08/23/2017,1735-16562,1335.CLERK OF CRCT CRT OFF.OF CLERK,,,,Envelopes Only,WBE-7,10.2,
08/21/2017,1745-16520,1200.DEPT. OF FACILITIES/MGMT,ILCO Keys and Product Catalog,33000.00,"M.J.T. Inc., dba Ewert, Inc.",Arem Container & Supply Co.,WBE-7,,5
06/22/2017,1725-16607,1097.SEVENTEENTH DISTRICT,Newsletter,10924.75,Kevron Printing @ Mailing Inc.,N/A,"No Goal Set - Contract < $25,000",,
07/14/2017,1784-16490,1200.DEPT. OF FACILITIES/MGMT,Drinking Fountains,4793.43,"T & N Chicago, Inc.",N/A,"No Goal Set - Contract < $25,000",,
