Report,Purpose_ID,Committee_Purp_ID,Filer_Name,View_Report,COR_Flag,Committee_Activity,Purpose_Type,Recipient,Office_Held,Office_Sought,Election_Date,Measure_Description
R20161005124643,CP0002,R20161005124643-CP0002,Texas Vote Environment PAC,View Report (http://www.austintexas.gov/edims/document.cfm?id=264035),,Support,COH,"Pool, Leslie","City Council, Dist 7",Same,11/08/2016,
R20161005124643,CP0003,R20161005124643-CP0003,Texas Vote Environment PAC,View Report (http://www.austintexas.gov/edims/document.cfm?id=264035),,Support,COH,"Flannigan, Jimmy",NA,"City Council, Dist 6",11/08/2016,
R20161006084927,CP0001,R20161006084927-CP0001,Sensible Transportation Solutions for Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=264070),,Oppose,MEASURE,Proposition 1,,,11/08/2016,Mobility Package
R20161011085908,CP0001,R20161011085908-CP0001,Austinites for Equity,View Report (http://www.austintexas.gov/edims/document.cfm?id=264289),,Support,COH,"Pool, Leslie",City Council District 7,City Council District 7,11/08/2016,
R20161011085908,CP0002,R20161011085908-CP0002,Austinites for Equity,View Report (http://www.austintexas.gov/edims/document.cfm?id=264289),,Support,COH,"Flannigan, Jimmy",,City Council District 6,11/08/2016,
R20161011085945,CP0001,R20161011085945-CP0001,Austinites for Equity,View Report (http://www.austintexas.gov/edims/document.cfm?id=264288),,Support,COH,"Garza, Delia",City Council District 2,City Council District 2,11/08/2016,
R20161011085945,CP0002,R20161011085945-CP0002,Austinites for Equity,View Report (http://www.austintexas.gov/edims/document.cfm?id=264288),,Support,COH,"Flannigan, Jimmy",,City Council District 6,11/08/2016,
R20161011085945,CP0003,R20161011085945-CP0003,Austinites for Equity,View Report (http://www.austintexas.gov/edims/document.cfm?id=264288),,Support,COH,"Casar, Gregorio ""Greg""",City Council District 4,City Council District 4,11/08/2016,
R20161011090048,CP0001,R20161011090048-CP0001,Austinites for Equity,View Report (http://www.austintexas.gov/edims/document.cfm?id=264360),,Support,COH,"Pool, Leslie",City Council District 7,City Council District 7,11/08/2016,
R20161011090048,CP0002,R20161011090048-CP0002,Austinites for Equity,View Report (http://www.austintexas.gov/edims/document.cfm?id=264360),,Support,COH,"Flannigan, Jimmy",,City Council District 6,11/08/2016,
R20161011090048,CP0003,R20161011090048-CP0003,Austinites for Equity,View Report (http://www.austintexas.gov/edims/document.cfm?id=264360),,Support,COH,"Flannigan, Jimmy",,City Council District 6,11/08/2016,
R20161011171040,CP0001,R20161011171040-CP0001,Our Rail,View Report (http://www.austintexas.gov/edims/document.cfm?id=264431),,Support,MEASURE,Proposition 1,,,11/08/2016,Mobility Bond Issue
R20161011171216,CP0001,R20161011171216-CP0001,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=264472),,Support,MEASURE,Proposition 1,,,11/08/2016,Transportation Bond
R20161011171216,CP0002,R20161011171216-CP0002,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=264472),,Support,COH,"Garza, Delia",City Council District 2,City Council District 2,11/08/2016,
R20161011171216,CP0003,R20161011171216-CP0003,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=264472),,Support,COH,"Casar, Greg",City Council District 4,City Council District 4,11/08/2016,
R20161011171216,CP0004,R20161011171216-CP0004,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=264472),,Support,COH,"Flannigan, Jimmy",,City Council District 6,11/08/2016,
R20161011171216,CP0005,R20161011171216-CP0005,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=264472),,Support,COH,"Pool, Leslie",City Council District 7,City Council District 7,11/08/2016,
R20161011171216,CP0006,R20161011171216-CP0006,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=264472),,Support,COH,"Alter, Alison",,City Council District 10,11/08/2016,
R20161011171216,CP0007,R20161011171216-CP0007,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=264472),,Support,PARTY,Democratic Party,,,11/08/2016,
R20161012152533,CP0001,R20161012152533-CP0001,Honest Transportation Solutions,View Report (http://www.austintexas.gov/edims/document.cfm?id=264496),,Oppose,MEASURE,Proposition 1,,,11/08/2016,Proposition 1
R20161012171903,CP0001,R20161012171903-CP0001,Home Builders Association of Greater Austin HOME-PAC Corporate,View Report (http://www.austintexas.gov/edims/document.cfm?id=264525),,Support,MEASURE,"Prop, COA",,,11/25/2016,"City of Austin $720,000 transportation bond."
R20161012171932,CP0001,R20161012171932-CP0001,Home Builders Association of Greater Austin HOME-PAC Personal,View Report (http://www.austintexas.gov/edims/document.cfm?id=264524),,Support,COH,"Gauldin, Natalie",,City Council District 7,11/08/2016,
R20161012171932,CP0002,R20161012171932-CP0002,Home Builders Association of Greater Austin HOME-PAC Personal,View Report (http://www.austintexas.gov/edims/document.cfm?id=264524),,Support,COH,"Flannigan, Jimmy",,City Council District 6,11/08/2016,
R20161012171932,CP0003,R20161012171932-CP0003,Home Builders Association of Greater Austin HOME-PAC Personal,View Report (http://www.austintexas.gov/edims/document.cfm?id=264524),,Support,COH,"Brad, Marshall",,"Mayor, City of Pflugerville",11/08/2016,
R20161012171932,CP0004,R20161012171932-CP0004,Home Builders Association of Greater Austin HOME-PAC Personal,View Report (http://www.austintexas.gov/edims/document.cfm?id=264524),,Assist,COH,"Zimmerman, Don",City Council District 7,City Council District 7,,
R20161012171932,CP0005,R20161012171932-CP0005,Home Builders Association of Greater Austin HOME-PAC Personal,View Report (http://www.austintexas.gov/edims/document.cfm?id=264524),,Assist,COH,"Gallo, Sheri",City Council District 10,City Council District 10,,
R20161013171400,CP0001,R20161013171400-CP0001,Austin Forward,View Report (http://www.austintexas.gov/edims/document.cfm?id=264537),,Support,MEASURE,City of Austin Prop 1,,,11/08/2016,City of Austin Mobility Bond
R20161013171531,CP0001,R20161013171531-CP0001,Austin Board of Realtors PAC,View Report (http://www.austintexas.gov/edims/document.cfm?id=264553),,Support,MEASURE,Prop 1,,,11/08/2016,"City of Austin issuance of $720,000,000 transportation and mobility improvement bonds."
R20161019091014,CP0001,R20161019091014-CP0001,Austin Firefighters Public Safety Fund,View Report (http://www.austintexas.gov/edims/document.cfm?id=264732),,Support,COH,"Gallo, Sheri",City Council,City Council,11/08/2016,Support for office
R20161019091014,CP0002,R20161019091014-CP0002,Austin Firefighters Public Safety Fund,View Report (http://www.austintexas.gov/edims/document.cfm?id=264732),,Support,COH,"Zimmerman, Don",City Council,City Council,11/08/2016,Support for office
R20161019091014,CP0003,R20161019091014-CP0003,Austin Firefighters Public Safety Fund,View Report (http://www.austintexas.gov/edims/document.cfm?id=264732),,Support,COH,"Pool, Leslie",City Council,City Council,11/08/2016,Support for office
R20161019091014,CP0004,R20161019091014-CP0004,Austin Firefighters Public Safety Fund,View Report (http://www.austintexas.gov/edims/document.cfm?id=264732),,Support,COH,"Casar, Greg",City Council,City Council,11/08/2016,Support for office
R20161019091014,CP0005,R20161019091014-CP0005,Austin Firefighters Public Safety Fund,View Report (http://www.austintexas.gov/edims/document.cfm?id=264732),,Support,COH,"Garza, Delia",City Council,City Council,11/08/2016,Support for office
R20161019091056,CP0001,R20161019091056-CP0001,Austin Fire Fighters PAC,View Report (http://www.austintexas.gov/edims/document.cfm?id=264733),,Support,COH,"Gallo, Sheri",City Council,City Council,11/08/2016,Support for office
R20161019091056,CP0002,R20161019091056-CP0002,Austin Fire Fighters PAC,View Report (http://www.austintexas.gov/edims/document.cfm?id=264733),,Support,COH,"Zimmerman, Don",City Council,City Council,11/08/2016,Support for office
R20161019091056,CP0003,R20161019091056-CP0003,Austin Fire Fighters PAC,View Report (http://www.austintexas.gov/edims/document.cfm?id=264733),,Support,COH,"Pool, Leslie",City Council,City Council,11/08/2016,Support for office
R20161019091056,CP0004,R20161019091056-CP0004,Austin Fire Fighters PAC,View Report (http://www.austintexas.gov/edims/document.cfm?id=264733),,Support,COH,"Casar, Greg",City Council,City Council,11/08/2016,Support for office
R20161019091056,CP0005,R20161019091056-CP0005,Austin Fire Fighters PAC,View Report (http://www.austintexas.gov/edims/document.cfm?id=264733),,Support,COH,"Garza, Delia",City Council,City Council,11/08/2016,Support for office
R20161026140205,CP0001,R20161026140205-CP0001,Austinites for Equity,View Report (http://www.austintexas.gov/edims/document.cfm?id=265482),,Oppose,COH,"Zimmerman, Don",Other,City Council District 6,11/08/2016,
R20161026140205,CP0002,R20161026140205-CP0002,Austinites for Equity,View Report (http://www.austintexas.gov/edims/document.cfm?id=265482),,Support,COH,"Alter, Alison",,City Council District 10,11/08/2016,
R20161031143421,CP0001,R20161031143421-CP0001,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=265600),,Support,MEASURE,Proposition 1,,,11/08/2016,Transportation Bond
R20161031143421,CP0002,R20161031143421-CP0002,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=265600),,Support,PARTY,Democratic Party,,,11/08/2016,
R20161031143421,CP0003,R20161031143421-CP0003,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=265600),,Support,COH,"Garza, Delia",City Council District 2,City Council District 2,11/08/2016,
R20161031143421,CP0004,R20161031143421-CP0004,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=265600),,Support,COH,"Casar, Greg",City Council District 4,City Council District 4,11/08/2016,
R20161031143421,CP0005,R20161031143421-CP0005,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=265600),,Support,COH,"Flannigan, Jimmy",,City Council District 6,11/08/2016,
R20161031143421,CP0006,R20161031143421-CP0006,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=265600),,Support,COH,"Pool, Leslie",City Council District 7,City Council District 7,11/08/2016,
R20161031143421,CP0007,R20161031143421-CP0007,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=265600),,Support,COH,"Alter, Alison",,City Council District 10,11/08/2016,
R20161031143421,CP0008,R20161031143421-CP0008,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=265600),,Support,COH,"Hassan, Sean",,ACC Board Place 4,11/08/2016,
R20161031143421,CP0009,R20161031143421-CP0009,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=265600),,Support,COH,"Miranda, Thomas",,ACC Board Place 5,11/08/2016,
R20161031143421,CP0010,R20161031143421-CP0010,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=265600),,Support,COH,"Comstock, Nora",,ACC Board Place 6,11/08/2016,
R20161031143421,CP0011,R20161031143421-CP0011,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=265600),,Support,COH,"Sosa, Guadalupe",ACC Board Place 6,ACC Board Place 9,11/08/2016,
R20161031143421,CP0012,R20161031143421-CP0012,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=265600),,Support,COH,"Mathias, Jayme",AISD Board District 2,AISD Board District 2,11/08/2016,
R20161031143421,CP0013,R20161031143421-CP0013,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=265600),,Support,COH,"Teich, Ann",AISD Board District 3,AISD Board District 3,11/08/2016,
R20161031143421,CP0014,R20161031143421-CP0014,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=265600),,Support,COH,"Quintanilla, David",,AISD Board District 8,11/08/2016,
R20161031143800,CP0001,R20161031143800-CP0001,Sensible Transportation Solutions for Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=265592),,Oppose,MEASURE,Proposition 1,,,11/08/2016,Mobility Package
R20161101091525,CP0001,R20161101091525-CP0001,Arbor PAC,View Report (http://www.austintexas.gov/edims/document.cfm?id=265633),,Oppose,COH,"Gallo, Sheri",Council - District 10,,11/08/2016,
R20161101091525,CP0002,R20161101091525-CP0002,Arbor PAC,View Report (http://www.austintexas.gov/edims/document.cfm?id=265633),,Oppose,COH,"Gauldin, Natalie",,Council - District 7,11/08/2016,
R20161101091525,CP0003,R20161101091525-CP0003,Arbor PAC,View Report (http://www.austintexas.gov/edims/document.cfm?id=265633),,Support,COH,"Alter, Alison",,Council - District 10,11/08/2016,
R20161101091525,CP0004,R20161101091525-CP0004,Arbor PAC,View Report (http://www.austintexas.gov/edims/document.cfm?id=265633),,Support,COH,"Walker, Rob",,Council - District 10,11/08/2016,
R20161101091525,CP0005,R20161101091525-CP0005,Arbor PAC,View Report (http://www.austintexas.gov/edims/document.cfm?id=265633),,Support,COH,"Pool, Leslie",Council - District 7,,11/08/2016,
R20161101092624,CP0001,R20161101092624-CP0001,Austinites for Equity,View Report (http://www.austintexas.gov/edims/document.cfm?id=265628),,Support,COH,City Council Candidates,,City Council,11/08/2016,
R20161101093221,CP0001,R20161101093221-CP0001,Equity Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=265626),,Support,COH,"Gauldin, Natlie",,City Council,11/08/2016,
R20161101094139,CP0001,R20161101094139-CP0001,Home Builders Association of Greater Austin HOME-PAC Personal,View Report (http://www.austintexas.gov/edims/document.cfm?id=265630),,Support,COH,"Isaac, Jason",State Representative,,11/08/2016,
R20161101094139,CP0002,R20161101094139-CP0002,Home Builders Association of Greater Austin HOME-PAC Personal,View Report (http://www.austintexas.gov/edims/document.cfm?id=265630),,Support,COH,"Paul , Workman",State Representative,,11/08/2016,
R20161101094849,CP0001,R20161101094849-CP0001,Austin Board of Realtors PAC,View Report (http://www.austintexas.gov/edims/document.cfm?id=265635),,Support,COH,"Garza, Delia",Austin City Council,Austin City Council,,
R20161101094849,CP0002,R20161101094849-CP0002,Austin Board of Realtors PAC,View Report (http://www.austintexas.gov/edims/document.cfm?id=265635),,Support,COH,"Gallo, Sheri",Austin City Council,Austin City Council,,
R20161101094849,CP0003,R20161101094849-CP0003,Austin Board of Realtors PAC,View Report (http://www.austintexas.gov/edims/document.cfm?id=265635),,Support,COH,"Casar, Greg",Austin City Council,Austin City Council,,
R20161101094849,CP0004,R20161101094849-CP0004,Austin Board of Realtors PAC,View Report (http://www.austintexas.gov/edims/document.cfm?id=265635),,Support,COH,"Daugherty, Gerald",Travis County Commissioner,Travis County Commissioner,,
R20161101094849,CP0005,R20161101094849-CP0005,Austin Board of Realtors PAC,View Report (http://www.austintexas.gov/edims/document.cfm?id=265635),,Support,COH,"Travillion, Jeff",Travis County Commissioner,Travis County Commissioner,,
R20161101095006,CP0001,R20161101095006-CP0001,Honest Transportation Solutions,View Report (http://www.austintexas.gov/edims/document.cfm?id=265624),,Oppose,MEASURE,City of Austin Proposition 1,,,11/08/2016,Transportation Bonds
R20161101165721,CP0001,R20161101165721-CP0001,Fight for Tomorrow,View Report (http://www.austintexas.gov/edims/document.cfm?id=265658),,Support,COH,"Zimmerman, Don",,,,
R20161102105502,CP0001,R20161102105502-CP0001,Austin Forward,View Report (http://www.austintexas.gov/edims/document.cfm?id=265623),,Support,MEASURE,City of Austin Prop 1,,,11/08/2016,City of Austin Mobility Bond
R20161103171453,CP0001,R20161103171453-CP0001,Sensible Transportation Solutions for Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=265946),,Oppose,MEASURE,Proposition 1,,,11/08/2016,Mobility Package
R20161122090140,CP0001,R20161122090140-CP0001,Austinites for Equity,View Report (http://www.austintexas.gov/edims/document.cfm?id=266949),,Support,COH,"Flannigan, Jimmy",,City Council District 6,11/08/2016,
R20161122090507,CP0001,R20161122090507-CP0001,Honest Transportation Solutions,View Report (http://www.austintexas.gov/edims/document.cfm?id=266799),New,Oppose,MEASURE,City of Austin Proposition 1,,,11/08/2016,Transportation Bonds
R20161130105158,CP0001,R20161130105158-CP0001,Austinites for Equity,View Report (http://www.austintexas.gov/edims/document.cfm?id=267058),,Support,COH,"Alter, Alison",,City Council District 10,12/13/2016,
R20161205171721,CP0001,R20161205171721-CP0001,Arbor PAC,View Report (http://www.austintexas.gov/edims/document.cfm?id=267530),,Oppose,COH,"Gallo, Sheri",Council - District 10,,12/13/2016,
R20161205171721,CP0002,R20161205171721-CP0002,Arbor PAC,View Report (http://www.austintexas.gov/edims/document.cfm?id=267530),,Support,COH,"Alter, Alison",,Council - District 10,12/13/2016,
R20161205171757,CP0001,R20161205171757-CP0001,Austin Board of Realtors PAC,View Report (http://www.austintexas.gov/edims/document.cfm?id=267534),,Support,COH,"Gallo, Sheri",Austin City Council,Austin City Council,,
R20161205171757,CP0002,R20161205171757-CP0002,Austin Board of Realtors PAC,View Report (http://www.austintexas.gov/edims/document.cfm?id=267534),,Support,COH,"Daugherty, Gerald",Travis County Commissioner,Travis County Commissioner,,
R20161205171830,CP0001,R20161205171830-CP0001,Stonewall Democrats of Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=267519),,Support,COH,"Alter, Alison",,City Council District 10,12/13/2016,
R20161205172055,CP0001,R20161205172055-CP0001,Austinites for Equity,View Report (http://www.austintexas.gov/edims/document.cfm?id=267528),New,Support,COH,"Pool, Leslie",Austin City Council Dist 7,Austin City Council Dist 7,11/08/2016,
R20161205172055,CP0002,R20161205172055-CP0002,Austinites for Equity,View Report (http://www.austintexas.gov/edims/document.cfm?id=267528),New,Support,COH,"Casar, Greg",Austin City Council Dist 4,Austin City Council Dist 4,11/08/2016,
R20161205172055,CP0003,R20161205172055-CP0003,Austinites for Equity,View Report (http://www.austintexas.gov/edims/document.cfm?id=267528),New,Support,COH,"Garza, Delia",Austin City Council Dist 2,Austin City Council Dist 2,11/08/2016,
R20161205172055,CP0004,R20161205172055-CP0004,Austinites for Equity,View Report (http://www.austintexas.gov/edims/document.cfm?id=267528),New,Support,COH,"Flannigan, Jimmy",,Austin City Council Dist 6,11/08/2016,
R20161205172055,CP0005,R20161205172055-CP0005,Austinites for Equity,View Report (http://www.austintexas.gov/edims/document.cfm?id=267528),New,Oppose,COH,"Zimmerman, Don",Austin City Council Dist 6,Austin City Council Dist 6,11/08/2016,
R20170113130235,CP0001,R20170113130235-CP0001,Arbor PAC,View Report (http://www.austintexas.gov/edims/document.cfm?id=269856),,Oppose,COH,"Gallo, Sheri",Council - District 10,,12/13/2016,
R20170113130235,CP0002,R20170113130235-CP0002,Arbor PAC,View Report (http://www.austintexas.gov/edims/document.cfm?id=269856),,Support,COH,"Alter, Alison",,Council - District 10,12/13/2016,
R20170117131213,CP0001,R20170117131213-CP0001,Our Rail,View Report (http://www.austintexas.gov/edims/document.cfm?id=269916),,Support,MEASURE,Proposition 1,,,11/08/2016,Mobility Bond Issue
R20170117131413,CP0001,R20170117131413-CP0001,Sensible Transportation Solutions for Austin,View Report (http://www.austintexas.gov/edims/document.cfm?id=269900),,Oppose,MEASURE,Proposition 1,,,11/08/2016,Mobility Package
R20170117133145,CP0001,R20170117133145-CP0001,Honest Transportation Solutions,View Report (http://www.austintexas.gov/edims/document.cfm?id=269915),,Oppose,MEASURE,Proposition 1,,,11/08/2016,City of Austin Proposition 1
R20170117134014,CP0001,R20170117134014-CP0001,Austinites for Equity,View Report (http://www.austintexas.gov/edims/document.cfm?id=269907),,Support,COH,"Alter, Alison",,Austin City Council Dist 10,12/13/2016,
R20170117134014,CP0002,R20170117134014-CP0002,Austinites for Equity,View Report (http://www.austintexas.gov/edims/document.cfm?id=269907),,Support,COH,"Pool, Leslie",Austin City Council Dist 7,Austin City Council Dist 7,11/08/2016,
R20170117134014,CP0003,R20170117134014-CP0003,Austinites for Equity,View Report (http://www.austintexas.gov/edims/document.cfm?id=269907),,Support,COH,"Casar, Greg",Austin City Council Dist 4,Austin City Council Dist 4,11/08/2016,
R20170117134014,CP0004,R20170117134014-CP0004,Austinites for Equity,View Report (http://www.austintexas.gov/edims/document.cfm?id=269907),,Support,COH,"Garza, Delia",Austin City Council Dist 2,Austin City Council Dist 2,11/08/2016,
R20170117134014,CP0005,R20170117134014-CP0005,Austinites for Equity,View Report (http://www.austintexas.gov/edims/document.cfm?id=269907),,Support,COH,"Flannigan, Jimmy",,Austin City Council Dist 6,11/08/2016,
R20170117134014,CP0006,R20170117134014-CP0006,Austinites for Equity,View Report (http://www.austintexas.gov/edims/document.cfm?id=269907),,Oppose,COH,"Zimmerman, Don",Austin City Council Dist 6,Austin City Council Dist 6,11/08/2016,
R20170117165342,CP0001,R20170117165342-CP0001,Texas Vote Environment PAC,View Report (http://www.austintexas.gov/edims/document.cfm?id=269808),,Support,MEASURE,Prop 1,,,11/08/2016,Transportation Bonds
R20170117165342,CP0002,R20170117165342-CP0002,Texas Vote Environment PAC,View Report (http://www.austintexas.gov/edims/document.cfm?id=269808),,Support,COH,"Garza, Leslie",Council Dist 2,Council Dist 2,11/08/2016,
