number,dorregionnumber,type,name,address1,address2,city,state,zipcode,located_in,county,phone,fax,size,email,agent,officemanager,contractmanager,daysopen,daysclosed,holidaysclosed,additionaldaysclosed,remarks,latlng,twitter_url,facebook_url,textingPhoneNumber,ManagerContactNumber,ManagerContactNumber2,OtherContactInfo,additional_license_office_info
072,4,1MV,HARRISONVILLE,2773 CANTRELL ROAD,,HARRISONVILLE,MO,64701-0000,MILL WALK MALL,Cass,(816) 884-4133,(816) 380-4914,3,HARRISONVILLEAGENTOFFICE@DOR.MO.GOV,"RED MOON ENTERPRISES, LLC",DONNA RATLIFF,,"Monday - Friday - 8:30 to 5:00, Saturday - 8:30 to 12:00",,"Lincoln’s Birthday (02/12/20), President’s Day (02/17/20), Truman’s Birthday (05/08/20), Memorial Day (05/25/20), Independence Day (07/03/20), Labor Day (09/07/20), Columbus Day (10/12/20), Veterans Day (11/11/20), Thanksgiving (11/26/20), Christmas Day (12/25/20)","2/3/2020 (at 4:00 PM ),  2/5/2020,  3/21/2020,  4/1/2020,  04/02/20,  04/03/20,  04/04/20,  04/06/20,  04/07/20,  04/08/20,  04/09/20,  04/10/20,  04/11/20,  04/13/20,  04/14/20,  04/15/20,  04/16/20,  04/17/20,  04/18/20,  04/20/20,  04/21/20,  04/22/20,  04/23/20,  04/24/20,  04/25/20,  4/27/2020 (open at 8:30 AM ), 04/28/20, 04/29/20, 04/30/20, 05/01/20, 05/02/20,  5/4/2020 (open at 8:30 AM ),  5/23/20,  7/4/20,   9/5/20,  11/27/20,  11/28/20,  12/24/20 (p.m. only),  12/26/20",,"(38.6618899, -94.3743186)",,https://www.facebook.com/Harrisonville-License-Office-1544882715739692/,(816) 519-6630,,,License Office's Website: www.harrisonvillelicenseoffice.com,Due to COVID-19 the office is by appointment only call 816-884-4133
030,2,1MV,BROOKFIELD,223 N MAIN ST,,BROOKFIELD,MO,64628-1643,,Linn,(660) 258-8248,(660) 258-7248,1,BROOKFIELDAGENTOFFICE@DOR.MO.GOV,"JA MORGAN, LLC",TONI LEE NICKERSON,,"Monday - Friday - 9:00 to 5:00, Last Four Business Days of Month - 8:30 to 5:30, 12/30/19, 12/31/19 - 8:30 to 5:30",,"Lincoln’s Birthday (02/12/20), President’s Day (02/17/20), Truman’s Birthday (05/08/20), Memorial Day (05/25/20), Independence Day (07/03/20), Labor Day (09/07/20), Columbus Day (10/12/20), Veterans Day (11/11/20), Thanksgiving (11/26/20), Christmas Day (12/25/20)","2/11/2020 (at 9:00 AM until 10:00 AM ),   3/23/2020,   03/24/20,   03/25/20,   03/26/20,   03/27/20,   03/28/20,   03/30/20,   03/31/20,   04/01/20,   04/02/20,   04/03/20,   04/04/20,    4/6/2020 (open at 9:00 AM ),  04/07/20,  04/08/20,  04/09/20,  04/10/20,  04/11/20,  04/13/20,  04/14/20,  04/15/20,  04/16/20,  04/17/20,  04/18/20,  04/20/20,  04/21/20,  04/22/20,  04/23/20,  04/24/20,  04/25/20,   4/27/2020 (open at 8:30 AM ), 04/28/20, 04/29/20, 04/30/20, 05/01/20, 05/02/20, 11/25/20,       11/27/20,   12/24/20,   12/31/20",,"(39.786918, -93.074735)",,,,,,,"Due to COVID-19 the office is operating by appointment onlyServices for the Elderly or Disabled: Curbside Service,  Assist with changing or replacing plates/tabs. Other Services: Motor Vehicle transaction drop-off service."
128,10,1MV,VIBURNUM,#8 MISSOURI AVE,,VIBURNUM,MO,65566-0592,DISABLED CITIZENS ALLIANCE FOR INDEPENDENCE,Iron,(573) 244-3800,(573) 244-3802,1,VIBURNUMAGENTOFFICE@DOR.MO.GOV,"DISABLED CITIZENS ALLIANCE FOR INDEPENDENCE, INC",SONIA MINER,,Monday - Friday - 9:00 to 4:00,Monday - Friday from 12:30 to 1:00,"President’s Day (02/17/20), Memorial Day (05/25/20), Independence Day (07/03/20), Labor Day (09/07/20), Veterans Day (11/11/20), Thanksgiving (11/26/20), Christmas Day (12/25/20)","4/7/2020,  4/10/20,  5/8/2020,  11/20/20 (p.m. only),  11/27/20,  12/24/20",,"(37.71487, -91.135535)",,,,,,Public E-mail Address: dcitizen@misn.comContractor's Website: www.dcai.us,Due to COVID-19 the office will be temporarily the number of customers allowed in the office at one time  and will be closed on Fridays for cleaning
103,10,1MV,ROLLA,1038 S. BISHOP,,ROLLA,MO,65401-0000,,Phelps,(573) 364-7848,(573) 426-4538,3,ROLLAAGENTOFFICE@DOR.MO.GOV,"LICENSE OFFICE SERVICES, LLC",PATSY STRICKLAND,,"Monday - Friday - 8:00 to 5:00, Last Saturday of the month - 8:00 to 12:00, Last three bus days of the month - 7:00 to 5:00",,"Lincoln’s Birthday (02/12/20), President’s Day (02/17/20), Truman’s Birthday (05/08/20), Memorial Day (05/25/20), Independence Day (07/03/20), Labor Day (09/07/20), Columbus Day (10/12/20), Veterans Day (11/11/20), Thanksgiving (11/26/20), Christmas Day (12/25/20)","4/6/2020,  04/07/20,  04/08/20,  04/09/20,  04/10/20,  04/11/20,  4/13/2020 (open at 9:00 AM),  4/20/2020, 04/21/20, 04/22/20, 04/23/20, 04/24/20, 04/25/20, 04/27/20, 04/28/20, 04/29/20, 04/30/20, 05/01/20, 05/02/20, 11/27/20,  11/28/20,  12/24/20,  12/26/20,  12/28/20",,"(37.928857, -91.781096)",http://twitter.com/rollalicense,https://www.facebook.com/pages/Rolla-License-Office/1535325223376869,(573) 458-9167,,,Public E-mail Address: rollaoffice.los@gmail.com,
076,13,1MV,HARTVILLE,440-A INDUSTRIAL DR,,HARTVILLE,MO,65667-0000,,Wright,(417) 741-7470,(417) 741-7471,1,HARTVILLEAGENTOFFICE@DOR.MO.GOV,TAMARA SHERMAN,TAMARA SHERMAN,,"Monday, Tuesday, Thursday and Friday - 8:30 to 4:30, 7/31/2019 - 8:30 to 4:30",,"Truman’s Birthday (05/08/20), Memorial Day (05/25/20), Independence Day (07/03/20), Labor Day (09/07/20), Columbus Day (10/12/20), Veterans Day (11/11/20), Thanksgiving (11/26/20), Christmas Day (12/25/20)","3/24/2020 (at 1:30 PM ), 4/10/20, 11/27/20",,"(37.247055, -92.507431)",,https://www.facebook.com/Hartville-License-Office-441479280002002/?ref=bookmarks,(417) 872-6404,,,Public Website: www.hartvillelicenseoffice.com,
074,11,1MV,LAMAR,"208 W 12TH, #7",,LAMAR,MO,64759-0000,GEM TREE PLAZA,Barton,(417) 682-3555,(417) 682-9697,1,LAMARAGENTOFFICE@DOR.MO.GOV,JOYCE E. MOSER,JOYCE E. MOSER,,Monday - Friday - 8:30 to 5:00,,"Lincoln’s Birthday (02/12/20), President’s Day (02/17/20), Truman’s Birthday (05/08/20), Memorial Day (05/25/20), Independence Day (07/03/20), Labor Day (09/07/20), Columbus Day (10/12/20), Veterans Day (11/11/20), Thanksgiving (11/26/20), Christmas Day (12/25/20)","2/6/2020 (at 4:00 PM ), 3/30/2020, 03/31/20, 04/01/20, 04/02/20, 04/03/20, 04/04/20, 4/6/2020 (open at 8:30 AM ), 11/27/20, 12/24/20",,"(37.4933375, -94.2779377)",,,,,,Public E-mail Address: lamarlicenseoffice@gmail.com,Due to COVID-19 the office will be temporarily the number of customers allowed in the office at one time
151,6,1MV,VIENNA,211 4TH ST,,VIENNA,MO,65582-0000,MARIES COUNTY COURTHOUSE,Maries,(573) 422-6151,(573) 422-3156,1,VIENNAAGENTOFFICE@DOR.MO.GOV,MARIES COUNTY MISSOURI,JENNIFER ROBERSON,,Monday - Friday - 8:00 to 4:00,,"President’s Day (02/17/20), Truman’s Birthday (05/08/20), Memorial Day (05/25/20), Independence Day (07/03/20), Labor Day (09/07/20), Columbus Day (10/12/20), Veterans Day (11/11/20), Thanksgiving (11/26/20), Christmas Day (12/25/20)","3/25/2020,  4/20/2020 (at 8:00 AM ), 04/21/20, 04/22/20, 04/23/20, 04/24/20, 04/25/20, 04/27/20, 04/28/20, 04/29/20, 04/30/20, 05/01/20, 05/02/20,  5/4/2020 (open at 8:00 AM ),  11/27/20,  12/24/20 (p.m. only)",,"(38.1856843, -91.946067)",,https://www.facebook.com/mariescounty/,(573) 368-1464,,,Public E-mail Address: stephanie@mariesco.org,Due to COVID-19 the office will be temporarily the number of customers allowed in the office at one time
011,3,1MV,LIBERTY,137 N. STEWART RD,,LIBERTY,MO,64068-0000,,Clay,(816) 407-9186,(816) 407-9471,3,LIBERTYAGENTOFFICE@DOR.MO.GOV,"BELLE HART SCHMIDT, LLC",JENNIFER POOL,,"Monday, Wednesday and Friday - 9:00 to 5:00, Tuesday and Thursday - 9:00 to 7:00, Saturdays - 9:00 to 1:00, Last Weekday of the Month - 9:00 to 7:00",,"Lincoln’s Birthday (02/12/20), President’s Day (02/17/20), Truman’s Birthday (05/08/20), Memorial Day (05/25/20), Independence Day (07/03/20), Labor Day (09/07/20), Columbus Day (10/12/20), Veterans Day (11/11/20), Thanksgiving (11/26/20), Christmas Day (12/25/20)","3/18/2020,    03/19/20,    03/20/20,    03/21/20,    03/23/20,     03/24/20,    03/25/20,    03/26/20,    03/27/20,    03/28/20,     03/30/20,    03/31/20,    04/01/20,    04/02/20,    04/03/20,     04/04/20,    4/6/2020 (open at 9:00 AM ),    04/07/20,    04/08/20,    04/09/20,    04/10/20,    04/11/20,    04/13/20,    4/13/2020,    04/14/20,    04/15/20,    04/16/20,    04/17/20,    04/18/20,     4/20/2020 (open at 9:00 AM ),   04/20/20,   04/21/20,   04/22/20,   04/23/20,   04/24/20,   04/25/20,   04/27/20,   04/28/20,   04/29/20,   04/30/20,    5/1/2020 (open at 9:00 AM ), 05/02/20, 05/04/20, 05/05/20, 05/06/20, 05/07/20, 05/08/20, 05/09/20, 05/11/20, 05/12/20, 05/13/20, 05/14/20, 05/15/20, 05/16/20,  5/18/2020 (open at 9:00 AM ),    7/4/20,    9/5/20,    11/27/20,    11/28/20,    12/24/20,    12/26/20",,"(39.248912, -94.451819)",www.twitter.com/liberty_license,https://www.facebook.com/libertymolicense/,(816) 255-5756,,,Public E-mail Address: liberty@molicense.comContractor's Website: www.molicense.com,"Temporarily closed due to COVID-19 until May 4, 2020"
002,14,1MV,PERRYVILLE,624 B N. OLD ST MARYS ROAD,,PERRYVILLE,MO,63775-0000,,Perry,(573) 547-6100,(573) 517-7902,2,PERRYVILLEAGENTOFFICE@DOR.MO.GOV,"MCLB MANAGEMENT COMPANY, LLC",DANA REINWALD,,"Monday - 8:30 to 6:00, Tuesday-Friday - 9:00 to 5:00, Last Saturday - 9:00 to 1:00",,"President’s Day (02/17/20), Memorial Day (05/25/20), Independence Day (07/03/20), Labor Day (09/07/20), Columbus Day (10/12/20), Veterans Day (11/11/20), Thanksgiving (11/26/20), Christmas Day (12/25/20)","3/23/2020 (at 3:00 PM ),   3/26/2020,   03/27/20,   3/28/2020,   03/28/20,   03/30/20,   03/31/20,   04/01/20,   04/02/20,   04/03/20,   04/04/20,   4/6/2020 (open at 8:30 AM),   04/07/20,   04/08/20,   04/09/20,   04/10/20,   04/11/20,   4/13/2020 (open at 8:30 AM),   4/13/2020 (open at 9:00 AM),  04/14/20,  04/15/20,  04/16/20,  04/17/20,  04/18/20,   4/20/2020 (open at 9:00 AM ), 04/21/20, 04/22/20,  4/23/2020 (open at 9:00 AM ),   11/27/20,   11/28/20,   12/26/20",,"(37.7317293, -89.8683546)",https://twitter.com/PerryvilleL,https://www.facebook.com/Perryville-License-Office-449220501886804/,(573) 979-2143,,,Public E-mail Address: perryvillelicenseoffice@yahoo.comLicense Office's Website: www.perryvillelicenseoffice.com,Due to COVID-19 the office is temporarily adjusting hoursMonday 8:30 a.m. - 6:00 p.m.Tuesday-Friday 9:00 a.m. - 5:00 p.m. Closed Saturdays
034,13,1MV,MOUNTAIN GROVE,120 SOUTH UNION ST,,MOUNTAIN GROVE,MO,65711-0000,,Wright,(417) 926-3333,(417) 926-3342,1,MOUNTAINGROVEAGENTOFFICE@DOR.MO.GOV,MOUNTAIN GROVE LICENSE OFFICE,SAMANTHA ENGH,,"Monday - Friday - 8:00 to 4:30, LAST 4 WEEKDAYS OF THE MONTH - 8:00 to 5:00",,"Lincoln’s Birthday (02/12/20), President’s Day (02/17/20), Truman’s Birthday (05/08/20), Memorial Day (05/25/20), Independence Day (07/03/20), Labor Day (09/07/20), Columbus Day (10/12/20), Veterans Day (11/11/20), Thanksgiving (11/26/20), Christmas Day (12/25/20)","4/10/20,  5/4/2020 (at 3:30 PM ),  11/25/20 (p.m. only),  11/27/20,  12/23/20 (p.m. only),  12/24/20",,"(37.129669, -92.262932)",,https://www.facebook.com/Mountain-Grove-License-Office-763508400485469/,,,,,"Ways to contact office: Facebook  Services for the Elderly or Disabled: Curbside Service, Special Appointments, Assist with changing or replacing plates/tabs, Process Transactions in the customer waiting area. Other Services: Motor Vehicle transaction drop-off service, Free WiFi."
001,6,1MV,JEFFERSON CITY - Contract,2015 SCHOTTHILL WOODS DR,,JEFFERSON CITY,MO,65101-0000,,Cole,(573) 632-0006,(573) 632-0012,3,JEFFERSONCITYAGENTOFFICE@DOR.MO.GOV,"KOESTER & KOESTER, LLC",DeDe Nichols,,"Monday - Friday - 09:00 to 05:00, Last Saturday - 09:00 to 12:00",,"Truman’s Birthday (05/08/20), Memorial Day (05/25/20), Independence Day (07/03/20), Labor Day (09/07/20), Columbus Day (10/12/20), Veterans Day (11/11/20), Thanksgiving (11/26/20), Christmas Day (12/25/20)","3/25/2020, 03/26/20, 03/27/20, 03/28/20, 03/30/20, 03/31/20, 04/01/20, 04/02/20, 04/03/20, 04/04/20,  4/6/2020 (open at 9:00 AM ), 11/27/20, 11/28/20,  12/24/20, 12/26/20",,"(38.547426, -92.148676)",,,,,,,"Due to COVID-19 the office will be temporarily the number of customers allowed in the office at one time.This office provides the following services: ADAAA Compliant Accessible Restroom, Greeter, Automatic Door, Wi-Fi, Charging Station, and Take a Number System."
