Application Type,Application Number,Process Date,Issued Date,Final Date,Expire Date,Street number,Street Pre direction,Street name,Street Post direction,Street suffix,City,State   ,Zip Code,Proposed Construction,Section 59,Existing Structure,New SFD,Non Complying,Non Conforming,Proposed Structure,Room Add,Accessory structure,Fence - Retaining wall,Porch,Swim Pool,Garage - Carport,Shed,Deck,Other,Zoning Type,Location,Comments,Location1
DEVELOPMENT STANDARDS VARIANCE,371694,10/09/2019,,,,16233,,REDLAND,,RD,ROCKVILLE,MD,20855,56'x30' accessory structure for handicap equip. storage,,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,RE-1,,Construction of 56'x30' accessory structure to store equipment for handicapped parent of property owner's use.,"16233 REDLAND RD
ROCKVILLE, MD 20855
(39.123421, -77.156)"
DEVELOPMENT STANDARDS VARIANCE,372070,10/28/2019,,,,6009,,PRINCETON,,AVE,GLEN ECHO,MD,20812,rebuild/epansion of existing shed.,4.4.9.B.2,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,R-60,,Rebuild and existing shed and make a little larger. Need a rear variance of 0.83' and a left side variance of 4.25'.,"6009 PRINCETON AVE
GLEN ECHO, MD 20812
(38.968207, -77.141424)"
DEVELOPMENT STANDARDS VARIANCE,372531,11/27/2019,,,,241,,PARK,,AVE,TAKOMA PARK,MD,20912,Convert existing screened porch to conditioned space,.4.4.9.B.2,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,R-60,,Convert existing nonconforming screened porch into full conditioned space with exterior steps.,"241 PARK AVE
TAKOMA PARK, MD 20912
(38.978663, -77.00926)"
DEVELOPMENT STANDARDS VARIANCE,372765,12/13/2019,,,,10900,,ROCKVILLE,,PIKE,ROCKVILLE,MD,20852,of school bldg need var of 31.5' mean or 41.5' peak.,,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,R-90,,Proposed school building.,"10900 ROCKVILLE PIKE
ROCKVILLE, MD 20852
(39.032092, -77.105962)"
DEVELOPMENT STANDARDS VARIANCE,372925,12/30/2019,,,,2112,,DRURY,,RD,SILVER SPRING,MD,20906,of a in-ground pool located in front of rear bldg line,4.4.7.B.2.,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,R-200,,,"2112 DRURY RD
SILVER SPRING, MD 20906
(39.115226, -77.048483)"
DEVELOPMENT STANDARDS VARIANCE,373002,01/03/2020,,,,9720,,CORKRAN,,LN,BETHESDA,MD,20817,enclose exisitng carport for a garage.,4.4.8.B.2,Y,N,N,N,Y,N,N,N,N,N,Y,N,N,N,R-90,,Convert a carport to a garage.,"9720 CORKRAN LN
BETHESDA, MD 20817
(39.016176, -77.137337)"
DEVELOPMENT STANDARDS VARIANCE,373215,01/22/2020,,,,10200,,CLEARBROOK,,PL,KENSINGTON,MD,20895,is one story addition.,4.4.9-B-2,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,,"10200 CLEARBROOK PL
KENSINGTON, MD 20895
(39.023593, -77.085937)"
DEVELOPMENT STANDARDS VARIANCE,373268,01/27/2020,,,,301,,ETHAN ALLEN,,AVE,TAKOMA PARK,MD,20912,construct a rear addition on a corner lot.,4.4.9.B.2,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,,"301 ETHAN ALLEN AVE
TAKOMA PARK, MD 20912
(38.978143, -77.00378)"
DEVELOPMENT STANDARDS VARIANCE,373270,01/27/2020,,,,21313,,AUTUMN ROSE,,WAY,GERMANTOWN,MD,20876,of a shed in the rear yard.,B.4.4.7.2,Y,N,N,N,N,N,Y,N,N,N,N,Y,N,N,R-200,,Construct a shed in the rear yard 2' from the side property,"21313 AUTUMN ROSE WAY
GERMANTOWN, MD 20876
(39.204907, -77.257629)"
DEVELOPMENT STANDARDS VARIANCE,372664,12/06/2019,,,,12817,,BAKER,,DR,SILVER SPRING,MD,20904,"Need var. 5.6' for porch, w/in 25.4' w/ 31' min.",4.4.7.B,N,N,N,N,Y,Y,N,N,Y,N,Y,N,N,N,R-200,,"First Floor:&nbsp; Kitchen / Interior renovation, Two car garage addition &amp; screened porch.Second Floor: Owner suite renovation, add 2 bedroom &amp; bathrooms.","12817 BAKER DR
SILVER SPRING, MD 20904
(39.067301, -77.0033)"
DEVELOPMENT STANDARDS VARIANCE,373361,02/03/2020,02/03/2020,02/03/2020,,936,,CLINTWOOD,,DR,SILVER SPRING,MD,20902,of a garage that will not meet req'd sum of both yards.,4.4.8.B.2.,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,R-90,,Construct addition on the right side of the dwelling and convert the existing carport into a garage. The garage will be 9.6' from the right side lot line.,"936 CLINTWOOD DR
SILVER SPRING, MD 20902
(39.048306, -77.028989)"
DEVELOPMENT STANDARDS VARIANCE,373437,02/07/2020,,,,2209,,MICHIGAN,,AVE,SILVER SPRING,MD,20910,is a two story addition,4.4.9-B-2,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,,"2209 MICHIGAN AVE
SILVER SPRING, MD 20910
(39.002416, -77.047887)"
DEVELOPMENT STANDARDS VARIANCE,373266,01/27/2020,,,,11312,,CHURCH BEND,,CT,GERMANTOWN,MD,20876,is to add a larger screened porch over an existing deck,4.4.9.B.2,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,R-60,,Enclose existing deck with screened porch.,"11312 CHURCH BEND CT
GERMANTOWN, MD 20876
(39.196792, -77.234689)"
DEVELOPMENT STANDARDS VARIANCE,373524,02/12/2020,,,,7208,,MILL RUN,,DR,ROCKVILLE,MD,20855,differs from 2017 DPS approval w/ 12' setbacks.,4.4.7.B.2,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,R-200,,Install 18' x 18' shed.,"7208 MILL RUN DR
ROCKVILLE, MD 20855
(39.144634, -77.14813)"
DEVELOPMENT STANDARDS VARIANCE,373562,02/14/2020,,,,2930,W,UNIVERSITY,,BLVD,KENSINGTON,MD,20895,of a house w/in 5.95' of right lot line. 1.05' var.,4.4.9.B.2,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,R-60,,Existing Construction is too close to right property line,"W 2930 UNIVERSITY BLVD
KENSINGTON, MD 20895"
DEVELOPMENT STANDARDS VARIANCE,373628,02/19/2020,,,,5337,,WESTPATH,,WAY,BETHESDA,MD,20816,addition over existing 1st floor. SEE ATTACHMENT A,,Y,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,R-90,,Permitted addition is not meeting setbacks.,"5337 WESTPATH WAY
BETHESDA, MD 20816
(38.953477, -77.125106)"
DEVELOPMENT STANDARDS VARIANCE,373623,02/19/2020,,,,3602,,SHEPHERD,,ST,CHEVY CHASE,MD,20815,for a 1 story addition and screened porch with steps.,Division 4.4.9.B.2,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,R-60,,Construction of a 1 story addition and a screened porch with steps.,"3602 SHEPHERD ST
CHEVY CHASE, MD 20815
(38.97975, -77.071632)"
DEVELOPMENT STANDARDS VARIANCE,210948,03/23/2001,03/23/2001,,,8501,,FARRELL,,DR,CHEVY CHASE,MD,20815,IS A COVERED FRONT PORCH,c-1.323(a),N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,R-60,,,"8501 FARRELL DR
CHEVY CHASE, MD 20815
(38.994869, -77.058387)"
DEVELOPMENT STANDARDS VARIANCE,373635,02/20/2020,,,,10200,,LESLIE,,ST,SILVER SPRING,MD,20902,of shed within 9.7' of the side street facing Loma St.,4.4.9.B.2.,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,R-60,,,"10200 LESLIE ST
SILVER SPRING, MD 20902
(39.022593, -77.057328)"
DEVELOPMENT STANDARDS VARIANCE,373811,02/28/2020,,,,6107,,MADAWASKA,,RD,BETHESDA,MD,20816,of a new house.,4.4.8.B.2,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,R-90,,,"6107 MADAWASKA RD
BETHESDA, MD 20816
(38.958387, -77.124307)"
DEVELOPMENT STANDARDS VARIANCE,373817,02/28/2020,,,,12501,,HOLDRIDGE,,RD,SILVER SPRING,MD,20906,New Single Family Dwelling.,4.4.9.B1,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,R-60,,,"12501 HOLDRIDGE RD
SILVER SPRING, MD 20906
(39.06127, -77.056358)"
DEVELOPMENT STANDARDS VARIANCE,373978,03/10/2020,,,,9,,DERBYSHIRE,,CT,BETHESDA,MD,20817,pool. 59-4.4.8 B-2 allows rear yard only,,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,R-90,,,"9 DERBYSHIRE CT
BETHESDA, MD 20817
(39.01694, -77.140177)"
DEVELOPMENT STANDARDS VARIANCE,374056,03/13/2020,,,,6414,,5TH,,AVE,TAKOMA PARK,MD,20912,needs 10' variance from the required 20' rear setback.,4.4.9.B.2,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,Sunroom in rear yard.,"6414 5TH AVE
TAKOMA PARK, MD 20912
(38.968099, -77.003326)"
DEVELOPMENT STANDARDS VARIANCE,374206,03/20/2020,,,,700,,BRIGHTON KNOLLS,,DR,BRINKLOW,MD,20862,"side pool. Section 59-4.3.4--B-2-d, allows rear only.",,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,RC,side yard inground pool application #907965,"proposed accessory structure, inground pool, not permitted for install in side yard.&nbsp; Inground pool must be installed in rear yard.","700 BRIGHTON KNOLLS DR
BRINKLOW, MD 20862
(39.186343, -77.020838)"
DEVELOPMENT STANDARDS VARIANCE,213049,08/01/2001,08/01/2001,,,15509,,NEW HAMPSHIRE,,AVE,SILVER SPRING,MD,20905,IS A 10FT.TALL FENCE/BLDG. NEXT TO A(RE-1/R-200) LOT,c-4.343(b)(1),N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,C-1,,,"15509 NEW HAMPSHIRE AVE
SILVER SPRING, MD 20905
(39.110137, -76.996414)"
DEVELOPMENT STANDARDS VARIANCE,208702,10/25/2000,10/25/2000,10/25/2000,,9408,,OLD GEORGETOWN,,RD,BETHESDA,MD,20817,,C-1.326(a)(2)(C),N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,R-60,,,"9408 OLD GEORGETOWN RD
BETHESDA, MD 20817
(39.009213, -77.11416)"
DEVELOPMENT STANDARDS VARIANCE,374522,04/15/2020,,,,21033,,GEORGIA,,AVE,BROOKEVILLE,MD,20833,ag barn forward of rear bldg line 59.4.3.4.B.2.d,,N,N,N,N,Y,N,Y,N,N,N,N,N,N,Y,RC,,Build an accessory structure forward of the front Building line for an ag use.,"21033 GEORGIA AVE
BROOKEVILLE, MD 20833
(39.201473, -77.06462)"
DEVELOPMENT STANDARDS VARIANCE,272313,12/15/2011,,,,8707,,GRANT,,ST,BETHESDA,MD,20817,,G-2.31(3),Y,N,N,N,N,N,N,N,N,N,N,N,N,N,R-60,,,"8707 GRANT ST
BETHESDA, MD 20817
(38.99848, -77.112189)"
DEVELOPMENT STANDARDS VARIANCE,202001,12/02/1999,12/02/1999,,,,,,,,,,,OF A GARAGE REQUIRES A VARIANCE FROM FRONT LOT LINE.,C-1.323(a),N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,R-200,,,
DEVELOPMENT STANDARDS VARIANCE,202457,12/21/1999,12/21/1999,12/21/1999,,6012,,CAIRN,,TER,BETHESDA,MD,20817,IS A FRONT ADDITION,c1.323a,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,,"6012 CAIRN TER
BETHESDA, MD 20817
(38.97084, -77.135876)"
DEVELOPMENT STANDARDS VARIANCE,206087,07/19/2000,07/19/2000,,,120,,DALE,,DR,SILVER SPRING,MD,20910,IS A ONE STORY ADDITION,c-1.323(b)(2),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,,"120 DALE DR
SILVER SPRING, MD 20910
(38.995883, -77.009659)"
DEVELOPMENT STANDARDS VARIANCE,362999,04/16/2018,,,,4624,N,CHELSEA,,LN,BETHESDA,MD,20814,of room addn req a var to reduce 25' front setback,4.4.9.B.2,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,R-60,,"177.62 sq/ft room addition,ramp","N 4624 CHELSEA LN
BETHESDA, MD 20814"
DEVELOPMENT STANDARDS VARIANCE,213898,03/17/2000,03/17/2000,,,4006,,63RD,,ST,BETHESDA,MD,20816,IS ON A STREET WITH AN ESTABLISHED BUILDING LINE OF 27',C-1.323(a),N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,R-60,,,"4006 63RD ST
BETHESDA, MD 20816
(38.941862, -77.120622)"
DEVELOPMENT STANDARDS VARIANCE,212336,06/15/2001,06/15/2001,,,11209,,DEWEY,,RD,KENSINGTON,MD,20895,EXISTING 186 SQ/FT SHED REQUIRES A VARIANCE,C-1.326(a)(2)(C),Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,R-60,,,"11209 DEWEY RD
KENSINGTON, MD 20895
(39.040006, -77.084738)"
DEVELOPMENT STANDARDS VARIANCE,205019,05/18/2000,05/24/2000,,,10004,,HURST,,ST,BETHESDA,MD,20814,IS FOR A ONE-STORY SUNROOM ADDITION IN THE RRAR YARD.,C-1.323(b)(2),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,,"10004 HURST ST
BETHESDA, MD 20814
(39.020272, -77.118507)"
DEVELOPMENT STANDARDS VARIANCE,212893,07/20/2001,07/20/2001,,,12614,,GRACE MAX,,ST,ROCKVILLE,MD,20853,IS A 30 FT.BY 30 FT. GARAGE,c-1.326(a)(4),N,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,R-60,,,"12614 GRACE MAX ST
ROCKVILLE, MD 20853
(39.064059, -77.092081)"
DEVELOPMENT STANDARDS VARIANCE,203332,02/22/2000,02/25/2000,,,4336,,LELAND,,ST,CHEVY CHASE,MD,20815,IS FOR A SHED ADD. ON AN EXISTING NON-CONFORM GARAGE,C-1.326(a)(2)(C),Y,N,N,N,N,N,Y,N,N,N,N,Y,N,N,R-60,,,"4336 LELAND ST
CHEVY CHASE, MD 20815
(38.980508, -77.088012)"
DEVELOPMENT STANDARDS VARIANCE,205518,06/16/2000,06/16/2000,,,5007,,BUTTERNUT,,DR,ROCKVILLE,MD,20853,,C-1.323(a),N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,R-90,,,"5007 BUTTERNUT DR
ROCKVILLE, MD 20853
(39.091767, -77.101053)"
DEVELOPMENT STANDARDS VARIANCE,214933,12/18/2001,12/18/2001,,,13812,,LOREE,,LN,ROCKVILLE,MD,20853,OF A CARPORT REQ A VAR TO PERMIT IT IN THE FRONT YARD,C-1.326(a)(2)(A),N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,R-90,,,"13812 LOREE LN
ROCKVILLE, MD 20853
(39.082268, -77.094454)"
DEVELOPMENT STANDARDS VARIANCE,219250,10/28/2002,11/01/2002,,,5301,,DUVALL,,DR,BETHESDA,MD,20816,OF A GREENHOUSE REQ A VAR FROM THE 15' STREET LINE.,C-1.323(a),N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,R-60,,BLDG PERMIT#290267,"5301 DUVALL DR
BETHESDA, MD 20816
(38.950779, -77.106824)"
DEVELOPMENT STANDARDS VARIANCE,356804,02/21/2017,,,,4215,,LELAND,,ST,CHEVY CHASE,MD,20815,2nd flr add. over exist. first flr. 5.9' from left line,7.7.1.D.2.c,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,New second floor addition over existing first floor. Minimum setback is 7' (plat 1183 recorded in 1939)&nbsp;&nbsp;and existing house is at 5.9'. Need a variance of 1.1' from left side setback.,"4215 LELAND ST
CHEVY CHASE, MD 20815
(38.983946, -77.084881)"
DEVELOPMENT STANDARDS VARIANCE,204355,04/17/2000,04/17/2000,,,4701,S,CHELSEA,,LN,BETHESDA,MD,20814,OF A ONE STORY ADDITION IN THE REAR YARD REQ.A VARIANCE,C-1.323(b)(2),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,,"S 4701 CHELSEA LN
BETHESDA, MD 20814"
DEVELOPMENT STANDARDS VARIANCE,216056,03/13/2002,03/13/2002,,,16,,SADDLEROCK,,CT,SILVER SPRING,MD,20902,REQ A VAR TO REMAIN IN THE SIDE YD 59-C-1.326(A)(1),,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,R-90,,BLDG PERMIT#271762,"16 SADDLEROCK CT
SILVER SPRING, MD 20902
(39.049845, -77.02382)"
DEVELOPMENT STANDARDS VARIANCE,217440,06/12/2002,06/12/2002,08/22/2002,,11601,,FARMLAND,,DR,ROCKVILLE,MD,20852,OF A PROPOSED GARAGE REQ A VAR FROM THE EST BLDG LINE.,C-1.323(a),N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,R-90,,BLDG PERMIT#279218,"11601 FARMLAND DR
ROCKVILLE, MD 20852
(39.045639, -77.144133)"
DEVELOPMENT STANDARDS VARIANCE,217349,06/06/2002,06/06/2002,,,4617,,CHELTENHAM,,DR,BETHESDA,MD,20814,OF A ROOM ADDN REQ A VAR FROM THE SIDE YD SETBACK.,C-1.323(b)(1),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,BLDG PERMIT#279407,"4617 CHELTENHAM DR
BETHESDA, MD 20814
(38.988414, -77.093338)"
DEVELOPMENT STANDARDS VARIANCE,204445,04/21/2000,04/21/2000,,,5110,,WILSON,,LN,BETHESDA,MD,20814,IS A NEW 2-STORY ADD ON A NON-CONFORM  CORNER REDIDENCE,C-1.323(a),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,,"5110 WILSON LN
BETHESDA, MD 20814
(38.987268, -77.102077)"
DEVELOPMENT STANDARDS VARIANCE,224819,10/16/2003,10/16/2003,,,13011,,BLUHILL,,CT,SILVER SPRING,MD,20906,OF A ROOM ADDN REQ A VAR FROM THE 20' REAR YD SETBACK.,C-1.323(b)(2),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,room addition,"13011 BLUHILL CT
SILVER SPRING, MD 20906
(39.069422, -77.070239)"
DEVELOPMENT STANDARDS VARIANCE,238890,08/10/2005,08/10/2005,,,25110,,HIGHLAND MANOR,,CT,GAITHERSBURG,MD,20882,OF A DET GARAGE REQ A VAR FROM THE 50' FRONT SETBACK.,C-1.326(b)(2),N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,RE-2C,,building permit denial to allow detached garage witin 35' of streetline,"25110 HIGHLAND MANOR CT
GAITHERSBURG, MD 20882
(39.270185, -77.20146)"
DEVELOPMENT STANDARDS VARIANCE,234913,03/10/2005,03/10/2005,,,6516,,ALLEGHENY,,AVE,TAKOMA PARK,MD,20912,OF A ROOM ADDN REQ A VAR FROM 31.67' EST BLDG LINE.,C-1.323(a),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,building permit denial to reduce front yard setback from 31.67' to 24',"6516 ALLEGHENY AVE
TAKOMA PARK, MD 20912
(38.971017, -77.005701)"
DEVELOPMENT STANDARDS VARIANCE,218177,07/26/2002,07/26/2002,10/10/2002,,18736,,JERUSALEM CHURCH,,RD,POOLESVILLE,MD,20837,EXISTING SHED REQ A VAR FROM THE SIDE YARD SETBACK.,C-1.326(a)(2)(C),Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,RMH200,,BLDG PERMIT#283701,"18736 JERUSALEM CHURCH RD
POOLESVILLE, MD 20837
(39.163281, -77.405312)"
DEVELOPMENT STANDARDS VARIANCE,203422,03/02/2000,03/03/2000,,,8714,,GARFIELD,,ST,BETHESDA,MD,20817,IS A 1-STORY ADD. ON THE SIDE OF A PROP.;RECORDED 1936,C-1.323(b)(1),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,,"8714 GARFIELD ST
BETHESDA, MD 20817
(38.999643, -77.114971)"
DEVELOPMENT STANDARDS VARIANCE,209570,01/22/2001,,,,8812,,TRANSUE,,DR,BETHESDA,MD,20817,ARE STAIRS INTO THE SIDE.,1.323(b)(1),N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,R-200,,,"8812 TRANSUE DR
BETHESDA, MD 20817
(38.999137, -77.163887)"
DEVELOPMENT STANDARDS VARIANCE,203886,03/28/2000,03/28/2000,,,4409,,WEST VIRGINIA,,AVE,BETHESDA,MD,20814,IS A 1-STORY ADDITION ATTACHED IN THE FRONT YARD.,C-1.323(a),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,,"4409 WEST VIRGINIA AVE
BETHESDA, MD 20814
(38.990793, -77.088634)"
DEVELOPMENT STANDARDS VARIANCE,365341,10/01/2018,,,,10125,,DURANGO,,DR,DAMASCUS,MD,20872,shed 32' from ft.prop. ln. and not behind house.,4.4.8.2.,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,R-90,,,"10125 DURANGO DR
DAMASCUS, MD 20872
(39.26831, -77.210674)"
DEVELOPMENT STANDARDS VARIANCE,204581,04/27/2000,05/02/2000,,,802,,GIST,,AVE,SILVER SPRING,MD,20910,"IS AN OPEN CARPORT,DETACHED IN THE REAR OF AN R-60 ZONE",C-1.326(b)(3),N,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,R-60,,,"802 GIST AVE
SILVER SPRING, MD 20910
(38.989392, -77.019794)"
DEVELOPMENT STANDARDS VARIANCE,264188,12/30/2009,,,,607,,LANARK,,WAY,SILVER SPRING,MD,20901,OF SHED REQ A VAR FROM 25' SETBACK @ KINROSS AVENUE.,C-1.326(b)(2),Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,R-60,,building permit denial to reduce front yard setback for existing shed from 25' to 5',"607 LANARK WAY
SILVER SPRING, MD 20901
(39.02067, -77.02055)"
DEVELOPMENT STANDARDS VARIANCE,213525,08/30/2001,08/30/2001,09/17/2001,,6301,,LONE OAK,,DR,BETHESDA,MD,20817,ONE STORY ROOM ADDITION REQUIRES A VARIANCE.,C-1.323(b)(2),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,,"6301 LONE OAK DR
BETHESDA, MD 20817
(39.020151, -77.126748)"
DEVELOPMENT STANDARDS VARIANCE,203658,03/14/2000,03/14/2000,,,6211,,WINNEBAGO,,DR,BETHESDA,MD,20816,ENCLOSING AN EXISTING ONE-STORY PORCH IN THE SIDE YARD.,C-1.323(B)(1),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-90,,,"6211 WINNEBAGO DR
BETHESDA, MD 20816
(38.959733, -77.126641)"
DEVELOPMENT STANDARDS VARIANCE,213444,08/24/2001,08/24/2001,,,2448,,PARALLEL,,LN,SILVER SPRING,MD,20904,IS A COVERED PORCH,C-1.323(b)(2),N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,R-200,,,"2448 PARALLEL LN
SILVER SPRING, MD 20904
(39.079189, -76.963715)"
