Reporting Area,MMWR Year,MMWR Week,"Brucellosis, Current week","Brucellosis, Current week, flag","Brucellosis, Previous 52 weeks Max†","Brucellosis, Previous 52 weeks Max†, flag","Brucellosis, Cum 2020†","Brucellosis, Cum 2020†, flag","Brucellosis, Cum 2019†","Brucellosis, Cum 2019, flag","Campylobacteriosis, Current week","Campylobacteriosis, Current week, flag","Campylobacteriosis, Previous 52 weeks Max†","Campylobacteriosis, Previous 52 weeks Max†, flag","Campylobacteriosis, Cum 2020†","Campylobacteriosis, Cum 2020†, flag","Campylobacteriosis, Cum 2019†","Campylobacteriosis, Cum 2019†, flag","Candida auris, clinical§, Current week","Candida auris, clinical§, Current week, flag","Candida auris, clinical§, Previous 52 weeks Max†","Candida auris, clinical§, Previous 52 weeks Max†, flag","Candida auris, clinical§, Cum 2020†","Candida auris, clinical§, Cum 2020†, flag","Candida auris, clinical§, Cum 2019†","Candida auris, clinical§, Cum 2019, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
SOUTH ATLANTIC,2020,2,,-,3,,,-,,-,26,,325,,50,,369,,,-,0,,,-,,-,,SOUTH ATLANTIC,20200228,
DELAWARE,2020,2,,-,2,,,-,,-,,-,11,,1,,11,,,-,0,,,-,,-,DELAWARE,,20200229,POINT (-75.452394 38.994926)
DISTRICT OF COLUMBIA,2020,2,,-,1,,,-,,-,,-,5,,,-,6,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200230,POINT (-77.016275 38.904785)
FLORIDA,2020,2,,-,3,,,-,,-,,-,123,,,-,126,,,-,0,,,-,,-,FLORIDA,,20200231,POINT (-82.420978 28.260731)
GEORGIA,2020,2,,-,0,,,-,,-,,-,42,,,-,57,,,-,0,,,-,,-,GEORGIA,,20200232,POINT (-83.426574 32.638481)
MARYLAND,2020,2,,-,1,,,-,,-,6,,38,,20,,34,,,-,0,,,-,,-,MARYLAND,,20200233,POINT (-76.687282 38.946466)
NORTH CAROLINA,2020,2,,-,0,,,-,,-,,-,66,,,-,78,,,-,0,,,-,,-,NORTH CAROLINA,,20200234,POINT (-79.130883 35.52603)
SOUTH CAROLINA,2020,2,,-,1,,,-,,-,11,,30,,15,,21,,,-,0,,,-,,-,SOUTH CAROLINA,,20200235,POINT (-80.864614 33.878572)
VIRGINIA,2020,2,,-,1,,,-,,-,9,,65,,14,,18,,,-,0,,,-,,-,VIRGINIA,,20200236,POINT (-78.666382 37.510861)
WEST VIRGINIA,2020,2,,-,0,,,-,,-,,-,16,,,-,18,,,-,0,,,-,,-,WEST VIRGINIA,,20200237,POINT (-80.613729 38.642579)
EAST SOUTH CENTRAL,2020,2,,-,1,,,-,,-,10,,98,,26,,89,,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20200238,
ALABAMA,2020,2,,-,1,,,-,,-,1,,28,,9,,37,,,-,0,,,-,,-,ALABAMA,,20200239,POINT (-86.844516 32.756889)
KENTUCKY,2020,2,,-,0,,,-,,-,,-,44,,,-,9,,,-,0,,,-,,-,KENTUCKY,,20200240,POINT (-85.290484 37.526683)
MISSISSIPPI,2020,2,,-,0,,,-,,-,5,,23,,10,,19,,,-,0,,,-,,-,MISSISSIPPI,,20200241,POINT (-89.65344 32.713378)
TENNESSEE,2020,2,,-,1,,,-,,-,4,,32,,7,,24,,,-,0,,,-,,-,TENNESSEE,,20200242,POINT (-86.343226 35.842998)
WEST SOUTH CENTRAL,2020,2,,-,4,,,-,,-,36,,295,,43,,82,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20200243,
ARKANSAS,2020,2,,-,1,,,-,,-,8,,28,,9,,5,,,-,0,,,-,,-,ARKANSAS,,20200244,POINT (-92.439162 34.899825)
LOUISIANA,2020,2,,-,1,,,-,,-,,-,32,,,-,31,,,-,0,,,-,,-,LOUISIANA,,20200245,POINT (-91.840238 30.921314)
OKLAHOMA,2020,2,,-,1,,,-,,-,15,,51,,15,,17,,,-,0,,,-,,-,OKLAHOMA,,20200246,POINT (-97.508297 35.583449)
TEXAS,2020,2,,-,3,,,-,,-,13,,199,,19,,29,,,-,0,,,-,,-,TEXAS,,20200247,POINT (-99.317341 31.447238)
ARIZONA,2020,2,,-,1,,,-,,-,7,,65,,10,,39,,,-,0,,,-,,-,ARIZONA,,20200249,POINT (-111.664616 34.293239)
COLORADO,2020,2,,-,1,,,-,,-,,-,45,,5,,30,,,-,0,,,-,,-,COLORADO,,20200250,POINT (-105.547832 38.998552)
IDAHO,2020,2,,-,1,,,-,,-,,-,24,,7,,8,,,-,0,,,-,,-,IDAHO,,20200251,POINT (-114.659366 44.389073)
MONTANA,2020,2,,-,0,,,-,,-,,-,19,,,-,3,,,-,0,,,-,,-,MONTANA,,20200252,POINT (-109.645127 47.033521)
NEVADA,2020,2,,-,1,,,-,,-,,-,9,,1,,3,,,-,0,,,-,,-,NEVADA,,20200253,POINT (-114.916992 39.283294)
NEW MEXICO,2020,2,,-,0,,,-,,-,2,,34,,6,,14,,,-,0,,,-,,-,NEW MEXICO,,20200254,POINT (-106.108388 34.421369)
UTAH,2020,2,,-,1,,,-,,-,,-,22,,4,,23,,,-,0,,,-,,-,UTAH,,20200255,POINT (-111.678222 39.323779)
WYOMING,2020,2,,-,0,,,-,,-,,-,11,,,-,2,,,-,0,,,-,,-,WYOMING,,20200256,POINT (-107.55145 42.999627)
PACIFIC,2020,2,,-,2,,,-,1,,147,,418,,269,,425,,,-,0,,,-,,-,,PACIFIC,20200257,
ALASKA,2020,2,,-,1,,,-,,-,,-,7,,,-,3,,,-,0,,,-,,-,ALASKA,,20200258,POINT (-151.631889 63.631126)
CALIFORNIA,2020,2,,-,2,,,-,1,,118,,309,,185,,297,,,-,0,,,-,,-,CALIFORNIA,,20200259,POINT (-119.662127 37.211164)
HAWAII,2020,2,,-,1,,,-,,-,1,,21,,10,,11,,,-,0,,,-,,-,HAWAII,,20200260,POINT (-157.854309 21.361013)
OREGON,2020,2,,-,0,,,-,,-,11,,38,,23,,41,,,-,0,,,-,,-,OREGON,,20200261,POINT (-120.605279 43.940449)
WASHINGTON,2020,2,,-,1,,,-,,-,17,,75,,51,,73,,,-,0,,,-,,-,WASHINGTON,,20200262,POINT (-120.592492 47.411715)
US TERRITORIES,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200263,
AMERICAN SAMOA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200264,
NORTHERN MARIANA ISLANDS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200265,POINT (145.725693 15.1834)
GUAM,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200266,POINT (144.653198 13.3532)
PUERTO RICO,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200267,POINT (-66.414655 18.215692)
U.S. VIRGIN ISLANDS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200268,POINT (-64.840836 18.060868)
NON-US RESIDENTS,2020,2,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200269,
TOTAL,2020,2,,-,7,,,-,1,,479,,2141,,874,,1903,,,-,0,,,-,,-,,TOTAL,20200270,
TOTAL,2020,3,,-,7,,,-,3,,431,,2036,,1389,,2783,,,-,6,,,-,2,,,TOTAL,20200370,
US RESIDENTS,2020,3,,-,7,,,-,3,,431,,2036,,1389,,2783,,,-,6,,,-,2,,,US RESIDENTS,20200301,
NEW HAMPSHIRE,2020,3,,-,0,,,-,,-,,-,15,,1,,8,,,-,0,,,-,,-,NEW HAMPSHIRE,,20200306,POINT (-71.57139 43.680429)
NEW YORK,2020,3,,-,1,,,-,,-,35,,90,,70,,52,,,-,0,,,-,,-,NEW YORK,,20200311,POINT (-75.59655 42.921241)
PACIFIC,2020,3,,-,2,,,-,1,,168,,418,,532,,707,,,-,0,,,-,,-,,PACIFIC,20200357,
WEST SOUTH CENTRAL,2020,3,,-,4,,,-,,-,51,,295,,94,,188,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20200343,
NEBRASKA,2020,3,,-,1,,,-,,-,9,,41,,28,,21,,,-,0,,,-,,-,NEBRASKA,,20200325,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,3,,-,1,,,-,1,,11,,99,,57,,134,,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20200338,
NORTH DAKOTA,2020,3,,-,0,,,-,,-,,-,15,,,-,13,,,-,0,,,-,,-,NORTH DAKOTA,,20200326,POINT (-100.46931 47.446305)
NEVADA,2020,3,,-,1,,,-,,-,,-,9,,1,,4,,,-,0,,,-,,-,NEVADA,,20200353,POINT (-114.916992 39.283294)
ILLINOIS,2020,3,,-,2,,,-,,-,,-,86,,17,,119,,,-,6,,,-,2,,ILLINOIS,,20200315,POINT (-89.148632 40.124144)
IOWA,2020,3,,-,1,,,-,,-,19,,57,,73,,77,,,-,0,,,-,,-,IOWA,,20200321,POINT (-93.500061 42.074659)
TEXAS,2020,3,,-,3,,,-,,-,13,,199,,32,,83,,,-,0,,,-,,-,TEXAS,,20200347,POINT (-99.317341 31.447238)
ALASKA,2020,3,,-,1,,,-,,-,,-,7,,,-,8,,,-,0,,,-,,-,ALASKA,,20200358,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,3,,-,1,,,-,,-,,-,5,,,-,7,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200330,POINT (-77.016275 38.904785)
WASHINGTON,2020,3,,-,1,,,-,,-,18,,75,,84,,113,,,-,0,,,-,,-,WASHINGTON,,20200362,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,3,,-,1,,,-,,-,16,,133,,73,,128,,,-,0,,,-,,-,,NEW ENGLAND,20200302,
RHODE ISLAND,2020,3,,-,0,,,-,,-,,-,19,,2,,6,,,-,0,,,-,,-,RHODE ISLAND,,20200307,POINT (-71.534637 41.572574)
OREGON,2020,3,,-,0,,,-,,-,13,,38,,42,,54,,,-,0,,,-,,-,OREGON,,20200361,POINT (-120.605279 43.940449)
DELAWARE,2020,3,,-,2,,,-,,-,1,,11,,5,,17,,,-,0,,,-,,-,DELAWARE,,20200329,POINT (-75.452394 38.994926)
ALABAMA,2020,3,,-,1,,,-,1,,5,,28,,21,,47,,,-,0,,,-,,-,ALABAMA,,20200339,POINT (-86.844516 32.756889)
KANSAS,2020,3,,-,0,,,-,,-,,-,23,,,-,31,,,-,0,,,-,,-,KANSAS,,20200322,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,3,,-,1,,,-,,-,,-,66,,1,,105,,,-,0,,,-,,-,NORTH CAROLINA,,20200334,POINT (-79.130883 35.52603)
GUAM,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200366,POINT (144.653198 13.3532)
NEW JERSEY,2020,3,,-,1,,,-,,-,,-,67,,,-,106,,,-,0,,,-,,-,NEW JERSEY,,20200310,POINT (-74.655514 40.110253)
NEW MEXICO,2020,3,,-,0,,,-,,-,,-,34,,11,,22,,,-,0,,,-,,-,NEW MEXICO,,20200354,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,3,,-,2,,,-,,-,50,,276,,164,,398,,,-,6,,,-,2,,,EAST NORTH CENTRAL,20200314,
TENNESSEE,2020,3,,-,1,,,-,,-,,-,32,,17,,38,,,-,0,,,-,,-,TENNESSEE,,20200342,POINT (-86.343226 35.842998)
CONNECTICUT,2020,3,,-,0,,,-,,-,,-,29,,,-,30,,,-,0,,,-,,-,CONNECTICUT,,20200303,POINT (-72.738288 41.575155)
MARYLAND,2020,3,,-,1,,,-,,-,15,,38,,39,,56,,,-,0,,,-,,-,MARYLAND,,20200333,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,3,,-,1,,,-,1,,8,,30,,26,,31,,,-,0,,,-,,-,SOUTH CAROLINA,,20200335,POINT (-80.864614 33.878572)
OKLAHOMA,2020,3,,-,1,,,-,,-,12,,51,,27,,34,,,-,0,,,-,,-,OKLAHOMA,,20200346,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200365,POINT (145.725693 15.1834)
OHIO,2020,3,,-,0,,,-,,-,43,,99,,98,,120,,,-,0,,,-,,-,OHIO,,20200318,POINT (-82.70936 40.415534)
MINNESOTA,2020,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200323,POINT (-94.198308 46.349153)
LOUISIANA,2020,3,,-,1,,,-,,-,13,,32,,13,,60,,,-,0,,,-,,-,LOUISIANA,,20200345,POINT (-91.840238 30.921314)
HAWAII,2020,3,,-,1,,,-,,-,,-,21,,10,,14,,,-,0,,,-,,-,HAWAII,,20200360,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,3,,-,3,,,-,1,,42,,289,,117,,511,,,-,0,,,-,,-,,SOUTH ATLANTIC,20200328,
PENNSYLVANIA,2020,3,,-,1,,,-,,-,24,,94,,95,,143,,,-,0,,,-,,-,PENNSYLVANIA,,20200313,POINT (-77.838886 40.896694)
UTAH,2020,3,,-,1,,,-,,-,,-,22,,12,,29,,,-,0,,,-,,-,UTAH,,20200355,POINT (-111.678222 39.323779)
COLORADO,2020,3,,-,1,,,-,,-,,-,45,,5,,47,,,-,0,,,-,,-,COLORADO,,20200350,POINT (-105.547832 38.998552)
VERMONT,2020,3,,-,0,,,-,,-,1,,8,,3,,11,,,-,0,,,-,,-,VERMONT,,20200308,POINT (-72.662695 44.075252)
KENTUCKY,2020,3,,-,0,,,-,,-,,-,44,,,-,21,,,-,0,,,-,,-,KENTUCKY,,20200340,POINT (-85.290484 37.526683)
PUERTO RICO,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200367,POINT (-66.414655 18.215692)
MAINE,2020,3,,-,0,,,-,,-,4,,8,,5,,6,,,-,0,,,-,,-,MAINE,,20200304,POINT (-69.06137 45.117911)
VIRGINIA,2020,3,,-,1,,,-,,-,16,,65,,43,,35,,,-,0,,,-,,-,VIRGINIA,,20200336,POINT (-78.666382 37.510861)
ARIZONA,2020,3,,-,1,,,-,,-,6,,65,,23,,64,,,-,0,,,-,,-,ARIZONA,,20200349,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200364,
WISCONSIN,2020,3,,-,1,,,-,,-,7,,54,,49,,80,,,-,0,,,-,,-,WISCONSIN,,20200319,POINT (-89.732969 44.639954)
IDAHO,2020,3,,-,1,,,-,,-,,-,24,,7,,12,,,-,0,,,-,,-,IDAHO,,20200351,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200368,POINT (-64.840836 18.060868)
MICHIGAN,2020,3,,-,1,,,-,,-,,-,59,,,-,78,,,-,0,,,-,,-,MICHIGAN,,20200317,POINT (-85.730977 44.874798)
GEORGIA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GEORGIA,,20200332,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20200312,
ARKANSAS,2020,3,,-,1,,,-,,-,13,,28,,22,,11,,,-,0,,,-,,-,ARKANSAS,,20200344,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,3,,-,0,,,-,,-,6,,23,,19,,28,,,-,0,,,-,,-,MISSISSIPPI,,20200341,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,3,,-,0,,,-,,-,,-,30,,2,,16,,,-,0,,,-,,-,SOUTH DAKOTA,,20200327,POINT (-100.230491 44.43614)
WYOMING,2020,3,,-,0,,,-,,-,,-,11,,,-,5,,,-,0,,,-,,-,WYOMING,,20200356,POINT (-107.55145 42.999627)
MISSOURI,2020,3,,-,1,,,-,,-,,-,49,,25,,69,,,-,0,,,-,,-,MISSOURI,,20200324,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,3,,-,1,,,-,,-,59,,241,,165,,301,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20200309,
CALIFORNIA,2020,3,,-,2,,,-,1,,137,,309,,396,,518,,,-,0,,,-,,-,CALIFORNIA,,20200359,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,3,,-,0,,,-,,-,2,,16,,3,,24,,,-,0,,,-,,-,WEST VIRGINIA,,20200337,POINT (-80.613729 38.642579)
FLORIDA,2020,3,,-,3,,,-,,-,,-,123,,,-,236,,,-,0,,,-,,-,FLORIDA,,20200331,POINT (-82.420978 28.260731)
MONTANA,2020,3,,-,0,,,-,,-,,-,19,,,-,6,,,-,0,,,-,,-,MONTANA,,20200352,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,3,,-,1,,,-,,-,28,,161,,128,,227,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20200320,
MASSACHUSETTS,2020,3,,-,1,,,-,,-,11,,66,,62,,67,,,-,0,,,-,,-,MASSACHUSETTS,,20200305,POINT (-71.481104 42.151077)
MOUNTAIN,2020,3,,-,2,,,-,,-,6,,178,,59,,189,,,-,0,,,-,,-,,MOUNTAIN,20200348,
INDIANA,2020,3,,-,0,,,-,,-,,-,0,,,-,1,,,-,0,,,-,,-,INDIANA,,20200316,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,3,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200369,
US TERRITORIES,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200363,
TOTAL,2020,16,,-,7,,7,,40,,178,,2213,,10140,,16887,,,-,10,,1,,46,,,TOTAL,20201670,
US RESIDENTS,2020,16,,-,7,,7,,40,,178,,2213,,10138,,16885,,,-,10,,1,,46,,,US RESIDENTS,20201601,
NEW HAMPSHIRE,2020,16,,-,0,,,-,,-,,-,15,,62,,75,,,-,0,,,-,,-,NEW HAMPSHIRE,,20201606,POINT (-71.57139 43.680429)
NEW YORK,2020,16,,-,1,,,-,,-,31,,94,,409,,489,,,-,0,,,-,,-,NEW YORK,,20201611,POINT (-75.59655 42.921241)
PACIFIC,2020,16,,-,2,,,-,11,,36,,420,,2371,,3309,,,-,0,,,-,,-,,PACIFIC,20201657,
WEST SOUTH CENTRAL,2020,16,,-,4,,1,,10,,28,,295,,916,,1673,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20201643,
NEBRASKA,2020,16,,-,1,,,-,1,,6,,41,,119,,159,,,-,0,,,-,,-,NEBRASKA,,20201625,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,16,,-,1,,,-,3,,7,,99,,390,,786,,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20201638,
NORTH DAKOTA,2020,16,,-,0,,,-,,-,,-,15,,24,,65,,,-,0,,,-,,-,NORTH DAKOTA,,20201626,POINT (-100.46931 47.446305)
NEVADA,2020,16,,-,1,,,-,1,,,-,9,,24,,57,,,-,0,,,-,,-,NEVADA,,20201653,POINT (-114.916992 39.283294)
ILLINOIS,2020,16,,-,2,,,-,,-,,-,86,,352,,645,,,-,10,,1,,46,,ILLINOIS,,20201615,POINT (-89.148632 40.124144)
IOWA,2020,16,,-,1,,,-,1,,9,,57,,267,,346,,,-,0,,,-,,-,IOWA,,20201621,POINT (-93.500061 42.074659)
TEXAS,2020,16,,-,4,,1,,8,,19,,204,,532,,1013,,,-,0,,,-,,-,TEXAS,,20201647,POINT (-99.317341 31.447238)
ALASKA,2020,16,,-,1,,,-,,-,,-,7,,,-,35,,,-,0,,,-,,-,ALASKA,,20201658,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,16,,-,1,,,-,,-,,-,7,,8,,35,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20201630,POINT (-77.016275 38.904785)
WASHINGTON,2020,16,,-,1,,,-,1,,7,,75,,394,,498,,,-,0,,,-,,-,WASHINGTON,,20201662,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,16,,-,1,,,-,,-,3,,133,,516,,764,,,-,0,,,-,,-,,NEW ENGLAND,20201602,
RHODE ISLAND,2020,16,,-,0,,,-,,-,,-,19,,29,,74,,,-,0,,,-,,-,RHODE ISLAND,,20201607,POINT (-71.534637 41.572574)
OREGON,2020,16,,-,0,,,-,,-,5,,39,,202,,254,,,-,0,,,-,,-,OREGON,,20201661,POINT (-120.605279 43.940449)
DELAWARE,2020,16,,-,2,,,-,,-,,-,11,,35,,60,,,-,0,,,-,,-,DELAWARE,,20201629,POINT (-75.452394 38.994926)
ALABAMA,2020,16,,-,1,,,-,3,,4,,24,,139,,203,,,-,0,,,-,,-,ALABAMA,,20201639,POINT (-86.844516 32.756889)
KANSAS,2020,16,,-,0,,,-,,-,,-,30,,53,,190,,,-,0,,,-,,-,KANSAS,,20201622,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,16,,-,1,,,-,,-,,-,66,,223,,500,,,-,0,,,-,,-,NORTH CAROLINA,,20201634,POINT (-79.130883 35.52603)
GUAM,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201666,POINT (144.653198 13.3532)
NEW JERSEY,2020,16,,-,1,,,-,,-,,-,68,,9,,517,,,-,0,,,-,,-,NEW JERSEY,,20201610,POINT (-74.655514 40.110253)
NEW MEXICO,2020,16,,-,1,,,-,,-,2,,34,,74,,128,,,-,0,,,-,,-,NEW MEXICO,,20201654,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,16,,-,2,,1,,,-,27,,273,,1233,,1943,,,-,10,,1,,46,,,EAST NORTH CENTRAL,20201614,
TENNESSEE,2020,16,,-,1,,,-,,-,3,,32,,164,,242,,,-,0,,,-,,-,TENNESSEE,,20201642,POINT (-86.343226 35.842998)
CONNECTICUT,2020,16,,-,0,,,-,,-,,-,29,,93,,156,,,-,0,,,-,,-,CONNECTICUT,,20201603,POINT (-72.738288 41.575155)
MARYLAND,2020,16,,-,2,,2,,,-,,-,38,,157,,239,,,-,0,,,-,,-,MARYLAND,,20201633,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,16,,-,1,,,-,1,,,-,30,,119,,141,,,-,0,,,-,,-,SOUTH CAROLINA,,20201635,POINT (-80.864614 33.878572)
OKLAHOMA,2020,16,,-,1,,,-,1,,,-,51,,197,,247,,,-,0,,,-,,-,OKLAHOMA,,20201646,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201665,POINT (145.725693 15.1834)
OHIO,2020,16,,-,1,,1,,,-,20,,99,,420,,529,,,-,0,,,-,,-,OHIO,,20201618,POINT (-82.70936 40.415534)
MINNESOTA,2020,16,,-,1,,,-,1,,,-,54,,,-,353,,,-,0,,,-,,-,MINNESOTA,,20201623,POINT (-94.198308 46.349153)
LOUISIANA,2020,16,,-,1,,,-,1,,5,,30,,56,,272,,,-,0,,,-,,-,LOUISIANA,,20201645,POINT (-91.840238 30.921314)
HAWAII,2020,16,,-,1,,,-,,-,3,,21,,68,,76,,,-,0,,,-,,-,HAWAII,,20201660,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,16,,-,3,,4,,5,,10,,326,,1896,,3151,,,-,0,,,-,,-,,SOUTH ATLANTIC,20201628,
PENNSYLVANIA,2020,16,,-,1,,,-,1,,8,,96,,466,,634,,,-,0,,,-,,-,PENNSYLVANIA,,20201613,POINT (-77.838886 40.896694)
UTAH,2020,16,,-,0,,,-,1,,2,,22,,84,,142,,,-,0,,,-,,-,UTAH,,20201655,POINT (-111.678222 39.323779)
COLORADO,2020,16,,-,0,,,-,2,,5,,45,,188,,269,,,-,0,,,-,,-,COLORADO,,20201650,POINT (-105.547832 38.998552)
VERMONT,2020,16,,-,0,,,-,,-,1,,9,,29,,42,,,-,0,,,-,,-,VERMONT,,20201608,POINT (-72.662695 44.075252)
KENTUCKY,2020,16,,-,0,,,-,,-,,-,44,,19,,187,,,-,0,,,-,,-,KENTUCKY,,20201640,POINT (-85.290484 37.526683)
PUERTO RICO,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20201667,POINT (-66.414655 18.215692)
MAINE,2020,16,,-,0,,,-,,-,,-,8,,23,,32,,,-,0,,,-,,-,MAINE,,20201604,POINT (-69.06137 45.117911)
VIRGINIA,2020,16,,-,1,,,-,1,,10,,97,,322,,346,,,-,0,,,-,,-,VIRGINIA,,20201636,POINT (-78.666382 37.510861)
ARIZONA,2020,16,,-,1,,1,,1,,4,,65,,237,,331,,,-,0,,,-,,-,ARIZONA,,20201649,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20201664,
WISCONSIN,2020,16,,-,1,,,-,,-,7,,57,,269,,387,,,-,0,,,-,,-,WISCONSIN,,20201619,POINT (-89.732969 44.639954)
IDAHO,2020,16,,-,1,,,-,1,,,-,24,,26,,118,,,-,0,,,-,,-,IDAHO,,20201651,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201668,POINT (-64.840836 18.060868)
MICHIGAN,2020,16,,-,1,,,-,,-,,-,59,,192,,381,,,-,0,,,-,,-,MICHIGAN,,20201617,POINT (-85.730977 44.874798)
GEORGIA,2020,16,,-,1,,,-,,-,,-,43,,238,,360,,,-,0,,,-,,-,GEORGIA,,20201632,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,16,,-,1,,,-,1,,,-,76,,640,,866,,,-,0,,,-,,-,,NEW YORK CITY,20201612,
ARKANSAS,2020,16,,-,1,,,-,,-,4,,28,,131,,141,,,-,0,,,-,,-,ARKANSAS,,20201644,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,16,,-,0,,,-,,-,,-,23,,68,,154,,,-,0,,,-,,-,MISSISSIPPI,,20201641,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,16,,-,0,,,-,,-,,-,30,,34,,133,,,-,0,,,-,,-,SOUTH DAKOTA,,20201627,POINT (-100.230491 44.43614)
WYOMING,2020,16,,-,0,,,-,,-,,-,11,,12,,59,,,-,0,,,-,,-,WYOMING,,20201656,POINT (-107.55145 42.999627)
MISSOURI,2020,16,,-,1,,,-,,-,,-,49,,122,,320,,,-,0,,,-,,-,MISSOURI,,20201624,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,16,,-,2,,,-,2,,39,,316,,1524,,2506,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20201609,
CALIFORNIA,2020,16,,-,2,,,-,10,,21,,316,,1707,,2446,,,-,0,,,-,,-,CALIFORNIA,,20201659,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,16,,-,0,,,-,,-,,-,16,,5,,108,,,-,0,,,-,,-,WEST VIRGINIA,,20201637,POINT (-80.613729 38.642579)
FLORIDA,2020,16,,-,2,,2,,3,,,-,123,,789,,1362,,,-,0,,,-,,-,FLORIDA,,20201631,POINT (-82.420978 28.260731)
