REPORT_DATE,AGE_GROUP,ENGAGEMENT_CATEGORY,CITYWIDE_COUNT
08/03/2018,18-20 Years,UNDERCARE AWAITING SCHEDULING,18
08/03/2018,18-20 Years,UNENGAGED,27
08/03/2018,18-20 Years,WECARE ASSESSMENT SCHEDULED/P,81
08/03/2018,18-20 Years,WECARE VOCATIONAL REHABILITAT,5
08/03/2018,18-20 Years,WECARE/COMMUNITY SERVICE,2
08/03/2018,18-20 Years,WECARE/CONCURRENT ACTIVITY,5
08/03/2018,18-20 Years,WELLNESS/REHAB PROGRAM,35
08/03/2018,21-24 Years,ACTIVE SINGLE ISSUE CASES,311
08/03/2018,21-24 Years,ASSIGNED JOB SEARCH,758
08/03/2018,21-24 Years,AWAITING CONCILIATION SCHED.,16
08/03/2018,21-24 Years,CALL-IN APPOINTMENT SCHEDULED,1811
08/03/2018,21-24 Years,CHILD UNDER 3 MONTHS,59
08/03/2018,21-24 Years,CONCILIATION/CONFERENCE,818
08/03/2018,21-24 Years,DASIS CASES,504
08/03/2018,21-24 Years,EDUCATION/TRAINING,306
08/03/2018,21-24 Years,ELIGIBILITY CALL-IN APPT SCHD,27
08/03/2018,21-24 Years,EMPLOYMENT- GRANT DIVERSION,249
08/03/2018,21-24 Years,EMPLOYMENT-BUDGETED,842
08/03/2018,21-24 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,145
08/03/2018,21-24 Years,FAIR HEARING (CONTESTING),17
08/03/2018,21-24 Years,FAIR HEARING (NOT CONTESTING),18
08/03/2018,21-24 Years,FTR/FTC,6
08/03/2018,21-24 Years,IN ENGAGEMENT REVIEW PROCESS,16
08/03/2018,21-24 Years,NEEDED AT HOME,112
08/03/2018,21-24 Years,NOI ISSUED,30
08/03/2018,21-24 Years,OTHER WORK ACTIVITY,95
08/03/2018,21-24 Years,PENDING CASAC SCHEDULING/OUT,6
08/03/2018,21-24 Years,PENDING SUITABLE WEP ASSIGN.,4
08/03/2018,21-24 Years,PENDING WECARE SCHEDULING/OUT,301
08/03/2018,21-24 Years,RECEIVING SSI,29
08/03/2018,21-24 Years,SANCTION IN EFFECT,7
08/03/2018,21-24 Years,SSI PENDING/APPEALING,75
08/03/2018,21-24 Years,STUDENT OVER AGE 15,1
08/03/2018,21-24 Years,SUBSTANCE ABUSE & JOB SEARCH,55
08/03/2018,21-24 Years,SUBSTANCE ABUSE RESIDENTIAL,124
08/03/2018,21-24 Years,SUBSTANCE ABUSE TREATMENT,47
10/04/2019,16-17 Years,DASIS CASES,2
08/03/2018,21-24 Years,TEMP. INCAPACITATED - HEALTH,98
08/03/2018,21-24 Years,TEMPORARILY EXEMPT,165
08/03/2018,21-24 Years,UNDERCARE AWAITING SCHEDULING,59
08/03/2018,21-24 Years,UNENGAGED,55
08/03/2018,21-24 Years,WECARE ASSESSMENT SCHEDULED/P,545
08/03/2018,21-24 Years,WECARE VOCATIONAL REHABILITAT,69
08/03/2018,21-24 Years,WECARE/COMMUNITY SERVICE,24
08/03/2018,21-24 Years,WECARE/CONCURRENT ACTIVITY,41
08/03/2018,21-24 Years,WELLNESS/REHAB PROGRAM,218
09/05/2018,18-20 Years,UNDERCARE AWAITING SCHEDULING,10
09/05/2018,18-20 Years,NOI ISSUED,11
10/04/2018,21-24 Years,WELLNESS/REHAB PROGRAM,208
09/05/2018,18-20 Years,CHILD UNDER 3 MONTHS,18
10/04/2018,16-17 Years,SUBSTANCE ABUSE RESIDENTIAL,3
09/05/2018,21-24 Years,UNENGAGED,36
10/04/2018,21-24 Years,WECARE & SUBSTANCE ABUSE,1
10/04/2018,21-24 Years,SUBSTANCE ABUSE & JOB SEARCH,51
10/04/2018,18-20 Years,FAIR HEARING (NOT CONTESTING),1
09/05/2018,18-20 Years,FAIR HEARING (CONTESTING),3
09/05/2018,21-24 Years,CALL-IN APPOINTMENT SCHEDULED,2007
10/04/2018,21-24 Years,TEMPORARILY EXEMPT,166
09/05/2018,18-20 Years,DASIS CASES,65
10/04/2018,18-20 Years,CHILD UNDER 3 MONTHS,18
10/04/2018,18-20 Years,NEEDED AT HOME,21
09/05/2018,21-24 Years,PENDING CASAC SCHEDULING/OUT,9
09/05/2018,21-24 Years,FTR/FTC,1
09/05/2018,21-24 Years,IN ENGAGEMENT REVIEW PROCESS,15
10/04/2018,21-24 Years,UNENGAGED,30
10/04/2018,16-17 Years,ASSIGNED JOB SEARCH,2
09/05/2018,18-20 Years,SUBSTANCE ABUSE RESIDENTIAL,38
10/04/2018,18-20 Years,RECEIVING SSI,10
10/04/2018,21-24 Years,PENDING SUITABLE WEP ASSIGN.,3
10/04/2018,21-24 Years,RECEIVING SSI,23
09/05/2018,21-24 Years,NOI ISSUED,38
09/05/2018,18-20 Years,WECARE VOCATIONAL REHABILITAT,11
09/05/2018,18-20 Years,SANCTION IN EFFECT,1
10/04/2018,21-24 Years,IN ENGAGEMENT REVIEW PROCESS,30
10/04/2018,18-20 Years,WECARE ASSESSMENT SCHEDULED/P,81
09/05/2018,21-24 Years,ASSIGNED JOB SEARCH,786
09/05/2018,18-20 Years,SSI PENDING/APPEALING,4
10/04/2018,16-17 Years,STUDENT OVER AGE 15,47
09/05/2018,21-24 Years,WECARE ASSESSMENT SCHEDULED/P,513
10/04/2018,21-24 Years,SSI PENDING/APPEALING,60
09/05/2018,18-20 Years,ASSIGNED JOB SEARCH,168
09/05/2018,16-17 Years,SUBSTANCE ABUSE RESIDENTIAL,4
10/04/2018,18-20 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,52
09/05/2018,18-20 Years,CALL-IN APPOINTMENT SCHEDULED,821
10/04/2018,21-24 Years,FAIR HEARING (NOT CONTESTING),6
10/04/2018,21-24 Years,CHILD UNDER 3 MONTHS,91
10/04/2018,18-20 Years,WECARE/CONCURRENT ACTIVITY,4
09/05/2018,21-24 Years,NEEDED AT HOME,104
10/04/2018,18-20 Years,EDUCATION/TRAINING,316
10/04/2018,21-24 Years,ASSIGNED JOB SEARCH,765
09/05/2018,18-20 Years,UNENGAGED,14
10/04/2018,18-20 Years,STUDENT OVER AGE 15,206
10/04/2018,21-24 Years,EMPLOYMENT-BUDGETED,844
10/04/2018,21-24 Years,WECARE VOCATIONAL REHABILITAT,79
10/04/2018,18-20 Years,WECARE VOCATIONAL REHABILITAT,9
09/05/2018,18-20 Years,WECARE/COMMUNITY SERVICE,2
10/04/2018,18-20 Years,WELLNESS/REHAB PROGRAM,26
10/04/2018,21-24 Years,OTHER WORK ACTIVITY,101
09/05/2018,21-24 Years,CHILD UNDER 3 MONTHS,55
09/05/2018,21-24 Years,EDUCATION/TRAINING,292
09/05/2018,18-20 Years,RECEIVING SSI,9
10/04/2018,21-24 Years,SUBSTANCE ABUSE RESIDENTIAL,113
09/05/2018,18-20 Years,TEMPORARILY EXEMPT,27
09/05/2018,21-24 Years,PENDING SUITABLE WEP ASSIGN.,4
10/04/2018,18-20 Years,CONCILIATION/CONFERENCE,300
09/05/2018,18-20 Years,WECARE ASSESSMENT SCHEDULED/P,68
10/04/2018,16-17 Years,CONCILIATION/CONFERENCE,1
10/04/2018,18-20 Years,IN ENGAGEMENT REVIEW PROCESS,10
09/05/2018,21-24 Years,DASIS CASES,510
09/05/2018,18-20 Years,IN ENGAGEMENT REVIEW PROCESS,4
10/04/2018,21-24 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,168
09/05/2018,18-20 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,60
10/04/2018,21-24 Years,FAIR HEARING (CONTESTING),13
09/05/2018,21-24 Years,SSI PENDING/APPEALING,68
10/04/2018,18-20 Years,TEMP. INCAPACITATED - HEALTH,18
09/05/2018,21-24 Years,ELIGIBILITY CALL-IN APPT SCHD,38
10/04/2018,18-20 Years,CALL-IN APPOINTMENT SCHEDULED,693
10/04/2018,18-20 Years,PENDING WECARE SCHEDULING/OUT,35
09/05/2018,21-24 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,157
10/04/2018,18-20 Years,EMPLOYMENT- GRANT DIVERSION,50
09/05/2018,18-20 Years,EMPLOYMENT- GRANT DIVERSION,53
09/05/2018,18-20 Years,STUDENT OVER AGE 15,208
10/04/2018,21-24 Years,UNDERCARE AWAITING SCHEDULING,11
09/05/2018,16-17 Years,ACTIVE SINGLE ISSUE CASES,1
10/04/2018,21-24 Years,WECARE/CONCURRENT ACTIVITY,32
10/04/2018,21-24 Years,TEMP. INCAPACITATED - HEALTH,103
10/04/2018,16-17 Years,EMPLOYMENT-BUDGETED,19
10/04/2018,21-24 Years,ACTIVE SINGLE ISSUE CASES,336
10/04/2018,18-20 Years,OTHER WORK ACTIVITY,47
10/04/2018,21-24 Years,EMPLOYMENT- GRANT DIVERSION,210
10/04/2018,21-24 Years,AWAITING CONCILIATION SCHED.,50
10/04/2018,18-20 Years,SANCTION IN EFFECT,1
10/04/2018,21-24 Years,PENDING WECARE SCHEDULING/OUT,336
10/04/2018,21-24 Years,CALL-IN APPOINTMENT SCHEDULED,1806
10/04/2018,18-20 Years,ELIGIBILITY CALL-IN APPT SCHD,16
10/04/2018,18-20 Years,SUBSTANCE ABUSE TREATMENT,3
09/05/2018,21-24 Years,AGE 60 OR OVER,1
09/05/2018,21-24 Years,SUBSTANCE ABUSE TREATMENT,56
10/04/2018,21-24 Years,ELIGIBILITY CALL-IN APPT SCHD,28
10/04/2018,21-24 Years,EDUCATION/TRAINING,408
09/05/2018,21-24 Years,SUBSTANCE ABUSE RESIDENTIAL,123
10/04/2018,18-20 Years,NOI ISSUED,7
10/04/2018,18-20 Years,ACTIVE SINGLE ISSUE CASES,67
09/05/2018,21-24 Years,RECEIVING SSI,31
09/05/2018,16-17 Years,ASSIGNED JOB SEARCH,1
09/05/2018,21-24 Years,SANCTION IN EFFECT,8
10/04/2018,18-20 Years,ASSIGNED JOB SEARCH,146
09/05/2018,18-20 Years,SUBSTANCE ABUSE TREATMENT,5
09/05/2018,21-24 Years,TEMPORARILY EXEMPT,163
09/05/2018,18-20 Years,AWAITING CONCILIATION SCHED.,10
10/04/2018,18-20 Years,PENDING SUITABLE WEP ASSIGN.,1
10/04/2018,18-20 Years,UNENGAGED,15
09/05/2018,21-24 Years,AWAITING CONCILIATION SCHED.,30
09/05/2018,21-24 Years,CONCILIATION/CONFERENCE,627
10/04/2018,21-24 Years,PENDING CASAC SCHEDULING/OUT,8
09/05/2018,21-24 Years,OTHER WORK ACTIVITY,106
09/05/2018,21-24 Years,EMPLOYMENT-BUDGETED,864
10/04/2018,21-24 Years,SUBSTANCE ABUSE TREATMENT,50
10/04/2018,21-24 Years,NEEDED AT HOME,109
09/05/2018,18-20 Years,EDUCATION/TRAINING,245
10/04/2018,18-20 Years,FAIR HEARING (CONTESTING),4
10/04/2018,18-20 Years,WECARE/COMMUNITY SERVICE,3
09/05/2018,18-20 Years,SUBSTANCE ABUSE & JOB SEARCH,11
09/05/2018,18-20 Years,PENDING CASAC SCHEDULING/OUT,2
09/05/2018,18-20 Years,TEMP. INCAPACITATED - HEALTH,23
10/04/2018,16-17 Years,ACTIVE SINGLE ISSUE CASES,1
10/04/2018,21-24 Years,DASIS CASES,504
09/05/2018,18-20 Years,PENDING WECARE SCHEDULING/OUT,43
10/04/2018,18-20 Years,SUBSTANCE ABUSE & JOB SEARCH,11
09/05/2018,21-24 Years,SUBSTANCE ABUSE & JOB SEARCH,54
09/05/2018,18-20 Years,WELLNESS/REHAB PROGRAM,28
10/04/2018,18-20 Years,DASIS CASES,68
09/05/2018,18-20 Years,CONCILIATION/CONFERENCE,263
09/05/2018,21-24 Years,SUBSTANCE ABUSE CONCURRENT,1
09/05/2018,21-24 Years,WELLNESS/REHAB PROGRAM,207
10/04/2018,18-20 Years,UNDERCARE AWAITING SCHEDULING,5
09/05/2018,16-17 Years,STUDENT OVER AGE 15,48
09/05/2018,21-24 Years,WAGE SUBSIDY,1
09/05/2018,21-24 Years,TEMP. INCAPACITATED - HEALTH,110
10/04/2018,21-24 Years,CONCILIATION/CONFERENCE,714
09/05/2018,21-24 Years,PENDING WECARE SCHEDULING/OUT,327
09/05/2018,18-20 Years,OTHER WORK ACTIVITY,44
09/05/2018,18-20 Years,ACTIVE SINGLE ISSUE CASES,93
09/05/2018,21-24 Years,FAIR HEARING (CONTESTING),13
09/05/2018,18-20 Years,WECARE/CONCURRENT ACTIVITY,2
10/04/2018,21-24 Years,STUDENT OVER AGE 15,1
10/04/2018,21-24 Years,WECARE ASSESSMENT SCHEDULED/P,483
10/04/2018,21-24 Years,WECARE/COMMUNITY SERVICE,18
09/05/2018,21-24 Years,UNDERCARE AWAITING SCHEDULING,16
10/04/2018,18-20 Years,AWAITING CONCILIATION SCHED.,15
09/05/2018,21-24 Years,WECARE VOCATIONAL REHABILITAT,70
10/04/2018,18-20 Years,TEMPORARILY EXEMPT,24
09/05/2018,21-24 Years,EMPLOYMENT- GRANT DIVERSION,258
09/05/2018,16-17 Years,EMPLOYMENT-BUDGETED,20
09/05/2018,21-24 Years,FAIR HEARING (NOT CONTESTING),9
10/04/2018,21-24 Years,AGE 60 OR OVER,1
10/04/2018,18-20 Years,SSI PENDING/APPEALING,4
09/05/2018,21-24 Years,WECARE/COMMUNITY SERVICE,22
10/04/2018,21-24 Years,NOI ISSUED,26
10/04/2018,21-24 Years,SANCTION IN EFFECT,9
09/05/2018,21-24 Years,WECARE/CONCURRENT ACTIVITY,44
10/04/2018,21-24 Years,FTR/FTC,9
09/05/2018,18-20 Years,ELIGIBILITY CALL-IN APPT SCHD,25
09/05/2018,21-24 Years,ACTIVE SINGLE ISSUE CASES,333
10/04/2018,18-20 Years,EMPLOYMENT-BUDGETED,135
09/05/2018,21-24 Years,WECARE & SUBSTANCE ABUSE,1
09/05/2018,18-20 Years,NEEDED AT HOME,24
09/05/2018,18-20 Years,EMPLOYMENT-BUDGETED,142
10/04/2018,18-20 Years,SUBSTANCE ABUSE RESIDENTIAL,36
12/04/2018,18-20 Years,WELLNESS/REHAB PROGRAM,24
11/07/2018,21-24 Years,NOI ISSUED,32
11/07/2018,18-20 Years,IN ENGAGEMENT REVIEW PROCESS,4
11/07/2018,18-20 Years,UNDERCARE AWAITING SCHEDULING,1
11/07/2018,21-24 Years,WECARE/CONCURRENT ACTIVITY,35
12/04/2018,18-20 Years,TEMPORARILY EXEMPT,27
12/04/2018,18-20 Years,UNENGAGED,5
12/04/2018,21-24 Years,WECARE/CONCURRENT ACTIVITY,33
12/04/2018,21-24 Years,NOI ISSUED,35
12/04/2018,18-20 Years,PENDING SUITABLE WEP ASSIGN.,1
11/07/2018,18-20 Years,UNENGAGED,9
12/04/2018,18-20 Years,TEMP. INCAPACITATED - HEALTH,22
12/04/2018,21-24 Years,AGE 60 OR OVER,1
12/04/2018,18-20 Years,STUDENT OVER AGE 15,30
11/07/2018,18-20 Years,WECARE ASSESSMENT SCHEDULED/P,63
11/07/2018,18-20 Years,STUDENT OVER AGE 15,222
12/04/2018,21-24 Years,TEMP. INCAPACITATED - HEALTH,110
11/07/2018,21-24 Years,SUBSTANCE ABUSE TREATMENT,64
12/04/2018,16-17 Years,IN ENGAGEMENT REVIEW PROCESS,1
12/04/2018,21-24 Years,SUBSTANCE ABUSE & JOB SEARCH,102
12/04/2018,16-17 Years,CONCILIATION/CONFERENCE,1
11/07/2018,18-20 Years,ELIGIBILITY CALL-IN APPT SCHD,17
11/07/2018,21-24 Years,OTHER WORK ACTIVITY,119
11/07/2018,16-17 Years,SUBSTANCE ABUSE RESIDENTIAL,3
11/07/2018,21-24 Years,WELLNESS/REHAB PROGRAM,209
11/07/2018,21-24 Years,STUDENT OVER AGE 15,1
12/04/2018,16-17 Years,SUBSTANCE ABUSE RESIDENTIAL,1
12/04/2018,21-24 Years,WECARE VOCATIONAL REHABILITAT,58
12/04/2018,21-24 Years,IN ENGAGEMENT REVIEW PROCESS,20
11/07/2018,21-24 Years,UNDERCARE AWAITING SCHEDULING,11
12/04/2018,21-24 Years,WECARE ASSESSMENT SCHEDULED/P,441
11/07/2018,16-17 Years,EMPLOYMENT-BUDGETED,18
12/04/2018,21-24 Years,PENDING WECARE SCHEDULING/OUT,453
11/07/2018,21-24 Years,UNENGAGED,15
12/04/2018,21-24 Years,EMPLOYMENT- GRANT DIVERSION,176
11/07/2018,21-24 Years,EDUCATION/TRAINING,532
12/04/2018,21-24 Years,WELLNESS/REHAB PROGRAM,194
11/07/2018,18-20 Years,SUBSTANCE ABUSE TREATMENT,2
12/04/2018,18-20 Years,ASSIGNED JOB SEARCH,129
12/04/2018,18-20 Years,CHILD UNDER 3 MONTHS,11
12/04/2018,21-24 Years,NEEDED AT HOME,115
11/07/2018,21-24 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,180
12/04/2018,18-20 Years,FAIR HEARING (CONTESTING),6
11/07/2018,21-24 Years,WECARE ASSESSMENT SCHEDULED/P,493
12/04/2018,18-20 Years,OTHER WORK ACTIVITY,58
11/07/2018,21-24 Years,PENDING WECARE SCHEDULING/OUT,351
11/07/2018,18-20 Years,TEMPORARILY EXEMPT,27
12/04/2018,16-17 Years,ACTIVE SINGLE ISSUE CASES,1
12/04/2018,18-20 Years,WECARE/COMMUNITY SERVICE,3
12/04/2018,21-24 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,155
11/07/2018,21-24 Years,NEEDED AT HOME,112
11/07/2018,18-20 Years,WELLNESS/REHAB PROGRAM,25
11/07/2018,18-20 Years,FAIR HEARING (NOT CONTESTING),2
11/07/2018,21-24 Years,CONCILIATION/CONFERENCE,775
11/07/2018,21-24 Years,SUBSTANCE ABUSE RESIDENTIAL,103
12/04/2018,18-20 Years,UNDERCARE AWAITING SCHEDULING,51
11/07/2018,18-20 Years,SUBSTANCE ABUSE & JOB SEARCH,26
11/07/2018,18-20 Years,EMPLOYMENT-BUDGETED,138
11/07/2018,18-20 Years,WECARE/COMMUNITY SERVICE,7
11/07/2018,18-20 Years,NOI ISSUED,12
12/04/2018,18-20 Years,IN ENGAGEMENT REVIEW PROCESS,5
12/04/2018,18-20 Years,FAIR HEARING (NOT CONTESTING),2
12/04/2018,21-24 Years,CALL-IN APPOINTMENT SCHEDULED,1659
12/04/2018,16-17 Years,STUDENT OVER AGE 15,50
12/04/2018,16-17 Years,EMPLOYMENT-BUDGETED,17
11/07/2018,18-20 Years,WECARE/CONCURRENT ACTIVITY,2
12/04/2018,21-24 Years,STUDENT OVER AGE 15,1
11/07/2018,18-20 Years,RECEIVING SSI,8
12/04/2018,18-20 Years,ELIGIBILITY CALL-IN APPT SCHD,14
12/04/2018,18-20 Years,SANCTION IN EFFECT,1
11/07/2018,21-24 Years,SUBSTANCE ABUSE & JOB SEARCH,70
11/07/2018,21-24 Years,WECARE/COMMUNITY SERVICE,23
11/07/2018,16-17 Years,ELIGIBILITY CALL-IN APPT SCHD,1
11/07/2018,18-20 Years,SUBSTANCE ABUSE RESIDENTIAL,29
12/04/2018,21-24 Years,PENDING SUITABLE WEP ASSIGN.,2
12/04/2018,21-24 Years,CONCILIATION/CONFERENCE,794
12/04/2018,18-20 Years,WECARE VOCATIONAL REHABILITAT,8
11/07/2018,21-24 Years,ACTIVE SINGLE ISSUE CASES,354
11/07/2018,18-20 Years,SSI PENDING/APPEALING,5
11/07/2018,21-24 Years,CALL-IN APPOINTMENT SCHEDULED,1683
11/07/2018,18-20 Years,PENDING WECARE SCHEDULING/OUT,38
11/07/2018,18-20 Years,CHILD UNDER 3 MONTHS,16
12/04/2018,18-20 Years,WECARE ASSESSMENT SCHEDULED/P,51
11/07/2018,21-24 Years,TEMPORARILY EXEMPT,161
11/07/2018,21-24 Years,EMPLOYMENT-BUDGETED,838
11/07/2018,18-20 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,55
11/07/2018,21-24 Years,ELIGIBILITY CALL-IN APPT SCHD,40
11/07/2018,21-24 Years,CHILD UNDER 3 MONTHS,58
12/04/2018,21-24 Years,ACTIVE SINGLE ISSUE CASES,342
12/04/2018,21-24 Years,SANCTION IN EFFECT,16
11/07/2018,21-24 Years,IN ENGAGEMENT REVIEW PROCESS,24
12/04/2018,21-24 Years,UNDERCARE AWAITING SCHEDULING,30
12/04/2018,18-20 Years,NEEDED AT HOME,25
12/04/2018,18-20 Years,PENDING WECARE SCHEDULING/OUT,47
12/04/2018,18-20 Years,NOI ISSUED,15
12/04/2018,21-24 Years,DASIS CASES,523
11/07/2018,18-20 Years,SANCTION IN EFFECT,1
12/04/2018,18-20 Years,FTR/FTC,1
11/07/2018,21-24 Years,TEMP. INCAPACITATED - HEALTH,99
11/07/2018,18-20 Years,CONCILIATION/CONFERENCE,283
11/07/2018,21-24 Years,PENDING CASAC SCHEDULING/OUT,6
12/04/2018,21-24 Years,PENDING CASAC SCHEDULING/OUT,6
12/04/2018,18-20 Years,ACTIVE SINGLE ISSUE CASES,75
12/04/2018,18-20 Years,RECEIVING SSI,5
11/07/2018,18-20 Years,DASIS CASES,63
11/07/2018,18-20 Years,EDUCATION/TRAINING,426
11/07/2018,16-17 Years,STUDENT OVER AGE 15,51
12/04/2018,21-24 Years,AWAITING CONCILIATION SCHED.,87
11/07/2018,21-24 Years,FAIR HEARING (NOT CONTESTING),10
12/04/2018,18-20 Years,AWAITING CONCILIATION SCHED.,25
12/04/2018,21-24 Years,EDUCATION/TRAINING,585
12/04/2018,18-20 Years,EMPLOYMENT- GRANT DIVERSION,36
11/07/2018,18-20 Years,NEEDED AT HOME,24
11/07/2018,21-24 Years,ASSIGNED JOB SEARCH,813
11/07/2018,18-20 Years,CALL-IN APPOINTMENT SCHEDULED,626
12/04/2018,21-24 Years,SUBSTANCE ABUSE TREATMENT,61
12/04/2018,21-24 Years,EMPLOYMENT-BUDGETED,885
12/04/2018,21-24 Years,SUBSTANCE ABUSE RESIDENTIAL,102
12/04/2018,21-24 Years,SSI PENDING/APPEALING,55
11/07/2018,21-24 Years,DASIS CASES,517
11/07/2018,18-20 Years,WECARE VOCATIONAL REHABILITAT,9
12/04/2018,21-24 Years,FAIR HEARING (CONTESTING),13
11/07/2018,18-20 Years,FAIR HEARING (CONTESTING),6
11/07/2018,18-20 Years,AWAITING CONCILIATION SCHED.,22
11/07/2018,21-24 Years,AGE 60 OR OVER,1
12/04/2018,21-24 Years,OTHER WORK ACTIVITY,120
11/07/2018,21-24 Years,EMPLOYMENT- GRANT DIVERSION,171
12/04/2018,21-24 Years,FTR/FTC,6
12/04/2018,18-20 Years,CALL-IN APPOINTMENT SCHEDULED,722
11/07/2018,21-24 Years,FAIR HEARING (CONTESTING),14
11/07/2018,18-20 Years,EMPLOYMENT- GRANT DIVERSION,40
12/04/2018,18-20 Years,SUBSTANCE ABUSE & JOB SEARCH,13
12/04/2018,18-20 Years,SSI PENDING/APPEALING,5
11/07/2018,18-20 Years,TEMP. INCAPACITATED - HEALTH,21
12/04/2018,21-24 Years,TEMPORARILY EXEMPT,161
11/07/2018,18-20 Years,ASSIGNED JOB SEARCH,141
12/04/2018,18-20 Years,SUBSTANCE ABUSE RESIDENTIAL,28
12/04/2018,18-20 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,42
11/07/2018,16-17 Years,CALL-IN APPOINTMENT SCHEDULED,2
12/04/2018,21-24 Years,ELIGIBILITY CALL-IN APPT SCHD,35
12/04/2018,21-24 Years,WECARE/COMMUNITY SERVICE,18
12/04/2018,18-20 Years,WECARE/CONCURRENT ACTIVITY,3
12/04/2018,18-20 Years,EMPLOYMENT-BUDGETED,146
12/04/2018,21-24 Years,RECEIVING SSI,28
11/07/2018,21-24 Years,FTR/FTC,10
11/07/2018,21-24 Years,AWAITING CONCILIATION SCHED.,55
11/07/2018,21-24 Years,SANCTION IN EFFECT,13
11/07/2018,21-24 Years,WECARE VOCATIONAL REHABILITAT,75
12/04/2018,18-20 Years,DASIS CASES,59
11/07/2018,18-20 Years,ACTIVE SINGLE ISSUE CASES,83
12/04/2018,21-24 Years,CHILD UNDER 3 MONTHS,61
12/04/2018,21-24 Years,UNENGAGED,13
12/04/2018,21-24 Years,FAIR HEARING (NOT CONTESTING),9
11/07/2018,21-24 Years,RECEIVING SSI,29
12/04/2018,21-24 Years,ASSIGNED JOB SEARCH,747
11/07/2018,18-20 Years,OTHER WORK ACTIVITY,62
11/07/2018,21-24 Years,SSI PENDING/APPEALING,56
12/04/2018,18-20 Years,EDUCATION/TRAINING,488
12/04/2018,18-20 Years,CONCILIATION/CONFERENCE,309
01/03/2019,16-17 Years,CALL-IN APPOINTMENT SCHEDULED,1
01/03/2019,16-17 Years,EMPLOYMENT-BUDGETED,7
01/03/2019,16-17 Years,IN ENGAGEMENT REVIEW PROCESS,1
01/03/2019,16-17 Years,STUDENT OVER AGE 15,44
01/03/2019,16-17 Years,SUBSTANCE ABUSE TREATMENT,1
01/03/2019,18-20 Years,ACTIVE SINGLE ISSUE CASES,73
01/03/2019,18-20 Years,ASSIGNED JOB SEARCH,136
01/03/2019,18-20 Years,AWAITING CONCILIATION SCHED.,34
01/03/2019,18-20 Years,CALL-IN APPOINTMENT SCHEDULED,752
01/03/2019,18-20 Years,CHILD UNDER 3 MONTHS,12
