Project Number,Contract Number,Title,Status,Procurement Type,Award Type,Contract Award Date,Contract End Date,Contract Amount,Expended Amount YTD,Expended Amount LTD,Remaining Balance,Number of Bids,MWBE,MWBE Proposals,Vendor Name,Address Line 1,Address Line 2,City,State,Zip Code,Country,Location 1
271014,T006529,CONSTR: Reconstruct South Circle Road,Active,Design and Construction/Maintenance,Authority Contract - Competitive Bid,11/14/2019,11/01/2021,3139554.00,0.00,0.00,3139554.00,3,N,0,"Smith Site Development, LLC",1249 Front Street,Ste. 110,Binghamton,NY,13905,USA,"1249 Front Street
Binghamton, NY 13905
(42.156127, -75.896348)"
30XA60,T005389,DESIGN: EOC (Educational Opportunity Center) Buffalo,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,05/21/2008,07/31/2016,2006879.52,290882.07,2006879.52,0.00,6,N,0,"Holt Architects, P.C.",217 North Aurora Street,,Ithaca,NY,14850,USA,"217 North Aurora Street
Ithaca, NY 14850
(42.44107, -76.495722)"
351001,T006500,CONSTR: Harder Hall HVAC Upgrades,Active,Design and Construction/Maintenance,Authority Contract - Competitive Bid,04/19/2019,12/10/2021,7162765.00,0.00,4712452.00,2450313.00,0,N,0,Savarino Companies LLC,500 Seneca Street,,Buffalo,NY,14204,USA,"500 Seneca Street
Buffalo, NY 14204
(42.877333, -78.85724)"
081033,T006371,DESIGN: Replace HTHW line to Old Library,Active,Design and Construction/Maintenance,Authority Contract - Best Value,06/11/2018,09/26/2020,152000.00,0.00,98577.61,53422.39,0,N,0,"O'Brien & Gere Engineers, Inc",333 West Washington St,PO Box 4873,Syracuse,NY,13221,USA,"333 West Washington St
Syracuse, NY 13221
(43.049616, -76.155894)"
29X393,T005739,CONSTR: Critical Maintenance Repairs Exterior Maintenance Visual Arts #58,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,10/07/2010,09/21/2016,9749636.00,3241289.00,9749636.00,0.00,11,N,0,MPCC Corp.,81 Rockdale Avenue,,New Rochelle,NY,10801,USA,"81 Rockdale Avenue
New Rochelle, NY 10801
(40.905212, -73.793057)"
19X141,T005326,CONSTR: Waste Stream Management Facility ,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,12/07/2007,10/15/2012,7410421.00,204228.00,7410421.00,0.00,4,N,0,"Streeter Associates,Inc.",101 E. Woodlawn Ave.,P.O. Box 118,Elmira,NY,14902,USA,"101 E Woodlawn Ave
Elmira, NY 14902
(42.110373, -76.815783)"
06X203,T004578,DESIGN: Replace Windows - Welles Hall ,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,09/08/2000,01/29/2014,154068.08,3846.38,154068.08,0.00,3,N,0,"SWBR Architects & Engineers, P.C.",387 East Main Street,,Rochester,NY,14604,USA,"387 East Main Street
Rochester, NY 14604
(43.158145, -77.602015)"
31X822,T005049,"DESIGN: CM For Academ Village Rehabs, Paving & Signage Projects",Closed,Design and Construction/Maintenance,Authority Contract - Best Value,06/09/2006,09/30/2008,241245.97,0.00,213953.09,27292.88,0,N,0,"Jacobs Facilities, Inc.",260 Madison Avenue,Floor 12,New York,NY,10016,USA,"260 Madison Avenue
New York, NY 10016
(40.750541, -73.980926)"
22X811,T005603,DESIGN: Facilities Master Plan - Alfred,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,01/13/2010,07/01/2011,620353.71,0.00,620353.71,0.00,24,N,1,WTW Architects,Timber Court,127 anderson Street,Pittsburgh,PA,15212,USA,
12X344,T005351,DESIGN: Renovate Flagg Hall - ADA Elevator,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,11/23/2010,12/31/2017,46952.96,13263.83,46952.96,0.00,0,N,0,Architecture +,297 River Street,,Troy,NY,12180,USA,"297 River Street
Troy, NY 12180
(42.73246, -73.690162)"
13XC74,T004947,DESIGN: Modification for Prevention of Water Infiltration,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,07/10/2007,08/31/2010,124795.47,0.00,124795.47,0.00,0,N,0,San Fanandre Justin Architects P.C.,2nd Floor,200 Sunrise Highway,Rockville Centre,NY,11570,USA,
061013,T006430,CONSTR: Replace Roofs - Various Buildings,Active,Design and Construction/Maintenance,Authority Contract - Competitive Bid,05/16/2018,11/10/2020,2806397.00,0.00,2796397.00,10000.00,2,Y,1,General Roofing Contractors LLC,94 Big Boom Road,,Glens Falls,NY,12801,USA,"94 Big Boom Road
Glens Falls, NY 12801
(43.290891, -73.678183)"
09X362,T005355,DESIGN: Replace HVAC/Domestic Hot Water Equipment -  Alumni Hall,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,06/18/2010,06/12/2020,232931.80,0.00,226283.85,6647.95,0,N,0,"C & S Engineers, Inc.",499 Col. E. Collins Blvd.,,Syracuse,NY,13212,USA,"499 Col E Collins Blvd
Syracuse, NY 13212"
14XB40,T006355,DESIGN: Replace HSEB Roof,Active,Design and Construction/Maintenance,Authority Contract - Best Value,11/07/2017,09/26/2020,308000.00,0.00,111760.33,196239.67,0,Y,0,"Ismael Leyva Architects, P.C.",13th Floor,48 West 37th Street,New York,NY,10018,USA,
03X824,T005293,DESIGN: Program Study For New Athletic Stadium ,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,08/01/2007,01/26/2009,301087.11,0.00,301087.11,0.00,4,N,0,"CHA Consulting, Inc",3 Winners Circle,P.O. Box 5269,Albany,NY,12205,USA,"3 Winners Circle
Albany, NY 12205
(42.719854, -73.797983)"
401010,T006321,DESIGN: Rehab Interior & Replace Lighting 111 West,Active,Design and Construction/Maintenance,Authority Contract - Best Value,03/29/2017,06/09/2022,131441.63,0.00,91701.11,39740.52,0,Y,0,JMZ Architects & Planners PC,190 Glen Street,P. O. Box 725,Glens Falls,NY,12801,USA,"190 Glen Street
Glens Falls, NY 12801
(43.309981, -73.644771)"
13XB60,T005340,"CONSTR: Graduate Chemistry Rehab, Phase I",Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,11/28/2007,01/01/2013,19113304.00,232659.00,18985965.00,127339.00,3,N,0,"EW Howell Company, Inc.",Suite 600,245 Newtown Road,Plainview,NY,11803,USA,"600 Plainview
NY 11803
(40.76857, -73.470184)"
24X268,T005610,"CONSTR: Library Upgrades Interior, Exterior, Elevator and Mechanical Systems",Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,12/22/2009,08/15/2012,2377335.00,195935.00,2377335.00,0.00,16,N,1,"AOW Associates, Inc.",30 Essex Street,,Albany,NY,12206,USA,"30 Essex Street
Albany, NY 12206
(42.677542, -73.779722)"
08X475,T006472,CONSTR: Job Order Contracting - NYC Region,Active,Design and Construction/Maintenance,Authority Contract - Competitive Bid,01/29/2019,10/15/2020,26189.00,0.00,24880.00,1309.00,3,N,1,"Volmar Construction, Inc",4400 Second Avenue,,Brooklyn,NY,11232,USA,"4400 Second Avenue
Brooklyn, NY 11232
(40.652263, -74.013635)"
36X7A4,T005402,CONSTR: Job Order Contracting Program - New York City,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,06/02/2008,01/21/2014,119229.00,0.00,119229.00,0.00,0,N,0,"JEMCO Electrical Contractors, Inc.",271 42nd Street,,Brooklyn,NY,11433,USA,"271 42nd Street
Brooklyn, NY 11433
(40.652508, -74.010479)"
16X200,T004872,CONSTR: Rehabilitation Of Mann Library ,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,10/16/2003,08/30/2008,25415450.00,0.00,25415450.00,0.00,3,N,0,The Pike Company Inc,One Circle Street,,Rochester,NY,14607,USA,"One Circle Street
Rochester, NY 14607"
141055,T006222,CONSTR: Job Order Contracting: NYC Region,Active,Design and Construction/Maintenance,Authority Contract - Competitive Bid,02/29/2016,04/30/2019,393117.00,0.00,304371.00,88746.00,0,N,0,"Volmar Construction, Inc",4400 Second Avenue,,Brooklyn,NY,11232,USA,"4400 Second Avenue
Brooklyn, NY 11232
(40.652263, -74.013635)"
081005,T006297,"CONSTR: Replace Roof, Fine Arts Building",Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,12/22/2016,10/22/2018,989122.00,0.00,989122.00,0.00,12,N,2,Aktor Corp.,44 Tivoli Street,,Albany,NY,12207,USA,"44 Tivoli Street
Albany, NY 12207
(42.664787, -73.745827)"
03X417,T005943,"CONSTR: Replace Roof, Campus West - A Wing",Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,03/15/2012,08/01/2013,369928.00,349815.00,369928.00,0.00,5,N,0,"Grove Roofing Services, Inc.",131 Reading Street,,Buffalo,NY,14220,USA,"131 Reading Street
Buffalo, NY 14220
(42.840927, -78.827831)"
141000,T006339,DESIGN: Upgrade Electrical System UHB,Active,Design and Construction/Maintenance,Authority Contract - Best Value,07/24/2017,08/14/2022,2708685.00,0.00,365192.40,2343492.60,23,N,3,"LiRo Program and Construction Mgmt, P.C.",Three Aerial Way,,Syosset,NY,11791,USA,"Three Aerial Way
Syosset, NY 11791"
011005,T006097,DESIGN: Renovate Sub-Basement lecture Ctr South,Active,Design and Construction/Maintenance,Authority Contract - Best Value,07/22/2014,05/21/2023,374768.00,0.00,407300.25,-32532.25,0,N,0,"Hyman Hayes Assoc., LLC",6 Wembley Court,,Albany,NY,12205,USA,"6 Wembley Court
Albany, NY 12205
(42.740545, -73.844673)"
21X207,T005371,DESIGN: New Secondary Electrical System - Fort,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,07/24/2008,04/01/2013,153819.98,0.00,153266.76,553.22,0,Y,0,"Lakhani & Jordan Engineers, P.C.",315 Madison Avenue,10th Floor,New York,NY,10017,USA,"315 Madison Avenue
New York, NY 10017
(40.753011, -73.979134)"
11X335,T005577,DESIGN: Site Infrastructure Replacement,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,03/26/2012,02/03/2018,413152.52,230717.18,413152.52,0.00,0,N,0,"C & S Engineers, Inc.",499 Col. E. Collins Blvd.,,Syracuse,NY,13212,USA,"499 Col E Collins Blvd
Syracuse, NY 13212"
091019,T006482,CONSTR: Replace Water Mains - East Dorm Drive,Active,Design and Construction/Maintenance,Authority Contract - Competitive Bid,02/27/2019,08/16/2020,504817.00,0.00,499561.00,5256.00,5,N,0,Winn Construction Services Inc.,74 Hudson River Road,,Waterford,NY,12010,USA,"74 Hudson River Road
Waterford, NY 12010
(42.803232, -73.668189)"
09X399,T006010,CONSTR: Upgrade Plumbing  - Chase PE,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,12/18/2012,08/09/2014,281379.00,0.00,281379.00,0.00,10,Y,2,"Wilkins Mechanical, Inc.",6923 Herman Road,,Syracuse,NY,13209,USA,"6923 Herman Road
Syracuse, NY 13209
(43.104671, -76.290603)"
36X114,T005365,DESIGN: Replace Windows Plaza Building Ph 2,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,05/20/2009,04/14/2017,289081.33,2091.91,289081.33,0.00,0,N,0,Architecture +,297 River Street,,Troy,NY,12180,USA,"297 River Street
Troy, NY 12180
(42.73246, -73.690162)"
241030,T006356,DESIGN: Agriculture Study,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,05/07/2018,09/26/2020,23850.89,0.00,23850.89,0.00,0,Y,0,JMZ Architects & Planners PC,190 Glen Street,P. O. Box 725,Glens Falls,NY,12801,USA,"190 Glen Street
Glens Falls, NY 12801
(43.309981, -73.644771)"
801801,T006360,DESIGN: Architectural Services - Mosaic Associates  - Master Term Agreement,Active,Design and Construction/Maintenance,Authority Contract - Best Value,06/30/2017,09/26/2020,5000000.00,0.00,0.00,5000000.00,179,N,42,Mosaic Associates Architects,The Frear Building,"2 Third Street, Suite 440",Troy,NY,12180,USA,
801801,T006354,DESIGN: Architectural Services - HBT Architects - Master Term Agreement,Active,Design and Construction/Maintenance,Authority Contract - Best Value,06/30/2017,09/25/2020,5000000.00,0.00,0.00,5000000.00,179,N,42,HBT Architects,2 Elton Street,,Rochester,NY,14118,USA,"2 Elton Street
Rochester, NY 14118
(43.154897, -77.580115)"
021011,T006426,CONSTR: Renovate Exterior Facade & Perimeter Heating System at Allen Hall,Active,Design and Construction/Maintenance,Authority Contract - Competitive Bid,05/02/2018,06/08/2021,7163257.00,0.00,6537928.00,625329.00,2,N,1,Savarino Companies LLC,500 Seneca Street,,Buffalo,NY,14204,USA,"500 Seneca Street
Buffalo, NY 14204
(42.877333, -78.85724)"
29X337,T005488,CONSTR: Site / Civil Repair ( near Campus Cntr South),Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,03/27/2009,04/01/2011,808465.00,0.00,808465.00,0.00,6,N,0,Marquise Construction Corp.,10 St. Charles Street,,Thornwood,NY,10594,USA,"10 St Charles Street
Thornwood, NY 10594
(41.124539, -73.782055)"
29X364,T005680,CONSTR: Replace Roof - Various Buildings,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,04/16/2010,01/01/2012,887537.00,29158.00,887537.00,0.00,22,N,3,"Dimitri Enterprises, Inc.",2nd Floor,135 58th Street,Brooklyn,NY,11220,USA,
201017,T006352,DESIGN: Repair Rooftop Greenhouses - Illick Hall,Active,Design and Construction/Maintenance,Authority Contract - Best Value,03/26/2018,10/02/2020,84107.00,0.00,0.00,84107.00,0,N,0,"Bell & Spina Architects-Planners, P.C.","Suite 201, The Bindery",215 Wyoming Street,Syracuse,NY,13204,USA,"201 The
Syracuse, NY 13204"
311019,T006370,DESIGN: Rehabilitate Campus Ring Road Phase 1,Active,Design and Construction/Maintenance,Authority Contract - Best Value,01/03/2019,09/26/2020,301000.00,0.00,0.00,301000.00,0,N,0,"M.J. Engineering and Land Surveying, P.C.",1533 Crescent Road,,Clifton Park,NY,12065,USA,"1533 Crescent Road
Clifton Park, NY 12065
(42.819309, -73.771854)"
081034,T006352,"DESIGN: Repair Replace Facade, Fine Arts Building",Active,Design and Construction/Maintenance,Authority Contract - Best Value,04/23/2018,10/02/2020,576000.00,0.00,167965.04,408034.96,0,N,0,"Bell & Spina Architects-Planners, P.C.","Suite 201, The Bindery",215 Wyoming Street,Syracuse,NY,13204,USA,"201 The
Syracuse, NY 13204"
06X318,T005615,CONSTR: Replace Campus Main Electrical Switchgear - Service Bldg. No. 17,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,12/04/2009,06/30/2012,709304.00,7308.00,709304.00,0.00,8,N,0,O'Connell Electric Co.,830 Phillips Road,,Victor,NY,14564,USA,"830 Phillips Road
Victor, NY 14564
(42.998376, -77.455932)"
36X7B6,T005956,CONSTR: Job Order Contracting Program - Albany,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,04/18/2012,11/20/2018,649733.00,0.00,649733.00,0.00,0,Y,0,"Cutting Edge Group, LLC",14 Walkup Cutoff Road,P.O. Box 733,Lake George,NY,12845,USA,"14 Walkup Cutoff Road
Lake George, NY 12845
(43.386894, -73.648077)"
221005,T006104,DESIGN: Install Satellite Boilers - Phase 3,Active,Design and Construction/Maintenance,Authority Contract - Best Value,08/02/2016,07/25/2023,669935.00,0.00,610798.28,59136.72,0,N,0,"M/E Engineering, P.C.",Suite 320,60 Lakefront Boulevard,Buffalo,NY,14202,USA,"320 Buffalo
NY 14202"
32X475,T005840,DESIGN: Rehab Walkway Campus Underpass,Active,Design and Construction/Maintenance,Authority Contract - Best Value,06/12/2014,07/30/2018,363000.00,0.00,306795.15,56204.85,0,N,0,"Hoffmann Architects, Inc.",Suite 14C,1040 Ave of the Americas,New York,NY,10018,USA,"14C New
York, NY 10018"
07XA14,T005166,DESIGN: Science III/IV Addition,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,09/06/2006,12/31/2013,2812798.43,77755.15,2812798.43,0.00,5,N,0,S/L/A/M/ Architects & Engineers P.C.,80 Glastonbury Blvd.,,Glastonbury,CT,6033,USA,"80 Glastonbury Blvd
Glastonbury, CT 06033
(41.721624, -72.618579)"
14X466,T005216,CONSTR: Relocate/Upgrade Gross Anatomy Laboratories and Selected Spaces BSB,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,12/20/2006,10/31/2010,8668182.00,0.00,8668182.00,0.00,6,N,0,"L. D. Wenger Construction Co, Inc.",770 Railroad Avenue,,West Babylon,NY,11704,USA,"770 Railroad Avenue
West Babylon, NY 11704
(40.692842, -73.352081)"
031008,T006127,DESIGN: Bid  01- Selective Renovations - Butler Library,Active,Design and Construction/Maintenance,Authority Contract - Best Value,07/19/2017,05/07/2021,61000.00,0.00,43590.00,17410.00,23,N,2,Gilbane Building Company,7 Southwoods Boulevard,3rd Floor,Albany,NY,12211,USA,"7 Southwoods Boulevard
Albany, NY 12211
(42.683415, -73.770704)"
221020,T006354,"DESIGN: Replace Roofs - Orvis, Ag Science, Huntington and Pioneer",Active,Design and Construction/Maintenance,Authority Contract - Best Value,05/18/2018,09/25/2020,439000.00,0.00,215085.01,223914.99,0,N,0,HBT Architects,2 Elton Street,,Rochester,NY,14118,USA,"2 Elton Street
Rochester, NY 14118
(43.154897, -77.580115)"
08X498,T006109,DESIGN: Rebuild Generator #3 - Central Heating Plant,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,02/06/2015,02/14/2021,234710.71,0.00,259935.10,-25224.39,0,N,0,"OLA Consulting Engineers, PC",50 Broadway,,Hawthorne,NY,10532,USA,"50 Broadway
Hawthorne, NY 10532
(41.108943, -73.797266)"
21X127,T005092,CONSTR: Install Second Electrical Distribution Feeder,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,11/08/2005,12/31/2010,5845296.00,0.00,5845296.00,0.00,4,N,0,The Chappy Corporation,90 Spencer Ave,,Chelsea,MA,2150,USA,"90 Spencer Ave
Chelsea, MA 02150
(42.39707, -71.024964)"
09X311,T004930,"DESIGN: Upgrade Central Heating Plant, Phase II",Closed,Design and Construction/Maintenance,Authority Contract - Best Value,04/23/2007,03/31/2011,99373.37,0.00,99373.37,0.00,0,N,0,"Sage Engineering Associates, L.L.P.",1211 Western Avenue,,Albany,NY,12203,USA,"1211 Western Avenue
Albany, NY 12203
(42.675897, -73.821406)"
