Lobbyist Firm/Sole Proprietor,Activity Date,Client,Person Lobbied,Person Lobbied Title,Lobbyist,Contact Nature,Subject Matter
"ABBVIE, INC.",04/04/2016,"ABBVIE, INC.", GREGG GOSLIN," COOK COUNTY COMMISSIONER, 14TH DISTRICT",MATTHEW WILLIAMS ,Phone Call,ORDINANCE (16-1983) ON “SAFE DISPOSAL OF PHARMACEUTICALS”
"ABBVIE, INC.",04/04/2016,"ABBVIE, INC.", JEFFREY  TOBOLSKI, COMMISSIONER- 16TH DISTRICT,MATTHEW WILLIAMS ,Phone Call,ORDINANCE (16-1983) ON “SAFE DISPOSAL OF PHARMACEUTICALS”
"ABBVIE, INC.",04/04/2016,"ABBVIE, INC.", JOHN DALEY," COOK COUNTY COMMISSIONER, 11TH DISTRICT",MATTHEW WILLIAMS ,Phone Call,ORDINANCE (16-1983) ON “SAFE DISPOSAL OF PHARMACEUTICALS”
"ABBVIE, INC.",04/04/2016,"ABBVIE, INC.", JOHN FRITCHEY," COOK COUNTY COMMISSIONER, 12TH DISTRICT",MATTHEW WILLIAMS ,Phone Call,ORDINANCE (16-1983) ON “SAFE DISPOSAL OF PHARMACEUTICALS”
"ABBVIE, INC.",04/04/2016,"ABBVIE, INC.", SEAN  MORRISON, COMMISSIONER,MATTHEW WILLIAMS ,Phone Call,ORDINANCE (16-1983) ON “SAFE DISPOSAL OF PHARMACEUTICALS”
"ABBVIE, INC.",04/04/2016,"ABBVIE, INC.", TIMOTHY O. SCHNEIDER," COOK COUNTY COMMISSIONER, 15TH DISTRICT",MATTHEW WILLIAMS ,Phone Call,ORDINANCE (16-1983) ON “SAFE DISPOSAL OF PHARMACEUTICALS”
"ABBVIE, INC.",04/08/2016,"ABBVIE, INC.", LARRY SUFFREDIN," COOK COUNTY COMMISSIONER, 13TH DISTRICT",MATTHEW WILLIAMS ,Meeting,ORDINANCE (16-1983) ON “SAFE DISPOSAL OF PHARMACEUTICALS”
ACACIA FINANCIAL GROUP,11/09/2015,ACACIA FINANCIAL GROUP, IVAN  SAMSTEIN, CFO,JAMES BECK ,Meeting,TO DISCUSS FA WORK
ACACIA FINANCIAL GROUP,11/09/2015,ACACIA FINANCIAL GROUP, IVAN  SAMSTEIN, CFO,PHOEBE SELDEN S,Meeting,TO DISCUSS FA WORK
ACACIA FINANCIAL GROUP,03/23/2017,ACACIA FINANCIAL GROUP, IVAN  SAMSTEIN, CFO,NOREEN WHITE ,Meeting,DISCUSS BUSINESS OPPORTUNITIES/ACACIA'S CREDENTIALS
ACACIA FINANCIAL GROUP,03/23/2017,ACACIA FINANCIAL GROUP, IVAN  SAMSTEIN, CFO,PHOEBE SELDEN S,Meeting,DISCUSS BUSINESS OPPORTUNITIES/ACACIA'S CREDENTIALS
ACACIA FINANCIAL GROUP,04/12/2018,ACACIA FINANCIAL GROUP, AMMAR  RIZKI, DEPUTY CFO,PHOEBE SELDEN S,Meeting,UPDATE ON ACACIA AND MARKET
ACACIA FINANCIAL GROUP,04/12/2018,ACACIA FINANCIAL GROUP," AMMAR  RIZKI, KEVIN WRIGHT"," DEPUTY CFO, FINANCIAL RESEARCH ANALYST",NOREEN WHITE ,Meeting,UPDATE ON ACACIA AND MARKET
ACACIA FINANCIAL GROUP,04/12/2018,ACACIA FINANCIAL GROUP," AMMAR  RIZKI, KEVIN WRIGHT"," DEPUTY CFO, FINANCIAL RESEARCH ANALYST",PHOEBE SELDEN S,Meeting,UPDATE ON ACACIA AND MARKET
ACACIA FINANCIAL GROUP,04/25/2018,ACACIA FINANCIAL GROUP, STEVE LUX, CHICAGO PARK DISTRICT CFO,NOREEN WHITE ,Meeting,UPDATE ON ACACIA AND MARKET
ACACIA FINANCIAL GROUP,04/25/2018,ACACIA FINANCIAL GROUP, STEVE LUX, CHICAGO PARK DISTRICT CFO,PHOEBE SELDEN S,Meeting,UPDATE ON ACACIA AND MARKET
AFSCME COUNCIL 31,10/22/2015,AFSCME COUNCIL 31, LARRY SUFFREDIN," COOK COUNTY COMMISSIONER, 13TH DISTRICT",ADRIENNE ALEXANDER MICHELLE,Meeting,DISCUSSION OF IMPACT OF CCHHS BUDGET.
AFSCME COUNCIL 31,10/22/2015,AFSCME COUNCIL 31, ROBERT STEELE," COOK COUNTY COMMISSIONER, 2ND DISTRICT",ADRIENNE ALEXANDER MICHELLE,Meeting,DISCUSSION OF IMPACT OF CCHHS BUDGET.
AFSCME COUNCIL 31,10/22/2015,AFSCME COUNCIL 31," STANLEY  MOORE, RICHARD R. BOYKIN"," COMMISSIONER, COOK COUNTY COMMISSIONER, DISTRICT 1",ADRIENNE ALEXANDER MICHELLE,Meeting,DISCUSSION OF IMPACT OF CCHHS BUDGET.
AFSCME COUNCIL 31,02/09/2016,AFSCME COUNCIL 31, STANLEY  MOORE, COMMISSIONER,ADRIENNE ALEXANDER MICHELLE,Meeting,STATE BUDGET IMPACT ON STATE'S ATTORNEY CHILD SUPPORT CONTRACT & AFSCME JOBS IMPACTED.
AFSCME COUNCIL 31,02/09/2016,AFSCME COUNCIL 31," STANLEY  MOORE, PETER  SILVESTRI, ROBERT STEELE, LARRY SUFFREDIN, JESUS GARCIA"," COMMISSIONER, COOK COUNTY COMMISSIONER, COOK COUNTY COMMISSIONER, 2ND DISTRICT, COOK COUNTY COMMISSIONER, 13TH DISTRICT, COOK COUNTY COMMISSIONER, 7TH DISTRICT",ADRIENNE ALEXANDER MICHELLE,Meeting,DISCUSSION OF THE IMPACT OF STATE BUDGET CUTS ON STATE'S ATTORNEY CHILD SUPPORT PROGRAM & THE AFSCME-REPRESENTED MEMBERS THERE.
AFSCME COUNCIL 31,01/17/2018,AFSCME COUNCIL 31, LARRY SUFFREDIN," COOK COUNTY COMMISSIONER, 13TH DISTRICT",ADRIENNE ALEXANDER MICHELLE,Meeting,COMMITTEE ON CCHHS BILLING
AFSCME COUNCIL 31,01/17/2018,AFSCME COUNCIL 31, STANLEY  MOORE, COMMISSIONER,ADRIENNE ALEXANDER MICHELLE,Meeting,COMMITTEE ON CCHHS BILLING
"CITIBANK, N.A.",03/10/2016,"CITIBANK, N.A.", LISA OCHOA," MANAGER, CASH OPERATIONS",KEVIN WRENN ,Meeting,ACH SAME DATE INITIATIVE.
AFSCME COUNCIL 31,06/08/2016,AFSCME COUNCIL 31," STANLEY  MOORE, PETER  SILVESTRI, LUIS  ARROYO, JR., RICHARD R. BOYKIN, ROBERT STEELE, DEBORAH SIMS, LARRY SUFFREDIN, JESUS GARCIA, JOHN FRITCHEY"," COMMISSIONER, COOK COUNTY COMMISSIONER, COMMISSIONER, COOK COUNTY COMMISSIONER, DISTRICT 1, COOK COUNTY COMMISSIONER, 2ND DISTRICT, COOK COUNTY COMMISSIONER, 5TH DISTRICT, COOK COUNTY COMMISSIONER, 13TH DISTRICT, COOK COUNTY COMMISSIONER, 7TH DISTRICT, COOK COUNTY COMMISSIONER, 12TH DISTRICT",ADRIENNE ALEXANDER MICHELLE,Meeting,APPROVAL OF INTERGOVERNMENTAL AGREEMENT BETWEEN STATE & SAS OFFICE TO MAINTAIN CHILD SUPPORT PROGRAM & AFSCME-REPRESENTED POSITIONS.
AFSCME COUNCIL 31,10/13/2016,AFSCME COUNCIL 31," STANLEY  MOORE, LUIS  ARROYO, JR."," COMMISSIONER, COMMISSIONER",ADRIENNE ALEXANDER MICHELLE,Meeting,CFL EFFICIENCY REPORT + AFSCME LAYOFFS
AFSCME COUNCIL 31,10/18/2016,AFSCME COUNCIL 31," STANLEY  MOORE, RICHARD R. BOYKIN, DEBORAH SIMS, LARRY SUFFREDIN, JESUS GARCIA"," COMMISSIONER, COOK COUNTY COMMISSIONER, DISTRICT 1, COOK COUNTY COMMISSIONER, 5TH DISTRICT, COOK COUNTY COMMISSIONER, 13TH DISTRICT, COOK COUNTY COMMISSIONER, 7TH DISTRICT",ADRIENNE ALEXANDER MICHELLE,Meeting,AFSCME LAYOFFS IN CCHHS
AFSCME COUNCIL 31,10/18/2016,AFSCME COUNCIL 31," STANLEY  MOORE, RICHARD R. BOYKIN, DEBORAH SIMS, LARRY SUFFREDIN, JESUS GARCIA, JEFFREY  TOBOLSKI"," COMMISSIONER, COOK COUNTY COMMISSIONER, DISTRICT 1, COOK COUNTY COMMISSIONER, 5TH DISTRICT, COOK COUNTY COMMISSIONER, 13TH DISTRICT, COOK COUNTY COMMISSIONER, 7TH DISTRICT, COMMISSIONER- 16TH DISTRICT",ADRIENNE ALEXANDER MICHELLE,Meeting,AFSCME LAYOFFS AT CCHHS
AFSCME COUNCIL 31,10/28/2016,AFSCME COUNCIL 31," TIMOTHY O. SCHNEIDER, PETER  SILVESTRI, SEAN  MORRISON"," COOK COUNTY COMMISSIONER, 15TH DISTRICT, COOK COUNTY COMMISSIONER, COMMISSIONER",ADRIENNE ALEXANDER MICHELLE,Meeting,CFL EFFICIENCY REPORT + AFSCME LAYOFFS
AFSCME COUNCIL 31,11/02/2016,AFSCME COUNCIL 31, LARRY SUFFREDIN," COOK COUNTY COMMISSIONER, 13TH DISTRICT",ADRIENNE ALEXANDER MICHELLE,Meeting,MEDICAL EXAMINER PRIVATIZATION
AFSCME COUNCIL 31,11/02/2016,AFSCME COUNCIL 31, STANLEY  MOORE, COMMISSIONER,ADRIENNE ALEXANDER MICHELLE,Meeting,MEDICAL EXAMINER PRIVATIZATION
AFSCME COUNCIL 31,11/10/2016,AFSCME COUNCIL 31," LUIS  ARROYO, JR.", COMMISSIONER,ADRIENNE ALEXANDER MICHELLE,Meeting,"SUGAR TAX, CCHHS LAYOFFS, MEDICAL EXAMINER PRIVATIZATION"
AFSCME COUNCIL 31,11/10/2016,AFSCME COUNCIL 31," STANLEY  MOORE, LUIS  ARROYO, JR."," COMMISSIONER, COMMISSIONER",ADRIENNE ALEXANDER MICHELLE,Meeting,"SUGAR TAX, AFSCME LAYOFFS"
AFSCME COUNCIL 31,11/15/2016,AFSCME COUNCIL 31," STANLEY  MOORE, PETER  SILVESTRI, LUIS  ARROYO, JR., DEBORAH SIMS, JOHN DALEY, LARRY SUFFREDIN, JESUS GARCIA, JOHN FRITCHEY, JEFFREY  TOBOLSKI, RICHARD  BOYKIN"," COMMISSIONER, COOK COUNTY COMMISSIONER, COMMISSIONER, COOK COUNTY COMMISSIONER, 5TH DISTRICT, COOK COUNTY COMMISSIONER, 11TH DISTRICT, COOK COUNTY COMMISSIONER, 13TH DISTRICT, COOK COUNTY COMMISSIONER, 7TH DISTRICT, COOK COUNTY COMMISSIONER, 12TH DISTRICT, COMMISSIONER- 16TH DISTRICT, COOK COUNTY BOARD CANDIDATE",ADRIENNE ALEXANDER MICHELLE,Meeting,SUPPORT FOR AMENDMENTS RESTORING AFSCME POSITIONS
AFSCME COUNCIL 31,07/18/2017,AFSCME COUNCIL 31," PETER  SILVESTRI, DEBORAH SIMS, LARRY SUFFREDIN, JOHN FRITCHEY"," COOK COUNTY COMMISSIONER, COOK COUNTY COMMISSIONER, 5TH DISTRICT, COOK COUNTY COMMISSIONER, 13TH DISTRICT, COOK COUNTY COMMISSIONER, 12TH DISTRICT",ADRIENNE ALEXANDER MICHELLE,Meeting,DISCUSSION ON REVENUE ALTERNATIVES IF BEVERAGE TAX HELD UP IN COURT.
AFSCME COUNCIL 31,07/19/2017,AFSCME COUNCIL 31," BRIDGET GAINER, STANLEY  MOORE, LUIS  ARROYO, JR., RICHARD R. BOYKIN, JOHN DALEY"," COOK COUNTY COMMISSIONER, 10TH DISTRICT, COMMISSIONER, COMMISSIONER, COOK COUNTY COMMISSIONER, DISTRICT 1, COOK COUNTY COMMISSIONER, 11TH DISTRICT",ADRIENNE ALEXANDER MICHELLE,Meeting,DISCUSSION ON REVENUE ALTERNATIVES IF BEVERAGE TAX HELD UP IN COURT.
AFSCME COUNCIL 31,07/27/2017,AFSCME COUNCIL 31, BRIDGET GAINER," COOK COUNTY COMMISSIONER, 10TH DISTRICT",ADRIENNE ALEXANDER MICHELLE,Meeting,DISCUSSION ON BEVERAGE TAX AND NECESSARY REVENUE.
AFSCME COUNCIL 31,08/04/2017,AFSCME COUNCIL 31, ED MOODY, COMMISSIONER,ADRIENNE ALEXANDER MICHELLE,Meeting,DISCUSSION ON ON BEVERAGE TAX AND NECESSARY REVENUE.
AFSCME COUNCIL 31,09/12/2017,AFSCME COUNCIL 31," STANLEY  MOORE, JOHN DALEY, LARRY SUFFREDIN, ED MOODY"," COMMISSIONER, COOK COUNTY COMMISSIONER, 11TH DISTRICT, COOK COUNTY COMMISSIONER, 13TH DISTRICT, COMMISSIONER",ADRIENNE ALEXANDER MICHELLE,Meeting,SUPPORT OF BEVERAGE TAX
AFSCME COUNCIL 31,10/02/2017,AFSCME COUNCIL 31, JOHN DALEY," COOK COUNTY COMMISSIONER, 11TH DISTRICT",ADRIENNE ALEXANDER MICHELLE,Meeting,DISCUSSION ON ON BEVERAGE TAX AND NECESSARY REVENUE.
AFSCME COUNCIL 31,10/05/2017,AFSCME COUNCIL 31, DENNIS DEER," COUNTY BOARD COMMISSIONER, 2ND DISTRICT",ADRIENNE ALEXANDER MICHELLE,Meeting,DISCUSSION ON ON BEVERAGE TAX AND NECESSARY REVENUE.
AFSCME COUNCIL 31,10/24/2017,AFSCME COUNCIL 31," DEBORAH SIMS, JOHN DALEY, LARRY SUFFREDIN"," COOK COUNTY COMMISSIONER, 5TH DISTRICT, COOK COUNTY COMMISSIONER, 11TH DISTRICT, COOK COUNTY COMMISSIONER, 13TH DISTRICT",ADRIENNE ALEXANDER MICHELLE,Meeting,DISCUSSION ON ON BEVERAGE TAX AND NECESSARY REVENUE.
AFSCME COUNCIL 31,10/25/2017,AFSCME COUNCIL 31," PETER  SILVESTRI, JOHN FRITCHEY"," COOK COUNTY COMMISSIONER, COOK COUNTY COMMISSIONER, 12TH DISTRICT",ADRIENNE ALEXANDER MICHELLE,Meeting,DISCUSSION ON ON BEVERAGE TAX AND NECESSARY REVENUE.
AFSCME COUNCIL 31,11/01/2017,AFSCME COUNCIL 31," LARRY SUFFREDIN, JEFFREY  TOBOLSKI"," COOK COUNTY COMMISSIONER, 13TH DISTRICT, COMMISSIONER- 16TH DISTRICT",ADRIENNE ALEXANDER MICHELLE,Meeting,DISCUSSION ON ON BEVERAGE TAX AND NECESSARY REVENUE.
AFSCME COUNCIL 31,11/01/2017,AFSCME COUNCIL 31," RICHARD R. BOYKIN, LARRY SUFFREDIN, JEFFREY  TOBOLSKI"," COOK COUNTY COMMISSIONER, DISTRICT 1, COOK COUNTY COMMISSIONER, 13TH DISTRICT, COMMISSIONER- 16TH DISTRICT",ADRIENNE ALEXANDER MICHELLE,Meeting,DISCUSSION ON ON BEVERAGE TAX AND NECESSARY REVENUE.
AFSCME COUNCIL 31,11/08/2017,AFSCME COUNCIL 31," PETER  SILVESTRI, LARRY SUFFREDIN"," COOK COUNTY COMMISSIONER, COOK COUNTY COMMISSIONER, 13TH DISTRICT",ADRIENNE ALEXANDER MICHELLE,Meeting,IMPACT OF BUDGET ON FRONTLINE WORKERS AND NEED FOR REVENUE.
AFSCME COUNCIL 31,11/08/2017,AFSCME COUNCIL 31," STANLEY  MOORE, DEBORAH SIMS, ED MOODY"," COMMISSIONER, COOK COUNTY COMMISSIONER, 5TH DISTRICT, COMMISSIONER",ADRIENNE ALEXANDER MICHELLE,Meeting,DISCUSSION ON BUDGETARY IMPACT ON OAK FOREST HOSPITAL & REVENUE.
AFSCME COUNCIL 31,02/15/2018,AFSCME COUNCIL 31, LARRY SUFFREDIN," COOK COUNTY COMMISSIONER, 13TH DISTRICT",ADRIENNE ALEXANDER MICHELLE,Phone Call,DISCUSSION OF IMPLICATIONS OF CHIEF JUDGE'S LAWSUIT ON AFSCME MEMBERS.
AFSCME COUNCIL 31,04/25/2018,AFSCME COUNCIL 31, DEBORAH SIMS," COOK COUNTY COMMISSIONER, 5TH DISTRICT",ADRIENNE ALEXANDER MICHELLE,Meeting,DISCUSSION ABOUT AFSCME MEMBERS IN CHIEF JUDGE'S OFFICE.
AFSCME COUNCIL 31,04/25/2018,AFSCME COUNCIL 31, DENNIS DEER," COUNTY BOARD COMMISSIONER, 2ND DISTRICT",ADRIENNE ALEXANDER MICHELLE,Meeting,DISCUSSION ABOUT AFSCME MEMBERS IN CHIEF JUDGE'S OFFICE.
AFSCME COUNCIL 31,04/25/2018,AFSCME COUNCIL 31, LARRY SUFFREDIN," COOK COUNTY COMMISSIONER, 13TH DISTRICT",ADRIENNE ALEXANDER MICHELLE,Meeting,DISCUSSION ABOUT AFSCME MEMBERS IN CHIEF JUDGE'S OFFICE.
AFSCME COUNCIL 31,04/25/2018,AFSCME COUNCIL 31," LUIS  ARROYO, JR.", COMMISSIONER,ADRIENNE ALEXANDER MICHELLE,Meeting,DISCUSSION ABOUT AFSCME MEMBERS IN CHIEF JUDGE'S OFFICE.
AFSCME COUNCIL 31,04/25/2018,AFSCME COUNCIL 31, STANLEY  MOORE, COMMISSIONER,ADRIENNE ALEXANDER MICHELLE,Meeting,DISCUSSION ABOUT AFSCME MEMBERS IN CHIEF JUDGE'S OFFICE.
AFSCME COUNCIL 31,06/19/2019,AFSCME COUNCIL 31, KEVIN MORRISON, COOK COUNTY COMMISSIONER,ADRIENNE ALEXANDER MICHELLE,Phone Call,COMMISSIONERS BEING ASKED TO DO UNION WORK IN ASSESSOR'S OFFICE
AFSCME COUNCIL 31,06/19/2019,AFSCME COUNCIL 31," LARRY SUFFREDIN, BRIDGET DEGNEN, KEVIN MORRISON"," COOK COUNTY COMMISSIONER, 13TH DISTRICT, COOK COUNTY COMMISSIONER, COOK COUNTY COMMISSIONER",ADRIENNE ALEXANDER MICHELLE,Phone Call,COMMISSIONERS BEING ASKED TO DO UNION WORK IN ASSESSOR'S OFFICE
AFSCME COUNCIL 31,10/29/2019,AFSCME COUNCIL 31, BRANDON JOHNSON, COMMISSIONER- DISTRICT 1,ADRIENNE ALEXANDER MICHELLE,Text Message,BUDGET QUESTIONS AROUND AFSCME STAFFING
AFSCME COUNCIL 31,10/29/2019,AFSCME COUNCIL 31, BRIDGET DEGNEN, COOK COUNTY COMMISSIONER,ADRIENNE ALEXANDER MICHELLE,Text Message,BUDGET QUESTIONS AROUND AFSCME STAFFING
AFSCME COUNCIL 31,11/04/2019,AFSCME COUNCIL 31, BRANDON JOHNSON, COMMISSIONER- DISTRICT 1,ADRIENNE ALEXANDER MICHELLE,Text Message,BUDGET QUESTION ABOUT AFSCME STAFFING
AFSCME COUNCIL 31,11/14/2019,AFSCME COUNCIL 31," BRIDGET GAINER, STANLEY  MOORE, PETER  SILVESTRI, LUIS  ARROYO, JR., SEAN  MORRISON, DEBORAH SIMS, JOHN DALEY, LARRY SUFFREDIN, DENNIS DEER, DONNA MILLER, BRIDGET DEGNEN, SCOTT BRITTON, KEVIN MORRISON, BRANDON JOHNSON, WILLIAM LOWRY, ALMA ANAYA"," COOK COUNTY COMMISSIONER, 10TH DISTRICT, COMMISSIONER, COOK COUNTY COMMISSIONER, COMMISSIONER, COMMISSIONER, COOK COUNTY COMMISSIONER, 5TH DISTRICT, COOK COUNTY COMMISSIONER, 11TH DISTRICT, COOK COUNTY COMMISSIONER, 13TH DISTRICT, COUNTY BOARD COMMISSIONER, 2ND DISTRICT, COMMISSIONER-ELECT, COOK COUNTY COMMISSIONER, COOK COUNTY COMMISSIONER, COOK COUNTY COMMISSIONER, COMMISSIONER- DISTRICT 1, COOK COUNTY COMMISSIONER, 4TH DISTRICT, COOK COUNTY COMMISSIONER",ADRIENNE ALEXANDER MICHELLE,Email,AFSCME ISSUES WITH MEO TITLE CONSOLIDATION
AFSCME COUNCIL 31,11/14/2019,AFSCME COUNCIL 31," LUIS  ARROYO, JR., JOHN DALEY, LARRY SUFFREDIN, KEVIN MORRISON"," COMMISSIONER, COOK COUNTY COMMISSIONER, 11TH DISTRICT, COOK COUNTY COMMISSIONER, 13TH DISTRICT, COOK COUNTY COMMISSIONER",ADRIENNE ALEXANDER MICHELLE,Phone Call,FOLLOW UP RE: MEO TITLE CONSOLIDATION
AFSCME COUNCIL 31,11/15/2019,AFSCME COUNCIL 31," LUIS  ARROYO, JR., JOHN DALEY, LARRY SUFFREDIN, KEVIN MORRISON"," COMMISSIONER, COOK COUNTY COMMISSIONER, 11TH DISTRICT, COOK COUNTY COMMISSIONER, 13TH DISTRICT, COOK COUNTY COMMISSIONER",ADRIENNE ALEXANDER MICHELLE,Email,UPDATE ON MEO TITLE CONSOLIDATION
AFSCME COUNCIL 31,11/18/2019,AFSCME COUNCIL 31, BRIDGET DEGNEN, COOK COUNTY COMMISSIONER,ADRIENNE ALEXANDER MICHELLE,Email,UPDATE ON MEO TITLE CONSOLIDATION
AFSCME COUNCIL 31,11/20/2019,AFSCME COUNCIL 31, PETER  SILVESTRI, COOK COUNTY COMMISSIONER,ADRIENNE ALEXANDER MICHELLE,Email,UPDATE ON MEO TITLE CONSOLIDATION
"ALEXANDER, BOROVICKA & O'SHEA GOVERNMENT SOLUTIONS",12/17/2017,"ALLOY PROPERTY COMPANY, LLC", JOHN YONAN," SUPERINTENDENT, DEPARTMENT OF TRANSPORTATION",SEAN OSHEA ,Meeting,WE DISCUSSED TRANSPORTATION POLICY PROGRAMS AVAILABLE FOR THE EXPANSION OF THE 606 BLOOMINGDALE TRAIL AND A NEW METRA STATION
"ALEXANDER, BOROVICKA & O'SHEA GOVERNMENT SOLUTIONS",01/24/2018,"ALLOY PROPERTY COMPANY, LLC", JOHN FRITCHEY," COOK COUNTY COMMISSIONER, 12TH DISTRICT",SEAN OSHEA ,Meeting,DISCUSS METRA STATION AT CLYBOURN AND 606
"ALEXANDER, BOROVICKA & O'SHEA GOVERNMENT SOLUTIONS",02/16/2018,"ALLOY PROPERTY COMPANY, LLC", JOHN FRITCHEY," COOK COUNTY COMMISSIONER, 12TH DISTRICT",SEAN OSHEA ,Phone Call,SET UP MEETING TO DISCUSS METRA STATION AND 606 EXTENSION
"ALEXANDER, BOROVICKA & O'SHEA GOVERNMENT SOLUTIONS",08/16/2018,"ALLOY PROPERTY COMPANY, LLC", JOHN YONAN," SUPERINTENDENT, DEPARTMENT OF TRANSPORTATION",SEAN OSHEA ,Meeting,DISCUSSION OF RELOCATING METRA STATION AND 606 EXTENSION
"ALEXANDER, BOROVICKA & O'SHEA GOVERNMENT SOLUTIONS",10/12/2018,"ALLOY PROPERTY COMPANY, LLC", JOHN YONAN," SUPERINTENDENT, DEPARTMENT OF TRANSPORTATION",SEAN OSHEA ,Phone Call,DISCUSS SETTING UP MEETING ON METRA STATION AND 606 EXTENSION
"ALEXANDER, BOROVICKA & O'SHEA GOVERNMENT SOLUTIONS",11/19/2018,"ALLOY PROPERTY COMPANY, LLC", JOHN YONAN," SUPERINTENDENT, DEPARTMENT OF TRANSPORTATION",SEAN OSHEA ,Meeting,DISCUSSION WITH CDOT AND OTHERS RE: METRA STATION AND 606 EXTENSION
"ALEXANDER, BOROVICKA & O'SHEA GOVERNMENT SOLUTIONS",01/18/2019,"ALLOY PROPERTY COMPANY, LLC", JOHN YONAN," SUPERINTENDENT, DEPARTMENT OF TRANSPORTATION",SEAN OSHEA ,Email,DISCUSSION OF CMAP APPLICATION PROCESS
"ALEXANDER, BOROVICKA & O'SHEA GOVERNMENT SOLUTIONS",01/22/2019,"ALLOY PROPERTY COMPANY, LLC", JOHN YONAN," SUPERINTENDENT, DEPARTMENT OF TRANSPORTATION",SEAN OSHEA ,Email,DISCUSS CMAP PROCESS
"ALEXANDER, BOROVICKA & O'SHEA GOVERNMENT SOLUTIONS",01/30/2019,"ALLOY PROPERTY COMPANY, LLC", JOHN YONAN," SUPERINTENDENT, DEPARTMENT OF TRANSPORTATION",SEAN OSHEA ,Phone Call,DISCUSS TRANSPORTATION PROJECTS AND CMAQ FUNDING
"ALEXANDER, BOROVICKA & O'SHEA GOVERNMENT SOLUTIONS",02/04/2019,"ALLOY PROPERTY COMPANY, LLC", JOHN YONAN," SUPERINTENDENT, DEPARTMENT OF TRANSPORTATION",SEAN OSHEA ,Email,DISCUSS CMAP APPLICATION PROCESS
"ALEXANDER, BOROVICKA & O'SHEA GOVERNMENT SOLUTIONS",02/07/2019,"ALLOY PROPERTY COMPANY, LLC", JOHN YONAN," SUPERINTENDENT, DEPARTMENT OF TRANSPORTATION",SEAN OSHEA ,Email,DISCUSS CMAP APPLICATION PROCESS
"ALEXANDER, BOROVICKA & O'SHEA GOVERNMENT SOLUTIONS",02/15/2019,"ALLOY PROPERTY COMPANY, LLC", JOHN YONAN," SUPERINTENDENT, DEPARTMENT OF TRANSPORTATION",SEAN OSHEA ,Meeting,DISCUSS METRA TRANSPORTATION ISSUES AND OTHER TRANSPORTATION ISSUES
"ALEXANDER, BOROVICKA & O'SHEA GOVERNMENT SOLUTIONS",02/22/2019,"ALLOY PROPERTY COMPANY, LLC", JOHN YONAN," SUPERINTENDENT, DEPARTMENT OF TRANSPORTATION",SEAN OSHEA ,Meeting,DISCUSS CMAQ GRANT FUNDING WITH CDOT AND TRANSPORTATION ISSUES
