Case Number,Open Date,Close Date,Description,Year,Type,Sub-Type
19516,09/20/2007,09/24/2007,"As reported by WSSC: WORK ORDER(S): 7286651 7286511, SSO BEGAN: 09/17/2007 04:58PM DURATION: 4.03 HRS, SOURCE: OVERFLOWING MH MH06011094, WATER BODY AFFECTED: SLIGO CREEK, CAUSE: ROOTS & GREASE, OVERFLOW VOLUME: 121 GALS., UPON ARRIVAL THE CREW FOUND MH094M OVERFLOWING 1/2 GALLON PER MINUTE. THEY JETTED FROM MH 092U TO 094M AND RELIEVED A ROOTS AND GREASE 
BLOCKAGE AT 100 FEET. TWO BAGS OF LIME WERE SPREAD OVER THE AFFECTED 
AREA. THE OVERFLOW DID NOT ENTER A STORM DRAIN OR WATERWAY.",2007,Water Quality,Overflows
19566,10/02/2007,10/31/2007,As reported by WSSC on 10/02/2007 at 2:10PM: WSSC Dispatcher reports a broken 21-inch sewage flow pipe near the 10300 block of Sligo Creek Parkway in Silver Spring.  The pipe has been leaking liquid sewage since about noon today at an estimated flow rate of one (1) gallon per minute.  The caller from WSSC stated the leak was occurring at a pipe joint and was caused when a boulder fell on the pipe breaking it open.,2007,Water Quality,Overflows
19586,10/05/2007,11/20/2007,As report by WSSC on 10/05/2007: - report of a overflowing manhole at 209 hermley road in silver spring whereupon approximately 1 gallon per minute is being overflown since 9:30AM no water source is being effected by the overflow.  a WSSC crew is making repairs.,2007,Water Quality,Overflows
19632,10/16/2007,10/31/2007,Reported by WSSC on 10/16/2007: - Reportof overflow within the basement of 19220 deep run court in germantown whereupon the home's sump pump pumped approximately 10 gallons of liquids onto front yard. WSSC is conducting cleanup.,2007,Water Quality,Overflows
19669,10/29/2007,12/17/2007,Referred by WSSC as reported on hotline on 10/28/2007 at 8:09PM: - Report of overflowing manhole cover at 209 hermleigh road in silver spring whereupon approximately one (1) gallon per minute overflowed into the Northwest branch of a time span begining at 2:45PM and ending at about 8:45PM.,2007,Water Quality,Overflows
19696,11/06/2007,11/19/2007,As reported by WSSC: - report of manhole cover overflow due to clean-out at 6525 bradley blvd. in bethesda.  The line was jetted found a root brokeage which was removed.  Overflow was draining approximately 1/2 gallons per minute for a total of 40 gallons.,2007,Water Quality,Overflows
19713,11/14/2007,11/27/2007,"From hotline reported by WSSC on 11/13/2007 at 10:30PM: - report of overflowing manhole cover located at 8410 jeb stuart road in 5ockville.  423 gallons escaped from the sewer system within a wooded area, did not hit any water ways, has been cleaned up, crews will return in the morning to post signs and place lyme down.",2007,Water Quality,Overflows
19723,11/19/2007,11/26/2007,"Referred by melissa from call tracking: - Overflowing manhole totalling less than 100 gallons. Some did go into the stormdrain. 6208 Maiden Lane Bethesda Map Page 35G11 Duration was 3
and 1/2 hours",2007,Water Quality,Overflows
19735,11/21/2007,12/17/2007,"Reported by WSSC: - Report of overflowing manhole located at 00 beach drive, cross street Garrett Park, facility name  Veirs Park Center.  According to WSSC the overflowing manhole is leaking 2 gallons per minute but is not effecting any water sources.  WSSC also stated that the overflow has been occurring since yesterday because at the time of the overflow was first reported they could not locate the correct address.",2007,Water Quality,Overflows
19814,12/17/2007,01/03/2008,"Report of overflowing manhole cover on 12/17/2007 from between 11AM and 12:30PM within woods behind the address of 6300 muncaster mill road in rockville, by the time WSSC arrived on the scene the overflow had already been stopped, WSSC estimates that the total of overflow was approximately 300 gallons which did not have any effect on any water sources.",2007,Water Quality,Overflows
19820,12/19/2007,01/10/2008,Report of overflow of two manholes at 10312 georgia avenue in silver spring. The first manhole overflowed approximately 3 gallons. the second manhole overflowed approximately 150 gallons but did not effect any water sources.  Reason for overflow due to pump failure from frozen bypass line.,2007,Water Quality,Overflows
19848,12/28/2007,01/17/2008,"Reported by WSSC of overflowing manhole at 9800 islandside drive in gaithersburg of approximately 50 gallons total which did not effect any water sources, overflow has been repaired, one (1) bag of lyme was used, no signs were posted.",2007,Water Quality,Overflows
19868,01/09/2008,01/30/2008,From hotline recorded on 01/08/2008 at 6:48PM: - report of overflowing manhole cover at 15225 old columbia pike of approximately 2 gallons per minute making a total of 176 gallons which did not effect any water sources.  A WSSC crew will place down lyme and post signs in the morning.,2008,Water Quality,Overflows
19877,01/10/2008,04/15/2008,As reported by WSSC: - report of overflow just reported at 5529 norbeck road in rockville which is overflowing approximately 5 gallons per minute of substance directly into rock creek.  A WSSC crew has been dispateched.,2008,Water Quality,Overflows
19879,01/10/2008,01/11/2008,As reported by WSSC: - report of a minor overflowing manhle leaking approximately 1/2 gallons per minute but not effecting any water sources at 5400 friendship blvd.  A WSSC crew is en-route to make repairs.,2008,Water Quality,Overflows
19881,01/14/2008,01/24/2008,"Hotline message left by WSSC on 1/12/08 at 5:07 PM reporting a SSO at 6859 Tulip Hill Terrace, Bethesda.  The manhole is overflowing at a rate of 1 gal/min and entering a nearby storm drain.",2008,Water Quality,Overflows
19890,01/15/2008,01/30/2008,As reported by WSSC: Report of manhole overflow at 13332 Turkey Branch Parkway in Rockville from a broken sewer line.  The damage was caused by a construction company working at the Turkey Branch Restoration Project.  The incident began at 11AM on 01/14/2008 and ended at approximately 7:15 PM.  Approximately 400 gallons of liquid sewage overflowed into Rock Creek.  Cleanup and repairs are being done by Cherry Hill Construction.  WSSC has posted four (4) signs.,2008,Water Quality,Overflows
21420,03/11/2009,03/23/2009,Reported by WSSC on 03/10/2009 at 1:25PM:  Report of an overflowing manhole cover at 105 First Avenue in Takoma Park which drained approximately 1-gallon per minute and did not affect any water resources.,2009,Water Quality,Overflows
19900,01/16/2008,04/14/2008,"As reported by WSSC on 01/16/2008 at 10:15AM: - Report of incident of manhole overflow last night (01/15/2008) at 13101 beaver terrace in rockville.  The incident however was not due to a blocked sewer line.  The incident occurred when the contractor  Humphreys & Sons  pump failed which caused an overflow of approximately 3,000 gallons of liquid substance to flow directly into rock creek.  The contractor is making repairs and placing down lyme.",2008,Water Quality,Overflows
19922,01/25/2008,01/30/2008,"DEPC received a call at 0725 on the hot line from WSSC regarding a SSO at 8722 Manchester Road, Takoma Park.  WSSC reported the flow volume to be 2 gallons per minute, but none of the sewage is entering any waterway. { Map coordinates: 5408 J01}",2008,Water Quality,Overflows
19924,01/25/2008,02/11/2008,"WSSC called to report a SSO at 10424 Kardwright Ct., Gaithersburg, ADC Map 5047-F3.  The SSO is overflowing at a rate of 2 gal/min into a storm drain leading to Seneca Creek.",2008,Water Quality,Overflows
19945,01/31/2008,02/25/2008,"As reported by WSSC at 12:47 PM on 01/31/2008: An overflowing sewer manhole within the woods behind 534 Coral Reef Drive in Gaithersburg.  An estimated 5-gallons per minute is discharging from the manhole, but it is not affecting any waterways.  A WSSC crew is headed out to assess the overflow and make repairs.",2008,Water Quality,Overflows
19969,02/07/2008,02/26/2008,As reported by WSSC on 02/07/2008 at 12:01PM: - report of overflowing manhole of approximately 3 gallons per minute at 523 new york avenue in takoma park.  The overflow is draining directly unto sligo creek.,2008,Water Quality,Overflows
19983,02/15/2008,03/11/2008,"Devin McGonigal @ WSSC called:   At 1019 Quebec Terrace, Silver Spring, a clean out was found to be overflowing @ 1 gallon per minute or less.  The overflow was reportedly not entering any waterways.  The clean up of the spilled sewage is currently underway.",2008,Water Quality,Overflows
19986,02/19/2008,03/11/2008,"From the DEPC hot line recorded on 02/18/2008 at 4:37AM.   WSSC reports an overflowing manhole at 14509 Notley Road in Silver Spring.  An estimated overflow of 3 gallons per minute has resulted in a spill of approximately 600 gallons of sewage.  The overflow has been repaired.  The manhole was cleared of heavy rocks, gravel, and other debris.",2008,Water Quality,Overflows
19999,02/25/2008,04/02/2008,As reported by WSSC on 02/24/2008 at 1:27PM: - Report of overflowing manhole cover at 13504 new hampshire avenue where approximately 2 gallons of overflow is draining into nearby storm drain.  WSSC is at the site making repairs.,2008,Water Quality,Overflows
20010,02/25/2008,03/18/2008,"As reported by WSSC on 02/25/2008 at 2:00PM: - Report of overflowing manhole cover at 11805 ashley drive in rockville, this is occurring in park whereupon the overflow is draining approximately 3 gallons per minute since 12:08PM which is flowing directly into sligo creek.  A WSSC crew is headed to the site to make repairs.",2008,Water Quality,Overflows
20011,02/25/2008,02/28/2008,"As reported by WSSC on 02/25/2008 at 2:30PM: - While a WSSC crew was replacing a 20-inch sewer main pipe between 11839 thru 11869 Viers Mill rd., the pipe broke where liquid sewage drained out but then ran back down into pipe accidentally water got into hole and mixed with liquid  sewage and drained directly into Rock Creek approximately 50 gallons.  WSSC is conducting cleanup and placing down lyme.",2008,Water Quality,Overflows
20033,03/04/2008,03/04/2008,As reported by wssc at 3:35PM on 03/04/08: - Notification of manhole overflow of approximately 150 gallons of sewer caused by WSSC contractor replacing 21-inch pipe between 11839 - 11869 viers mil rd.  The contractor's action caused approximately 150 gallons of sewer to drain directly into the basement of the home located at 11859 viers mill rd..  There was no environmental impact to any water sources.,2008,Water Quality,Overflows
20044,03/10/2008,03/19/2008,Reported by WSSC on 03/09/08 at 10:19PM: An overflowing manhole at 18023 Vintage River Terrace in Olney discharged an estimated 50 gallons of dry sewage.  The spill was cleaned up.  The overflow did not effect any water resources and did not enter any storm drains.,2008,Water Quality,Overflows
20066,03/13/2008,03/27/2008,As reported by WSSC on 03/12/08 at 5:52PM: - report of overflowing manhole cover at 11101 schuylkill road in rockville where approximately 2 gallons per minute of liquids only is overflowing into rock creek.  A WSSC crew is at the site making repairs road,2008,Water Quality,Overflows
20074,03/17/2008,04/23/2008,"Referred from call tracking: - Overflow manhole. mapped 5286 case 6. Overflowing liquid only, 20 gallons per minute into creek. Crew was relieving it as the call was being made. 3/17/2008 8:30 AM. Location is 10013 Brookmoor Drive, Silver Spring",2008,Water Quality,Overflows
20091,03/20/2008,06/09/2008,"Reported by WSSC on 03/19/2008 at 3:45PM: - Report of overflowing manhole, clean-out at property located at 14735 good hope road, total quantity 5 gallons.",2008,Water Quality,Overflows
20111,03/24/2008,03/27/2008,"Reported SSO at 15 Sussex Road (ADC Map 5408-J02).  WSSC reported the overflow totaled only 5-gallons liquid and did not affect any waterway, and did not require cleanup.",2008,Water Quality,Overflows
20210,04/14/2008,04/23/2008,"Referred by greg mallick from hotline: - Report of overflowing manhole at 10715 colesville road in silver spring. Overflow manhole, total of 133 gallons on a impervious surface, no waterways were affected.",2008,Water Quality,Overflows
20236,04/16/2008,05/14/2008,"As reported by WSSC: - WORK ORDER(S): 7847783 7847767, EST DATE: 04/13/2008, DURATION: 3.35 HRS, SOURCE-OVERFLOWING MH MH10053056 WATER BODY AFFECTED-NORTHWEST BRANCH, STREET ADDRESS: 10828 CHILDS ST 20910, CAUSE: GREASE. EST OVERFLOW VOLUME: 704 GALS., UPON ARRIVAL THE CREW FOUND MANHOLE 056M OVERFLOWING AT 3.5 GALLONs PER MINUTE INTO PAINT BRANCH CREEK. THE CREW JETTED FROM MANHOLE 054M TO MANHOLE 056M 250 FEET. THEY RELIEVED HEAVY GREASE AND DEBRIS 
BLOCKAGE. LIME RAKED AREA VISIBLE SOLIDS REMOVED THE CREW THEN CLEANED THE AFFECTED GROUND AREAS, SPREAD 25 BAGS OF LIME AND POSTED SIGNS.",2008,Water Quality,Overflows
20243,04/18/2008,05/13/2008,"Referred by greg mallick from call tracking: - WSSC Sanitary overflow on 4/17/08 at 2:30 p.m. end time 1:00a.m. on 4/18/08. County contractor tore off top section of existing sewer main, sewer main was
repaired , no sewer leakage into other areas. caller did not have gallons per hour info.  Location: 903 montrose rd.",2008,Water Quality,Overflows
20264,04/24/2008,06/09/2008,"As reported by WSSC small manole overflow at 559 girard st. in gaithersburg whereupon, approximately 2 gallons per minute were overflowing.  A WSSC crew was at site makin repairs.  Location is within the city of gaithersburg, referral made.",2008,Water Quality,Overflows
20304,05/05/2008,05/29/2008,"Referred by greg mallick from hotline, reported on 05/02/08 at 11:07PM: - WSSC SSO event. Started at 6:30 P.M. . Pressure sewer that is broken with 1 and quarter inch pipe and they are repairing that sewer main. estimate of 2
gallons per minute. the location is 10421 lewis dr. damascus",2008,Water Quality,Overflows
20362,05/14/2008,05/29/2008,"Report by WSSC on 05/14/08 at 11:15AM: - report of manhole overflow at 17508 applewood lane in washington grove, the overflow is draining 1 gallon perminute and is not effecting any water sources.  A WSSC crew is at site making repairs.",2008,Water Quality,Overflows
20413,05/28/2008,06/10/2008,Reported by WSSC on 05/27/08 at 9:48PM: - report of monhole cover overflow from cleanout at property line which drained approximately 2 gallons onto grassy area and a little onto the sidewalk at the location of 621 crooked creek drive in rockville,2008,Water Quality,Overflows
20424,05/29/2008,07/25/2008,"As reported by WSSC on 05/28/908 at 9:40PM: - report of overflowing manhole cover within the 14800 block of lake terrace in rockville draining approximately 1 gallon per minute of liquid only into rock creek.  WSSC is at the site making repairs.  In the AM WSSC will place down 5 bags of lyme, and post 5 signs.",2008,Water Quality,Overflows
20433,05/30/2008,07/11/2008,Report of overflowing manhole cover at 13319 Georgia Avenue.  It is overflowing at a rate of approximately 2 gallons per minute into a stream which flows into Turkey Branch.  The overflow was reported to WSSC at 12:49 PM.  WSSC is on the scene making repairs.,2008,Water Quality,Overflows
21297,02/05/2009,02/26/2009,"Reported by WSSC: - WSSC Overflow Manhole. 3 gallons per min, it is entering stormdrain, Crew is enroute. location is: 20400 Remsbury place, montgomery village.",2009,Water Quality,Overflows
21902,06/24/2009,07/06/2009,"WSSC reported a Level One (under 10,000 gallons) SSO at the 1100 Block ROW on Bonifant Street, Silver Spring.  It was confirmed by WSSC on 6/23/09 at 1359 with an estimated flow of 2 gal/min.  WSSC Work Order #8944787, Event ID 2145.",2009,Water Quality,Overflows
20435,06/02/2008,06/30/2008,"As reported by WSSC on 05/31/08 at 10:29PM: - report of overflowing manhole cover at 10741 columbia pike in silver spring. overflow reported to WSSC at 4:43PM, cleared by 10:26PM, total overflow 3,240 gallons, hard unknown found within line, backflushed, no other clean up determined necessary.",2008,Water Quality,Overflows
20448,06/05/2008,07/11/2008,"Reported by Sam Amada of WSSC #301-206-7903 on 06/04/2008 at 6:45PM.

 Manhole overflow at the seneca waste water treatment plant, 12600 great seneca highway, germantown/20874 beginning at 4:27PM and ending at 4:47PM whereupon, an estimated 160,000 gallons overflowed from manhole into the great seneca creek just North of Riffleford road and south of great seneca highway.  The cause of overflow: a complete power failure of both feeders.",2008,Water Quality,Overflows
20451,06/05/2008,07/25/2008,"As reported by WSSc on 06/05/08: - at 11735 thru 11759 parklawn drive, rockville, 80 gallons per minute , not going into any waterway. WSSC was notified at 7:43 am. Ongoing, supervisor and crew are enroute.",2008,Water Quality,Overflows
20503,06/19/2008,06/24/2008,"Referred by the City of Rockville: - PPossible sewage overflow at the Avery Rd. Treatment Plant located at 14703 Avery Road, Rockville",2008,Water Quality,Overflows
20506,06/23/2008,07/10/2008,"From hotline reported on 06/20/08 at 8:33PM: - report of overflowing manhole at 2119 queensguard rd. in silver spring, overflowed approximately 2 galons per minute did not effect any water sources.",2008,Water Quality,Overflows
20507,06/23/2008,07/09/2008,"From hotline recorded on 06/21/08 at 8:21AM: - report of overflow of manhole at 11452 stoney point place in germantown. this was a cleanout where stoppage was removed, a total of 2 gallons.",2008,Water Quality,Overflows
20554,07/03/2008,07/31/2008,"Reported by WSSC on 07/02/08 at 7:05PM: - Report of cleanout on private property due to soft stoppage in WSSC main line.  Total overflow one (1) gallon.  the area has been raked, lymed and signs posted.  The location is 18331 leeman lake drive in olney",2008,Water Quality,Overflows
20557,07/03/2008,07/11/2008,"Reported by WSSC on 07/03/08: - WSSC/SSO event. 4908 right away on Baltan Rd. Bethesda. Started at 9:36a.m. today, ongoing, less than one gallon per minute . it is going into a stormdrain that is going into an unknown creek. crew is enroute. 7/3/2008 10:49 AM",2008,Water Quality,Overflows
20580,07/08/2008,07/16/2008,Referred by gregg malick from call tracking: - Manhole overflow total of 120 gallons into dirt hole right next to manhole. Pump was clogged because contractor was over pumping it. It has been unclogged and is ok. Location is 12500 ardennes avenue,2008,Water Quality,Overflows
20610,07/15/2008,07/31/2008,"Referred by WSSC on 07/08/2008: - WORK ORDER(S): 8074205 8073850, SSO BEGAN: 07/08/2008 10:26AM, STREAM: LITTLE FALLS, ADDRESS: 4805 RW1 FT SUMNER DRIVE, BETHESDA, 
CAUSE: GREASE, VOLUME: 1,842 GALS., UPON ARRIVAL, THE CREW FOUND TWO ON PROPERTY MANHOLES HAD OVERFLOWED A TOTAL 1842 GALLONS. WHEN THE CREW JETTED FROM MANHOLE 03U TO 02M
THEY HIT AND RELIEVED GREASE AT 985 FEET OFF PROPERTY. THE CREW ALSO
JETTED FROM MANHOLE 03U TO MANHOLE 09U AND HIT AND RELIEVED GREASE AT
250 FEET OFF PROPERTY. THE OVERFLOW ENTERED AN UNKNOWN CREEK. 1/2 BAG OF LIME WAS SPREAD OVER THE AFFECTED AREA. SIGNS POSTED: 8 POST DATE: 07/09/2008",2008,Water Quality,Overflows
20623,07/21/2008,08/26/2008,"Recieved from hotline on 07/19/2008 at 12:45PM: - report of overflowing manhole barely overflowing less than 1 gallon per minute and not effecting any water sources at 5414 wilson lane, bethesda.",2008,Water Quality,Overflows
20642,07/23/2008,07/30/2008,Reported by WSSC on 07/23/2008 at 3:35AM: - report of overflowing manhole located at 1715 lansdown way in silver spring of approximately 206 gallons total.  No other data was provided.,2008,Water Quality,Overflows
