Competitive Bid Service Area ID,Competitive Bid Service Area Name,Company Name,DBA Name,Address,Address 2,City,State,Zip,Zip Plus 4,Phone,Toll-Free Telephone,Product Category Name,Competitive Bid
,,CARELINC MEDICAL EQUIPMENT & SUPPLY CO LLC,CARELINC MEDICAL EQUIPMENT & SUPPLY,725 W STATE ST,,HASTINGS,MI,49058,,(269)945-1686,,Automatic External Defibrillators (AEDS),N
,,CARELINC MEDICAL EQUIPMENT & SUPPLY CO LLC,CARELINC MEDICAL EQUIPMENT & SUPPLY,5750 W US HIGHWAY 10,,LUDINGTON,MI,49431,,(231)843-1063,,Automatic External Defibrillators (AEDS),N
,,CARELINC MEDICAL EQUIPMENT & SUPPLY CO LLC,CARELINE MEDICAL EQUIPMENT & SUPPLY,89 54TH ST SW,,GRAND RAPIDS,MI,49548,,(616)249-2273,,Automatic External Defibrillators (AEDS),N
,,CARELINC MEDICAL EQUIPMENT & SUPPLY CO LLC,CARELINC MEDICAL EQUIPMENT& SUPPLY,205 BELL AVE,,CADILLAC,MI,49601,,(231)775-7143,,Automatic External Defibrillators (AEDS),N
,,CARELINC MEDICAL EQUIPMENT & SUPPLY CO LLC,CARELINC MEDICAL EQUIPMENT & SUPPLY,606 E MICHIGAN AVE,,JACKSON,MI,49201,,(517)789-9257,,Automatic External Defibrillators (AEDS),N
,,CARELINC MEDICAL EQUIPMENT & SUPPLY CO LLC,CARELINC MEDICAL EQUIPMENT & SUPPLY,693 E LAKEWOOD BLVD,,HOLLAND,MI,49424,,(616)392-2033,,Automatic External Defibrillators (AEDS),N
,,CARELINC MEDICAL EQUIPMENT & SUPPLY CO LLC,CARELINC MEDICAL EQUIPMENT & SUPPLY,109 PLAZA DR,STE A,WEST BRANCH,MI,48661,,(989)345-7090,,Automatic External Defibrillators (AEDS),N
,,CARELINC MEDICAL EQUIPMENT & SUPPLY CO LLC,CARELINC MEDICAL EQUIPMENT & SUPPLY,218 ENTERPRISE DR,,THREE RIVERS,MI,49093,,(269)273-5500,,Automatic External Defibrillators (AEDS),N
,,CARELINC MEDICAL EQUIPMENT & SUPPLY CO LLC,CARELINC MEDICAL EQUIPMENT & SUPPLY,1511 E CHICAGO RD,,STURGIS,MI,49091,,(269)651-3266,,Automatic External Defibrillators (AEDS),N
,,CARELINC MEDICAL EQUIPMENT & SUPPLY CO LLC,CARELINC MEDICAL EQUIPMENT & SUPPLY,1071 S BEACON BLVD,,GRAND HAVEN,MI,49417,,(616)846-0360,,Automatic External Defibrillators (AEDS),N
,,CARELINC MEDICAL EQUIPMENT & SUPPLY CO LLC,CARELINC MEDICAL EQUIPMENT & SUPPLY,2800 E HOLLAND AVE,,SAGINAW,MI,48601,,(989)746-7370,,Automatic External Defibrillators (AEDS),N
,,CARELINC MEDICAL EQUIPMENT & SUPPLY CO LLC,CARELINC MEDICAL EQUIPMENT & SUPPLY,3820 PLAZA DR,STE 1,ANN ARBOR,MI,48108,,(734)882-4390,,Automatic External Defibrillators (AEDS),N
,,CARELINC MEDICAL EQUIPMENT & SUPPLY CO LLC,CARELINC MEDICAL EQUIPMENT & SUPPLY,32345 HOWARD AVE,,MADISON HEIGHTS,MI,48071,,(248)268-6410,,Automatic External Defibrillators (AEDS),N
,,SIMPSON'S PHARMACY,SIMPSON'S PHARMACY INC,10 NEWPORT AVE,,PAWTUCKET,RI,02861,,(401)722-7600,,Automatic External Defibrillators (AEDS),N
,,M&J MEDICAL SUPPLY,M & J MEDICAL SUPPLY LLC,1034 W MAIN ST,,RAVENNA,OH,44266,,(330)297-9450,,Automatic External Defibrillators (AEDS),N
,,UNITYPOINT AT HOME,UNITYPOINT AT HOME,2180 BELTLINE HWY,,MADISON,WI,53713,,(608)417-3700,,Automatic External Defibrillators (AEDS),N
,,BETTER LIVING NOW INC,"BETTER LIVING NOW, INC",185 OSER AVE,,HAUPPAUGE,NY,11788,,(800)854-5729,,Automatic External Defibrillators (AEDS),N
,,PROSOURCE MEDICAL EQUIPMENT AND SUPPLIES,PROSOURCE MEDICAL EQUIP AND SUPPLIE,6801S EASTERN AVE,,OKLAHOMA CITY,OK,73149,,(405)691-3237,,Automatic External Defibrillators (AEDS),N
,,"1ST CHOICE IN-HOMECARE, INC.",1ST CHOICE IN-HOMECARE INC,1035 CHAMPIONS WAY,STE 200,SUFFOLK,VA,23435,,(757)496-2030,,Automatic External Defibrillators (AEDS),N
,,"1ST CHOICE IN-HOMECARE, INC.",1ST CHOICE IN-HOMECARE INC,161A JOHN JEFFERSON RD,STE 101,WILLIAMSBURG,VA,23185,,(757)496-2030,,Automatic External Defibrillators (AEDS),N
,,CHARLES DERON LEWIS,RELIABLE HEALTHCARE,310 N ADAMS ST,,CARTHAGE,TX,75633,,(903)694-2285,,Automatic External Defibrillators (AEDS),N
,,NOB HILL GENERAL STORE INC,NOB HILL #605,1700 AIRLINE HWY,,HOLLISTER,CA,95023,,(831)637-7425,,Automatic External Defibrillators (AEDS),N
,,NOB HILL GENERAL STORE INC,NOB HILL PHARMACY #628,270 REDWOOD SHORES PKWY,,REDWOOD CITY,CA,94065,,(650)631-1685,,Automatic External Defibrillators (AEDS),N
,,NOB HILL GENERAL STORE INC,NOB HILL PHARMACY #602,777 FIRST STREET,,GILROY,CA,95020,,(408)847-6777,,Automatic External Defibrillators (AEDS),N
,,NOB HILL GENERAL STORE INC,NOB HILL #607,1320 S MAIN ST,,SALINAS,CA,93901,,(831)759-2163,,Automatic External Defibrillators (AEDS),N
,,NOB HILL GENERAL STORE INC,NOB HILL PHARMACY #635,6061 SNELL AVE,,SAN JOSE,CA,95123,,(408)224-6200,,Automatic External Defibrillators (AEDS),N
,,KENNETH SAMUEL GLOVER II,KEN GLOVER DRUG,27 MIDWAY PLAZA,,DORA,AL,35062,,(205)648-9918,,Automatic External Defibrillators (AEDS),N
,,AMERICAN MEDICAL PRODUCTS,AMERICAN MEDICAL PRODUCTS,857 TRISTAR DR,STE A,WEBSTER,TX,77598,,(281)286-2224,,Automatic External Defibrillators (AEDS),N
,,"ADVANCED CARE HOME MEDICAL & OXYGEN, INC.",ADVANCED CARE HOME MEDICAL & OXYGEN,6182 S STRATLER STREET,,MURRAY,UT,84107,,(801)859-6994,,Automatic External Defibrillators (AEDS),N
,,"NIELSEN AND CYMENT, INC.","NIELSEN AND CYMENT, INC",2403 W HUNTINGTON DR,STE 100,TEMPE,AZ,85282,,(480)675-9122,,Automatic External Defibrillators (AEDS),N
,,DOC BROWNS INC,DOC BROWNS INC,2093 WANTAGH AVE,,WANTAGH,NY,11793,,(516)781-7332,,Automatic External Defibrillators (AEDS),N
,,BEL AIR MARKET INC,BEL AIR 514,7465 RUSH RIVER DR,,SACRAMENTO,CA,95831,,(916)399-9060,,Automatic External Defibrillators (AEDS),N
,,BEL AIR MARKET INC,BEL AIR PHARMACY #515,3510 PALMER DR,,CAMERON PARK,CA,95682,,(530)676-4833,,Automatic External Defibrillators (AEDS),N
,,BEL AIR MARKET INC,BEL AIR #521,1286 STABLER LN,,YUBA CITY,CA,95993,,(530)755-9917,,Automatic External Defibrillators (AEDS),N
,,BEL AIR MARKET INC,BEL AIR MARKET INC #502,4320 ARDEN WAY,,SACRAMENTO,CA,95864,,(916)972-7028,,Automatic External Defibrillators (AEDS),N
,,BEL AIR MARKET INC,BEL AIR #516,5100 LAGUNA BLVD,,ELK GROVE,CA,95758,,(916)684-7007,,Automatic External Defibrillators (AEDS),N
,,BEL AIR MARKET INC,BEL AIR #523,8425 ELK GROVE FLORIN RD,,ELK GROVE,CA,95624,,(916)681-5790,,Automatic External Defibrillators (AEDS),N
,,BEL AIR MARKET INC,BEL AIR #510,1540 W EL CAMINO AVE,,SACRAMENTO,CA,95833,,(916)920-3558,,Automatic External Defibrillators (AEDS),N
,,BEL AIR MARKET INC,BEL AIR PHARMACY #512,4008 FOOTHILLS BLVD,,ROSEVILLE,CA,95747,,(916)783-1174,,Automatic External Defibrillators (AEDS),N
,,BEL AIR MARKET INC,BEL AIR 519,7901 WALERGA RD,,ANTELOPE,CA,95843,,(916)725-6940,,Automatic External Defibrillators (AEDS),N
,,BEL AIR MARKET INC,BEL AIR MARKET INC #528,3250 ARENA BLVD,,SACRAMENTO,CA,95834,,(916)419-4442,,Automatic External Defibrillators (AEDS),N
,,SAINT ELIZABETH REGIONAL MEDICAL CENTER,SAINT ELIZABETH HOME MEDICAL EQUIPM,EAST PARK PLAZA,"200 NORTH 66TH ST, SUITE 17",LINCOLN,NE,68505,,(402)464-8755,,Automatic External Defibrillators (AEDS),N
,,BRIGHT MEDICAL TECHNOLOGY INC,BRIGHT MEDICAL TECHNOLOGY INC,2020 NAPFLE ST,,PHILADELPHIA,PA,19152,,(215)725-6337,,Automatic External Defibrillators (AEDS),N
,,K. DIAMOND PHARMACY INC.,DERMER PHARMACY AND SURGICAL,2064 FLATBUSH AVE,,BROOKLYN,NY,11234,,(917)806-4067,,Automatic External Defibrillators (AEDS),N
,,HOCKS PHARMACY INC,HOCKS MEDICAL SUPPLY,732 W NATIONAL RD,,VANDALIA,OH,45377,,(937)898-5803,,Automatic External Defibrillators (AEDS),N
,,SONOMA SURGICAL A CORP,SONOMA SURGICAL A CORP,4975 SONOMA HWY,,SANTA ROSA,CA,95409,,(707)539-5151,,Automatic External Defibrillators (AEDS),N
,,"HUFFMAN MEDICAL, INC.",HUFFMAN MEDICAL INC,2260 HARRINGTON HWY,,EDEN,NC,27288,,(336)627-0750,,Automatic External Defibrillators (AEDS),N
,,SUN COUNTRY MEDICAL EQUIPMENT INC,"SUN COUNTRY MEDICAL EQUIPMENT, INC",2019 E MISSOURI AVE,,EL PASO,TX,79903,,(915)592-4346,,Automatic External Defibrillators (AEDS),N
,,DUSARA CORPORATION,UNIVERSALMED SUPPLY,1329 W WALNUT HILL LN,STE 100,IRVING,TX,75038,,(972)228-1820,,Automatic External Defibrillators (AEDS),N
,,DUSARA CORPORATION,UNIVERSALMED SUPPLY,161 CITATION CT,STE 105,BIRMINGHAM,AL,35209,,(205)206-5600,,Automatic External Defibrillators (AEDS),N
,,CHERISH DRUGS INC,CHERISH DRUGS INC,700 E JERSEY ST,,ELIZABETH,NJ,07201,,(908)354-2060,,Automatic External Defibrillators (AEDS),N
,,GRACE MEDICAL INC,"GRACE MEDICAL, INC.",3103 N 12TH AVE,,PENSACOLA,FL,32503,,(850)476-0038,,Automatic External Defibrillators (AEDS),N
,,AEROCARE HOME MEDICAL INC,AEROCARE HOME MEDICAL INC.,3609 MEMORIAL PKWY SW,STE A2,HUNTSVILLE,AL,35801,,(256)469-3900,,Automatic External Defibrillators (AEDS),N
,,AEROCARE HOME MEDICAL INC,"AEROCARE HOME MEDICAL, INC.",6555 U S HIGHWAY 98,STE 5B,HATTIESBURG,MS,39402,,(601)450-4612,,Automatic External Defibrillators (AEDS),N
,,"ADIRONDACK APOTHECARY, LLC",SCHROON LAKE PHARMACY,1081 MAIN ST,,SCHROON LAKE,NY,12870,,(518)532-7575,,Automatic External Defibrillators (AEDS),N
,,"ADIRONDACK APOTHECARY, LLC",WILLSBORO PHARMACY,3932 NYS ROUTE 22,,WILLSBORO,NY,12996,,(518)963-8946,,Automatic External Defibrillators (AEDS),N
,,"ADIRONDACK APOTHECARY, LLC",MORIAH PHARMACY,4315 MAIN ST,,PORT HENRY,NY,12974,,(518)546-7244,,Automatic External Defibrillators (AEDS),N
,,DMEDICUS LLC,DMEDICUS LLC,1101 RIDGE RD,STE 201,ROCKWALL,TX,75087,,(469)698-0250,,Automatic External Defibrillators (AEDS),N
,,TAYLOR DRUG LLC,TAYLORS PHARMACY,123 MADISON AVE,,LAKEWOOD,NJ,08701,,(732)363-0144,,Automatic External Defibrillators (AEDS),N
,,MAAG PRESCRIPTION CENTER L.L.C.,MAAG PRESCRIPTION CENTER LLC,333 W CENTER ST,,POCATELLO,ID,83204,,(208)233-2063,,Automatic External Defibrillators (AEDS),N
,,GRACE HEALTHCARE INC,GRACE HEALTHCARE,6200 WASHINGTON AVE,,OCEAN SPRINGS,MS,39564,,(228)396-3332,,Automatic External Defibrillators (AEDS),N
,,"KTL&C, LLC",RX POSITIVE MEDICAL SUPPLY,1845W 25TH ST,,YUMA,AZ,85364,,(928)344-9301,,Automatic External Defibrillators (AEDS),N
,,"MAX MEDICAL SPECIALTIES, INC",MAX MEDICAL SPECIALTIES,116 HERITAGE PLACE DR,,JONESBOROUGH,TN,37659,,(423)913-0220,,Automatic External Defibrillators (AEDS),N
,,COMMUNITY HEALTH SYSTEMS INC,"COMMUNITY HEALTH SYSTEMS, INC.",252 RURAL ACRES DR,,BECKLEY,WV,25801,,(304)255-6800,,Automatic External Defibrillators (AEDS),N
,,GUTHRIE MEDICAL GROUP PC,GUTHRIE MEDICAL GROUP PC,1 GUTHRIE SQ,,SAYRE,PA,18840,,(570)888-5858,,Automatic External Defibrillators (AEDS),N
,,COMMUNITY MEMORIAL HEALTHCARE INC,COMMUNITY MEMORIAL MEMORIAL HEALTHC,805 BROADWAY ST,,MARYSVILLE,KS,66508,,(785)562-2858,,Automatic External Defibrillators (AEDS),N
,,"MEDICAL PRODUCTS GROUP, LLC",FAMILY HOME MEDICAL EQUIPMENT,214 E GENEVA RD,,WHEATON,IL,60187,,(630)462-6770,,Automatic External Defibrillators (AEDS),N
,,"MEDICAL PRODUCTS GROUP, LLC",FAMILY HOME MEDICAL EQUIPMENT,641 PALMYRA RD,,DIXON,IL,61021,,(815)284-9771,,Automatic External Defibrillators (AEDS),N
,,MINDEN HOMECARE EQUIPMENT & UNIFORMS,MINDEN HOMECARE EQUIPMENT & UNIFORM,106 RYANS WAY,,MINDEN,LA,71055,,(318)382-8500,,Automatic External Defibrillators (AEDS),N
,,A1 MEDICAL SUPPLIES INC,A1 MEDICAL SUPPLIES INC,7356 LAKE WORTH RD,,LAKE WORTH,FL,33467,,(561)615-1819,,Automatic External Defibrillators (AEDS),N
,,KOHLER HOMECARE PHARMACY INC,"WEBB-KOHLER PHARMACY, HME AND SUPPL",2204 PARK SPRINGS BLVD,SUITE A,ARLINGTON,TX,76013,,(817)861-4631,,Automatic External Defibrillators (AEDS),N
,,"QUALIMED RESPIRATORY AND MOBILITY, INC.",QUALIMED RESPIRATORY & MOBILITY INC,704 3RD ST SW,,WINTER HAVEN,FL,33880,,(863)293-3066,,Automatic External Defibrillators (AEDS),N
,,"O'BRIAN HEALTHCARE, INC",OBRIAN HEALTHCARE INC,1534 MALVERN AVE,STE D,HOT SPRINGS NATIONAL,AR,71901,,(501)321-9461,,Automatic External Defibrillators (AEDS),N
,,"O'BRIAN HEALTHCARE, INC",O'BRIAN HEALTHCARE INC,4318 W MARKHAM ST,STE 2,LITTLE ROCK,AR,72205,,(501)570-0461,,Automatic External Defibrillators (AEDS),N
,,ASHLI HEALTHCARE INC,"ASHLI HEALTHCARE, INC",2201 ZEUS COURT,,BAKERSFIELD,CA,93308,,(888)831-7977,,Automatic External Defibrillators (AEDS),N
,,ASHLI HEALTHCARE INC,ASHLI HEALTHCARE INC,323 WEST CROMWELL AVENUE,SUITE 117,FRESNO,CA,93711,,(888)831-7977,,Automatic External Defibrillators (AEDS),N
,,ASHLI HEALTHCARE INC,ASHLI HEALTHCARE INC,9484 CHESAPEAKE DR,SUITE 807,SAN DIEGO,CA,92123,,(888)831-7977,,Automatic External Defibrillators (AEDS),N
,,DUTTA LLC,HEALTHMED PHARMACY,1839 CENTRAL AVE,,SAINT PETERSBURG,FL,33713,,(727)894-3001,,Automatic External Defibrillators (AEDS),N
,,AVICURE PHARMACY INC,NEW LIFE PHARMACY,1722 DESIRE AVE 103,,ROWLAND HEIGHTS,CA,91748,,(626)839-3000,,Automatic External Defibrillators (AEDS),N
,,CARE MEDICAL ATLANTA LLC,CARE MEDICAL ATLANTA,3145C GATEWAY DR,STE 301,PEACHTREE CORNERS,GA,30071,,(770)497-9092,,Automatic External Defibrillators (AEDS),N
,,DASCO-UNION HOSPITAL HOME MEDICAL EQUIPMENT,DASCO HOME MEDICAL EQUIPMENT,101 HOSPITAL DR,STE B,DOVER,OH,44622,,(330)602-2400,,Automatic External Defibrillators (AEDS),N
,,HOBOKEN DRUGS,HOBOKEN FAMILY PHARMACY,307 1ST ST,,HOBOKEN,NJ,07030,,(201)420-7777,,Automatic External Defibrillators (AEDS),N
,,"EXPRESS MEDICAL SUPPLY, INC","EXPRESS MEDICAL SUPPLY, INC",1801 SAINT ALBANS DR,STE G,RALEIGH,NC,27609,,(919)876-4949,,Automatic External Defibrillators (AEDS),N
,,MEDICAL DECISION LLC,MEDICAL DECISION SERVICES,2890 W STATE RD 84,STE 102,FORT LAUDERDALE,FL,33312,,(954)772-1631,,Automatic External Defibrillators (AEDS),N
,,NORTH CENTRAL MEDICAL SUPPLY INC,NORTH CENTRAL MEDICAL SUPPLY INC,314 CHARLES ST,,BRAINERD,MN,56401,,(218)825-7331,,Automatic External Defibrillators (AEDS),N
,,A 1 DME LLC,A-1 DISCOUNT PHARMACY,1322 W THOMAS STREET,,HAMMOND,LA,70401,,(985)345-5044,,Automatic External Defibrillators (AEDS),N
,,SHASKA PHARMACY LLC,SHASKA PHARMACY LLC,37672 PROFESSIONAL CENTER DR,STE 130B,LIVONIA,MI,48154,,(734)432-2015,,Automatic External Defibrillators (AEDS),N
,,STATE MEDICAL EQUIPMENT LIMITED LIABILITY COMPANY,STATE MEDICAL EQUIPMENT LIMITED LIA,3950 E SUNSET RD,STE 112,LAS VEGAS,NV,89120,,(702)538-9555,,Automatic External Defibrillators (AEDS),N
,,RAPID REHAB LLC,RAPID REHAB LLC,2660 8TH ST S,STE 101,WISCONSIN RAPIDS,WI,54494,,(715)423-2084,,Automatic External Defibrillators (AEDS),N
,,MAYO FOUNDATION FOR MEDICAL EDUCATION & RESEARCH,MAYO CLINIC STORE MIDELFORT,1400 BELLINGER ST,STE 3,EAU CLAIRE,WI,54703,,(715)838-1815,,Automatic External Defibrillators (AEDS),N
,,MAYO FOUNDATION FOR MEDICAL EDUCATION & RESEARCH,MAYO CLINIC STORE - WESTGATE,1707 WESTGATE RD,STE 2,EAU CLAIRE,WI,54703,,(715)838-1815,,Automatic External Defibrillators (AEDS),N
,,CARE MEDICAL SAVANNAH LLC,CARE MEDICAL SAVANNAH LLC,4821 WATERS AVE,,SAVANNAH,GA,31404,,(912)355-3446,,Automatic External Defibrillators (AEDS),N
,,"RAC & ASSOCIATES, INC.",SPECIAL CARE,9541 RIDGEHAVEN CT,,SAN DIEGO,CA,92123,,(858)694-5800,,Automatic External Defibrillators (AEDS),N
,,MEDWIZ SOLUTIONS LLC,MEDWIZ SOLUTIONS LLC,167 ROUTE 304,,BARDONIA,NY,10954,,(845)624-8080,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,1 PERIMETER RD 500,,MANCHESTER,NH,03103,,(603)518-2400,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE INC,1515 BLAIRS FERRY RD,STE B,MARION,IA,52302,,(319)377-3199,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,2600 PERIMETER PARK DR 100,,MORRISVILLE,NC,27560,,(919)380-1180,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,4859 CUMBERLAND RD,,FAYETTEVILLE,NC,28306,,(910)426-4000,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,100 DOWD RD,,BANGOR,ME,04401,,(207)942-5579,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,1824 PROGRESS RD,,GREENVILLE,NC,27834,,(252)757-1727,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,3845 SHOPTON RD 300,,CHARLOTTE,NC,28217,,(704)588-8556,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,919 SWEENEY DR,,HAGERSTOWN,MD,21740,,(301)791-5500,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,155 N DONNERVILLE RD,STE 2,MOUNTVILLE,PA,17554,,(717)285-7805,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,1409 N MOUNT AUBURN RD,STE A,CAPE GIRARDEAU,MO,63701,,(573)334-4207,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,141 GLENN BRIDGE RD,,ARDEN,NC,28704,,(828)684-9981,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,225 LAKE DR,,NEWARK,DE,19702,,(302)737-7979,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE INC,2400 PIERCE ST,,SIOUX CITY,IA,51104,,(712)255-1555,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,1207W VETERANS PKWY 3,,MARSHFIELD,WI,54449,,(715)384-0088,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,7370 EASTGATE ROAD,SUITES 140 AND 145,HENDERSON,NV,89011,,(702)736-4466,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE INC,100 OXMOOR RD,STE 104,BIRMINGHAM,AL,35209,,(205)942-4702,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,4642 WEST 12TH ST,SUITES 2&3,ERIE,PA,16505,,(814)454-5995,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,775E LINTON AVE,,SPRINGFIELD,IL,62703,,(217)789-0461,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,3229 SUNSET BLVD C,,WEST COLUMBIA,SC,29169,,(803)786-6900,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,2029 LYONS RD,,MIAMISBURG,OH,45342,,(937)312-9298,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,2540 OSCAR JOHNSON DR,,NORTH CHARLESTON,SC,29405,,(843)747-0341,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,5324 GEORGIA HIGHWAY 85,STE 200,FOREST PARK,GA,30297,,(404)479-4922,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,141 BERNOULLI CIR,,OXNARD,CA,93030,,(805)983-0926,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,325A INGLESBY PKWY,,DUNCAN,SC,29334,,(864)433-0615,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,612 BEATTY RD,STE D,MONROEVILLE,PA,15146,,(412)373-1603,,Automatic External Defibrillators (AEDS),N
,,VEDNORZA,RED APPLE PHARMACY,1135 MAIN AVE,,CLIFTON,NJ,07011,,(862)400-7075,,Automatic External Defibrillators (AEDS),N
,,"U.S. MEDICAL PRODUCTS, LLC",US MEDICAL EQUIPMENT & SUPPLY,4010 BLADENSBURG RD,,BRENTWOOD,MD,20722,,(240)770-4467,,Automatic External Defibrillators (AEDS),N
