Reporting Area,MMWR Year,MMWR Week,"Gonorrhea, Current week","Gonorrhea, Current week, flag","Gonorrhea, Previous 52 weeks Max†","Gonorrhea, Previous 52 weeks Max†, flag","Gonorrhea, Cum 2020†","Gonorrhea, Cum 2020†, flag","Gonorrhea, Cum 2019†","Gonorrhea, Cum 2019†, flag","Haemophilus influenza, invasive disease, All ages, all serotypes, Current week","Haemophilus influenza, invasive disease, All ages, all serotypes, Current week, flag","Haemophilus influenza, invasive disease, All ages, all serotypes, Previous 52 weeks Max†","Haemophilus influenza, invasive disease, All ages, all serotypes, Previous 52 weeks Max†, flag","Haemophilus influenza, invasive disease, All ages, all serotypes, Cum 2020†","Haemophilus influenza, invasive disease, All ages, all serotypes, Cum 2020†, flag","Haemophilus influenza, invasive disease, All ages, all serotypes, Cum 2019†","Haemophilus influenza, invasive disease, All ages, all serotypes, Cum 2019†, flag","Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Current week","Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Current week, flag","Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Previous 52 weeks Max†","Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Previous 52 weeks Max†, flag","Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Cum 2020†","Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Cum 2020†, flag","Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Cum 2019†","Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
WASHINGTON,2020,1,152,,321,,152,,171,,,-,13,,,-,,-,,-,0,,,-,,-,WASHINGTON,,20200162,POINT (-120.592492 47.411715)
NORTHERN MARIANA ISLANDS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200165,POINT (145.725693 15.1834)
ARKANSAS,2020,1,,-,174,,,-,124,,,-,8,,,-,,-,,-,0,,,-,,-,ARKANSAS,,20200144,POINT (-92.439162 34.899825)
SOUTH CAROLINA,2020,1,,-,367,,,-,273,,,-,8,,,-,4,,,-,0,,,-,,-,SOUTH CAROLINA,,20200135,POINT (-80.864614 33.878572)
WEST SOUTH CENTRAL,2020,1,93,,1324,,93,,1099,,,-,71,,,-,4,,,-,1,,,-,,-,,WEST SOUTH CENTRAL,20200143,
NEW JERSEY,2020,1,49,,249,,49,,160,,,-,7,,,-,7,,,-,0,,,-,,-,NEW JERSEY,,20200110,POINT (-74.655514 40.110253)
NEBRASKA,2020,1,,-,80,,,-,42,,1,,3,,1,,2,,,-,0,,,-,,-,NEBRASKA,,20200125,POINT (-99.810595 41.527099)
WISCONSIN,2020,1,101,,241,,101,,136,,,-,5,,,-,2,,,-,1,,,-,,-,WISCONSIN,,20200119,POINT (-89.732969 44.639954)
PUERTO RICO,2020,1,,-,17,,,-,4,,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200167,POINT (-66.414655 18.215692)
CALIFORNIA,2020,1,83,,1779,,83,,1352,,,-,5,,,-,,-,,-,0,,,-,,-,CALIFORNIA,,20200159,POINT (-119.662127 37.211164)
SOUTH ATLANTIC,2020,1,459,,2706,,459,,1831,,16,,43,,16,,25,,,-,1,,,-,,-,,SOUTH ATLANTIC,20200128,
MISSISSIPPI,2020,1,,-,310,,,-,175,,1,,5,,1,,1,,,-,1,,,-,,-,MISSISSIPPI,,20200141,POINT (-89.65344 32.713378)
IOWA,2020,1,15,,130,,15,,110,,,-,1,,,-,,-,,-,0,,,-,,-,IOWA,,20200121,POINT (-93.500061 42.074659)
WEST VIRGINIA,2020,1,,-,146,,,-,5,,,-,4,,,-,3,,,-,0,,,-,,-,WEST VIRGINIA,,20200137,POINT (-80.613729 38.642579000000005)
PACIFIC,2020,1,333,,2235,,333,,1650,,,-,16,,,-,3,,,-,1,,,-,,-,,PACIFIC,20200157,
OREGON,2020,1,98,,158,,98,,46,,,-,6,,,-,2,,,-,0,,,-,,-,OREGON,,20200161,POINT (-120.60527899999998 43.940449)
MIDDLE ATLANTIC,2020,1,475,,1533,,475,,989,,8,,31,,8,,19,,,-,1,,,-,,-,,MIDDLE ATLANTIC,20200109,
ILLINOIS,2020,1,,-,567,,,-,331,,,-,11,,,-,5,,,-,0,,,-,,-,ILLINOIS,,20200115,POINT (-89.148632 40.124144)
EAST NORTH CENTRAL,2020,1,350,,2050,,350,,1312,,12,,37,,12,,25,,,-,2,,,-,,-,,EAST NORTH CENTRAL,20200114,
MAINE,2020,4,,-,27,,15,,47,,,-,4,,1,,2,,,-,0,,,-,,-,MAINE,,20200404,POINT (-69.06137 45.117911)
RHODE ISLAND,2020,4,,-,77,,39,,12,,,-,4,,,-,2,,,-,0,,,-,,-,RHODE ISLAND,,20200407,POINT (-71.534637 41.572574)
VERMONT,2020,4,,-,8,,11,,2,,,-,4,,2,,,-,,-,0,,,-,,-,VERMONT,,20200408,POINT (-72.662695 44.075252)
NEW JERSEY,2020,4,120,,249,,677,,739,,,-,6,,3,,11,,,-,0,,,-,,-,NEW JERSEY,,20200410,POINT (-74.655514 40.110253)
PENNSYLVANIA,2020,4,273,,396,,1309,,1298,,,-,13,,27,,31,,,-,0,,,-,,-,PENNSYLVANIA,,20200413,POINT (-77.838886 40.896694)
EAST NORTH CENTRAL,2020,4,512,,2108,,3565,,6925,,5,,32,,66,,96,,,-,2,,,-,,-,,EAST NORTH CENTRAL,20200414,
GUAM,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201566,POINT (144.653198 13.3532)
US RESIDENTS,2020,1,2111,,12224,,2111,,9169,,51,,233,,51,,113,,,-,3,,,-,,-,,US RESIDENTS,20200101,
DELAWARE,2020,1,,-,59,,,-,59,,,-,3,,,-,1,,,-,0,,,-,,-,DELAWARE,,20200129,POINT (-75.452394 38.994926)
MASSACHUSETTS,2020,1,,-,187,,,-,140,,,-,7,,,-,2,,,-,0,,,-,,-,MASSACHUSETTS,,20200105,POINT (-71.481104 42.151077)
OKLAHOMA,2020,1,15,,229,,15,,117,,,-,15,,,-,1,,,-,0,,,-,,-,OKLAHOMA,,20200146,POINT (-97.508297 35.583449)
MICHIGAN,2020,1,29,,462,,29,,300,,,-,8,,,-,4,,,-,0,,,-,,-,MICHIGAN,,20200117,POINT (-85.730977 44.874798)
COLORADO,2020,1,126,,277,,126,,148,,,-,8,,,-,3,,,-,0,,,-,,-,COLORADO,,20200150,POINT (-105.547832 38.998552)
MARYLAND,2020,1,16,,280,,16,,188,,3,,7,,3,,2,,,-,1,,,-,,-,MARYLAND,,20200133,POINT (-76.68728200000001 38.946466)
NEVADA,2020,1,,-,140,,,-,103,,,-,4,,,-,,-,,-,0,,,-,,-,NEVADA,,20200153,POINT (-114.916992 39.283294)
RHODE ISLAND,2020,1,,-,139,,,-,1,,,-,4,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20200107,POINT (-71.534637 41.572574)
ALABAMA,2020,1,83,,371,,83,,257,,1,,6,,1,,3,,,-,0,,,-,,-,ALABAMA,,20200139,POINT (-86.844516 32.756889)
LOUISIANA,2020,1,78,,311,,78,,205,,,-,8,,,-,2,,,-,0,,,-,,-,LOUISIANA,,20200145,POINT (-91.840238 30.921313999999995)
WEST NORTH CENTRAL,2020,1,179,,859,,179,,701,,2,,12,,2,,10,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20200120,
IDAHO,2020,1,,-,52,,,-,24,,,-,3,,,-,,-,,-,0,,,-,,-,IDAHO,,20200151,POINT (-114.659366 44.389073)
NEW HAMPSHIRE,2020,1,,-,20,,,-,12,,,-,3,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,20200106,POINT (-71.57139000000001 43.680429)
MINNESOTA,2020,1,,-,210,,,-,136,,,-,6,,,-,1,,,-,0,,,-,,-,MINNESOTA,,20200123,POINT (-94.198308 46.349153)
MISSOURI,2020,1,164,,379,,164,,248,,1,,7,,1,,4,,,-,0,,,-,,-,MISSOURI,,20200124,POINT (-92.477244 38.3675)
NORTH DAKOTA,2020,1,,-,43,,,-,28,,,-,2,,,-,2,,,-,0,,,-,,-,NORTH DAKOTA,,20200126,POINT (-100.46931 47.446305)
UTAH,2020,1,,-,75,,,-,45,,,-,5,,,-,2,,,-,0,,,-,,-,UTAH,,20200155,POINT (-111.678222 39.323779)
GEORGIA,2020,1,,-,503,,,-,386,,,-,13,,,-,7,,,-,0,,,-,,-,GEORGIA,,20200132,POINT (-83.426574 32.638481)
KENTUCKY,2020,1,,-,1730,,,-,8,,,-,9,,,-,1,,,-,0,,,-,,-,KENTUCKY,,20200140,POINT (-85.290484 37.526683)
GUAM,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200166,POINT (144.653198 13.353200000000001)
TENNESSEE,2020,1,,-,389,,,-,240,,,-,9,,,-,5,,,-,0,,,-,,-,TENNESSEE,,20200142,POINT (-86.343226 35.842998)
MOUNTAIN,2020,1,137,,930,,137,,671,,11,,20,,11,,14,,,-,1,,,-,,-,,MOUNTAIN,20200148,
TEXAS,2020,1,,-,804,,,-,653,,,-,45,,,-,1,,,-,1,,,-,,-,TEXAS,,20200147,POINT (-99.317341 31.447238)
KANSAS,2020,1,,-,120,,,-,97,,,-,3,,,-,,-,,-,0,,,-,,-,KANSAS,,20200122,POINT (-98.38018 38.484729)
VERMONT,2020,1,,-,7,,,-,1,,,-,4,,,-,,-,,-,0,,,-,,-,VERMONT,,20200108,POINT (-72.662695 44.075252)
MONTANA,2020,1,,-,57,,,-,20,,,-,4,,,-,1,,,-,0,,,-,,-,MONTANA,,20200152,POINT (-109.645127 47.033521)
U.S. VIRGIN ISLANDS,2020,1,,-,0,,,-,,-,,N,,NC,,N,,N,,-,0,,,-,,-,VIRGIN ISLANDS,,20200168,POINT (-64.840836 18.060868)
MAINE,2020,1,2,,23,,2,,5,,,-,4,,,-,,-,,-,0,,,-,,-,MAINE,,20200104,POINT (-69.06137 45.117911)
INDIANA,2020,1,,-,299,,,-,104,,,-,8,,,-,3,,,-,0,,,-,,-,INDIANA,,20200116,POINT (-86.2818 39.91999100000001)
AMERICAN SAMOA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200164,
NEW ENGLAND,2020,1,2,,365,,2,,236,,,-,11,,,-,3,,,-,0,,,-,,-,,NEW ENGLAND,20200102,
HAWAII,2020,1,,-,40,,,-,33,,,-,3,,,-,1,,,-,0,,,-,,-,HAWAII,,20200160,POINT (-157.854309 21.361013)
OHIO,2020,1,220,,598,,220,,441,,12,,16,,12,,11,,,-,1,,,-,,-,OHIO,,20200118,POINT (-82.70936 40.41553400000001)
CONNECTICUT,2020,1,,-,111,,,-,77,,,-,4,,,-,1,,,-,0,,,-,,-,CONNECTICUT,,20200103,POINT (-72.738288 41.575155)
EAST SOUTH CENTRAL,2020,1,83,,2266,,83,,680,,2,,18,,2,,10,,,-,1,,,-,,-,,EAST SOUTH CENTRAL,20200138,
NEW YORK CITY,2020,1,195,,714,,195,,497,,2,,8,,2,,2,,,-,0,,,-,,-,,NEW YORK CITY,20200112,
NEW YORK,2020,1,21,,320,,21,,45,,,-,18,,,-,,-,,-,1,,,-,,-,NEW YORK,,20200111,POINT (-75.59655 42.921241)
NEW MEXICO,2020,1,10,,123,,10,,80,,3,,3,,3,,3,,,-,0,,,-,,-,NEW MEXICO,,20200154,POINT (-106.108388 34.421369)
SOUTH DAKOTA,2020,1,,-,57,,,-,40,,,-,2,,,-,1,,,-,0,,,-,,-,SOUTH DAKOTA,,20200127,POINT (-100.230491 44.43614)
NORTH CAROLINA,2020,1,,-,590,,,-,439,,,-,11,,,-,2,,,-,0,,,-,,-,NORTH CAROLINA,,20200134,POINT (-79.130883 35.52603)
DISTRICT OF COLUMBIA,2020,1,11,,126,,11,,75,,,-,1,,,-,1,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200130,POINT (-77.016275 38.904785)
VIRGINIA,2020,1,216,,353,,216,,179,,1,,13,,1,,,-,,-,0,,,-,,-,VIRGINIA,,20200136,POINT (-78.666382 37.510861)
WYOMING,2020,1,,-,16,,,-,6,,,-,2,,,-,,-,,-,0,,,-,,-,WYOMING,,20200156,POINT (-107.55145000000002 42.999627)
ALASKA,2020,1,,-,59,,,-,48,,,-,3,,,-,,-,,-,1,,,-,,-,ALASKA,,20200158,POINT (-151.631889 63.631125999999995)
PENNSYLVANIA,2020,1,210,,387,,210,,287,,6,,12,,6,,10,,,-,0,,,-,,-,PENNSYLVANIA,,20200113,POINT (-77.838886 40.896694)
ARIZONA,2020,1,1,,356,,1,,245,,8,,9,,8,,5,,,-,1,,,-,,-,ARIZONA,,20200149,POINT (-111.664616 34.293239)
NON-US RESIDENTS,2020,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200169,
FLORIDA,2020,1,216,,863,,216,,227,,12,,26,,12,,5,,,-,0,,,-,,-,FLORIDA,,20200131,POINT (-82.42097800000002 28.260731)
US RESIDENTS,2020,2,4111,,12339,,8739,,21618,,72,,161,,169,,273,,,-,3,,,-,,-,,US RESIDENTS,20200201,
PACIFIC,2020,2,465,,2235,,1585,,3885,,2,,10,,9,,10,,,-,1,,,-,,-,,PACIFIC,20200257,
ILLINOIS,2020,4,30,,625,,235,,2073,,,-,11,,9,,20,,,-,0,,,-,,-,ILLINOIS,,20200415,POINT (-89.148632 40.124144)
OHIO,2020,4,303,,598,,1810,,2006,,5,,16,,38,,34,,,-,1,,,-,,-,OHIO,,20200418,POINT (-82.70936 40.415534)
IOWA,2020,4,19,,130,,254,,440,,,-,1,,,-,,-,,-,0,,,-,,-,IOWA,,20200421,POINT (-93.500061 42.074659)
KANSAS,2020,4,,-,120,,,-,440,,,-,2,,,-,,-,,-,0,,,-,,-,KANSAS,,20200422,POINT (-98.38018 38.484729)
MINNESOTA,2020,4,,-,212,,,-,654,,,-,6,,,-,1,,,-,0,,,-,,-,MINNESOTA,,20200423,POINT (-94.198308 46.349153)
NEBRASKA,2020,4,27,,81,,107,,214,,2,,3,,7,,3,,,-,0,,,-,,-,NEBRASKA,,20200425,POINT (-99.810595 41.527099)
NORTH DAKOTA,2020,4,,-,43,,,-,138,,,-,2,,,-,2,,,-,0,,,-,,-,NORTH DAKOTA,,20200426,POINT (-100.46931 47.446305)
SOUTH ATLANTIC,2020,4,894,,2745,,4911,,9564,,9,,42,,76,,123,,,-,1,,,-,,-,,SOUTH ATLANTIC,20200428,
DELAWARE,2020,4,,-,59,,,-,168,,,-,3,,,-,2,,,-,0,,,-,,-,DELAWARE,,20200429,POINT (-75.452394 38.994926)
DISTRICT OF COLUMBIA,2020,4,7,,109,,287,,388,,,-,1,,,-,2,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200430,POINT (-77.016275 38.904785)
MARYLAND,2020,4,12,,282,,409,,785,,1,,6,,9,,18,,,-,1,,,-,,-,MARYLAND,,20200433,POINT (-76.687282 38.946466)
NORTH CAROLINA,2020,4,,-,590,,,-,2052,,,-,11,,4,,16,,,-,0,,,-,,-,NORTH CAROLINA,,20200434,POINT (-79.130883 35.52603)
SOUTH CAROLINA,2020,4,,-,367,,,-,1116,,,-,8,,7,,8,,,-,0,,,-,,-,SOUTH CAROLINA,,20200435,POINT (-80.864614 33.878572)
VIRGINIA,2020,4,332,,353,,1128,,1025,,1,,9,,11,,15,,,-,0,,,-,,-,VIRGINIA,,20200436,POINT (-78.666382 37.510861)
EAST SOUTH CENTRAL,2020,4,403,,1231,,2137,,3516,,2,,20,,40,,46,,,-,1,,1,,,-,,EAST SOUTH CENTRAL,20200438,
ALABAMA,2020,4,203,,377,,727,,1104,,,-,6,,7,,12,,,-,0,,,-,,-,ALABAMA,,20200439,POINT (-86.844516 32.756889)
KENTUCKY,2020,4,,-,259,,,-,258,,1,,9,,14,,7,,,-,1,,1,,,-,KENTUCKY,,20200440,POINT (-85.290484 37.526683)
TENNESSEE,2020,4,86,,393,,730,,1195,,,-,9,,14,,19,,,-,0,,,-,,-,TENNESSEE,,20200442,POINT (-86.343226 35.842998)
WEST SOUTH CENTRAL,2020,4,110,,1294,,1774,,4695,,11,,33,,41,,41,,,-,1,,,-,1,,,WEST SOUTH CENTRAL,20200443,
LOUISIANA,2020,4,80,,314,,834,,953,,,-,8,,4,,12,,,-,0,,,-,,-,LOUISIANA,,20200445,POINT (-91.840238 30.921314)
OKLAHOMA,2020,4,27,,229,,338,,600,,3,,5,,12,,7,,,-,0,,,-,,-,OKLAHOMA,,20200446,POINT (-97.508297 35.583449)
