PEPID,Inspection ID,Observation,Comments
25666,116727,Homeless persons present," homeless male sleeping on grass in natural area next to West Dr ,north of park."
25674,116729,Overcrowding in popular areas,Overcrowding in popular areas at lawns adjacet to paths near sidewalks.
25667,116729,Smoking/cigarette butts inside park,Patron smoking cigarette inside park.
25668,116729,Other patron complaints or suggestions,Patron complained about female restroom always littered on Sundays without frequent cleaning.
25673,116730,Overcrowding in popular areas,Overcrowding in popular areas at Wingate playground.
25669,116730,Smoking/cigarette butts inside park,Patrons smoking cigarette inside park.
25670,116730,Alcohol use,Patrons in possesion of alcohol inside park. Approached by PEP officers at site.
25671,116731,Smoking/cigarette butts inside park,Patron smoking cigarette inside park
25664,116715,Homeless persons present,two homeless females sleeping on benches in Stage area along Bradhurst Ave upper level.
25663,116716,Smoking/cigarette butts inside park,Patron smoking cigarette inside park.
25660,116646,Homeless persons present,Homeless man sleeping on bench near bandshell
25661,116647,Smoking/cigarette butts inside park,people smoking in natural area
25662,116660,Other patron complaints or suggestions,Patrons request a restroom. Playground used by smaller children & parents. They travel from a distance to get there & would like a restroom.
25654,116633,Drug use,syringe + multiple caps present throughout plgd.
25655,116633,Homeless persons present,Multiple people sleeping on benches.
25656,116633,Large asphalt spaces with no markings or play equipment,Area outside tennis courts empty.
25657,116633,Drainage issues/standing water,Area around sprinkler basin pooling water.
25658,116637,Drug use,"Large amount of syringes and other heroin paraphernalia (100+ caps) found in multiple places throughout zone, heavy concentration in rocky outcropping area above Zone 1 track."
25659,116637,Homeless (or other) encampment,Multiple small encampments in natural area in eastern side of zone overlooking Zone 1 track + BF.
25653,116607,Unsightly paint or repair,on HBCT.
25652,116587,Homeless persons present,One female homeless person sitting on benches along Myrtle Ave.
25649,116583,Homeless persons present,Two homeless males sleeping on benches along Walton Ave near Fountain.
25650,116584,Homeless persons present,Two homeless males sleeping on benches next to handball courts.
25651,116586,Homeless persons present,two homeless males sleeping on benches along path west of park next to ballfield & picnic area.
25647,116579,Drainage issues/standing water,Sprinkler pooling around drains and J-Swings before flowing into street.
25648,116581,Unsightly paint or repair,Unsightly paint on New Adventure inside playground.
25644,116554,Unleashed dogs,in makeshift dog run near Wilson Ave.
25646,116565,Homeless persons present,4 homeless males sleeping on benches.
25643,116526,Smoking/cigarette butts inside park,Patron smoking cigarette inside playground.
25645,116492,Homeless persons present,Also with evidence of sleeping/camp sites.
25639,116503,Homeless (or other) encampment,Homeless male sleeping on stairs along building on Bruckner Expwy & E 163rd St.
25640,116510,Unleashed dogs,one unleashed dog on AF
25641,116513,Unleashed dogs,two dogs unleashed
25633,116462,Unsightly paint or repair,uneven paint cover on HBCT.
25642,116464,Other structural or usage issues,Damaged sprinkler head leaking water along path near waterfront access.
25634,116470,Unsightly paint or repair,Black paint in HBCT area.
25635,116471,Drug use,Multiple patrons smoking marijuana throughout entire park.  Other patrons obviously intoxicated.
25636,116471,Homeless persons present,Throughout site.
25637,116471,Alcohol use,Multiple patrons seen drinking throughout site.
25638,116484,Areas/equipment being used other than intended,far end of site being used to park motorcycles
25629,116448,Smoking/cigarette butts inside park,Cigarette butts inside park.
25630,116449,Smoking/cigarette butts inside park,Cigarette butts inside park adjacent comfort station.
25626,116436,Public urination/defecation,Patron urinating on lawns adjacent to wrought iron fence east of ballfield.
25627,116438,Alcohol use,Alcohol use by patrons at the park.
25624,116439,Smoking/cigarette butts inside park,Patrons smoking cigarette inside park.
25628,116440,Unleashed dogs,"Multiple dogs off leash throughout zone (in asphalt MPPA, ballfields, and most lawns)."
25623,116408,Homeless persons present,in & adj small structure @ Hillside Av.
25631,116423,Homeless (or other) encampment,"n/o GWB, in sliver of natural area btw southbound HH Pkwy and Amtrak"
25632,116423,Homeless (or other) encampment,right next to historical redoubt marker
25620,116395,Unleashed dogs,several unleashed dogs throughout zone
25621,116395,Other enforcement issues,patrons riding bicycles along N/S path back & forth from 146 St/56 Av to Colden St & Laburnum Av
25622,116395,Homeless (or other) encampment,encampment in natural area
25617,116367,Homeless persons present,Homeless man in fenced off natural area
25618,116373,Other inspector suggestions for improving site,"Inspector suggests installing a taller fence along the path that closely parallels the left field foul line of AF # 7, in order to block patrons from being hit with foul balls"
25609,116339,Smoking/cigarette butts inside park,teenagers @ C&CTS
25619,116348,Drainage issues/standing water,On path adjacent lawns along south side of Forest Avenue.
25615,116351,Amplified sound,Patron blasting music from their car into picnic area (actually had large speakers set up).
25616,116351,Other inspector suggestions for improving site,"Metal cans for coals were lined with plastic bags so patrons weren't using them (dumping coals instead). Also, these cans should have stencil saying 'hot coals only' to make it clearer."
25611,116353,Other enforcement issues,Bikers not using designated bike lane
25612,116354,Other enforcement issues,Bikers not using designated bike lane
25614,116358,Homeless persons present, One male homeless person sleeping on benches along Broadway &  W 147th St.
25602,116303,Drainage issues/standing water,On BBCT adj Lynch St.
25603,116303,Illegal vehicles/dirt bikes,Buses parked on SW from adj school.
25604,116311,Other patron complaints or suggestions,Patrons request K-Swings be installed (site only has J and tire swings)
25605,116311,Unsightly paint or repair,on BBCT.
25606,116331,Other enforcement issues,Dog in playground
25600,116287,Homeless persons present,Sleeping in lawn area along St Nichloas Ave btwn W 121 & W 120th Sts under a tree.
25601,116288,Homeless persons present,Sleeping on benches along St Nicholas Ave btwn W 134th & W135th Sts.
25599,116273,Smoking/cigarette butts inside park,one person smoking on the steps first landing
25596,116242,Homeless persons present,Man sleeping on play equipment.
26063,119273,Other inspector suggestions for improving site,Inspector suggests garbage cans at BX15 bus stop at 125th St. & 1st ave.
26068,119318,Homeless persons present,One male sleeping on rocks north side of zone.
25593,116225,Homeless persons present,Homeless person in section n/o main entrance.
25594,116227,Other staff complaints or suggestions,"Mall maintenance crew requests metal handlebars for wood barricades at entrance on Gateway Dr, stating that they're too heavy for one person to lift."
25591,116218,Drainage issues/standing water,"One BBQ grill and surrounding area was completely flooded and inaccessible, other areas appeared marshy."
25592,116218,Unsightly paint or repair,highly contrasting graffiti cover on grand staircase below mansion.
25590,116210,Other patron complaints or suggestions,Patron complained about inadequate Comfort stations.
25588,116198,Other enforcement issues,Unauthorized signs on CLF at corner of Rockaway Blvd and Baisley Park Blvd.
25589,116202,Other enforcement issues,illegal posters on trees and lampposts throughout park
25586,116177,Unsightly paint or repair,contrasting paint cover on HBCT and overpass at greenway bike path adj HBCT.
25587,116183,Unleashed dogs,multiple dogs along Croton Trail.
25583,116160,Unsightly paint or repair,contrasting paint cover on dashing boards.  Inappropriate paint cover on bleachers.
25584,116175,Homeless persons present,many homeless persons throughout park sleeping on benches
25580,116143,Drainage issues/standing water,Severe flooding at west side of track near triple jump pit.
25575,116113,Homeless persons present,several homeless men drinking & smoking  on benches
25576,116113,Alcohol use,several homeless men drinking & smoking  on benches
25577,116113,Smoking/cigarette butts inside park,several homeless men drinking & smoking  on benches
25582,116114,Unleashed dogs,One unleashed dog
25579,116118,Homeless (or other) encampment,"Many transient encampments throughout natural area s/o ballfields and Silent Springs plgd, especially on north side of Geranium Ave path"
25574,116091,Drainage issues/standing water,on west side of bridge.
25571,116058,Unsightly paint or repair,Brick wall
26061,119269,Unsightly paint or repair,Wrong color on BBCT
26094,119607,Innovative solution being used,"""Corner Project,"" local opioid-prevention organization, has a booth located in zone along Amsterdam Ave.  They provide important resources to users in this zone."
26088,119536,Unleashed dogs,one unleashed dog
26067,119318,Drug use,Two males at north side of zone adj rock formation.
26118,119705,Homeless (or other) encampment,Shopping cart within natural area present.
25572,116064,Homeless (or other) encampment,Throughout wooded areas and marsh btw Salt Marsh and Lenape Playground.
25573,116067,Homeless (or other) encampment,Tent set up in natural area adj Bronx River Pkwy near Mace av
25569,116017,Unsightly paint or repair,on wall adj swing bay
25570,116017,Unleashed dogs,in plgd area above courts
25568,116032,Alcohol use,Multiple intoxicated people in sitting area.
25581,116048,Drainage issues/standing water,Drainage issues/standing water at asphalt ballfield.
25565,115980,Drainage issues/standing water,Flooded area closer to 47th Street.
25567,116004,Unleashed dogs,One Unleashed Dog on tennis court
25564,115977,Unleashed dogs,multiple dogs off leash in lawns on both sides of comfort station.
25562,115957,Drainage issues/standing water,Flooded in uneven areas.
25563,115961,Other patron complaints or suggestions,Teacher from nearby pre-school that uses plgd requested gates be installed at the entrances
25559,115938,Drainage issues/standing water,Water flowing from drain cap on Path of Africa.
25561,115912,Unsightly paint or repair,on retaining wall along Walton Ave.
25558,115916,Innovative solution being used,Scattering logs and limbs on unblazed trails to prevent access/easy walking.
25560,115917,Unsightly paint or repair,contrasting paint on HBCT PS.
25556,115894,Unsightly paint or repair,contrasting paint cover on trees and rocks around the lake.
25557,115895,Unsightly paint or repair,Graffiti cover on HBCT walls.
25551,115857,Unsightly paint or repair,contrasting paint cover on PS adj chess tables.
25552,115868,Drainage issues/standing water,"Flooding from ""D"" fountain."
25553,115852,Unsightly paint or repair,Adventure equipment is covered in old duct tape.
25554,115852,Alcohol use,in BBCT.
25555,115852,Smoking/cigarette butts inside park,Concered parent says she cannot enjoy park with her child because there is so much smoking.
25549,115819,Drug use,"Patrons complain of persistent drug use, litter and human feces in hort areas at night, request site locked at night."
26077,119369,Homeless (or other) encampment,Homeless man sleeping & urinating behind CS
25546,115794,Unleashed dogs,throughout site.
25547,115794,Unsightly paint or repair,on HBCT floor.
25548,115798,Drug use,dozens of syringe caps + 2 syringes in lawn overlooking Burnside Ave.
25543,115759,Drug use,patrons smoking weed on concrete bleachers.
25544,115775,Unleashed dogs,most of site used as dog run.
25545,115785,Homeless persons present,Slope on north side of Billy Johnson Plgd construction site (below rock outcropping).
25542,115728,Unsightly paint or repair,Putty and duct tape used on PE.
25541,115732,Unsightly paint or repair,Putty and duct tape on play equipment.
25540,115734,Homeless persons present,Sleeping on bench.
25533,115701,Unsightly paint or repair,contrasting paint cover on CS and PE.
25534,115703,Unsightly paint or repair,contrasting paint cover on PE.
25535,115704,Unsightly paint or repair,contrasting paint cover on PE and trees.
25536,115707,Unsightly paint or repair,Graffiti cover on rocks at waterfront.
25537,115710,Homeless persons present,"One person sleeping on bench, one sleeping in men's room."
25538,115710,Unsightly paint or repair,Graffiti cover on BBCT.
25539,115688,Drainage issues/standing water,Paths flooded around Pelican Bay PLGD.
25532,115699,Unleashed dogs,several dogs unleashed on lawns
25528,115641,Public urination/defecation,"Patron complaints about people urinating down below south side of Fordham Rd, foul odors."
25526,115615,Alcohol use,several homeless men drinking adj to CS
25527,115615,Other patron complaints or suggestions,A Woman complained that drunken men continously urinate in the bushes next to the childrens area
25524,115588,Unsightly paint or repair,Graffiti paint cover.
25521,115551,Santeria,"multiple dead chickens and other Santeria paraphernalia throughout site, mainly near Sedgwick Ave mid-block."
25522,115551,Drug use,syringe along trail near Sedgwick Ave mid-block.
25523,115551,Prostitution/sexual activity,condom along trail near Sedgwick Ave mid-block.
25514,115527,Alcohol use,FDNY softball team drinking coors lite.
25518,115529,Unsightly paint or repair,Contrasting graffiti cover on path/trail E1.
25515,115533,Unleashed dogs,two Unleashed dogs in MPPA area
25516,115533,Homeless persons present,Homeless persons present hanging out near C&CT adj Av A & 7 st
25517,115533,Other enforcement issues,persons riding bicycles thru park
26100,119607,Homeless (or other) encampment,Multiple large encampments throughout entire zone.
26268,121771,Large asphalt spaces with no markings or play equipment,lower plgd
25519,115539,Smoking/cigarette butts inside park,students smoking near HBCT
25520,115539,Drug use,students smoking marijuana near HBCT
25525,115541,Homeless (or other) encampment,south of signed trail juncture near south tip of zone.
25530,115507,Unsightly paint or repair,White paint cover on MPPA near tennis courts.
25512,115515,Homeless (or other) encampment,Multiple encampments present in natural areas on both sides of velodrome.
25513,115520,Illegal campfire,"ridge overlooking east side of river, just n/o Kazimiroff Blvd"
25510,115481,Full or partial closure with no signage,'Playground closed' sign with no explanation.
25511,115501,Unleashed dogs,two unleashed dog in larger sitting area along 236 st
25509,115456,Unsightly paint or repair,Contrasting paint color on trees.
25502,115425,Unsightly paint or repair,PE fixed with duct tape and putty.
25503,115426,Drug use,teens smoking weed in doorway of woman's room.
25504,115427,Unsightly paint or repair,PE collar.
25505,115432,Unsightly paint or repair,PE repaired with duct tape.
25506,115432,Unsightly paint or repair,Black paint graffiti cover on BBCT.
25507,115433,Unsightly paint or repair,inappropriate contrasting paint cover on BBCT
25501,115412,Unsightly paint or repair,Graffiti cover on rocks and trees in natural area.
25495,115386,Alcohol use,in men's comfort station
25496,115392,Homeless persons present,bench along sidewalk at approx. 88th St
25497,115395,Homeless persons present,on bench on west side of arch just n/o comfort station
25500,115398,Alcohol use,4 men drinking on bench near CS
25498,115402,Smoking/cigarette butts inside park,Patron smokin cigarette inside playground.
25491,115344,Unsightly paint or repair,Graffiti cover on PE.
25492,115358,Alcohol use,two men drinking alcohol on AF outfield
25487,115322,Drainage issues/standing water,Flooded spots on track.
25488,115323,Drainage issues/standing water,Flooded path just south of historic house.
25482,115282,Unleashed dogs,in hort area above 141st St.
25483,115282,Drug use,Multiple needle caps found throughout park.
25484,115305,Homeless (or other) encampment,multiple along top of hill (see PIP report)
25485,115308,Homeless (or other) encampment,accessible from park but outside DPR boundary at western edge near library.
25486,115314,Other enforcement issues,two girls w dog in plgd
25480,115266,Unleashed dogs,one person with three unleashed dogs
25481,115271,Areas/equipment being used other than intended,south end of parking lot used for driver training.
25479,115234,Homeless persons present,In men's room.
25508,115193,Public urination/defecation,Patrons defecating behind CS.
25494,115196,Unsightly paint or repair,contasting paint cover on HBCT PS.
25490,115207,Unsightly paint or repair,Contrasting paint graffiti cover on PE.
25475,115160,Homeless (or other) encampment,in network of trails near intersection of CI Pkwy + GCP.
25476,115161,Illegal BBQ,lawn at 147th St / Trinity Ave
25477,115164,Smoking/cigarette butts inside park,persons smoking on BBCT
25470,115136,Drug use,Cannabis consumption in sitting area overlooking Broadway.
25472,115140,Santeria,dead chickens in lawn between upper path + dog run.
25471,115140,Homeless (or other) encampment,Multiple encampments present in entire natural area slope throughout entire zone.
25473,115143,Illegal BBQ,Small concrete pad along Crotona Pk North
25474,115145,Decorative fountain not functional,North side of Tremont bldg.
25468,115092,Drug use,Cannabis use in exercise equipment area.
25478,115100,Other enforcement issues,Key boxes placed on Parks fence along 136th street.  Told by tourists that they are for AirBnB rentals for apts across the street.
25469,115124,Areas/equipment being used other than intended,"Monument, steps and railings are often used as a skate park."
25467,115079,Smoking/cigarette butts inside park,3 persons smoking
25466,115027,Unleashed dogs,in HBCT.
25455,114990,Unsightly paint or repair,on raised water feature in plgd equip area.
25456,114991,Unsightly paint or repair,Multiple benches cautioned off for no apparent reason.
25457,114970,Other patron complaints or suggestions,Uneven safety surface
25462,114974,Smoking/cigarette butts inside park,Patron smoking cigarette inside playground.
25458,114978,Unsightly paint or repair,"Unsightly paint on asphalt ballfield/Basketball courts, and support at handball court."
25459,114978,Public urination/defecation,Public defecation on paved surface adjacent to storage container north-west of dog run.
25461,114978,Smoking/cigarette butts inside park,Patron smoking cigarette inside playground.
25453,114932,Unsightly paint or repair,Graffiti cover on rocks in natural area.
25454,114942,Smoking/cigarette butts inside park,two persons smoking on steps of plgd
25450,114913,Other patron complaints or suggestions,Patrons request drinking fountains near trailhead at Metropolitan Ave.
25451,114914,Unsightly paint or repair,Graffiti cover on structural and natural elements throughout zone.
25452,114916,Homeless (or other) encampment,Possible encampment in natural area behind private homes
25460,114918,Drainage issues/standing water,Standing water at picnic area north of Creek.
25449,114881,Unsightly paint or repair,some graffiti on rocks adj Vault burial ground contained unsightly repair.
25445,114868,Homeless (or other) encampment,In natural area north of Dyckman Street and east of HH Pkwy.
25446,114868,Homeless persons present,And defensive about being photographed.
25448,114877,Unleashed dogs,One unleashed dog along bike path
25464,114821,Smoking/cigarette butts inside park,Patrons smoking cigarette inside playground.
25465,114824,Homeless persons present,Homeless persons present at mall.
25441,114831,Homeless persons present,"Person sleeping on men's room toilet, obviously intoxicated."
25442,114836,Unsightly paint or repair,Duct tape on PE.
25443,114836,Unsightly paint or repair,Graffiti cover on PS and HBCT wall.
25444,114837,Unleashed dogs,at site.
25440,114806,Drainage issues/standing water,Severe drainage issue i/f/o parks building. Standing water btwn parks building & athletic fields.
25437,114728,Unleashed dogs,one unleashed dog on A lawn
25438,114732,Drainage issues/standing water,Drainage issues/standing water at transfer area south of courts.
25439,114734,Other patron complaints or suggestions,tree down with hazard splits aolng white trail west side of park adj Francis Lewis Blvd close to exit.
25434,114695,Unsightly paint or repair,Graffiti cover on HBCT wall.
25435,114707,Other inspector suggestions for improving site,Vehicles from school should be parked more efficiently on MPPA allowing for some usage of the space by school kids
25430,114654,Drainage issues/standing water,Flooded areas in heavy rain.
25432,114656,Unsightly paint or repair,on HBCT
25431,114658,Unleashed dogs,in HBCT
25436,114680,Unsightly paint or repair,"on staircase of Gametime,putty & silicone repairs."
25427,114635,Unsightly paint or repair,Slightly off color graffiti cover on HBCT walls.
25428,114635,Drainage issues/standing water,Areas on BBCTs flooded from recent rain.
25429,114642,Other enforcement issues,Person riding bicycle on path
25419,114606,Alcohol use,Group of people on drinking @ benches adj. park house.
25420,114606,Drug use,Group of people smoking pot @ benches adj. park house.
25422,114614,Unsightly paint or repair,Graffiti cover on natural rock.
25424,114628,Drainage issues/standing water,Drainage issues/standing water at parking lot north of Avenue U.
25413,114580,Unsightly paint or repair,Graffiti cover on rocks and trees throughout zone.
25414,114590,Other patron complaints or suggestions,Patrons complaint of CS closed for over 2yrs.
25415,114599,Other patron complaints or suggestions,Patrons request lighting within playground.
25416,114601,Smoking/cigarette butts inside park,Patron smoking cigarette inside playground.
25418,114601,Unsightly paint or repair,Unsightly paint on comfort station wall and game time adventure close to W 129 Street.
25417,114602,Homeless persons present,Homeless persons present in men's restroom.
25411,114560,Unsightly paint or repair,Graffiti cover on HBCT wall and trees.
25412,114564,Unsightly paint or repair,Graffiti cover on PE.
25426,114566,Drainage issues/standing water,Standing water at backetball court and adjacent paved area.
25425,114570,Drainage issues/standing water,Standing water at path/sitting area south of playground environment.
25407,114523,Drug use,Construction worker from nearby site smoking weed in men's room.
25408,114525,Unsightly paint or repair,Graffiti cover around sprinkler.
25409,114526,Unsightly paint or repair,Graffiti cover on HBCT walls and PE.
25405,114504,Homeless (or other) encampment,In natural area adj west end of creek near trail & Belt Pkwy bridge.
25406,114504,Homeless (or other) encampment,In natural area btn Gateway Dr & canal closer to Vandalia Av.Seems more like a bicycle chop shop.
25403,114428,Drainage issues/standing water,Flooded areas in brick tree plazas.
25394,114439,Unsightly paint or repair,Contrasting paint graffiti cover on HBCT wall.
25395,114450,Other patron complaints or suggestions,park patron complains the park is filthy & that he has to clean it every day because he cannot wait for our own Parks agency to get to it.
25392,114405,Unsightly paint or repair,Duct tape on SS beneath swings.
25393,114375,Unsightly paint or repair,Contrasting paint on asphalt path.
25388,114381,Unsightly paint or repair,multiple trees contained poorly removed graffiti throughout eastern half of park.
25390,114382,Homeless persons present,Homeless persons present in men's restroom.
25389,114382,Unsightly paint or repair,Unsightly paint on bleachers adjacent to track in athletic field.
25391,114385,Smoking/cigarette butts inside park,several people smoking in zone
25382,114369,Unsightly paint or repair,Graffiti cover on natural rock.
25384,114371,Homeless (or other) encampment,3 to 4 homeless persons on site under Washington Bridge.
25379,114355,Drainage issues/standing water,"Flooded/frozen area on south path near ""E"" fountain."
25380,114356,Drainage issues/standing water,Flooded area on path near tennis courts.
25381,114356,Drainage issues/standing water,Vernal pond overflowing onto and frozen on Hylan Blvd.
25376,114293,Drug use,Patron smoking marijuana in playground.
25377,114293,Sink holes/uneven pavement,in multiple sections along Marion St.
25378,114321,Other patron complaints or suggestions,"Enroute to playground, patrons within dog run (zone 3) request extra garbage can.  Only one can present."
25383,114329,Drainage issues/standing water,Standing water at sprinkler.
25372,114240,Decorative fountain not functional,Seasonal
25373,114241,Homeless (or other) encampment,Small encampment in natural area behind Horatio Plgd.
25374,114241,Drug use,Group of teenagers smoking marijuana behind Horatio Plgd.
25375,114248,Unleashed dogs,One unleashed dog on path near lake
25368,114154,Unsightly paint or repair,Graffiti cover on PE.
25369,114155,Unsightly paint or repair,Graffiti cover.
25371,114155,Unsightly paint or repair,Duct tape used on PE.
