Reporting Area,MMWR Year,MMWR Week,"Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Current week","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Current week, flag","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Previous 52 weeks Max†","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Previous 52 weeks Max†, flag","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2020†","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2020†, flag","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2019†","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2019†, flag","Chancroid, Current week","Chancroid, Current week, flag","Chancroid, Previous 52 weeks Max†","Chancroid, Previous 52 weeks Max†, flag","Chancroid, Cum 2020†","Chancroid, Cum 2020†, flag","Chancroid, Cum 2019†","Chancroid, Cum 2019†, flag","Chlamydia trachomatis infection, Current week","Chlamydia trachomatis infection, Current week, flag","Chlamydia trachomatis infection, Previous 52 weeks Max†","Chlamydia trachomatis infection, Previous 52 weeks Max†, flag","Chlamydia trachomatis infection, Cum 2020†","Chlamydia trachomatis infection, Cum 2020†, flag","Chlamydia trachomatis infection, Cum 2019†","Chlamydia trachomatis infection, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
HAWAII,2020,4,,-,1,,,-,1,,,-,0,,,-,,-,,-,209,,,-,498,,HAWAII,,20200460,POINT (-157.854309 21.361013)
AMERICAN SAMOA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200464,
NORTHERN MARIANA ISLANDS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200465,POINT (145.725693 15.1834)
GUAM,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200466,POINT (144.653198 13.3532)
PUERTO RICO,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,9,,304,,26,,371,,PUERTO RICO,,20200467,POINT (-66.414655 18.215692)
U.S. VIRGIN ISLANDS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200468,POINT (-64.840836 18.060868)
TOTAL,2020,3,,-,15,,6,,26,,,-,2,,,-,,-,11485,,36941,,46785,,96606,,,TOTAL,20200370,
NEW HAMPSHIRE,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,124,,,-,169,,NEW HAMPSHIRE,,20200306,POINT (-71.57139 43.680429)
NEW YORK,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,813,,1889,,1423,,1873,,NEW YORK,,20200311,POINT (-75.59655 42.921241)
PACIFIC,2020,3,,-,1,,3,,1,,,-,1,,,-,,-,1341,,6691,,10005,,17719,,,PACIFIC,20200357,
WEST SOUTH CENTRAL,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,356,,3248,,1985,,8586,,,WEST SOUTH CENTRAL,20200343,
NEBRASKA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,239,,92,,373,,NEBRASKA,,20200325,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,3,,-,0,,,-,,-,,-,1,,,-,,-,516,,2781,,2144,,5948,,,EAST SOUTH CENTRAL,20200338,
NORTH DAKOTA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,98,,,-,260,,NORTH DAKOTA,,20200326,POINT (-100.46931 47.446305)
NEVADA,2020,3,,-,2,,,-,,-,,-,0,,,-,,-,,-,393,,,-,871,,NEVADA,,20200353,POINT (-114.916992 39.283294)
ILLINOIS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,1737,,,-,4405,,ILLINOIS,,20200315,POINT (-89.148632 40.124144)
IOWA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,32,,390,,319,,910,,IOWA,,20200321,POINT (-93.500061 42.074659)
TEXAS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,1632,,,-,4340,,TEXAS,,20200347,POINT (-99.317341 31.447238)
ALASKA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,151,,,-,362,,ALASKA,,20200358,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,73,,226,,414,,526,,DISTRICT OF COLUMBIA,,20200330,POINT (-77.016275 38.904785)
WASHINGTON,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,466,,1056,,1360,,2088,,WASHINGTON,,20200362,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,3,,-,0,,,-,,-,,-,1,,,-,,-,117,,1423,,1301,,3184,,,NEW ENGLAND,20200302,
RHODE ISLAND,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,63,,281,,115,,9,,RHODE ISLAND,,20200307,POINT (-71.534637 41.572574)
OREGON,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,386,,485,,962,,982,,OREGON,,20200361,POINT (-120.605279 43.940449)
MAINE,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,56,,125,,101,,119,,MAINE,,20200204,POINT (-69.06137 45.117911)
MASSACHUSETTS,2020,2,,-,0,,,-,,-,,-,1,,,-,,-,,-,723,,292,,1283,,MASSACHUSETTS,,20200205,POINT (-71.481104 42.151077)
MIDDLE ATLANTIC,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,3024,,4820,,5480,,7368,,,MIDDLE ATLANTIC,20200209,
NEW YORK CITY,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,955,,1677,,2042,,2797,,,NEW YORK CITY,20200212,
INDIANA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,336,,858,,623,,902,,INDIANA,,20200216,POINT (-86.2818 39.919991)
MICHIGAN,2020,2,,-,7,,,-,10,,,-,0,,,-,,-,110,,1140,,304,,1739,,MICHIGAN,,20200217,POINT (-85.730977 44.874798)
WISCONSIN,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,332,,687,,649,,1039,,WISCONSIN,,20200219,POINT (-89.732969 44.639954)
WEST NORTH CENTRAL,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,584,,2260,,1092,,3877,,,WEST NORTH CENTRAL,20200220,
MISSOURI,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,394,,791,,662,,1197,,MISSOURI,,20200224,POINT (-92.477244 38.3675)
SOUTH DAKOTA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,44,,109,,85,,178,,SOUTH DAKOTA,,20200227,POINT (-100.230491 44.43614)
FLORIDA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,1122,,2495,,2095,,2318,,FLORIDA,,20200231,POINT (-82.420978 28.260731)
GEORGIA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,394,,1700,,725,,2801,,GEORGIA,,20200232,POINT (-83.426574 32.638481)
VIRGINIA,2020,2,,-,0,,,-,,-,,-,1,,,-,,-,886,,1104,,1655,,1751,,VIRGINIA,,20200236,POINT (-78.666382 37.510861)
WEST VIRGINIA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,354,,,-,14,,WEST VIRGINIA,,20200237,POINT (-80.613729 38.642579)
MISSISSIPPI,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,202,,601,,216,,925,,MISSISSIPPI,,20200241,POINT (-89.65344 32.713378)
ARKANSAS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,405,,,-,590,,ARKANSAS,,20200244,POINT (-92.439162 34.899825)
MOUNTAIN,2020,2,1,,6,,2,,6,,,-,1,,,-,,-,663,,2959,,1764,,4389,,,MOUNTAIN,20200248,
ARIZONA,2020,2,1,,5,,2,,6,,,-,1,,,-,,-,391,,954,,796,,1573,,ARIZONA,,20200249,POINT (-111.664616 34.293239)
IDAHO,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,170,,48,,250,,IDAHO,,20200251,POINT (-114.659366 44.389073)
DELAWARE,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,199,,,-,411,,DELAWARE,,20200329,POINT (-75.452394 38.994926)
ALABAMA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,810,,633,,1723,,ALABAMA,,20200339,POINT (-86.844516 32.756889)
KANSAS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,329,,,-,896,,KANSAS,,20200322,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,1512,,,-,4063,,NORTH CAROLINA,,20200334,POINT (-79.130883 35.52603)
GUAM,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200366,POINT (144.653198 13.3532)
NEW JERSEY,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,570,,940,,1828,,2372,,NEW JERSEY,,20200310,POINT (-74.655514 40.110253)
NEW MEXICO,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,31,,332,,317,,811,,NEW MEXICO,,20200354,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,3,,-,9,,,-,16,,,-,0,,,-,,-,1568,,5610,,6187,,14483,,,EAST NORTH CENTRAL,20200314,
TENNESSEE,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,315,,952,,733,,2305,,TENNESSEE,,20200342,POINT (-86.343226 35.842998)
CONNECTICUT,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,343,,,-,805,,CONNECTICUT,,20200303,POINT (-72.738288 41.575155)
MARYLAND,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,87,,823,,875,,2134,,MARYLAND,,20200333,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,979,,,-,2077,,SOUTH CAROLINA,,20200335,POINT (-80.864614 33.878572)
OKLAHOMA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,67,,440,,458,,1048,,OKLAHOMA,,20200346,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200365,POINT (145.725693 15.1834)
OHIO,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,763,,1501,,3051,,3920,,OHIO,,20200318,POINT (-82.70936 40.415534)
MINNESOTA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,561,,,-,1487,,MINNESOTA,,20200323,POINT (-94.198308 46.349153)
LOUISIANA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,289,,876,,1522,,2225,,LOUISIANA,,20200345,POINT (-91.840238 30.921314)
HAWAII,2020,3,,-,1,,,-,1,,,-,0,,,-,,-,,-,209,,,-,382,,HAWAII,,20200360,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,3,,-,0,,,-,,-,,-,1,,,-,,-,2685,,8368,,9483,,21007,,,SOUTH ATLANTIC,20200328,
PENNSYLVANIA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,1089,,1379,,3137,,3470,,PENNSYLVANIA,,20200313,POINT (-77.838886 40.896694)
UTAH,2020,3,,-,2,,,-,1,,,-,0,,,-,,-,181,,273,,584,,636,,UTAH,,20200355,POINT (-111.678222 39.323779)
COLORADO,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,301,,1076,,1204,,1515,,COLORADO,,20200350,POINT (-105.547832 38.998552)
VERMONT,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,14,,61,,46,,37,,VERMONT,,20200308,POINT (-72.662695 44.075252)
KENTUCKY,2020,3,,-,0,,,-,,-,,-,1,,,-,,-,,-,605,,,-,479,,KENTUCKY,,20200340,POINT (-85.290484 37.526683)
PUERTO RICO,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,304,,,-,298,,PUERTO RICO,,20200367,POINT (-66.414655 18.215692)
MAINE,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,40,,125,,149,,204,,MAINE,,20200304,POINT (-69.06137 45.117911)
VIRGINIA,2020,3,,-,0,,,-,,-,,-,1,,,-,,-,720,,1104,,2377,,2725,,VIRGINIA,,20200336,POINT (-78.666382 37.510861)
ARIZONA,2020,3,,-,5,,2,,8,,,-,1,,,-,,-,451,,955,,1691,,2524,,ARIZONA,,20200349,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200364,
WISCONSIN,2020,3,,-,3,,,-,1,,,-,0,,,-,,-,341,,685,,1172,,1657,,WISCONSIN,,20200319,POINT (-89.732969 44.639954)
IDAHO,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,170,,66,,384,,IDAHO,,20200351,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200368,POINT (-64.840836 18.060868)
MICHIGAN,2020,3,,-,7,,,-,15,,,-,0,,,-,,-,125,,1140,,723,,2843,,MICHIGAN,,20200317,POINT (-85.730977 44.874798)
GEORGIA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,486,,1736,,1895,,4551,,GEORGIA,,20200332,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,963,,1677,,3651,,4475,,,NEW YORK CITY,20200312,
ARKANSAS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,405,,5,,973,,ARKANSAS,,20200344,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,201,,600,,778,,1441,,MISSISSIPPI,,20200341,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,36,,109,,136,,278,,SOUTH DAKOTA,,20200327,POINT (-100.230491 44.43614)
WYOMING,2020,3,,-,1,,1,,,-,,-,0,,,-,,-,29,,58,,78,,118,,WYOMING,,20200356,POINT (-107.55145 42.999627)
MISSOURI,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,406,,791,,1154,,1881,,MISSOURI,,20200324,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,3435,,4820,,10039,,12190,,,MIDDLE ATLANTIC,20200309,
CALIFORNIA,2020,3,,-,1,,3,,,-,,-,1,,,-,,-,489,,5244,,7683,,13905,,CALIFORNIA,,20200359,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,354,,,-,36,,WEST VIRGINIA,,20200337,POINT (-80.613729 38.642579)
FLORIDA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,1319,,2495,,3922,,4484,,FLORIDA,,20200331,POINT (-82.420978 28.260731)
MONTANA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,116,,,-,247,,MONTANA,,20200352,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,474,,2260,,1701,,6085,,,WEST NORTH CENTRAL,20200320,
MASSACHUSETTS,2020,3,,-,0,,,-,,-,,-,1,,,-,,-,,-,723,,991,,1960,,MASSACHUSETTS,,20200305,POINT (-71.481104 42.151077)
MOUNTAIN,2020,3,,-,6,,3,,9,,,-,1,,,-,,-,993,,2966,,3940,,7106,,,MOUNTAIN,20200348,
INDIANA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,339,,858,,1241,,1658,,INDIANA,,20200316,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,,NON-US RESIDENTS,20200369,
US TERRITORIES,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,304,,,-,298,,,US TERRITORIES,20200363,
TOTAL,2020,5,,-,16,,13,,47,,,-,2,,,-,,-,10805,,35092,,97918,,164735,,,TOTAL,20200570,
US RESIDENTS,2020,5,,-,16,,13,,47,,,-,2,,,-,,-,10805,,34922,,97892,,164244,,,US RESIDENTS,20200501,
NEW HAMPSHIRE,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,71,,124,,253,,312,,NEW HAMPSHIRE,,20200506,POINT (-71.57139 43.680429)
NEW YORK,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,949,,2046,,3193,,3627,,NEW YORK,,20200511,POINT (-75.59655 42.921241)
PACIFIC,2020,5,,-,3,,5,,1,,,-,1,,,-,,-,1275,,6691,,20218,,30199,,,PACIFIC,20200557,
WEST SOUTH CENTRAL,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,330,,2737,,5752,,13697,,,WEST SOUTH CENTRAL,20200543,
NEBRASKA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,241,,247,,794,,NEBRASKA,,20200525,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,5,,-,0,,,-,,-,,-,1,,,-,,-,611,,2781,,5823,,10297,,,EAST SOUTH CENTRAL,20200538,
NORTH DAKOTA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,2,,96,,36,,393,,NORTH DAKOTA,,20200526,POINT (-100.46931 47.446305)
NEVADA,2020,5,,-,2,,,-,,-,,-,0,,,-,,-,,-,395,,,-,1471,,NEVADA,,20200553,POINT (-114.916992 39.283294)
ILLINOIS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,95,,1673,,1548,,7335,,ILLINOIS,,20200515,POINT (-89.148632 40.124144)
IOWA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,51,,390,,884,,1528,,IOWA,,20200521,POINT (-93.500061 42.074659)
TEXAS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,47,,1484,,1994,,6238,,TEXAS,,20200547,POINT (-99.317341 31.447238)
ALASKA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,151,,,-,620,,ALASKA,,20200558,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,26,,244,,809,,929,,DISTRICT OF COLUMBIA,,20200530,POINT (-77.016275 38.904785)
WASHINGTON,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,421,,1056,,2167,,3640,,WASHINGTON,,20200562,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,5,,-,0,,,-,,-,,-,1,,,-,,-,679,,1427,,3720,,5263,,,NEW ENGLAND,20200502,
RHODE ISLAND,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,121,,283,,310,,31,,RHODE ISLAND,,20200507,POINT (-71.534637 41.572574)
OREGON,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,422,,437,,1782,,1746,,OREGON,,20200561,POINT (-120.605279 43.940449)
DELAWARE,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,199,,,-,632,,DELAWARE,,20200529,POINT (-75.452394 38.994926)
AMERICAN SAMOA,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20201664,
US RESIDENTS,2020,4,,-,15,,10,,41,,,-,2,,,-,,-,10538,,36847,,72071,,129816,,,US RESIDENTS,20200401,
NEW ENGLAND,2020,4,,-,0,,,-,,-,,-,1,,,-,,-,16,,1423,,2040,,4198,,,NEW ENGLAND,20200402,
NEW HAMPSHIRE,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,124,,,-,245,,NEW HAMPSHIRE,,20200406,POINT (-71.57139 43.680429)
RHODE ISLAND,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,281,,115,,30,,RHODE ISLAND,,20200407,POINT (-71.534637 41.572574)
NEW YORK,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,825,,1987,,2246,,2724,,NEW YORK,,20200411,POINT (-75.59655 42.921241)
ILLINOIS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,54,,1712,,681,,6003,,ILLINOIS,,20200415,POINT (-89.148632 40.124144)
IOWA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,34,,390,,520,,1203,,IOWA,,20200421,POINT (-93.500061 42.074659)
NEBRASKA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,60,,241,,247,,572,,NEBRASKA,,20200425,POINT (-99.810595 41.527099)
NORTH DAKOTA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,98,,,-,332,,NORTH DAKOTA,,20200426,POINT (-100.46931 47.446305)
DISTRICT OF COLUMBIA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,11,,226,,606,,737,,DISTRICT OF COLUMBIA,,20200430,POINT (-77.016275 38.904785)
EAST SOUTH CENTRAL,2020,4,,-,0,,,-,,-,,-,1,,,-,,-,924,,2780,,4562,,8064,,,EAST SOUTH CENTRAL,20200438,
WEST SOUTH CENTRAL,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,229,,2969,,4130,,11383,,,WEST SOUTH CENTRAL,20200443,
TEXAS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,2,,1470,,1328,,5567,,TEXAS,,20200447,POINT (-99.317341 31.447238)
NEVADA,2020,4,,-,2,,,-,,-,,-,0,,,-,,-,,-,395,,,-,1144,,NEVADA,,20200453,POINT (-114.916992 39.283294)
PACIFIC,2020,4,,-,3,,5,,1,,,-,1,,,-,,-,1093,,6691,,15081,,23508,,,PACIFIC,20200457,
ALASKA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,151,,,-,486,,ALASKA,,20200458,POINT (-151.631889 63.631126)
OREGON,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,382,,485,,1344,,1326,,OREGON,,20200461,POINT (-120.605279 43.940449)
WASHINGTON,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,386,,1056,,1746,,2721,,WASHINGTON,,20200462,POINT (-120.592492 47.411715)
TOTAL,2020,4,,-,15,,10,,41,,,-,2,,,-,,-,10547,,36997,,72097,,130187,,,TOTAL,20200470,
ALABAMA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,573,,823,,2312,,2934,,ALABAMA,,20200539,POINT (-86.844516 32.756889)
KANSAS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,321,,,-,1475,,KANSAS,,20200522,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,1495,,,-,6933,,NORTH CAROLINA,,20200534,POINT (-79.130883 35.52603)
GUAM,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200566,POINT (144.653198 13.3532)
NEW JERSEY,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,375,,849,,3009,,3820,,NEW JERSEY,,20200510,POINT (-74.655514 40.110253)
NEW MEXICO,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,84,,332,,902,,1392,,NEW MEXICO,,20200554,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,5,,-,10,,3,,30,,,-,0,,,-,,-,1472,,5568,,13839,,24323,,,EAST NORTH CENTRAL,20200514,
TENNESSEE,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,951,,1726,,3918,,TENNESSEE,,20200542,POINT (-86.343226 35.842998)
CONNECTICUT,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,343,,,-,1331,,CONNECTICUT,,20200503,POINT (-72.738288 41.575155)
MARYLAND,2020,5,,-,0,,,-,,-,,-,1,,,-,,-,76,,807,,2203,,3565,,MARYLAND,,20200533,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,890,,,-,3449,,SOUTH CAROLINA,,20200535,POINT (-80.864614 33.878572)
OKLAHOMA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,36,,440,,958,,1830,,OKLAHOMA,,20200546,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200565,POINT (145.725693 15.1834)
OHIO,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,548,,1438,,5463,,6522,,OHIO,,20200518,POINT (-82.70936 40.415534)
MINNESOTA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,16,,542,,1319,,2399,,MINNESOTA,,20200523,POINT (-94.198308 46.349153)
LOUISIANA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,247,,849,,2738,,3901,,LOUISIANA,,20200545,POINT (-91.840238 30.921314)
HAWAII,2020,5,,-,1,,,-,1,,,-,0,,,-,,-,,-,209,,,-,648,,HAWAII,,20200560,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,5,,-,0,,,-,,-,,-,1,,,-,,-,3253,,8266,,20348,,37003,,,SOUTH ATLANTIC,20200528,
PENNSYLVANIA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,1097,,1356,,5687,,6051,,PENNSYLVANIA,,20200513,POINT (-77.838886 40.896694)
UTAH,2020,5,,-,2,,1,,2,,,-,0,,,-,,-,,-,273,,778,,1079,,UTAH,,20200555,POINT (-111.678222 39.323779)
COLORADO,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,1075,,1420,,2643,,COLORADO,,20200550,POINT (-105.547832 38.998552)
VERMONT,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,16,,61,,84,,94,,VERMONT,,20200508,POINT (-72.662695 44.075252)
KENTUCKY,2020,5,,-,0,,,-,,-,,-,1,,,-,,-,,-,605,,177,,1011,,KENTUCKY,,20200540,POINT (-85.290484 37.526683)
PUERTO RICO,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,304,,26,,490,,PUERTO RICO,,20200567,POINT (-66.414655 18.215692)
MAINE,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,50,,125,,265,,371,,MAINE,,20200504,POINT (-69.06137 45.117911)
VIRGINIA,2020,5,,-,0,,,-,,-,,-,1,,,-,,-,969,,1017,,4345,,4565,,VIRGINIA,,20200536,POINT (-78.666382 37.510861)
ARIZONA,2020,5,,-,5,,3,,14,,,-,1,,,-,,-,460,,955,,3348,,4288,,ARIZONA,,20200549,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200564,
WISCONSIN,2020,5,,-,3,,3,,4,,,-,0,,,-,,-,359,,685,,2172,,2679,,WISCONSIN,,20200519,POINT (-89.732969 44.639954)
IDAHO,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,43,,170,,130,,701,,IDAHO,,20200551,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200568,POINT (-64.840836 18.060868)
MICHIGAN,2020,5,,-,7,,,-,26,,,-,0,,,-,,-,155,,1140,,1964,,4724,,MICHIGAN,,20200517,POINT (-85.730977 44.874798)
GEORGIA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,369,,1519,,4005,,7534,,GEORGIA,,20200532,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,1,,1648,,5121,,7397,,,NEW YORK CITY,20200512,
ARKANSAS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,405,,62,,1728,,ARKANSAS,,20200544,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,38,,603,,1608,,2434,,MISSISSIPPI,,20200541,POINT (-89.65344 32.713378)
