Reporting Area,MMWR Year,MMWR Week,"Tetanus, Current week","Tetanus, Current week, flag","Tetanus, Previous 52 weeks Med","Tetanus, Previous 52 weeks Med, flag","Tetanus, Previous 52 weeks Max","Tetanus, Previous 52 weeks Max, flag","Tetanus, Cum 2017","Tetanus, Cum 2017, flag","Tetanus, Cum 2016","Tetanus, Cum 2016, flag","Varicella (chickenpox), Current week","Varicella (chickenpox), Current week, flag","Varicella (chickenpox), Previous 52 weeks Med","Varicella (chickenpox), Previous 52 weeks Med, flag","Varicella (chickenpox), Previous 52 weeks Max","Varicella (chickenpox), Previous 52 weeks Max, flag","Varicella (chickenpox), Cum 2017","Varicella (chickenpox), Cum 2017, flag","Varicella (chickenpox), Cum 2016","Varicella (chickenpox), Cum 2016, flag",Location 1,Location 2
UNITED STATES,2017,1,,-,1,,3,,,-,,-,38,,151,,205,,38,,163,,,
NEW ENGLAND,2017,1,,-,0,,1,,,-,,-,3,,14,,27,,3,,18,,,
MID. ATLANTIC,2017,1,,-,0,,2,,,-,,-,9,,17,,39,,9,,15,,,
NEW YORK CITY,2017,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,1,,-,0,,1,,,-,,-,15,,35,,70,,15,,70,,,
W.N. CENTRAL,2017,1,,-,0,,1,,,-,,-,1,,11,,29,,1,,14,,,
S. ATLANTIC,2017,1,,-,0,,1,,,-,,-,6,,23,,54,,6,,18,,,
E.S. CENTRAL,2017,1,,-,0,,1,,,-,,-,2,,2,,6,,2,,4,,,
W.S. CENTRAL,2017,1,,-,0,,1,,,-,,-,1,,25,,52,,1,,6,,,
MOUNTAIN,2017,1,,-,0,,1,,,-,,-,1,,12,,34,,1,,17,,,
PACIFIC,2017,1,,-,0,,1,,,-,,-,,-,1,,4,,,-,1,,,
AMER. SAMOA,2017,1,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,
PENNSYLVANIA,2017,1,,-,0,,1,,,-,,-,9,,11,,29,,9,,8,,"PENNSYLVANIA
(40.789676, -77.858055)",
WISCONSIN,2017,1,,-,0,,0,,,-,,-,2,,2,,20,,2,,2,,"WISCONSIN
(44.395526, -89.834513)",
MISSISSIPPI,2017,1,,-,0,,1,,,-,,-,1,,0,,2,,1,,,-,"MISSISSIPPI
(32.738663, -89.537312)",
KENTUCKY,2017,1,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"KENTUCKY
(37.64591, -84.774043)",
FLORIDA,2017,1,,-,0,,1,,,-,,-,6,,14,,39,,6,,12,,"FLORIDA
(28.915325, -81.922409)",
HAWAII,2017,1,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"HAWAII
(21.30992, -157.858158)",
KANSAS,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
NORTH CAROLINA,2017,1,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
NEW HAMPSHIRE,2017,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
OKLAHOMA,2017,1,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
MISSOURI,2017,1,,-,0,,0,,,-,,-,,-,3,,9,,,-,9,,"MISSOURI
(38.636168, -92.566292)",
IDAHO,2017,1,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
NEVADA,2017,1,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"NEVADA
(39.491833, -117.070159)",
ILLINOIS,2017,1,,-,0,,1,,,-,,-,,-,8,,20,,,-,16,,"ILLINOIS
(40.477092, -88.993221)",
DELAWARE,2017,1,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
LOUISIANA,2017,1,,-,0,,0,,,-,,-,,-,0,,5,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
MONTANA,2017,1,,-,0,,0,,,-,,-,,-,1,,6,,,-,3,,"MONTANA
(47.062617, -109.430168)",
NEW JERSEY,2017,1,,-,0,,0,,,-,,-,,-,6,,15,,,-,7,,"NEW JERSEY
(40.104655, -74.386686)",
CALIFORNIA,2017,1,,-,0,,1,,,-,,-,,-,0,,4,,,-,1,,"CALIFORNIA
(37.640735, -121.002435)",
UTAH,2017,1,,-,0,,0,,,-,,-,,-,4,,18,,,-,4,,"UTAH
(39.359772, -111.584173)",
CONNECTICUT,2017,1,,-,0,,0,,,-,,-,,-,2,,6,,,-,5,,"CONNECTICUT
(41.544654, -72.651713)",
MINNESOTA,2017,1,,-,0,,0,,,-,,-,1,,6,,14,,1,,2,,"MINNESOTA
(46.357661, -94.793397)",
MARYLAND,2017,1,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"MARYLAND
(39.290443, -76.612333)",
C.N.M.I.,2017,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
GEORGIA,2017,1,,-,0,,0,,,-,,-,,-,2,,7,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
PUERTO RICO,2017,1,,-,0,,0,,,-,,-,,-,1,,6,,,-,1,,"PUERTO RICO
(18.215692, -66.414655)",
VIRGIN ISL.,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
ARKANSAS,2017,1,,-,0,,0,,,-,,-,,-,2,,12,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
DIST. OF COL.,2017,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
WYOMING,2017,1,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"WYOMING
(43.23558, -108.110518)",
ALASKA,2017,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"ALASKA
(64.836661, -147.738891)",
NORTH DAKOTA,2017,1,,-,0,,0,,,-,,-,,-,1,,21,,,-,3,,"NORTH DAKOTA
(47.475879, -100.121011)",
MICHIGAN,2017,1,,-,0,,1,,,-,,-,2,,10,,31,,2,,31,,"MICHIGAN
(44.66399, -84.711206)",
MAINE,2017,1,,-,0,,1,,,-,,-,2,,4,,8,,2,,4,,"MAINE
(45.252223, -68.986647)",
VIRGINIA,2017,1,,-,0,,1,,,-,,-,,-,4,,12,,,-,1,,"VIRGINIA
(37.542699, -78.45822)",
COLORADO,2017,1,,-,0,,0,,,-,,-,,-,0,,18,,,-,,-,"COLORADO
(38.841772, -106.132562)",
NEW MEXICO,2017,1,,-,0,,0,,,-,,-,,-,0,,5,,,-,1,,"NEW MEXICO
(34.520396, -106.244402)",
INDIANA,2017,1,,-,0,,1,,,-,,-,,-,3,,9,,,-,7,,"INDIANA
(39.76845, -86.156212)",
WASHINGTON,2017,1,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
OREGON,2017,1,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"OREGON
(44.567912, -120.156945)",
MASSACHUSETTS,2017,1,,-,0,,0,,,-,,-,,-,5,,16,,,-,6,,"MASSACHUSETTS
(42.268546, -72.085064)",
WEST VIRGINIA,2017,1,,-,0,,0,,,-,,-,,-,0,,2,,,-,2,,"WEST VIRGINIA
(38.668501, -80.709421)",
TENNESSEE,2017,1,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
ALABAMA,2017,1,,-,0,,1,,,-,,-,1,,1,,5,,1,,4,,"ALABAMA
(32.839182, -86.631125)",
NEW YORK,2017,1,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
VERMONT,2017,1,,-,0,,0,,,-,,-,1,,0,,6,,1,,3,,"VERMONT
(43.622479, -72.51927)",
RHODE ISLAND,2017,1,,-,0,,0,,,-,,-,,-,0,,6,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
GUAM,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
OHIO,2017,1,,-,0,,1,,,-,,-,11,,8,,19,,11,,14,,"OHIO
(40.056807, -82.405897)",
TEXAS,2017,1,,-,0,,1,,,-,,-,1,,22,,49,,1,,6,,"TEXAS
(31.827233, -99.423022)",
NEBRASKA,2017,1,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
ARIZONA,2017,1,,-,0,,1,,,-,,-,1,,5,,13,,1,,9,,"ARIZONA
(34.869712, -111.760902)",
SOUTH CAROLINA,2017,1,,-,0,,0,,,-,,-,,-,1,,6,,,-,3,,"SOUTH CAROLINA
(34.009286, -81.037094)",
IOWA,2017,1,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
SOUTH DAKOTA,2017,1,,-,0,,0,,,-,,-,,-,0,,4,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
IDAHO,2017,2,1,,0,,0,,1,,,-,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
GUAM,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
OREGON,2017,2,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"OREGON
(44.567912, -120.156945)",
OKLAHOMA,2017,2,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
NEW MEXICO,2017,2,,-,0,,0,,,-,,-,,-,0,,5,,,-,3,,"NEW MEXICO
(34.520396, -106.244402)",
PUERTO RICO,2017,2,,-,0,,0,,,-,,-,,-,1,,6,,,-,2,,"PUERTO RICO
(18.215692, -66.414655)",
ILLINOIS,2017,2,,-,0,,1,,,-,1,,,-,8,,20,,3,,27,,"ILLINOIS
(40.477092, -88.993221)",
CALIFORNIA,2017,2,,-,0,,1,,,-,,-,,-,0,,4,,,-,2,,"CALIFORNIA
(37.640735, -121.002435)",
MINNESOTA,2017,2,,-,0,,0,,,-,,-,,-,6,,14,,10,,12,,"MINNESOTA
(46.357661, -94.793397)",
NEW YORK CITY,2017,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
NEW ENGLAND,2017,2,,-,0,,1,,,-,,-,2,,13,,27,,6,,33,,,
RHODE ISLAND,2017,2,,-,0,,0,,,-,,-,,-,0,,6,,,-,1,,"RHODE ISLAND
(41.707447, -71.522488)",
DIST. OF COL.,2017,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
E.N. CENTRAL,2017,2,,-,0,,1,,,-,1,,13,,35,,56,,36,,111,,,
WEST VIRGINIA,2017,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,3,,"WEST VIRGINIA
(38.668501, -80.709421)",
UTAH,2017,2,,-,0,,0,,,-,,-,,-,4,,18,,4,,13,,"UTAH
(39.359772, -111.584173)",
VIRGIN ISL.,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
PENNSYLVANIA,2017,2,,-,0,,1,,,-,,-,10,,11,,29,,21,,23,,"PENNSYLVANIA
(40.789676, -77.858055)",
COLORADO,2017,2,,-,0,,0,,,-,,-,,-,0,,18,,,-,,-,"COLORADO
(38.841772, -106.132562)",
CONNECTICUT,2017,2,,-,0,,0,,,-,,-,,-,2,,6,,1,,9,,"CONNECTICUT
(41.544654, -72.651713)",
WISCONSIN,2017,2,,-,0,,0,,,-,,-,3,,2,,20,,5,,2,,"WISCONSIN
(44.395526, -89.834513)",
MID. ATLANTIC,2017,2,,-,0,,2,,,-,,-,10,,17,,39,,21,,45,,,
MARYLAND,2017,2,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"MARYLAND
(39.290443, -76.612333)",
NEBRASKA,2017,2,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,"NEBRASKA
(41.640503, -99.367122)",
KENTUCKY,2017,2,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"KENTUCKY
(37.64591, -84.774043)",
AMER. SAMOA,2017,2,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,
HAWAII,2017,2,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"HAWAII
(21.30992, -157.858158)",
ALASKA,2017,2,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"ALASKA
(64.836661, -147.738891)",
MASSACHUSETTS,2017,2,,-,0,,0,,,-,,-,,-,4,,16,,,-,14,,"MASSACHUSETTS
(42.268546, -72.085064)",
NEW JERSEY,2017,2,,-,0,,0,,,-,,-,,-,5,,15,,,-,22,,"NEW JERSEY
(40.104655, -74.386686)",
SOUTH DAKOTA,2017,2,,-,0,,0,,,-,,-,,-,0,,4,,,-,1,,"SOUTH DAKOTA
(44.35371, -100.373709)",
E.S. CENTRAL,2017,2,,-,0,,1,,,-,,-,2,,2,,6,,4,,7,,,
KANSAS,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
TENNESSEE,2017,2,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
MISSISSIPPI,2017,2,,-,0,,1,,,-,,-,,-,0,,2,,1,,,-,"MISSISSIPPI
(32.738663, -89.537312)",
OHIO,2017,2,,-,0,,1,,,-,,-,4,,8,,23,,15,,21,,"OHIO
(40.056807, -82.405897)",
UNITED STATES,2017,2,2,,1,,3,,2,,1,,50,,149,,205,,116,,330,,,
WYOMING,2017,2,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,"WYOMING
(43.23558, -108.110518)",
INDIANA,2017,2,,-,0,,1,,,-,,-,,-,3,,9,,3,,10,,"INDIANA
(39.76845, -86.156212)",
TEXAS,2017,2,,-,0,,1,,,-,,-,9,,23,,49,,12,,24,,"TEXAS
(31.827233, -99.423022)",
MISSOURI,2017,2,,-,0,,0,,,-,,-,2,,2,,8,,2,,10,,"MISSOURI
(38.636168, -92.566292)",
ALABAMA,2017,2,,-,0,,1,,,-,,-,2,,1,,5,,3,,7,,"ALABAMA
(32.839182, -86.631125)",
MOUNTAIN,2017,2,1,,0,,1,,1,,,-,4,,11,,34,,10,,38,,,
LOUISIANA,2017,2,,-,0,,0,,,-,,-,,-,0,,5,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
FLORIDA,2017,2,1,,0,,1,,1,,,-,7,,14,,39,,13,,29,,"FLORIDA
(28.915325, -81.922409)",
NEW HAMPSHIRE,2017,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
PACIFIC,2017,2,,-,0,,1,,,-,,-,,-,1,,4,,,-,2,,,
VIRGINIA,2017,2,,-,0,,1,,,-,,-,,-,4,,12,,,-,4,,"VIRGINIA
(37.542699, -78.45822)",
IOWA,2017,2,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
W.N. CENTRAL,2017,2,,-,0,,1,,,-,,-,2,,11,,29,,12,,29,,,
DELAWARE,2017,2,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
MAINE,2017,2,,-,0,,1,,,-,,-,1,,4,,8,,3,,6,,"MAINE
(45.252223, -68.986647)",
ARKANSAS,2017,2,,-,0,,0,,,-,,-,1,,2,,12,,2,,1,,"ARKANSAS
(34.748745, -92.275105)",
NEVADA,2017,2,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"NEVADA
(39.491833, -117.070159)",
WASHINGTON,2017,2,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
W.S. CENTRAL,2017,2,,-,0,,1,,,-,,-,10,,26,,52,,14,,25,,,
VERMONT,2017,2,,-,0,,0,,,-,,-,1,,0,,6,,2,,3,,"VERMONT
(43.622479, -72.51927)",
NORTH CAROLINA,2017,2,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
S. ATLANTIC,2017,2,1,,0,,1,,1,,,-,7,,23,,54,,13,,40,,,
MICHIGAN,2017,2,,-,0,,1,,,-,,-,6,,10,,21,,10,,51,,"MICHIGAN
(44.66399, -84.711206)",
GEORGIA,2017,2,,-,0,,0,,,-,,-,,-,3,,7,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
MONTANA,2017,2,,-,0,,0,,,-,,-,,-,0,,6,,,-,3,,"MONTANA
(47.062617, -109.430168)",
NORTH DAKOTA,2017,2,,-,0,,0,,,-,,-,,-,1,,21,,,-,5,,"NORTH DAKOTA
(47.475879, -100.121011)",
ARIZONA,2017,2,,-,0,,1,,,-,,-,4,,5,,13,,6,,18,,"ARIZONA
(34.869712, -111.760902)",
SOUTH CAROLINA,2017,2,,-,0,,0,,,-,,-,,-,1,,6,,,-,4,,"SOUTH CAROLINA
(34.009286, -81.037094)",
NEW YORK,2017,2,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
C.N.M.I.,2017,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MISSOURI,2017,3,,-,0,,0,,,-,,-,1,,3,,8,,5,,13,,"MISSOURI
(38.636168, -92.566292)",
VIRGIN ISL.,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
INDIANA,2017,3,,-,0,,1,,,-,,-,,-,4,,9,,9,,14,,"INDIANA
(39.76845, -86.156212)",
NEW MEXICO,2017,3,,-,0,,0,,,-,,-,,-,0,,5,,,-,3,,"NEW MEXICO
(34.520396, -106.244402)",
ARKANSAS,2017,3,,-,0,,0,,,-,,-,,-,2,,12,,3,,2,,"ARKANSAS
(34.748745, -92.275105)",
PENNSYLVANIA,2017,3,,-,0,,1,,,-,,-,3,,11,,29,,26,,31,,"PENNSYLVANIA
(40.789676, -77.858055)",
NEW YORK,2017,3,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
LOUISIANA,2017,3,,-,0,,0,,,-,,-,,-,0,,5,,1,,,-,"LOUISIANA
(31.2931, -92.463284)",
NORTH DAKOTA,2017,3,,-,0,,0,,,-,,-,,-,0,,21,,,-,6,,"NORTH DAKOTA
(47.475879, -100.121011)",
VIRGINIA,2017,3,,-,0,,1,,,-,,-,1,,4,,12,,1,,12,,"VIRGINIA
(37.542699, -78.45822)",
CALIFORNIA,2017,3,,-,0,,1,,,-,,-,,-,0,,4,,,-,2,,"CALIFORNIA
(37.640735, -121.002435)",
SOUTH CAROLINA,2017,3,,-,0,,0,,,-,,-,,-,1,,6,,,-,4,,"SOUTH CAROLINA
(34.009286, -81.037094)",
ALABAMA,2017,3,,-,0,,1,,,-,,-,2,,1,,5,,6,,8,,"ALABAMA
(32.839182, -86.631125)",
MAINE,2017,3,,-,0,,1,,,-,,-,6,,4,,8,,9,,9,,"MAINE
(45.252223, -68.986647)",
NORTH CAROLINA,2017,3,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
MICHIGAN,2017,3,,-,0,,1,,,-,,-,4,,10,,21,,24,,72,,"MICHIGAN
(44.66399, -84.711206)",
E.S. CENTRAL,2017,3,,-,0,,1,,,-,,-,2,,2,,6,,7,,9,,,
WEST VIRGINIA,2017,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,3,,"WEST VIRGINIA
(38.668501, -80.709421)",
VERMONT,2017,3,,-,0,,0,,,-,,-,,-,0,,6,,3,,4,,"VERMONT
(43.622479, -72.51927)",
MARYLAND,2017,3,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"MARYLAND
(39.290443, -76.612333)",
WYOMING,2017,3,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,"WYOMING
(43.23558, -108.110518)",
W.N. CENTRAL,2017,3,,-,0,,1,,,-,,-,1,,11,,29,,16,,41,,,
C.N.M.I.,2017,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MONTANA,2017,3,,-,0,,0,,,-,,-,,-,0,,6,,,-,3,,"MONTANA
(47.062617, -109.430168)",
HAWAII,2017,3,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,"HAWAII
(21.30992, -157.858158)",
MINNESOTA,2017,3,,-,0,,0,,,-,,-,,-,6,,14,,11,,18,,"MINNESOTA
(46.357661, -94.793397)",
WASHINGTON,2017,3,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
GEORGIA,2017,3,,-,0,,0,,,-,,-,,-,3,,7,,3,,5,,"GEORGIA
(32.836038, -83.631709)",
MOUNTAIN,2017,3,,-,0,,1,,1,,,-,14,,11,,34,,25,,50,,,
NEW YORK CITY,2017,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
DELAWARE,2017,3,,-,0,,0,,,-,,-,,-,0,,3,,,-,2,,"DELAWARE
(39.008676, -75.574561)",
MID. ATLANTIC,2017,5,,-,0,,2,,,-,,-,4,,16,,39,,51,,97,,,
ILLINOIS,2017,3,,-,0,,0,,,-,1,,,-,8,,20,,5,,36,,"ILLINOIS
(40.477092, -88.993221)",
NEW HAMPSHIRE,2017,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
SOUTH DAKOTA,2017,3,,-,0,,0,,,-,,-,,-,0,,4,,,-,1,,"SOUTH DAKOTA
(44.35371, -100.373709)",
RHODE ISLAND,2017,3,,-,0,,0,,,-,,-,,-,0,,6,,,-,2,,"RHODE ISLAND
(41.707447, -71.522488)",
FLORIDA,2017,3,,-,0,,1,,1,,,-,11,,13,,39,,24,,38,,"FLORIDA
(28.915325, -81.922409)",
S. ATLANTIC,2017,3,,-,0,,1,,1,,,-,12,,23,,54,,28,,64,,,
TEXAS,2017,3,,-,0,,1,,,-,,-,8,,23,,49,,24,,35,,"TEXAS
(31.827233, -99.423022)",
OKLAHOMA,2017,3,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
COLORADO,2017,3,,-,0,,0,,,-,,-,12,,0,,18,,12,,,-,"COLORADO
(38.841772, -106.132562)",
ALASKA,2017,3,,-,0,,1,,,-,,-,,-,0,,2,,1,,,-,"ALASKA
(64.836661, -147.738891)",
E.N. CENTRAL,2017,3,,-,0,,1,,,-,1,,24,,34,,56,,82,,156,,,
KANSAS,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
MISSISSIPPI,2017,3,,-,0,,1,,,-,,-,,-,0,,2,,1,,1,,"MISSISSIPPI
(32.738663, -89.537312)",
PACIFIC,2017,3,,-,0,,1,,,-,,-,,-,1,,4,,1,,2,,,
NEVADA,2017,3,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"NEVADA
(39.491833, -117.070159)",
KENTUCKY,2017,3,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"KENTUCKY
(37.64591, -84.774043)",
CONNECTICUT,2017,3,,-,0,,0,,,-,,-,1,,2,,6,,4,,13,,"CONNECTICUT
(41.544654, -72.651713)",
MID. ATLANTIC,2017,3,,-,0,,2,,,-,,-,3,,16,,39,,26,,60,,,
NEBRASKA,2017,3,,-,0,,0,,,-,,-,,-,0,,2,,,-,3,,"NEBRASKA
(41.640503, -99.367122)",
WISCONSIN,2017,3,,-,0,,0,,,-,,-,2,,2,,20,,11,,4,,"WISCONSIN
(44.395526, -89.834513)",
MASSACHUSETTS,2017,3,,-,0,,0,,,-,,-,,-,4,,16,,2,,21,,"MASSACHUSETTS
(42.268546, -72.085064)",
UTAH,2017,3,,-,0,,0,,,-,,-,,-,3,,18,,4,,17,,"UTAH
(39.359772, -111.584173)",
W.S. CENTRAL,2017,3,,-,0,,1,,,-,,-,8,,26,,52,,28,,37,,,
IOWA,2017,3,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
OHIO,2017,3,,-,0,,1,,,-,,-,18,,8,,23,,33,,30,,"OHIO
(40.056807, -82.405897)",
TENNESSEE,2017,3,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
ARIZONA,2017,3,,-,0,,1,,,-,,-,2,,5,,13,,9,,26,,"ARIZONA
(34.869712, -111.760902)",
IDAHO,2017,3,,-,0,,1,,1,,,-,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
GUAM,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NEW ENGLAND,2017,3,,-,0,,1,,,-,,-,7,,14,,27,,18,,49,,,
UNITED STATES,2017,3,,-,1,,3,,2,,1,,71,,149,,205,,231,,468,,,
AMER. SAMOA,2017,3,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,
DIST. OF COL.,2017,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
OREGON,2017,3,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"OREGON
(44.567912, -120.156945)",
PUERTO RICO,2017,3,,-,0,,0,,,-,,-,,-,1,,6,,,-,2,,"PUERTO RICO
(18.215692, -66.414655)",
NEW JERSEY,2017,3,,-,0,,0,,,-,,-,,-,5,,15,,,-,29,,"NEW JERSEY
(40.104655, -74.386686)",
C.N.M.I.,2017,4,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
E.S. CENTRAL,2017,4,,-,0,,1,,,-,,-,3,,2,,6,,11,,14,,,
INDIANA,2017,4,,-,0,,1,,,-,,-,,-,3,,9,,11,,17,,"INDIANA
(39.76845, -86.156212)",
NEW JERSEY,2017,4,,-,0,,0,,,-,,-,,-,5,,15,,,-,32,,"NEW JERSEY
(40.104655, -74.386686)",
CALIFORNIA,2017,4,,-,0,,1,,,-,,-,,-,0,,4,,1,,2,,"CALIFORNIA
(37.640735, -121.002435)",
ALASKA,2017,4,,-,0,,1,,,-,,-,,-,0,,2,,1,,1,,"ALASKA
(64.836661, -147.738891)",
FLORIDA,2017,4,,-,0,,1,,1,,,-,21,,13,,39,,45,,73,,"FLORIDA
(28.915325, -81.922409)",
TENNESSEE,2017,4,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
GUAM,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
S. ATLANTIC,2017,4,,-,0,,1,,1,,,-,23,,23,,54,,53,,106,,,
SOUTH CAROLINA,2017,4,,-,0,,0,,,-,,-,2,,1,,6,,4,,7,,"SOUTH CAROLINA
(34.009286, -81.037094)",
MARYLAND,2017,4,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"MARYLAND
(39.290443, -76.612333)",
COLORADO,2017,4,,-,0,,0,,,-,,-,,-,0,,18,,12,,,-,"COLORADO
(38.841772, -106.132562)",
UTAH,2017,4,,-,0,,0,,,-,,-,,-,3,,18,,7,,34,,"UTAH
(39.359772, -111.584173)",
