Reporting Area,MMWR Year,MMWR Week,"Severe acute respiratory syndrome-associated coronavirus desease, Current week","Severe acute respiratory syndrome-associated coronavirus desease, Current week, flag","Severe acute respiratory syndrome-associated coronavirus desease, Previous 52 weeks Max†","Severe acute respiratory syndrome-associated coronavirus desease, Previous 52 weeks Max†, flag","Severe acute respiratory syndrome-associated coronavirus desease, Cum 2020†","Severe acute respiratory syndrome-associated coronavirus desease, Cum 2020†, flag","Severe acute respiratory syndrome-associated coronavirus desease, Cum 2019†","Severe acute respiratory syndrome-associated coronavirus desease, Cum 2019†, flag","Shiga toxin-producing Escherichia coli(STEC), Current week","Shiga toxin-producing Escherichia coli(STEC), Current week, flag","Shiga toxin-producing Escherichia coli(STEC), Previous 52 weeks Max†","Shiga toxin-producing Escherichia coli(STEC), Previous 52 weeks Max†, flag","Shiga toxin-producing Escherichia coli(STEC), Cum 2020†","Shiga toxin-producing Escherichia coli(STEC), Cum 2020†, flag","Shiga toxin-producing Escherichia coli(STEC), Cum 2019†","Shiga toxin-producing Escherichia coli(STEC), Cum 2019†, flag","Shigellosis, Current week","Shigellosis, Current week, flag","Shigellosis, Previous 52 weeks Max†","Shigellosis, Previous 52 weeks Max†, flag","Shigellosis, Cum 2020†","Shigellosis, Cum 2020†, flag","Shigellosis, Cum 2019†","Shigellosis, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
PACIFIC,2020,18,,-,0,,,-,,-,,-,119,,376,,890,,3,,69,,409,,764,,,PACIFIC,20201857,
WEST SOUTH CENTRAL,2020,18,,-,0,,,-,,-,4,,94,,157,,355,,,-,360,,897,,773,,,WEST SOUTH CENTRAL,20201843,
NEBRASKA,2020,18,,-,0,,,-,,-,1,,12,,33,,37,,,-,6,,13,,20,,NEBRASKA,,20201825,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,18,,-,0,,,-,,-,,-,31,,90,,342,,,-,44,,296,,211,,,EAST SOUTH CENTRAL,20201838,
NORTH DAKOTA,2020,18,,-,0,,,-,,-,,-,9,,4,,11,,,-,5,,5,,7,,NORTH DAKOTA,,20201826,POINT (-100.46931 47.446305)
NEVADA,2020,18,,-,0,,,-,,-,,-,4,,8,,8,,,-,6,,12,,19,,NEVADA,,20201853,POINT (-114.916992 39.283294)
ILLINOIS,2020,18,,-,0,,,-,,-,,-,23,,59,,133,,,-,15,,89,,148,,ILLINOIS,,20201815,POINT (-89.148632 40.124144)
IOWA,2020,18,,-,0,,,-,,-,,-,35,,51,,117,,,-,6,,33,,25,,IOWA,,20201821,POINT (-93.500061 42.074659)
TEXAS,2020,18,,-,0,,,-,,-,,-,87,,101,,286,,,-,343,,694,,625,,TEXAS,,20201847,POINT (-99.317341 31.447238)
ALASKA,2020,18,,-,0,,,-,,-,,-,1,,,-,1,,,-,1,,,-,3,,ALASKA,,20201858,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,18,,-,0,,,-,,-,,-,2,,1,,6,,,-,4,,4,,28,,DISTRICT OF COLUMBIA,,20201830,POINT (-77.016275 38.904785)
WASHINGTON,2020,18,,-,0,,,-,,-,,-,16,,41,,121,,,-,13,,57,,101,,WASHINGTON,,20201862,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,18,,-,1,,,-,,-,1,,16,,77,,118,,,-,19,,94,,142,,,NEW ENGLAND,20201802,
RHODE ISLAND,2020,18,,-,0,,,-,,-,,-,4,,6,,13,,,-,5,,5,,25,,RHODE ISLAND,,20201807,POINT (-71.534637 41.572574)
OREGON,2020,18,,-,0,,,-,,-,,-,16,,48,,88,,2,,6,,41,,72,,OREGON,,20201861,POINT (-120.605279 43.940449)
DELAWARE,2020,18,,-,0,,,-,,-,,-,4,,2,,9,,,-,2,,4,,9,,DELAWARE,,20201829,POINT (-75.452394 38.994926)
ALABAMA,2020,18,,-,0,,,-,,-,,-,8,,9,,35,,,-,35,,200,,78,,ALABAMA,,20201839,POINT (-86.844516 32.756889)
KANSAS,2020,18,,-,0,,,-,,-,,-,12,,26,,56,,,-,5,,4,,19,,KANSAS,,20201822,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,18,,-,0,,,-,,-,,-,20,,44,,94,,,-,16,,66,,106,,NORTH CAROLINA,,20201834,POINT (-79.130883 35.52603)
GUAM,2020,18,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201866,POINT (144.653198 13.3532)
NEW JERSEY,2020,18,,-,0,,,-,,-,,-,3,,,-,11,,,-,15,,38,,255,,NEW JERSEY,,20201810,POINT (-74.655514 40.110253)
NEW MEXICO,2020,18,,-,0,,,-,,-,,-,7,,5,,26,,,-,13,,25,,16,,NEW MEXICO,,20201854,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,18,,-,0,,,-,,-,3,,72,,235,,506,,,-,36,,239,,418,,,EAST NORTH CENTRAL,20201814,
TENNESSEE,2020,18,,-,0,,,-,,-,,-,16,,49,,127,,,-,10,,60,,42,,TENNESSEE,,20201842,POINT (-86.343226 35.842998)
CONNECTICUT,2020,18,,-,0,,,-,,-,1,,9,,16,,44,,,-,7,,26,,29,,CONNECTICUT,,20201803,POINT (-72.738288 41.575155)
MARYLAND,2020,18,,-,0,,,-,,-,,-,10,,33,,68,,,-,8,,46,,78,,MARYLAND,,20201833,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,18,,-,0,,,-,,-,,-,7,,16,,30,,,-,15,,22,,29,,SOUTH CAROLINA,,20201835,POINT (-80.864614 33.878572)
OKLAHOMA,2020,18,,-,0,,,-,,-,,-,43,,25,,16,,,-,11,,92,,30,,OKLAHOMA,,20201846,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,18,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201865,POINT (145.725693 15.1834)
OHIO,2020,18,,-,0,,,-,,-,3,,29,,80,,145,,,-,21,,72,,162,,OHIO,,20201818,POINT (-82.70936 40.415534)
MINNESOTA,2020,18,,-,0,,,-,,-,,-,37,,,-,185,,,-,13,,,-,102,,MINNESOTA,,20201823,POINT (-94.198308 46.349153)
LOUISIANA,2020,18,,-,0,,,-,,-,,-,6,,17,,24,,,-,33,,94,,71,,LOUISIANA,,20201845,POINT (-91.840238 30.921314)
HAWAII,2020,18,,-,0,,,-,,-,,-,2,,2,,2,,,-,4,,15,,31,,HAWAII,,20201860,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,18,,-,0,,,-,,-,1,,87,,335,,596,,2,,77,,549,,945,,,SOUTH ATLANTIC,20201828,
PENNSYLVANIA,2020,18,,-,0,,,-,,-,1,,26,,65,,97,,,-,10,,64,,92,,PENNSYLVANIA,,20201813,POINT (-77.838886 40.896694)
UTAH,2020,18,,-,0,,,-,,-,,-,15,,56,,36,,,-,4,,17,,17,,UTAH,,20201855,POINT (-111.678222 39.323779)
COLORADO,2020,18,,-,0,,,-,,-,,-,21,,65,,120,,1,,13,,56,,78,,COLORADO,,20201850,POINT (-105.547832 38.998552)
VERMONT,2020,18,,-,0,,,-,,-,,-,5,,13,,10,,,-,3,,6,,4,,VERMONT,,20201808,POINT (-72.662695 44.075252)
KENTUCKY,2020,18,,-,0,,,-,,-,,-,13,,25,,158,,,-,8,,16,,37,,KENTUCKY,,20201840,POINT (-85.290484 37.526683)
PUERTO RICO,2020,18,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20201867,POINT (-66.414655 18.215692)
MAINE,2020,18,,-,0,,,-,,-,,-,3,,2,,8,,,-,2,,2,,7,,MAINE,,20201804,POINT (-69.06137 45.117911)
VIRGINIA,2020,18,,-,0,,,-,,-,,-,17,,51,,80,,,-,23,,47,,62,,VIRGINIA,,20201836,POINT (-78.666382 37.510861)
ARIZONA,2020,18,,-,0,,,-,,-,1,,13,,53,,59,,2,,17,,106,,95,,ARIZONA,,20201849,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,18,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20201864,
WISCONSIN,2020,18,,-,0,,,-,,-,,-,31,,72,,129,,,-,9,,31,,51,,WISCONSIN,,20201819,POINT (-89.732969 44.639954)
IDAHO,2020,18,,-,0,,,-,,-,1,,11,,6,,48,,,-,7,,,-,10,,IDAHO,,20201851,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,18,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201868,POINT (-64.840836 18.060868)
MICHIGAN,2020,18,,-,0,,,-,,-,,-,12,,24,,99,,,-,12,,47,,57,,MICHIGAN,,20201817,POINT (-85.730977 44.874798)
GEORGIA,2020,18,,-,0,,,-,,-,,-,10,,30,,61,,1,,16,,143,,127,,GEORGIA,,20201832,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,18,,-,0,,,-,,-,,-,27,,85,,237,,,-,55,,237,,369,,,NEW YORK CITY,20201812,
ARKANSAS,2020,18,,-,0,,,-,,-,4,,12,,14,,29,,,-,14,,17,,47,,ARKANSAS,,20201844,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,18,,-,0,,,-,,-,,-,5,,7,,22,,,-,9,,20,,54,,MISSISSIPPI,,20201841,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,18,,-,0,,,-,,-,,-,20,,3,,28,,,-,1,,4,,4,,SOUTH DAKOTA,,20201827,POINT (-100.230491 44.43614)
WYOMING,2020,18,,-,0,,,-,,-,,-,6,,2,,11,,,-,1,,,-,,-,WYOMING,,20201856,POINT (-107.55145 42.999627)
MISSOURI,2020,18,,-,0,,,-,,-,,-,20,,32,,94,,,-,7,,14,,34,,MISSOURI,,20201824,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,18,,-,0,,,-,,-,1,,64,,238,,470,,1,,76,,403,,811,,,MIDDLE ATLANTIC,20201809,
CALIFORNIA,2020,18,,-,0,,,-,,-,,-,97,,285,,678,,1,,62,,296,,557,,CALIFORNIA,,20201859,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,18,,-,0,,,-,,-,,-,5,,13,,16,,,-,2,,1,,4,,WEST VIRGINIA,,20201837,POINT (-80.613729 38.642579)
FLORIDA,2020,18,,-,0,,,-,,-,1,,33,,145,,232,,1,,42,,216,,502,,FLORIDA,,20201831,POINT (-82.420978 28.260731)
MONTANA,2020,18,,-,0,,,-,,-,,-,4,,10,,23,,,-,2,,3,,4,,MONTANA,,20201852,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,18,,-,0,,,-,,-,1,,103,,149,,528,,,-,25,,73,,211,,,WEST NORTH CENTRAL,20201820,
MASSACHUSETTS,2020,18,,-,1,,,-,,-,,-,8,,32,,33,,,-,12,,55,,69,,MASSACHUSETTS,,20201805,POINT (-71.481104 42.151077)
MOUNTAIN,2020,18,,-,0,,,-,,-,2,,52,,205,,331,,3,,39,,219,,239,,,MOUNTAIN,20201848,
INDIANA,2020,18,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20201816,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,18,,-,0,,,-,,-,,-,1,,,-,2,,,-,1,,1,,1,,,NON-US RESIDENTS,20201869,
US TERRITORIES,2020,18,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20201863,
