Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Survey Date,Survey Type,Deficiency Prefix,Deficiency Category,Deficiency Description,Deficiency Tag Number,Scope Severity Code,Deficiency Corrected,Correction Date,Inspection Cycle,Standard Deficiency,Complaint Deficiency,Location,Processing Date
045155,ASH FLAT HEALTHCARE AND REHABILITATION CENTER,66 OZBIRN LANE,ASH FLAT,AR,72513,08/15/2018,Health,F,"Freedom from Abuse, Neglect, and Exploitation Deficiencies",Respond appropriately to all alleged violations.,0610,E,"Deficient, Provider has date of correction",09/14/2018,2,N,true,"66 OZBIRN LANE ASH FLAT, AR 72513 (36.229743, -91.609375)",04/01/2020
045157,RIVER RIDGE REHABILITATION AND CARE CENTER,1100 EAST MARTIN DRIVE,WYNNE,AR,72396,07/20/2017,Health,F,Nutrition and Dietary Deficiencies,"Store, cook, and serve food in a safe and clean way.",0371,F,"Deficient, Provider has date of correction",08/14/2017,3,Y,false,"1100 EAST MARTIN DRIVE WYNNE, AR 72396 (35.216024, -90.78129)",04/01/2020
045165,LINCOLN HEIGHTS HEALTHCARE,505 EAST VICTORY,STAR CITY,AR,71667,01/25/2019,Health,F,Environmental Deficiencies,Keep all essential equipment working safely.,0908,D,"Deficient, Provider has date of correction",02/24/2019,2,Y,false,"505 EAST VICTORY STAR CITY, AR 71667 (33.937486, -91.837653)",04/01/2020
045173,SILVER OAKS HEALTH AND REHABILITATION,1875 OLD WIRE ROAD,CAMDEN,AR,71701,02/24/2017,Health,F,Environmental Deficiencies,"Have a program that investigates, controls and keeps infection from spreading.",0441,E,"Deficient, Provider has date of correction",03/16/2017,3,Y,false,"1875 OLD WIRE ROAD CAMDEN, AR 71701 (33.550941, -92.862455)",04/01/2020
045180,COMMUNITY COMPASSION CENTER OF NASHVILLE,1407 NORTH MAIN STREET,NASHVILLE,AR,71852,09/28/2018,Health,F,Environmental Deficiencies,Provide and implement an infection prevention and control program.,0880,E,"Deficient, Provider has date of correction",10/21/2018,2,Y,false,"1407 NORTH MAIN STREET NASHVILLE, AR 71852 (33.958838, -93.846333)",04/01/2020
045191,GOOD SAMARITAN SOCIETY - HOT SPRINGS VILLAGE,121 CORTEZ RD,HOT SPRINGS VILLAGE,AR,71909,08/22/2019,Health,F,Environmental Deficiencies,Provide and implement an infection prevention and control program.,0880,E,"Deficient, Provider has date of correction",09/21/2019,1,Y,false,"121 CORTEZ RD HOT SPRINGS VILLAGE, AR 71909 (34.671545, -92.963763)",04/01/2020
045194,BENTLEY REHABILITATION AND HEALTH CENTER,1100 EAST 36TH STREET,TEXARKANA,AR,71854,03/01/2019,Health,F,Resident Rights Deficiencies,Reasonably accommodate the needs and preferences of each resident.,0558,E,"Deficient, Provider has date of correction",03/31/2019,2,Y,false,"1100 EAST 36TH STREET TEXARKANA, AR 71854 (33.457396, -94.030871)",04/01/2020
045199,HEARTLAND REHABILITATION AND CARE CENTER,19701 INTERSTATE 30,BENTON,AR,72015,03/31/2017,Health,F,Resident Rights Deficiencies,Keep  residents' personal and medical records private and confidential.,0164,D,"Deficient, Provider has date of correction",04/30/2017,3,Y,false,,04/01/2020
045209,THE CROSSING AT RIVERSIDE HEALTH AND REHABILITATIO,2500 EAST MOORE AVENUE,SEARCY,AR,72143,04/13/2017,Health,F,Nutrition and Dietary Deficiencies,"Store, cook, and serve food in a safe and clean way.",0371,E,"Deficient, Provider has date of correction",04/28/2017,3,Y,false,"2500 EAST MOORE AVENUE SEARCY, AR 72143 (35.253706, -91.708904)",04/01/2020
045211,ARKANSAS NURSING AND REHABILITATION CENTER,2107 DUDLEY STREET,TEXARKANA,AR,71854,07/24/2018,Health,F,Nutrition and Dietary Deficiencies,"Ensure food and drink is palatable, attractive, and at a safe and appetizing temperature.",0804,D,"Deficient, Provider has date of correction",08/14/2018,2,N,true,"2107 DUDLEY STREET TEXARKANA, AR 71854 (33.41984, -94.020553)",04/01/2020
045212,"THE WATERS OF ROGERS, LLC",1513 SOUTH DIXIELAND RD,ROGERS,AR,72758,06/01/2018,Health,F,Resident Rights Deficiencies,Reasonably accommodate the needs and preferences of each resident.,0558,E,"Deficient, Provider has date of correction",07/01/2018,2,Y,false,"1513 SOUTH DIXIELAND RD ROGERS, AR 72758 (36.320524, -94.143954)",04/01/2020
045212,"THE WATERS OF ROGERS, LLC",1513 SOUTH DIXIELAND RD,ROGERS,AR,72758,02/02/2017,Health,F,Resident Rights Deficiencies,Keep  residents' personal and medical records private and confidential.,0164,E,"Deficient, Provider has date of correction",03/04/2017,3,Y,false,"1513 SOUTH DIXIELAND RD ROGERS, AR 72758 (36.320524, -94.143954)",04/01/2020
045242,BRIGHTON RIDGE,235 HUNTSVILLE ROAD,EUREKA SPRINGS,AR,72632,02/23/2017,Health,F,Nutrition and Dietary Deficiencies,"Store, cook, and serve food in a safe and clean way.",0371,F,"Deficient, Provider has date of correction",03/17/2017,3,Y,false,"235 HUNTSVILLE ROAD EUREKA SPRINGS, AR 72632 (36.381056, -93.741883)",04/01/2020
366190,BELMONT MANOR,51999 GUIRINO DRIVE,ST CLAIRSVILLE,OH,43950,08/03/2017,Health,F,Nutrition and Dietary Deficiencies,"Store, cook, and serve food in a safe and clean way.",0371,F,"Deficient, Provider has date of correction",09/15/2017,3,Y,false,"51999 GUIRINO DRIVE ST CLAIRSVILLE, OH 43950 (40.065604, -80.851351)",04/01/2020
045245,CONWAY HEALTHCARE AND REHABILITATION CENTER,2603 DAVE WARD DRIVE,CONWAY,AR,72034,09/28/2017,Health,F,Environmental Deficiencies,"Have a program that investigates, controls and keeps infection from spreading.",0441,F,"Deficient, Provider has date of correction",10/28/2017,3,N,true,"2603 DAVE WARD DRIVE CONWAY, AR 72034 (35.070376, -92.465685)",04/01/2020
366429,ALTERCARE ZANESVILLE INC.,4200 HARRINGTON DRIVE,ZANESVILLE,OH,43701,03/20/2018,Health,F,Resident Rights Deficiencies,Reasonably accommodate the needs and preferences of each resident.,0558,D,"Deficient, Provider has date of correction",05/22/2018,2,Y,false,,04/01/2020
045248,SOUTHFORK RIVER THERAPY AND LIVING,624 HWY 62/412 WEST,SALEM,AR,72576,10/24/2017,Health,F,Quality of Life and Care Deficiencies,Provide necessary care and services to maintain or improve the highest well being of each resident .,0309,E,"Deficient, Provider has date of correction",11/23/2017,3,N,true,,04/01/2020
045254,VILLAGE SPRINGS HEALTH AND REHABILITATION,1208 NORTH HIGHWAY 7,HOT SPRINGS,AR,71909,05/11/2017,Health,F,Nutrition and Dietary Deficiencies,"Store, cook, and serve food in a safe and clean way.",0371,E,"Deficient, Provider has date of correction",06/10/2017,3,Y,false,,04/01/2020
045270,ARBOR OAKS HEALTHCARE AND REHABILITATION CENTER,105 RUSSELLVILLE ROAD,MALVERN,AR,72104,08/11/2017,Health,F,Resident Rights Deficiencies,Allow residents to self-administer drugs if determined safe.,0176,D,"Deficient, Provider has date of correction",09/10/2017,3,Y,false,"105 RUSSELLVILLE ROAD MALVERN, AR 72104 (34.34723, -92.823463)",04/01/2020
045275,ADVANCED HEALTH AND REHAB OF UNION COUNTY,1700 EAST SHORT HILLSBORO,EL DORADO,AR,71730,02/14/2020,Health,F,Environmental Deficiencies,Provide and implement an infection prevention and control program.,0880,D,"Deficient, Provider has date of correction",03/14/2020,1,Y,false,,04/01/2020
045280,TWIN LAKES THERAPY AND LIVING,6152 HIGHWAY 202 EAST,FLIPPIN,AR,72634,01/30/2020,Health,F,Nutrition and Dietary Deficiencies,"Procure food from sources approved or considered satisfactory and store, prepare, distribute and serve food in accordance with professional standards.",0812,E,"Deficient, Provider has date of correction",03/02/2020,1,Y,false,,04/01/2020
045288,ALLAY HEALTH AND REHAB,3115 BOWMAN ROAD,LITTLE ROCK,AR,72211,09/19/2018,Health,F,Pharmacy Service Deficiencies,Ensure that residents are free from significant medication errors.,0760,D,"Deficient, Provider has date of correction",10/18/2018,2,Y,false,,04/01/2020
045303,"CRESTPARK STUTTGART, LLC",707 WEST 20TH STREET,STUTTGART,AR,72160,01/18/2019,Health,F,Resident Assessment and Care Planning Deficiencies,Ensure services provided by the nursing facility meet professional standards of quality.,0658,E,"Deficient, Provider has date of correction",02/04/2019,2,Y,false,"707 WEST 20TH STREET STUTTGART, AR 72160 (34.483162, -91.560024)",04/01/2020
045306,HILLCREST CARE AND REHAB,1421 WEST SECOND ST NORTH,PRESCOTT,AR,71857,08/17/2018,Health,F,Environmental Deficiencies,Provide and implement an infection prevention and control program.,0880,D,"Deficient, Provider has date of correction",09/14/2018,2,Y,false,"1421 WEST SECOND ST NORTH PRESCOTT, AR 71857 (33.810155, -93.377618)",04/01/2020
045312,MONETTE MANOR LLC,669 HWY 139 NORTH,MONETTE,AR,72447,10/11/2018,Health,F,Environmental Deficiencies,Implement a program that monitors antibiotic use.,0881,F,"Deficient, Provider has date of correction",11/05/2018,2,Y,false,,04/01/2020
045321,"LEXINGTON PLACE HEALTHCARE AND REHABILITATION, LLC",2911 BROWNS LANE,JONESBORO,AR,72401,10/04/2019,Health,F,Administration Deficiencies,Administer the facility in a manner that enables it to use its resources effectively and efficiently.,0835,L,"Deficient, Provider has date of correction",10/29/2019,1,N,true,"2911 BROWNS LANE JONESBORO, AR 72401 (35.811279, -90.687047)",04/01/2020
045321,"LEXINGTON PLACE HEALTHCARE AND REHABILITATION, LLC",2911 BROWNS LANE,JONESBORO,AR,72401,12/13/2019,Health,F,Environmental Deficiencies,Provide and implement an infection prevention and control program.,0880,E,"Deficient, Provider has date of correction",01/12/2020,1,Y,false,"2911 BROWNS LANE JONESBORO, AR 72401 (35.811279, -90.687047)",04/01/2020
045323,ST MICHAEL'S HEALTHCARE,1311 NORTH PECAN ST,NEWPORT,AR,72112,11/30/2018,Health,F,Nutrition and Dietary Deficiencies,Dispose of garbage and refuse properly.,0814,E,"Deficient, Provider has date of correction",12/30/2018,2,Y,false,"1311 NORTH PECAN ST NEWPORT, AR 72112 (35.617883, -91.264446)",04/01/2020
045334,"THE WATERS OF NEWPORT, LLC",326 LINDLEY LANE,NEWPORT,AR,72112,11/16/2017,Health,F,Quality of Life and Care Deficiencies,Provide care by qualified persons according to each resident's written plan of care.,0282,E,"Deficient, Provider has date of correction",12/15/2017,3,Y,false,"326 LINDLEY LANE NEWPORT, AR 72112 (35.634201, -91.261075)",04/01/2020
045339,ATKINS NURSING AND REHABILITATION CENTER,605 NORTHWEST 7TH STREET,ATKINS,AR,72823,08/10/2017,Health,F,Pharmacy Service Deficiencies,Ensure that residents are safe from serious medication errors.,0333,D,"Deficient, Provider has date of correction",09/06/2017,3,Y,false,"605 NORTHWEST 7TH STREET ATKINS, AR 72823 (35.249232, -92.943537)",04/01/2020
045348,LONGMEADOW NURSING CENTER - CAMDEN,365 ALPHA STREET,CAMDEN,AR,71701,10/19/2018,Health,F,Resident Assessment and Care Planning Deficiencies,Ensure a qualified health professional conducts resident assessments.,0642,B,"Deficient, Provider has date of correction",10/19/2018,2,Y,false,"365 ALPHA STREET CAMDEN, AR 71701 (33.585439, -92.885101)",04/01/2020
045348,LONGMEADOW NURSING CENTER - CAMDEN,365 ALPHA STREET,CAMDEN,AR,71701,10/19/2018,Health,F,Environmental Deficiencies,Implement a program that monitors antibiotic use.,0881,F,"Deficient, Provider has date of correction",11/18/2018,2,Y,false,"365 ALPHA STREET CAMDEN, AR 71701 (33.585439, -92.885101)",04/01/2020
045350,COURTYARD GARDENS HEALTH AND REHABILITATION CENTER,2701 TWIN RIVERS DRIVE,ARKADELPHIA,AR,71923,10/27/2017,Health,F,Resident Rights Deficiencies,Provide residents with private access to a telephone.,0174,B,"Deficient, Provider has date of correction",10/27/2017,3,Y,false,"2701 TWIN RIVERS DRIVE ARKADELPHIA, AR 71923 (34.126936, -93.082238)",04/01/2020
045351,CARE MANOR NURSING AND REHAB,804 BURNETT DRIVE,MOUNTAIN HOME,AR,72653,04/18/2019,Health,F,Pharmacy Service Deficiencies,Ensure that residents are free from significant medication errors.,0760,D,"Deficient, Provider has date of correction",05/10/2019,1,Y,false,"804 BURNETT DRIVE MOUNTAIN HOME, AR 72653 (36.340127, -92.399249)",04/01/2020
045372,"THE WATERS OF WHITE HALL, LLC",9209 DOLLARWAY ROAD,WHITE HALL,AR,71602,02/09/2018,Health,F,Environmental Deficiencies,Keep all essential equipment working safely.,0908,F,"Deficient, Provider has date of correction",03/11/2018,3,N,true,"9209 DOLLARWAY ROAD WHITE HALL, AR 71602 (34.283076, -92.095657)",04/01/2020
045373,"BRADFORD HOUSE NURSING AND REHAB, LLC",1202 S E 30TH STREET,BENTONVILLE,AR,72712,03/02/2018,Health,F,Quality of Life and Care Deficiencies,Provide safe and appropriate respiratory care for a resident when needed.,0695,E,"Deficient, Provider has date of correction",03/30/2018,3,Y,false,"1202 S E 30TH STREET BENTONVILLE, AR 72712 (36.34013, -94.193745)",04/01/2020
045376,"SHERWOOD NURSING & REHABILITATION CENTER, INC",245 INDIAN BAY DRIVE,SHERWOOD,AR,72120,09/15/2017,Health,F,Quality of Life and Care Deficiencies,Provide care by qualified persons according to each resident's written plan of care.,0282,E,"Deficient, Provider has date of correction",10/14/2017,3,Y,false,"245 INDIAN BAY DRIVE SHERWOOD, AR 72120 (34.843071, -92.189164)",04/01/2020
