business name,address1,address2,city,state,zipcode,county,contact name,website,email,company profile,company description,location description,latlong
Webb City Farmers' Market,106 E. Tracy St.,,Webb City,MO,64870,Jasper,David Hill,http://www.webbcityfarmersmarket.com/,webbcityfm@gmail.com,"<p>The Webb City Farmers Market is a producer only market focused on local foods. We&#39;re open year-round on Saturdays from 9 to noon. Our market also has a market on Tuesdays from 4 to 7 pm and Thursdays from 11 to 2 pm, the addition of the weekday markets are dependent on season and crop production. Please visit our website for more information.</p><p><br></p><p>During the regular season, there is live music and a meal at every market.</p><p><br></p><p>On Saturdays, the market hosts Cooking for a Cause, a benefit breakfast featuring biscuits and gravy, sausage and eggs to order. All profits benefit a different local nonprofit each week.</p><p><br></p><p>Year Round, Saturday 9:00 a.m.- 12:00 p.m.</p><p>April- October, Tuesday 4:00 p.m.- 7:00 p.m.</p><p>April- August, 11:00 a.m.- 2:00 p.m.</p>","Most products sold at the market come from within 50 miles of Webb City.<br><br>All vendors are inspected prior to setting up at the market to ensure that the customer is buying directly from the producer. Market produce is truly &quot;food with a face&quot; where customers buy directly from the baker, the beekeeper, the gardener and the grower.<br><br>All producers of edible food must take a Food Safety: from field to market course prior to selling at the Webb City Farmers Market.","The market is located just east of 555 South Main Street in Webb City (64870) just southeast of the Main Street entrance to King Jack Park. During the winter the pavilion is enclosed with temporary sidings and heated.<br><br>Year Round, Saturday 9:00 a.m.- 12:00 p.m.<br>April- October, Tuesday 4:00 p.m.- 7:00 p.m.<br>April- August, 11:00 a.m.- 2:00 p.m.","(37.140398, -94.46497)"
Independence Uptown Market,211 West Truman Road,,Independence,MO,64050,Jackson,Joe Antoine,http://www.independenceuptownmarket.com,joe@antoineseed.com,Locally Grown Produce &amp; Handmade Crafts<br><br>Over 30 years in operation and about 50 vendors,"Produce, Meat, Honey, Baked Goods, Jams &amp; Jellies, Kettle Corn, Salsa, Pretzels, BBQ and Craft Items","211 West Truman Road off the Independence Square<br><br>Open:<br>Saturdays 7 a.m. from May - October<br>Wednesdays 7 a.m. from June - September <br><br>We accept EBT/SNAP, Debit &amp; Credit.  We offer Double Up Food Bucks for our EBT customers.<br><br>Check out our Facebook page for more information: <a href=""http://www.facebook.com/IndependenceUptownMarket/"" target=""_blank"">www.facebook.com/IndependenceUptownMarket/</a>","(39.093722, -94.418663)"
International Farmers Market,3371 N Hwy 63,,West Plains,MO,65775,Howell,Lana Puras,https://www.facebook.com/International-Farmers-Market-594583467376108/,farmersmarket3377@gmail.com,The International Farmers&#39; Market is open year round.<br>Sunday from 9 am to 4 pm<br>Tuesday through Saturday 9 am to 6 pm,The International Farmers&#39; Market sells a variety of products.,The International Farmers&#39; Market is located at 3371 N US Hwy 63.,"(36.775679, -91.886113)"
Just Wright Produce Patch,3815 State Hwy 215,,Doniphan,MO,63935,Ripley,Karla Wright,https://www.facebook.com/thewrightpatch/,thewrightpatch@gmail.com,"<p>We offer home-grown organic produce, plants and baked goods. We have apple trees, garden produce and 11 rows of blue, black and raspberries on our property.</p>","<p>Blackberries, raspberries, blueberries, strawberries, apples, radishes, lettuce, tomatoes, kale, spinach and okra</p>","<p>Find us on facebook @ <a href=""https://www.facebook.com/thewrightpatch/"" target=""_blank"">the wright patch</a>.</p><p>Visit us at the Oregon County Farmers&#39; Market in Alton, MO.</p><p>Make sure to like our page to keep up on the latest updates.</p>","(36.68742, -90.977242)"
Arnold Farmers' Market,Arnold City Park2400 Bradley Beach Rd,,Arnold,MO,63010,Jefferson,Teresa Kohut,https://www.arnoldmo.org/government/departments/parks-recreation/arnold-farmers-market/,tkohut@arnoldmo.org,The Arnold Farmers&#39; Market has been in existence for the past 7 years.  It was originally hosted at 745 Jeffco Blvd. on the Fox C-6 Campus.  Since then it has moved to Arnold City Park and is located at the front of the Park just off Jeffco Blvd. and Bradley Beack Road.,"Our Market sells a variety of products including a great variety of vegetables, meats, honey, eggs, micro-greens and fruit.  We have organic vegetables, no-till produce and grass-fed as well as free range meats.  We have beef, pork, chicken and eggs from ducks, chickens and turkeys.","2400 Bradley Beach Road, Arnold, MO 63010<br><br>Open Saturdays May - October 8 a.m. to noon","(38.454025, -90.343453)"
Missouri River Communities Network,"200 Old 63 South,  Suite 203",,Columbia,MO,65201,Boone,Jennifer Grabner,http://www.moriver.org/home/about-us/,jennyg@moriver.org,"Missouri River Communities Network is a non-profit organization and administers the Missouri Healthy Food AmeriCorps Program.<br><br>This AmeriCorps program is statewide and supports school/youth garden and agriculture education through collaborations with school districts, food service companies and other community organizations.",Most of the gardens and urban farms we support produce seasonal vegetables and fruits.,For additional information about the member company view their website information or contact them directly.,"(38.947853, -92.308441)"
Hickory County Farmers' Market,24885 State Hwy 254,,Hermitage,MO,65668,Hickory,Melissa Elliott,https://hickorycountyfarmersmarket.com/,elliottm@hickorycountyhealth.org,"An open-air market featuring produce, baked goods and local vendors with an emphasis on buying fresh, local and handcrafted.  Kids 18 and under eat free every Friday from a menu of locally grown ingredients.<br><br>Plenty of parking, restrooms and seating with playground equipment for the kids.  Come enjoy our NEW community herb garden.  We accept SNAP and match up to $25 per week.<br> ","We have at least one special event each month including:  antique car show, motorcycle show, kid&#39;s bike rodeo, salsa showdown, bee education and a chili cook off. <br><br>Like our Facebook page for notification of the dates of these events at <a href=""http://www.facebook.com/HickoryCountyFarmersMarket "" target=""_blank"">www.facebook.com/HickoryCountyFarmersMarket </a>.<br><br> ","Open Fridays May 3 through October 25 from 3 p.m. to 6 p.m.<br><br>A special holiday market will be hosted on Monday, November 25 from 3 p.m. to 6 p.m.","(37.919355, -93.310504)"
Lincoln County Farmers' Market,170 Market Place Dr,,Troy,MO,63379,Lincoln,Wanda Gleason,https://www.facebook.com/LincolnCo.FarmersMarket/,,We started this new farmers&#39; market in March 2017 with a mission to help farmers and the community. We want to get fresh produce grown by our farmers and animals to the community.,"Plants of all kinds including vegetables and flowers, fresh produce, rabbits, goats, chickens, quail eggs, Amish baked goods and an assortment of jams and jellies.","We are at Tractor Supply in Troy, MO behind Bank of Old Monroe and open every Saturday in March through October from 8 a.m. - 1 p.m.","(38.988449, -90.971921)"
Fair Play Farmers' Market,4302 S. 31st Road,,Fair Play,MO,65649,Polk,Ronald Milosevich,http://www.fairplayfarmersmarket.com/,president@fairplayfarmersmarket.com,<p>The FPFM exists to support and promote local farmers and artisan products made only in Missouri. All of our members promote educating the public on their trade.</p>,"<p>The market supports locally grown produce, handmade soaps, artisan baked goods and many other handmade items.</p>","<p>Just South of the intersection of MO 32 and MO 123</p><p>We are open mid-April to mid-September. </p><p>Tuesdays 8 a.m. to Noon, Fridays 3 p.m. to 7 p.m.</p>","(37.629344, -93.573378)"
Van Buren Farmers' Market,1501 Main Street,,Van Buren,MO,63941,Carter,Crystal Johnson,https://www.facebook.com/VanBurenMOfarmersmarket/,valleyvisionranch@gmail.com,"<p>Tucked in the hills of the Missouri Ozarks, tourists come to Van Buren from across the world to float and fish the Current River. </p><p>As a response to the 2017 flood that devastated the town, our Farmers&#39; Market was established in a grass-roots effort to bring the Community together to rebuild. </p><p>Now boasting 15 - 20 vendors from across the region, you can sample the Tastes and Craftsmanship of our Ozarks and take a piece with you back home.</p>","<p>Local Produce, 100% Grass-Fed Beef, Pastured Chickens/Turkeys, Fresh Cow and Goat Milk, Artisan Cheeses, Living Foods, Local Honey, Smoked Meats and to order lunch Grill, Fresh Baked Artisan Breads, Cookies, Cinnamon Rolls, Jams, Jellies and Pickled items, Fresh Chicken/Duck Eggs (some free range), Long-Fermented Sourdough and Ancient Grain Breads, Homespun Wool, Fresh Cut Flowers, Handcrafted Soaps, Rugs, Wreaths, Jewelry, Hand-made Gifts and Cards, etc.</p>","<p>First Assembly of God Pavilion in Van Buren, MO on Main Street. </p><p>Take 60 Hwy, turn into town and turn right on Main Street at Jolly Cone. Pass Sterling Bank, School, City Hall, Big Spring&#39;s Cafe, and we are spread out in the pavilion and behind and around the Red Brick church on your right. </p><p>Open every Saturday: May 2 - end of October, 9 a.m. - 1 p.m.</p>","(37.00716, -91.00574)"
Cass County Farmers Market,2601 Cantrell Road,,Harrisonville,MO,64701,Cass,Ellen Lake,http://www.cassfarmers.com,ellegro@hotmail.com,"Cass County Farmers Market has been in Harrisonville for over 30 years. We pride ourselves in carside service rain or shine. You are always met with a smile and a warm welcome. We accept SNAP and EBT.<br> <br>Know what else we have at farmer&#39;s market? Free information, about plants, seeds, pests etc. For ideas about what plants to plant to feed bees so bees help your garden flourish, ask us. Want info on getting started in the egg business, ask Mike. Want to know how to grow almost anything, ask Sherry. Collectively we know a lot about growing.","Seaonal veggetables: peppers, corn, lettuce, melons, beans, okra, tomatoes, beets, cauliflower, broccoli, kale, potatoes, onions, cucumbers, zucchini, squash and pumpkins<br> <br>Other items local honey, eggs, pecans, jam and jelly. We also have handmade crafts such as baskets, dish cloths, towels, scrubbies, jewelry, lip balm and bowl warmers",Hours operation first Saturday in May through last Saturday in October 8 a.m. – 12 p.m. (or when products are gone)<br> <br>Directions: Located in the Family Center&#39;s Parking lot in front of the Movie Theater close to I-49 (old US HWY 71) and M-291. Harrisonville exit #160 off I-49,"(38.659712, -94.372657)"
Harmony Farms,837 NW 701 Road,,Centerview,MO,64019,Johnson,Jennifer Harpham,https://www.facebook.com/Harmony-Farms-1619535274955835/,harmonyfarmsmo@gmail.com,"Thank you for taking time to learn about our heritage pork! We&#39;re positive you&#39;ll enjoy our pork as much as we do. Our goal is to provide you with the highest quality pork that is raised outdoors with the freedom to express their natural habits. Our 63-acre family farm is nestled in the northwest corner of Johnson County, MO, centrally located between I-70 and 50 hwy.<br><br>We utilize electric fencing and intensively rotate pigs through our farm&#39;s lush pastures and woodlands throughout the year before resting in our winter pastures. In addition to pasture pigs, we raise goat, lamb, and poultry. Our diverse livestock combination symbiotically uses the farm while improving pastures and soil fertility.<br><br>At Harmony Farms, our sows give birth in a peaceful setting chosen by them. We provide shelter and nesting materials (straw, hay, pasture/forage) to keep their young warm and dry. Our animals are never restricted or crated during labor. We breed the hardiest of livestock with superior mothering abilities. These mothers can farrow without crates or heat lamps in outdoor inclement weather, which is one of the reasons we raise delicious, old fashioned, heritage genetic pigs.<br><br>Diverse food sources are a part of our recipe to pork perfection. To start, we feed produce year-round from Buckeye Acres Produce in Warrensburg, MO. The variety of feed the pigs enjoy from day to day are: tomatoes, squash, pumpkins, watermelons, peppers, apples, cucumbers, eggplant and sweetcorn. In addition to the vegetables, our pigs recycle non-alcoholic grains from making whiskey from Restless Spirits Distillery and beer from Cinder Block Brewery. On the farm, this warm treat is known as &quot;pig oatmeal&quot;�. Waste bread, hard boiled eggs, and free choice pasture and hay are also farm favorites. To balance the buffet variety in their diet, we have a custom, antibiotic-free feed mixed for our farm by Vast Feeds in Warrensburg, MO. The significant assortment in their nutrition contributes to tastier pork along with heritage genetics. The longer growth time for these &quot;non-commercialized&quot;� psig allow for further flavor development and richer color of the pork.<br><br>When you&#39;re ready to take your pork to the next level, call us. Our family farm is ready to provide you with superior tasting pork raised humanely and fed for flavor. We offer finished hogs monthly and have roasters available for special events. We can sell you a pound of bacon or a whole hog for your freezer. Thank you for your support!<br><br>Thank you,<br>The Harphams",For more information about the member company visit their website information or contact them directly.,For more information about the member company visit their website information or contact them directly.,"(38.888172, -93.869857)"
Ivanhoe Farmers' Market,"3700 Woodland Ave,",,Kansas City,MO,64109,Jackson,Neil Rudisill,,nrudisill@incthrives.org,"The Ivanhoe Farmers&#39; Market is a small neighborhood market that was created to serve a need in a community that was without access to fresh fruits, vegetables and other healthy food options.<br><br>The seasonal market is mostly supplied by neighborhood farmers and food entrepreneurs who are trained under the Grown in Ivanhoe Program. This program helps develop urban farm startups by offering technical assistance and resources to beginning farmers and gardeners.<br><br>The Ivanhoe Farmers&#39; market is also considered a positive alternative for the regional residents to use as a fun, safe and educational place to enjoy a Saturday morning. We accept EBT as well as double food stamps to allow more people to access healthy food.","The Ivanhoe Farmers&#39; Market has a variety of products that change with the season. Our market begins in June and during the first month of the season our vendors have kale, collard, chard, lettuce mix, arugula, micro mix, radish, turnip, beets, carrots, spring onion, and herbs.<br><br>We have poultry and eggs that are free range and produced locally. We also offer baked goods, jams, jellies and artisan soaps.<br><br>As the season turns to summer we offer tomatoes, green peppers, potatoes, garlic, onion, cucumber, squash and okra. During different times of the season we have local entrepreneurs who are beginning to learn how to sell their products and these residents could have anything from clothing to jewelry. We also support other social service providers and allow for different groups to set up booths to promote their services to our community.","The Ivanhoe Farmers&#39; Market is located at 3700 Woodland Ave, Kansas City.<br><br>June- September, Saturday 9:00 a.m.- 12:00 p.m.","(39.059135, -94.562899)"
Maryville Farmers' Market,"4th & Buchanan Streets, (parking lot)",,Maryville,MO,64468,Nodaway,Sam Mason,http://www.farmersmarket64468.com,smason@nwmissouri.edu,"2019 marks the 4th year of the new and improved Maryville Farmers Market. In 2016, the Maryville Host Lions Club took over sponsorship and operation of the market in an effort to provide the Maryville Community with access to fresh produce and locally made handcrafted items.<br><br>The Market is located in Downtown Maryville at the corner of 4th and Buchanan streets. We are open every Saturday morning from 7:30 a.m. to Noon, May 3 - Sept. 28.","We are a small but growing market with approximately 12-18 vendors present each week. Our vendors offer asparagus, rhubarb, radishes, okra, kale, spinach, hydroponically grown lettuce, strawberries, tomatoes, sweet corn, heirloom tomatoes, potatoes, onions, beef, and much more.<br><br>Other items include yarns, cookies, pies, pastries, donuts, home decor, starter plants, hanging baskets, gluten-free items, essential oils, pumpkins, gourds, melons, cantaloupes, and much much more. It changes by the week!",The Maryville Farmers Market is located at the corner of 4th and Buchanan Streets in beautiful Downtown Maryville.  <br><br>Our 2019 market will operate May 3rd - September 28th.  We are open every Saturday morning between those dates from 7:30 a.m. - 12 Noon.,"(40.34881, -94.874066)"
Cape Locally Grown,RR 5 Box 5,,Patton,MO,63662,Bollinger,Lance Green,https://www.capelocallygrown.net/,info@capelocallygrown.net,"Cape Locally Grown is a dynamic network of small farms, food artisans, wild crafters and gardeners located around Cape Girardeau, Missouri and founded in the fall of 2014. All members are dedicated to supplying their customers with the freshest and highest quality vegetables, herbs, baked goods, milled products, dairy, eggs, meats, fruits, flowers and transplants. Participating producers vary in size, farming methods and specialty, but all carry the common thread of dedication to creating a sustainable local food community.","Cape Locally Grown is like an online farmers&#39; market and each customer buys from the individual producer or local food hub. Each product is produced locally. All producers are responsible for being transparent about their growing practices.<br><br>A unique part of Cape Locally Grown is that the vegetables, fruits, herbs, flowers, baked products and dairy/egg products are not sitting around on a shelf or warehouse somewhere waiting to be ordered. They are still growing and staying fresh in their grower&#39;s care and they are not picked or produced until you order it. This allows the utmost of nutrition to be available for you when you receive it.","You can find us online at <a href=""https://www.capelocallygrown.net"" target=""_blank"">www.capelocallygrown.net</a>.<br><br>We deliver to the Cape Girardeau/Jackson area.<br><br>Orders are received Thursday through Monday evening.<br><br>Orders are delivered on Wednesday afternoon.","(37.502279, -90.013441)"
"Shepherd of the Hills Development, LLC",5586 W 76 Country Blvd.,,Branson,MO,65616,Taney,Jeff Johnson,https://theshepherdofthehills.com,jjohnson@oldmatt.com,"<p>Shepherd of the Hills Outdoor Theater and Adventure Park is located on 160 acres that was originally homesteaded by John and Anna Ross back in 1894. It is the location that Harold Bell Wright spent several summers and inspired his Best Selling novel THE SHEPHERD of the HILLS.</p><p>For 60 seasons the Old Mill Theater has performed this legendary story in the evening,outside under the stars. During the daytime guests are invited to take part in Historical Tours of the Homestead, see working crafters, or visit our petting zoo and playland. Shepherd of the Hills is not only dedicated to historical preservation, but also the preservation of local farmers and craftsmen.</p>","<p>Currently we host a Farmers&#39; Market each Friday afternoon. </p><p>Our theme is Homemade, Homegrown, or Home Cooked. We will also be hosting a crafts fair and Fall Festival.</p>",<p>The Homestead is open 7 days a week. </p><p>Farmers&#39; market is Fridays from 3 p.m. to 7 p.m. </p><p>Our Fall Festival takes place each weekend in October.</p>,"(36.669671, -93.305954)"
Marshfield Farmers' Market,900 W Washington,,Marshfield,MO,65706,Webster,Rachel (Katie) Miller,https://www.facebook.com/marshfieldfarmersmarket/,marshfield.farmers.market@gmail.com,"<p>This farmers&#39; market has everything for fruit and vegetable lovers to bird lovers with bird houses and bird feeders. The market has eggs, and baked goods of all kinds. There is something for everybody young and old.</p>","The Marshfield Farmers&#39; Market sells a variety of products. The market has assorted baked goods, jam and jellies, bedding plants and herbs, free range chicken, hand made jewelry, all kinds of vegetables in season, mushrooms, granola, eggs, flowers, crafts, bird houses and bird feeders.",<p>The Marshfield Farmers&#39; Market is located at 900 W. Washington.</p><p><br></p><p>Marshfield Farmers&#39; Market is located off Exit 100 on I-44 Interstate. Go South into Marshfield. It is located in the Young&#39;s Shopping Center parking lot which is a half mile south of the Interstate.</p><p><br></p><p>The Market gathers on Fridays from 3:00 p.m. until 7:00 p.m. May through October.</p>,"(37.335861, -92.921468)"
Local Harvest Farmers' Market of Forsyth,11048 State Highway 76 East,,Forsyth,MO,65653,Taney,Glenda Hunt,https://www.facebook.com/TaneyFarmersMarket/,fsfctreasurer@yahoo.com,"The Local Harvest Farmers&#39; Market of Forsyth is owned and operated by the Seniors of Eastern Taney County. We are a non-for-profit organization. The market building sits on 8.5 acres which we, the seniors, have purchased to build a new Senior Center. The building has been remodeled and currently has spaces for 15-20 vendors inside and 20-30 vendors outside. We are entering our third season of operation.<br><br>Our season opens mid-April and goes into December with our local craftsmen. The areas we serve include the following towns: Forsyth, Rockaway Beach, Merriam Woods, Walnut Shade, Kissee Mills, Bradleyville, Kirbyville, and Taneyville. We are the ONLY farmers&#39; market serving the eastern side of Taney County. The market is run entirely by volunteers.","Vegetables, fruits, canned goods, jams, jellies, baked goods, breads, cheeses, farm fresh eggs, live and dressed turkeys and quail, along with quail eggs<br>Goat and cow milk<br><br>We also run a concession at the market serving Biscuits and Gravy for Breakfast and Pulled Pork, Sausage Dogs, Tacos and anything else I might feel like cooking for lunch.<br><br>During the hot summer we have sundaes!","Vegetables, fruits, canned goods, jams, jellies, baked goods, breads, cheeses, farm fresh eggs, live and dressed turkeys and quail, along with quail eggs<br>Goat and cow milk<br><br>We also run a concession at the market serving Biscuits and Gravy for Breakfast and Pulled Pork, Sausage Dogs, Tacos and anything else I might feel like cooking for lunch.<br><br>During the hot summer we have sundaes!","(36.672696, -93.096046)"
Hannibal Central Park Farmers' Market by Hannibal Parks and Recreation,"4th & Broadway, Central Park",,Hannibal,MO,63401,Marion,Mary Lynne Richards,http://www.hannibalparks.org/hcpfm,mlrichards@hannibal-mo.gov,City of Hannibal Parks and Recreation Department operates a local Farmers’ Market in Central Park.<br><br>The Market is run by volunteers who are sellers in the Market.,"Typical vegetables and fruits common at most Missouri Markets.<br><br>We also sell bake goods, plants and other homemade items.","<p>Central Park Farmers’ Market</p><p>4th &amp; Broadway</p><p>Hannibal, MO 63401</p><p><br></p><p>April 25th through October 31st.</p><p><br></p><p>Tuesdays 3 p.m. to 7 p.m.</p><p>Saturdays 7:30 a.m. to noon</p>","(39.708823, -91.357854)"
Putnam County Farmers' Market,"Unionville City Park,  Hwy. 5",,Unionville,MO,63565,Putnam,Leta Torrey,,,"Putnam County Farmers&#39; Market will be held on:<br><br>Tuesdays through August on the Courthouse lawn<br><br>Saturday’s through October at the City Park in Unionville<br><br>North of Junction 5 and 136 North on 5, five blocks in Unionville City Park in North Shelter House next to Hwy 5.","For additional information about products available, please contact the market manager directly.","Putnam County Farmers&#39; Market will be held on:<br><br>Tuesdays through August on the Courthouse lawn<br><br>Saturday’s through October at the City Park in Unionville<br><br>North of Junction 5 and 136 North on 5, five blocks in Unionville City Park in North Shelter House next to Hwy 5.","(40.475907, -93.002216)"
A Red Circle dba Healthy Community Market,351 Chambers. Rd.,,St. Louis,MO,63137,St. Louis,Erica R. Williams,http://aredcircle.org,info@aredcircle.org,"A Red Circle is a not-for-profit organization founded in 2017 to address racial equity in north St. Louis County, Missouri. Its focus areas are: employment, education, holistic living, policy, and the arts.",A Red Circle&#39;s Healthy Community Market will sell locally grown produce from north St. Louis County farmers and growers!,"Zion Traveler&#39;s Missionary Baptist Church<br>351 Chambers Road<br>St. Louis, MO 63137<br><br>on the final Saturday of the month in May through October 2019.","(38.748789, -90.210518)"
"Crooked Hill Beekeeping, LLC",19133 LIV 355,,Chillicothe,MO,64601,Livingston,Tammy George,http://www.chbeekeeping.com,georges@chbeekeeping.com,"<p>Crooked Hill Beekeeping LLC is a family-owned farm with a beekeeping supply store and apiary. Our business includes retail and wholesale sales of beekeeping supplies, packaged bee and bee nuc sales, manufacturing of Langstroth style and custom beehives, local honey sales and a 25 plus hive apiary with seasonal queen rearing.</p><p><br></p><p>Starting in July of 2019 we will also begin offering onsite beekeeping classes.</p>","<p>Crooked Hill Beekeeping locally manufactures and sells Langstroth style wooden beehives and can also take orders for custom made beehives and parts. </p><p><br></p><p>We produce and sell raw local honey and beeswax from our hives in Livingston county. </p><p><br></p><p>In the late spring and early summer, we sell honey bees and queens raised from our own hives. </p><p><br></p><p>In April and early May, we inspect and resell honey bees from other producers.</p>","<p>Crooked Hill Beekeeping is located south of Chillicothe, Missouri. </p><p>Our address is 19133 LIV 355, Chillicothe, MO 64601. </p><p><br></p><p>Most of the year we are open by appointment only. Our store, apiary, and home are all located on the farm, so appointments are available most of the time. </p><p><br></p><p>During the distribution of preordered bees, we are open from 7 a.m. to 9 p.m.</p>","(39.701148, -93.481046)"
Weaver's Country Market,13920 Market Rd,,Versailles,MO,65084,Morgan,,,,For more information about the member company visit their website information or contact them directly.,For more information about the member company visit their website information or contact them directly.,For more information about the member company visit their website information or contact them directly.,"(38.477807, -92.722137)"
Sullivan Farms,1446 Highway 67,,Farmington,MO,63640,St. Francois,Robert Sullivan,https://www.facebook.com/sullivanfarms.farmington.mo/,sullivan7678@hotmail.com,"Sullivan Farms is committed to providing quality organically-grown produce, meat, and eggs to area consumers who value clean eating. Our family has been farming for over 50 years, and we understand the importance of providing your family with the highest quality whole foods.","Grass-fed &amp; finished beef (sold by the whole or half animal or by individual cuts); pork raised on non-gmo feed (sold by the whole or half animal or by individual cuts); free-range Cornish Cross chicken (whole, dressed chickens); free-range turkey (whole, dressed turkeys); free-range eggs; microgreens; organically-grown seasonal produce including sweet corn, green beans, tomatoes, peppers, onions, kale, lettuce, spinach, broccoli, cauliflower, cabbage, radishes, beets, squash, okra, carrots, turnips, cucumbers, potatoes, pumpkins, and gourds.","We are happy to take orders by email, phone, facebook message; or come visit us at our farm or at the Farmington Farmers&#39; Market on Saturday mornings between April and October.","(37.696289, -90.386064)"
