Signal ID,Location Name,Signal Type,Signal Status,ATD Location ID,COA Intersection ID,Control,Council District(s),Primary St,Cross St,Cross St Segment ID,Landmark,Primary Signal,Secondary Signal(s),Jurisdiction Label,Primary St Segment ID,Signal Eng. Area,Traffic Engineer Area,Turn On Date,Location,Cross St Block,Primary St Block,Signal PM Max Fiscal Year,Pedestrian Signal Type,Pedestrian Button Type,Leading Pedestrian Interval,Date Leading Pedestrian Interval Installed,North/South Pedestrian Interval,East/West Pedestrian Interval,Leading Pedestrian Interval Comment,Bicycle Signal,Bus Stops,Source DB ID,IP Communication status,Comm Status Datetime,Owner,Detection status,Detection Status Date,Construction Note,Construction Note Date,Latitude,Longitude,Modified Date
604, LAKE CREEK PKWY / 183 HWY SVRD,TRAFFIC,TURNED_ON,LOC16-003015,5150355,PRIMARY,6, LAKE CREEK PKWY,US 183 HWY SVRD,2048156,,,603:  LAKE CREEK PKWY / 183 HWY SVRD,AUSTIN FULL PURPOSE,2037572,NORTHWEST,,10/24/2008,"(30.4611416, -97.7945862)",13772,10220,2019,WALK/DONT WALK,,False,,,,,False,"3824, 3818, 3823, 4654",5817c096e052e0422be6c8a1,ONLINE,01/01/2019 09:25:00 AM +0000,TxDOT,OK,02/28/2020 06:00:00 AM +0000,,,30.4611416,-97.7945862,05/04/2020 03:00:00 PM +0000
396, RIVERSIDE DR / WILLOW CREEK DR,TRAFFIC,TURNED_ON,LOC16-001940,5159438,PRIMARY,3, RIVERSIDE DR, WILLOW CREEK DR,2041457,,,,AUSTIN FULL PURPOSE,2041459,SOUTHWEST,,01/22/1993,"(30.2376804, -97.7256622)",1601,2316,2019,WALK/DONT WALK,,False,,,,,False,"1030, 1003, 5194, 1029, 1361, 1190, 1002, 1244",5817c089e052e0422be6c6fe,ONLINE,10/11/2017 08:10:00 PM +0000,COA,OK,09/12/2018 05:00:00 AM +0000,,,30.2376804,-97.7256622,03/24/2020 08:03:00 PM +0000
92, BURNET RD / OHLEN RD,TRAFFIC,TURNED_ON,LOC16-000455,5158652,PRIMARY,7, BURNET RD, OHLEN RD,2010771,,,77:  BURNET RD / STECK AVE,AUSTIN FULL PURPOSE,2010761,NORTHWEST,,05/21/1973,"(30.3629112, -97.7290573)",2301,8300,2019,WALK/DONT WALK,,False,,,,,False,,5817c07de052e0422be6c4ac,ONLINE,07/16/2019 08:25:00 AM +0000,COA,OK,07/25/2019 05:00:00 AM +0000,,,30.3629112,-97.7290573,02/27/2020 07:21:00 PM +0000
851, MARTIN LUTHER KING JR BLVD / E M FRANKLIN AVE,TRAFFIC,TURNED_ON,LOC16-004190,5162491,PRIMARY,1, MARTIN LUTHER KING JR BLVD, E M FRANKLIN AVE,2017576,,,,AUSTIN FULL PURPOSE,2017575,NORTHEAST,,05/09/2002,"(30.2837296, -97.6960907)",2000,3600,2019,WALK/DONT WALK,,False,,,,,False,,5b5c437797428f168b0e879d,ONLINE,05/13/2017 04:58:00 AM +0000,COA,OK,09/26/2019 05:00:00 AM +0000,,,30.2837296,-97.6960907,05/05/2020 06:25:00 PM +0000
4057, MENCHACA RD / LARCHMONT DR,PHB,TURNED_ON,LOC16-006025,5151933,PRIMARY,5, MENCHACA RD, LARCHMONT DR,2023924,,,,AUSTIN FULL PURPOSE,2023916,SOUTHWEST,,02/26/2020,"(30.238391, -97.7829575)",1907,3400,2020,COUNTDOWN,APS,False,,,,,False,767,58ef9d598201f10edf479c65,NO COMMUNICATION,11/19/2017 05:57:00 AM +0000,COA,NO DETECTION,,Expect completion mid-February 2020.,01/22/2020 06:00:00 AM +0000,30.238391,-97.7829575,03/02/2020 05:10:00 PM +0000
4011,200 BLK E 45TH ST (Shipe Park),PHB,TURNED_ON,LOC16-005045,,PRIMARY,9, 45TH ST,  ,,Shipe Park,,,AUSTIN FULL PURPOSE,2016119,CENTRAL,,03/15/2011,"(30.3079109, -97.7268906)",,200,2020,COUNTDOWN,APS,False,,,,,False,"4921, 5979",5817c0e2e052e0422be6cca7,ONLINE,04/02/2020 08:25:00 AM +0000,COA,NO DETECTION,,,,30.3079109,-97.7268906,04/13/2020 04:55:00 PM +0000
169, AIRPORT BLVD / 45TH ST,TRAFFIC,TURNED_ON,LOC16-000840,5160322,PRIMARY,9, AIRPORT BLVD, 45TH ST,2040715,,,,AUSTIN FULL PURPOSE,2016373,NORTHEAST,,05/18/1971,"(30.3036251, -97.7159805)",1028,4506,2020,WALK/DONT WALK,,False,,,,,False,,5817c080e052e0422be6c546,ONLINE,10/11/2017 08:06:00 PM +0000,COA,OK,06/15/2017 05:00:00 AM +0000,,,30.3036251,-97.7159805,05/05/2020 09:12:00 PM +0000
416, CONGRESS AVE / BEN WHITE BLVD SVRD,TRAFFIC,TURNED_ON,LOC16-002040,5154190,SECONDARY,3, CONGRESS AVE, BEN WHITE BLVD SVRD,2026347,,415:  CONGRESS AVE / BEN WHITE BLVD SVRD,,AUSTIN FULL PURPOSE,2026345,SOUTHWEST,,01/14/1972,"(30.2224789, -97.7641678)",100,4100,2019,WALK/DONT WALK,,False,,,,,False,,5817c08ae052e0422be6c726,NO COMMUNICATION,11/19/2017 05:57:00 AM +0000,TxDOT,NO DETECTION,,,,30.2224789,-97.7641678,03/24/2020 11:49:00 PM +0000
64, 38TH HALF ST / 35 SVRD,TRAFFIC,TURNED_ON,LOC16-000315,5159923,PRIMARY,9, 38TH HALF ST,IH 35 SVRD,2016920,,,72:  38TH HALF ST / 35 SVRD,AUSTIN FULL PURPOSE,2016921,CENTRAL,,05/05/1956,"(30.294981, -97.7197723)",3820,1014,2019,WALK/DONT WALK,,False,,,,,False,,5817c07ce052e0422be6c474,ONLINE,11/27/2019 09:25:00 AM +0000,TxDOT,UNKNOWN,01/22/2020 06:00:00 AM +0000,,,30.294981,-97.7197723,04/27/2020 08:39:00 PM +0000
82, BURNET RD / WHITE HORSE TRL,TRAFFIC,TURNED_ON,LOC16-000405,5157237,PRIMARY,7, BURNET RD, WHITE HORSE TRL,2040272,,,,AUSTIN FULL PURPOSE,2011653,NORTHWEST,,03/24/1959,"(30.33848, -97.7392502)",2101,6314,2019,WALK/DONT WALK,,False,,,,,False,,5817c07ce052e0422be6c498,ONLINE,09/04/2019 08:25:00 AM +0000,COA,OK,12/02/2015 06:00:00 AM +0000,,,30.33848,-97.7392502,04/27/2020 08:40:00 PM +0000
119, 5TH ST / LAMAR BLVD,TRAFFIC,TURNED_ON,LOC16-000590,5155253,PRIMARY,9, 5TH ST, LAMAR BLVD,2019753,,,,AUSTIN FULL PURPOSE,2044015,CENTRAL,,07/03/2017,"(30.2702904, -97.7546005)",500,926,2020,COUNTDOWN,APS,False,,,,,False,,5817c07ee052e0422be6c4e2,ONLINE,10/11/2017 08:05:00 PM +0000,COA,OK,12/02/2019 06:00:00 AM +0000,,,30.2702904,-97.7546005,04/27/2020 08:46:00 PM +0000
130, BARTON SPRINGS RD / AZIE MORTON RD,TRAFFIC,TURNED_ON,LOC16-000645,5153923,PRIMARY,5, BARTON SPRINGS RD, AZIE MORTON RD,2041226,,,,AUSTIN FULL PURPOSE,2021140,SOUTHWEST,,08/22/1975,"(30.2647686, -97.7649841)",401,1901,2019,COUNTDOWN,,False,,,,,False,,5817c07ee052e0422be6c4f8,ONLINE,12/15/2019 09:25:00 AM +0000,COA,OK,08/21/2019 05:00:00 AM +0000,,,30.2647686,-97.7649841,04/27/2020 08:48:00 PM +0000
133, RIVERSIDE DR / BARTON SPRINGS RD,TRAFFIC,TURNED_ON,LOC16-000660,5156141,PRIMARY,9, RIVERSIDE DR, BARTON SPRINGS RD,2019313,,,,AUSTIN FULL PURPOSE,2019314,SOUTHWEST,,01/01/1900,"(30.2586384, -97.7484283)",101,400,2019,COUNTDOWN,APS,True,,"4p,8p","2p,6p",,False,,5817c07ee052e0422be6c4fe,ONLINE,08/25/2018 08:25:00 AM +0000,COA,NO DETECTION,,,,30.2586384,-97.7484283,04/27/2020 08:48:00 PM +0000
134, 1ST ST / BARTON SPRINGS RD,TRAFFIC,TURNED_ON,LOC16-000665,5155886,PRIMARY,9, 1ST ST, BARTON SPRINGS RD,2019329,,,,AUSTIN FULL PURPOSE,2019330,SOUTHWEST,,01/01/1900,"(30.2583828, -97.7500687)",401,300,2019,COUNTDOWN,APS,False,,,,,False,,5b5c435297428f168b0e868b,ONLINE,08/25/2018 08:25:00 AM +0000,COA,BROKEN,06/11/2018 05:00:00 AM +0000,,,30.2583828,-97.7500687,04/27/2020 08:49:00 PM +0000
142, CONGRESS AVE / LIVE OAK ST,TRAFFIC,TURNED_ON,LOC16-000705,5155594,PRIMARY,9, CONGRESS AVE, LIVE OAK ST,2022598,,,,AUSTIN FULL PURPOSE,2022597,SOUTHWEST,,02/11/1971,"(30.2418518, -97.7525253)",100,2109,2020,COUNTDOWN,,False,,,,,False,,5817c07fe052e0422be6c510,ONLINE,03/04/2020 09:25:00 AM +0000,COA,BROKEN,02/26/2019 06:00:00 AM +0000,,,30.2418518,-97.7525253,04/05/2020 08:15:00 AM +0000
202, LAMAR BLVD / 40TH ST,TRAFFIC,TURNED_ON,LOC16-001000,5157046,PRIMARY,"10,9", LAMAR BLVD, 40TH ST,2016133,,,,AUSTIN FULL PURPOSE,2016194,CENTRAL,,01/14/1991,"(30.3078613, -97.7413864)",1001,3912,2020,COUNTDOWN,,False,,,,,False,,5817c082e052e0422be6c586,ONLINE,10/11/2017 08:06:00 PM +0000,COA,OK,01/13/2020 06:00:00 AM +0000,,,30.3078613,-97.7413864,04/27/2020 08:48:00 PM +0000
228, CONGRESS AVE / ELIZABETH ST,TRAFFIC,TURNED_ON,LOC16-001120,5155942,PRIMARY,9, CONGRESS AVE, ELIZABETH ST,2022393,,,,AUSTIN FULL PURPOSE,2022416,SOUTHWEST,,11/08/2007,"(30.2489243, -97.749939)",101,1500,2020,COUNTDOWN,APS,True,12/15/2016 06:00:00 AM,,"4p,8p",,False,,5817c083e052e0422be6c5b6,ONLINE,03/04/2020 09:25:00 AM +0000,COA,BROKEN,02/11/2019 06:00:00 AM +0000,,,30.2489243,-97.749939,04/27/2020 08:47:00 PM +0000
230, CESAR CHAVEZ ST / B R REYNOLDS DR,TRAFFIC,TURNED_ON,LOC16-001130,5154951,PRIMARY,9, CESAR CHAVEZ ST, B R REYNOLDS DR,2044023,,,,AUSTIN FULL PURPOSE,2021115,CENTRAL,,09/09/1976,"(30.266964, -97.7570953)",100,1000,2019,COUNTDOWN,,False,,,,,True,,5817c083e052e0422be6c5ba,ONLINE,10/11/2017 08:07:00 PM +0000,COA,BROKEN,12/27/2019 06:00:00 AM +0000,,,30.266964,-97.7570953,04/27/2020 08:47:00 PM +0000
231, CONGRESS AVE / CUMBERLAND RD,TRAFFIC,TURNED_ON,LOC16-001135,5155154,PRIMARY,3, CONGRESS AVE, CUMBERLAND RD,2023979,,,,AUSTIN FULL PURPOSE,2023978,SOUTHWEST,,05/29/1980,"(30.235508, -97.7563629)",101,2514,2020,WALK/DONT WALK,,False,,,,,False,,5817c083e052e0422be6c5bc,ONLINE,03/04/2020 09:25:00 AM +0000,COA,OK,11/07/2014 06:00:00 AM +0000,,,30.235508,-97.7563629,04/27/2020 08:46:00 PM +0000
341, 11TH ST / 35 SVRD,TRAFFIC,TURNED_ON,LOC16-001670,5158544,PRIMARY,1, 11TH ST,IH 35 SVRD,2018540,,,331: IH 35 SVRD / 11TH ST,AUSTIN FULL PURPOSE,2018530,CENTRAL,,08/23/1955,"(30.2703285, -97.7324753)",1100,718,2019,COUNTDOWN,Push-Button,False,,,,,False,,5817c087e052e0422be6c692,ONLINE,04/10/2019 08:25:00 AM +0000,TxDOT,OK,04/04/2019 05:00:00 AM +0000,,,30.2703285,-97.7324753,04/27/2020 08:55:00 PM +0000
347, GRACY FARMS LN / MOPAC EXPY SVRD,TRAFFIC,TURNED_ON,LOC16-001700,5160189,PRIMARY,7, GRACY FARMS LN, MOPAC EXPY SVRD,2006448,,,,AUSTIN FULL PURPOSE,3502938,NORTHWEST,,10/27/1997,"(30.4073753, -97.7142792)",11985,2701,2019,COUNTDOWN,APS,False,,,,,False,,5817c087e052e0422be6c69e,ONLINE,03/17/2020 08:25:00 AM +0000,TxDOT,OK,04/05/2019 05:00:00 AM +0000,,,30.4073753,-97.7142792,04/27/2020 08:55:00 PM +0000
361, CONGRESS AVE / RADAM LN,TRAFFIC,TURNED_ON,LOC16-001770,5154107,PRIMARY,3, CONGRESS AVE, RADAM LN,2026344,,,,AUSTIN FULL PURPOSE,2026345,SOUTHWEST,,08/21/2008,"(30.2213669, -97.7648239)",101,4100,2019,WALK/DONT WALK,,False,,,,,False,,5817c088e052e0422be6c6ba,ONLINE,10/11/2017 08:09:00 PM +0000,COA,OK,06/16/2017 05:00:00 AM +0000,,,30.2213669,-97.7648239,04/27/2020 08:57:00 PM +0000
893, PARMER LN / AVERY RANCH BLVD,TRAFFIC,TURNED_ON,LOC16-004400,5151987,PRIMARY,6, PARMER LN, AVERY RANCH BLVD,2036303,,,,AUSTIN FULL PURPOSE,2038623,NORTHWEST,,02/12/2019,"(30.4980755, -97.7756653)",15001,10223,2020,COUNTDOWN,,False,,,,,False,,5817c0bde052e0422be6cb31,ONLINE,12/03/2019 09:25:00 AM +0000,COA,BROKEN,02/13/2019 06:00:00 AM +0000,,,30.4980755,-97.7756653,05/06/2020 06:01:00 AM +0000
651,US 290 HWY SVRD / BERKMAN DR,TRAFFIC,TURNED_ON,LOC16-003255,5163176,PRIMARY,1,US 290 HWY SVRD, BERKMAN DR,2015174,,,652:  BERKMAN DR / 290 HWY SVRD,AUSTIN FULL PURPOSE,2015173,NORTHEAST,,10/14/1981,"(30.3219185, -97.6890259)",6922,6824,2019,UNKNOWN,,False,,,,,False,,5817c098e052e0422be6c8fb,ONLINE,01/01/2019 09:25:00 AM +0000,TxDOT,BROKEN,04/15/2019 05:00:00 AM +0000,,,30.3219185,-97.6890259,02/28/2020 08:45:00 PM +0000
811, GREAT HILLS TRL / RESEARCH BLVD SVRD,TRAFFIC,TURNED_ON,LOC16-003990,5155813,PRIMARY,"7,10", GREAT HILLS TRL, RESEARCH BLVD SVRD,2045492,,,810:  GREAT HILLS TRL / RESEARCH BLVD SVRD,AUSTIN FULL PURPOSE,3273275,NORTHWEST,,07/03/2017,"(30.3941498, -97.7469177)",10126,9870,2019,WALK/DONT WALK,,False,,,,,False,"2732, 2726, 3016, 3837",5817c0ace052e0422be6ca61,ONLINE,05/09/2019 08:25:00 AM +0000,TxDOT,OK,12/17/2019 06:00:00 AM +0000,,,30.3941498,-97.7469177,04/27/2020 09:19:00 PM +0000
753, EXPOSITION BLVD / WESTOVER RD,TRAFFIC,TURNED_ON,LOC16-003710,5153874,PRIMARY,10, EXPOSITION BLVD, WESTOVER RD,2020128,,,,AUSTIN FULL PURPOSE,2020142,CENTRAL,,03/27/1964,"(30.3030338, -97.7643051)",2601,2612,2020,WALK/DONT WALK,,False,,,,,False,,5817c0a3e052e0422be6c9dc,ONLINE,02/25/2020 09:25:00 AM +0000,COA,OK,06/23/2017 05:00:00 AM +0000,,,30.3030338,-97.7643051,03/25/2020 01:07:00 PM +0000
889,FM 620 RD / BOULDER LN (North),TRAFFIC,TURNED_ON,LOC16-004380,5147160,PRIMARY,6,FM 620 RD, BOULDER LN,2037770,North,,,AUSTIN FULL PURPOSE,2007483,NORTHWEST,,03/09/2004,"(30.4434834, -97.8331299)",11700,10443,2018,NONE,,False,,,,,False,,5817c0bce052e0422be6cb25,OFFLINE,03/28/2019 08:25:00 AM +0000,COA,BROKEN,08/20/2018 05:00:00 AM +0000,,,30.4434834,-97.8331299,03/02/2020 03:09:00 PM +0000
869, ANDERSON MILL RD / SPICEWOOD PKWY,TRAFFIC,TURNED_ON,LOC16-004280,5149246,PRIMARY,6, ANDERSON MILL RD, SPICEWOOD PKWY,3364351,,,,AUSTIN FULL PURPOSE,2007365,NORTHWEST,,03/04/2011,"(30.4471569, -97.8072357)",11610,10407,2020,COUNTDOWN,APS,False,,,,,False,,5817c0b6e052e0422be6caed,ONLINE,05/17/2019 08:25:00 AM +0000,COA,OK,02/24/2020 06:00:00 AM +0000,,,30.4471569,-97.8072357,04/27/2020 10:04:00 PM +0000
476, LAMAR BLVD / RUTLAND DR,TRAFFIC,TURNED_ON,LOC16-002335,5162260,PRIMARY,4, LAMAR BLVD, RUTLAND DR,2012543,,,,AUSTIN FULL PURPOSE,2012542,NORTHEAST,,06/15/1981,"(30.3648701, -97.6959991)",801,9400,2020,COUNTDOWN,APS,False,,,,,False,"4540, 462, 4541, 5773, 4539, 3148, 2821, 2583, 3147, 4542",5817c08ee052e0422be6c79c,ONLINE,01/01/2019 09:25:00 AM +0000,COA,BROKEN,02/05/2020 06:00:00 AM +0000,,,30.3648701,-97.6959991,03/02/2020 05:14:00 PM +0000
123, LAMAR BLVD / OLTORF ST,TRAFFIC,TURNED_ON,LOC16-000610,5153332,PRIMARY,5, LAMAR BLVD, OLTORF ST,2026542,,,,AUSTIN FULL PURPOSE,2026541,SOUTHWEST,,07/03/1958,"(30.2484131, -97.7699509)",1401,2059,2019,COUNTDOWN,,False,,,,,False,,5817c07ee052e0422be6c4ea,ONLINE,11/07/2018 09:25:00 AM +0000,COA,OK,12/02/2019 06:00:00 AM +0000,,,30.2484131,-97.7699509,04/05/2020 08:15:00 AM +0000
921, MARTIN LUTHER KING JR BLVD / ALEXANDER AVE,TRAFFIC,TURNED_ON,LOC16-004520,5161088,PRIMARY,1, MARTIN LUTHER KING JR BLVD, ALEXANDER AVE,2017731,,,,AUSTIN FULL PURPOSE,2017761,NORTHEAST,,12/26/2013,"(30.2817059, -97.7094574)",1900,2809,2018,COUNTDOWN,APS,False,,,,,True,,5817c0c4e052e0422be6cb78,ONLINE,04/07/2020 08:25:00 AM +0000,COA,BROKEN,02/27/2019 06:00:00 AM +0000,,,30.2817059,-97.7094574,04/15/2020 07:04:00 PM +0000
180, KOENIG LN / AVENUE F ,TRAFFIC,TURNED_ON,LOC16-000890,5159980,PRIMARY,4, KOENIG LN, AVENUE F ,2015220,,,,AUSTIN FULL PURPOSE,2015195,NORTHEAST,,,"(30.3219643, -97.7185745)",5600,200,2019,COUNTDOWN,,False,,,,,False,,5817c080e052e0422be6c55a,ONLINE,02/25/2020 09:25:00 AM +0000,COA,OK,08/14/2019 05:00:00 AM +0000,,,30.3219643,-97.7185745,04/16/2020 01:50:00 PM +0000
32, 24TH ST / NUECES ST,TRAFFIC,TURNED_ON,LOC16-000155,5156755,PRIMARY,9, 24TH ST, NUECES ST,2017467,,,22:  24TH ST / NUECES ST,AUSTIN FULL PURPOSE,2017380,CENTRAL,,08/31/1958,"(30.2878265, -97.74366)",2300,511,2019,COUNTDOWN,APS,False,,,,,False,,5817c07ae052e0422be6c434,ONLINE,04/15/2018 08:25:00 AM +0000,COA,OK,06/14/2017 05:00:00 AM +0000,,,30.2878265,-97.74366,04/16/2020 06:34:00 PM +0000
126, LAMAR BLVD / TREADWELL ST,TRAFFIC,TURNED_ON,LOC16-000625,5154433,PRIMARY,5, LAMAR BLVD, TREADWELL ST,2021302,,,,AUSTIN FULL PURPOSE,2021301,SOUTHWEST,,04/21/1972,"(30.256052, -97.7614899)",1301,800,2020,COUNTDOWN,APS,True,11/19/2019 06:00:00 AM,,"4p,8p",,False,,5817c07ee052e0422be6c4f0,ONLINE,12/03/2019 09:25:00 AM +0000,COA,OK,02/08/2020 06:00:00 AM +0000,,,30.256052,-97.7614899,04/27/2020 08:47:00 PM +0000
841, CHICON ST / ROSEWOOD AVE,TRAFFIC,TURNED_ON,LOC16-004140,5160084,PRIMARY,1, CHICON ST, ROSEWOOD AVE,2018576,,,,AUSTIN FULL PURPOSE,2018577,NORTHEAST,,04/04/1961,"(30.269701, -97.7190323)",1900,1150,2020,UNKNOWN,,False,,,,,False,,5817c0b1e052e0422be6caa7,ONLINE,03/22/2020 08:25:00 AM +0000,COA,BROKEN,02/10/2019 06:00:00 AM +0000,,,30.269701,-97.7190323,05/06/2020 12:33:00 PM +0000
148, CESAR CHAVEZ ST / LAVACA ST,TRAFFIC,TURNED_ON,LOC16-000735,5156353,PRIMARY,9, CESAR CHAVEZ ST, LAVACA ST,2019030,,,147:  CESAR CHAVEZ ST / GUADALUPE ST,AUSTIN FULL PURPOSE,2019031,CENTRAL,,02/09/1954,"(30.2640705, -97.7469406)",100,300,2019,COUNTDOWN,,False,,,,,False,,5817c07fe052e0422be6c51c,ONLINE,10/11/2017 08:05:00 PM +0000,COA,NO DETECTION,06/15/2017 05:00:00 AM +0000,,,30.2640705,-97.7469406,04/27/2020 08:49:00 PM +0000
232, CONGRESS AVE / LIGHTSEY RD,TRAFFIC,TURNED_ON,LOC16-001140,5154701,PRIMARY,3, CONGRESS AVE, LIGHTSEY RD,2041543,,,,AUSTIN FULL PURPOSE,2024117,SOUTHWEST,,04/12/1973,"(30.2296505, -97.7602081)",101,3300,2019,WALK/DONT WALK,,False,,,,,False,,5817c083e052e0422be6c5be,ONLINE,03/04/2020 09:25:00 AM +0000,COA,BROKEN,11/06/2019 06:00:00 AM +0000,,,30.2296505,-97.7602081,04/27/2020 08:46:00 PM +0000
