OPA Case Number,Status,Status Description,Due Date,Completed Date,Task Creation Date,External Case Number,Due_Date,Completed_Date,Task_Creation_Date,CurrentStatus
2018OPA-0943,Done,OPA Close Case,03/28/2019 12:00:00 AM,04/01/2019 12:00:00 AM,03/18/2019 12:00:00 AM,2018-355377,2019-03-28T00:00:00.000,2019-04-01T00:00:00.000,2019-03-18T00:00:00.000,Done
2019OPA-0511,Done,OPA Close Case,01/25/2020 12:00:00 AM,03/25/2020 12:00:00 AM,01/15/2020 12:00:00 AM,,2020-01-25T00:00:00.000,2020-03-25T00:00:00.000,2020-01-15T00:00:00.000,Done
2015OPA-0968,Done,OPA Close SA,10/11/2015 12:00:00 AM,10/06/2015 12:00:00 AM,10/06/2015 12:00:00 AM,,2015-10-11T00:00:00.000,2015-10-06T00:00:00.000,2015-10-06T00:00:00.000,Done
2016OPA-1142,Done,OPA Close CL,10/17/2016 12:00:00 AM,10/15/2016 12:00:00 AM,10/12/2016 12:00:00 AM,,2016-10-17T00:00:00.000,2016-10-15T00:00:00.000,2016-10-12T00:00:00.000,Done
2016OPA-1276,Done,OPA Close Case,04/07/2017 12:00:00 AM,04/07/2017 12:00:00 AM,03/28/2017 12:00:00 AM,,2017-04-07T00:00:00.000,2017-04-07T00:00:00.000,2017-03-28T00:00:00.000,Done
2017OPA-0168,Done,OPA Close SA,,04/21/2017 12:00:00 AM,04/14/2017 12:00:00 AM,2017-060865,,2017-04-21T00:00:00.000,2017-04-14T00:00:00.000,Done
2018OPA-0909,Done,OPA Close CL,10/16/2018 12:00:00 AM,10/19/2018 12:00:00 AM,10/11/2018 12:00:00 AM,,2018-10-16T00:00:00.000,2018-10-19T00:00:00.000,2018-10-11T00:00:00.000,Done
2019OPA-0669,Done,OPA Close SA,,10/29/2019 12:00:00 AM,10/29/2019 12:00:00 AM,2019-338590,,2019-10-29T00:00:00.000,2019-10-29T00:00:00.000,Done
2015OPA-0386,Done,OPA Close CL,,03/30/2015 12:00:00 AM,10/20/2015 12:00:00 AM,,,2015-03-30T00:00:00.000,2015-10-20T00:00:00.000,Done
2015OPA-0439,Done,OPA Close Case,10/27/2015 12:00:00 AM,10/27/2015 12:00:00 AM,08/31/2015 12:00:00 AM,,2015-10-27T00:00:00.000,2015-10-27T00:00:00.000,2015-08-31T00:00:00.000,Done
2015OPA-1872,Done,OPA Close CL,12/23/2015 12:00:00 AM,01/05/2016 12:00:00 AM,12/18/2015 12:00:00 AM,,2015-12-23T00:00:00.000,2016-01-05T00:00:00.000,2015-12-18T00:00:00.000,Done
2016OPA-0726,Done,OPA Close CL,07/25/2016 12:00:00 AM,07/27/2016 12:00:00 AM,07/20/2016 12:00:00 AM,,2016-07-25T00:00:00.000,2016-07-27T00:00:00.000,2016-07-20T00:00:00.000,Done
2016OPA-1208,Done,OPA Missed 180 Day Deadline,03/22/2017 12:00:00 AM,01/23/2018 12:00:00 AM,02/26/2019 12:00:00 AM,2016-344998,2017-03-22T00:00:00.000,2018-01-23T00:00:00.000,2019-02-26T00:00:00.000,Done
2017OPA-0060,Done,OPA Close SA,03/14/2017 12:00:00 AM,03/07/2017 12:00:00 AM,02/17/2017 12:00:00 AM,,2017-03-14T00:00:00.000,2017-03-07T00:00:00.000,2017-02-17T00:00:00.000,Done
2017OPA-0148,Done,OPA Close CL,03/15/2017 12:00:00 AM,02/22/2017 12:00:00 AM,02/13/2017 12:00:00 AM,,2017-03-15T00:00:00.000,2017-02-22T00:00:00.000,2017-02-13T00:00:00.000,Done
2018OPA-0285,Done,OPA Close Case,08/23/2018 12:00:00 AM,10/10/2018 12:00:00 AM,08/13/2018 12:00:00 AM,2018-106773,2018-08-23T00:00:00.000,2018-10-10T00:00:00.000,2018-08-13T00:00:00.000,Done
2019OPA-0223,Done,OPA Close Case,10/05/2019 12:00:00 AM,10/11/2019 12:00:00 AM,09/25/2019 12:00:00 AM,2019-126481,2019-10-05T00:00:00.000,2019-10-11T00:00:00.000,2019-09-25T00:00:00.000,Done
2015OPA-0874,Done,OPA Close Case,12/09/2015 12:00:00 AM,12/14/2015 12:00:00 AM,11/25/2015 12:00:00 AM,,2015-12-09T00:00:00.000,2015-12-14T00:00:00.000,2015-11-25T00:00:00.000,Done
2015OPA-0947,Done,OPA Close SA,09/21/2015 12:00:00 AM,09/17/2015 12:00:00 AM,09/16/2015 12:00:00 AM,,2015-09-21T00:00:00.000,2015-09-17T00:00:00.000,2015-09-16T00:00:00.000,Done
2016OPA-0258,Done,OPA Close CL,04/04/2016 12:00:00 AM,03/31/2016 12:00:00 AM,03/30/2016 12:00:00 AM,,2016-04-04T00:00:00.000,2016-03-31T00:00:00.000,2016-03-30T00:00:00.000,Done
2016OPA-0693,Done,OPA Close CL,07/25/2016 12:00:00 AM,07/28/2016 12:00:00 AM,07/20/2016 12:00:00 AM,,2016-07-25T00:00:00.000,2016-07-28T00:00:00.000,2016-07-20T00:00:00.000,Done
2016OPA-1170,Done,OPA Close Case,03/25/2017 12:00:00 AM,03/30/2017 12:00:00 AM,03/15/2017 12:00:00 AM,2016-341870,2017-03-25T00:00:00.000,2017-03-30T00:00:00.000,2017-03-15T00:00:00.000,Done
2015OPA-0865,Done,OPA Close Case,12/09/2015 12:00:00 AM,12/14/2015 12:00:00 AM,11/25/2015 12:00:00 AM,,2015-12-09T00:00:00.000,2015-12-14T00:00:00.000,2015-11-25T00:00:00.000,Done
2016OPA-1264,Done,OPA Close Case,04/28/2017 12:00:00 AM,05/04/2017 12:00:00 AM,04/18/2017 12:00:00 AM,2016-260109,2017-04-28T00:00:00.000,2017-05-04T00:00:00.000,2017-04-18T00:00:00.000,Done
2018OPA-0997,Done,OPA Close Case,05/19/2019 12:00:00 AM,05/20/2019 12:00:00 AM,05/09/2019 12:00:00 AM,,2019-05-19T00:00:00.000,2019-05-20T00:00:00.000,2019-05-09T00:00:00.000,Done
2015OPA-0313,Done,OPA Director SA Review,04/07/2015 12:00:00 AM,04/13/2015 12:00:00 AM,04/02/2015 12:00:00 AM,2015-078226,2015-04-07T00:00:00.000,2015-04-13T00:00:00.000,2015-04-02T00:00:00.000,Done
2015OPA-0355,Done,OPA SA Review Lieutenant,03/19/2016 12:00:00 AM,04/07/2016 12:00:00 AM,03/14/2016 12:00:00 AM,,2016-03-19T00:00:00.000,2016-04-07T00:00:00.000,2016-03-14T00:00:00.000,Done
2016OPA-0785,Done,OPA Close CL,08/15/2016 12:00:00 AM,08/15/2016 12:00:00 AM,08/10/2016 12:00:00 AM,,2016-08-15T00:00:00.000,2016-08-15T00:00:00.000,2016-08-10T00:00:00.000,Done
2017OPA-0132,Done,OPA Close CL,02/21/2017 12:00:00 AM,02/22/2017 12:00:00 AM,02/16/2017 12:00:00 AM,,2017-02-21T00:00:00.000,2017-02-22T00:00:00.000,2017-02-16T00:00:00.000,Done
2017OPA-0450,Done,OPA Close CL,05/24/2017 12:00:00 AM,05/26/2017 12:00:00 AM,05/19/2017 12:00:00 AM,2014-222756,2017-05-24T00:00:00.000,2017-05-26T00:00:00.000,2017-05-19T00:00:00.000,Done
2018OPA-0990,Done,OPA Close CL,11/05/2018 12:00:00 AM,10/31/2018 12:00:00 AM,10/31/2018 12:00:00 AM,,2018-11-05T00:00:00.000,2018-10-31T00:00:00.000,2018-10-31T00:00:00.000,Done
2019OPA-0317,Done,OPA Close Case,02/27/2020 12:00:00 AM,02/17/2020 12:00:00 AM,02/17/2020 12:00:00 AM,2019-167905,2020-02-27T00:00:00.000,2020-02-17T00:00:00.000,2020-02-17T00:00:00.000,Done
2016OPA-0267,Done,OPA Close CL,04/19/2016 12:00:00 AM,04/19/2016 12:00:00 AM,04/14/2016 12:00:00 AM,2016-084748,2016-04-19T00:00:00.000,2016-04-19T00:00:00.000,2016-04-14T00:00:00.000,Done
2017OPA-0028,Done,OPA Close SA,,03/14/2017 12:00:00 AM,03/14/2017 12:00:00 AM,,,2017-03-14T00:00:00.000,2017-03-14T00:00:00.000,Done
2017OPA-1325,Done,OPA Close Case,06/11/2018 12:00:00 AM,08/24/2018 12:00:00 AM,06/01/2018 12:00:00 AM,2017-446027,2018-06-11T00:00:00.000,2018-08-24T00:00:00.000,2018-06-01T00:00:00.000,Done
2019OPA-0129,Done,OPA Close SA,,03/04/2019 12:00:00 AM,03/04/2019 12:00:00 AM,,,2019-03-04T00:00:00.000,2019-03-04T00:00:00.000,Done
2015OPA-0433,Done,OPA Close CL,,03/31/2015 12:00:00 AM,10/20/2015 12:00:00 AM,,,2015-03-31T00:00:00.000,2015-10-20T00:00:00.000,Done
2015OPA-0930,Done,OPA Close SA,08/17/2015 12:00:00 AM,08/13/2015 12:00:00 AM,08/12/2015 12:00:00 AM,,2015-08-17T00:00:00.000,2015-08-13T00:00:00.000,2015-08-12T00:00:00.000,Done
2016OPA-0372,Done,OPA Close Case,02/06/2017 12:00:00 AM,02/06/2017 12:00:00 AM,01/27/2017 12:00:00 AM,2016-111760,2017-02-06T00:00:00.000,2017-02-06T00:00:00.000,2017-01-27T00:00:00.000,Done
2016OPA-0763,Done,OPA Close Case,12/17/2016 12:00:00 AM,12/17/2016 12:00:00 AM,12/07/2016 12:00:00 AM,,2016-12-17T00:00:00.000,2016-12-17T00:00:00.000,2016-12-07T00:00:00.000,Done
2020OPA-0264,Done,OPA 5 Day Notice,05/04/2020 12:00:00 AM,05/05/2020 12:00:00 AM,05/05/2020 12:00:00 AM,2019-378115,2020-05-04T00:00:00.000,2020-05-05T00:00:00.000,2020-05-05T00:00:00.000,Done
2016OPA-1248,Done,OPA Close CL,10/21/2016 12:00:00 AM,11/10/2016 12:00:00 AM,10/16/2016 12:00:00 AM,,2016-10-21T00:00:00.000,2016-11-10T00:00:00.000,2016-10-16T00:00:00.000,Done
2017OPA-1253,Done,OPA Close SA,,02/21/2018 12:00:00 AM,02/21/2018 12:00:00 AM,,,2018-02-21T00:00:00.000,2018-02-21T00:00:00.000,Done
2018OPA-1163,Done,OPA Training Referral,06/13/2019 12:00:00 AM,06/17/2019 12:00:00 AM,06/03/2019 12:00:00 AM,2018-467454,2019-06-13T00:00:00.000,2019-06-17T00:00:00.000,2019-06-03T00:00:00.000,Done
2019OPA-0304,Done,OPA Close CL,06/08/2019 12:00:00 AM,06/11/2019 12:00:00 AM,06/03/2019 12:00:00 AM,,2019-06-08T00:00:00.000,2019-06-11T00:00:00.000,2019-06-03T00:00:00.000,Done
2019OPA-0638,Done,OPA Close Case,03/08/2020 12:00:00 AM,04/14/2020 12:00:00 AM,02/23/2020 12:00:00 AM,2019-312455,2020-03-08T00:00:00.000,2020-04-14T00:00:00.000,2020-02-23T00:00:00.000,Done
2015OPA-0826,Done,OPA Close Case,,12/23/2015 12:00:00 AM,12/04/2015 12:00:00 AM,2015-191974,,2015-12-23T00:00:00.000,2015-12-04T00:00:00.000,Done
2015OPA-1866,Done,OPA Close Case,06/10/2016 12:00:00 AM,06/29/2016 12:00:00 AM,05/31/2016 12:00:00 AM,,2016-06-10T00:00:00.000,2016-06-29T00:00:00.000,2016-05-31T00:00:00.000,Done
2016OPA-0284,Done,OPA Close CL,05/16/2016 12:00:00 AM,05/16/2016 12:00:00 AM,05/11/2016 12:00:00 AM,,2016-05-16T00:00:00.000,2016-05-16T00:00:00.000,2016-05-11T00:00:00.000,Done
2016OPA-0710,Done,OPA Close CL,07/05/2016 12:00:00 AM,07/07/2016 12:00:00 AM,06/30/2016 12:00:00 AM,,2016-07-05T00:00:00.000,2016-07-07T00:00:00.000,2016-06-30T00:00:00.000,Done
2017OPA-1196,Done,OPA Close Case,05/26/2018 12:00:00 AM,08/23/2018 12:00:00 AM,05/16/2018 12:00:00 AM,2017-219301,2018-05-26T00:00:00.000,2018-08-23T00:00:00.000,2018-05-16T00:00:00.000,Done
2017OPA-1327,Done,OPA Director Certification/Finding,06/11/2018 12:00:00 AM,06/11/2018 12:00:00 AM,01/30/2019 12:00:00 AM,2017-387572,2018-06-11T00:00:00.000,2018-06-11T00:00:00.000,2019-01-30T00:00:00.000,Done
2018OPA-0659,Done,OPA Close Case,01/20/2019 12:00:00 AM,01/23/2019 12:00:00 AM,01/10/2019 12:00:00 AM,2018-245400,2019-01-20T00:00:00.000,2019-01-23T00:00:00.000,2019-01-10T00:00:00.000,Done
2018OPA-1083,Done,OPA Training Referral,05/13/2019 12:00:00 AM,05/14/2019 12:00:00 AM,05/08/2019 12:00:00 AM,,2019-05-13T00:00:00.000,2019-05-14T00:00:00.000,2019-05-08T00:00:00.000,Done
2015OPA-0405,Done,OPA Close CL,,03/27/2015 12:00:00 AM,10/20/2015 12:00:00 AM,,,2015-03-27T00:00:00.000,2015-10-20T00:00:00.000,Done
2015OPA-0514,Done,OPA Director SA Review,05/17/2015 12:00:00 AM,05/20/2015 12:00:00 AM,05/12/2015 12:00:00 AM,,2015-05-17T00:00:00.000,2015-05-20T00:00:00.000,2015-05-12T00:00:00.000,Done
2018OPA-0478,Done,OPA Close SA,,08/13/2018 12:00:00 AM,08/13/2018 12:00:00 AM,,,2018-08-13T00:00:00.000,2018-08-13T00:00:00.000,Done
2018OPA-0718,Done,OPA Training Referral,02/07/2019 12:00:00 AM,08/05/2019 12:00:00 AM,02/19/2019 12:00:00 AM,2018-264823,2019-02-07T00:00:00.000,2019-08-05T00:00:00.000,2019-02-19T00:00:00.000,Done
2019OPA-0012,Done,OPA Close CL,01/30/2019 12:00:00 AM,02/01/2019 12:00:00 AM,01/25/2019 12:00:00 AM,,2019-01-30T00:00:00.000,2019-02-01T00:00:00.000,2019-01-25T00:00:00.000,Done
2019OPA-0502,Done,OPA Close CL,08/20/2019 12:00:00 AM,08/21/2019 12:00:00 AM,08/15/2019 12:00:00 AM,,2019-08-20T00:00:00.000,2019-08-21T00:00:00.000,2019-08-15T00:00:00.000,Done
2019OPA-0841,Done,OPA Close SA,,01/30/2020 12:00:00 AM,01/30/2020 12:00:00 AM,2019-415832,,2020-01-30T00:00:00.000,2020-01-30T00:00:00.000,Done
2015OPA-0910,Done,OPA Close SA,08/17/2015 12:00:00 AM,08/13/2015 12:00:00 AM,08/12/2015 12:00:00 AM,,2015-08-17T00:00:00.000,2015-08-13T00:00:00.000,2015-08-12T00:00:00.000,Done
2015OPA-1905,Done,OPA Close SA,02/23/2016 12:00:00 AM,02/18/2016 12:00:00 AM,02/18/2016 12:00:00 AM,2015-439142,2016-02-23T00:00:00.000,2016-02-18T00:00:00.000,2016-02-18T00:00:00.000,Done
2016OPA-0338,Done,OPA Close CL,04/05/2016 12:00:00 AM,03/31/2016 12:00:00 AM,03/30/2016 12:00:00 AM,,2016-04-05T00:00:00.000,2016-03-31T00:00:00.000,2016-03-30T00:00:00.000,Done
2017OPA-0215,Done,OPA Training Referral,09/15/2017 12:00:00 AM,09/27/2017 12:00:00 AM,09/05/2017 12:00:00 AM,2017-071945,2017-09-15T00:00:00.000,2017-09-27T00:00:00.000,2017-09-05T00:00:00.000,Done
2017OPA-0938,Done,OPA Close Case,01/10/2018 12:00:00 AM,09/26/2018 12:00:00 AM,09/18/2018 12:00:00 AM,2017-297672,2018-01-10T00:00:00.000,2018-09-26T00:00:00.000,2018-09-18T00:00:00.000,Done
2018OPA-0312,Done,OPA Final Discipline Action Report,,09/25/2018 12:00:00 AM,01/22/2019 12:00:00 AM,2018-103685,,2018-09-25T00:00:00.000,2019-01-22T00:00:00.000,Done
2015OPA-0567,Done,OPA Close CL,,05/11/2015 12:00:00 AM,10/20/2015 12:00:00 AM,2014-425387,,2015-05-11T00:00:00.000,2015-10-20T00:00:00.000,Done
2015OPA-0861,Done,OPA SA Review Lieutenant,08/03/2015 12:00:00 AM,07/29/2015 12:00:00 AM,07/29/2015 12:00:00 AM,,2015-08-03T00:00:00.000,2015-07-29T00:00:00.000,2015-07-29T00:00:00.000,Done
2016OPA-0190,Done,OPA Close SA,04/12/2016 12:00:00 AM,04/04/2016 12:00:00 AM,03/28/2016 12:00:00 AM,,2016-04-12T00:00:00.000,2016-04-04T00:00:00.000,2016-03-28T00:00:00.000,Done
2017OPA-0992,Done,OPA Close CL,10/22/2017 12:00:00 AM,10/23/2017 12:00:00 AM,10/17/2017 12:00:00 AM,,2017-10-22T00:00:00.000,2017-10-23T00:00:00.000,2017-10-17T00:00:00.000,Done
2018OPA-0256,Done,OPA Close Case,09/21/2018 12:00:00 AM,10/16/2018 12:00:00 AM,09/11/2018 12:00:00 AM,2017-289855,2018-09-21T00:00:00.000,2018-10-16T00:00:00.000,2018-09-11T00:00:00.000,Done
2018OPA-1085,Done,OPA Close SA,,01/31/2019 12:00:00 AM,01/31/2019 12:00:00 AM,,,2019-01-31T00:00:00.000,2019-01-31T00:00:00.000,Done
2015OPA-0049,Done,OPA Close CL,,01/26/2015 12:00:00 AM,10/23/2015 12:00:00 AM,,,2015-01-26T00:00:00.000,2015-10-23T00:00:00.000,Done
2015OPA-1048,Done,OPA Close Case,12/09/2015 12:00:00 AM,12/09/2015 12:00:00 AM,12/01/2015 12:00:00 AM,2015-142748,2015-12-09T00:00:00.000,2015-12-09T00:00:00.000,2015-12-01T00:00:00.000,Done
2015OPA-1158,Done,OPA Close CL,,08/27/2015 12:00:00 AM,10/15/2015 12:00:00 AM,,,2015-08-27T00:00:00.000,2015-10-15T00:00:00.000,Done
2015OPA-1358,Done,OPA Close SA,02/07/2016 12:00:00 AM,02/02/2016 12:00:00 AM,02/02/2016 12:00:00 AM,,2016-02-07T00:00:00.000,2016-02-02T00:00:00.000,2016-02-02T00:00:00.000,Done
2019OPA-0573,Done,OPA Close CL,09/01/2019 12:00:00 AM,09/06/2019 12:00:00 AM,08/27/2019 12:00:00 AM,2019-290928,2019-09-01T00:00:00.000,2019-09-06T00:00:00.000,2019-08-27T00:00:00.000,Done
2020OPA-0030,Done,OPA Close SA,,04/07/2020 12:00:00 AM,04/07/2020 12:00:00 AM,2019-067469,,2020-04-07T00:00:00.000,2020-04-07T00:00:00.000,Done
2020OPA-0108,Done,OPA Close CL,03/11/2020 12:00:00 AM,03/11/2020 12:00:00 AM,03/03/2020 12:00:00 AM,,2020-03-11T00:00:00.000,2020-03-11T00:00:00.000,2020-03-03T00:00:00.000,Done
2015OPA-1777,Done,OPA Close CL,11/28/2015 12:00:00 AM,11/30/2015 12:00:00 AM,11/23/2015 12:00:00 AM,,2015-11-28T00:00:00.000,2015-11-30T00:00:00.000,2015-11-23T00:00:00.000,Done
2017OPA-0883,Done,OPA Close Case,02/14/2018 12:00:00 AM,06/01/2018 12:00:00 AM,02/14/2018 12:00:00 AM,2017-317547,2018-02-14T00:00:00.000,2018-06-01T00:00:00.000,2018-02-14T00:00:00.000,Done
2017OPA-0998,Done,OPA Close Case,06/18/2018 12:00:00 AM,09/26/2018 12:00:00 AM,09/17/2018 12:00:00 AM,,2018-06-18T00:00:00.000,2018-09-26T00:00:00.000,2018-09-17T00:00:00.000,Done
2018OPA-0122,Done,OPA Close CL,03/05/2018 12:00:00 AM,03/01/2018 12:00:00 AM,02/05/2018 12:00:00 AM,,2018-03-05T00:00:00.000,2018-03-01T00:00:00.000,2018-02-05T00:00:00.000,Done
2018OPA-1097,Done,OPA Close CL,12/03/2018 12:00:00 AM,11/28/2018 12:00:00 AM,11/28/2018 12:00:00 AM,2018-379151,2018-12-03T00:00:00.000,2018-11-28T00:00:00.000,2018-11-28T00:00:00.000,Done
2015OPA-0582,Done,OPA Close CL,,05/11/2015 12:00:00 AM,10/20/2015 12:00:00 AM,,,2015-05-11T00:00:00.000,2015-10-20T00:00:00.000,Done
2017OPA-1311,Done,OPA Close Case,01/26/2018 12:00:00 AM,01/17/2018 12:00:00 AM,01/16/2018 12:00:00 AM,,2018-01-26T00:00:00.000,2018-01-17T00:00:00.000,2018-01-16T00:00:00.000,Done
2019OPA-0287,Done,OPA Close SA,,05/30/2019 12:00:00 AM,05/30/2019 12:00:00 AM,2019-151802,,2019-05-30T00:00:00.000,2019-05-30T00:00:00.000,Done
2019OPA-0680,Done,OPA Close Case,,02/04/2020 12:00:00 AM,01/30/2020 12:00:00 AM,2019-061327,,2020-02-04T00:00:00.000,2020-01-30T00:00:00.000,Done
2015OPA-1412,Done,OPA Close CL,,10/06/2015 12:00:00 AM,10/13/2015 12:00:00 AM,,,2015-10-06T00:00:00.000,2015-10-13T00:00:00.000,Done
2015OPA-1665,Done,OPA Close Case,05/05/2016 12:00:00 AM,05/05/2016 12:00:00 AM,04/26/2016 12:00:00 AM,,2016-05-05T00:00:00.000,2016-05-05T00:00:00.000,2016-04-26T00:00:00.000,Done
2015OPA-1878,Done,OPA Close Case,09/25/2016 12:00:00 AM,09/22/2016 12:00:00 AM,09/01/2016 12:00:00 AM,,2016-09-25T00:00:00.000,2016-09-22T00:00:00.000,2016-09-01T00:00:00.000,Done
2017OPA-0964,Done,OPA Close CL,10/16/2017 12:00:00 AM,10/13/2017 12:00:00 AM,09/18/2017 12:00:00 AM,,2017-10-16T00:00:00.000,2017-10-13T00:00:00.000,2017-09-18T00:00:00.000,Done
2019OPA-0147,Done,OPA Close Case,09/20/2019 12:00:00 AM,09/17/2019 12:00:00 AM,09/10/2019 12:00:00 AM,2019-068071,2019-09-20T00:00:00.000,2019-09-17T00:00:00.000,2019-09-10T00:00:00.000,Done
2019OPA-0758,Done,OPA 180 Extension Request,05/14/2020 12:00:00 AM,06/13/2020 12:00:00 AM,04/02/2020 12:00:00 AM,2019-254981,2020-05-14T00:00:00.000,2020-06-13T00:00:00.000,2020-04-02T00:00:00.000,Done
2019OPA-0776,Done,OPA Close SA,,12/24/2019 12:00:00 AM,12/24/2019 12:00:00 AM,,,2019-12-24T00:00:00.000,2019-12-24T00:00:00.000,Done
2015OPA-1482,Done,OPA Close SA,11/21/2015 12:00:00 AM,11/20/2015 12:00:00 AM,11/16/2015 12:00:00 AM,,2015-11-21T00:00:00.000,2015-11-20T00:00:00.000,2015-11-16T00:00:00.000,Done
2015OPA-1705,Done,OPA Close CL,02/03/2016 12:00:00 AM,01/28/2016 12:00:00 AM,01/25/2016 12:00:00 AM,,2016-02-03T00:00:00.000,2016-01-28T00:00:00.000,2016-01-25T00:00:00.000,Done
2018OPA-1036,Done,OPA Close CL,12/01/2018 12:00:00 AM,12/04/2018 12:00:00 AM,11/26/2018 12:00:00 AM,,2018-12-01T00:00:00.000,2018-12-04T00:00:00.000,2018-11-26T00:00:00.000,Done
2019OPA-0135,Done,OPA Close Case,09/09/2019 12:00:00 AM,09/11/2019 12:00:00 AM,08/30/2019 12:00:00 AM,,2019-09-09T00:00:00.000,2019-09-11T00:00:00.000,2019-08-30T00:00:00.000,Done
2015OPA-0066,Done,OPA Director SA Review,03/07/2015 12:00:00 AM,03/11/2015 12:00:00 AM,03/02/2015 12:00:00 AM,2014-252059,2015-03-07T00:00:00.000,2015-03-11T00:00:00.000,2015-03-02T00:00:00.000,Done
2015OPA-0126,Done,OPA Close Case,08/10/2015 12:00:00 AM,08/10/2015 12:00:00 AM,07/29/2015 12:00:00 AM,2014-222942,2015-08-10T00:00:00.000,2015-08-10T00:00:00.000,2015-07-29T00:00:00.000,Done
2015OPA-0225,Done,OPA Close CL,,03/05/2015 12:00:00 AM,10/22/2015 12:00:00 AM,2014-159965,,2015-03-05T00:00:00.000,2015-10-22T00:00:00.000,Done
2015OPA-0290,Done,OPA Close CL,,03/23/2015 12:00:00 AM,10/21/2015 12:00:00 AM,,,2015-03-23T00:00:00.000,2015-10-21T00:00:00.000,Done
2015OPA-1767,Done,OPA Close SA,01/16/2016 12:00:00 AM,01/12/2016 12:00:00 AM,01/11/2016 12:00:00 AM,,2016-01-16T00:00:00.000,2016-01-12T00:00:00.000,2016-01-11T00:00:00.000,Done
2016OPA-0395,Done,OPA Close Case,10/20/2016 12:00:00 AM,10/21/2016 12:00:00 AM,10/17/2016 12:00:00 AM,2016-018096,2016-10-20T00:00:00.000,2016-10-21T00:00:00.000,2016-10-17T00:00:00.000,Done
2016OPA-1074,Done,OPA Close CL,10/06/2016 12:00:00 AM,10/07/2016 12:00:00 AM,10/01/2016 12:00:00 AM,,2016-10-06T00:00:00.000,2016-10-07T00:00:00.000,2016-10-01T00:00:00.000,Done
2017OPA-0368,Done,OPA Close SA,,05/22/2017 12:00:00 AM,05/22/2017 12:00:00 AM,,,2017-05-22T00:00:00.000,2017-05-22T00:00:00.000,Done
