SUMMONS_KEY,SUMMONS_DATE,OFFENSE_DESCRIPTION,LAW_SECTION_NUMBER,LAW_DESCRIPTION,SUMMONS_CATEGORY_TYPE,AGE_GROUP,SEX,RACE,JURISDICTION_CODE,BORO,PRECINCT_OF_OCCUR,X_COORDINATE_CD,Y_COORDINATE_CD,Latitude,Longitude
212299751,03/31/2020,TRESPASS,140.05,Penal Law,TRESPASS,<18,M,WHITE HISPANIC,0,NEW YORK,30,999751,241188,40.82867545800008,-73.94398971599996
211633754,03/31/2020,TRESPASS,140.05,Penal Law,TRESPASS,18-24,M,WHITE HISPANIC,0,BRONX,52,1015821,258508,40.87617086100005,-73.88584042899998
211625767,03/31/2020,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,25-44,M,BLACK,0,BROOKLYN,75,1012851,180748,40.66275024300006,-73.89691086599998
211633614,03/31/2020,CREATES A HAZARDOUS OR PHYSICALLY OFFENSIVE CONDITION WITHOUT A LEGITIMATE PURPO,240.20(7),,,45-64,M,BLACK,0,QUEENS,105,1055480,192979,40.69608111100007,-73.74312854999994
211633616,03/31/2020,OTHER TRANSIT REG,9999,ABC,OTHER ABC,25-44,M,BLACK,1,NEW YORK,13,984338,208351,40.73856022100006,-73.99968389599996
211609401,03/31/2020,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,,,0,QUEENS,111,1050130,215817,40.758807078000075,-73.76219828699995
211634181,03/31/2020,RECKLESS DRIVING,1212,VTL,VTL,25-44,M,BLACK HISPANIC,0,BRONX,52,1008647,253247,40.861753771000046,-73.91180081299996
211630963,03/31/2020,TRESPASS,140.05,Penal Law,TRESPASS,18-24,M,WHITE HISPANIC,0,BRONX,52,1015821,258508,40.87617086100005,-73.88584042899998
211623543,03/31/2020,DISCON: OBSTRUCT VEHICLE,240.205B,Penal Law,DISORDERLY CONDUCT,25-44,M,BLACK HISPANIC,0,BRONX,52,1011101,254469,40.86510066700004,-73.90292416199996
211610834,03/31/2020,OTHER VTL,9999,VTL,VTL,UNKNOWN,,,0,QUEENS,111,1050130,215817,40.758807078000075,-73.76219828699995
211660543,03/31/2020,CONGREGATES WITH OTHER PERSONS IN PUBLIC AND REFUSES TO DISPERSE BY LAWFUL POLIC,240.20(6),,,UNKNOWN,M,BLACK,0,BROOKLYN,79,998721,190087,40.68841806100005,-73.94782152999993
211660544,03/31/2020,CONGREGATES WITH OTHER PERSONS IN PUBLIC AND REFUSES TO DISPERSE BY LAWFUL POLIC,240.20(6),,,18-24,M,BLACK,0,BROOKLYN,79,998721,190087,40.68841806100005,-73.94782152999993
211629479,03/31/2020,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,25-44,M,BLACK,0,BRONX,52,1010153,253042,40.86118681700003,-73.90635707999998
211647818,03/31/2020,MOTOR VEHICLE; ENGINE ON/KEY IN IGNITION (THERE IS NO TIME REQUIREMENT),10-111(A),,,45-64,M,BLACK,0,NEW YORK,32,1000126,238706,40.821862408000065,-73.942640554
211628048,03/31/2020,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,,,0,QUEENS,109,1032051,217053,40.762315800000074,-73.82744800199998
211629477,03/31/2020,TRESPASS,140.05,Penal Law,TRESPASS,25-44,M,BLACK,0,BRONX,52,1010153,253042,40.86118681700003,-73.90635707999998
211628045,03/31/2020,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,18-24,M,BLACK HISPANIC,0,NEW YORK,26,996463,235457,40.812950638000075,-73.95588109399995
211620879,03/31/2020,TRESPASS,140.05,Penal Law,TRESPASS,18-24,M,BLACK HISPANIC,0,BRONX,50,1010984,261034,40.88311992000007,-73.90332096899994
211629473,03/31/2020,"ENGAGES IN FIGHTING, OR VIOLENT, TUMULTUOUS OR THREATENING BEHAVIOR",240.20(1),,,18-24,M,BLACK,0,BROOKLYN,60,985306,148423,40.574070952000056,-73.99620020499998
211618479,03/31/2020,"ENGAGES IN FIGHTING, OR VIOLENT, TUMULTUOUS OR THREATENING BEHAVIOR",240.20(1),,,25-44,M,BLACK,0,STATEN ISLAND,121,942825,166367,40.623226819000074,-74.14922697299994
211616454,03/31/2020,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,45-64,M,BLACK,0,BRONX,46,1011751,250275,40.85358740100002,-73.90059135599995
211588239,03/30/2020,NO TAX STAMP,11-809,Administrative Code,TLC,UNKNOWN,,,0,QUEENS,111,1048659,216392,40.76039613900008,-73.76750253499995
211588241,03/30/2020,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,,,0,BROOKLYN,76,983272,186957,40.679838697000044,-74.00352748899996
211596902,03/30/2020,OPERATION WHILE REGISTRATION OR PRIVILEGE IS SUSPENDED OR REVOKED,512,,,25-44,M,WHITE HISPANIC,0,BROOKLYN,79,996341,188770,40.684806768000044,-73.95640575799997
211588243,03/30/2020,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,,,0,BROOKLYN,76,983272,186957,40.679838697000044,-74.00352748899996
211588244,03/30/2020,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,,,0,BROOKLYN,76,983272,186957,40.679838697000044,-74.00352748899996
211591460,03/30/2020,TRESPASS,140.05,Penal Law,TRESPASS,<18,M,BLACK,0,QUEENS,113,1051432,189499,40.686561004000055,-73.75776125999994
211591461,03/30/2020,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,<18,M,BLACK,0,QUEENS,113,1051432,189499,40.686561004000055,-73.75776125999994
211596903,03/30/2020,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,,,0,NEW YORK,19,999159,222448,40.77724032000003,-73.94617047499997
211591458,03/30/2020,TRESPASS,140.05,Penal Law,TRESPASS,18-24,M,BLACK,0,QUEENS,113,1051432,189499,40.686561004000055,-73.75776125999994
211588245,03/30/2020,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,,,0,BROOKLYN,76,983272,186957,40.679838697000044,-74.00352748899996
211600145,03/30/2020,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,45-64,M,BLACK,0,BROOKLYN,79,996877,191036,40.691025669000055,-73.95446889399994
211618476,03/30/2020,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,25-44,M,BLACK,0,NEW YORK,32,1002092,237467,40.81845795000004,-73.93554057999995
211710526,03/30/2020,CREATES A HAZARDOUS OR PHYSICALLY OFFENSIVE CONDITION WITHOUT A LEGITIMATE PURPO,240.20(7),,,18-24,M,BLACK,2,BRONX,40,1006384,233629,40.80791400200008,-73.92004679399997
211594497,03/30/2020,OBSTRUCTS VEHICULAR OR PEDESTRIAN TRAFFIC,240.20(5),,,18-24,M,BLACK,2,BRONX,43,1017970,243163,40.83404549800008,-73.87814681899994
211588242,03/30/2020,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,,,0,BROOKLYN,76,983272,186957,40.679838697000044,-74.00352748899996
211594499,03/30/2020,RECKLESS DRIVING,1212,VTL,VTL,18-24,M,BLACK,2,BRONX,43,1017970,243163,40.83404549800008,-73.87814681899994
211600142,03/30/2020,TRESPASS,140.05,Penal Law,TRESPASS,25-44,M,BLACK,0,BROOKLYN,79,997365,189471,40.686729395000036,-73.95271222799995
211600243,03/30/2020,TRESPASS,140.05,Penal Law,TRESPASS,<18,F,WHITE HISPANIC,0,BRONX,52,1015821,258508,40.87617086100005,-73.88584042899998
211595947,03/30/2020,PROHIBITS VIOLATIONS OF ANY EMERGENCY MEASURES ESTABLISHED BY THE MAYOR,3-108,,,45-64,M,WHITE,0,BROOKLYN,90,994041,198093,40.710399077000034,-73.96468515799995
211597862,03/30/2020,LITTERING,16-118,Administrative Code,LITTERING,18-24,M,BLACK,0,BRONX,44,1007606,244110,40.83667822800004,-73.91559608699998
211599201,03/30/2020,OBSTRUCTS VEHICULAR OR PEDESTRIAN TRAFFIC,240.20(5),,,18-24,M,BLACK HISPANIC,0,BRONX,52,1009565,254891,40.86626346700007,-73.90847582899994
211588238,03/30/2020,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,,,0,QUEENS,109,1032051,217053,40.762315800000074,-73.82744800199998
211600153,03/30/2020,TRESPASS,140.05,Penal Law,TRESPASS,18-24,M,WHITE HISPANIC,0,BRONX,52,1015821,258508,40.87617086100005,-73.88584042899998
211596904,03/30/2020,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,,,0,NEW YORK,19,999159,222448,40.77724032000003,-73.94617047499997
211639443,03/30/2020,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,18-24,M,BLACK,0,QUEENS,101,1046242,157040,40.59750616900004,-73.77677316599994
211588237,03/30/2020,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,,,0,QUEENS,109,1032051,217053,40.762315800000074,-73.82744800199998
211710525,03/30/2020,CREATES A HAZARDOUS OR PHYSICALLY OFFENSIVE CONDITION WITHOUT A LEGITIMATE PURPO,240.20(7),,,18-24,M,BLACK,2,BRONX,40,1006384,233629,40.80791400200008,-73.92004679399997
211600144,03/30/2020,"ENGAGES IN FIGHTING, OR VIOLENT, TUMULTUOUS OR THREATENING BEHAVIOR",240.20(1),,,18-24,M,WHITE HISPANIC,0,NEW YORK,23,1000278,228952,40.795090104000046,-73.94211465699995
211710527,03/30/2020,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,18-24,M,WHITE HISPANIC,2,BRONX,40,1006611,233503,40.80756759500007,-73.91922722299995
211591459,03/30/2020,TRESPASS,140.05,Penal Law,TRESPASS,<18,M,BLACK,0,QUEENS,113,1051432,189499,40.686561004000055,-73.75776125999994
211600430,03/30/2020,IN A PUBLIC PLACE AND USES ABUSIVE/OBSCENE LANGUAGE OR MAKES AN OBSCENE GESTURE,240.20(3),,,45-64,M,BLACK,0,NEW YORK,26,996592,237320,40.81806387300003,-73.95541164599996
211588236,03/30/2020,TRESPASS,140.05,Penal Law,TRESPASS,25-44,M,BLACK HISPANIC,0,BRONX,41,1013086,236614,40.81608766100004,-73.89582435399994
211596905,03/30/2020,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,,,0,NEW YORK,19,999159,222448,40.77724032000003,-73.94617047499997
211591457,03/30/2020,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,18-24,M,BLACK,0,QUEENS,113,1051432,189499,40.686561004000055,-73.75776125999994
211675155,03/30/2020,RECKLESS DRIVING,1212,VTL,VTL,18-24,M,BLACK HISPANIC,0,NEW YORK,34,1002173,249401,40.85121316800007,-73.93521605199999
211588240,03/30/2020,HIGHWAY USE TAX (NYS),1815,Tax Law,VTL,UNKNOWN,,,0,QUEENS,111,1041589,215415,40.757763209000075,-73.79303153699995
211575720,03/29/2020,POSS. OF KNIFE,10-133,Administrative Code,KNIFE,<18,F,WHITE HISPANIC,0,BRONX,52,1015821,258508,40.87617086100005,-73.88584042899998
211572197,03/29/2020,"ENGAGES IN FIGHTING, OR VIOLENT, TUMULTUOUS OR THREATENING BEHAVIOR",240.20(1),,,18-24,M,WHITE,0,NEW YORK,24,992346,226521,40.788428489000076,-73.97076482999995
211588234,03/29/2020,"ENGAGES IN FIGHTING, OR VIOLENT, TUMULTUOUS OR THREATENING BEHAVIOR",240.20(1),,,18-24,M,BLACK,0,BRONX,42,1008231,239249,40.82333450400005,-73.91335479999998
211568374,03/29/2020,LEAVING THE SCENE OF AN ACCIDENT (PROP. DAM.),600,VTL,VTL,18-24,M,WHITE,0,STATEN ISLAND,122,967011,156728,40.59684982400006,-74.06207703899997
211573162,03/29/2020,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,,,0,QUEENS,109,1032051,217053,40.762315800000074,-73.82744800199998
211575710,03/29/2020,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,25-44,M,BLACK,0,BRONX,49,1027560,253790,40.86317161400007,-73.84342266899995
211563561,03/29/2020,MAKES UNREASONABLE NOISE,240.20(2),,,18-24,M,BLACK HISPANIC,0,BRONX,52,1011429,253871,40.86345833400002,-73.90174073399999
211699238,03/29/2020,CONSUMPTION OF ALCOHOL,10-125,Administrative Code,ALCOHOL,<18,M,BLACK,2,BRONX,40,1006600,238545,40.82140650100007,-73.91925016899995
211575705,03/29/2020,TRESPASS,140.05,Penal Law,TRESPASS,<18,F,WHITE HISPANIC,0,BRONX,52,1015518,258611,40.876454642000056,-73.88693559699995
211575704,03/29/2020,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,25-44,M,BLACK,2,BROOKLYN,88,991368,192539,40.69515720300007,-73.97433257999995
211573163,03/29/2020,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,,,0,QUEENS,109,1032051,217053,40.762315800000074,-73.82744800199998
211576394,03/29/2020,EVICTION; UNLAWFUL (REMOVE PROPERTY/REMOVE DOOR/CHANGE OR DAMAGE LOCKS),26-521(3),,,25-44,F,ASIAN / PACIFIC ISLANDER,0,BROOKLYN,70,997350,162381,40.61237324600006,-73.95281892299994
211571129,03/29/2020,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,18-24,M,BLACK,0,BRONX,49,1020060,255965,40.86917493200008,-73.87052577799993
211575718,03/29/2020,TRESPASS,140.05,Penal Law,TRESPASS,<18,F,WHITE HISPANIC,0,BRONX,52,1015821,258508,40.87617086100005,-73.88584042899998
211573161,03/29/2020,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,,,0,QUEENS,109,1032051,217053,40.762315800000074,-73.82744800199998
211573120,03/29/2020,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,,,0,QUEENS,109,1032051,217053,40.762315800000074,-73.82744800199998
211575172,03/29/2020,TRESPASS,140.05,Penal Law,TRESPASS,18-24,M,BLACK HISPANIC,0,BRONX,52,1015821,258508,40.87617086100005,-73.88584042899998
211572195,03/29/2020,"ENGAGES IN FIGHTING, OR VIOLENT, TUMULTUOUS OR THREATENING BEHAVIOR",240.20(1),,,18-24,M,BLACK,0,NEW YORK,24,992346,226521,40.788428489000076,-73.97076482999995
211575164,03/29/2020,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,25-44,M,BLACK,0,BROOKLYN,70,995616,176703,40.65168650100002,-73.95904018399995
211573160,03/29/2020,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,,,0,QUEENS,109,1032051,217053,40.762315800000074,-73.82744800199998
211620874,03/29/2020,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,18-24,M,BLACK HISPANIC,2,BROOKLYN,88,990847,192564,40.695226225000056,-73.97621137999994
211574679,03/29/2020,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,45-64,M,WHITE HISPANIC,0,BRONX,49,1020679,255508,40.86791807400005,-73.86829019099997
211575168,03/29/2020,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,25-44,M,BLACK,2,BROOKLYN,88,990847,192564,40.695226225000056,-73.97621137999994
211578858,03/29/2020,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,25-44,M,BLACK,0,QUEENS,101,1052360,160293,40.60639005600007,-73.754710043
211588231,03/29/2020,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,18-24,M,ASIAN / PACIFIC ISLANDER,0,NEW YORK,5,985766,202641,40.72288753600003,-73.99453218799994
211574678,03/29/2020,TRESPASS,140.05,Penal Law,TRESPASS,25-44,M,WHITE HISPANIC,0,NEW YORK,17,990484,211481,40.74714909500005,-73.977502911
211575169,03/29/2020,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,25-44,M,BLACK HISPANIC,0,BRONX,52,1015821,258508,40.87617086100005,-73.88584042899998
211574680,03/29/2020,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,25-44,M,BLACK,0,BRONX,49,1020060,255965,40.86917493200008,-73.87052577799993
211563927,03/29/2020,"ENGAGES IN FIGHTING, OR VIOLENT, TUMULTUOUS OR THREATENING BEHAVIOR",240.20(1),,,25-44,F,WHITE HISPANIC,0,BRONX,41,1011153,235312,40.812520134000074,-73.90281300199997
211575711,03/29/2020,PROHIBITS VIOLATIONS OF ANY EMERGENCY MEASURES ESTABLISHED BY THE MAYOR,3-108,,,25-44,M,ASIAN / PACIFIC ISLANDER,0,BRONX,49,1021177,247658,40.84637012600007,-73.86653288799994
211575713,03/29/2020,PROHIBITS VIOLATIONS OF ANY EMERGENCY MEASURES ESTABLISHED BY THE MAYOR,3-108,,,45-64,M,ASIAN / PACIFIC ISLANDER,0,BRONX,49,1020956,247151,40.84497948200004,-73.86733444199997
211575719,03/29/2020,TRESPASS,140.05,Penal Law,TRESPASS,<18,M,WHITE HISPANIC,0,BRONX,52,1015821,258508,40.87617086100005,-73.88584042899998
211578851,03/29/2020,"ENGAGES IN FIGHTING, OR VIOLENT, TUMULTUOUS OR THREATENING BEHAVIOR",240.20(1),,,25-44,F,WHITE,0,BROOKLYN,72,986543,182187,40.666745873000025,-73.99173597099998
211563563,03/29/2020,MAKES UNREASONABLE NOISE,240.20(2),,,18-24,M,BLACK HISPANIC,0,BRONX,52,1011429,253871,40.86345833400002,-73.90174073399999
211572193,03/29/2020,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,25-44,M,ASIAN / PACIFIC ISLANDER,0,BRONX,49,1020342,252109,40.85859024000007,-73.869526937
211563564,03/29/2020,"ENGAGES IN FIGHTING, OR VIOLENT, TUMULTUOUS OR THREATENING BEHAVIOR",240.20(1),,,45-64,F,BLACK,0,BROOKLYN,72,986543,182187,40.666745873000025,-73.99173597099998
211575709,03/29/2020,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,25-44,M,WHITE HISPANIC,0,BRONX,49,1023139,247769,40.84666636500003,-73.85944082399999
211575708,03/29/2020,CONSUMPTION OF ALCOHOL,10-125,Administrative Code,ALCOHOL,45-64,M,BLACK,0,BRONX,49,1027440,251415,40.85665355000003,-73.84387180799997
211575706,03/29/2020,NON PAYMENT OF FARE (OTHER),1050.4(A),,,25-44,M,BLACK,1,BRONX,40,1006611,233503,40.80756759500007,-73.91922722299995
211575173,03/29/2020,TRESPASS,140.05,Penal Law,TRESPASS,18-24,M,WHITE HISPANIC,0,BRONX,52,1015821,258508,40.87617086100005,-73.88584042899998
211575712,03/29/2020,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,UNKNOWN,M,WHITE HISPANIC,0,BRONX,49,1021111,249855,40.85240051200003,-73.86675935899994
211576280,03/29/2020,TRESPASS,140.05,Penal Law,TRESPASS,18-24,M,ASIAN / PACIFIC ISLANDER,0,QUEENS,101,1044122,155673,40.593768616000034,-73.78441919999993
211575707,03/29/2020,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,45-64,M,BLACK,0,BRONX,49,1021917,251015,40.855580961000044,-73.86383938399997
211575714,03/29/2020,CONSUMPTION OF ALCOHOL,10-125,Administrative Code,ALCOHOL,25-44,M,WHITE HISPANIC,0,BRONX,49,1020798,254601,40.865428146000056,-73.86786488599995
211575721,03/29/2020,TRESPASS,140.05,Penal Law,TRESPASS,18-24,M,BLACK HISPANIC,0,BRONX,52,1015821,258508,40.87617086100005,-73.88584042899998
211575171,03/29/2020,TRESPASS,140.05,Penal Law,TRESPASS,18-24,M,WHITE HISPANIC,0,BRONX,52,1015821,258508,40.87617086100005,-73.88584042899998
211571130,03/29/2020,DISORDERLY CONDUCT,240.20,Penal Law,DISORDERLY CONDUCT,<18,M,BLACK,0,BROOKLYN,88,995302,190524,40.68962245400007,-73.96014913199997
211576279,03/29/2020,TRESPASS,140.05,Penal Law,TRESPASS,45-64,M,BLACK,0,NEW YORK,13,987033,207016,40.734895538000046,-73.98995943399994
211647819,03/29/2020,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,18-24,M,BLACK,0,BRONX,43,1024906,238244,40.82051505800007,-73.85311190799997
211563562,03/29/2020,PROHIBITS VIOLATIONS OF ANY EMERGENCY MEASURES ESTABLISHED BY THE MAYOR,3-108,,,45-64,M,ASIAN / PACIFIC ISLANDER,0,QUEENS,114,1007465,215324,40.75766888100002,-73.91620514999995
211578862,03/29/2020,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,18-24,F,BLACK,0,QUEENS,101,1052360,160293,40.60639005600007,-73.754710043
211618482,03/29/2020,FAILURE TO COMPLY WITH SIGN,1-03,Park Regs,PARK REGS,25-44,M,BLACK,0,NEW YORK,25,1000098,232836,40.80575094700004,-73.94275557899994
211575717,03/29/2020,TRESPASS,140.05,Penal Law,TRESPASS,<18,F,WHITE HISPANIC,0,BRONX,52,1015821,258508,40.87617086100005,-73.88584042899998
211575716,03/29/2020,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,18-24,M,WHITE HISPANIC,0,BRONX,42,1010129,239570,40.82421020100002,-73.90649583099997
211575170,03/29/2020,TRESPASS,140.05,Penal Law,TRESPASS,25-44,M,BLACK HISPANIC,0,BRONX,52,1015821,258508,40.87617086100005,-73.88584042899998
211575715,03/29/2020,CONSUMPTION OF ALCOHOL,10-125,Administrative Code,ALCOHOL,45-64,M,BLACK,0,BRONX,49,1021078,254609,40.86544894000008,-73.86685252399997
211545098,03/28/2020,ALCOHOLIC BEVERAGE IN PUBLIC,10-125(2B),,,25-44,M,BLACK,0,QUEENS,103,1042459,192547,40.69499059800006,-73.79008901099996
