Establishment Name,Street Address,City,Zip Code,Inspection Date,Inspection Results,Inspection Type,Lifeguard on Deck,Main Drains Visible,Recirculation System Operating,Water Level Adequate,Disinfection System Operating,Bathhouse Operational ,DHHS Permitted Entry,Immediate Hazard Absent,CPR Certified Personnel,Water Chemistry,Organization,Category,Location 1,Establishment #
AMBER COMMONS,7 MCCAUSLAND PL,GAITHERSBURG,20877,06/18/2019,Pool failed pre-opening. Reinspection Required.,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,"WDP-RST, LLC",Apartments/Condos,"7 MCCAUSLAND PL
GAITHERSBURG, MD 20877
(39.129135, -77.194636)",22428
PARK OVERLOOK,8103 NEEDWOOD RD,ROCKVILLE,20855,06/20/2019,Critical Violations and Corrected during Inspectio,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,PARK OVERLOOK HOA,Apartments/Condos,"8103 NEEDWOOD RD
ROCKVILLE, MD 20855
(39.128361, -77.159399)",19818
EDGEMOOR CLUB,7415 EXETER RD,BETHESDA,20814,06/19/2019,Critical Violations Noted,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,THE EDGEMOOR CLUB,Other,"7415 EXETER RD
BETHESDA, MD 20814
(38.983692, -77.103181)",19650
OLDE TOWN FOUNTAIN,3 S SUMMIT AVE,Gaithersburg,20877,06/20/2019,Critical Violations and Corrected during Inspectio,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,CITY OF GAITHERSBURG,Government,"3 S SUMMIT AVE
Gaithersburg, MD 20877
(39.141976, -77.193425)",33256
SPRINGLAKE,7500 SPRINGLAKE DR,BETHESDA,20817,06/19/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,COMSOURCE MANAGMENT INC,Apartments/Condos,"7500 SPRINGLAKE DR
BETHESDA, MD 20817
(39.026405, -77.152171)",19881
17 BARKLEY,17 BARKLEY LN,GAITHERSBURG,20877,06/18/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,FAIRFIELD,Apartments/Condos,"17 BARKLEY LN
GAITHERSBURG, MD 20877
(39.131846, -77.190951)",22533
COUNTRY GLEN,10055 GLEN RD,POTOMAC,20854,06/19/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,COUNTRY GLEN CLUB,Community,"10055 GLEN RD
POTOMAC, MD 20854
(39.046594, -77.20739)",19636
WHITE OAK GARDENS,11615 LOCKWOOD DR,SILVER SPRING,20904,07/09/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,CASE MANAGEMENT LLC,Apartments/Condos,"11615 LOCKWOOD DR
SILVER SPRING, MD 20904
(39.041433, -76.983419)",19947
WHEATON/GLENMONT,12621 DALEWOOD DR,WHEATON,20902,07/11/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,MONT. COUNTY RECREATION-AQUATICS,Government,"12621 DALEWOOD DR
WHEATON, MD 20902
(39.062832, -77.06427)",19688
PARK OVERLOOK,8103 NEEDWOOD RD,ROCKVILLE,20855,08/25/2018,Critical Violations and Corrected during Inspectio,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,PARK OVERLOOK HOA,Apartments/Condos,"8103 NEEDWOOD RD
ROCKVILLE, MD 20855
(39.128361, -77.159399)",19818
MILL CREEK GARDENS,17654 AMITY DR,GAITHERSBURG,20877,05/31/2019,,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,RIMSI CORP,Apartments/Condos,"17654 AMITY DR
GAITHERSBURG, MD 20877
(39.144158, -77.167939)",19772
LONGMEADE CROSSING #1,2400 LONGMEADE CROSSING DR,SILVER SPRING,20906,05/21/2019,,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,LONGMEAD CROSSING HOA,Community,"2400 LONGMEADE CROSSING DR
SILVER SPRING, MD 20906
(39.09994, -77.050112)",19756
BAR-T-RANCH,6530 OLNEY LAYTONSVILLE RD,GAITHERSBURG,20882,07/17/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,BAR-T HOLDING,Other,"6530 OLNEY LAYTONSVILLE RD
GAITHERSBURG, MD 20882
(39.198761, -77.133042)",19573
PARKSIDE,10520 MONTROSE AVE,BETHESDA,20814,07/19/2018,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,COUNCIL OF UNIT OWNERS OF PARKSIDE CONDO,Apartments/Condos,"10520 MONTROSE AVE
BETHESDA, MD 20814
(39.028886, -77.095866)",19826
PARK OVERLOOK,8103 NEEDWOOD RD,ROCKVILLE,20855,07/19/2018,Critical Violations Noted,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,PARK OVERLOOK HOA,Apartments/Condos,"8103 NEEDWOOD RD
ROCKVILLE, MD 20855
(39.128361, -77.159399)",19818
LONGMEADE CROSSING #2,2501 NORMANDY CROSSING DR,SILVER SPRING,20906,05/21/2019,,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,LONGMEAD CROSSING HOA,Community,"2501 NORMANDY CROSSING DR
SILVER SPRING, MD 20906",19757
LONGMEADE CROSSING #1,2400 LONGMEADE CROSSING DR,SILVER SPRING,20906,08/22/2018,Critical Violations Noted,Last Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,LONGMEAD CROSSING HOA,Community,"2400 LONGMEADE CROSSING DR
SILVER SPRING, MD 20906
(39.09994, -77.050112)",19756
HALPINE VIEW,13013 CROOKSTON LN,ROCKVILLE,20851,07/16/2019,Critical Violations Noted,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,GRADY MANAGEMENT,Apartments/Condos,"13013 CROOKSTON LN
ROCKVILLE, MD 20851
(39.068792, -77.111104)",19706
LONGMEADE CROSSING #2,2501 NORMANDY CROSSING DR,SILVER SPRING,20906,05/15/2018,,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,LONGMEAD CROSSING HOA,Community,"2501 NORMANDY CROSSING DR
SILVER SPRING, MD 20906",19757
HADLEY FARMS,7420 HADLEY FARMS DR,GAITHERSBURG,20879,06/20/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,HADLEY FARMS HOA,Community,"7420 HADLEY FARMS DR
GAITHERSBURG, MD 20879
(39.181396, -77.157779)",19703
CLARK BUILDING,"7500 OLD GEORGETOWN RD, 16TH FL",BETHESDA,20814,05/30/2019,Pool approved to operate,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,CLARK OFFICE BUILDING LLC,Apartments/Condos,"7500 OLD GEORGETOWN RD, 16TH FL
BETHESDA, MD 20814
(38.985196, -77.094939)",19622
POINT AT GERMANTOWN STATION,19228 CIRCLE GATE DR,GERMANTOWN,20874,05/31/2019,Pool approved to operate,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,TIFFANY JOHNSON,Apartments/Condos,"19228 CIRCLE GATE DR
GERMANTOWN, MD 20874
(39.169934, -77.264389)",19864
PARKSIDE,10520 MONTROSE AVE,BETHESDA,20814,05/22/2019,Critical Violations Noted,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,COUNCIL OF UNIT OWNERS OF PARKSIDE CONDO,Apartments/Condos,"10520 MONTROSE AVE
BETHESDA, MD 20814
(39.028886, -77.095866)",19826
WHITE OAK PARK,11431 LOCKWOOD DR,SILVER SPRING,20904,07/09/2019,Critical Violations Noted,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,WHITE OAK PARK LLC,Apartments/Condos,"11431 LOCKWOOD DR
SILVER SPRING, MD 20904
(39.041174, -76.986765)",19948
MARRIOTT-POOKS HILL,5151  POOKS HILL RD,BETHESDA,20814,05/16/2019,Pool failed pre-opening. Reinspection Required.,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,MARBETH AQUISITIONS LLC,Hotel,"5151 POOKS HILL RD
BETHESDA, MD 20814
(39.01505, -77.103852)",19579
MARRIOTT-POOKS HILL,5151  POOKS HILL RD,BETHESDA,20814,07/30/2018,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,MARBETH AQUISITIONS LLC,Hotel,"5151 POOKS HILL RD
BETHESDA, MD 20814
(39.01505, -77.103852)",19579
NEW MARK COMMONS,607 TEGNER WAY,Rockville,20850,05/22/2018,Critical Violations Noted,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,NEW MARK COMMONS HOA INC C/O ABARIS REALITY,Community,"607 TEGNER WAY
Rockville, MD 20850
(39.074325, -77.157445)",19788
NEW MARK COMMONS,607 TEGNER WAY,Rockville,20850,05/21/2019,,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,NEW MARK COMMONS HOA INC C/O ABARIS REALITY,Community,"607 TEGNER WAY
Rockville, MD 20850
(39.074325, -77.157445)",19788
PARK OVERLOOK,8103 NEEDWOOD RD,ROCKVILLE,20855,06/21/2018,,A Reinspection,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,PARK OVERLOOK HOA,Apartments/Condos,"8103 NEEDWOOD RD
ROCKVILLE, MD 20855
(39.128361, -77.159399)",19818
LONGMEADE CROSSING #1,2400 LONGMEADE CROSSING DR,SILVER SPRING,20906,05/15/2018,Critical Violations Noted,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,LONGMEAD CROSSING HOA,Community,"2400 LONGMEADE CROSSING DR
SILVER SPRING, MD 20906
(39.09994, -77.050112)",19756
LONGMEADE CROSSING #2,2501 NORMANDY CROSSING DR,SILVER SPRING,20906,07/26/2018,Critical Violations Noted,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,LONGMEAD CROSSING HOA,Community,"2501 NORMANDY CROSSING DR
SILVER SPRING, MD 20906",19757
MARRIOTT-POOKS HILL,5151  POOKS HILL RD,BETHESDA,20814,05/11/2018,Critical Violations Noted,A Reinspection,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,MARBETH AQUISITIONS LLC,Hotel,"5151 POOKS HILL RD
BETHESDA, MD 20814
(39.01505, -77.103852)",19579
SAWYER FLATS I,9806 MAHOGANY DR,GAITHERSBURG,20878,05/31/2019,Pool failed pre-opening. Reinspection Required.,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,THRIVE COMMUNITIES,Apartments/Condos,"9806 MAHOGANY DR
GAITHERSBURG, MD 20878
(39.114884, -77.201438)",19803
MARRIOTT-POOKS HILL,5151  POOKS HILL RD,BETHESDA,20814,05/09/2018,Critical Violations Noted,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,MARBETH AQUISITIONS LLC,Hotel,"5151 POOKS HILL RD
BETHESDA, MD 20814
(39.01505, -77.103852)",19579
NEW MARK COMMONS,607 TEGNER WAY,Rockville,20850,06/27/2018,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,NEW MARK COMMONS HOA INC C/O ABARIS REALITY,Community,"607 TEGNER WAY
Rockville, MD 20850
(39.074325, -77.157445)",19788
LONGMEADE CROSSING #1,2400 LONGMEADE CROSSING DR,SILVER SPRING,20906,05/25/2018,,A Reinspection,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,LONGMEAD CROSSING HOA,Community,"2400 LONGMEADE CROSSING DR
SILVER SPRING, MD 20906
(39.09994, -77.050112)",19756
SAWYER FLATS II,9900 SHELBOURNE TERR,Gaithersburg,20877,05/31/2019,Pool approved to operate,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,THRIVE COMMUNITIES,Apartments/Condos,"9900 SHELBOURNE TERR
Gaithersburg, MD 20877
(39.116208, -77.204605)",19805
LONGMEADE CROSSING #2,2501 NORMANDY CROSSING DR,SILVER SPRING,20906,08/15/2018,Critical Violations Noted,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,LONGMEAD CROSSING HOA,Community,"2501 NORMANDY CROSSING DR
SILVER SPRING, MD 20906",19757
PARKSIDE,10520 MONTROSE AVE,BETHESDA,20814,06/25/2018,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,COUNCIL OF UNIT OWNERS OF PARKSIDE CONDO,Apartments/Condos,"10520 MONTROSE AVE
BETHESDA, MD 20814
(39.028886, -77.095866)",19826
MARRIOTT-POOKS HILL,5151  POOKS HILL RD,BETHESDA,20814,08/08/2018,,Last Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,MARBETH AQUISITIONS LLC,Hotel,"5151 POOKS HILL RD
BETHESDA, MD 20814
(39.01505, -77.103852)",19579
PARK OVERLOOK,8103 NEEDWOOD RD,ROCKVILLE,20855,05/23/2018,Critical Violations Noted,A Reinspection,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,PARK OVERLOOK HOA,Apartments/Condos,"8103 NEEDWOOD RD
ROCKVILLE, MD 20855
(39.128361, -77.159399)",19818
PARK OVERLOOK,8103 NEEDWOOD RD,ROCKVILLE,20855,05/22/2019,Pool approved to operate,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,PARK OVERLOOK HOA,Apartments/Condos,"8103 NEEDWOOD RD
ROCKVILLE, MD 20855
(39.128361, -77.159399)",19818
NEW MARK COMMONS,607 TEGNER WAY,Rockville,20850,07/12/2018,Critical Violations Noted,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,NEW MARK COMMONS HOA INC C/O ABARIS REALITY,Community,"607 TEGNER WAY
Rockville, MD 20850
(39.074325, -77.157445)",19788
NEW MARK COMMONS,607 TEGNER WAY,Rockville,20850,08/15/2018,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,NEW MARK COMMONS HOA INC C/O ABARIS REALITY,Community,"607 TEGNER WAY
Rockville, MD 20850
(39.074325, -77.157445)",19788
LONGMEADE CROSSING #2,2501 NORMANDY CROSSING DR,SILVER SPRING,20906,08/22/2018,Critical Violations Noted,Last Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,LONGMEAD CROSSING HOA,Community,"2501 NORMANDY CROSSING DR
SILVER SPRING, MD 20906",19757
HERMITAGE SQUARE,3213 HEWITT AVE,WHEATON,20906,05/31/2019,Critical Violations Noted,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,RIMSI CORP,Apartments/Condos,"3213 HEWITT AVE
WHEATON, MD 20906
(39.079591, -77.065858)",19712
MARRIOTT-POOKS HILL,5151  POOKS HILL RD,BETHESDA,20814,06/21/2018,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,MARBETH AQUISITIONS LLC,Hotel,"5151 POOKS HILL RD
BETHESDA, MD 20814
(39.01505, -77.103852)",19579
WESTCHESTER WEST #2,3214 HEWITT AVE,SILVER SPRING,20906,05/31/2019,,A Reinspection,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,WESTCHESTER GARDENS LLC,Apartments/Condos,"3214 HEWITT AVE
SILVER SPRING, MD 20906
(39.079755, -77.064603)",19939
LONGMEADE CROSSING #1,2400 LONGMEADE CROSSING DR,SILVER SPRING,20906,08/15/2018,Critical Violations Noted,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,LONGMEAD CROSSING HOA,Community,"2400 LONGMEADE CROSSING DR
SILVER SPRING, MD 20906
(39.09994, -77.050112)",19756
PARKSIDE,10520 MONTROSE AVE,BETHESDA,20814,06/25/2018,,Complaint,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,COUNCIL OF UNIT OWNERS OF PARKSIDE CONDO,Apartments/Condos,"10520 MONTROSE AVE
BETHESDA, MD 20814
(39.028886, -77.095866)",19826
LONGMEADE CROSSING #1,2400 LONGMEADE CROSSING DR,SILVER SPRING,20906,07/26/2018,Critical Violations Noted,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,LONGMEAD CROSSING HOA,Community,"2400 LONGMEADE CROSSING DR
SILVER SPRING, MD 20906
(39.09994, -77.050112)",19756
PARK OVERLOOK,8103 NEEDWOOD RD,ROCKVILLE,20855,06/21/2018,Pool closed AND requires re-inspection prior to re,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,PARK OVERLOOK HOA,Apartments/Condos,"8103 NEEDWOOD RD
ROCKVILLE, MD 20855
(39.128361, -77.159399)",19818
MARRIOTT-POOKS HILL,5151  POOKS HILL RD,BETHESDA,20814,05/17/2019,Pool approved to operate,A Reinspection,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,MARBETH AQUISITIONS LLC,Hotel,"5151 POOKS HILL RD
BETHESDA, MD 20814
(39.01505, -77.103852)",19579
PARKSIDE,10520 MONTROSE AVE,BETHESDA,20814,05/22/2018,,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,COUNCIL OF UNIT OWNERS OF PARKSIDE CONDO,Apartments/Condos,"10520 MONTROSE AVE
BETHESDA, MD 20814
(39.028886, -77.095866)",19826
PARK OVERLOOK,8103 NEEDWOOD RD,ROCKVILLE,20855,05/16/2018,Critical Violations Noted,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,PARK OVERLOOK HOA,Apartments/Condos,"8103 NEEDWOOD RD
ROCKVILLE, MD 20855
(39.128361, -77.159399)",19818
PARK SUTTON,1900 LYTTONSVILLE RD,SILVER SPRING,20910,06/20/2019,Critical Violations Noted,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,BARKAN COMPANIES,Apartments/Condos,"1900 LYTTONSVILLE RD
SILVER SPRING, MD 20910
(39.001787, -77.041252)",19822
CHELSEA TOWER,7401 WESTLAKE TERR,BETHESDA,20817,06/18/2019,Critical Violations Noted,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,HOA,Apartments/Condos,"7401 WESTLAKE TERR
BETHESDA, MD 20817
(39.026687, -77.151276)",19610
EDINBURGH VILLAGE,7339 BRENISH DR,GAITHERSBURG,20879,06/20/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,CAS,Community,"7339 BRENISH DR
GAITHERSBURG, MD 20879
(39.176284, -77.155454)",19651
GAITHER HOUSE,501-B  S FREDERICK AVE,GAITHERSBURG,20877,06/18/2019,Critical Violations and Corrected during Inspectio,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,ARC DEVELOPERS INC,Apartments/Condos,"501-B S FREDERICK AVE
GAITHERSBURG, MD 20877
(39.134986, -77.19127)",19676
ENVIRONS,18000 O'HARA CIR,OLNEY,20832,06/19/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,ENVIRONS HOA,Apartments/Condos,"18000 O'HARA CIR
OLNEY, MD 20832
(39.151629, -77.061532)",19655
SUMNER VILLAGE,4910 SENTINEL DR,BETHESDA,20816,06/20/2019,Critical Violations Noted,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,S.V.C. ASSOCIATION,Apartments/Condos,"4910 SENTINEL DR
BETHESDA, MD 20816
(38.950054, -77.117429)",19899
ELDWICK,11130 BROAD GREEN DR,POTOMAC,20854,06/19/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,ELDWICK HOMES ASSOC,Country Club,"11130 BROAD GREEN DR
POTOMAC, MD 20854
(39.039817, -77.203208)",19653
CARDEROCK SPRINGS,8200 HAMILTON SPRING CT,BETHESDA,20817,06/18/2019,Critical Violations Noted,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,CARDEROCK SWIMMING CLUB INC,Community,"8200 HAMILTON SPRING CT
BETHESDA, MD 20817
(38.991036, -77.167809)",19599
