MANAGEMENT_CLASS,CLASS_DESC,VEHICLE_COUNT,MAINT_DOLLARS,FUEL_QTY,AVG_MILES_PER_VEHICLE,TOTAL_MILES
F419,TRACK EXCAV HVY DUTY,3,7125.270941,1035.2,170.875709068827788,512.627127206483365
H507,GRAPPLE ATTACHMENT HYDR,10,1612.078555,No-DATA,0,0
F521,IMPACTOR PNEU HVY,7,725.221378,No-DATA,0,0
L120,"BOAT, OUTBOARD, 22 F00T,",4,7895.02073,145.4,406.331774352241149,1625.327097408964596
B345,PU 9000 GVW 4WD CREW LPG,4,13197.54499,5794.7,12285.020103989768634,49140.080415959074535
J422,SWPR SIDWLK LARGE DIES,1,563.042256,No-DATA,0,0
J027,SPEED TRL RADAR SOLAR,13,3494.069562,No-DATA,0,0
J019,ARW BRD TRL MTD SOLAR,12,15288.828586,No-DATA,0,0
K513,"SEMI-TRAILER, IMP., DETAC",1,1645.402397,No-DATA,0,0
P731,"TRUCK, SERVICE, WATER MAI",1,3911.400585,56.7,5865.310618233590299,5865.310618233590299
G671,TRK AER TWR 26' 24K DIE,9,135656.943515,10338.9,7418.450997538678644,66766.058977848107795
A731,BUS 120 PASS DIESEL,2,,No-DATA,0,0
K502,"SEMI-TRAILER, ENCLOSED, 4",3,22634.601694,No-DATA,0,0
