Reporting Area,MMWR Year,MMWR Week,"Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Current week","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Current week, flag","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Previous 52 weeks Max†","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Previous 52 weeks Max†, flag","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Cum 2020†","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Cum 2020†, flag","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Cum 2019†","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Cum 2019†, flag","Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis, Current week","Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis, Current week, flag","Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis, Previous 52 weeks Max†","Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis, Previous 52 weeks Max†, flag","Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis, Cum 2020†","Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis, Cum 2020†, flag","Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis, Cum 2019†","Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis, Cum 2019†, flag","Giardiasis, Current week","Giardiasis, Current week, flag","Giardiasis, Previous 52 weeks Max†","Giardiasis, Previous 52 weeks Max†, flag","Giardiasis, Cum 2020†","Giardiasis, Cum 2020†, flag","Giardiasis, Cum 2019†","Giardiasis, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
PENNSYLVANIA,2020,4,,-,0,,,-,,-,,-,4,,1,,,-,,-,22,,18,,36,,PENNSYLVANIA,,20200413,POINT (-77.838886 40.896694)
EAST NORTH CENTRAL,2020,4,,-,1,,,-,,-,,-,2,,,-,,-,9,,73,,72,,98,,,EAST NORTH CENTRAL,20200414,
ILLINOIS,2020,4,,-,1,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,ILLINOIS,,20200415,POINT (-89.148632 40.124144)
MICHIGAN,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,18,,,-,33,,MICHIGAN,,20200417,POINT (-85.730977 44.874798)
OHIO,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,5,,59,,58,,38,,OHIO,,20200418,POINT (-82.70936 40.415534)
WISCONSIN,2020,4,,-,0,,,-,,-,,-,2,,,-,,-,4,,39,,14,,27,,WISCONSIN,,20200419,POINT (-89.732969 44.639954)
WEST NORTH CENTRAL,2020,4,,-,3,,,-,,-,,-,5,,,-,,-,,-,30,,16,,54,,,WEST NORTH CENTRAL,20200420,
IOWA,2020,4,,-,0,,,-,,-,,-,1,,,-,,-,,-,14,,3,,19,,IOWA,,20200421,POINT (-93.500061 42.074659)
KANSAS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,,-,11,,KANSAS,,20200422,POINT (-98.38018 38.484729)
MINNESOTA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200423,POINT (-94.198308 46.349153)
MISSOURI,2020,4,,-,3,,,-,,-,,-,4,,,-,,-,,-,10,,8,,9,,MISSOURI,,20200424,POINT (-92.477244 38.3675)
NEBRASKA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,5,,2,,NEBRASKA,,20200425,POINT (-99.810595 41.527099)
NORTH DAKOTA,2020,4,,-,1,,,-,,-,,-,1,,,-,,-,,-,3,,,-,8,,NORTH DAKOTA,,20200426,POINT (-100.46931 47.446305)
SOUTH DAKOTA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,9,,,-,5,,SOUTH DAKOTA,,20200427,POINT (-100.230491 44.43614)
SOUTH ATLANTIC,2020,4,,-,1,,,-,,-,,-,2,,,-,,-,8,,51,,26,,94,,,SOUTH ATLANTIC,20200428,
DELAWARE,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,2,,1,,1,,DELAWARE,,20200429,POINT (-75.452394 38.994926)
DISTRICT OF COLUMBIA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,4,,,-,5,,DISTRICT OF COLUMBIA,,20200430,POINT (-77.016275 38.904785)
FLORIDA,2020,4,,-,1,,,-,,-,,-,1,,,-,,-,,-,39,,,-,65,,FLORIDA,,20200431,POINT (-82.420978 28.260731)
GEORGIA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GEORGIA,,20200432,POINT (-83.426574 32.638481)
MARYLAND,2020,4,,-,1,,,-,,-,,-,1,,,-,,-,3,,8,,8,,12,,MARYLAND,,20200433,POINT (-76.687282 38.946466)
NORTH CAROLINA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,NORTH CAROLINA,,20200434,POINT (-79.130883 35.52603)
SOUTH CAROLINA,2020,4,,-,0,,,-,,-,,-,2,,,-,,-,2,,9,,10,,6,,SOUTH CAROLINA,,20200435,POINT (-80.864614 33.878572)
VIRGINIA,2020,4,,-,1,,,-,,-,,-,1,,,-,,-,3,,16,,7,,2,,VIRGINIA,,20200436,POINT (-78.666382 37.510861)
WEST VIRGINIA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,5,,,-,3,,WEST VIRGINIA,,20200437,POINT (-80.613729 38.642579)
EAST SOUTH CENTRAL,2020,4,,-,1,,,-,,-,,-,2,,,-,,-,,-,8,,6,,11,,,EAST SOUTH CENTRAL,20200438,
ALABAMA,2020,4,,-,1,,,-,,-,,-,1,,,-,,-,,-,8,,6,,11,,ALABAMA,,20200439,POINT (-86.844516 32.756889)
KENTUCKY,2020,4,,-,1,,,-,,-,,-,1,,,-,,-,,N,,NC,,N,,N,KENTUCKY,,20200440,POINT (-85.290484 37.526683)
MISSISSIPPI,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,MISSISSIPPI,,20200441,POINT (-89.65344 32.713378)
TENNESSEE,2020,4,,-,1,,,-,,-,,-,1,,,-,,-,,N,,NC,,N,,N,TENNESSEE,,20200442,POINT (-86.343226 35.842998)
WEST SOUTH CENTRAL,2020,4,,-,2,,,-,,-,,-,1,,,-,,-,3,,17,,8,,13,,,WEST SOUTH CENTRAL,20200443,
ARKANSAS,2020,4,,-,2,,,-,,-,,-,1,,,-,,-,3,,9,,6,,3,,ARKANSAS,,20200444,POINT (-92.439162 34.899825)
LOUISIANA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,12,,2,,10,,LOUISIANA,,20200445,POINT (-91.840238 30.921314)
OKLAHOMA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,OKLAHOMA,,20200446,POINT (-97.508297 35.583449)
TEXAS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,TEXAS,,20200447,POINT (-99.317341 31.447238)
MOUNTAIN,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,15,,53,,62,,80,,,MOUNTAIN,20200448,
ARIZONA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,3,,6,,13,,9,,ARIZONA,,20200449,POINT (-111.664616 34.293239)
COLORADO,2020,4,,N,,NC,,N,,N,,N,,NC,,N,,N,9,,22,,32,,31,,COLORADO,,20200450,POINT (-105.547832 38.998552)
IDAHO,2020,4,,N,,NC,,N,,N,,N,,NC,,N,,N,1,,7,,8,,14,,IDAHO,,20200451,POINT (-114.659366 44.389073)
MONTANA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,11,,,-,1,,MONTANA,,20200452,POINT (-109.645127 47.033521)
NEVADA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,5,,,-,4,,NEVADA,,20200453,POINT (-114.916992 39.283294)
NEW MEXICO,2020,4,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,6,,,-,7,,NEW MEXICO,,20200454,POINT (-106.108388 34.421369)
UTAH,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,2,,9,,8,,14,,UTAH,,20200455,POINT (-111.678222 39.323779)
WYOMING,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,3,,1,,,-,WYOMING,,20200456,POINT (-107.55145 42.999627)
ALASKA,2020,4,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,8,,,-,6,,ALASKA,,20200458,POINT (-151.631889 63.631126)
CALIFORNIA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,11,,86,,83,,148,,CALIFORNIA,,20200459,POINT (-119.662127 37.211164)
HAWAII,2020,4,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,4,,2,,6,,HAWAII,,20200460,POINT (-157.854309 21.361013)
OREGON,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,1,,15,,10,,20,,OREGON,,20200461,POINT (-120.605279 43.940449)
WASHINGTON,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,11,,3,,30,,WASHINGTON,,20200462,POINT (-120.592492 47.411715)
WEST NORTH CENTRAL,2020,1,,-,3,,,-,,-,,-,5,,,-,,-,5,,30,,5,,14,,,WEST NORTH CENTRAL,20200120,
TOTAL,2020,1,,-,4,,,-,,-,,-,7,,,-,,-,94,,679,,94,,175,,,TOTAL,20200170,
OREGON,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,15,,,-,,-,OREGON,,20200161,POINT (-120.60527899999998 43.940449)
UTAH,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,2,,9,,2,,6,,UTAH,,20200155,POINT (-111.678222 39.323779)
MAINE,2020,1,,-,0,,,-,,-,,-,1,,,-,,-,1,,8,,1,,1,,MAINE,,20200104,POINT (-69.06137 45.117911)
NEW JERSEY,2020,1,,-,0,,,-,,-,,-,2,,,-,,-,1,,18,,1,,14,,NEW JERSEY,,20200110,POINT (-74.655514 40.110253)
US TERRITORIES,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,,US TERRITORIES,20200163,
RHODE ISLAND,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,7,,,-,1,,RHODE ISLAND,,20200107,POINT (-71.534637 41.572574)
US RESIDENTS,2020,1,,-,4,,,-,,-,,-,7,,,-,,-,94,,679,,94,,175,,,US RESIDENTS,20200101,
SOUTH ATLANTIC,2020,1,,-,1,,,-,,-,,-,2,,,-,,-,5,,70,,5,,9,,,SOUTH ATLANTIC,20200128,
AMERICAN SAMOA,2020,1,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,,AMERICAN SAMOA,20200164,
MASSACHUSETTS,2020,1,,-,0,,,-,,-,,-,1,,,-,,-,2,,22,,2,,4,,MASSACHUSETTS,,20200105,POINT (-71.481104 42.151077)
MARYLAND,2020,1,,-,1,,,-,,-,,-,1,,,-,,-,4,,8,,4,,,-,MARYLAND,,20200133,POINT (-76.68728200000001 38.946466)
VIRGINIA,2020,1,,-,1,,,-,,-,,-,1,,,-,,-,1,,34,,1,,,-,VIRGINIA,,20200136,POINT (-78.666382 37.510861)
NEBRASKA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,2,,6,,2,,,-,NEBRASKA,,20200125,POINT (-99.810595 41.527099)
NEW YORK CITY,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,14,,38,,14,,23,,,NEW YORK CITY,20200112,
PACIFIC,2020,1,,-,0,,,-,,-,,-,1,,,-,,-,2,,467,,2,,31,,,PACIFIC,20200157,
GUAM,2020,1,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,GUAM,,20200166,POINT (144.653198 13.353200000000001)
GEORGIA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,19,,,-,3,,GEORGIA,,20200132,POINT (-83.426574 32.638481)
WEST SOUTH CENTRAL,2020,1,,-,2,,,-,,-,,-,1,,,-,,-,,-,17,,,-,2,,,WEST SOUTH CENTRAL,20200143,
DELAWARE,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,DELAWARE,,20200129,POINT (-75.452394 38.994926)
MOUNTAIN,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,8,,53,,8,,25,,,MOUNTAIN,20200148,
IOWA,2020,1,,-,0,,,-,,-,,-,1,,,-,,-,1,,14,,1,,5,,IOWA,,20200121,POINT (-93.500061 42.074659)
MISSOURI,2020,1,,-,3,,,-,,-,,-,4,,,-,,-,2,,10,,2,,1,,MISSOURI,,20200124,POINT (-92.477244 38.3675)
HAWAII,2020,1,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,4,,,-,1,,HAWAII,,20200160,POINT (-157.854309 21.361013)
AMERICAN SAMOA,2020,4,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,,AMERICAN SAMOA,20200464,
NORTHERN MARIANA ISLANDS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200465,POINT (145.725693 15.1834)
PUERTO RICO,2020,4,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,1,,,-,,-,PUERTO RICO,,20200467,POINT (-66.414655 18.215692)
U.S. VIRGIN ISLANDS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200468,POINT (-64.840836 18.060868)
US RESIDENTS,2020,8,,-,4,,1,,,-,,-,8,,4,,4,,76,,391,,1123,,1733,,,US RESIDENTS,20200801,
PENNSYLVANIA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,4,,22,,4,,12,,PENNSYLVANIA,,20200113,POINT (-77.838886 40.896694)
ARIZONA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,4,,6,,4,,4,,ARIZONA,,20200149,POINT (-111.664616 34.293239)
NORTH CAROLINA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,NORTH CAROLINA,,20200134,POINT (-79.130883 35.52603)
NEVADA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,5,,,-,1,,NEVADA,,20200153,POINT (-114.916992 39.283294)
ILLINOIS,2020,1,,-,1,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,ILLINOIS,,20200115,POINT (-89.148632 40.124144)
TEXAS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,TEXAS,,20200147,POINT (-99.317341 31.447238)
CONNECTICUT,2020,1,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,9,,,-,7,,CONNECTICUT,,20200103,POINT (-72.738288 41.575155)
SOUTH DAKOTA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,9,,,-,,-,SOUTH DAKOTA,,20200127,POINT (-100.230491 44.43614)
WYOMING,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,3,,,-,,-,WYOMING,,20200156,POINT (-107.55145000000002 42.999627)
INDIANA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,INDIANA,,20200116,POINT (-86.2818 39.91999100000001)
TENNESSEE,2020,1,,-,1,,,-,,-,,-,1,,,-,,-,,N,,NC,,N,,N,TENNESSEE,,20200142,POINT (-86.343226 35.842998)
MICHIGAN,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,18,,,-,15,,MICHIGAN,,20200117,POINT (-85.730977 44.874798)
NEW YORK,2020,1,,-,0,,,-,,-,,-,4,,,-,,-,,-,42,,,-,,-,NEW YORK,,20200111,POINT (-75.59655 42.921241)
PUERTO RICO,2020,1,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,1,,,-,,-,PUERTO RICO,,20200167,POINT (-66.414655 18.215692)
VERMONT,2020,1,,-,0,,,-,,-,,-,1,,,-,,-,,N,,NC,,N,,N,VERMONT,,20200108,POINT (-72.662695 44.075252)
OHIO,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,49,,59,,49,,7,,OHIO,,20200118,POINT (-82.70936 40.41553400000001)
NEW MEXICO,2020,1,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,6,,,-,2,,NEW MEXICO,,20200154,POINT (-106.108388 34.421369)
ALABAMA,2020,1,,-,1,,,-,,-,,-,1,,,-,,-,,-,8,,,-,2,,ALABAMA,,20200139,POINT (-86.844516 32.756889)
MIDDLE ATLANTIC,2020,1,,-,0,,,-,,-,,-,5,,,-,,-,19,,93,,19,,49,,,MIDDLE ATLANTIC,20200109,
ALASKA,2020,1,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,8,,,-,3,,ALASKA,,20200158,POINT (-151.631889 63.631125999999995)
DISTRICT OF COLUMBIA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,4,,,-,,-,DISTRICT OF COLUMBIA,,20200130,POINT (-77.016275 38.904785)
OKLAHOMA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,OKLAHOMA,,20200146,POINT (-97.508297 35.583449)
MISSISSIPPI,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,MISSISSIPPI,,20200141,POINT (-89.65344 32.713378)
CALIFORNIA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,1,,85,,1,,21,,CALIFORNIA,,20200159,POINT (-119.662127 37.211164)
MINNESOTA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,4,,,-,,-,MINNESOTA,,20200123,POINT (-94.198308 46.349153)
WEST VIRGINIA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,5,,,-,,-,WEST VIRGINIA,,20200137,POINT (-80.613729 38.642579000000005)
U.S. VIRGIN ISLANDS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200168,POINT (-64.840836 18.060868)
NORTH DAKOTA,2020,1,,-,1,,,-,,-,,-,1,,,-,,-,,-,6,,,-,6,,NORTH DAKOTA,,20200126,POINT (-100.46931 47.446305)
COLORADO,2020,1,,N,,NC,,N,,N,,N,,NC,,N,,N,2,,22,,2,,9,,COLORADO,,20200150,POINT (-105.547832 38.998552)
EAST NORTH CENTRAL,2020,1,,-,1,,,-,,-,,-,2,,,-,,-,52,,73,,52,,29,,,EAST NORTH CENTRAL,20200114,
KANSAS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,,-,2,,KANSAS,,20200122,POINT (-98.38018 38.484729)
NEW HAMPSHIRE,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,,-,1,,NEW HAMPSHIRE,,20200106,POINT (-71.57139000000001 43.680429)
KENTUCKY,2020,1,,-,1,,,-,,-,,-,2,,,-,,-,,N,,NC,,N,,N,KENTUCKY,,20200140,POINT (-85.290484 37.526683)
NON-US RESIDENTS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,,NON-US RESIDENTS,20200169,
NORTHERN MARIANA ISLANDS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200165,POINT (145.725693 15.1834)
WISCONSIN,2020,1,,-,0,,,-,,-,,-,2,,,-,,-,3,,38,,3,,7,,WISCONSIN,,20200119,POINT (-89.732969 44.639954)
NEW ENGLAND,2020,1,,-,0,,,-,,-,,-,1,,,-,,-,3,,34,,3,,14,,,NEW ENGLAND,20200102,
EAST SOUTH CENTRAL,2020,1,,-,1,,,-,,-,,-,2,,,-,,-,,-,8,,,-,2,,,EAST SOUTH CENTRAL,20200138,
LOUISIANA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,12,,,-,2,,LOUISIANA,,20200145,POINT (-91.840238 30.921313999999995)
MONTANA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,11,,,-,,-,MONTANA,,20200152,POINT (-109.645127 47.033521)
WASHINGTON,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,1,,438,,1,,6,,WASHINGTON,,20200162,POINT (-120.592492 47.411715)
SOUTH CAROLINA,2020,1,,-,0,,,-,,-,,-,2,,,-,,-,,-,9,,,-,1,,SOUTH CAROLINA,,20200135,POINT (-80.864614 33.878572)
IDAHO,2020,1,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,7,,,-,3,,IDAHO,,20200151,POINT (-114.659366 44.389073)
FLORIDA,2020,1,,-,1,,,-,,-,,-,1,,,-,,-,,-,39,,,-,5,,FLORIDA,,20200131,POINT (-82.42097800000002 28.260731)
ARKANSAS,2020,1,,-,2,,,-,,-,,-,1,,,-,,-,,-,9,,,-,,-,ARKANSAS,,20200144,POINT (-92.439162 34.899825)
PACIFIC,2020,2,,-,0,,,-,,-,,-,1,,,-,,-,12,,100,,21,,85,,,PACIFIC,20200257,
PACIFIC,2020,14,,-,0,,,-,,-,,-,1,,,-,,-,1,,102,,481,,815,,,PACIFIC,20201457,
TOTAL,2020,5,,-,4,,,-,,-,,-,8,,1,,2,,94,,390,,637,,1087,,,TOTAL,20200570,
US RESIDENTS,2020,5,,-,4,,,-,,-,,-,8,,1,,2,,94,,390,,637,,1087,,,US RESIDENTS,20200501,
PACIFIC,2020,5,,-,0,,,-,,-,,-,1,,,-,,-,17,,101,,152,,274,,,PACIFIC,20200557,
US RESIDENTS,2020,2,,-,4,,,-,,-,,-,7,,,-,,-,67,,390,,175,,380,,,US RESIDENTS,20200201,
NEW ENGLAND,2020,2,,-,0,,,-,,-,,-,2,,,-,,-,14,,34,,18,,31,,,NEW ENGLAND,20200202,
CONNECTICUT,2020,2,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,9,,,-,11,,CONNECTICUT,,20200203,POINT (-72.738288 41.575155)
MAINE,2020,2,,-,0,,,-,,-,,-,1,,,-,,-,3,,8,,4,,3,,MAINE,,20200204,POINT (-69.06137 45.117911)
MASSACHUSETTS,2020,2,,-,0,,,-,,-,,-,1,,,-,,-,9,,22,,12,,10,,MASSACHUSETTS,,20200205,POINT (-71.481104 42.151077)
NEW HAMPSHIRE,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,,-,4,,NEW HAMPSHIRE,,20200206,POINT (-71.57139 43.680429)
RHODE ISLAND,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,2,,7,,2,,3,,RHODE ISLAND,,20200207,POINT (-71.534637 41.572574)
VERMONT,2020,2,,-,0,,,-,,-,,-,2,,,-,,-,,N,,NC,,N,,N,VERMONT,,20200208,POINT (-72.662695 44.075252)
MIDDLE ATLANTIC,2020,2,,-,1,,,-,,-,,-,5,,,-,,-,24,,93,,44,,89,,,MIDDLE ATLANTIC,20200209,
NEW JERSEY,2020,2,,-,1,,,-,,-,,-,2,,,-,,-,,-,18,,1,,21,,NEW JERSEY,,20200210,POINT (-74.655514 40.110253)
NEW YORK,2020,2,,-,0,,,-,,-,,-,4,,,-,,-,5,,43,,5,,11,,NEW YORK,,20200211,POINT (-75.59655 42.921241)
NEW YORK CITY,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,19,,38,,34,,37,,,NEW YORK CITY,20200212,
PENNSYLVANIA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,22,,4,,20,,PENNSYLVANIA,,20200213,POINT (-77.838886 40.896694)
EAST NORTH CENTRAL,2020,2,,-,1,,,-,,-,,-,2,,,-,,-,3,,73,,55,,54,,,EAST NORTH CENTRAL,20200214,
ILLINOIS,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,ILLINOIS,,20200215,POINT (-89.148632 40.124144)
INDIANA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20200216,POINT (-86.2818 39.919991)
MICHIGAN,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,18,,,-,18,,MICHIGAN,,20200217,POINT (-85.730977 44.874798)
