Customer,Address Line 1,Address Line 2,City,State,Zip,Date Enrolled,VAT202 Category,Status,Observation Date,Crash Notification,Conviction Notification,Suspension Notification,Point Insurance Reduction Course Completion Notification,Driver Status Change Notification,License Expiration Notification,Hazardous Material Endorsement Notification,CDL Medical Certification Status Change Notification,Ticket Notification,Drivers Monitored,Latest Driver Add Date,Latest Driver Drop Date,LENS Internet Interface Users
A J SOLUTIONS INC,3170 RT 26,,GLEN AUBREY,NY,13777,06/17/2014,PAYING,NOT ACTIVE,05/07/2020,N,N,N,N,N,N,N,N,N,0,,,0
A M BRONX BAKING INC,35 COLONIAL PLACE,,MOUNT VERNON,NY,10550,01/06/2012,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,N,N,0,,,1
A MONTANO CO INC,571 ROUTE 212,,SAUGERTIES,NY,12477,03/23/2012,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,20,02/28/2020,01/15/2020,1
A PLUS MOVING SERVICES INC,6422 BUFFALO AVE,,NIAGARA FALLS,NY,14304,08/05/2010,PAYING,NOT ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,10,10/27/2014,10/27/2014,0
A PLUS TOWELS & LINEN,151 VERDI ST,,FARMINGDALE,NY,11735,08/01/2019,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,N,N,Y,N,0,,,1
A POTTS CONSTRUCTION COMPANY LLC,1050 KINGS RD,,SCHENECTADY,NY,12303,03/06/2008,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,5,03/21/2016,11/08/2018,1
A REAL ADVANTAGE INC,178-16 ELEVETH ROAD,,JAMAICA,NY,11434,02/06/2020,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,2,03/10/2020,,1
A RIDE 4U AMBULETTE,3687 CARROLLTON AVENUE,,WANTAGH,NY,11793,01/11/2015,PAYING,NOT ACTIVE,05/07/2020,N,N,N,N,N,N,N,Y,N,0,03/02/2015,09/11/2015,0
A T REYNOLDS & SONS INC,4496 RT 42,P O BOX 168,KIAMESHA LAKE,NY,12751,12/02/2002,PAYING,NOT ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,N,N,15,08/13/2007,,0
A THORP ENTERPRISES LTD,123 MAPLECREST DR S,,RONKONKOMA,NY,11779,12/20/2019,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,1,01/03/2020,,1
"A TO Z KOSHER MEAT PRODUCTS CO., INC",123 GRAND ST,,BROOKLYN,NY,11211,03/10/2008,PAYING,NOT ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,Y,N,2,05/28/2009,01/29/2014,0
A TO Z PLUMBING AND HEATING INC.,311 MONTAUK HWY,PO BOX 317,SPEONK,NY,11972,12/26/2019,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,0,,,1
"A U.P.I.B. OF N.Y., INC.",1682 86TH STREET,2ND FLOOR,BROOKLYN,NY,11214,05/20/2014,PAYING,NOT ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,0,,,0
A V M COMPANY INC,62 MARWAY CIRCLE,,ROCHESTER,NY,14624,02/09/2012,PAYING,NOT ACTIVE,05/07/2020,N,Y,Y,Y,Y,Y,N,N,N,11,04/17/2015,04/17/2015,0
A VERY SPECIAL PLACE INC,49 CEDAR GROVE AVE,,STATEN ISLAND,NY,10306,04/05/2012,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,N,N,85,02/18/2020,04/28/2020,1
A W GRIFFITH TRANSPORTATION CONSULTING,24 LYNN DR,,SWAN LAKE,NY,12783,09/29/2017,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,8,02/04/2020,,1
A YANKEE LINE INC,370 W FIRST ST,,SOUTH BOSTON,MA,02127,02/24/2017,PAYING,ACTIVE,05/07/2020,N,N,N,N,N,N,N,Y,N,0,,,1
"A 2 Z RENTALS, INC.",2300 LOCKPORT ROAD,,SANBORN,NY,14132,07/20/2009,PAYING,ACTIVE,05/07/2020,Y,N,Y,Y,Y,Y,N,N,N,1,10/26/2009,,1
"A 24 HOUR DOOR NATIONAL, INC.",344 SYCAMORE STREET,,BUFFALO,NY,14204,09/13/2019,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,2,11/06/2019,,1
"A. AUTOMATIC SPRINKLER INSTALLATIONS, INC.",1358 UTICA AVENUE,,BROOKLYN,NY,11203,02/20/2018,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,N,N,4,12/19/2019,02/06/2020,1
A. DILEMME CONTRACTING INC,46 SATTERIE AVENUE,,VALLEY STREAM,NY,11580,11/13/2018,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,Y,N,0,,,1
A. DUIE PYLE INC,650 WESTTOWN RD,,WEST CHESTER,PA,19381,03/09/2017,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,315,05/05/2020,04/10/2020,1
"A. L. SMITH TRUCKING, INC",8984 MURPHY ROAD,,VERSAILLES,OH,45380,02/26/2019,PAYING,ACTIVE,05/07/2020,N,N,Y,N,N,Y,N,Y,N,0,,,1
A.A. PASTOSA LLC,7425 NEW UTRECHT AVE.,,BROOKLYN,NY,11204,03/24/2018,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,4,04/18/2018,,1
A.CHILELLI LANDSCAPING & DESIGN INC,177 EVANS AVENUE,,ELMONT,NY,11003,10/12/2016,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,0,,,1
A.COLARUSSO & SON INC.,91 NEWMAN RD.,PO BOX 302,HUDSON,NY,12534,07/19/2007,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,133,04/22/2020,04/22/2020,2
"A.D. CALL & SONS EXCAVATING & TRUCKING, INC",6400 MAIN ROAD,PO BOX 60,STAFFORD,NY,14143,01/03/2009,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,23,08/22/2019,01/06/2020,1
A.D. WINSTON CORP,43-15 36TH STREET,,LONG ISLAND CITY,NY,11101,09/01/2017,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,N,Y,N,N,N,17,01/08/2020,11/25/2019,1
"A.D.BOWMAN & SON LUMBER CO., INC.",1690 US HWY 11,,CASTLE CREEK,NY,13744,07/24/2014,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,Y,N,7,08/06/2019,07/23/2019,1
A.ESPOSITO INC,1001 SOUTH 9TH STREET,,PHILADELPHIA,PA,19147,07/07/2017,PAYING,NOT ACTIVE,05/07/2020,Y,Y,Y,N,N,N,N,Y,N,0,,,0
"A.H. INDUSTRIES,INC.",PO BOX 2533,,BLASDELL,NY,14219,07/24/2009,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,3,08/18/2012,08/14/2014,1
A.M.A. SIGN & ELECTRIC COMPANY,30 WARREN PLACE,,MOUNT VERNON,NY,10550,07/31/2015,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,11,08/22/2018,02/26/2019,1
"A.N. MARTIN SYSTEMS, LLC",1110 CLYDE MARENGO RD.,,CLYDE,NY,14433,03/11/2015,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,34,04/16/2020,06/03/2019,2
A.R. FUELS,500 BI-COUNTY RD  SUITE 209,,FARMINGDALE,NY,11735,08/23/2001,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,5,01/25/2019,12/17/2014,1
A.R.J.R. TRUCKING CORP,225 RAILROAD AVE,,BEDFORD HILLS,NY,10507,10/23/2008,PAYING,NOT ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,8,02/15/2014,06/28/2013,1
"A.V., INC.",1750 MANHATTAN RD,,JOLIET,IL,60433,09/09/2015,PAYING,ACTIVE,05/07/2020,N,N,N,N,Y,N,N,Y,N,0,09/23/2015,02/08/2017,1
A+ PERSISTENT CAR SERVICE CORP.,38 N WHITE,,POUGHKEEPSIE,NY,12601,03/02/2019,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,0,,,1
"A+ TECHNOLOGY & SECURITY SOLUTIONS, INC.",1490 NORTH CLINTON AVENUE,,BAY SHORE,NY,11706,01/12/2015,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,Y,N,0,,,1
A&A BEAUTY SUPPLY INC.,5589 DAVISON ROAD,,LOCKPORT,NY,14094,06/27/2018,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,Y,N,N,20,09/06/2019,12/27/2019,1
"A&C HEATING SERVICES, INC",111 CLAY STREET,,BROOKLYN,NY,11222,05/21/2019,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,N,N,10,09/10/2019,09/10/2019,1
"A&D EXPRESS, INC.",145-17 155TH STREET,,JAMAICA,NY,11434,04/10/2017,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,0,09/14/2018,07/16/2019,1
A&D TRANSPORT SERVICES,83 LOWER RIVER ST,,ONEONTA,NY,13820,08/31/2016,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,Y,N,175,04/09/2020,04/27/2020,1
A&G XPRESS CORP,248 GRANTA AVE STE 1,,POMPTON LAKES,NJ,07442,11/13/2019,PAYING,ACTIVE,05/07/2020,N,Y,Y,N,Y,Y,N,N,N,0,,,1
A&H NYC LIMO CORP,301 NJ-17 STE 800,,RUTHERFORD,NJ,07070,02/17/2017,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,Y,Y,N,14,03/14/2020,03/14/2020,2
A&M TOWING & RECOVERY LLC,133 SUNNYSIDE RD,,SCHOHARIE,NY,12157,04/12/2017,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,0,,,1
A&M WARSHAW PLUMBING AND HEATING INC.,1983 MARCUS AVE C108,,NEW HYDE PARK,NY,11042,09/20/2016,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,0,,,1
A&R TRANSPORTATION,168 HIGHLAND AVE,,NEWARK,NY,14513,11/11/2019,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,17,04/10/2020,,1
"A-FAB INITIATIVES, INCORPORATED",99 BUD MIL DRIVE,,BUFFALO,NY,14206,01/29/2016,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,0,,,1
"A-KLEEN WINDOWS, INC",PO BOX 238,,GRAND ISLAND,NY,14072,02/15/2018,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,N,N,22,06/22/2019,04/24/2020,1
A-LIST SERVICES LLC,29 WEST 36TH STREET-7TH FLOOR,,NEW YORK,NY,10018,08/05/2013,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,19,11/12/2013,,2
"A-PORCEL TRADING CO., INC.",885 E. 138TH STREET,,BRONX,NY,10454,04/11/2016,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,7,03/11/2020,01/09/2020,1
A-VERDI COS LLC,14150 ROUTE 31,,SAVANNAH,NY,13146,03/09/2016,PAYING,ACTIVE,05/07/2020,N,Y,Y,N,Y,N,N,Y,N,55,04/20/2020,04/20/2020,1
A-1 FIRST CLASS MOVING AND STORAGE,156 HINSDALE STREET,,BROOKLYN,NY,11207,12/22/2015,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,N,N,Y,N,0,,,1
A-1 LIMOUSINE INC,2 EMMONS DRIVE,,PRINCETON,NJ,08540,09/08/2014,PAYING,ACTIVE,05/07/2020,N,N,N,N,N,N,N,N,N,0,,,0
A-1 ROOFING & SIDING OF LI CORP.,51 NESCONSET HIGHWAY,,PT JEFFERSN STA,NY,11776,06/07/2016,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,22,04/03/2020,03/11/2020,2
A-1 WATER WAGON,P O BOX 295,,CENTRAL BRIDGE,NY,12035,03/11/2005,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,10,11/28/2012,03/25/2020,1
AA FUEL OIL LLC DBA WISE CHOICE FUEL,2148 ROUTE 112,,MEDFORD,NY,11763,08/31/2016,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,Y,Y,N,14,01/24/2020,02/29/2020,1
AA GETAWAY COACHES MORE,39 ESSEX DRIVE,,STATEN ISLAND,NY,10314,07/16/2015,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,N,Y,Y,Y,N,6,06/26/2018,11/25/2019,2
AA JEDSON COMPANY LLC,7 RYE RIDGE PLAZA,,RYE BROOK,NY,10573,09/14/2019,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,0,,,1
AA MAINTENANCE INC,965 MIDLAND AVE 3RD FLOOR,,YONKERS,NY,10704,02/02/2012,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,40,03/06/2020,06/25/2019,2
AAA,1415 KELLUM PLACE,,GARDEN CITY,NY,11530,08/05/2002,PAYING,NOT ACTIVE,05/07/2020,N,N,Y,N,Y,N,N,N,N,0,,,0
AAA AMBULETTE SERVICE INC.,122 VERDI STREET,,FARMINGDALE,NY,11735,09/09/2014,PAYING,ACTIVE,05/07/2020,N,N,N,N,N,N,N,N,N,0,,,1
AAA CARTING AND RUBBISH REMOVAL INC,480 FURNACE DOCK ROAD,,CORTLANDT MANOR,NY,10567,11/05/2010,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,Y,N,40,05/06/2020,05/06/2020,1
AAA CESSPOOL & ROOTER SRV INC,225 LARCH LANE,,SMITHTOWN,NY,11787,12/21/2005,PAYING,ACTIVE,05/07/2020,Y,N,Y,N,Y,Y,N,Y,N,4,09/30/2016,10/25/2018,1
AAA DENNIS TREES,145 KINSEY AVE,,KENMORE,NY,14217,09/26/2016,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,1,10/14/2019,10/12/2019,1
AAA EMERGENCY SUPPLY CO INC,635 NORTH BROADWAY,,WHITE PLAINS,NY,10603,01/12/2012,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,13,06/07/2012,01/13/2015,1
AAA HUDSON VALLEY,618 DELAWARE AVE,,ALBANY,NY,12209,03/12/2003,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,25,03/09/2020,03/31/2020,2
AAA LOGISTICS,40 EDWARDS DEMING DR,,ROCHESTER,NY,14606,03/07/2017,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,0,,,1
AAA NORTHEAST,110 ROYAL LITTLE DRIVE,,PROVIDENCE,RI,02904,06/29/2009,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,Y,N,91,03/18/2019,09/11/2019,2
AAA NORTHWAY INC,"433 STATE STREET, SUITE 300",,SCHENECTADY,NY,12305,08/20/2007,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,39,03/17/2020,03/17/2020,1
AAA TAXI TOUR & LIMOUSINE INC,6988 MOURNING DOVE LANE,,NIAGARA FALLS,NY,14304,09/10/2018,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,9,02/25/2020,06/28/2019,1
AAA WESTERN & CENTRAL NEW YORK,100 INTERNATIONAL DRIVE,,BUFFALO,NY,14221,03/27/2009,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,602,04/08/2020,04/08/2020,1
AAA WESTERN AND CENTRAL NY-FLEET HUMAN RES,100 INTERNATIONAL DR,,WILLIAMSVILLE,NY,14221,01/26/2006,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,132,03/09/2020,02/12/2020,6
AAAA1 AUTOBODY & TOWING,112 DUFFY AVE,,HICKSVILLE,NY,11801,04/11/2019,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,4,07/08/2019,,1
AABCO SHEET METAL CO. INC.,47-40 METROPOLITAN AVENUE,,MASPETH,NY,11385,03/08/2010,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,10,09/21/2010,,1
AABR INC,1508 COLLEGE POINT BOULEVARD,,COLLEGE POINT,NY,11356,03/15/2017,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,4,06/28/2018,03/27/2018,1
AAMPRO TRADING INC,PO BOX 892,,BRONX,NY,10459,06/12/2001,PAYING,NOT ACTIVE,05/07/2020,Y,N,N,N,N,N,N,N,N,0,,,0
AARCO ENVIRONMENTAL SERVICES CORP,50 GEAR AVE,,LINDENHURST,NY,11757,12/21/2011,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,45,03/12/2020,02/07/2020,3
AARON APPEL,4 FRANKFURT RD. UNIT 101,,MONROE,NY,10950,05/18/2015,PAYING,ACTIVE,05/07/2020,N,N,Y,N,Y,N,N,Y,N,126,03/26/2020,11/20/2019,1
AARP 55 ALIVE/MATURE DRIVING,601 E ST NW,,WASHINGTON,DC,20049,10/02/2002,PAYING,ACTIVE,05/07/2020,N,N,Y,N,Y,Y,N,N,N,409,02/13/2020,02/27/2020,1
AASSETS ENTERPRISES LLC,9728 3RD AVE SUITE 258,,BROOKLYN,NY,11209,01/12/2011,PAYING,ACTIVE,05/07/2020,Y,N,Y,N,Y,N,N,N,N,0,,,1
"AB CONSTRUCTION AND ROOFING, INC",2586 MAIN ST,,WHITNEY POINT,NY,13862,01/27/2015,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,Y,N,13,03/30/2020,12/02/2019,1
AB OIL SERVICE LTD,1599 OCEAN AVENUE,,BOHEMIA,NY,11716,06/27/2013,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,Y,Y,N,29,05/06/2020,05/06/2020,1
ABBEY LOCKSMITH INC.,1558 SECOND AVE,,NEW YORK,NY,10028,09/14/2017,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,N,N,27,02/26/2020,10/29/2019,1
ABBOTT & MILLS INC,238 GARDNERTOWN ROAD,,NEWBURGH,NY,12550,06/13/2006,PAYING,NOT ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,0,12/07/2011,03/08/2012,0
ABBOTT HOUSE,100 NORTH BROADWAY,,IRVINGTON,NY,10533,02/02/2011,PAYING,ACTIVE,05/07/2020,N,Y,Y,N,Y,Y,N,N,N,609,04/30/2020,04/27/2020,4
ABC CONSTRUCTION CONTRACTING,36-16 19TH AVENUE,,ASTORIA,NY,11105,12/07/2016,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,Y,N,17,08/07/2018,08/07/2018,1
ABC ELECTRIC CORPORATION,24-25 46TH STREET,,LIC,NY,11103,12/11/2012,PAYING,NOT ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,9,08/20/2018,10/24/2018,0
ABC PARTS INTERNATIONAL INC,135 ROOSEVELT AVE,,MINEOLA,NY,11501,09/12/2012,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,N,N,37,04/24/2020,03/19/2020,2
ABC REFRIGERATION & A/C INC,6619 JOY RD,,EAST SYRACUSE,NY,13057,06/06/2003,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,Y,N,146,02/12/2020,02/12/2020,1
ABC WORLDWIDE STONE,234 BANKER STREET,,BROOKLYN,NY,11222,04/25/2011,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,N,Y,Y,N,N,5,04/24/2018,04/27/2020,1
ABCO MAINTENANCE INC,834 MORROW STREET,,STATEN ISLAND,NY,10303,12/11/2001,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,Y,N,30,02/06/2020,03/05/2020,2
ABCO PEERLESS SPRINKLER CORP.,50 MIDLAND AVENUE,,HICKSVILLE,NY,11801,05/08/2015,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,Y,N,49,03/25/2020,02/25/2020,1
ABEL AMBULETTE & MEDICAL TRANSPORT SVC,P O BOX 222035,,GREAT NECK,NY,11022,01/21/2003,PAYING,NOT ACTIVE,05/07/2020,Y,Y,Y,Y,N,Y,Y,N,N,7,09/10/2008,,0
"ABELE TRACTOR & EQUIPMENT CO., INC.",72 EVERETT ROAD,,ALBANY,NY,12205,04/05/2016,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,21,03/11/2020,03/11/2020,1
ABIGAIL KIRSCH,81 HIGHLAND AVE,,TARRYTOWN,NY,10591,04/08/2009,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,0,,,1
ABIGAL PRESS INC,9735 133RD AVENUE,,OZONE PARK,NY,11417,04/17/2012,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,17,11/29/2017,11/29/2017,1
"ABILENE, INC",2402 NEPTUNE AVENUE,,BROOKLYN,NY,11224,07/07/2016,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,0,,,1
ABILITIES FIRST NY,167 MYERS CORNERS ROAD,,WAPPINGERS FLLS,NY,12590,12/05/2007,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,527,05/06/2020,03/30/2020,1
"ABILITIES, INC.",201 I.U. WILLETS ROAD,,ALBERTSON,NY,11507,01/11/2019,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,8,01/07/2020,12/20/2019,2
ABILITY BEYOND DISABILITY,4 BERKSHIRE BLVD,,BETHEL,CT,06801,11/10/2004,PAYING,ACTIVE,05/07/2020,N,Y,Y,N,Y,Y,N,N,N,214,05/01/2020,05/01/2020,2
ABLE EQUIPMENT RENTAL INC.,1050 GRAND BLVD,,DEER PARK,NY,11729,01/23/2017,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,108,04/23/2020,03/09/2020,1
ABLE FIRE PREVENTION CORP.,241 W 26TH ST,,NEW YORK,NY,10001,02/04/2019,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,N,Y,N,N,N,0,,,1
ABLE HEALTH CARE,1240 BROADCAST PLAZA,,MERRICK,NY,11566,06/04/2015,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,Y,N,N,0,,,1
ABLE MEDICAL TRANSPORTATION INC.,1543 S.SALINA STREET,,SYRACUSE,NY,13205,02/23/2015,PAYING,NOT ACTIVE,05/07/2020,N,N,N,N,N,N,N,Y,N,0,11/27/2018,01/18/2019,0
ABLE TRASPORTATION EQUIPENT INC.,410 PURDY AVENUE,,STATEN ISLAND,NY,10314,09/20/2017,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,Y,N,16,05/01/2019,12/18/2018,2
ABLE2 ENHANCING POTENTIAL INC,1118 CHARLES ST,PO BOX 1554,ELMIRA,NY,14902,04/10/2008,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,187,05/04/2020,05/04/2020,2
"ABM AIR CONDITIONING & HEATING, INC.",11 WEST CROSS ST,PO BOX 204,HAWTHORNE,NY,10532,06/17/2016,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,16,03/19/2020,03/18/2020,1
ABOFF'S INC.,33 GERARD ST. SUITE 204,SUITE 204,HUNTINGTON,NY,11743,11/08/2018,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,30,03/06/2020,01/27/2020,1
ABOVE ALL STORE FRONTS INC.,50 GILPIN AVENUE,,HAUPPAUGE,NY,11788,03/22/2019,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,N,N,0,,,1
"ABR PLUMBING & HEATING CONTRACTORS, INC",186 24TH ST,,BROOKLYN,NY,11232,12/10/2008,PAYING,ACTIVE,05/07/2020,N,Y,Y,N,Y,N,N,N,N,42,02/24/2020,02/24/2020,2
ABR WHOLESALERS INC,510 NORTH GOODMAN ST,,ROCHESTER,NY,14609,03/14/2016,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,N,N,0,,,1
