Data as of,Start week,End Week,Group,State,Indicator,COVID Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID Deaths,Influenza Deaths,"Pneumonia, Influenza, and COVID Deaths",Footnote
05/07/2020,03/14/2020,03/14/2020,By week,Colorado,Week-ending,,811,1.01,37,0,10,49,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/21/2020,03/21/2020,By week,Colorado,Week-ending,16,885,1.1,70,,11,88,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/28/2020,03/28/2020,By week,Colorado,Week-ending,45,846,1.11,86,27,,111,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/04/2020,04/04/2020,By week,Colorado,Week-ending,121,938,1.22,148,78,,196,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/11/2020,04/11/2020,By week,Colorado,Week-ending,190,1063,1.35,178,112,,258,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/18/2020,04/18/2020,By week,Colorado,Week-ending,173,1033,1.34,149,101,0,221,
05/07/2020,04/25/2020,04/25/2020,By week,Colorado,Week-ending,137,866,1.17,106,67,,176,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,05/02/2020,05/02/2020,By week,Colorado,Week-ending,18,362,0.43,24,,0,35,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/01/2020,02/01/2020,By week,Connecticut,Week-ending,0,608,0.92,37,0,11,48,
05/07/2020,02/08/2020,02/08/2020,By week,Connecticut,Week-ending,0,250,0.36,21,0,,23,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/15/2020,02/15/2020,By week,Connecticut,Week-ending,0,248,0.38,17,0,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/22/2020,02/22/2020,By week,Connecticut,Week-ending,0,229,0.35,13,0,,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/29/2020,02/29/2020,By week,Connecticut,Week-ending,0,220,0.35,22,0,,26,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/07/2020,03/07/2020,By week,Connecticut,Week-ending,0,,0,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/14/2020,03/14/2020,By week,Connecticut,Week-ending,0,0,0,0,0,0,0,
05/07/2020,03/21/2020,03/21/2020,By week,Connecticut,Week-ending,,,0.01,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/28/2020,03/28/2020,By week,Connecticut,Week-ending,39,44,0.07,13,13,0,39,
05/07/2020,04/04/2020,04/04/2020,By week,Connecticut,Week-ending,104,115,0.18,24,21,0,107,
05/07/2020,04/11/2020,04/11/2020,By week,Connecticut,Week-ending,114,128,0.2,39,32,,121,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/18/2020,04/18/2020,By week,Connecticut,Week-ending,21,24,0.04,,,0,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/25/2020,04/25/2020,By week,Connecticut,Week-ending,0,0,0,0,0,0,0,
05/07/2020,05/02/2020,05/02/2020,By week,Connecticut,Week-ending,0,0,0,0,0,0,0,
05/07/2020,02/01/2020,02/01/2020,By week,Delaware,Week-ending,0,178,0.97,14,0,0,14,
05/07/2020,02/08/2020,02/08/2020,By week,Delaware,Week-ending,0,185,0.99,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/15/2020,02/15/2020,By week,Delaware,Week-ending,0,199,1.01,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/22/2020,02/22/2020,By week,Delaware,Week-ending,0,186,0.96,13,0,,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/29/2020,02/29/2020,By week,Delaware,Week-ending,0,160,0.88,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/07/2020,03/07/2020,By week,Delaware,Week-ending,0,190,1.02,12,0,,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/14/2020,03/14/2020,By week,Delaware,Week-ending,0,180,0.97,,0,,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/21/2020,03/21/2020,By week,Delaware,Week-ending,0,209,1.03,16,0,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/28/2020,03/28/2020,By week,Delaware,Week-ending,,166,0.72,11,,,16,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/04/2020,04/04/2020,By week,Delaware,Week-ending,,169,0.94,14,,0,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/11/2020,04/11/2020,By week,Delaware,Week-ending,20,152,0.83,13,,0,25,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/18/2020,04/18/2020,By week,Delaware,Week-ending,25,142,0.64,15,10,0,30,
05/07/2020,04/25/2020,04/25/2020,By week,Delaware,Week-ending,24,131,0.35,13,,0,28,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,05/02/2020,05/02/2020,By week,Delaware,Week-ending,,19,0.03,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/01/2020,02/01/2020,By week,District of Columbia,Week-ending,0,142,1.09,11,0,0,11,
05/07/2020,02/08/2020,02/08/2020,By week,District of Columbia,Week-ending,0,130,1.01,10,0,0,10,
05/07/2020,02/15/2020,02/15/2020,By week,District of Columbia,Week-ending,0,121,0.93,12,0,,13,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/22/2020,02/22/2020,By week,District of Columbia,Week-ending,0,102,0.92,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/29/2020,02/29/2020,By week,District of Columbia,Week-ending,0,132,1.08,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/07/2020,03/07/2020,By week,District of Columbia,Week-ending,0,116,0.94,13,0,,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/14/2020,03/14/2020,By week,District of Columbia,Week-ending,0,108,0.92,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/21/2020,03/21/2020,By week,District of Columbia,Week-ending,,120,1.02,,,,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/28/2020,03/28/2020,By week,District of Columbia,Week-ending,,119,0.98,18,,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/04/2020,04/04/2020,By week,District of Columbia,Week-ending,19,137,1.17,30,19,0,30,
05/07/2020,04/11/2020,04/11/2020,By week,District of Columbia,Week-ending,24,149,1.31,34,24,0,34,
05/07/2020,04/18/2020,04/18/2020,By week,District of Columbia,Week-ending,33,138,1.16,41,33,0,41,
05/07/2020,04/25/2020,04/25/2020,By week,District of Columbia,Week-ending,13,96,0.75,17,13,0,17,
05/07/2020,05/02/2020,05/02/2020,By week,District of Columbia,Week-ending,,25,0.21,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/01/2020,02/01/2020,By week,Florida,Week-ending,0,4419,0.99,244,0,35,279,
05/07/2020,02/08/2020,02/08/2020,By week,Florida,Week-ending,0,4383,1,286,0,33,319,
05/07/2020,02/15/2020,02/15/2020,By week,Florida,Week-ending,0,4358,1,273,0,26,299,
05/07/2020,02/22/2020,02/22/2020,By week,Florida,Week-ending,0,4414,1.04,272,0,33,305,
05/07/2020,02/29/2020,02/29/2020,By week,Florida,Week-ending,0,4394,1.04,266,0,33,299,
05/07/2020,03/07/2020,03/07/2020,By week,Florida,Week-ending,,4520,1.07,262,,29,292,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/14/2020,03/14/2020,By week,Florida,Week-ending,,4433,1.06,305,,24,330,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/21/2020,03/21/2020,By week,Florida,Week-ending,17,4357,1.03,357,,22,387,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/28/2020,03/28/2020,By week,Florida,Week-ending,92,4445,1.06,360,45,19,425,
05/07/2020,04/04/2020,04/04/2020,By week,Florida,Week-ending,215,4469,1.07,472,139,16,562,
05/07/2020,04/11/2020,04/11/2020,By week,Florida,Week-ending,293,4474,1.08,414,154,10,563,
05/07/2020,04/18/2020,04/18/2020,By week,Florida,Week-ending,256,4217,1.05,395,127,,528,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/25/2020,04/25/2020,By week,Florida,Week-ending,169,3711,0.93,295,92,,376,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,05/02/2020,05/02/2020,By week,Florida,Week-ending,18,1885,0.41,102,10,,111,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/01/2020,02/01/2020,By week,Georgia,Week-ending,0,1763,0.99,87,0,,94,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/08/2020,02/08/2020,By week,Georgia,Week-ending,0,1723,0.98,93,0,10,103,
05/07/2020,02/15/2020,02/15/2020,By week,Georgia,Week-ending,0,1707,1,87,0,15,102,
05/07/2020,02/22/2020,02/22/2020,By week,Georgia,Week-ending,0,1677,1.03,79,0,21,100,
05/07/2020,02/29/2020,02/29/2020,By week,Georgia,Week-ending,,1782,1.09,86,,,95,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/07/2020,03/07/2020,By week,Georgia,Week-ending,,1681,1,81,,,90,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/14/2020,03/14/2020,By week,Georgia,Week-ending,,1680,0.99,93,,,98,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/21/2020,03/21/2020,By week,Georgia,Week-ending,28,1645,0.98,123,14,,144,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/28/2020,03/28/2020,By week,Georgia,Week-ending,76,1686,0.99,138,33,,186,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/04/2020,04/04/2020,By week,Georgia,Week-ending,165,1748,1.08,199,83,,285,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/11/2020,04/11/2020,By week,Georgia,Week-ending,150,1636,1.01,183,66,,270,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/18/2020,04/18/2020,By week,Georgia,Week-ending,129,1425,0.87,133,51,,214,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/25/2020,04/25/2020,By week,Georgia,Week-ending,74,1050,0.63,87,32,0,129,
05/07/2020,05/02/2020,05/02/2020,By week,Georgia,Week-ending,,341,0.19,17,,0,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/01/2020,02/01/2020,By week,Hawaii,Week-ending,0,242,1.03,19,0,0,19,
05/07/2020,02/08/2020,02/08/2020,By week,Hawaii,Week-ending,0,233,1.09,19,0,0,19,
05/07/2020,02/15/2020,02/15/2020,By week,Hawaii,Week-ending,0,277,1.15,22,0,,25,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/22/2020,02/22/2020,By week,Hawaii,Week-ending,0,244,1.05,17,0,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/29/2020,02/29/2020,By week,Hawaii,Week-ending,0,237,1.03,14,0,,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/07/2020,03/07/2020,By week,Hawaii,Week-ending,0,236,0.93,19,0,,23,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/14/2020,03/14/2020,By week,Hawaii,Week-ending,0,241,0.97,17,0,,19,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/21/2020,03/21/2020,By week,Hawaii,Week-ending,0,209,0.94,16,0,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/28/2020,03/28/2020,By week,Hawaii,Week-ending,0,230,0.95,14,0,,16,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/04/2020,04/04/2020,By week,Hawaii,Week-ending,,231,0.99,14,,,19,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/11/2020,04/11/2020,By week,Hawaii,Week-ending,,203,0.91,13,,,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/18/2020,04/18/2020,By week,Hawaii,Week-ending,,189,0.91,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/25/2020,04/25/2020,By week,Hawaii,Week-ending,,178,0.82,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
