EXPENDITUREOTHER_ID,PERIOD_START,PERIOD_END,PURPOSE,RECIPIENT_FIRST_NAME,RECIPIENT_LAST_NAME,RECIPIENT_TITLE,AMOUNT,DEPARTMENT,LOBBYIST_ID,LOBBYIST_FIRSTNAME,LOBBYIST_MIDDLE_INITIAL,LOBBYIST_LASTNAME,CLIENT_ID,CLIENT_NAME,CREATED_DATE
3768367777,01/01/2019,03/31/2019,REASONABLE HOSTING PUSH BREAKFAST,MICHELLE,HARRIS,WARD ALDERMAN,150.00,CITY COUNCIL / ALDERMEN,14663,MELISSA,,WASHINGTON,2796573750,COMED,04/16/2019
2774422770,01/01/2019,03/31/2019,FOOD/BEVERAGE & TICKET PROVIDED AT REASONABLE HOSTING EVENT,MICHAEL,"SCOTT, JR.",ALDERMAN,70.00,CITY COUNCIL / ALDERMEN,17901,MATTHEW,,SUMMY,3847397064,"COMCAST CABLE COMMUNICATIONS MANAGEMENT, LLC",04/18/2019
4269989378,04/01/2017,06/30/2017,FOOD/BEVERAGE PROVIDED AT REASONABLE HOSTING EVENT,CHRISTIAN,FICARO,POLICY ADVISOR,6.13,CITY COUNCIL / ALDERMEN,17901,MATTHEW,,SUMMY,516739561,COMCAST,07/17/2017
2105390164,01/01/2018,03/31/2018,FOOD AND BEVERAGE,DEB,MELL,ALDERMAN,24.00,CITY COUNCIL / ALDERMEN,8081,OLGA,,GUTIERREZ,4200670289,APPLE INC.,05/15/2018
1242476792,07/01/2018,09/30/2018,FOOD AND BEVERAGE,EVELYN,BENITEZ,YOUTH SERVICES COORDINATOR,12.71,FAMILY AND SUPPORT SERVICES,8081,OLGA,,GUTIERREZ,4200670289,APPLE INC.,10/18/2018
551344875,01/01/2018,03/31/2018,FOOD/BEVERAGE PROVIDED AT REASONABLE HOSTING EVENT,KARLA,GRIFFITH,"STAFF, MAYOR'S OFFICE",11.70,MAYORS OFFICE,17901,MATTHEW,,SUMMY,3847397064,"COMCAST CABLE COMMUNICATIONS MANAGEMENT, LLC",04/20/2018
2580071461,04/01/2019,06/30/2019,GOOD WILL,BRIAN,HOPKINS,ALDERMAN,15.00,CITY COUNCIL / ALDERMEN,4319,LAWRENCE,J,SUFFREDIN,1410129919,AMAZON,07/05/2019
849690572,07/01/2019,09/30/2019,FOOD AND BEVERAGE,HAMEED,AHSAN,DIRECTOR OF INFORMATION SERVICES,10.82,FAMILY AND SUPPORT SERVICES,23923,STEVE,,JOHNSON,4200670289,APPLE INC.,10/16/2019
3916235777,07/01/2018,09/30/2018,LUNCH,JOE,MOORE,ALDERMAN,17.50,CITY COUNCIL / ALDERMEN,20524,BILL,,ELLER,2288888166,HOMESERVE USA CORP.,10/03/2018
2889843472,04/01/2017,06/30/2017,FOOD/BEVERAGE PROVIDED AT REASONABLE HOSTING EVENT,GREG,MITHCELL,ALDERMAN,6.13,CITY COUNCIL / ALDERMEN,17901,MATTHEW,,SUMMY,516739561,COMCAST,07/17/2017
3727958641,04/01/2018,06/30/2018,CONDUENT BRANDED PEN,LARRY,MCPHLLIPS,DEPUTY COMMISSIONER,10.00,TRANSPORTATION,12901,HOLLY,,COOPER,413645007,CONDUENT INCORPORATED,07/12/2018
3282633862,01/01/2018,03/31/2018,FOOD/BEVERAGE PROVIDED AT REASONABLE HOSTING EVENT,GREG,MITCHELL,ALDERMAN,11.70,CITY COUNCIL / ALDERMEN,17901,MATTHEW,,SUMMY,3847397064,"COMCAST CABLE COMMUNICATIONS MANAGEMENT, LLC",04/20/2018
3485229912,04/01/2018,06/30/2018,ATTENDANCE AT CPS CEO ADDRESS TO CITY CLUB,HEATHER,WENDELL,BUDGET DIRECTOR,75.00,CHICAGO PUBLIC SCHOOLS,5967,JONATHAN,,CASIANO,127856746,"PNC BANK, NATIONAL ASSOCIATION",07/20/2018
2832020235,01/01/2019,03/31/2019,REASONABLE HOSTING FOR PUSH BREAKFAST,MICHELLE,HARRIS,WARD ALDERMAN,150.00,CITY COUNCIL / ALDERMEN,15101,JAMIL,,MUHAMMAD,2796573750,COMED,04/16/2019
3849170225,04/01/2019,06/30/2019,"FOOD/BEVERAGE, PARKING, TICKET PROVIDED AT REASONABLE HOSTING EVENT",RODERICK,SAWYER,ALDERMAN,74.95,CITY COUNCIL / ALDERMEN,6181,YAFAWN,,SMITH,3847397064,"COMCAST CABLE COMMUNICATIONS MANAGEMENT, LLC",07/19/2019
794238735,01/01/2018,03/31/2018,FOOD AND BEVERAGE,JARREN,CHANG,DIRECTOR OF WORKPLACE DEVELOPMENT,24.00,MAYORS OFFICE,8081,OLGA,,GUTIERREZ,4200670289,APPLE INC.,05/15/2018
3252671348,07/01/2018,09/30/2018,LUNCH,BRIAN,O'DONNELL,,90.82,PLANNING AND DEVELOPMENT,4250,WILLIAM,G,HOFHERR,2862401533,GEORGE K. BAUM & CO.,09/28/2018
400741552,01/01/2019,03/31/2019,FOOD/BEVERAGE & TICKET PROVIDED AT REASONABLE HOSTING EVENT,GREGORY,MITCHELL,ALDERMAN,70.00,CITY COUNCIL / ALDERMEN,17901,MATTHEW,,SUMMY,3847397064,"COMCAST CABLE COMMUNICATIONS MANAGEMENT, LLC",04/18/2019
313214753,04/01/2018,06/30/2018,ATTENDANCE AT CPS CEO ADDRESS TO CITY CLUB,RON,DENARD,VP OF FINANCE,75.00,CHICAGO PUBLIC SCHOOLS,5967,JONATHAN,,CASIANO,127856746,"PNC BANK, NATIONAL ASSOCIATION",07/20/2018
2208669077,01/01/2019,03/31/2019,FOOD/BEVERAGE & TICKET PROVIDED AT REASONABLE HOSTING EVENT,WALTER,"BURNETT, JR.",ALDERMAN,70.00,CITY COUNCIL / ALDERMEN,17901,MATTHEW,,SUMMY,3847397064,"COMCAST CABLE COMMUNICATIONS MANAGEMENT, LLC",04/18/2019
3762524080,04/01/2019,06/30/2019,FOOD AND BEVERAGE,MARIO,MORALES,ENTERPRISE SUPPORT MANAGER,10.77,INNOVATION & TECHNOLOGY,23922,SARA,,WHITE,4200670289,APPLE INC.,07/16/2019
3147861079,01/01/2018,03/31/2018,FOOD AND BEVERAGE,JOE,MORENO,ALDERMAN,24.00,CITY COUNCIL / ALDERMEN,8081,OLGA,,GUTIERREZ,4200670289,APPLE INC.,05/15/2018
3970701347,04/01/2017,06/30/2017,LUNCH,JOHN,ARENA,ALDERMAN,20.00,CITY COUNCIL / ALDERMEN,4163,BRIAN,A,BERNARDONI,1242084710,CHICAGO ASSOCIATION OF REALTORS,07/18/2017
280748926,01/01/2018,03/31/2018,ATTEND CPS CEO SPEECH AT CITY CLUB,RONALD,DENARD,VICE PRESIDENT OF FINANCE,70.00,CHICAGO PUBLIC SCHOOLS,5967,JONATHAN,,CASIANO,127856746,"PNC BANK, NATIONAL ASSOCIATION",04/09/2018
1807817802,07/01/2018,09/30/2018,FOOD AND BEVERAGE,LISA,DAVIS,SUPERVISOR,12.71,FAMILY AND SUPPORT SERVICES,8081,OLGA,,GUTIERREZ,4200670289,APPLE INC.,10/18/2018
3674034572,04/01/2018,06/30/2018,GOODWILL LUNCH,GREGORY,MITCHELL,7TH WARD ALDERMAN,43.49,CITY COUNCIL / ALDERMEN,5107,MARLOW,H.,COLVIN,764813294,COMED,07/06/2018
4061705115,07/01/2018,09/30/2018,SHIRT,KAREN,NOLAN,YOUTH SERVICES COORDINATOR,10.00,FAMILY AND SUPPORT SERVICES,8081,OLGA,,GUTIERREZ,4200670289,APPLE INC.,10/18/2018
3954360713,04/01/2019,06/30/2019,FOOD AND BEVERAGE,DOUGLAS,HURDELBRINK,IT DIRECTOR,10.77,INNOVATION & TECHNOLOGY,23922,SARA,,WHITE,4200670289,APPLE INC.,07/16/2019
2541441938,01/01/2018,03/31/2018,FOOD/BEVERAGE PROVIDED AT REASONABLE HOSTING EVENT,ANDREA,SAENZ,"FIRST DEPUTY COMMISSIONER, CHICAGO PUBLIC LIBRARY",11.70,LIBRARY,17901,MATTHEW,,SUMMY,3847397064,"COMCAST CABLE COMMUNICATIONS MANAGEMENT, LLC",04/20/2018
3872179756,04/01/2017,06/30/2017,FOOD/BEVERAGE PROVIDED AT REASONABLE HOSTING EVENT,ERIC,VAZQUEZ,CTO,6.13,CITY CLERK,3918,LISA,,OUZOUNIAN,3231735171,COMCAST,07/17/2017
230827856,10/01/2019,12/31/2019,LUNCH/MEAL,RODERICK,SAWYER,ALDERMAN,62.00,CITY COUNCIL / ALDERMEN,5701,PAUL,L.,WILLIAMS,2767247958,ALTRIA CLIENT SERVICES LLC,01/04/2020
508318366,07/01/2018,09/30/2018,SHIRT,CHARISMA,CANNON,SPONSORSHIP COORDINATOR,10.00,FAMILY AND SUPPORT SERVICES,8081,OLGA,,GUTIERREZ,4200670289,APPLE INC.,10/18/2018
1591303002,01/01/2019,03/31/2019,HBAP PROGRAM - LUNCH,BRIAN,O'DONNELL,,74.56,PLANNING AND DEVELOPMENT,4250,WILLIAM,G,HOFHERR,1277349274,GEORGE K. BAUM & COMPANY,04/05/2019
400750351,04/01/2017,06/30/2017,LUNCH,BRIAN,O'DONNELL,,47.31,PLANNING AND DEVELOPMENT,4250,WILLIAM,G,HOFHERR,2862401533,GEORGE K. BAUM & CO.,07/10/2017
3662234366,01/01/2018,03/31/2018,FOOD/BEVERAGE PROVIDED AT REASONABLE HOSTING EVENT,ROBERTO,LOPEZ,"STAFF, OFFICE OF THE CITY CLERK",11.70,CITY CLERK,17901,MATTHEW,,SUMMY,3847397064,"COMCAST CABLE COMMUNICATIONS MANAGEMENT, LLC",04/20/2018
4098026914,07/01/2019,09/30/2019,FOOD AND BEVERAGE,EVELYN,BENITEZ,YOUTH SERVICES COORDINATOR,10.82,FAMILY AND SUPPORT SERVICES,23923,STEVE,,JOHNSON,4200670289,APPLE INC.,10/16/2019
2450614059,01/01/2018,03/31/2018,ATTEND CPS CEO SPEECH AT CITY CLUB,HEATHER,WENDELL,BUDGET DIRECTOR,70.00,CHICAGO PUBLIC SCHOOLS,5967,JONATHAN,,CASIANO,127856746,"PNC BANK, NATIONAL ASSOCIATION",04/09/2018
2628620959,04/01/2019,06/30/2019,FOOD AND BEVERAGE,CARLETON,NOLAN,CHIEF TECHNOLOGY OFFICER,10.77,INNOVATION & TECHNOLOGY,23922,SARA,,WHITE,4200670289,APPLE INC.,07/16/2019
1911711955,01/01/2018,03/31/2018,FOOD/BEVERAGE PROVIDED AT REASONABLE HOSTING EVENT,ELIZABETH,GUERRERO,"STAFF, MAYOR'S OFFICE",11.70,MAYORS OFFICE,17901,MATTHEW,,SUMMY,3847397064,"COMCAST CABLE COMMUNICATIONS MANAGEMENT, LLC",04/20/2018
848168759,04/01/2018,06/30/2018,CONDUENT BRANDED PEN,JOHN PAUL,JAEL,PROGRAM DIRECTOR,10.00,FINANCE,12901,HOLLY,,COOPER,413645007,CONDUENT INCORPORATED,07/12/2018
3761835917,01/01/2019,03/31/2019,IHC MEMBER NETWORKING BREAKFAST EVENT (1/22/20) WHICH FEATURED COMMISSIONER AS SPEAKER. EXPENDITURE REFLECTS COST PER PERSON OF MEAL AT EVENT.,MARISA,NOVARA,COMMISSIONER OF HOUSING,7.63,HOUSING AND ECONOMIC DEVELOPMENT,24223,ALLISON,,CLEMENTS,2289941869,ILLINOIS HOUSING COUNCIL,04/03/2020
4291230756,01/01/2020,03/31/2020,IHC MEMBER NETWORKING BREAKFAST EVENT (1/22/20) WHICH FEATURED COMMISSIONER AS SPEAKER. EXPENDITURE REFLECTS COST PER PERSON OF MEAL AT EVENT.,MARISA,NOVARA,COMMISSIONER OF HOUSING,7.63,HOUSING AND ECONOMIC DEVELOPMENT,24223,ALLISON,,CLEMENTS,2289941869,ILLINOIS HOUSING COUNCIL,04/03/2020
916706812,01/01/2020,03/31/2020,FOOD/MEETING,COLLEEN,STONE,PROJECT MANAGER,17.15,FINANCE,6221,LARS,,SKUGSTAD,2349450331,"INTERSTATE JCDECAUX, LLC",04/10/2020
4271669603,01/01/2020,03/31/2020,NATIONAL LEAGUE OF CITIES EVENT,GILBERT,VILLEGAS,ALDERMAN,15.00,CITY COUNCIL / ALDERMEN,8081,OLGA,,GUTIERREZ,4200670289,APPLE INC.,04/17/2020
