Vacancy Number,Department,Job Title,Number Of Openings,Start Date,End Date,Employment Category,Recruitment Type,Professional Area
IRC43987,"Department of Transportation, Division of Traffic Engineering and Operations","Public Service Worker III, Grade 12",1,04/21/2020,05/08/2020,FULLTIME,Closing Date,Trades and Labor
IRC41097,Department of Recreation,"Recreation Assistant IV (Senior Swim Instructor), Grade S4",1,11/26/2019,05/22/2020,PARTTIME,Closing Date,Temporary/Seasonal/Substitute
IRC43307,"Department of Transportation, Division of Traffic Engineering & Operations","Engineer Technician II/I, Grade 18/17",2,02/27/2020,,FULLTIME,Closing Date,Trades and Labor
IRC43989,"Department of Environmental Protection, Recycling and Resource Management Division, Resource Conversion Section","MLS Manager III (Resource Conversion), Grade M3",1,04/22/2020,05/20/2020,FULLTIME,Closing Date,Managerial Executive
IRC43647,"Department of Transportation, Division of Traffic Engineering and Operations","Senior Engineer, Grade 27",1,04/23/2020,05/15/2020,FULLTIME,Closing Date,General Professional
IRC43988,Department of Alcohol Beverage Services,"Warehouse Worker (Seasonal Temporary Part-time), Grade 9",5,04/21/2020,,PARTTIME,Open Continuous,Trades and Labor
IRC43990,Montgomery County Employee Retirement Plans,"Accountant/Auditor III, Grade 23 (part-time)",1,04/22/2020,,PARTTIME,Open Until Filled,General Professional
IRC43847,Montgomery County Employee Retirement Plans,"Retirement Benefits Manager, MLS Manager III",1,04/22/2020,,FULLTIME,Open Until Filled,Managerial Executive
IRC42646,"Department of Transportation, Division of Parking Management","Public Service Craftsworker I, Grade 15",1,02/10/2020,,FULLTIME,Closing Date,Trades and Labor
IRC43527,"Department of Transportation, Division of Parking Management","Public Service Craftsworker I, Grade 15",1,03/08/2020,,FULLTIME,Closing Date,Trades and Labor
IRC43888,Department of Health and Human Services,"Office Services Coordinator (All Program Areas), Grade 16",3,04/30/2020,05/15/2020,EITHER,Closing Date,Clerical/Administrative
IRC41387,Department of Police,Public Safety Emergency Communications Specialist - Grade 15,7,04/29/2020,05/29/2020,FULLTIME,Closing Date,Public Safety
IRC44049,Department of Health and Human Services,"Program Manager I (Local Behavioral Health Authority), Grade 23",1,04/30/2020,05/22/2020,FULLTIME,Closing Date,Health and Social Services
IRC43868,OIG 06 Office of the Inspector General,OIG Investigative Analyst III/Audit,3,04/15/2020,05/06/2020,FULLTIME,Closing Date,General Professional
IRC44048,Department of Health and Human Services,"Program Manger I (Contract Manager), Grade 23",1,04/30/2020,05/15/2020,FULLTIME,Closing Date,Health and Social Services
IRC41607,Recreation,"Recreation Assistant I, Grade S1",50,12/16/2019,06/30/2020,PARTTIME,Closing Date,Temporary/Seasonal/Substitute
IRC43892,Department of Health and Human Services,"Supervisory Social Worker (Child Welfare Services), Grade 26",2,04/30/2020,05/22/2020,FULLTIME,Closing Date,Health and Social Services
IRC44007,"Department of Transportation, Division of Parking Management","Transportation Contract Compliance Inspector II, Grade 19",1,04/29/2020,05/20/2020,FULLTIME,Closing Date,General Professional
IRC44047,Department of Health and Human Services,"Senior Supply Technician, Grade 17",1,04/30/2020,05/15/2020,FULLTIME,Closing Date,Health and Social Services
IRC42527,"Department of Transportation, Director's Office, Management Services Section","Program Manager II, Grade 25",1,04/29/2020,05/13/2020,FULLTIME,Closing Date,Montgomery County Government Employees Only
IRC42607,Recreation,Recreation Assistant I (TeenWorks) S1,100,02/06/2020,08/01/2020,PARTTIME,Closing Date,Temporary/Seasonal/Substitute
