Available_Bag_Type,BBL,BIN,Borough,CouncilDist,Latitude,Longitude,NTAName,Number,ObjectId,Street,Vendor_Address,Vendor_Name,Vendor_Phone_Number,Vendor_Site,Vendor_Type,Vendor_Website,ZipCode,boroCD,ct2010,point,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
Certified Compostable,1010520001,1083746,Manhattan,3,40.847,-73.83298,Clinton,452,112,West 43 Street,452 West 43 Street,Food Emporium,(212) 714-1414,452 West 43 Street New York NY 10036,Retail,http://thefoodemporium.com/,10036,104,121,POINT (-73.832975 40.84700099999999),11270,43,5,12,28
Certified Compostable,3023510006,3062367,Brooklyn,34,40.71635,-73.9603,North Side-South Side,238,26,Bedford Ave,238 Bedford Ave,Whole Foods Market,(718) 734-2321,238 Bedford Ave Brooklyn NY 11249,Retail,http://www.wholefoodsmarket.com/,11249,301,553,POINT (-73.960308 40.716353999999995),17613,36,2,30,57
Certified Compostable,1015310029,1048773,Manhattan,5,40.84692,-73.8329,Yorkville,240,126,East 86 Street,240 East 86 Street,Fairway Market - Upper East Side,(212) 327-2008,240 East 86 Street New York NY 10028,Retail,http://www.fairwaymarket.com/stores/,10028,108,14601,POINT (-73.832899 40.84692499999999),11270,43,5,12,28
Certified Compostable,4034970001,4083710,Queens,30,40.84697,-73.83295,Ridgewood,65-25,144,Forest Ave,65-25 Forest Ave,Platz True Value,(718) 821-5850,65-25 Forest Ave Ridgewood NY 11385,Retail,,11385,405,593,POINT (-73.832949 40.846975),11270,43,5,12,28
Certified Compostable,4068050100,4618468,Queens,24,40.72686,-73.8113,Pomonok-Flushing Heights-Hillcrest,7321,131,KISSENA BLVD,7321 KISSENA BLVD,Walgreens,(718) 263-2918,7321 KISSENA BLVD FLUSHING NY 11367,Retail,https://www.walgreens.com/storelocator/find.jsp,11367,408,122702,POINT (-73.811303 40.72686099999999),14509,25,3,24,65
Certified Compostable,4035270065,4443085,Queens,30,40.84697,-73.83295,Ridgewood,6604,143,Fresh Pond Rd,6604 Fresh Pond Rd,Noble True Value,(718) 821-5245,6604 Fresh Pond Rd Ridgewood NY 11385,Retail,,11385,405,587,POINT (-73.832948 40.846973999999996),11270,43,5,12,28
Certified Compostable,1010210001,1085498,Manhattan,3,40.847,-73.83298,Midtown-Midtown South,810,116,8 Avenue,810 8 Avenue,Food Emporium,(212) 977-1710,810 8 Avenue New York NY 10019,Retail,http://thefoodemporium.com/,10019,105,125,POINT (-73.832976 40.84700200000001),11270,43,5,12,28
Certified Compostable,4038860380,4095040,Queens,30,40.84701,-73.83298,Forest Hills,8989,154,Union Turnpike,8989 Union Turnpike,Super Stop & Shop,(718) 846-2310,8989 Union Turnpike Forest Hills NY 11375,Retail,www.stopandshop.com,11375,406,645,POINT (-73.832986 40.847012),11270,43,5,12,28
,3027610006,3068770,Brooklyn,34,40.71364,-73.95123,North Side-South Side,440,58,Union Ave,440 Union Ave,Sunac Food Corporation,(718) 643-0508,440 Union Ave Brooklyn NY 11211,Retail,sunacfancyfood.com,11211,301,513,POINT (-73.951231 40.713643999999995),17613,36,2,30,56
Certified Compostable,3025110012,3064008,Brooklyn,33,40.84692,-73.83289,Greenpoint,68,43,Freeman Street,68 Freeman Street,AAA Polymer,(718) 389-2498,68 Freeman Street Brooklyn NY 11222,Wholesale,http://www.aaapolymer.com/,11222,301,563,POINT (-73.832894 40.84692),11270,43,5,12,28
Certified Compostable,3010530004,3024167,Brooklyn,39,40.84699,-73.83297,Park Slope-Gowanus,595,11,5 Avenue,595 5 Avenue,MET Foods,(718) 499-5248,595 5 Avenue Brooklyn NY 11215,Retail,www.metfoods.com,11215,307,141,POINT (-73.832968 40.846994),11270,43,5,12,28
Certified Compostable,4036750010,4089243,Queens,30,40.84701,-73.83298,Glendale,64-65,148,Myrtle Avenue,64-65 Myrtle Avenue,Stop & Shop,(718) 381-5136,64-65 Myrtle Avenue Ridgewood NY 11385,Retail,www.stopandshop.com,11385,405,577,POINT (-73.832984 40.84701),11270,43,5,12,28
Certified Compostable,1018527501,1088432,Manhattan,7,40.84695,-73.83292,Upper West Side,808,122,Columbus Avenue,808 Columbus Avenue,Whole Foods - Upper West Side,(212) 222-6160,808 Columbus Avenue New York NY 10025,Retail,http://www.wholefoodsmarket.com/,10025,107,185,POINT (-73.832919 40.846945),11270,43,5,12,28
Certified Compostable,3042070016,3094536,Brooklyn,37,40.67885,-73.86279,Cypress Hills-City Line,1242,75,LIBERTY AVE,1242 LIBERTY AVE,Walgreens,(929) 258-3119,1242 LIBERTY AVE BROOKLYN NY 11208,Retail,https://www.walgreens.com/storelocator/find.jsp,11208,305,1188,POINT (-73.862789 40.678851),17215,45,2,37,47
Certified Compostable,3059990007,3151759,Brooklyn,43,40.84698,-73.83295,Bay Ridge,8111,16,5th Ave,8111 5th Ave,Sunset Hardware,(718) 748-0960,8111 5th Ave Brooklyn NY 11209,Retail,,11209,310,138,POINT (-73.832954 40.846979999999995),11270,43,5,12,28
Certified Compostable,1010497501,1026318,Manhattan,3,40.84694,-73.83292,Lincoln Square,10,111,Columbus Circle,10 Columbus Circle,Whole Foods - Columbus Circle,(212) 823-9600,10 Columbus Circle New York NY 10019,Retail,http://www.wholefoodsmarket.com/,10019,104,145,POINT (-73.832918 40.84694399999999),11270,43,5,12,28
,3074380001,3331174,Brooklyn,48,40.58963,-73.95224,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,1710,90,Avenue Y,1710 Avenue Y,Stop and Shop,(718) 648-0202,1710 Avenue Y Brooklyn NY 11235,Retail,http://stopandshop.com/store/4858a0f3-6b79-4f62-8cc2-53a45b7a5792/,11235,315,592,POINT (-73.952239 40.58962999999999),13826,32,2,15,36
"Certified Compostable, Paper Lawn & Leaf",4001200050,4000825,Queens,26,40.84701,-73.83298,Hunters Point-Sunnyside-West Maspeth,50-10,139,Northern Boulevard,50-10 Northern Boulevard,Home Depot,(718) 278-9031,50-10 Northern Boulevard Long Island City NY 11101,Retail,www.homedepot.com,11101,401,171,POINT (-73.832981 40.847007),11270,43,5,12,28
Certified Compostable,3061210024,3155727,Brooklyn,43,40.847,-73.83297,Bay Ridge,9606,4,3 Avenue,9606 3 Avenue,Met Fresh Supermarket,(718) 836-2700,9606 3 Avenue Brooklyn NY 11209,Retail,https://credibility.com/supermarkets-and-other-grocery-except-convenience-stores/us-ny-brooklyn/naseb-foods-inc,11209,310,5601,POINT (-73.832969 40.84699499999999),11270,43,5,12,28
Certified Compostable,2037440001,2024005,Bronx,18,40.82909,-73.875,Soundview-Bruckner,1612,62,WESTCHESTER AVE,1612 WESTCHESTER AVE,Walgreens,(718) 378-0003,1612 WESTCHESTER AVE BRONX NY 10472,Retail,https://www.walgreens.com/storelocator/find.jsp,10472,209,48,POINT (-73.875 40.829094),11610,58,5,31,26
"Certified Compostable, Paper Lawn & Leaf",3006250065,3008889,Brooklyn,38,40.84699,-73.83296,Sunset Park West,550,47,Hamilton Avenue,550 Hamilton Avenue,Home Depot,(718) 832-8553,550 Hamilton Avenue Brooklyn NY 11232,Retail,www.homedepot.com,11232,307,18,POINT (-73.832963 40.846989),11270,43,5,12,28
Certified Compostable,3063410015,3165664,Brooklyn,43,40.61116,-74.00829,Bath Beach,1525,84,86th St,1525 86th St,Almonte's Food Dynasty,(718) 256-9500,1525 86th St Brooklyn NY 11228,Retail,http://www.keyfood.com/pd/stores/NY/Brooklyn/Almontes-Food-Dynasty-Brooklyn-1472/89D63762,11228,311,172,POINT (-74.008287 40.61116200000001),13511,1,2,44,37
Certified Compostable,3010180045,3022708,Brooklyn,39,40.84701,-73.83298,Park Slope-Gowanus,358,21,"7th Ave,",358 7th Ave,Ansonia Chemist,(718) 965-0565,"358 7th Ave, Brooklyn, NY 11215",Retail,,11215,306,151,POINT (-73.832987 40.84701299999999),11270,43,5,12,28
Certified Compostable,1004277504,1087241,Manhattan,1,40.84694,-73.83292,Chinatown,95,107,East Houston Street,95 East Houston Street,Whole Foods - Bowery,(212) 420-1320,95 East Houston Street New York NY 10002,Retail,http://www.wholefoodsmarket.com/,10002,103,3601,POINT (-73.832917 40.84694299999999),11270,43,5,12,28
"Certified Compostable, Paper Lawn & Leaf",3069470500,3348838,Brooklyn,47,40.84699,-73.83296,Seagate-Coney Island,2970,36,Cropsey Avenue,2970 Cropsey Avenue,Home Depot,(718) 333-9850,2970 Cropsey Avenue Brooklyn NY 11214,Retail,www.homedepot.com,11214,313,348,POINT (-73.832962 40.846988),11270,43,5,12,28
Certified Compostable,3006850042,3010204,Brooklyn,38,40.65436,-74.0011,Sunset Park West,820,79,5 Avenue,820 5 Avenue,Rosalino Grocery,(718) 965-8555,820 5 Avenue Brooklyn NY 11232,Retail,,11232,307,84,POINT (-74.001099 40.654359),13515,9,2,7,45
Certified Compostable,3003260056,3004039,Brooklyn,39,40.84697,-73.83295,Carroll Gardens-Columbia Street-Red Hook,288,35,Court St,288 Court St,Union Market,(718) 709-5100,288 Court St Brooklyn NY 11231,Retail,,11231,306,67,POINT (-73.832944 40.84697),11270,43,5,12,28
Certified Compostable,3025770001,3337670,Brooklyn,33,40.84698,-73.83295,Greenpoint,244,52,McGuinness Blvd,244 McGuinness Blvd,Key Food,(718) 383-9801,244 McGuinness Blvd Brooklyn NY 11222,Retail,,11222,301,579,POINT (-73.832952 40.846977999999986),11270,43,5,12,28
Certified Compostable,5074810001,5149742,Staten Island,51,40.52867,-74.23188,Charleston-Richmond Valley-Tottenville,2900,167,Veterans Road West,2900 Veterans Road West,Target,(718) 701-6205,2900 Veterans Road West Staten Island NY 10309,Retail,www.target.com,10309,503,226,POINT (-74.23188300000001 40.528665999999994),10696,15,1,9,77
Certified Compostable,2039377501,2096637,Bronx,18,40.83767,-73.86199,Parkchester,1489,94,West Ave,1489 West Ave,Foodtown,(718) 682-7153,"1489 West Ave, Bronx, NY 10462",Retail,https://www.foodtown.com/stores/foodtown-of-west-ave-bronx-parkchester,10462,209,21602,POINT (-73.861995 40.837675000000004),11271,58,5,31,26
Certified Compostable,5032090149,5000000,Staten Island,50,40.59918,-74.08187,Old Town-Dongan Hills-South Beach,2270,162,CLOVE RD,2270 CLOVE RD,Walgreens,(718) 447-6295,2270 CLOVE RD STATEN ISLAND NY 10305,Retail,https://www.walgreens.com/storelocator/find.jsp,10305,502,9601,POINT (-74.081872 40.59917899999999),10692,30,1,14,76
Certified Compostable,1003720041,1088845,Manhattan,2,40.72035,-73.97886,Lower East Side,310,108,E 2ND ST,310 E 2ND ST,Walgreens,(646) 434-4344,310 E 2ND ST NEW YORK NY 10009,Retail,https://www.walgreens.com/storelocator/find.jsp,10009,103,2202,POINT (-73.978856 40.720352999999996),11729,70,4,50,5
Certified Compostable,3054570110,3129321,Brooklyn,44,40.62657,-73.97703,Borough Park,1080,51,McDonald Ave,1080 McDonald Ave,ShopRite,(718) 252-5770,1080 McDonald Ave Brooklyn NY 11230,Retail,http://www.shoprite.com/,11230,312,464,POINT (-73.977027 40.62656599999999),16867,2,2,18,39
Certified Compostable,3055600052,3134322,Brooklyn,38,40.61816,-73.99155,Bensonhurst West,6628,83,18TH AVE,6628 18TH AVE,Walgreens,(718) 236-6790,6628 18TH AVE BROOKLYN NY 11204,Retail,https://www.walgreens.com/storelocator/find.jsp,11204,311,252,POINT (-73.991557 40.61816100000001),16867,1,2,7,37
Certified Compostable,3030490001,3071044,Brooklyn,34,40.70702,-73.95009,East Williamsburg,210,66,UNION AVE,210 UNION AVE,Walgreens,(718) 963-3130,210 UNION AVE BROOKLYN NY 11211,Retail,https://www.walgreens.com/storelocator/find.jsp,11211,301,511,POINT (-73.950092 40.70701799999999),17213,36,2,30,56
"Certified Compostable, Paper Lawn & Leaf",4010270004,4530769,Queens,22,40.84701,-73.83298,Jackson Heights,73-01,140,25 Avenue,73-01 25 Avenue,Home Depot,(718) 507-9007,73-01 25 Avenue East Elmhurst NY 11369,Retail,www.homedepot.com,11369,403,30904,POINT (-73.832982 40.847008),11270,43,5,12,28
"Certified Compostable, Paper Lawn & Leaf",4043950002,4438019,Queens,19,40.847,-73.83298,College Point,124-04,130,31 Avenue,124-04 31 Avenue,Home Depot,(718) 661-4608,124-04 31 Avenue Flushing NY 11354,Retail,www.homedepot.com,11354,407,907,POINT (-73.832978 40.847004),11270,43,5,12,28
Certified Compostable,3009990004,3021881,Brooklyn,39,40.84694,-73.83291,Park Slope-Gowanus,415,8,5 Avenue,415 5 Avenue,Leopold's True Value,(718) 499-6563,415 5 Avenue Brooklyn NY 11215,Retail,http://ww3.truevalue.com/leopoldi/Home.aspx,11215,306,137,POINT (-73.83290800000002 40.846934000000005),11270,43,5,12,28
Certified Compostable,2040480001,2043407,Bronx,15,40.84692,-73.83289,Van Nest-Morris Park-Westchester Square,669,98,Morris Park Ave,669 Morris Park Ave,Van Nest True Value Hardware,(718) 829-2338,669 Morris Park Ave Bronx NY 10462,Retail,http://ww3.truevalue.com/vannesthardware/Home.aspx,10462,211,236,POINT (-73.832893 40.846919),11270,43,5,12,28
Certified Compostable,4034920034,4083526,Queens,30,40.84699,-73.83296,Ridgewood,58-02,147,Metropolitan Ave,58-02 Metropolitan Ave,Walgreens,(718) 386-4319,"58-02 Metropolitan Ave, Ridgewood, NY 11385",Retail,walgreens.com,11385,405,595,POINT (-73.832961 40.84698699999999),11270,43,5,12,28
Certified Compostable,3048840001,3327754,Brooklyn,40,40.65057,-73.94923,Erasmus,3000,31,CHURCH AVE,3000 CHURCH AVE,Walgreens,(718) 564-2380,3000 CHURCH AVE BROOKLYN NY 11226,Retail,https://www.walgreens.com/storelocator/find.jsp,11226,317,824,POINT (-73.949226 40.65057099999999),13510,61,2,11,40
Certified Compostable,3060860001,3154729,Brooklyn,43,40.84693,-73.8329,Bay Ridge,9105-27,3,3 Avenue,9105-27 3 Avenue,Foodtown,(718) 833-5080,9105-27 3 Avenue Brooklyn NY 11209,Retail,http://www.foodtown.com/my-store/foodtown-of-bay-ridge/,11209,310,58,POINT (-73.832901 40.846926999999994),11270,43,5,12,28
"Certified Compostable, Paper Lawn & Leaf",4115430100,4446012,Queens,32,40.847,-73.83298,South Ozone Park,11220,135,Rockaway Boulevard,11220 Rockaway Boulevard,Home Depot,(718) 641-5500,11220 Rockaway Boulevard South Ozone Park NY 11420,Retail,www.homedepot.com,11420,410,864,POINT (-73.832977 40.847003),11270,43,5,12,28
Certified Compostable,3044520520,3348833,Brooklyn,42,40.65298,-73.87017,East New York,519,76,Gateway Drive,519 Gateway Drive,Target,(718) 235-6032,519 Gateway Drive Brooklyn NY 11239,Retail,www.target.com,11239,305,1070,POINT (-73.870173 40.65298),13830,45,2,25,47
Certified Compostable,1001420025,1083241,Manhattan,1,40.847,-73.83298,SoHo-TriBeCa-Civic Center-Little Italy,316,103,Greenwich Street,316 Greenwich Street,Best Market Tribeca,(212) 587-3171,316 Greenwich Street New York NY 10013,Retail,,10013,101,39,POINT (-73.832974 40.84700000000001),11270,43,5,12,28
Certified Compostable,3018880001,3054300,Brooklyn,35,40.69329,-73.96852,Clinton Hill,425,71,Myrtle Avenue,425 Myrtle Avenue,Clinton Hill Hardware,(718) 237-7827,425 Myrtle Avenue Brooklyn NY 11205,Retail,clintonhilltruevalue.com,11205,302,191,POINT (-73.968522 40.69328999999999),17212,68,2,48,55
Certified Compostable,3059990007,3151759,Brooklyn,43,40.84692,-73.83289,Bay Ridge,8111,12,5 Avenue,8111 5 Avenue,Ace Hardware,(718) 748-0960,8111 5 Avenue Brooklyn NY 11209,Retail,http://www.acehardware.com/mystore/index.jsp?store=10830&cid=localstore10830,11209,310,138,POINT (-73.832895 40.846920999999995),11270,43,5,12,28
Certified Compostable,5003720026,5010500,Staten Island,50,40.84696,-73.83293,Westerleigh,1825,159,Victory Boulevard,1825 Victory Boulevard,Reimans True Value Hardware,(718) 442-1200,1825 Victory Boulevard Staten Island NY 10314,Retail,http://ww3.truevalue.com/reimans/Home.aspx,10314,501,151,POINT (-73.832935 40.84696100000001),11270,43,5,12,28
Certified Compostable,1012960014,1036152,Manhattan,4,40.75122,-73.97668,Murray Hill-Kips Bay,122,115,E 42ND ST,122 E 42ND ST,Walgreens,(212) 808-4743,122 E 42ND ST NEW YORK NY,Retail,https://www.walgreens.com/storelocator/find.jsp,RK NY,105,80,POINT (-73.976677 40.75122),12079,11,4,51,8
Certified Compostable,3009330030,3018600,Brooklyn,39,40.84697,-73.83294,Park Slope-Gowanus,478,27,Bergen St,478 Bergen St,Pintchik Ace Hardware Store,(718) 783-3333,478 Bergen St Brooklyn NY 11217,Retail,,11217,306,12902,POINT (-73.832939 40.846965),11270,43,5,12,28
Certified Compostable,3009570019,3020190,Brooklyn,39,40.84694,-73.83291,Park Slope-Gowanus,782,59,Union Street,782 Union Street,Park Slope Food Coop,(718) 622-0560,782 Union Street Brooklyn NY 11215,Retail,http://www.foodcoop.com/,11215,306,157,POINT (-73.832911 40.84693699999999),11270,43,5,12,28
"Certified Compostable, Paper Lawn & Leaf",3044520530,3348834,Brooklyn,42,40.84699,-73.83296,East New York,579,44,Gateway Drive,579 Gateway Drive,Home Depot,(718) 827-9568,579 Gateway Drive Brooklyn NY 11239,Retail,www.homedepot.com,11239,305,1070,POINT (-73.832964 40.84698999999999),11270,43,5,12,28
Certified Compostable,2026040174,2120055,Bronx,17,40.84693,-73.83291,Hunts Point,100,91,Oak Point Avenue,100 Oak Point Avenue,Jetro - Bronx,(718) 665-3910,100 Oak Point Avenue Bronx NY 10474,Wholesale,http://jetro.com/store-locations/,10474,202,93,POINT (-73.832906 40.846931999999995),11270,43,5,12,28
Certified Compostable,3020457501,3391941,Brooklyn,35,40.69348,-73.9713,Fort Greene,379,72,MYRTLE AVENUE,379 MYRTLE AVE,Walgreens,(718) 403-9112,379 MYRTLE AVE BROOKLYN NY 11205,Retail,https://www.walgreens.com/storelocator/find.jsp,11205,302,187,POINT (-73.971295 40.69347999999999),17212,68,2,48,55
Certified Compostable,5001640101,5004691,Staten Island,49,40.84694,-73.83291,New Brighton-Silver Lake,647,155,Forest Avenue,647 Forest Avenue,North Shore Ace Hardware,(718) 981-1013,647 Forest Avenue Staten Island NY 10310,Retail,"http://www.acehardware.com/mystore/index.jsp?store=04869&saddr=40.628,- 73.946(%20)&daddr=40.629594,-74.110877(647%20Forest%20Ave%20Staten%20Island,%20NY%2010310)",10310,501,105,POINT (-73.83291000000001 40.846935999999985),11270,43,5,12,28
Certified Compostable,3046000007,3099552,Brooklyn,41,40.66602,-73.92452,Brownsville,1134,39,E NEW YORK AVE,1134 E NEW YORK AVE,Walgreens,(718) 778-7901,1134 E NEW YORK AVE BROOKLYN NY 11212,Retail,https://www.walgreens.com/storelocator/find.jsp,11212,317,892,POINT (-73.924519 40.66601599999999),17614,61,2,17,40
Certified Compostable,1017160008,1088112,Manhattan,8,40.7956,-73.93077,East Harlem North,517,127,E 117 Street,517 E 117 Street,Target,(212) 835-0860,517 E 117 Street New York NY 10035,Retail,www.target.com,10035,111,178,POINT (-73.930769 40.7956),13093,7,4,35,16
Certified Compostable,3002690026,3002649,Brooklyn,33,40.84697,-73.83294,Brooklyn Heights-Cobble Hill,85,34,Court St,85 Court St,Bruno's Home Center,(718) 243-0844,85 Court St Brooklyn NY 11201,Retail,,11201,302,9,POINT (-73.83294 40.846965999999995),11270,43,5,12,28
Certified Compostable,2037940100,2025960,Bronx,18,40.83235,-73.86098,Soundview-Bruckner,100,95,Hugh J. Grant Cir,100 Hugh J. Grant Cir,C-Town,(718) 823-7685,"100 Hugh J. Grant Cir, Bronx, NY 10472",Retail,http://location.ctownsupermarkets.com/ny/bronx/41-054/?utm_source=Google&utm_medium=Maps&utm_campaign=Google+Places,10472,209,72,POINT (-73.86098 40.83235199999999),11610,58,5,31,26
Certified Compostable,2053740001,2074137,Bronx,13,40.83907,-73.83566,Schuylerville-Throgs Neck-Edgewater Park,3085,40,E TREMONT AVE,3085 E TREMONT AVE,Walgreens,(718) 863-2677,3085 E TREMONT AVE BRONX NY 10461,Retail,https://www.walgreens.com/storelocator/find.jsp,10461,210,264,POINT (-73.835661 40.83906499999999),11270,43,5,12,28
Certified Compostable,2040720005,2044084,Bronx,13,40.84172,-73.84292,Van Nest-Morris Park-Westchester Square,55,63,WESTCHESTER SQ,55 WESTCHESTER SQ,Walgreens,(718) 239-6149,55 WESTCHESTER SQ BRONX NY 10461,Retail,https://www.walgreens.com/storelocator/find.jsp,10461,210,200,POINT (-73.842915 40.84172100000001),11270,43,5,12,28
Certified Compostable,5055330127,5148478,Staten Island,51,40.55993,-74.16632,Great Kills,758,166,ARTHUR KILL RD,758 ARTHUR KILL RD,Walgreens,(718) 317-5085,758 ARTHUR KILL RD STATEN ISLAND NY 10312,Retail,https://www.walgreens.com/storelocator/find.jsp,10312,503,14607,POINT (-74.166319 40.55992799999999),10699,15,1,9,76
Certified Compostable,3059960039,3151625,Brooklyn,43,40.84699,-73.83297,Bay Ridge,8102,2,3 Avenue,8102 3 Avenue,The Brooklyn Market,(718) 567-8600,8102 3 Avenue Brooklyn NY 11209,Retail,http://www.thebrooklynmarket.com/,11209,310,46,POINT (-73.832966 40.846992),11270,43,5,12,28
"Certified Compostable, Paper Lawn & Leaf",4140660023,4294197,Queens,32,40.84698,-73.83295,Lindenwood-Howard Beach,16254,136,Crossbay Blvd,16254 Crossbay Blvd,Cross Bay Hardware,(718)848-5699,16254 Crossbay Blvd Howard Beach NY 11414,Retail,,11414,410,892,POINT (-73.832958 40.846984),11270,43,5,12,28
"Certified Compostable, Paper Lawn & Leaf",4095270004,4551727,Queens,32,40.84698,-73.83295,South Ozone Park,104-12,134,Liberty Ave,104-12 Liberty Ave,Shop Rite Hardware & Paint,(718) 848-3222,104-12 Liberty Ave Ozone Park NY 11417,Retail,,11417,410,94,POINT (-73.83295700000001 40.84698299999999),11270,43,5,12,28
Certified Compostable,3009630057,3020541,Brooklyn,39,40.84695,-73.83292,Park Slope-Gowanus,142,20,7 Avenue,142 7 Avenue,Back to the Land Natural Foods,(718) 768-5654,142 7 Avenue Brooklyn NY 11215,Retail,,11215,306,157,POINT (-73.832926 40.846951999999995),11270,43,5,12,28
Certified Compostable,1014380001,1044384,Manhattan,5,40.84693,-73.8329,Lenox Hill-Roosevelt Island,1208,123,2 Avenue,1208 2 Avenue,Health Nuts - Upper East Side,(212) 593-0116,1208 2 Avenue New York NY 10021,Retail,http://www.manhattanhealthfoodstore.com/,10021,108,110,POINT (-73.832903 40.84692900000001),11270,43,5,12,28
Certified Compostable,3009550046,3346559,Brooklyn,39,40.84696,-73.83293,Park Slope-Gowanus,216,7,5 Avenue,216 5 Avenue,Associated Supermarket,(718) 789-4499,216 5 Avenue Brooklyn NY 11215,Retail,http://www.yelp.com/biz/associated-brooklyn-3,11215,306,133,POINT (-73.832931 40.84695700000001),11270,43,5,12,28
Certified Compostable,1005450026,1080094,Manhattan,2,40.72969,-73.99234,West Village,20,104,ASTOR PL,20 ASTOR PL,Walgreens,(212) 375-0734,20 ASTOR PL NEW YORK NY 10003,Retail,https://www.walgreens.com/storelocator/find.jsp,10003,102,57,POINT (-73.99234 40.729685999999994),11724,57,4,50,5
Certified Compostable,4024920079,4058131,Queens,30,40.84701,-73.83298,Elmhurst,74-17,151,Grand Avenue,74-17 Grand Avenue,Super Stop & Shop,(718) 803-0863,74-17 Grand Avenue Elmhurst NY 11373,Retail,www.stopandshop.com,11373,405,499,POINT (-73.832985 40.84701099999999),11270,43,5,12,28
Certified Compostable,3010780007,3025285,Brooklyn,39,40.84694,-73.83292,Park Slope-Gowanus,193,19,7 Avenue,193 7 Avenue,Tarzian Hardware,(718) 788-4120,193 7 Avenue Brooklyn NY 11215,Retail,http://www.tarzianhardware.com/,11215,306,155,POINT (-73.832915 40.846941),11270,43,5,12,28
Certified Compostable,4034660065,4082876,Queens,34,40.84698,-73.83296,Ridgewood,5711,146,Myrtle Ave,5711 Myrtle Ave,Duane Reade,(718) 456-2602,5711 Myrtle Ave,Retail,www.wallgreens.com,e Ave,405,551,POINT (-73.83296 40.84698600000001),11270,43,5,12,28
