Case Number,Case Open Date,Case Close Date,Case Year,Case Sub-Type,Address Zip Code
20181260,03/07/2018,03/22/2018,2018,Residential   Construction/repair/demolition,20871
23666,08/05/2010,09/07/2010,2010,Residential   Construction/repair/demolition,20817
131,01/04/2000,03/08/2000,2000,Residential   El  Amplification Equip,20814
20151727,06/03/2015,06/22/2015,2015,Residential   El  Amplification Equip,20906
1876,08/21/2001,11/19/2001,2001,Residential House/yard,20902
2013462,05/01/2013,05/30/2013,2013,Industrial/commercial   Equipment Noise,20852
26700,07/26/2012,08/01/2012,2012,Industrial/commercial   Equipment Noise,20852
20141537,11/28/2014,12/15/2014,2014,Residential   El  Amplification Equip,20874
20201067,01/16/2020,01/28/2020,2020,Residential   Motor Vehicle Noise,20874
1992930220,08/13/1992,08/13/1992,1992,Noise Industrial/commercial   Leaf Blower Noise,
20724,08/13/2008,09/03/2008,2008,Industrial/commercial  construction/repair/demolit,20814
1989900474,11/30/1989,12/20/1989,1989,Noise Industrial/commercial   Leaf Blower Noise,
