Application Type,Application Number,Process Date,Issued Date,Final Date,Expire Date,Type and purpose of work,Use Group,Watershed,Tributary,WSSC map grid,Tax map,Location,Street number,Street Pre direction,Street name,Street Post direction,Street suffix,City,State,Zip Code,Count Street Map Coordinate,Disturbed Area 100 Year FD,Impervious Surface 100 Year FD,State Water Use,Comments,Location1
FLOODPLAIN DISTRICT PERMIT,252360,03/30/2007,04/04/2008,08/14/2012,04/04/2011,"CONSTRUCT BOTTOMLESS ARCH CULVERT, PEDESTRIAN UNDERPASS, AND FOREMAN BOULEVARD ROADWAY",CONS,LSC,#103,12NW232/13NW232,EW41/EW51,"FOREMAN BOULEVARD, CLARKSBURG, MD 20871",,,,,,,,,"9/E4,F4",67500,14700,0,,
FLOODPLAIN DISTRICT PERMIT,359233,08/02/2017,08/10/2017,06/11/2019,08/10/2019,Retrofit existing swm pond to improve water quality within Seneca Creek Watershed.  Retrofit outfalls to an unnamed tributary of Cabin Branch.,,GSC,CABIN BRCH,,,CENTERWAY ROAD BETWEEN STRAWBERRY KNOLL ROAD AND MARSH HAWK LANE,,,,,,,,,,5832,0,0,,
FLOODPLAIN DISTRICT PERMIT,256579,02/06/2008,02/25/2008,,02/25/2010,"REPLACE THE EXISTING BRIDGE P59-02 WITH A NEW SINGLE SPAN PRE-FABRICATED STEEL BRIDGE AT SLIGO SREEK STREAM VALLEY UNIT #3,IN SLIGO CRK PARKWAY,S.S;MD",CONS,SCR,,211NW1,JP341,"SLIGO CREEK STREAM VALLEY, SILVER SPRING",,,,,,,,,37B7,400,60,0,,
FLOODPLAIN DISTRICT PERMIT,208616,10/19/2000,02/19/2002,,02/19/2007,STORM DRAIN REPAIR,,PRD,,208NW4,,"PRIMROSE ST @ CONNECTICUT AVE, C.C. VILLAGE",,,,,,,,,,0,0,0,Permited extended 3 times,
FLOODPLAIN DISTRICT PERMIT,364273,07/17/2018,07/17/2018,06/12/2019,07/17/2020,"TO REMOVE ACCUMULATED SEDIMENT, DEBRIS, & TRASH FROM CHARLENE STORMWATER POND",CONS,,,226NW09,,"NORTH END OF HARKNESS LANE, GAITHERSBURG, MD 20879",,,,,,,,,,15000,,0,,
FLOODPLAIN DISTRICT PERMIT,205110,05/22/2000,05/22/2000,,,RETROFIT OF EX WET POND TO WETLAND,,PBR,GOOD HOPE,219NE1,JR63,OFF OF NEW HAMPSHIRE AVE SOUTH OF CAPE MAY ROAD,,,,,,,,,31F6,100.19,0,0,,
FLOODPLAIN DISTRICT PERMIT,366194,11/26/2018,06/17/2019,,06/17/2021,Reference attached letter.,,,,219NW12,ER562,,14100,,QUINCE ORCHARD,,RD,GAITHERSBURG,MD,20878,,117026.54,0,0,,"14100 QUINCE ORCHARD RD
GAITHERSBURG, MD 20878
(39.087682, -77.250008)"
FLOODPLAIN DISTRICT PERMIT,219603,11/25/2002,12/13/2002,,,"CONSTRUCT DRIVEWAY CROSSING 24"" STORM DRAIN OUTFALL, 8"" WATERLINE",,NWB,,"222NW2, 3",,"END OF WESTMINISTER DR, OLNEY",,,,,,,,,21H12,10800,2500,0,Lots 21-23 Outlots/A; Parcels A & B,
FLOODPLAIN DISTRICT PERMIT,259687,10/17/2008,10/27/2008,,10/27/2010,"EQUESTRIAN FOOTBRIDGE TO BE INSTALLED AT THE RESERVE AT FAIR HILL (PULTE HOMES) AT RTE 108 AND WICKHAM RD, OLNEY.",CONS,URC,ROCK CREEK,226NW05,HU121,"WICKHAM ROAD & 108, OLNEY, MD  20832",,,,,,,,,"P.20, J4",1040 SQUARE FEET,0 SQUARE FEET,0,,
FLOODPLAIN DISTRICT PERMIT,215438,01/31/2002,04/23/2003,,04/23/2005,"STREAMBANK IMPROVEMENTS SUCH AS RIP RAP TOE PROTEVCTOIN, CROSS VANES, AND EROSION CONTROL",,NWB,,211NE1,,RUNS ALMOST PARALLEL & WEST OF UNIVERSITY BLVD FROM FRANKLIN AVE TO PINEY BRANCH RD,,,,,,,,,,74052,,0,streambank improvements,
FLOODPLAIN DISTRICT PERMIT,369216,05/28/2019,06/21/2019,,06/21/2021,Demolition and removal of all impervious surface in the 100 year floodplain and/or 25' BRL and on Parcel P890.,,,,234NW09,FW563,,24215,,WOODFIELD SCHOOL,,RD,GAITHERSBURG,MD,20882,24 D1,1920,,0,,"24215 WOODFIELD SCHOOL RD
GAITHERSBURG, MD 20882
(39.253674, -77.190067)"
FLOODPLAIN DISTRICT PERMIT,265727,05/24/2010,05/26/2010,,05/26/2020,"CONSTRUCTION OF A SEDIMENT TRAP,SWM POND OUTFALL,OUTFALL SEWER,CONVERSION OF EXISTING GOLF COURSE IRRIGATION POND TO A FORRESTED WETLAND,GRADING INCII",,NWB,BPC,218NW2,"JR121,122,341,342",POPLAR RUN PHASE 2,,,,,,,,,5/66/E8,"47,375",0,0,,
FLOODPLAIN DISTRICT PERMIT,265345,04/19/2010,05/21/2010,,05/21/2020,CONSTRUCTION OF SEDIMENT TRAPS; SWM POND OUTFALL; GRADING INCIDENTAL TO RESIDENTIAL SUBDIVISION LOTS & STREET GRADING,,NWB,,218NW2,"JR121,122,341,& 342","13600 LAYHILL RD., SILVER SPRING, MD  20906",,,,,,,,,5166/E8,"69,040 SF",0,0,"lots: 1-11/O; 1-21/P; 1-4, 24-28/Q, 1-4/R; 1-15/S, 1-59/T, 1-10/U, 12-38/V",
FLOODPLAIN DISTRICT PERMIT,997080001,03/02/2000,03/02/2000,,,"SWM POND, WETLANDS AND STREAM IMPROVEMENTS",CONS,PBR,GOOD HOPE,219NE01,JS561,"PEACHWOOD PARK, PIPING ROCK DRIVE",,,,,,,,,31E3,26136,0,0,,
FLOODPLAIN DISTRICT PERMIT,264261,01/08/2010,10/11/2011,,10/11/2014,DISTURBANCES ARE FOR POND 11 AND OUTFALLS. POND IS TO BE INSTALLED AS PART OF CABIN BRANCH DEVELOPMENT Watershed DA disturbance = 52.AC,CONS,LSC,CABIN BRCH,230NW14,EV-22,"WEST OLD BALTIMORE ROAD, I-270 AND CLARKSBURG ROAD",,,,,,,,,EV562; FV122,1338,,0,,
FLOODPLAIN DISTRICT PERMIT,205833,07/06/2000,04/05/2001,,,STREAM RESTORATION,,PBR,,"215,216,217NE2",,"PAINT BR PARK, FAIRLAND RD TO US 29",,,,,,,,,,409899.60,0,0,,
FLOODPLAIN DISTRICT PERMIT,200950,10/19/1999,11/01/1999,04/20/2005,04/20/2007,CONSTRUCT SINGLE FAMILY HOME/GRADE IN 25FT FPBRL.,CONS,CJC,UNNAMED,212NW9,FP562,"SORRELL AVE. & BENT CROSS DR., LOT 25/6",,,,,,,,,34F5,3049,0.0,0,,
FLOODPLAIN DISTRICT PERMIT,216480,04/11/2002,07/02/2002,09/09/2005,09/09/2007,"INSTALL SWM POND OUTFALL, PROPOSED SEWER TO TIE INTO EXISTING SEWER, 4' WOOD CHIP PATHWAY, GRADING & RETAINING WALL",,MBR,,,ES51,"15024 - 15010 QUINCE ORCHARD ROAD, GAITHERSBURG",,,,,,,,,,9500,450,0,"lots 628, 671, 679, 724",
FLOODPLAIN DISTRICT PERMIT,209035,11/16/2000,12/05/2000,,,STORM DRAIN OUTFALL & MULCH FOOT PATH,,LSC,UNNAMED,226NW14,,"FATHER HURLEY BLVD & LULLABY RD, GERMANTOWN, LOTS 1-133/F; LOTS 1-42/G",,,,,,,,,,2175,772318.8,0,review approvel per JRB 12/5/00 by ENM,
FLOODPLAIN DISTRICT PERMIT,229548,05/25/2004,10/18/2004,,10/19/2006,"ROADWAY IMPROVEMENTS-FULL-DEPTH PAVEMENT REPLACEMENT, SIDEWALK RELOCATION & BIKEPATH.",PAVNSD,SCR,,211NW1,JP341,WAYNE AVE FROM GEORGIA AVE TO SLIGO CREEK PKWY,,,,,,,,,37;C-9,13626,12415,0,,
FLOODPLAIN DISTRICT PERMIT,998301001,01/14/2000,01/14/2000,,,CONSTRUCTION OF ROADWAY AND CULVERT CROSSING,CONS,MBR,UNNAMED,220NW13,ES341,"DOE LANE, DARNESTOWN",,,,,,,,,22A10,23522,4356,0,,
FLOODPLAIN DISTRICT PERMIT,210217,02/13/2001,05/18/2001,,,STREAM IMPROVEMENTS,,PBR,,220NE2,KR123,GUM SPRINGS STREAM IN UPPER PAINT BRANCH PARK,,,,,,,,,,20473.2,0,0,stream improvements,
FLOODPLAIN DISTRICT PERMIT,353124,06/21/2016,08/05/2016,05/07/2018,08/05/2018,"Install natural surface trail, including boardwalk and pedestrian bridge, within approved floodplain limits.",CONS,NWB,,218NW2,JR-30,"Poplar Run Square, Silver Spring, MD",,,,,,,,,5166E8,15068,0,0,,
FLOODPLAIN DISTRICT PERMIT,218290,08/02/2002,,,,STREAM BANK STABILIZATION,,PRD,,221NW20,,,16601,W,WILLARD,,RD,POOLESVILLE,MD,20837,,4043.5,,0,"parcels 310,940, 515, 376, 912","W 16601 WILLARD RD
POOLESVILLE, MD 20837"
FLOODPLAIN DISTRICT PERMIT,212111,05/31/2001,06/06/2001,05/23/2007,05/23/2009,RENEWAL OF PERMIT TO STABILIZE STREAMBANK EROSION,,PBR,,219NE01,,PEACHWOOD PARK PARKING LOT AT THE SOUTH END OF EASTWAY DR,,,,,,,,,31E4,21344.4,0,0,"Peachwood Stream Restoration (GH-14), Block J; Permit has been renewed 1/24/05.",
FLOODPLAIN DISTRICT PERMIT,257049,03/19/2008,04/01/2008,,04/01/2010,"THE CONSTRUCTION OF A NEW SINGLE SPAN 70'X 10'PRE-FABRICATED STEEL BRIDGE OVER MUDDY BRANCH IN BLOCKHOUSE POINT PARK, 14400 RIVER ROAD, POTOMAC, MD.",CONS,MBR,,216NW14,EQ123,"14400 RIVER ROAD, BLOCKHOUSE POINT PARK, POTOMAC, MD 20854",,,,,,,,,27A11,800,84,0,,
FLOODPLAIN DISTRICT PERMIT,370241,07/15/2019,07/15/2019,,07/15/2021,Repair of a previous stream restoration project on Lower Booze Creek between River Road and Cabin John Parkway.,CONS,,,209NW07,GN32,,7420,,HELMSDALE,,RD,BETHESDA,MD,20817,,364100,,0,LOWER BOOZE CREEK STREAM RESTORATION REPAIR,"7420 HELMSDALE RD
BETHESDA, MD 20817
(38.986478, -77.149133)"
FLOODPLAIN DISTRICT PERMIT,203419,03/01/2000,03/24/2000,,,"PUBLIC RD, STORM DRAIN & STREAM IMPROVEMENT.",,LSC,,227NW14,,FT HURLEY BLVD/GERMANTOWN ESTATES,,,,,,,,,18C03,76230,8712,0,,
FLOODPLAIN DISTRICT PERMIT,217764,07/02/2002,01/10/2003,09/23/2005,09/23/2007,"CONSTRUCT 4 BUILDINGS, INCLUDING ASSOCIATED PARKING & SWM",CONS,MBR,,221 & 222NW12,,"DARNESTOWN RD, GAITHERSBURG, 20878",,,,,,,,,,514,N/A,0,Lot 1/A,
FLOODPLAIN DISTRICT PERMIT,235235,03/22/2005,,,,"RESTORE 1,200 LINEAR FT OF DEGRADED STREAM & ENHANCE RIPARIAN CONDITIONS",,NWB,,211NW01,,"BRYANTS NURSERY ROAD, PARCELS P1, P7, P51, NORWOOD",,,,,,,,,,58324,0,0,Stream Restoration,
FLOODPLAIN DISTRICT PERMIT,229901,06/14/2004,,,,CLEANING & REMOVAL OF ACCUMULATED SEDIMENT & DEBRIS WITHIN THE POND,,NWB,,219NW01,,"WOONSOCKET DRIVE, PARCEL A BLOCK A",,,,,,,,,,47500,0,0,,
FLOODPLAIN DISTRICT PERMIT,264255,01/08/2010,10/11/2011,,10/11/2014,DISTURBANCES ARE FOR POND 6 AND OUTFALLS. POND IS TO BE INSTALLED AS PART OF THE CABIN BRANCH DEVELOPMENT Watershed DA disturbance = 23.16,CONS,LSC,,230NW14,EV-22,"WEST OLD BALTIMORE ROAD, I-270 AND CLARKSBURG ROAD",,,,,,,,,EV562; FV 122,2027,,0,,
FLOODPLAIN DISTRICT PERMIT,258177,06/12/2008,12/04/2008,,12/04/2010,STREAM STABILIZATION/ECOLOGICAL ENHANCEMENT,CONS,LRC,,214NW5,HQ31,"WAVERLY-SCHUYLKILL PARK, GARRETT PARK",,,,,,,,,36 A/B 1/2,"6,900",,0,,
FLOODPLAIN DISTRICT PERMIT,212414,06/21/2001,06/22/2001,,,WORK WITHIN FLOODPLAIN TO CONSTRUCT A PEDESTRIAN BRIDGE & ELEVATED BOARDWALK ABOVE FLOODPLAIN,,NWB,,223 & 224NW 1&2,,NORWOOD ROAD BIKE PATH,,,,,,,,,22A9,4900,60,0,,
FLOODPLAIN DISTRICT PERMIT,202964,01/27/2000,01/19/2001,,,"STREAM RESTORATION,EROSION,AQUATIC HABITAT IMPROV",,NWB,LAMBERTON,215NW01,JQ123,YEATMAN PKWY STREAM RESORATION TO LAMBERTON TRIB TO NW BR,,,,,,,,,"31B, C13",.22,0,0,,
FLOODPLAIN DISTRICT PERMIT,256411,01/22/2008,02/15/2008,,02/15/2010,"TO REPLACE THE EXISTING PEDESTRIAN STEEL BRIDGES AT 8 LOCATIONS.BRIDGE D98-01 HERE AT SANGAMORE LOCAL PARK,WAPAKONETA RD, BETHESDA",CONS,PRD,C&O CANAL,207NW6,GM563,"PEDESTRIAN BRIDGE AT: SANGAMORE LOCAL PARK, WAPAKONETA ROAD AT ALEXANDER ROAD, BETHESDA",,,,,,,,,40-G.0-4.9,400,70,0,,
FLOODPLAIN DISTRICT PERMIT,260470,01/09/2009,,,,"RETROFIT DAM TO REDUCE HAZARD CLASSIFICATION FROM CLASS C TO CLASS B, EXISTING CONTROL STRUCTURE WILL BE REMOVED AND A NEW WEIR WALL CONTROL STRUCTURE",,,,219NW10,FR43,GUDELSKY DRIVE,,,,,,,,,"5163, H-6",0,0,0,,
FLOODPLAIN DISTRICT PERMIT,351696,03/11/2016,08/03/2016,05/15/2017,08/03/2018,Construct a detached garage.  Entire property is within the 100-year floodplain.,CONS,DSC,UNNAMED,223NW19,CT41,,19001,,FISHER,,AVE,POOLESVILLE,MD,20837,Map 16-10E,7975,8989,0,,"19001 FISHER AVE
POOLESVILLE, MD 20837
(39.13263, -77.396396)"
FLOODPLAIN DISTRICT PERMIT,229240,05/05/2004,09/20/2004,,09/20/2007,ROADWAY IMPROVEMENTS & WIDENING. HICKER/BIKER TRAIL & SIDEWALKS,,LPB,,217NE03,,FAIRLAND ROAD (FROM US 29 TO PG COUNTY LINE),,,,,,,,,,0,0,0,,
FLOODPLAIN DISTRICT PERMIT,231682,09/20/2004,03/03/2005,02/27/2014,03/03/2008,"INSTALL 2 SWM PONDS G & H PIPE, RIPRAP CHANNEL & EMBANKMENT GRADING.",,LSC,,232NW12,,"PIEDMONT RD & CLARKSBURG RD, PHASE I, SECTION 4 & 5",,,,,,,,,,"4850(G);10,120(H)",,686,section 3 & 4,
FLOODPLAIN DISTRICT PERMIT,212166,06/05/2001,04/16/2002,,,BRIDGE REPLACEMENT/ROAD RE-ALIGNMENT & WIDENING/STREAM STABILIZATION,,BCR,UNNAMED,238NW12,,BRIDGE #M-0007B ON CLARKSBURG ROAD OVER BENNETT CREEK,,,,,,,,,03G05,22215.6,10454.4,0,,
FLOODPLAIN DISTRICT PERMIT,219605,11/25/2002,10/07/2003,,10/07/2005,BUILD A SUPPORT FOUNDATION FOR A PROPOSED PEDESTRIAN BRIDGE,,GSC,,226NW8,,"SNOUFFER SCHOOL RD @ CENTERWAY RD, GAITHERSBURG",,,,,,,,,,750,,0,Lot 1,
FLOODPLAIN DISTRICT PERMIT,223311,07/29/2003,08/26/2003,08/11/2010,08/11/2012,"SEWER SLEEVE, CULVERT & ROADWAY CONSTRUCTION",,LSC,MAIN STEM,232NW12,,"SKYLARK ROAD, CLARKSBURG, BLOCK R; PARCEL A",,,,,,,,,"9H4,5",74979,16368,0,Block R; Parcel A,
FLOODPLAIN DISTRICT PERMIT,268157,01/25/2011,07/22/2011,,07/22/2020,"UPGRADING SD/OUTFALLS DUE TO CONST OF A NEW HOSP & ASSOC PARKING & OFFICE BLDGS. CONST A PATHWAY AROUND REGIONAL POND, INCL A BRIDGE, AS AN AMENITY",HOSP,PBR,,215NE3,KQ342,"PLUM ORCHARD DRIVE, SILVER SPRING, MD  20904",,,,,,,,,5287/G2,"76,196","6,238",0,"WASHINGTON ADVENTIST HOSPITAL / WESTFARM I-3 / I-1 - PLUM ORCHARD DRIVE, SILVER SPRING, MD 20904",
FLOODPLAIN DISTRICT PERMIT,265314,04/15/2010,,,,INSTALLATION OF SURFACE SAND FILTER DEVICE. PEDESTRIAN PATH AND STORM DRAIN PIPING INTO EXISTING STORMWATER MANAGEMENT POND,CONS,MBR,,220 NW 09,FS51,KEY WEST AVENUE & MEDICAL CENTER DRIVE,,,,,,,,,5163 H4,7600,600,0,INSTALLATION OF SURFACE SAND FILTER DEVICE. PEDESTRIAN PATH AND STORM DRAIN PIPING INTO EXISTING STORMWATER MANAGEMENT POND,
FLOODPLAIN DISTRICT PERMIT,243430,02/17/2006,03/09/2006,03/18/2009,03/18/2011,STORM DRAIN OUTFALL,,GSC,,225NW11,FU121,OLD GAME PRESERVE ROAD,,,,,,,,,,1500,0,0,"Parcels A, B, C; 1-32",
FLOODPLAIN DISTRICT PERMIT,256387,01/18/2008,01/18/2008,02/04/2010,02/04/2012,"CONSTRUCT NEW PRINCIPAL SPILLWAY FOR THE POND, PROVIDE SEEPAGE CONTROL, RETROFIT TO IMPROVE WATER QUALITY, AND DREDGE THE POND.",,NWB,GLENALLEN,,,"WHEATON REGIONAL PARK, WHEATON, MD",,,,,,,,,,0,0,0,,
FLOODPLAIN DISTRICT PERMIT,358170,05/31/2017,06/19/2017,,06/19/2020,INSTALL SHARED USE BIKE PATH ALONG SOUTHBND SIDE OF FRED RD (MD 355) FRM STRINGTOWN RD TO N OF MILESTONE MANOR LA TO INCL A TEMP PEDEST BRIDGE XING.,PAVING,LSC,,,,FREDERICK ROAD (MD 355) FROM STRINGTOWN ROAD TO MILESTONE MANOR LN,,,,,,,,,EV 53,17210,3484,0,,
FLOODPLAIN DISTRICT PERMIT,234983,03/11/2005,06/15/2005,,06/15/2007,RETORE 400 LR FT DEGRADED STREAM CONDITIONS. PROTECT EXISTING HIKER/BIKER TRAIL.,,,,218NE02,,"RANDOLPH ROAD, PARCEL P191",,,,,,,,,,31142,0,0,parcel P191,
FLOODPLAIN DISTRICT PERMIT,210624,03/06/2001,03/19/2001,,,"CONSTRUCTION OF SD SYSTEMS ALONG BLICK DR TO PREVENT PONDING IN RESIDENTIAL LOTS, CAUSED BY RUNOFF FROM CULVERT OFF NH AVE.",,NWB,,216NE01,,"BETWEEN NEW HAMPSHIRE AVE TO GREEN HILL DR ALONG BLICK DR-LOTS 6A, 7, 29/1",,,,,,,,,,23522.4,0,0,"Lots 6A, 7, 29/1, Blick Dr SD",
FLOODPLAIN DISTRICT PERMIT,231236,08/20/2004,09/02/2004,12/24/2007,12/24/2009,FOR DEVELOPMENT - CONSTRUCT 2 SINGLE FAMILY DWELLINGS,,BDR,,225NW20,,"BEALLSVILLE RD, BEALLSVILLE, MD 20839",,,,,,,,,16A5,.38 ACRE,068 ACRE,0,change of ownership from 226462,
FLOODPLAIN DISTRICT PERMIT,288975,02/25/2013,04/29/2013,10/15/2013,04/29/2015,install two facilities with fewer tree impacts and resore playground. New bridge installed on existing abutments.,,SCR,,212NW02,JP22,"9901 Dameron Drive, Wheaton Md 20902",,,,,,,,,212NW02,30376,480,0,,
FLOODPLAIN DISTRICT PERMIT,268796,03/29/2011,03/30/2011,,03/30/2013,CONSTRUCT SEDIMENT TRAPS AND SWM PONDS FOR RESIDENTIAL SUBDIVISION DEVELOPMENT,CONS,LSC,UNNAMED,230NW12,FV122,"RIDGE ROAD, CLARKSBURG, MARYLAND 20876",,,,,,,,,4929/B6,22750,,0,,
FLOODPLAIN DISTRICT PERMIT,365888,11/05/2018,,,,Reconstruction of Potomac Elementary School,,,,,,,,,,,,,,,,0,,0,,
FLOODPLAIN DISTRICT PERMIT,244113,03/10/2006,03/30/2006,,03/30/2008,CONSTRUCT SWM SURFACE SAND FILTER OUTFALL & STAGING AREA FOR CONSTRUCTION OF SEWER OUTFALL,,HWR,JAMES CR,225NW3,,"SPARTAN ROAD, OLNEY MD, LOTS 1-13/G; PARCELS A, B, C",,,,,,,,,,2520,0,0,"Lots 1-13/G; Parcels A, B, C",
FLOODPLAIN DISTRICT PERMIT,259673,10/17/2008,02/13/2012,,02/13/2014,CONSTRUCTING A NEW ROAD WITH BRIDGE OVER ROCK CREEK,CONS,,,,"HQ 123, HQ 343",BETWEEN PARKLAWN DRIVE AND VEIRS MILL ROAD NORTH OF RANDOLPH ROAD,,,,,,,,,,"59,000","47,210",0,,
FLOODPLAIN DISTRICT PERMIT,212078,05/29/2001,06/05/2001,,,"SWM OUTFALL FOR POND #3, INCLUDING 90 IF RIP-RAP CONVEYABCE SWALE.4' ASPHALT PEDESTRIAN PATH CONNECTING SITE W/ NORWOOD RD PLACED AT GRADE ON ROADWAY",,NWB,,223NW1,,"POND #2 NORWOOD RD, SANDY SPRING, MD",,,,,,,,,21K9,5350,500,0,,
FLOODPLAIN DISTRICT PERMIT,220918,03/26/2003,11/17/2003,,11/17/2005,CONSTRUCTION OF A SEWER OUTFALL CONNECTION TO EXISTING SEWER IN THE FP.,,NWB,UNNAMED,1NW223,,"NORWOOD ROAD, ASHTON, LOTS 31-33",,,,,,,,,,1525,0,0,,
FLOODPLAIN DISTRICT PERMIT,264470,01/28/2010,10/08/2010,08/23/2013,10/08/2012,"CONDUCT ROUTINE MAINT. ON FOREBAY AND UPPER PORTION OF LAKE NEEDWOOD BY REMOVING APPROX. 100,000 CUBIC YARDS OF ACCUMULATED SEDIMENT AND IMPROVING SED",,URC,,222NW06,,"NEEDWOOD ROAD, ROCKVILLE",,,,,,,,,29 E-5,1625000,0,0,,
FLOODPLAIN DISTRICT PERMIT,248427,08/30/2006,09/29/2006,,09/29/2008,"STREAM RESTORATION OF 900 LF OF DEGRADED, STREAM. REPAIR PREVIOUSLY INSTALLED REVETMENTS, MAXIMIZE FP ACCESS & STABLIAZE HEAT CUTS.",ROUGRD,LFB,,206NW05,,"MASSACHUSETTS AVE, GLEN ECHO, PARCELS 259, 173, 96, 959 N-426",,,,,,,,,,108300,0,0,,
FLOODPLAIN DISTRICT PERMIT,259207,09/11/2008,11/19/2008,,11/19/2016,"ROUGH GRADING/LOTS 1-27/PAR A,1-9 PAR A, 1-32, 1-68 PAR A-I/BLOCKS H,I,J,K",,NWB,,255NW2,,"13600 LAYHILL ROAD, SILVER SPRING, MD 20906/LOTS 1-27  &",,,,,,,,,,"400,810",0,0,,
FLOODPLAIN DISTRICT PERMIT,324126,10/08/2014,,,,"REPLACE EXISTING TWIN 24"" CMP CULVERTS THAT HAVE FAILED.",,PRD,,24NW-225NW,AT A5-T3,"APPROX. 24200 WHITES FERRY ROAD

POOLESVILLE, MD",,,,,,,,,14H5,8183,960,0,,
FLOODPLAIN DISTRICT PERMIT,245469,05/01/2006,,,,IMPROVE WATER QUALITY BY MODIFYING THE RISER STRUCTURE OF THE SWM POND.,,URC,,224NW4,,"POND LOCATED BETWEEN MORNINGWOOD DR, DARNELL DR, & OLNEY DR",,,,,,,,,,0,0,0,,
FLOODPLAIN DISTRICT PERMIT,363130,04/23/2018,08/22/2019,,08/22/2021,Restoration of 4 reaches of SB and portions of 3 tributaries to SB.  Al channels exhibit signs of vertical and lateral instability.,CONS,WBR,SANDY BR,"215NW12, 218NW121","ER51, EQ62, EQ63",,12204,,GLEN,,RD,POTOMAC,MD,20854,E10C,381500,0,0,Glenstone Stream Restoration -- Sandy Branch &amp; Tributaries,"12204 GLEN RD
POTOMAC, MD 20854
(39.062034, -77.24911)"
