Reporting Area,MMWR Year,MMWR Week,"Vancomycin-intermediate Staphylococcus aureus, Current week","Vancomycin-intermediate Staphylococcus aureus, Current week, flag","Vancomycin-intermediate Staphylococcus aureus, Previous 52 weeks Max†","Vancomycin-intermediate Staphylococcus aureus, Previous 52 weeks Max†, flag","Vancomycin-intermediate Staphylococcus aureus, Cum 2020†","Vancomycin-intermediate Staphylococcus aureus, Cum 2020†, flag","Vancomycin-intermediate Staphylococcus aureus, Cum 2019†","Vancomycin-intermediate Staphylococcus aureus, Cum 2019†, flag","Vancomycin-resistant Staphylococcus aureus, Current week","Vancomycin-resistant Staphylococcus aureus, Current week, flag","Vancomycin-resistant Staphylococcus aureus, Previous 52 weeks Max†","Vancomycin-resistant Staphylococcus aureus, Previous 52 weeks Max†, flag","Vancomycin-resistant Staphylococcus aureus, Cum 2020†","Vancomycin-resistant Staphylococcus aureus, Cum 2020†, flag","Vancomycin-resistant Staphylococcus aureus, Cum 2019†","Vancomycin-resistant Staphylococcus aureus, Cum 2019†, flag","Varicella morbidity, Current week","Varicella morbidity, Current week, flag","Varicella morbidity, Previous 52 weeks Max†","Varicella morbidity, Previous 52 weeks Max†, flag","Varicella morbidity, Cum 2020†","Varicella morbidity, Cum 2020†, flag","Varicella morbidity, Cum 2019†","Varicella morbidity, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
NORTH CAROLINA,2020,4,,-,1,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,NORTH CAROLINA,,20200434,POINT (-79.130883 35.52603)
GUAM,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200466,POINT (144.653198 13.3532)
NEW JERSEY,2020,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,17,,,-,44,,NEW JERSEY,,20200410,POINT (-74.655514 40.110253)
NEW MEXICO,2020,4,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,6,,,-,2,,NEW MEXICO,,20200454,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,4,,-,2,,,-,1,,,-,1,,,-,,-,9,,48,,65,,140,,,EAST NORTH CENTRAL,20200414,
TENNESSEE,2020,4,,-,1,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,TENNESSEE,,20200442,POINT (-86.343226 35.842998)
CONNECTICUT,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,1,,5,,CONNECTICUT,,20200403,POINT (-72.738288 41.575155)
MARYLAND,2020,4,,-,1,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,MARYLAND,,20200433,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,8,,5,,14,,SOUTH CAROLINA,,20200435,POINT (-80.864614 33.878572)
OKLAHOMA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,OKLAHOMA,,20200446,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200465,POINT (145.725693 15.1834)
OHIO,2020,4,,-,2,,,-,,-,,-,0,,,-,,-,6,,24,,26,,25,,OHIO,,20200418,POINT (-82.70936 40.415534)
MINNESOTA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,17,,1,,35,,MINNESOTA,,20200423,POINT (-94.198308 46.349153)
LOUISIANA,2020,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,5,,,-,1,,LOUISIANA,,20200445,POINT (-91.840238 30.921314)
HAWAII,2020,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,4,,1,,3,,HAWAII,,20200460,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,4,,-,1,,,-,,-,,-,0,,,-,,-,21,,61,,89,,144,,,SOUTH ATLANTIC,20200428,
PENNSYLVANIA,2020,4,,-,1,,,-,,-,,-,0,,,-,,-,2,,20,,28,,36,,PENNSYLVANIA,,20200413,POINT (-77.838886 40.896694)
UTAH,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,9,,4,,24,,UTAH,,20200455,POINT (-111.678222 39.323779)
COLORADO,2020,4,,N,,NC,,N,,N,,-,0,,,-,,-,,-,13,,9,,9,,COLORADO,,20200450,POINT (-105.547832 38.998552)
VERMONT,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,4,,1,,5,,VERMONT,,20200408,POINT (-72.662695 44.075252)
KENTUCKY,2020,4,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,7,,5,,1,,KENTUCKY,,20200440,POINT (-85.290484 37.526683)
PUERTO RICO,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200467,POINT (-66.414655 18.215692)
MAINE,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,6,,9,,MAINE,,20200404,POINT (-69.06137 45.117911)
VIRGINIA,2020,4,,-,1,,,-,,-,,-,0,,,-,,-,1,,20,,5,,26,,VIRGINIA,,20200436,POINT (-78.666382 37.510861)
ARIZONA,2020,4,,-,1,,,-,1,,,-,0,,,-,,-,5,,20,,21,,11,,ARIZONA,,20200449,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,4,,N,,NC,,N,,N,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20200464,
WISCONSIN,2020,4,,-,1,,,-,,-,,-,1,,,-,,-,2,,13,,17,,24,,WISCONSIN,,20200419,POINT (-89.732969 44.639954)
IDAHO,2020,4,,N,,NC,,N,,N,,N,,NC,,N,,N,,N,,NC,,N,,N,IDAHO,,20200451,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200468,POINT (-64.840836 18.060868)
MICHIGAN,2020,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,16,,7,,42,,MICHIGAN,,20200417,POINT (-85.730977 44.874798)
GEORGIA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,13,,1,,32,,GEORGIA,,20200432,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20200412,
ARKANSAS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,2,,7,,4,,6,,ARKANSAS,,20200444,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,8,,,-,9,,MISSISSIPPI,,20200441,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,4,,N,,NC,,N,,N,,-,0,,,-,,-,,-,3,,1,,2,,SOUTH DAKOTA,,20200427,POINT (-100.230491 44.43614)
WYOMING,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,WYOMING,,20200456,POINT (-107.55145 42.999627)
MISSOURI,2020,4,,-,4,,,-,,-,,-,0,,,-,,-,,-,9,,2,,16,,MISSOURI,,20200424,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,4,,-,2,,,-,,-,,-,0,,,-,,-,2,,35,,28,,80,,,MIDDLE ATLANTIC,20200409,
CALIFORNIA,2020,4,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,4,,2,,1,,CALIFORNIA,,20200459,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,WEST VIRGINIA,,20200437,POINT (-80.613729 38.642579)
FLORIDA,2020,4,,-,1,,,-,,-,,-,0,,,-,,-,20,,31,,78,,66,,FLORIDA,,20200431,POINT (-82.420978 28.260731)
MONTANA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,5,,1,,10,,MONTANA,,20200452,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,4,,-,4,,,-,,-,,-,0,,,-,,-,,-,22,,4,,59,,,WEST NORTH CENTRAL,20200420,
MASSACHUSETTS,2020,4,,-,1,,,-,,-,,-,1,,,-,,-,,-,16,,,-,26,,MASSACHUSETTS,,20200405,POINT (-71.481104 42.151077)
MOUNTAIN,2020,4,,-,1,,,-,1,,,-,0,,,-,,-,5,,29,,35,,56,,,MOUNTAIN,20200448,
INDIANA,2020,4,,N,,NC,,N,,N,,-,0,,,-,,-,,-,10,,2,,11,,INDIANA,,20200416,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200469,
US TERRITORIES,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200463,
TOTAL,2020,5,,-,5,,1,,3,,,-,1,,,-,,-,44,,227,,370,,771,,,TOTAL,20200570,
US RESIDENTS,2020,5,,-,5,,1,,3,,,-,1,,,-,,-,44,,227,,370,,771,,,US RESIDENTS,20200501,
NEW HAMPSHIRE,2020,5,,N,,NC,,N,,N,,-,0,,,-,,-,,-,5,,,-,4,,NEW HAMPSHIRE,,20200506,POINT (-71.57139 43.680429)
NEW YORK,2020,5,,-,1,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,NEW YORK,,20200511,POINT (-75.59655 42.921241)
WEST SOUTH CENTRAL,2020,5,,-,1,,,-,1,,,-,0,,,-,,-,,-,58,,24,,80,,,WEST SOUTH CENTRAL,20200543,
NEBRASKA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,3,,,-,2,,NEBRASKA,,20200525,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,5,,-,1,,,-,,-,,-,1,,,-,,-,1,,13,,6,,32,,,EAST SOUTH CENTRAL,20200538,
NORTH DAKOTA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,4,,12,,5,,NORTH DAKOTA,,20200526,POINT (-100.46931 47.446305)
NEVADA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,NEVADA,,20200553,POINT (-114.916992 39.283294)
ILLINOIS,2020,5,,-,1,,,-,1,,,-,0,,,-,,-,,-,18,,21,,43,,ILLINOIS,,20200515,POINT (-89.148632 40.124144)
IOWA,2020,5,,-,1,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,IOWA,,20200521,POINT (-93.500061 42.074659)
TEXAS,2020,5,,-,1,,,-,1,,,-,0,,,-,,-,,-,57,,19,,62,,TEXAS,,20200547,POINT (-99.317341 31.447238)
ALASKA,2020,5,,N,,NC,,N,,N,,-,0,,,-,,-,,-,1,,,-,1,,ALASKA,,20200558,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,5,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,3,,,-,4,,DISTRICT OF COLUMBIA,,20200530,POINT (-77.016275 38.904785)
WASHINGTON,2020,5,,N,,NC,,N,,N,,-,0,,,-,,-,,N,,NC,,N,,N,WASHINGTON,,20200562,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,5,,-,1,,,-,,-,,-,1,,,-,,-,,-,25,,23,,61,,,NEW ENGLAND,20200502,
RHODE ISLAND,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,5,,1,,1,,RHODE ISLAND,,20200507,POINT (-71.534637 41.572574)
OREGON,2020,5,,N,,NC,,N,,N,,N,,NC,,N,,N,,N,,NC,,N,,N,OREGON,,20200561,POINT (-120.605279 43.940449)
DELAWARE,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,2,,,-,3,,DELAWARE,,20200529,POINT (-75.452394 38.994926)
ALABAMA,2020,5,,-,1,,,-,,-,,-,1,,,-,,-,1,,5,,1,,13,,ALABAMA,,20200539,POINT (-86.844516 32.756889)
KANSAS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20200522,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,5,,-,1,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,NORTH CAROLINA,,20200534,POINT (-79.130883 35.52603)
GUAM,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200566,POINT (144.653198 13.3532)
NEW JERSEY,2020,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,17,,1,,51,,NEW JERSEY,,20200510,POINT (-74.655514 40.110253)
NEW MEXICO,2020,5,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,6,,,-,5,,NEW MEXICO,,20200554,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,5,,-,2,,,-,1,,,-,1,,,-,,-,9,,48,,93,,159,,,EAST NORTH CENTRAL,20200514,
TENNESSEE,2020,5,,-,1,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,TENNESSEE,,20200542,POINT (-86.343226 35.842998)
CONNECTICUT,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,1,,7,,CONNECTICUT,,20200503,POINT (-72.738288 41.575155)
MARYLAND,2020,5,,-,1,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,MARYLAND,,20200533,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,8,,5,,16,,SOUTH CAROLINA,,20200535,POINT (-80.864614 33.878572)
OKLAHOMA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,OKLAHOMA,,20200546,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200565,POINT (145.725693 15.1834)
OHIO,2020,5,,-,2,,,-,,-,,-,0,,,-,,-,7,,24,,33,,27,,OHIO,,20200518,POINT (-82.70936 40.415534)
MINNESOTA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,17,,6,,45,,MINNESOTA,,20200523,POINT (-94.198308 46.349153)
LOUISIANA,2020,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,5,,,-,6,,LOUISIANA,,20200545,POINT (-91.840238 30.921314)
HAWAII,2020,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,4,,2,,4,,HAWAII,,20200560,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,5,,-,1,,,-,,-,,-,0,,,-,,-,21,,61,,111,,180,,,SOUTH ATLANTIC,20200528,
PENNSYLVANIA,2020,5,,-,1,,,-,,-,,-,0,,,-,,-,5,,20,,35,,46,,PENNSYLVANIA,,20200513,POINT (-77.838886 40.896694)
UTAH,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,9,,6,,29,,UTAH,,20200555,POINT (-111.678222 39.323779)
COLORADO,2020,5,,N,,NC,,N,,N,,-,0,,,-,,-,2,,13,,11,,17,,COLORADO,,20200550,POINT (-105.547832 38.998552)
VERMONT,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,4,,1,,8,,VERMONT,,20200508,POINT (-72.662695 44.075252)
KENTUCKY,2020,5,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,7,,5,,2,,KENTUCKY,,20200540,POINT (-85.290484 37.526683)
PUERTO RICO,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200567,POINT (-66.414655 18.215692)
MAINE,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,7,,9,,MAINE,,20200504,POINT (-69.06137 45.117911)
VIRGINIA,2020,5,,-,1,,,-,,-,,-,0,,,-,,-,1,,20,,7,,34,,VIRGINIA,,20200536,POINT (-78.666382 37.510861)
ARIZONA,2020,5,,-,1,,,-,1,,,-,0,,,-,,-,5,,20,,27,,16,,ARIZONA,,20200549,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,5,,N,,NC,,N,,N,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20200564,
WISCONSIN,2020,5,,-,1,,,-,,-,,-,1,,,-,,-,2,,13,,23,,25,,WISCONSIN,,20200519,POINT (-89.732969 44.639954)
IDAHO,2020,5,,N,,NC,,N,,N,,N,,NC,,N,,N,,N,,NC,,N,,N,IDAHO,,20200551,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200568,POINT (-64.840836 18.060868)
MICHIGAN,2020,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,16,,13,,51,,MICHIGAN,,20200517,POINT (-85.730977 44.874798)
GEORGIA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,13,,1,,35,,GEORGIA,,20200532,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,5,,-,1,,1,,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20200512,
ARKANSAS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,7,,5,,12,,ARKANSAS,,20200544,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,8,,,-,17,,MISSISSIPPI,,20200541,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,5,,N,,NC,,N,,N,,-,0,,,-,,-,,-,3,,2,,3,,SOUTH DAKOTA,,20200527,POINT (-100.230491 44.43614)
WYOMING,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,WYOMING,,20200556,POINT (-107.55145 42.999627)
MISSOURI,2020,5,,-,4,,,-,,-,,-,0,,,-,,-,1,,9,,7,,23,,MISSOURI,,20200524,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,5,,-,2,,1,,,-,,-,0,,,-,,-,5,,35,,36,,97,,,MIDDLE ATLANTIC,20200509,
CALIFORNIA,2020,5,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,4,,3,,2,,CALIFORNIA,,20200559,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,WEST VIRGINIA,,20200537,POINT (-80.613729 38.642579)
FLORIDA,2020,5,,-,1,,,-,,-,,-,0,,,-,,-,20,,31,,98,,88,,FLORIDA,,20200531,POINT (-82.420978 28.260731)
MONTANA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,5,,1,,10,,MONTANA,,20200552,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,5,,-,4,,,-,,-,,-,0,,,-,,-,1,,22,,27,,78,,,WEST NORTH CENTRAL,20200520,
MASSACHUSETTS,2020,5,,-,1,,,-,,-,,-,1,,,-,,-,,-,16,,13,,32,,MASSACHUSETTS,,20200505,POINT (-71.481104 42.151077)
MOUNTAIN,2020,5,,-,1,,,-,1,,,-,0,,,-,,-,7,,29,,45,,77,,,MOUNTAIN,20200548,
INDIANA,2020,5,,N,,NC,,N,,N,,-,0,,,-,,-,,-,10,,3,,13,,INDIANA,,20200516,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200569,
US TERRITORIES,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200563,
TOTAL,2020,6,,-,5,,1,,5,,,-,1,,,-,,-,63,,227,,453,,928,,,TOTAL,20200670,
US RESIDENTS,2020,6,,-,5,,1,,5,,,-,1,,,-,,-,63,,227,,453,,928,,,US RESIDENTS,20200601,
NEW HAMPSHIRE,2020,6,,N,,NC,,N,,N,,-,0,,,-,,-,,-,5,,,-,4,,NEW HAMPSHIRE,,20200606,POINT (-71.57139 43.680429)
NEW YORK,2020,6,,-,1,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,NEW YORK,,20200611,POINT (-75.59655 42.921241)
PACIFIC,2020,6,,-,1,,,-,,-,,-,0,,,-,,-,,-,5,,6,,12,,,PACIFIC,20200657,
WEST SOUTH CENTRAL,2020,6,,-,1,,,-,1,,,-,0,,,-,,-,9,,58,,37,,105,,,WEST SOUTH CENTRAL,20200643,
NEBRASKA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,3,,,-,4,,NEBRASKA,,20200625,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,6,,-,1,,,-,,-,,-,1,,,-,,-,,-,13,,7,,33,,,EAST SOUTH CENTRAL,20200638,
NORTH DAKOTA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,1,,6,,14,,5,,NORTH DAKOTA,,20200626,POINT (-100.46931 47.446305)
NEVADA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,NEVADA,,20200653,POINT (-114.916992 39.283294)
ILLINOIS,2020,6,,-,1,,,-,1,,,-,0,,,-,,-,,-,18,,21,,52,,ILLINOIS,,20200615,POINT (-89.148632 40.124144)
IOWA,2020,6,,-,1,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,IOWA,,20200621,POINT (-93.500061 42.074659)
TEXAS,2020,6,,-,1,,,-,1,,,-,0,,,-,,-,8,,57,,31,,83,,TEXAS,,20200647,POINT (-99.317341 31.447238)
ALASKA,2020,6,,N,,NC,,N,,N,,-,0,,,-,,-,,-,1,,,-,2,,ALASKA,,20200658,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,6,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,3,,,-,4,,DISTRICT OF COLUMBIA,,20200630,POINT (-77.016275 38.904785)
WASHINGTON,2020,6,,N,,NC,,N,,N,,-,0,,,-,,-,,N,,NC,,N,,N,WASHINGTON,,20200662,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,6,,-,1,,,-,,-,,-,1,,,-,,-,1,,25,,25,,71,,,NEW ENGLAND,20200602,
RHODE ISLAND,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,5,,2,,2,,RHODE ISLAND,,20200607,POINT (-71.534637 41.572574)
OREGON,2020,6,,N,,NC,,N,,N,,N,,NC,,N,,N,,N,,NC,,N,,N,OREGON,,20200661,POINT (-120.605279 43.940449)
DELAWARE,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,2,,1,,3,,DELAWARE,,20200629,POINT (-75.452394 38.994926)
ALABAMA,2020,6,,-,1,,,-,,-,,-,1,,,-,,-,,-,5,,1,,14,,ALABAMA,,20200639,POINT (-86.844516 32.756889)
KANSAS,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20200622,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,6,,-,1,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,NORTH CAROLINA,,20200634,POINT (-79.130883 35.52603)
GUAM,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200666,POINT (144.653198 13.3532)
NEW JERSEY,2020,6,,-,1,,,-,,-,,-,0,,,-,,-,,-,17,,1,,56,,NEW JERSEY,,20200610,POINT (-74.655514 40.110253)
NEW MEXICO,2020,6,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,6,,,-,8,,NEW MEXICO,,20200654,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,6,,-,2,,,-,2,,,-,1,,,-,,-,20,,48,,123,,196,,,EAST NORTH CENTRAL,20200614,
TENNESSEE,2020,6,,-,1,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,TENNESSEE,,20200642,POINT (-86.343226 35.842998)
CONNECTICUT,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,1,,8,,CONNECTICUT,,20200603,POINT (-72.738288 41.575155)
MARYLAND,2020,6,,-,1,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,MARYLAND,,20200633,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,8,,5,,18,,SOUTH CAROLINA,,20200635,POINT (-80.864614 33.878572)
OKLAHOMA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,OKLAHOMA,,20200646,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200665,POINT (145.725693 15.1834)
OHIO,2020,6,,-,2,,,-,1,,,-,0,,,-,,-,19,,24,,51,,38,,OHIO,,20200618,POINT (-82.70936 40.415534)
MINNESOTA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,17,,6,,51,,MINNESOTA,,20200623,POINT (-94.198308 46.349153)
LOUISIANA,2020,6,,-,1,,,-,,-,,-,0,,,-,,-,,-,5,,,-,7,,LOUISIANA,,20200645,POINT (-91.840238 30.921314)
HAWAII,2020,6,,-,1,,,-,,-,,-,0,,,-,,-,,-,4,,3,,6,,HAWAII,,20200660,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,6,,-,1,,,-,,-,,-,0,,,-,,-,18,,61,,133,,214,,,SOUTH ATLANTIC,20200628,
PENNSYLVANIA,2020,6,,-,1,,,-,,-,,-,0,,,-,,-,4,,20,,39,,52,,PENNSYLVANIA,,20200613,POINT (-77.838886 40.896694)
UTAH,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,1,,9,,7,,30,,UTAH,,20200655,POINT (-111.678222 39.323779)
COLORADO,2020,6,,N,,NC,,N,,N,,-,0,,,-,,-,2,,13,,13,,22,,COLORADO,,20200650,POINT (-105.547832 38.998552)
VERMONT,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,4,,1,,8,,VERMONT,,20200608,POINT (-72.662695 44.075252)
KENTUCKY,2020,6,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,7,,5,,2,,KENTUCKY,,20200640,POINT (-85.290484 37.526683)
PUERTO RICO,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200667,POINT (-66.414655 18.215692)
MAINE,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,1,,6,,8,,9,,MAINE,,20200604,POINT (-69.06137 45.117911)
VIRGINIA,2020,6,,-,1,,,-,,-,,-,0,,,-,,-,3,,20,,10,,44,,VIRGINIA,,20200636,POINT (-78.666382 37.510861)
ARIZONA,2020,6,,-,1,,,-,2,,,-,0,,,-,,-,5,,20,,30,,23,,ARIZONA,,20200649,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,6,,N,,NC,,N,,N,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20200664,
WISCONSIN,2020,6,,-,1,,,-,,-,,-,1,,,-,,-,,-,13,,25,,29,,WISCONSIN,,20200619,POINT (-89.732969 44.639954)
IDAHO,2020,6,,N,,NC,,N,,N,,N,,NC,,N,,N,,N,,NC,,N,,N,IDAHO,,20200651,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200668,POINT (-64.840836 18.060868)
MICHIGAN,2020,6,,-,1,,,-,,-,,-,0,,,-,,-,1,,16,,23,,60,,MICHIGAN,,20200617,POINT (-85.730977 44.874798)
GEORGIA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,13,,3,,37,,GEORGIA,,20200632,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,6,,-,1,,1,,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20200612,
