Salmon Recovery Region,Federal Status,Stock Numbers,Waterbody Name,Species,Run Type,Migration Year,Occupied River Miles,Abundance,Density,Comments,Local Biologist Name,Last Update
Hood Canal,Threatened,2500,Salmon Creek,Chum,Summer,2011,1.80,392595,218108,Updated by Josh W,,07/24/2015 01:59:05 PM
Hood Canal,Threatened,2500,Salmon Creek,Chum,Summer,2012,1.80,642296,356831,,,07/24/2015 01:59:05 PM
Hood Canal,Threatened,2500,Salmon Creek,Chum,Summer,2013,1.80,1213927,674404,,,07/24/2015 01:59:05 PM
Hood Canal,Threatened,2500,Salmon Creek,Chum,Summer,2014,1.80,1532376,851320,,,07/24/2015 01:59:05 PM
Lower Columbia River,Not Warranted,6682,Abernathy Creek,Steelhead,Winter,2001,,10458,,,,09/16/2016 04:21:27 PM
Lower Columbia River,Not Warranted,6682,Abernathy Creek,Steelhead,Winter,2002,,5287,,Strata Variance counts are 0.0004 and 0.0009 but the site won't allow that many decimal places,,10/03/2016 03:21:42 PM
Lower Columbia River,Not Warranted,6682,Abernathy Creek,Steelhead,Winter,2003,,4141,,,,09/16/2016 04:18:01 PM
Lower Columbia River,Not Warranted,6682,Abernathy Creek,Steelhead,Winter,2004,,5238,,,,09/16/2016 04:14:17 PM
Lower Columbia River,Not Warranted,6682,Abernathy Creek,Steelhead,Winter,2005,,2409,,,,03/03/2016 08:45:24 AM
Lower Columbia River,Not Warranted,6682,Abernathy Creek,Steelhead,Winter,2006,,2059,,,,03/03/2016 08:45:34 AM
Lower Columbia River,Not Warranted,6682,Abernathy Creek,Steelhead,Winter,2007,,1493,,,,03/03/2016 08:45:45 AM
Lower Columbia River,Not Warranted,6682,Abernathy Creek,Steelhead,Winter,2008,,1192,,,,03/03/2016 08:45:55 AM
Lower Columbia River,Not Warranted,6682,Abernathy Creek,Steelhead,Winter,2009,,1624,,,,03/03/2016 08:46:05 AM
Lower Columbia River,Not Warranted,6682,Abernathy Creek,Steelhead,Winter,2010,,3941,,,,03/03/2016 08:46:17 AM
Lower Columbia River,Not Warranted,6682,Abernathy Creek,Steelhead,Winter,2011,,2511,,,,03/03/2016 08:46:29 AM
Lower Columbia River,Not Warranted,6682,Abernathy Creek,Steelhead,Winter,2012,,4516,,,,03/03/2016 08:46:39 AM
Lower Columbia River,Not Warranted,6682,Abernathy Creek,Steelhead,Winter,2013,,2400,,,,03/03/2016 08:46:49 AM
Lower Columbia River,Not Warranted,6682,Abernathy Creek,Steelhead,Winter,2014,,2020,,,,03/03/2016 08:47:00 AM
Lower Columbia River,Not Warranted,6682,Abernathy Creek,Steelhead,Winter,2015,,2927,,,,03/04/2016 10:19:55 AM
Lower Columbia River,Not Warranted,6682,Abernathy Creek,Steelhead,Winter,2016,,1749,,,Trevor Johnson,12/15/2016 12:42:31 PM
Lower Columbia River,Not Warranted,6682,Abernathy Creek,Steelhead,Winter,2017,,3827,,,"James Lamperth, Jr",10/05/2018 12:05:12 PM
Lower Columbia River,Not Warranted,6682,Abernathy Creek,Steelhead,Winter,2018,,1838,,,"James Lamperth, Jr",02/27/2019 03:03:01 PM
Lower Columbia River,Not Warranted,6682,Abernathy Creek,Steelhead,Winter,2019,,1859,,,,11/20/2019 08:04:42 AM
Lower Columbia River,Not Warranted,6682,Germany Creek,Steelhead,Winter,2001,,7600,,,,02/19/2016 02:58:42 PM
Lower Columbia River,Not Warranted,6682,Germany Creek,Steelhead,Winter,2002,,7023,,,,09/19/2016 12:14:22 PM
Lower Columbia River,Not Warranted,6682,Germany Creek,Steelhead,Winter,2003,,5936,,,,09/19/2016 12:10:43 PM
Lower Columbia River,Not Warranted,6682,Germany Creek,Steelhead,Winter,2004,,7426,,,,09/19/2016 12:06:35 PM
Lower Columbia River,Not Warranted,6682,Germany Creek,Steelhead,Winter,2005,,7309,,,,02/19/2016 02:59:39 PM
Lower Columbia River,Not Warranted,6682,Germany Creek,Steelhead,Winter,2006,,3164,,,,01/14/2016 03:14:18 PM
Lower Columbia River,Not Warranted,6682,Germany Creek,Steelhead,Winter,2007,,4141,,,,01/14/2016 03:14:53 PM
Lower Columbia River,Not Warranted,6682,Germany Creek,Steelhead,Winter,2008,,3697,,,,01/14/2016 03:15:32 PM
Lower Columbia River,Not Warranted,6682,Germany Creek,Steelhead,Winter,2009,,4889,,,,01/14/2016 03:16:14 PM
Lower Columbia River,Not Warranted,6682,Germany Creek,Steelhead,Winter,2010,,6104,,,,01/14/2016 03:16:46 PM
Lower Columbia River,Not Warranted,6682,Germany Creek,Steelhead,Winter,2011,,4528,,,,01/14/2016 03:17:27 PM
Lower Columbia River,Not Warranted,6682,Germany Creek,Steelhead,Winter,2012,,5145,,,,01/14/2016 03:18:07 PM
Lower Columbia River,Not Warranted,6682,Germany Creek,Steelhead,Winter,2013,,5220,,,,01/14/2016 03:18:42 PM
Lower Columbia River,Not Warranted,6682,Germany Creek,Steelhead,Winter,2014,,5647,,,,01/14/2016 03:19:29 PM
Lower Columbia River,Not Warranted,6682,Germany Creek,Steelhead,Winter,2015,,3969,,,,03/04/2016 10:54:47 AM
Lower Columbia River,Not Warranted,6682,Germany Creek,Steelhead,Winter,2016,,3599,,,Trevor Johnson,12/15/2016 12:36:32 PM
Lower Columbia River,Not Warranted,6682,Germany Creek,Steelhead,Winter,2017,,2521,,,"James Lamperth, Jr",10/05/2018 03:53:38 PM
Lower Columbia River,Not Warranted,6682,Germany Creek,Steelhead,Winter,2018,,1984,,,"James Lamperth, Jr",03/13/2019 03:13:35 PM
Lower Columbia River,Not Warranted,6682,Germany Creek,Steelhead,Winter,2019,,3098,,,"James Lamperth, Jr",11/20/2019 08:38:19 AM
Lower Columbia River,Not Warranted,6682,Mill Creek,Steelhead,Winter,2001,,1710,,,,03/03/2016 10:37:57 AM
Lower Columbia River,Not Warranted,6682,Mill Creek,Steelhead,Winter,2002,,3102,,,,09/16/2016 05:12:00 PM
Lower Columbia River,Not Warranted,6682,Mill Creek,Steelhead,Winter,2003,,1383,,,,09/16/2016 05:10:06 PM
Lower Columbia River,Not Warranted,6682,Mill Creek,Steelhead,Winter,2004,,2250,,,,09/16/2016 05:03:07 PM
Lower Columbia River,Not Warranted,6682,Mill Creek,Steelhead,Winter,2005,,1279,,,,03/03/2016 10:38:37 AM
Lower Columbia River,Not Warranted,6682,Mill Creek,Steelhead,Winter,2006,,833,,,,03/03/2016 10:38:48 AM
Lower Columbia River,Not Warranted,6682,Mill Creek,Steelhead,Winter,2007,,805,,,,03/03/2016 10:38:58 AM
Lower Columbia River,Not Warranted,6682,Mill Creek,Steelhead,Winter,2008,,1256,,,,03/03/2016 10:39:12 AM
Lower Columbia River,Not Warranted,6682,Mill Creek,Steelhead,Winter,2009,,2097,,,,03/03/2016 10:39:22 AM
Lower Columbia River,Not Warranted,6682,Mill Creek,Steelhead,Winter,2010,,1673,,,,03/03/2016 10:39:33 AM
Lower Columbia River,Not Warranted,6682,Mill Creek,Steelhead,Winter,2011,,1307,,,,03/03/2016 10:39:43 AM
Lower Columbia River,Not Warranted,6682,Mill Creek,Steelhead,Winter,2012,,1760,,,,03/03/2016 10:39:53 AM
Lower Columbia River,Not Warranted,6682,Mill Creek,Steelhead,Winter,2013,,846,,,,03/03/2016 10:40:01 AM
Lower Columbia River,Not Warranted,6682,Mill Creek,Steelhead,Winter,2014,,625,,,,03/03/2016 10:40:11 AM
Lower Columbia River,Not Warranted,6682,Mill Creek,Steelhead,Winter,2015,,1588,,,,03/04/2016 11:05:51 AM
Lower Columbia River,Not Warranted,6682,Mill Creek,Steelhead,Winter,2016,,1063,,,Trevor Johnson,05/15/2019 11:25:31 AM
Lower Columbia River,Not Warranted,6682,Mill Creek,Steelhead,Winter,2017,,647,,,"James Lamperth, Jr",10/05/2018 11:31:49 AM
Lower Columbia River,Not Warranted,6682,Mill Creek,Steelhead,Winter,2018,,1218,,,"James Lamperth, Jr",03/01/2019 01:00:08 PM
Lower Columbia River,Not Warranted,6682,Mill Creek,Steelhead,Winter,2019,,1039,,,"James Lamperth, Jr",11/20/2019 08:58:50 AM
Lower Columbia River,Not Warranted,7680,Abernathy Creek,Cutthroat,Anadromous Coastal,2001,,769,,,,03/03/2016 09:00:06 AM
Lower Columbia River,Not Warranted,7680,Abernathy Creek,Cutthroat,Anadromous Coastal,2002,,1360,,,,09/16/2016 04:19:50 PM
Lower Columbia River,Not Warranted,7680,Abernathy Creek,Cutthroat,Anadromous Coastal,2003,,531,,,,09/25/2019 12:42:35 PM
Lower Columbia River,Not Warranted,7680,Abernathy Creek,Cutthroat,Anadromous Coastal,2004,,733,,,,09/16/2016 04:14:58 PM
Lower Columbia River,Not Warranted,7680,Abernathy Creek,Cutthroat,Anadromous Coastal,2005,,1019,,,,03/03/2016 09:00:50 AM
Lower Columbia River,Not Warranted,7680,Abernathy Creek,Cutthroat,Anadromous Coastal,2006,,559,,,,03/03/2016 09:00:59 AM
Lower Columbia River,Not Warranted,7680,Abernathy Creek,Cutthroat,Anadromous Coastal,2007,,682,,,,03/03/2016 09:01:09 AM
Lower Columbia River,Not Warranted,7680,Abernathy Creek,Cutthroat,Anadromous Coastal,2008,,311,,,,10/03/2016 03:39:53 PM
Lower Columbia River,Not Warranted,7680,Abernathy Creek,Cutthroat,Anadromous Coastal,2009,,620,,,,10/03/2016 03:40:02 PM
Lower Columbia River,Not Warranted,7680,Abernathy Creek,Cutthroat,Anadromous Coastal,2010,,771,,,,10/03/2016 03:40:12 PM
Lower Columbia River,Not Warranted,7680,Abernathy Creek,Cutthroat,Anadromous Coastal,2011,,664,,,,10/03/2016 03:40:21 PM
Lower Columbia River,Not Warranted,7680,Abernathy Creek,Cutthroat,Anadromous Coastal,2012,,2475,,,,10/03/2016 03:40:31 PM
Lower Columbia River,Not Warranted,7680,Abernathy Creek,Cutthroat,Anadromous Coastal,2013,,1501,,,,10/03/2016 03:40:42 PM
Lower Columbia River,Not Warranted,7680,Abernathy Creek,Cutthroat,Anadromous Coastal,2014,,310,,,,03/04/2016 10:25:25 AM
Lower Columbia River,Not Warranted,7680,Abernathy Creek,Cutthroat,Anadromous Coastal,2015,,597,,,,09/16/2016 03:04:36 PM
Lower Columbia River,Not Warranted,7680,Abernathy Creek,Cutthroat,Anadromous Coastal,2016,,812,,,Trevor Johnson,12/14/2016 12:19:16 PM
Lower Columbia River,Not Warranted,7680,Abernathy Creek,Cutthroat,Anadromous Coastal,2017,,1298,,,"James Lamperth, Jr",10/05/2018 12:08:21 PM
Lower Columbia River,Not Warranted,7680,Abernathy Creek,Cutthroat,Anadromous Coastal,2018,,759,,,"James Lamperth, Jr",02/27/2019 03:16:34 PM
Lower Columbia River,Not Warranted,7680,Abernathy Creek,Cutthroat,Anadromous Coastal,2019,,524,,,,11/20/2019 08:06:55 AM
Lower Columbia River,Not Warranted,7680,Germany Creek,Cutthroat,Anadromous Coastal,2001,,353,,,,03/03/2016 10:12:42 AM
Lower Columbia River,Not Warranted,7680,Germany Creek,Cutthroat,Anadromous Coastal,2002,,1050,,,,09/19/2016 12:15:11 PM
Lower Columbia River,Not Warranted,7680,Germany Creek,Cutthroat,Anadromous Coastal,2003,,563,,,,09/19/2016 12:11:51 PM
Lower Columbia River,Not Warranted,7680,Germany Creek,Cutthroat,Anadromous Coastal,2004,,395,,,,09/19/2016 12:07:45 PM
Lower Columbia River,Not Warranted,7680,Germany Creek,Cutthroat,Anadromous Coastal,2005,,523,,,,03/03/2016 10:13:23 AM
Lower Columbia River,Not Warranted,7680,Germany Creek,Cutthroat,Anadromous Coastal,2006,,904,,,,03/03/2016 10:13:34 AM
Lower Columbia River,Not Warranted,7680,Germany Creek,Cutthroat,Anadromous Coastal,2007,,453,,,,10/04/2016 09:25:39 AM
Lower Columbia River,Not Warranted,7680,Germany Creek,Cutthroat,Anadromous Coastal,2008,,175,,,,10/04/2016 09:25:51 AM
Lower Columbia River,Not Warranted,7680,Germany Creek,Cutthroat,Anadromous Coastal,2009,,469,,,,10/04/2016 09:26:01 AM
Lower Columbia River,Not Warranted,7680,Germany Creek,Cutthroat,Anadromous Coastal,2010,,678,,,,10/04/2016 09:36:05 AM
Lower Columbia River,Not Warranted,7680,Germany Creek,Cutthroat,Anadromous Coastal,2011,,541,,,,10/04/2016 09:36:14 AM
Lower Columbia River,Not Warranted,7680,Germany Creek,Cutthroat,Anadromous Coastal,2012,,618,,,,10/04/2016 09:36:24 AM
Lower Columbia River,Not Warranted,7680,Germany Creek,Cutthroat,Anadromous Coastal,2013,,577,,,,10/04/2016 09:36:59 AM
Lower Columbia River,Not Warranted,7680,Germany Creek,Cutthroat,Anadromous Coastal,2014,,934,,,,10/04/2016 09:37:09 AM
Lower Columbia River,Not Warranted,7680,Germany Creek,Cutthroat,Anadromous Coastal,2015,,1011,,,,10/04/2016 09:37:19 AM
Lower Columbia River,Not Warranted,7680,Germany Creek,Cutthroat,Anadromous Coastal,2016,,675,,,Trevor Johnson,12/15/2016 12:39:54 PM
Lower Columbia River,Not Warranted,7680,Germany Creek,Cutthroat,Anadromous Coastal,2017,,438,,,"James Lamperth, Jr",10/05/2018 03:55:48 PM
Lower Columbia River,Not Warranted,7680,Germany Creek,Cutthroat,Anadromous Coastal,2018,,458,,,"James Lamperth, Jr",03/14/2019 03:13:04 PM
Lower Columbia River,Not Warranted,7680,Germany Creek,Cutthroat,Anadromous Coastal,2019,,313,,,"James Lamperth, Jr",11/20/2019 08:36:21 AM
Lower Columbia River,Not Warranted,7680,Mill Creek,Cutthroat,Anadromous Coastal,2001,,522,,,,03/03/2016 10:42:48 AM
Lower Columbia River,Not Warranted,7680,Mill Creek,Cutthroat,Anadromous Coastal,2002,,1870,,,,09/16/2016 05:13:01 PM
Lower Columbia River,Not Warranted,7680,Mill Creek,Cutthroat,Anadromous Coastal,2003,,574,,,,09/16/2016 05:10:39 PM
Lower Columbia River,Not Warranted,7680,Mill Creek,Cutthroat,Anadromous Coastal,2004,,1053,,,,09/16/2016 05:08:28 PM
Lower Columbia River,Not Warranted,7680,Mill Creek,Cutthroat,Anadromous Coastal,2005,,1784,,,,03/03/2016 10:43:46 AM
Lower Columbia River,Not Warranted,7680,Mill Creek,Cutthroat,Anadromous Coastal,2006,,2527,,,,10/04/2016 11:49:30 AM
Lower Columbia River,Not Warranted,7680,Mill Creek,Cutthroat,Anadromous Coastal,2007,,1288,,,,10/04/2016 11:49:38 AM
Lower Columbia River,Not Warranted,7680,Mill Creek,Cutthroat,Anadromous Coastal,2008,,1180,,,,10/04/2016 11:49:47 AM
Lower Columbia River,Not Warranted,7680,Mill Creek,Cutthroat,Anadromous Coastal,2009,,1667,,,,10/04/2016 11:49:56 AM
Lower Columbia River,Not Warranted,7680,Mill Creek,Cutthroat,Anadromous Coastal,2010,,1317,,,,10/04/2016 11:50:04 AM
Lower Columbia River,Not Warranted,7680,Mill Creek,Cutthroat,Anadromous Coastal,2011,,1114,,,,10/04/2016 11:50:12 AM
Lower Columbia River,Not Warranted,7680,Mill Creek,Cutthroat,Anadromous Coastal,2012,,2094,,,,10/04/2016 11:50:20 AM
Lower Columbia River,Not Warranted,7680,Mill Creek,Cutthroat,Anadromous Coastal,2013,,1402,,,,10/04/2016 11:50:28 AM
Lower Columbia River,Not Warranted,7680,Mill Creek,Cutthroat,Anadromous Coastal,2014,,431,,,,10/04/2016 11:50:35 AM
Lower Columbia River,Not Warranted,7680,Mill Creek,Cutthroat,Anadromous Coastal,2015,,1575,,,,10/04/2016 11:50:45 AM
Lower Columbia River,Not Warranted,7680,Mill Creek,Cutthroat,Anadromous Coastal,2016,,1437,,,Trevor Johnson,12/13/2016 03:27:24 PM
Lower Columbia River,Not Warranted,7680,Mill Creek,Cutthroat,Anadromous Coastal,2017,,1921,,,"James Lamperth, Jr",10/05/2018 11:34:53 AM
Lower Columbia River,Not Warranted,7680,Mill Creek,Cutthroat,Anadromous Coastal,2018,,1261,,,"James Lamperth, Jr",03/01/2019 01:09:13 PM
Lower Columbia River,Not Warranted,7680,Mill Creek,Cutthroat,Anadromous Coastal,2019,,889,,,"James Lamperth, Jr",11/20/2019 08:57:39 AM
Lower Columbia River,Not Warranted,7800,Coweeman River,Cutthroat,Anadromous Coastal,2005,,3001,,,,08/23/2018 10:46:59 AM
Lower Columbia River,Not Warranted,7800,Coweeman River,Cutthroat,Anadromous Coastal,2006,,1920,,,,10/06/2016 02:36:53 PM
Lower Columbia River,Not Warranted,7800,Coweeman River,Cutthroat,Anadromous Coastal,2007,,2841,,,,10/06/2016 02:39:04 PM
Lower Columbia River,Not Warranted,7800,Coweeman River,Cutthroat,Anadromous Coastal,2008,,1628,,,,10/06/2016 02:42:08 PM
Lower Columbia River,Not Warranted,7800,Coweeman River,Cutthroat,Anadromous Coastal,2009,,,,Did not operate trap due to funding and staffing,,10/06/2016 02:44:03 PM
Lower Columbia River,Not Warranted,7800,Coweeman River,Cutthroat,Anadromous Coastal,2010,,5552,,,,10/06/2016 02:47:09 PM
Lower Columbia River,Not Warranted,7800,Coweeman River,Cutthroat,Anadromous Coastal,2011,,2034,,,,10/06/2016 02:48:22 PM
Lower Columbia River,Not Warranted,7800,Coweeman River,Cutthroat,Anadromous Coastal,2012,,2658,,,,03/03/2016 08:29:48 AM
Lower Columbia River,Not Warranted,7800,Coweeman River,Cutthroat,Anadromous Coastal,2013,,2842,,,,03/03/2016 08:30:06 AM
Lower Columbia River,Not Warranted,7800,Coweeman River,Cutthroat,Anadromous Coastal,2014,,4003,,,,03/03/2016 08:30:22 AM
Lower Columbia River,Not Warranted,7800,Coweeman River,Cutthroat,Anadromous Coastal,2016,,2740,,,"James Lamperth, Jr",12/22/2016 11:14:56 AM
Lower Columbia River,Not Warranted,7800,Coweeman River,Cutthroat,Anadromous Coastal,2017,,1636,,,"James Lamperth, Jr",01/09/2018 01:22:19 PM
Lower Columbia River,Not Warranted,7800,Coweeman River,Cutthroat,Anadromous Coastal,2018,,1494,,"Website won't accept strata Coefficient of Variation values over 1, so those omitted.",Jeremy Wilson,11/21/2018 12:28:33 PM
Lower Columbia River,Not Warranted,7840,Kalama River,Cutthroat,Anadromous Coastal,2014,,1797,,,,03/03/2016 08:30:58 AM
Lower Columbia River,Not Warranted,7840,Kalama River,Cutthroat,Anadromous Coastal,2016,,1764,,,"James Lamperth, Jr",12/19/2016 04:16:43 PM
Lower Columbia River,Not Warranted,7840,Kalama River,Cutthroat,Anadromous Coastal,2017,,1849,,,"James Lamperth, Jr",08/23/2018 10:57:29 AM
Lower Columbia River,Not Warranted,7840,Kalama River,Cutthroat,Anadromous Coastal,2018,,1100,,,Jeremy Wilson,02/22/2019 12:33:02 PM
Lower Columbia River,Not Warranted,7840,Kalama River,Cutthroat,Anadromous Coastal,2019,,1230,,,Jeremy Wilson,11/21/2019 02:48:59 PM
Lower Columbia River,Threatened,1525,Abernathy Creek,Chinook,Fall,2005,14.60,529521,36269,Updated by MSZ - 8/2014,Trevor Johnson,03/03/2016 08:47:38 AM
Lower Columbia River,Threatened,1525,Abernathy Creek,Chinook,Fall,2006,14.60,139399,9548,,Trevor Johnson,03/03/2016 08:47:52 AM
Lower Columbia River,Threatened,1525,Abernathy Creek,Chinook,Fall,2007,14.60,4014,275,,Trevor Johnson,03/03/2016 08:48:05 AM
Lower Columbia River,Threatened,1525,Abernathy Creek,Chinook,Fall,2008,14.60,10780,738,,Trevor Johnson,03/03/2016 08:48:19 AM
Lower Columbia River,Threatened,1525,Abernathy Creek,Chinook,Fall,2009,14.60,407,28,,Trevor Johnson,03/03/2016 08:48:31 AM
Lower Columbia River,Threatened,1525,Abernathy Creek,Chinook,Fall,2010,14.60,150431,10303,,Trevor Johnson,03/03/2016 08:48:42 AM
Lower Columbia River,Threatened,1525,Abernathy Creek,Chinook,Fall,2011,14.60,157002,10754,,Trevor Johnson,03/03/2016 08:48:57 AM
Lower Columbia River,Threatened,1525,Abernathy Creek,Chinook,Fall,2012,14.60,69571,4765,,Trevor Johnson,03/03/2016 08:49:13 AM
Lower Columbia River,Threatened,1525,Abernathy Creek,Chinook,Fall,2013,14.60,36209,2480,,Trevor Johnson,03/03/2016 08:49:25 AM
Lower Columbia River,Threatened,1525,Abernathy Creek,Chinook,Fall,2014,14.60,61614,4220,,Trevor Johnson,03/03/2016 08:49:35 AM
Lower Columbia River,Threatened,1525,Abernathy Creek,Chinook,Fall,2015,14.60,13229,906,,Trevor Johnson,03/04/2016 10:06:33 AM
Lower Columbia River,Threatened,1525,Abernathy Creek,Chinook,Fall,2017,,60780,,,"James Lamperth, Jr",10/05/2018 11:55:13 AM
Lower Columbia River,Threatened,1525,Abernathy Creek,Chinook,Fall,2018,,9336,,,"James Lamperth, Jr",02/27/2019 02:11:59 PM
Lower Columbia River,Threatened,1525,Abernathy Creek,Chinook,Fall,2019,,1075,,,,11/20/2019 07:52:57 AM
Lower Columbia River,Threatened,1525,Germany Creek,Chinook,Fall,2005,9.70,2882618,297177,Updated by MSZ - 8/2014,Trevor Johnson,03/03/2016 10:20:41 AM
Lower Columbia River,Threatened,1525,Germany Creek,Chinook,Fall,2006,9.70,166532,17168,,Trevor Johnson,03/03/2016 10:20:52 AM
Lower Columbia River,Threatened,1525,Germany Creek,Chinook,Fall,2007,9.70,977,101,Missing in Excel Spreadsheet,Trevor Johnson,03/03/2016 10:21:36 AM
Lower Columbia River,Threatened,1525,Germany Creek,Chinook,Fall,2008,9.70,17129,1766,,Trevor Johnson,03/03/2016 10:21:48 AM
Lower Columbia River,Threatened,1525,Germany Creek,Chinook,Fall,2009,9.70,4318,445,,Trevor Johnson,03/03/2016 10:22:00 AM
Lower Columbia River,Threatened,1525,Germany Creek,Chinook,Fall,2010,9.70,23515,2424,,Trevor Johnson,03/03/2016 10:22:14 AM
Lower Columbia River,Threatened,1525,Germany Creek,Chinook,Fall,2011,9.70,162600,16763,,Trevor Johnson,03/03/2016 10:22:31 AM
Lower Columbia River,Threatened,1525,Germany Creek,Chinook,Fall,2012,9.70,266272,27451,,Trevor Johnson,03/03/2016 10:22:45 AM
Lower Columbia River,Threatened,1525,Germany Creek,Chinook,Fall,2013,9.70,15586,1607,,Trevor Johnson,03/03/2016 10:23:09 AM
Lower Columbia River,Threatened,1525,Germany Creek,Chinook,Fall,2014,9.70,204769,21110,,Trevor Johnson,03/03/2016 10:23:24 AM
Lower Columbia River,Threatened,1525,Germany Creek,Chinook,Fall,2015,9.70,71349,7356,,Trevor Johnson,03/04/2016 10:54:10 AM
Lower Columbia River,Threatened,1525,Germany Creek,Chinook,Fall,2017,,32341,,,"James Lamperth, Jr",10/05/2018 03:46:45 PM
Lower Columbia River,Threatened,1525,Germany Creek,Chinook,Fall,2018,,11275,,,"James Lamperth, Jr",03/13/2019 10:48:41 AM
Lower Columbia River,Threatened,1525,Germany Creek,Chinook,Fall,2019,,2512,,,"James Lamperth, Jr",11/20/2019 08:27:59 AM
Lower Columbia River,Threatened,1525,Mill Creek,Chinook,Fall,2005,12.20,246475,20203,Updated by MSZ - 8/2014,Trevor Johnson,03/03/2016 10:22:47 AM
Lower Columbia River,Threatened,1525,Mill Creek,Chinook,Fall,2006,12.20,398073,32629,,Trevor Johnson,03/03/2016 10:23:10 AM
Lower Columbia River,Threatened,1525,Mill Creek,Chinook,Fall,2007,12.20,20424,1674,,Trevor Johnson,03/03/2016 10:23:27 AM
Lower Columbia River,Threatened,1525,Mill Creek,Chinook,Fall,2008,12.20,29995,2459,,Trevor Johnson,03/03/2016 10:23:40 AM
Lower Columbia River,Threatened,1525,Mill Creek,Chinook,Fall,2009,12.20,7896,647,,Trevor Johnson,03/03/2016 10:23:52 AM
Lower Columbia River,Threatened,1525,Mill Creek,Chinook,Fall,2010,12.20,207644,17020,,Trevor Johnson,03/03/2016 10:24:06 AM
Lower Columbia River,Threatened,1525,Mill Creek,Chinook,Fall,2011,12.20,435340,35684,,Trevor Johnson,03/03/2016 10:24:35 AM
Lower Columbia River,Threatened,1525,Mill Creek,Chinook,Fall,2012,12.20,400592,32835,,Trevor Johnson,03/03/2016 10:24:52 AM
Lower Columbia River,Threatened,1525,Mill Creek,Chinook,Fall,2013,12.20,56852,4660,,Trevor Johnson,03/03/2016 10:25:04 AM
