Program Administrator,Program Name,Fuel Type,Sector,Net Fuel Savings Acquired,Fuel Savings Unit,Cumulative Net Energy Savings Acquired as of Date
Rochester Gas and Electric Corporation,C&I Electric Program,Electric,Commercial,23856.54,MWh,09/30/2014
Rochester Gas and Electric Corporation,C&I Prescriptive Rebate Program,Electric,Commercial,871.54,MWh,09/30/2014
Rochester Gas and Electric Corporation,Small Business Direct Install Program,Electric,Commercial,48231.07,MWh,09/30/2014
Rochester Gas and Electric Corporation,Multifamily Program,Electric,Multifamily,13750.73,MWh,09/30/2014
Rochester Gas and Electric Corporation,* Residential HVAC Program,Electric,Residential,11603.91,MWh,09/30/2014
Rochester Gas and Electric Corporation,Energy Saver Program,Electric,Residential,527.00,MWh,09/30/2014
Rochester Gas and Electric Corporation,Refrigerator and Freezer Recycling Program,Electric,Residential,22108.88,MWh,09/30/2014
"Consolidated Edison Company of New York, Inc.",* C&I Custom Efficiency Program,Gas,Commercial,-66331.60,Dth,09/30/2014
"Consolidated Edison Company of New York, Inc.",* C&I Equipment Rebate Program,Gas,Commercial,-22877.80,Dth,09/30/2014
"Consolidated Edison Company of New York, Inc.",* Small Business Direct Install Program,Gas,Commercial,-349.68,Dth,09/30/2014
"Consolidated Edison Company of New York, Inc.",C&I Custom Gas Efficiency Program,Gas,Commercial,60311.37,Dth,09/30/2014
"Consolidated Edison Company of New York, Inc.",C&I Gas Efficient Equipment Rebate Program,Gas,Commercial,216265.53,Dth,09/30/2014
"Consolidated Edison Company of New York, Inc.",* Multifamily Energy Efficiency Program,Gas,Multifamily,-27855.10,Dth,09/30/2014
"Consolidated Edison Company of New York, Inc.",Multifamily Energy Efficiency Program,Gas,Multifamily,567190.27,Dth,09/30/2014
"Consolidated Edison Company of New York, Inc.",Multifamily Low-Income Program,Gas,Multifamily,26800.19,Dth,09/30/2014
"Consolidated Edison Company of New York, Inc.",* Residential Direct Installation Program,Gas,Residential,21.74,Dth,09/30/2014
"Consolidated Edison Company of New York, Inc.",Residential HVAC Program,Gas,Residential,132291.38,Dth,09/30/2014
Central Hudson Gas & Electric Corporation,Small and Mid-Size Commercial Buildings,Gas,Commercial,8575.97,Dth,09/30/2014
Central Hudson Gas & Electric Corporation,Home Energy Reporting,Gas,Residential,58572.57,Dth,09/30/2014
Central Hudson Gas & Electric Corporation,Residential HVAC Program,Gas,Residential,45175.84,Dth,09/30/2014
Corning Natural Gas Corporation,Small Commercial HVAC Program,Gas,Commercial,951.90,Dth,09/30/2014
Corning Natural Gas Corporation,Residential HVAC Program,Gas,Residential,19644.60,Dth,09/30/2014
New York State Energy Research and Development Authority,* Agricultural Disaster Program,Gas,Commercial,5274.00,Dth,09/30/2014
New York State Energy Research and Development Authority,* Existing Facilities Program,Gas,Commercial,-72391.47,Dth,09/30/2014
New York State Energy Research and Development Authority,* FlexTech Expansion Program,Gas,Commercial,-795386.81,Dth,09/30/2014
New York State Energy Research and Development Authority,* New Construction Program,Gas,Commercial,257539.63,Dth,09/30/2014
New York State Energy Research and Development Authority,Agricultural Energy Efficiency,Gas,Commercial,13158.62,Dth,09/30/2014
New York State Energy Research and Development Authority,Existing Facilities Program,Gas,Commercial,178884.33,Dth,09/30/2014
New York State Energy Research and Development Authority,Flex Tech Program,Gas,Commercial,206127.99,Dth,09/30/2014
New York State Energy Research and Development Authority,Industrial & Process Efficiency Program,Gas,Commercial,1643524.37,Dth,09/30/2014
New York State Energy Research and Development Authority,New Construction Program,Gas,Commercial,90436.77,Dth,09/30/2014
New York State Energy Research and Development Authority,* Low-Income Multifamily Performance Program,Gas,Multifamily,-4767.71,Dth,09/30/2014
New York State Energy Research and Development Authority,* Multifamily Performance Program,Gas,Multifamily,18713.98,Dth,09/30/2014
New York State Energy Research and Development Authority,Low-Income Multifamily Performance Program,Gas,Multifamily,182702.91,Dth,09/30/2014
New York State Energy Research and Development Authority,Multifamily Performance Program,Gas,Multifamily,127347.26,Dth,09/30/2014
New York State Energy Research and Development Authority,* Assisted Home Performance with Energy Star,Gas,Residential,-440.22,Dth,09/30/2014
New York State Energy Research and Development Authority,* EmPower New York Program,Gas,Residential,-13707.68,Dth,09/30/2014
New York State Energy Research and Development Authority,* Home Performance with Energy Star,Gas,Residential,-104.10,Dth,09/30/2014
New York State Energy Research and Development Authority,Assisted Home Performance with Energy Star,Gas,Residential,162791.24,Dth,09/30/2014
New York State Energy Research and Development Authority,Assisted NY Energy Star Homes,Gas,Residential,37681.94,Dth,09/30/2014
New York State Energy Research and Development Authority,EmPower New York,Gas,Residential,413704.92,Dth,09/30/2014
New York State Energy Research and Development Authority,Home Performance with Energy Star,Gas,Residential,287698.26,Dth,09/30/2014
New York State Energy Research and Development Authority,New York Energy Star Homes,Gas,Residential,331552.11,Dth,09/30/2014
KeySpan Gas East Corp. d/b/a National Grid,Commercial & Industrial Gas Energy Efficiency Program,Gas,Commercial,188579.03,Dth,09/30/2014
KeySpan Gas East Corp. d/b/a National Grid,Commercial Energy Efficiency Program,Gas,Commercial,87250.27,Dth,09/30/2014
KeySpan Gas East Corp. d/b/a National Grid,Large Industrial Energy Efficiency Program,Gas,Commercial,68109.50,Dth,09/30/2014
KeySpan Gas East Corp. d/b/a National Grid,Multifamily Energy Efficiency Program,Gas,Multifamily,13904.10,Dth,09/30/2014
KeySpan Gas East Corp. d/b/a National Grid,Enhanced Home Sealing Incentives Program,Gas,Residential,3498.10,Dth,09/30/2014
KeySpan Gas East Corp. d/b/a National Grid,Residential Energy Star Products Program,Gas,Residential,2386.38,Dth,09/30/2014
KeySpan Gas East Corp. d/b/a National Grid,"Residential High Efficiency Heating, Water Heating & Controls Programs",Gas,Residential,98063.06,Dth,09/30/2014
KeySpan Gas East Corp. d/b/a National Grid,Residential HVAC Program,Gas,Residential,210886.70,Dth,09/30/2014
The Brooklyn Union Gas Company d/b/a National Grid NY,Commercial & Industrial Gas Energy Efficiency Program,Gas,Commercial,187626.96,Dth,09/30/2014
The Brooklyn Union Gas Company d/b/a National Grid NY,Commercial Energy Efficiency Program,Gas,Commercial,74885.45,Dth,09/30/2014
The Brooklyn Union Gas Company d/b/a National Grid NY,Large Industrial Energy Efficiency Program,Gas,Commercial,157318.79,Dth,09/30/2014
The Brooklyn Union Gas Company d/b/a National Grid NY,Multifamily Energy Efficiency Program,Gas,Multifamily,56475.06,Dth,09/30/2014
The Brooklyn Union Gas Company d/b/a National Grid NY,Enhanced Home Sealing Incentives Program,Gas,Residential,3995.35,Dth,09/30/2014
The Brooklyn Union Gas Company d/b/a National Grid NY,Residential Energy Star Products Program,Gas,Residential,1591.13,Dth,09/30/2014
The Brooklyn Union Gas Company d/b/a National Grid NY,"Residential High Efficiency Heating, Water Heating & Controls Programs",Gas,Residential,25265.79,Dth,09/30/2014
The Brooklyn Union Gas Company d/b/a National Grid NY,Residential HVAC Program,Gas,Residential,107635.43,Dth,09/30/2014
National Fuel Gas Distribution Corporation,Small Non-Residential Rebate (Existing Facilities),Gas,Commercial,72585.61,Dth,09/30/2014
National Fuel Gas Distribution Corporation,Low-Income Usage Reduction Program (EmPower),Gas,Residential,101793.39,Dth,09/30/2014
National Fuel Gas Distribution Corporation,Residential Rebate Program,Gas,Residential,759854.75,Dth,09/30/2014
Niagara Mohawk Power Corporation,Commercial & Industrial Gas Energy Efficiency Program,Gas,Commercial,261623.74,Dth,09/30/2014
Niagara Mohawk Power Corporation,Commercial High-Eff. Heating and Water Heating,Gas,Commercial,34992.18,Dth,09/30/2014
Niagara Mohawk Power Corporation,Energy Initiative Program - Large Industrial,Gas,Commercial,60555.66,Dth,09/30/2014
Niagara Mohawk Power Corporation,Energy Initiative Program - Mid-Size C&I,Gas,Commercial,59347.53,Dth,09/30/2014
Niagara Mohawk Power Corporation,Energy Wise Program,Gas,Multifamily,102558.60,Dth,09/30/2014
Niagara Mohawk Power Corporation,Enhanced Home Sealing Incentives Program,Gas,Residential,8016.89,Dth,09/30/2014
Niagara Mohawk Power Corporation,Residential Building Practices and Demonstration,Gas,Residential,560218.90,Dth,09/30/2014
Niagara Mohawk Power Corporation,Residential Energy Star Products Program,Gas,Residential,7900.16,Dth,09/30/2014
Niagara Mohawk Power Corporation,"Residential High Efficiency Heating, Water Heating & Controls",Gas,Residential,169862.08,Dth,09/30/2014
Niagara Mohawk Power Corporation,Residential HVAC Program,Gas,Residential,731647.73,Dth,09/30/2014
New York State Electric & Gas Corporation,C&I Custom Rebate Program,Gas,Commercial,2842.39,Dth,09/30/2014
New York State Electric & Gas Corporation,C&I Gas Program,Gas,Commercial,26999.14,Dth,09/30/2014
New York State Electric & Gas Corporation,C&I Prescriptive Rebate Program,Gas,Commercial,15624.34,Dth,09/30/2014
New York State Electric & Gas Corporation,Energy Saver Program,Gas,Residential,0.00,Dth,09/30/2014
New York State Electric & Gas Corporation,Residential HVAC Program,Gas,Residential,419001.59,Dth,09/30/2014
"Orange and Rockland Utilities, Inc.",Residential HVAC Program,Gas,Residential,55073.80,Dth,09/30/2014
Rochester Gas and Electric Corporation,C&I Custom Rebate Program,Gas,Commercial,496.00,Dth,09/30/2014
Rochester Gas and Electric Corporation,C&I Gas Program,Gas,Commercial,43609.98,Dth,09/30/2014
Rochester Gas and Electric Corporation,C&I Prescriptive Rebate Program,Gas,Commercial,23859.30,Dth,09/30/2014
Rochester Gas and Electric Corporation,Energy Saver Program,Gas,Residential,0.00,Dth,09/30/2014
Rochester Gas and Electric Corporation,Residential HVAC Program,Gas,Residential,716282.37,Dth,09/30/2014
"St. Lawrence Gas Company, Inc.",Small Commercial HVAC Program,Gas,Commercial,1751.17,Dth,09/30/2014
"St. Lawrence Gas Company, Inc.",Residential Gas HVAC Program,Gas,Residential,16910.91,Dth,09/30/2014
New York State Energy Research and Development Authority,EmPower New York,Gas,Residential,441669.63,Dth,12/31/2014
New York State Electric & Gas Corporation,Multifamily Program,Electric,Multi-Family,11612.85,MWh,12/31/2014
"Consolidated Edison Company of New York, Inc.",* Multifamily Energy Efficiency Program,Gas,Multi-Family,-29549.25,Dth,12/31/2014
"Consolidated Edison Company of New York, Inc.",Residential Direct Installation Program,Electric,Residential,2663.10,MWh,12/31/2014
The Brooklyn Union Gas Company d/b/a National Grid NY,Commercial Energy Efficiency Program,Gas,Commercial,74885.45,Dth,12/31/2014
Central Hudson Gas & Electric Corporation,Small and Mid-Size Commercial Buildings,Gas,Commercial,9300.24,Dth,12/31/2014
Corning Natural Gas Corporation,Residential HVAC Program,Gas,Residential,20886.60,Dth,12/31/2014
KeySpan Gas East Corp. d/b/a National Grid,Residential Energy Star Products Program,Gas,Residential,2386.38,Dth,12/31/2014
New York State Energy Research and Development Authority,Industrial & Process Efficiency Program,Electric,Commercial,558844.33,MWh,12/31/2014
Niagara Mohawk Power Corporation,"Residential High Efficiency Heating, Water Heating & Controls",Gas,Residential,294771.39,Dth,12/31/2014
Niagara Mohawk Power Corporation,Commercial & Industrial Gas Energy Efficiency Program,Gas,Commercial,332410.51,Dth,12/31/2014
New York State Energy Research and Development Authority,Industrial & Process Efficiency Program,Gas,Commercial,1880956.07,Dth,12/31/2014
New York State Energy Research and Development Authority,* Low-Income Multifamily Performance Program,Gas,Multi-Family,-4726.31,Dth,12/31/2014
The Brooklyn Union Gas Company d/b/a National Grid NY,Residential HVAC Program,Gas,Residential,107635.43,Dth,12/31/2014
"Consolidated Edison Company of New York, Inc.",Appliance Bounty Program,Electric,Residential,17402.20,MWh,12/31/2014
The Brooklyn Union Gas Company d/b/a National Grid NY,Multifamily Energy Efficiency Program,Gas,Multi-Family,65310.64,Dth,12/31/2014
New York State Energy Research and Development Authority,* FlexTech Expansion Program,Gas,Commercial,-792239.01,Dth,12/31/2014
Niagara Mohawk Power Corporation,Residential HVAC Program,Electric,Residential,1345.25,MWh,12/31/2014
New York State Energy Research and Development Authority,New Construction Program,Electric,Commercial,133891.32,MWh,12/31/2014
New York State Electric & Gas Corporation,Energy Saver Program,Gas,Residential,0.00,Dth,12/31/2014
New York State Energy Research and Development Authority,Home Performance with Energy Star,Electric,Residential,3010.27,MWh,12/31/2014
"Consolidated Edison Company of New York, Inc.",* Residential HVAC Program,Electric,Residential,436.49,MWh,12/31/2014
New York State Energy Research and Development Authority,* Multifamily Performance Program,Gas,Multi-Family,18397.18,Dth,12/31/2014
New York State Energy Research and Development Authority,Low-Income Multifamily Performance Program,Gas,Multi-Family,254926.43,Dth,12/31/2014
New York State Energy Research and Development Authority,New Construction Program,Gas,Commercial,123870.53,Dth,12/31/2014
"Orange and Rockland Utilities, Inc.",Residential HVAC,Electric,Residential,51.19,MWh,12/31/2014
Central Hudson Gas & Electric Corporation,Small Business Direct Install Program,Electric,Commercial,73355.61,MWh,12/31/2014
Niagara Mohawk Power Corporation,Enhanced Home Sealing Incentives Program,Gas,Residential,8016.89,Dth,12/31/2014
Rochester Gas and Electric Corporation,Small Business Direct Install Program,Electric,Commercial,51158.21,MWh,12/31/2014
"Orange and Rockland Utilities, Inc.",Small Business Direct Install Program,Electric,Commercial,30358.26,MWh,12/31/2014
New York State Energy Research and Development Authority,Flex Tech Program,Gas,Commercial,219759.94,Dth,12/31/2014
"Orange and Rockland Utilities, Inc.",Residential Efficient Products Program,Electric,Residential,7831.14,MWh,12/31/2014
Rochester Gas and Electric Corporation,C&I Prescriptive Rebate Program,Gas,Commercial,23859.30,Dth,12/31/2014
"Consolidated Edison Company of New York, Inc.",Small Business Direct Install Program,Electric,Commercial,397259.02,MWh,12/31/2014
Niagara Mohawk Power Corporation,Energy Initiative Program - Mid-Size C&I,Electric,Commercial,108660.32,MWh,12/31/2014
Niagara Mohawk Power Corporation,Energy Initiative Program - Large Industrial,Electric,Commercial,43778.41,MWh,12/31/2014
Rochester Gas and Electric Corporation,C&I Prescriptive Rebate Program,Electric,Commercial,871.54,MWh,12/31/2014
New York State Energy Research and Development Authority,* New Construction Program,Gas,Commercial,254639.83,Dth,12/31/2014
KeySpan Gas East Corp. d/b/a National Grid,Multifamily Energy Efficiency Program,Gas,Multi-Family,14335.92,Dth,12/31/2014
"Consolidated Edison Company of New York, Inc.",C&I Equipment Rebate Program,Electric,Commercial,162996.78,MWh,12/31/2014
Rochester Gas and Electric Corporation,C&I Custom Rebate Program,Electric,Commercial,2459.03,MWh,12/31/2014
Niagara Mohawk Power Corporation,Energy Wise Program,Electric,Multi-Family,27581.93,MWh,12/31/2014
New York State Energy Research and Development Authority,Elec. Reduction in Master-Metered Multifamily Bldgs,Electric,Multi-Family,1219.71,MWh,12/31/2014
New York State Electric & Gas Corporation,Refrigerator and Freezer Recycling Program,Electric,Residential,45545.43,MWh,12/31/2014
Niagara Mohawk Power Corporation,Energy Initiative - Commercial & Industrial Electric Program,Electric,Commercial,232515.63,MWh,12/31/2014
New York State Energy Research and Development Authority,Assisted Home Performance with Energy Star,Electric,Residential,1853.66,MWh,12/31/2014
New York State Energy Research and Development Authority,EmPower New York Program,Electric,Residential,48770.63,MWh,12/31/2014
New York State Energy Research and Development Authority,CFL Expansion Program,Electric,Residential,989833.97,MWh,12/31/2014
The Brooklyn Union Gas Company d/b/a National Grid NY,Enhanced Home Sealing Incentives Program,Gas,Residential,3995.35,Dth,12/31/2014
Rochester Gas and Electric Corporation,Residential HVAC Program,Gas,Residential,746230.61,Dth,12/31/2014
"Consolidated Edison Company of New York, Inc.",* C&I Equipment Rebate Program,Gas,Commercial,-25646.70,Dth,12/31/2014
Central Hudson Gas & Electric Corporation,Expanded Residential HVAC Program,Electric,Residential,0.00,MWh,12/31/2014
"Consolidated Edison Company of New York, Inc.",Multifamily Energy Efficiency Program,Gas,Multi-Family,596511.87,Dth,12/31/2014
New York State Electric & Gas Corporation,C&I Gas Program,Gas,Commercial,27484.74,Dth,12/31/2014
"Consolidated Edison Company of New York, Inc.",C&I Gas Efficient Equipment Rebate Program,Gas,Commercial,232065.03,Dth,12/31/2014
Rochester Gas and Electric Corporation,Multifamily Program,Electric,Multi-Family,14357.19,MWh,12/31/2014
"St. Lawrence Gas Company, Inc.",Small Commercial HVAC Program,Gas,Commercial,3674.47,Dth,12/31/2014
"Consolidated Edison Company of New York, Inc.",Residential HVAC Program,Electric,Residential,6443.58,MWh,12/31/2014
New York State Electric & Gas Corporation,C&I Prescriptive Rebate Program,Electric,Commercial,2953.32,MWh,12/31/2014
"Orange and Rockland Utilities, Inc.",Commercial Existing Buildings Program,Electric,Commercial,19963.65,MWh,12/31/2014
National Fuel Gas Distribution Corporation,Residential Rebate Program,Gas,Residential,823547.66,Dth,12/31/2014
New York State Energy Research and Development Authority,Existing Facilities Program,Gas,Commercial,206288.46,Dth,12/31/2014
Central Hudson Gas & Electric Corporation,Residential Appliance Recycling Program,Electric,Residential,17326.75,MWh,12/31/2014
"Consolidated Edison Company of New York, Inc.",C&I Custom Gas Efficiency Program,Gas,Commercial,64737.37,Dth,12/31/2014
"Consolidated Edison Company of New York, Inc.",* C&I Custom Efficiency Program,Gas,Commercial,-68484.00,Dth,12/31/2014
New York State Energy Research and Development Authority,* Existing Facilities Program,Electric,Commercial,17.46,MWh,12/31/2014
New York State Electric & Gas Corporation,C&I Electric Program,Electric,Commercial,40844.48,MWh,12/31/2014
New York State Energy Research and Development Authority,* Existing Facilities Program,Gas,Commercial,2439.92,Dth,12/31/2014
New York State Energy Research and Development Authority,* Multifamily Performance Program,Electric,Multi-Family,-279.15,MWh,12/31/2014
KeySpan Gas East Corp. d/b/a National Grid,Large Industrial Energy Efficiency Program,Gas,Commercial,68109.50,Dth,12/31/2014
Niagara Mohawk Power Corporation,Energy Initiative Program - Large Industrial,Gas,Commercial,60555.66,Dth,12/31/2014
Corning Natural Gas Corporation,Small Commercial HVAC Program,Gas,Commercial,951.90,Dth,12/31/2014
New York State Energy Research and Development Authority,* Low-Income Multifamily Performance Program,Electric,Multi-Family,615.92,MWh,12/31/2014
Niagara Mohawk Power Corporation,Energy Initiative Program - Mid-Size C&I,Gas,Commercial,59347.53,Dth,12/31/2014
Rochester Gas and Electric Corporation,C&I Electric Program,Electric,Commercial,26819.77,MWh,12/31/2014
"Consolidated Edison Company of New York, Inc.",Residential HVAC Program,Gas,Residential,138948.25,Dth,12/31/2014
New York State Energy Research and Development Authority,Agricultural Energy Efficiency,Electric,Commercial,15694.30,MWh,12/31/2014
KeySpan Gas East Corp. d/b/a National Grid,Commercial & Industrial Gas Energy Efficiency Program,Gas,Commercial,275901.56,Dth,12/31/2014
"Orange and Rockland Utilities, Inc.",* Residential HVAC Program,Electric,Residential,214.64,MWh,12/31/2014
Central Hudson Gas & Electric Corporation,* Small and Mid-Size Commercial Buildings,Electric,Commercial,16.28,MWh,12/31/2014
New York State Energy Research and Development Authority,New York Energy Star Homes,Gas,Residential,350582.60,Dth,12/31/2014
Rochester Gas and Electric Corporation,Block Bidding Program,Electric,Commercial,11595.37,MWh,12/31/2014
"St. Lawrence Gas Company, Inc.",Residential Gas HVAC Program,Gas,Residential,19982.61,Dth,12/31/2014
New York State Energy Research and Development Authority,Home Performance with Energy Star,Gas,Residential,307386.55,Dth,12/31/2014
New York State Energy Research and Development Authority,Assisted NY Energy Star Homes,Electric,Residential,2826.65,MWh,12/31/2014
National Fuel Gas Distribution Corporation,Low-Income Usage Reduction Program (EmPower),Gas,Residential,113416.88,Dth,12/31/2014
New York State Energy Research and Development Authority,Benchmarking and Operations Efficiency Program,Electric,Commercial,0.00,MWh,12/31/2014
"Consolidated Edison Company of New York, Inc.",Residential Room Air Conditioning Program,Electric,Residential,3213.46,MWh,12/31/2014
The Brooklyn Union Gas Company d/b/a National Grid NY,Commercial & Industrial Gas Energy Efficiency Program,Gas,Commercial,255869.87,Dth,12/31/2014
New York State Energy Research and Development Authority,* Home Performance with Energy Star,Gas,Residential,-197.57,Dth,12/31/2014
Niagara Mohawk Power Corporation,Residential Building Practices and Demonstration,Gas,Residential,560218.90,Dth,12/31/2014
Niagara Mohawk Power Corporation,Commercial High-Eff. Heating and Water Heating,Gas,Commercial,34992.18,Dth,12/31/2014
Niagara Mohawk Power Corporation,Residential Building Practices and Demonstration,Electric,Residential,69510.65,MWh,12/31/2014
"Consolidated Edison Company of New York, Inc.",Multifamily Energy Efficiency Program,Electric,Multi-Family,49005.69,MWh,12/31/2014
New York State Energy Research and Development Authority,* Home Performance with Energy Star,Electric,Residential,662.03,MWh,12/31/2014
