PERMIT_ID,CALENDAR_YEAR,FISCAL_YEAR,PERMIT_LOCATION_NAME,PERMIT_NUMBER,PERMIT_CONDITION,PERMIT_DESCRIPTION,PERMIT_IN_DATE,PERMIT_EXPIRE_DATE,PERMIT_FINAL_DATE,PERMIT_PARENT_ID,PERMIT_STATUS,PERMIT_SUB_TYPE,PERMIT_WORK_TYPE,INSTALLATION_DATE,REMOVAL_DATE,BANNER_DIRECTION,BANNER_LOCATION,ENGINEERING_REQ,ILLUMINATION_TYPE,SIGN_IN_ETJ,SIGN_VARIANCE_REQ,SUBMITTED_501C3,TOTAL_SIGN_FACE_AREA,CITY,STATE,ZIP_CODE,COUNCIL_DISTRICT,LATITUDE,LONGITUDE,APPLICANT_NAME,APPLICANT_ORGANIZATION,geocoded_column,Single Member Council Districts,"Boundaries: Zip Code Tabulation Areas, 2017",BOUNDARIES_single_member_districts,Neighborhood Planning Areas,Community Registry,Zipcodes
12441574,FY 2020,FY 2020,6210 E US 290 HWY  WB,2020-047296 SB,Sign area may not exceed Expressway Corridor-20% of facade area of first 15 ft. of bldg. height,Install monument sign. Austin Regional Clinic. Administration Building. North & South elevation,03/19/2020 02:28:17 PM,09/15/2020 02:28:18 PM,,,Final,Sign Permit,Freestanding,,,,,true,Internal,false,false,,33,AUSTIN,TX,78752,4,30.32294041,-97.70193396,Mr Kevin Hull,Texas Custom Signs,,,,,,,
12443312,FY 2020,FY 2020,12101 ARCHELETA BOULEVARD,2020-048810 SB,Sign may not be located in or overhang any easements or property line.,"This sign is a monument sign supported by 2, 4""x 4"" posts set into the ground. The sign will be approximately 8.5'W x 7'T.",03/23/2020 04:28:10 PM,09/19/2020 04:28:11 PM,,,Application Incomplete,Sign Permit,Freestanding,,,,,true,,,,,26,AUSTIN,TX,78739,8,30.17074213,-97.88942074,Chuck Malesky,,,,,,,,
12408886,FY 2020,FY 2020,11150 RESEARCH BLVD  SB Unit 202,2020-018811 SB,Sign area may not exceed Expressway Corridor-20% of facade area of first 15 ft. of bldg. height,INSTALL WALL SIGN KUMONSUITE 202B,02/07/2020 06:31:42 AM,03/25/2020 02:00:02 PM,03/25/2020 02:00:02 PM,,Final,Sign Permit,Wall,,,,,true,Internal,false,false,,38.5,AUSTIN,TX,78759,10,30.40705734,-97.74697457,Hussain Contractor,Ezzi Signs,,,,,,,
12415079,FY 2020,FY 2020,6001 S CONGRESS AVENUE Bldg 1,2020-024332 SB,,SOCIETY6001 S. CONGRESSROOF SIGN,02/12/2020 03:52:41 PM,08/10/2020 03:52:41 PM,,,Application Incomplete,Sign Permit,Roof,,,,,true,Internal,false,false,,90,AUSTIN,TX,78745,2,30.20083079,-97.77566286,Ms. Ann Lewis,LEWIS SIGN,,,,,,,
12400024,FY 2020,FY 2020,7710 N FM 620 ROAD Bldg  8,2020-011179 SB,Sign area may not exceed Scenic Roadway-10% of facade area of first 15 ft. of bldg. height,Installation of new wall signage for Chipotle (south elevation),01/24/2020 12:00:00 AM,03/26/2020 12:50:46 PM,03/26/2020 12:50:46 PM,,Final,Sign Permit,Wall,,,,,true,Internal,false,false,,29.07,AUSTIN,TX,78726,6,30.41080092,-97.85164198,Manuel Rangel,Aether Illumination LLC,,,,,,,
12434606,FY 2020,FY 2020,12520 N IH 35  SB,2020-041094 SB,Sign area may not exceed Expressway Corridor-20% of facade area of first 15 ft. of bldg. height,Sign C / Remove and Replace Internally Illuminated Wall Channel Letters reading Springhill Suites by Marriott,03/10/2020 05:19:11 PM,09/06/2020 05:19:11 PM,,,Active,Sign Permit,Wall,,,,,true,Internal,false,false,,46,AUSTIN,TX,78753,7,30.40629331,-97.6763119,Roberta Baker,Bakers Signs,,,,,,,
12399782,FY 2020,FY 2020,7710 N FM 620 ROAD Bldg  8,2020-010956 SB,Sign area may not exceed Scenic Roadway-10% of facade area of first 15 ft. of bldg. height,Installation of new wall signage for Chipotle (north elevation),01/23/2020 03:34:16 PM,03/26/2020 12:50:32 PM,03/26/2020 12:50:32 PM,,Final,Sign Permit,Wall,,,,,true,Internal,false,false,,29.07,AUSTIN,TX,78726,6,30.41080092,-97.85164198,Manuel Rangel,Aether Illumination LLC,,,,,,,
12409017,FY 2020,FY 2020,11603 JOLLYVILLE ROAD,2020-018901 SB,Sign area may not exceed Neighborhood Commercial-10% of facade area of first 15 ft. of bldg. height,new freestanding sign D1,02/07/2020 08:37:42 AM,08/05/2020 08:37:42 AM,,,Active,Sign Permit,Freestanding,,,,,true,Internal,false,false,,23,AUSTIN,TX,78759,10,30.4172634,-97.74925186,Claudia Salguero,,,,,,,,
12349333,FY 2019,FY 2020,4000 S IH 35  SB,2019-211375 SB,Sign area may not exceed Expressway Corridor-20% of facade area of first 15 ft. of bldg. height,Install channel letters and LED to existing pylon. AISD,10/23/2019 09:52:04 AM,09/23/2020 12:00:00 AM,,,Active,Sign Permit,Freestanding,,,,,true,Internal,false,false,,234,AUSTIN,TX,78704,3,30.21836923,-97.75122386,Mr Kevin Hull,Texas Custom Signs,,,,,,,
12395318,FY 2020,FY 2020,6317 FM 2244 ROAD,2020-007017 SB,Sign area may not exceed Scenic Roadway-10% of facade area of first 15 ft. of bldg. height,Wall Sign - New Channel Letters,01/15/2020 05:54:45 PM,07/13/2020 05:54:46 PM,,,Active,Sign Permit,Wall,,,,,true,Internal,false,false,,49.75,AUSTIN,TX,78746,8,30.29636954,-97.83218999,Mr. Luis Cantu,LEC Industries LLC,,,,,,,
12134206,FY 2019,FY 2019,401 GUADALUPE STREET,2019-021459 SB,Sign area may not exceed Downtown-20% of facade area of first 15 ft. of bldg. height,Republic Square - ZASPA wall sign,02/08/2019 01:03:06 PM,03/20/2020 09:21:50 AM,03/20/2020 09:21:50 AM,,Final,Sign Permit,Wall,,,,,false,Internal,false,false,,24,AUSTIN,TX,78701,9,30.26748681,-97.74664296,Shana Gardner,Ion Art,,,,,,,
12340532,FY 2019,FY 2020,901 E 5TH STREET,2019-203991 SB,Sign area may not exceed UNO-20% of facade area of first 15 ft. of bldg. height,"Install acrylic faced internal illuminated ""[target logo]"" wall sign, sign G",10/09/2019 11:28:22 AM,03/19/2020 10:34:25 AM,03/19/2020 10:34:25 AM,,Final,Sign Permit,Wall,,,,,true,Internal,false,false,,70.88,AUSTIN,TX,78702,3,30.26427553,-97.73390779,Jennifer Garcia,,,,,,,,
12176795,FY 2019,FY 2019,1311 AIRPORT COMMERCE DRIVE,2019-057512 SB,Sign area may not exceed Scenic Roadway-10% of facade area of first 15 ft. of bldg. height,"Install internally illuminated channel letters reading ""Extended Stay America"" on the North elevation",04/15/2019 10:30:17 AM,09/16/2020 12:00:00 AM,,,Active,Sign Permit,Wall,,,,,false,Internal,false,false,,182.9,AUSTIN,TX,78741,3,30.22316385,-97.68562007,Jennifer Garcia,,,,,,,,
12416839,FY 2020,FY 2020,2610 LAKE AUSTIN BOULEVARD,2020-025734 SB,Sign area may not exceed Scenic Roadway-10% of facade area of first 15 ft. of bldg. height,new wall sign for CVS sign 8,02/16/2020 06:36:20 PM,08/14/2020 06:36:19 PM,,,Active,Sign Permit,Wall,,,,,true,Internal,false,false,,15,AUSTIN,TX,78703,10,30.28156254,-97.77505823,Claudia Salguero,,,,,,,,
12340537,FY 2019,FY 2020,901 E 5TH STREET,2019-203996 SB,Sign area may not exceed UNO-20% of facade area of first 15 ft. of bldg. height,"Install acrylic faced internal illuminated ""[target logo]"" wall sign on panel, sign H",10/09/2019 11:31:27 AM,03/19/2020 10:33:35 AM,03/19/2020 10:33:35 AM,,Final,Sign Permit,Wall,,,,,true,Internal,false,false,,50.27,AUSTIN,TX,78702,3,30.26427553,-97.73390779,Jennifer Garcia,,,,,,,,
12272956,FY 2019,FY 2019,110 W SLAUGHTER LANE,2019-145642 SB,Sign area may not exceed Scenic Roadway-10% of facade area of first 15 ft. of bldg. height,19-1496 SOUTH VALERO CANOPY FACING SLAUGHTER 110 W SLAUGHTER LN,07/05/2019 11:49:10 AM,10/12/2020 12:00:00 AM,07/18/2019 11:12:18 AM,,Active,Sign Permit,Awning,,,,,true,Internal,false,false,,318,AUSTIN,TX,78748,2,30.16743327,-97.78792265,Stormi Wolf,Comet Signs LLC,,,,,,,
12435829,FY 2020,FY 2020,10301 BURNET ROAD,2020-042149 SB,Sign area may not exceed ##% of facade area of first 15 ft. of bldg. height,Denyse - Windsor Burnet (blade sign)install (1) blade sign,03/12/2020 09:28:34 AM,09/08/2020 09:28:35 AM,,,Application Incomplete,Sign Permit,Wall,,,,,true,Internal,false,false,,33.5,AUSTIN,TX,78758,7,30.38657989,-97.72244512,Arelly Guzman,EXECUTIVE SIGNS,,,,,,,
12400079,FY 2020,FY 2020,1011 S CONGRESS AVENUE Bunit 100,2020-011230 SB,Sign area may not exceed Commercial-20% of facade area of first 15 ft. of bldg. height,"Install channel letters. Reformation, Sign A",01/24/2020 09:50:50 AM,03/20/2020 10:40:02 AM,03/20/2020 10:40:02 AM,,Final,Sign Permit,Wall,,,,,true,Internal,false,false,,15,AUSTIN,TX,78704,9,30.25349259,-97.74794176,Mr Kevin Hull,Texas Custom Signs,,,,,,,
12309090,FY 2019,FY 2019,8023 W PARMER LANE,2019-176304 SB,Sign area may not exceed Scenic Roadway-10% of facade area of first 15 ft. of bldg. height,INSTALL WALL SIGN EAST ELEVATION FRONT,08/28/2019 11:58:38 AM,02/10/2020 10:33:52 AM,02/10/2020 10:33:52 AM,,Final,Sign Permit,Wall,,,,,true,Internal,true,false,,138,AUSTIN,TX,78729,,30.46132831,-97.75577231,Hussain Contractor,Ezzi Signs,,,,,,,
12411145,FY 2020,FY 2020,4604 TERI ROAD,2020-020702 SB,Sign area may not exceed Neighborhood Commercial-10% of facade area of first 15 ft. of bldg. height,installation of new wall signage for Dinero Express #4 etc on the façade facing TERI RD.,02/11/2020 12:00:00 AM,08/09/2020 11:49:12 AM,,,Active,Sign Permit,Wall,,,,,false,Internal,false,false,,101.99,AUSTIN,TX,78744,2,30.19680557,-97.74319601,,Sign Expo Austin,,,,,,,
12410385,FY 2020,FY 2020,1009 S CONGRESS AVENUE,2020-020054 SB,Sign area may not exceed Commercial-20% of facade area of first 15 ft. of bldg. height,"Install D/F internally illuminated blade sign reading ""Lululemon"" on storefront elevation",02/10/2020 12:23:34 PM,08/08/2020 12:23:34 PM,,,Active,Sign Permit,Wall,,,,,true,Internal,false,false,,42.5,AUSTIN,TX,78704,9,30.25378215,-97.74784372,Jennifer Garcia,,,,,,,,
12444887,FY 2020,FY 2020,2023 DENTON DRIVE,2020-050191 SB,Sign area may not exceed Commercial-20% of facade area of first 15 ft. of bldg. height,"Install perforated backer panel with non-illuminated channel letters & FCO acrylic, mount with aluminum angle clip.",03/25/2020 01:45:21 PM,09/21/2020 01:45:22 PM,,,Final,Sign Permit,Wall,,,,,true,Internal,false,false,,15.79,AUSTIN,TX,78758,4,30.38506968,-97.71327541,Felissa Cortez,,,,,,,,
12351320,FY 2019,FY 2020,4477 S LAMAR BOULEVARD NB,2019-213009 SB,Sign area may not exceed Commercial-20% of facade area of first 15 ft. of bldg. height,"WESTGATE CINEMAS - Removal of existing sign letters ""CENTRAL"" and replace sign letters ""CINEMAS""",10/25/2019 12:54:04 PM,02/13/2020 12:00:52 PM,02/13/2020 12:00:52 PM,,Final,Sign Permit,Wall,,,,,true,Internal,false,false,,45,AUSTIN,TX,78745,5,30.23102471,-97.79730599,Harlan Smith,Signtek Austin,,,,,,,
12272939,FY 2019,FY 2019,110 W SLAUGHTER LANE,2019-145633 SB,Sign area may not exceed Scenic Roadway-10% of facade area of first 15 ft. of bldg. height,19-1496 SOUTH VALERO GAS PRICER PYLON 110 W SLAUGHTER LN,07/05/2019 11:35:48 AM,10/12/2020 12:00:00 AM,07/18/2019 11:11:12 AM,,Active,Sign Permit,Freestanding,,,,,true,Internal,false,false,,181.7,AUSTIN,TX,78748,2,30.16743327,-97.78792265,Stormi Wolf,Comet Signs LLC,,,,,,,
12309101,FY 2019,FY 2019,8023 W PARMER LANE,2019-176315 SB,Sign area may not exceed Scenic Roadway-10% of facade area of first 15 ft. of bldg. height,INATLL WALL SIGN WEST SIDE SOUTH,08/28/2019 12:06:09 PM,02/10/2020 10:33:07 AM,02/10/2020 10:33:07 AM,,Final,Sign Permit,Wall,,,,,true,Internal,true,false,,138,AUSTIN,TX,78729,,30.46132831,-97.75577231,Hussain Contractor,Ezzi Signs,,,,,,,
12393925,FY 2020,FY 2020,9900 W PARMER LANE,2020-005875 SB,Sign area may not exceed Scenic Roadway-10% of facade area of first 15 ft. of bldg. height,20-0067 SOUTH SLAPBOX PIZZICHERIA WALL SIGN 9900 WEST PARMER LN,01/14/2020 11:58:45 AM,07/12/2020 11:58:45 AM,,,Active,Sign Permit,Wall,,,,,true,Internal,false,false,,55,AUSTIN,TX,78717,6,30.48703759,-97.77021696,Stormi Wolf,Comet Signs LLC,,,,,,,
12415023,FY 2020,FY 2020,,2020-024306 SB,,"18 LP Banners. ""ATD Get There ATX"". 4/21/2020-5/5/2020@ S_LAMAR (ALL - double)",02/12/2020 03:28:50 PM,02/11/2021 03:28:50 PM,,,In Review,Banner Permit,Lamp Post,,05/05/2020 12:00:00 AM,,,,,,,,,,,,,,,Julie Anderson,Austin Transportation Department,,,,,,,
12317728,FY 2019,FY 2019,11200 LAKELINE MALL DRIVE,2019-183732 SB,Sign area may not exceed Commercial-20% of facade area of first 15 ft. of bldg. height,19-2691 Spirit Halloween sign A1 (40ft x 4ft)on south elevation,09/12/2019 07:06:03 AM,03/10/2020 07:06:03 AM,,,Final,Sign Permit,Wall,,,,,true,Internal,false,false,,160,AUSTIN,TX,78613,6,30.47051556,-97.80651785,Stormi Wolf,Comet Signs LLC,,,,,,,
12449243,FY 2020,FY 2020,6401 FM 969 ROAD,2020-053918 SB,Sign area may not exceed ##% of facade area of first 15 ft. of bldg. height,Illuminated building sign for Car Wash,04/02/2020 09:05:58 AM,09/29/2020 09:05:59 AM,,,Pending,Sign Permit,Wall,,,,,true,Internal,false,false,,50,AUSTIN,TX,78725,1,30.28439729,-97.66062572,Scott Vaughan,Sign Manufacturer,,,,,,,
12446457,FY 2020,FY 2020,7718 WOOD HOLLOW DRIVE,2020-051529 SB,Sign area may not exceed Commercial-20% of facade area of first 15 ft. of bldg. height,Austin OaksTwo (2) sets of non lit channel letters on existing blade wall,03/27/2020 02:48:06 PM,09/23/2020 02:48:06 PM,,,Final,Sign Permit,Wall,,,,,true,Internal,false,false,,104,AUSTIN,TX,78731,10,30.3612146,-97.7476422,Arelly Guzman,EXECUTIVE SIGNS,,,,,,,
12399021,FY 2020,FY 2020,12120-1/2 MANCHACA ROAD,2020-010320 SB,0,Build and install building sign letters for Menchaca School,01/22/2020 09:12:02 PM,07/20/2020 09:12:02 PM,,,Final,Sign Permit,Wall,,,,,true,Internal,true,false,,36,AUSTIN,TX,78748,,30.14196317,-97.83311039,Jeff Papst,,,,,,,,
12317721,FY 2019,FY 2019,11200 LAKELINE MALL DRIVE,2019-183725 SB,Sign area may not exceed Commercial-20% of facade area of first 15 ft. of bldg. height,19-2691 Spirit Halloween sign A4 (30ftx7ft)on North elevation,09/12/2019 06:56:00 AM,03/10/2020 06:56:00 AM,,,Final,Sign Permit,Wall,,,,,true,Internal,false,false,,270,AUSTIN,TX,78613,6,30.47051556,-97.80651785,Stormi Wolf,Comet Signs LLC,,,,,,,
12293313,FY 2019,FY 2019,1901 SAN ANTONIO STREET Unit FL10,2019-162909 SB,Sign area may not exceed UNO-20% of facade area of first 15 ft. of bldg. height,"INSTALL LED LIT CHANNEL LETTERS (SIGN #2) - ""THE OTIS"" TO EAST ELEV. 10TH FL.",08/05/2019 01:55:53 PM,02/24/2020 10:50:06 AM,02/24/2020 10:50:06 AM,,Final,Sign Permit,Wall,,,,,true,Internal,false,false,,134,AUSTIN,TX,78705,9,30.2822335,-97.74291266,Mary Gorman,,,,,,,,
12429745,FY 2020,FY 2020,5720 BURNET ROAD,2020-036963 SB,Sign area may not exceed Commercial-20% of facade area of first 15 ft. of bldg. height,Install channel letters. Allandale Village. East elevation,03/03/2020 11:19:06 AM,08/30/2020 11:19:07 AM,,,Active,Sign Permit,Wall,,,,,true,Internal,false,false,,80,AUSTIN,TX,78756,7,30.33301662,-97.74048874,Mr Kevin Hull,Texas Custom Signs,,,,,,,
12392283,FY 2020,FY 2020,7710 N FM 620 ROAD Bldg 7,2020-004492 SB,Sign may not be located in or overhang any easements or property line.,Install (2) tenant panels to existing monument sign,01/10/2020 03:02:02 PM,07/08/2020 03:02:02 PM,,,In Review,Sign Permit,Freestanding,,,,,true,Internal,false,false,,11.33,AUSTIN,TX,78726,6,30.41080092,-97.85164198,Karena Martinez,Extreme Signs,,,,,,,
12396939,FY 2020,FY 2020,1011 E 5TH STREET,2020-008442 SB,Sign area may not exceed UNO-20% of facade area of first 15 ft. of bldg. height,Sign E.5 - North Elevation - ATM Surround with back lit sign header.  Power to sign installed by GC,01/20/2020 09:53:02 AM,07/18/2020 09:53:02 AM,,,Final,Sign Permit,Wall,,,,,true,Internal,false,false,,4.4,AUSTIN,TX,78702,3,30.26385119,-97.73252564,Steve Kirkpatrick,IES Commercial Inc,,,,,,,
12389722,FY 2020,FY 2020,9401 S IH 35  NB,2020-002325 SB,Sign area may not exceed Commercial-20% of facade area of first 15 ft. of bldg. height,install channel letters. Floor & Decor. Sign E,01/07/2020 02:34:45 PM,07/05/2020 02:34:45 PM,,,Active,Sign Permit,Wall,,,,,true,Internal,false,false,,57,AUSTIN,TX,78744,5,30.16266228,-97.78700759,Mr Kevin Hull,Texas Custom Signs,,,,,,,
12325987,FY 2019,FY 2019,720 BRAZOS STREET,2019-190785 SB,Sign area may not exceed Downtown-20% of facade area of first 15 ft. of bldg. height,CLARK HILL STRASBURGER on the 7th street side of the building 720 BRAZOSWALL SIGN,09/24/2019 03:34:52 PM,01/31/2020 09:51:15 AM,01/31/2020 09:51:15 AM,,Final,Sign Permit,Wall,,,,,false,Internal,false,false,,58.33,AUSTIN,TX,78701,9,30.26923879,-97.74116236,Ms. Ann Lewis,LEWIS SIGN,,,,,,,
12449014,FY 2020,FY 2020,8023 BURNET ROAD,2020-053727 SB,Sign area may not exceed Commercial-20% of facade area of first 15 ft. of bldg. height,"Install new single face address cabinet, internal illuminated ""8023"" w/ 1.5"" steel tube supports to existing poles, Kitchen United Mix",04/01/2020 04:50:07 PM,09/28/2020 04:50:07 PM,,,Active,Sign Permit,Freestanding,,,,,true,Internal,false,false,,3.9,AUSTIN,TX,78757,7,30.35911059,-97.72983267,Jennifer Garcia,,,,,,,,
12445019,FY 2020,FY 2020,9001 CAMERON ROAD,2020-050291 SB,Sign area may not exceed Scenic Roadway-10% of facade area of first 15 ft. of bldg. height,"Channel letter mounted to raceway and installed on the awning. Sign dimension 315""w x 24""h.",03/25/2020 03:06:10 PM,09/21/2020 03:06:11 PM,,,Active,Sign Permit,Awning,,,,,true,Internal,false,false,,61,AUSTIN,TX,78754,1,30.34642169,-97.67688574,Jeff Papst,,,,,,,,
12376415,FY 2019,FY 2020,333 E 2ND STREET,2019-233884 SB,Sign area may not exceed Downtown-20% of facade area of first 15 ft. of bldg. height,19-3131 WEST MICHELADAS PROJECTING SIGN 333 E 2ND ST,12/09/2019 03:13:02 PM,03/23/2020 06:39:01 AM,03/23/2020 06:39:01 AM,,Final,Sign Permit,Projecting,,,,,true,Internal,false,false,,32.25,AUSTIN,TX,78701,9,30.26328179,-97.74097495,Stormi Wolf,Comet Signs LLC,,,,,,,
12383004,FY 2019,FY 2020,4477 S LAMAR BOULEVARD NB Unit 580,2019-239350 SB,Sign area may not exceed Commercial-20% of facade area of first 15 ft. of bldg. height,Install channel letters. Postal Annex,12/19/2019 04:24:04 PM,02/03/2020 09:38:57 AM,02/03/2020 09:38:57 AM,,Final,Sign Permit,Wall,,,,,true,Internal,false,false,,25,AUSTIN,TX,78745,5,30.23102471,-97.79730599,Mr Kevin Hull,Texas Custom Signs,,,,,,,
12368515,FY 2019,FY 2020,13201 N FM 620 ROAD NB Bldg V,2019-227448 SB,Sign area may not exceed Commercial-20% of facade area of first 15 ft. of bldg. height,"Verizon13201 Ranch Road 620 N. Suite VAustin, TX 78717FRONT SIGN",11/22/2019 02:53:37 PM,03/18/2020 01:09:35 PM,03/18/2020 01:09:35 PM,,Final,Sign Permit,Wall,,,,,true,Internal,false,false,,19.15,AUSTIN,TX,78729,6,30.46793687,-97.79250612,Mr. Hoang Vu,A Star Signs and Printing LLC,,,,,,,
12348546,FY 2019,FY 2020,6412 BURNET ROAD,2019-210704 SB,Sign area may not exceed Commercial-20% of facade area of first 15 ft. of bldg. height,installation of new wall signage by entrance for OFFICE,10/22/2019 10:16:07 AM,01/27/2020 12:26:11 PM,01/27/2020 12:26:11 PM,,Final,Sign Permit,Wall,,,,,true,Internal,false,false,,2.08,AUSTIN,TX,78757,7,30.33956172,-97.73984084,Juan A Escobar,Austin Sign Builders,,,,,,,
12373885,FY 2019,FY 2020,4211 S LAMAR BOULEVARD NB Bunit 3,2019-231766 SB,Sign area may not exceed Expressway Corridor-20% of facade area of first 15 ft. of bldg. height,Front Lit Ind Mounted Channel Letters East Elevation-Freedom Eyecare-North elevation,12/04/2019 05:27:44 PM,07/29/2020 12:00:00 AM,,,Active,Sign Permit,Wall,,,,,true,Internal,false,false,,45.5,AUSTIN,TX,78704,5,30.23424434,-97.79259466,Cassandra Rodriguez,CND Signs,,,,,,,
12416837,FY 2020,FY 2020,2610 LAKE AUSTIN BOULEVARD,2020-025732 SB,Sign area may not exceed Scenic Roadway-10% of facade area of first 15 ft. of bldg. height,new wall sign for CVS (4),02/16/2020 06:28:18 PM,08/14/2020 06:28:18 PM,,,Active,Sign Permit,Wall,,,,,true,Internal,false,false,,52,AUSTIN,TX,78703,10,30.28156254,-97.77505823,Claudia Salguero,,,,,,,,
12389755,FY 2020,FY 2020,9401 S IH 35  NB,2020-002339 SB,Sign area may not exceed Commercial-20% of facade area of first 15 ft. of bldg. height,install channel letters. Floor & Decor. Sign G,01/07/2020 02:41:03 PM,07/05/2020 02:41:04 PM,,,Active,Sign Permit,Wall,,,,,true,Internal,false,false,,216,AUSTIN,TX,78744,5,30.16266228,-97.78700759,Mr Kevin Hull,Texas Custom Signs,,,,,,,
12441578,FY 2020,FY 2020,6210 E US 290 HWY  WB,2020-047300 SB,Sign area may not exceed Expressway Corridor-20% of facade area of first 15 ft. of bldg. height,Install monument. Austin Regional Clinic. ARC East West elevation,03/19/2020 02:34:29 PM,09/15/2020 02:34:30 PM,,,Final,Sign Permit,Freestanding,,,,,true,Internal,false,false,,14,AUSTIN,TX,78752,4,30.32294041,-97.70193396,Mr Kevin Hull,Texas Custom Signs,,,,,,,
