Application Type,Permit Number,Work Type,Use Code,Added Date,Issue Date,Final Date,Expired Date,Status,Building Area,Description of Work,Street Number,Pre-direction,Street Name,Street Suffix,Post-direction,City,State,Zip Code,Latitude,Longitude,General Location,Location
SEWAGE DISPOSAL,589831,RESTORE AND / OR REPAIR,SINGLE FAMILY DWELLING,01/27/2012,03/09/2012,,03/09/2013,Issued,,This permit is only to replace the existing septic tank.,14401,,FALLING LEAF,DR,,GAITHERSBURG,MD,20878,39.092327,-77.275436,,POINT (-77.275436 39.092327)
SEWAGE DISPOSAL,643150,RESTORE AND / OR REPAIR,SINGLE FAMILY DWELLING,07/24/2013,07/29/2013,08/14/2013,,Finaled,0,This permit is only to replace the existing septic system.&nbsp; Trench to be 100 feet from any well.&nbsp; Stone to be brought up to 4 feet for workman safety.&nbsp; Perc tests were conducted in area where there was 2' of fill.&nbsp; System will utilize a distribution box with a clean out.&nbsp; All trenches will have observation ports at the ends.,14715,,CLOPPER,RD,,BOYDS,MD,20841,39.182342,-77.306727,,POINT (-77.306727 39.182342)
SEWAGE DISPOSAL,751213,RESTORE AND / OR REPAIR,SINGLE FAMILY DWELLING,04/12/2016,04/22/2016,05/13/2016,,Finaled,0,"This permit is issued to replace the existing septic system only � the original septic system was a cesspool with no septic tank.&nbsp; Existing cesspool to be pumped by a licensed scavenger, crushed and backfilled.&nbsp; Replacement trenches to be 10 feet from the cesspool.&nbsp; &nbsp;&nbsp;A distribution box shall be installed.&nbsp; This septic permit is issued to replace the existing septic system ONLY � issuance of this septic repair permit does not constitute approval for any future building permit applications for the property.&nbsp; Septic tank access port to be installed as per well and septic standards and specifications. This property is in category S-6 where there is no planned community service and an individual system may be installed on an indefinite basis without firm obligation to connect to community system when and if it becomes available.

&nbsp;",27415,,RIDGE,RD,,DAMASCUS,MD,20872,39.306675,-77.197302,,POINT (-77.197302 39.306675)
SEWAGE DISPOSAL,699892,CONSTRUCT,"ASSEMBLY, CHURCHES",01/07/2015,02/26/2015,02/18/2019,02/27/2016,Finaled,0,"New expiration date: 8/26/2017. If not completed by this date a new application will be required.

Septic system subject to a recorded legal agreement at L. 49844, F. 239.

Starting point of initial absorption system to be surveyed by a registered land surveyor. This property is in category&nbsp; S-6 where there is no planned community service and an individual system may be installed on an indefinite basis without firm obligation to connect to community system when and if it becomes available. Trenches to be connected in series. &nbsp;Septic tank access port to be installed as per well and septic standards and specifications. 

Trenches to be constructed on contour.

&nbsp;Septic trenches to be 100 feet&nbsp; from any well location. 

&nbsp;",4200,,SANDY SPRING,RD,,BURTONSVILLE,MD,20866,39.111016,-76.924231,,POINT (-76.924231 39.111016)
SEWAGE DISPOSAL,742613,REPLACE,SINGLE FAMILY DWELLING,01/21/2016,03/28/2016,05/04/2016,,Finaled,0,"This permit is only to replace the existing septic tank with a BAT tank and to make repairs to any perforated pipe in the existing septic trenches.&nbsp; The existing septic tank is to be pumped, crushed, and backfilled.",13310,,OAKWOOD,DR,,ROCKVILLE,MD,20850,39.076363,-77.198488,,POINT (-77.198488 39.076363)
SEWAGE DISPOSAL,820295,CONSTRUCT,SINGLE FAMILY DWELLING,11/20/2017,02/09/2018,,02/10/2019,Issued,0,"Starting point of initial absorption system to be surveyed by a registered land surveyor.&nbsp; Septic tank must have a minimum of two compartments or two tanks connected in series.&nbsp; Trenches to be constructed on contour, and located at least 100 feet away from any well location.&nbsp; Recommend observation ports be installed at the end of each trench.&nbsp; The access port is to be installed as per well and septic standards and specifications. Utilities must be 10 feet minimum from septic reserve area.&nbsp; Proposed house must be a minimum of 15 feet from septic tank and 20 feet from trenches.&nbsp; This property is in category W-6 and S-6 where there is no planned community service and an individual system may be installed on an indefinite basis without firm obligation to connect to community system when and if it becomes available. Solid lines and trenches must be constructed within reserve area as shown on the record plat.&nbsp; MDE recommends septic tanks be pumped at a frequency adequate to ensure that solids are not discharged to the disposal area.&nbsp;",5621,,DIMES,RD,,ROCKVILLE,MD,20855,39.108222,-77.116028,,POINT (-77.116028 39.108222)
SEWAGE DISPOSAL,645874,RESTORE AND / OR REPAIR,SINGLE FAMILY DWELLING,08/19/2013,10/01/2013,06/01/2015,,Finaled,0,This permit is only to replace the existing septic system only.&nbsp; Observation ports are to be installed at both ends of the trench.&nbsp;,23925,,OLD HUNDRED,RD,,DICKERSON,MD,20842,39.248393,-77.347492,,POINT (-77.347492 39.248393)
SEWAGE DISPOSAL,861613,CONSTRUCT,SINGLE FAMILY DWELLING,12/20/2018,01/09/2019,05/03/2019,,Finaled,0,,20784,,PEACH TREE,RD,,DICKERSON,MD,20842,39.197309,-77.374391,,POINT (-77.374391 39.197309)
SEWAGE DISPOSAL,712236,CONSTRUCT,SINGLE FAMILY DWELLING,05/11/2015,08/03/2015,10/02/2017,11/03/2017,Finaled,0,"*Permit revision due to new COMAR regulation effective 11/24/16*

Starting point of initial absorption system to be surveyed by a registered land surveyor.&nbsp; Septic tanks are to be pumped at a frequency adequate to ensure that solids are not discharged to the disposal area.&nbsp; Trenches to be constructed on contour, and located at least 100 feet away from any well location.&nbsp; Septic tank must have a minimum of two compartments or two tanks connected in series.&nbsp; The access port is to be installed as per well and septic standards and specifications. Utilities must be 10 feet minimum from septic reserve area.&nbsp; In the interest of workman safety, prior to placement of the seepage lines the depth of stone in deep unbraced trenches shall be extended to within not less than four feet from the finished grade.&nbsp; Because of the construction of the open-loop geothermal well on the property, the storm water drywells have been moved from the location shown on the plan.&nbsp; Please verify the trenches are at least 30 feet from any drywell; contact this office if trenches must be installed in a different location to meet setback requirements.

&nbsp;",16629,,BROGDEN,RD,,SPENCERVILLE,MD,20868,39.12979,-76.960382,,POINT (-76.960382 39.12979)
SEWAGE DISPOSAL,648033,RESTORE AND / OR REPAIR,SINGLE FAMILY DWELLING,09/09/2013,09/10/2013,09/25/2013,,Finaled,0,This permit is only to replace the existing septic system.&nbsp; Observation ports to be installed at the ends of all trenches.&nbsp; This system utilizes a distribution box.,21630,,PEACH TREE,RD,,DICKERSON,MD,20842,39.211344,-77.364061,,POINT (-77.364061 39.211344)
SEWAGE DISPOSAL,847558,RESTORE AND / OR REPAIR,SINGLE FAMILY DWELLING,08/07/2018,10/22/2018,11/30/2018,,Finaled,0,"This septic permit is issued to replace the existing septic tank only. Tank to be tied into the two existing drywells. This permit does not constitute approvals of any future building addition(s). A new MDE approved B.A.T. unit shall be installed. The installer of the B.A.T. unit must be certified by MDE and the treatment unit vendor. All connections must be made by a licensed electrician and inspected by a DPS electrical inspector. Existing septic tank to be pumped, crushed and backfilled prior to final approval.",18221,,BARNESVILLE,RD,,BARNESVILLE,MD,20838,39.221262,-77.38041,,POINT (-77.38041 39.221262)
SEWAGE DISPOSAL,615773,RESTORE AND / OR REPAIR,SINGLE FAMILY DWELLING,10/24/2012,10/24/2012,12/11/2012,,Finaled,0,This permit is to replace the existing septic trenches with new disposal trenches.&nbsp; New trenches to be installed 10 feet downgrade of existing septic system.&nbsp; A distribution box is to be utilized.&nbsp; Observation ports to be installed at ends of trenches.&nbsp; This permit is to remedy a failing septic system.&nbsp; Inspection and approval of this septic system does not constitute automatic approval for future additions to the existing house.,21217,,GOLF ESTATES,DR,,GAITHERSBURG,MD,20882,39.207202,-77.124776,,POINT (-77.124776 39.207202)
SEWAGE DISPOSAL,565609,CONSTRUCT,PLACE OF WORSHIP,04/12/2011,07/27/2011,,07/27/2012,Issued,,"The use of this septic system is subject to the terms and limitations of a recorded agreement. The maximum daily flow is 795gpd; the maximum number of seats is 159; and there is no commercial kitchen allowed.No basement plumbing facilities by gravity flow.Trenches to be constructed on contour.Septic trenches to be 100 feet  from any well location. Undeground utilities must be 10 feet minimum from septic reserve area.
Clean-out(s) are recommended, one every 100 feet of solid pipe from tank to trench start.Starting point of initial absorption system to be surveyed by a registered land surveyor. This property is in category S-6 where there is no planned community service and an individual system may be installed on an indefinite basis without firm obligation to connect to community system when and if it becomes available. Trenches to be connected in series.  Septic tank access port to be installed as per well and septic standards and specifications.",5600,,MUNCASTER MILL,RD,,ROCKVILLE,MD,20855,39.121094,-77.114868,,POINT (-77.114868 39.121094)
SEWAGE DISPOSAL,755192,REPLACE,SINGLE FAMILY DWELLING,05/11/2016,05/13/2016,06/24/2016,,Finaled,0,"This permit is only to replace the existing septic tank and pump chamber.&nbsp; The existing septic tank and pump chamber are to be pumped, crushed, and backfilled.&nbsp; It is to be verified that the sewage is pumping to the existing drainfields.",13201,,ESWORTHY,RD,,GAITHERSBURG,MD,20878,39.071711,-77.28439,,POINT (-77.28439 39.071711)
SEWAGE DISPOSAL,756173,CONSTRUCT,SINGLE FAMILY DWELLING,05/18/2016,05/24/2016,07/26/2017,11/25/2017,Finaled,0,"NEW EXPIRATION DATE IS 11/25/2017.

&nbsp;

Additional 51 linear feet of trench to be added in series to existing137 linear feet of trench. 

&nbsp;

Existing septic tank to be pumped, crushed and filled and replaced with a new 1500 gal., 2-compartment septic tank.

&nbsp;

The Maryland Department of the Environment recommends septic tanks be pumped at a frequency adequate to ensure that solids are not discharged to the disposal area

&nbsp;",22620,,PEACH TREE,RD,,BOYDS,MD,20841,39.229293,-77.344554,,POINT (-77.344554 39.229293)
SEWAGE DISPOSAL,801274,RESTORE AND / OR REPAIR,SINGLE FAMILY DWELLING,06/01/2017,07/06/2017,10/04/2017,,Finaled,0,This permit is issued to replace the existing septic system which has been confirmed failing.&nbsp; Replacement trenches to be installed in the area of the recent percolation test site.&nbsp; Existing tank and drywell to be pumped by a licensed scavenger and properly abandoned.&nbsp; New schedule 40 PVC line to be installed from connection at existing house plumbing to new septic tank and from new septic tank to new distribution box.&nbsp; Observation ports to be installed at the ends of all trenches.&nbsp; This property is in category S-6 where there is no planned community service and an individual system may be installed on an indefinite basis without firm obligation to connect to community system when and if it becomes available.,18820,,CHANDLEE MILL,RD,,SANDY SPRING,MD,20860,39.165391,-77.03069,,POINT (-77.03069 39.165391)
SEWAGE DISPOSAL,876338,RESTORE AND / OR REPAIR,SINGLE FAMILY DWELLING,05/22/2019,06/19/2019,06/21/2019,,Finaled,0,"Pre-construction meeting required prior to art of any work. Existing septic tank to be pumped by licensed scavenger, crushed and backfilled with #57 clean uniform stone.&nbsp; Existing manhole on tank to be filled with #57 stone to grade.&nbsp; New schedule 40 PVC pipe to be run from new septic tank to start of existing trench.&nbsp; New perforated pipe and fabric to be installed thru entire length of trench.&nbsp; Issuance of this permit does NOT imply or grant approval of any building permits for the property.&nbsp; This property is in category S-6 where there is no planned community service and an individual system may be installed on an indefinite basis without firm obligation to connect to community system when and if it becomes available.",23520,,WOODFIELD,RD,,GAITHERSBURG,MD,20882,39.242889,-77.185053,,POINT (-77.185053 39.242889)
SEWAGE DISPOSAL,749830,RESTORE AND / OR REPAIR,SINGLE FAMILY DWELLING,03/30/2016,06/29/2016,07/20/2016,,Finaled,0,"This permit is only to replace the existing tank with an ATU.&nbsp; The existing tank is to pumped, crushed, and backfilled.",12913,,GLEN MILL,RD,,POTOMAC,MD,20854,39.067869,-77.213019,,POINT (-77.213019 39.067869)
SEWAGE DISPOSAL,683589,REPLACE,,08/08/2014,08/13/2014,09/05/2014,,Finaled,0,"This permit is to replace the existing septic tank which was checked by a private inspector and found to be defective.&nbsp; The existing tank is to be replaced with an approved Best Available Technology (BAT) treatment device suitable for 4 bedrooms (oversized at owners request).&nbsp; The existing drainfield was designed to serve&nbsp; a 3 bedroom house.&nbsp; A legal agreement for the BAT device must be recorded in land records before any work begins.&nbsp; A pre-construction meeting is required to determine the location of the new tank and evaluate the existing trenches.&nbsp; Tank must be at least 100 feet from any well.&nbsp; Existing tank to be pumped, crushed, and back-filled.&nbsp; Inspection and approval of this septic system does not constitute automatic approval for future additions to the existing house.",23737,,WOODFIELD,RD,,GAITHERSBURG,MD,20882,39.246769,-77.190091,,POINT (-77.190091 39.246769)
SEWAGE DISPOSAL,560076,CONSTRUCT,SINGLE FAMILY DWELLING,02/03/2011,03/09/2011,12/15/2011,03/09/2012,Finaled,,"No basement plumbing facilities by gravity flow.  Sand mound construction allowed only during dry weather construction season.  Materials must be from an approved source.  Do not allow construction traffic over 25' downslope of initial mound or over replacement mounds or 25' downslope of replacement mounds.  When the corners of the sand mound are staked by a licensed surveyor, he must ensure the bottom corners are at the same elevation.  This property is in category W-6 and / or S-6 where there is no planned community service and an individual system may be installed on an indefinite basis without firm obligation to connect to community system when and if it becomes available.",15425,,MOUNT NEBO,RD,,POOLESVILLE,MD,20837,0,0,,POINT (0 0)
SEWAGE DISPOSAL,767821,CONSTRUCT,SINGLE FAMILY DWELLING,08/11/2016,08/18/2016,09/18/2017,02/19/2018,Finaled,0,*Permit revision due to new COMAR regulation effective 11/24/16* Starting point of initial absorption system to be surveyed by a registered land surveyor. This property is in category W-6 and / or S-6 where there is no planned community service and an individual system may be installed on an indefinite basis without firm obligation to connect to community system when and if it becomes available. Trenches to be connected in series. &nbsp;Septic tank access port to be installed as per well and septic standards and specifications.,21941,,SLIDELL,RD,,BOYDS,MD,20841,39.217221,-77.329457,,POINT (-77.329457 39.217221)
SEWAGE DISPOSAL,809414,RESTORE AND / OR REPAIR,SINGLE FAMILY DWELLING,08/08/2017,09/27/2017,01/10/2018,,Finaled,0,This permit is only to replace the existing septic system.&nbsp; Observation ports to be installed at the ends of all trenches.&nbsp; Existing septic tank is to be pumped crushed and backfilled.&nbsp; This existing house is a 4 bedroom but the trenches are to be sized for a 6 bedroom at the owners request.,13509,,CLEVELAND,DR,,ROCKVILLE,MD,20850,39.074433,-77.204097,,POINT (-77.204097 39.074433)
SEWAGE DISPOSAL,887946,REMOVE AND REPLACE,SINGLE FAMILY DWELLING,08/28/2019,08/30/2019,09/09/2019,08/30/2020,Finaled,0,"Pre-construction meeting required prior to the start of any work.&nbsp; This permit is issued to install new septic tank to accommodate a proposed building addition � existing trench capacity is suitable to serve the house with the proposed addition. &nbsp;Condition of existing trenches to be confirmed at pre-construction meeting. Existing septic tank to be pumped by licensed scavenger, crushed and backfilled. This property is in category W-6 and / or S-6 where there is no planned community service and an individual system may be installed on an indefinite basis without firm obligation to connect to community system when and if it becomes available.",6409,,SWEET MEADOW,CT,,GAITHERSBURG,MD,20882,39.193641,-77.131403,,POINT (-77.131403 39.193641)
SEWAGE DISPOSAL,854979,RESTORE AND / OR REPAIR,SINGLE FAMILY DWELLING,10/15/2018,11/15/2018,,,Issued,0,"Prior to the start of any work, a pre-construction meeting must be conducted with an inspector from this office.&nbsp; This permit is issued to replace the existing septic system which has been confirmed failing.&nbsp; The existing septic tank shall be pumped by a licensed scavenger, crushed and backfilled.&nbsp;&nbsp; New distribution box with observation port to be installed.&nbsp; New schedule 40 PVC pipe to be installed from new septic tank to new distribution box.&nbsp; Observation ports to be installed at ends of all trenches.&nbsp; This property is in sewer category S-3: an exception shall be obtained from Montgomery County DEP prior to final approval of system installation.&nbsp;",25721,,RIDGE,RD,,DAMASCUS,MD,20872,39.279371,-77.211607,,POINT (-77.211607 39.279371)
SEWAGE DISPOSAL,776725,RESTORE AND / OR REPAIR,SINGLE FAMILY DWELLING,10/17/2016,10/04/2017,,,Issued,0,"This permit is issued to replace the existing septic system which is confirmed failing.&nbsp; Pre-construction meeting required prior to the start of any work.&nbsp; A new MDE-approved B.A.T. unit shall be installed � HOOT tank� pumped system required. A valve/gate box shall be installed after new B.A.T. unit with distribution boxes at the start points of both sets of trenches - observation ports to be installed at the ends of all trenches.&nbsp; The installer of the B.A.T. unit must be certified by MDE and the treatment unit vendor. Maryland Department of the Environment recommends septic tanks, B.A.T. unit and other pretreatment units be pumped at a frequency adequate to ensure that solids are not discharged to the disposal area. The system being permitted utilizes electrical devices that will need to be connected to the home�s electrical service. All connections must be made by a licensed electrician and inspected by a DPS electrical inspector. Existing septic tank and drywell to be pumped, crushed and backfilled prior to final approval.&nbsp; ***Prior to final approval of the new system installation, it shall be confirmed on-site that the original water well has been properly abandoned and sealed.&nbsp; If not, then it shall be done prior to final approval. ***

&nbsp;",25631,,RIDGE,RD,,DAMASCUS,MD,20872,39.277786,-77.212227,,POINT (-77.212227 39.277786)
SEWAGE DISPOSAL,843328,RESTORE AND / OR REPAIR,SINGLE FAMILY DWELLING,06/29/2018,08/15/2018,02/12/2019,,Finaled,0,"Pre-construction meeting shall be conducted prior to the start of any work.&nbsp; This septic permit is issued to replace the existing septic system which has been confirmed failing - drywell is collapsing and septic tank is cinderblock. Existing septic tank and drywell to be pumped by licensed scavenger, crushed and backfilled.&nbsp; New 1500-gallon top seam septic tank to be installed.&nbsp;&nbsp; New distribution box with observation port and new trenches with observation ports at ends to be installed.&nbsp; This property is in category S-6 where there is no planned community service and an individual system may be installed on an indefinite basis without firm obligation to connect to community system when and if it becomes available.",24801,,FREDERICK,RD,,CLARKSBURG,MD,20871,39.263246,-77.303403,,POINT (-77.303403 39.263246)
SEWAGE DISPOSAL,659429,CONSTRUCT,SINGLE FAMILY DWELLING,01/02/2014,01/28/2014,01/30/2014,,Finaled,0,This permit is for the repair of a failing septic system.&nbsp; A diversion valve and distribution box will be utilized.&nbsp;Septic tank must be pumped. &nbsp;A riser shall be installed on the septic tank.&nbsp; Observation ports to be installed at ends of trenches.&nbsp; Inspection and approval of this septic system does not constitute automatic approval for future additions to the existing house.,4219,,DUSTIN,RD,,BURTONSVILLE,MD,20866,39.11949,-76.921401,,POINT (-76.921401 39.11949)
SEWAGE DISPOSAL,654483,REMOVE AND REPLACE,SINGLE FAMILY DWELLING,11/08/2013,11/13/2013,01/15/2014,,Finaled,0,"This permit is to replace the original septic tank, which was checked by a private inspector and found to be defective.&nbsp; A pre-construction meeting is required to determine the location of the new tank.&nbsp; The existing tank must be pumped, crushed, and back-filled.&nbsp; Prior to final approval, the condition of the exisitng&nbsp;drainfield must be evaluated.&nbsp; If the&nbsp;drainfield is found to be failing, then percolation testing will be necessary to determine the septic design and a new drainfield must be installed.&nbsp; Inspection and approval of this tank does not constitute automatic approval for future additions to the existing house.",1207,,HORNELL,DR,,SILVER SPRING,MD,20905,39.141166,-76.989829,,POINT (-76.989829 39.141166)
SEWAGE DISPOSAL,849917,REPLACE,SINGLE FAMILY DWELLING,08/27/2018,09/06/2018,03/01/2019,,Finaled,0,"Pre-construction meeting required prior to the start of any work - this septic permit is issued to replace the existing septic system which has been confirmed failing. PUMPED SEPTIC SYSTEM REQUIRED � 1000 gallon top seam pump chamber with single effluent pump and alarm required.&nbsp; New 1500-gallon top seam two-compartment septic tank to be installed.&nbsp;&nbsp; New distribution box with observation port and new trenches with observation ports at ends to be installed.&nbsp; Existing septic tank and drywell to be pumped by licensed scavenger, crushed and backfilled.&nbsp; This property is in category W-6 and / or S-6 where there is no planned community service and an individual system may be installed on an indefinite basis without firm obligation to connect to community system when and if it becomes available.",27512,,RIDGE,RD,,DAMASCUS,MD,20872,39.308414,-77.198473,,POINT (-77.198473 39.308414)
SEWAGE DISPOSAL,640329,RESTORE AND / OR REPAIR,,06/28/2013,07/01/2013,07/01/2013,,Finaled,0,"This permit is to replace the existing septic tank which was checked by a private inspector and found to be leaking. &nbsp; A pre-construction meeting is required to determine the location of the new tank. The existing tank must be pumped, crushed, and back-filled.",21231,,NEW HAMPSHIRE,AVE,,BROOKEVILLE,MD,20833,39.205779,-77.032418,,POINT (-77.032418 39.205779)
