PermitNumber,ApplicationTrackingID,SequenceNumber,ApplicationTypeShortDesc,PermitStatusID,PermitStatusShortDesc,PermitSeriesID,PermitSeriesShortDesc,PermitTypeID,PermitTypeDesc,SpecificStipulations,PermitIssueDate,IssuedWorkStartDate,IssuedWorkEndDate,BoroughName,OnStreetName,FromStreetName,ToStreetName,PermitteeName,CreatedOn,ModifiedOn
2015032336,ICBPS-20150323-36,0001,New,030,EXPIRED,IB,Bus Stop,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",10/17/2016,10/17/2016,10/17/2017,MANHATTAN,WEST   33 STREET,8 AVENUE,9 AVENUE,MONROE BUS CORP,03/23/2015,02/09/2018
2016100783,ICBPS-20161007-83,0001,Renew,030,EXPIRED,IB,Bus Stop,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",01/10/2017,01/10/2017,01/10/2018,MANHATTAN,3 AVENUE,EAST   67 STREET,EAST   68 STREET,"Hampton Jitney, Inc.",10/07/2016,03/30/2018
20170824112,ICBPS-20170824-112,0001,New,006,ISSUED & PRINTED,IB,BUS STOP PERMITS,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",01/11/2018,01/11/2018,01/11/2021,MANHATTAN,EAST BROADWAY,PIKE STREET,RUTGERS STREET,Hi Bus Inc,08/24/2017,07/17/2018
2017012412,ICBPS-20170124-12,0001,Renew,030,EXPIRED,IB,Bus Stop,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",04/25/2017,04/25/2017,01/30/2018,BROOKLYN,WATER STREET,FULTON STREET,JOHN STREET,"Hampton Jitney, Inc.",01/24/2017,03/30/2018
20131023266,ICBPS-20131023-266,0001,Renew,030,EXPIRED,IB,Bus Stop,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",02/04/2014,02/04/2014,02/04/2017,MANHATTAN,STATE STREET,BATTERY PLACE,BRIDGE STREET,Frank Martz Coach Co,10/23/2013,02/09/2018
MIB2019010A24,2018112600877430,0001,New,006,ISSUED & PRINTED,IB,Bus Stop Permit,IB01,Intercity Bus Stop Permit,"Only 1 bus(es) permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the NYC DOT. Permittee must follow all applicable laws and rules, including but not limited to section 4-10 of Title 34 of the Rules of the City of New York.",01/10/2019,01/10/2019,01/10/2022,MANHATTAN,3 AVENUE,EAST   42 STREET,EAST   43 STREET,"Hampton Jitney, Inc.",01/10/2019,01/10/2019
2014031945,ICBPS-20140319-45,0001,New,030,EXPIRED,IB,Bus Stop,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",09/12/2014,09/12/2014,09/12/2015,MANHATTAN,LEXINGTON AVENUE,EAST   48 STREET,EAST   49 STREET,Fozia Thurston Bus Company,03/19/2014,02/09/2018
2018011618,ICBPS-20180116-18,0001,Renew,030,EXPIRED,IB,Bus Stop Permit,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",01/30/2018,01/30/2018,01/10/2019,MANHATTAN,2 AVENUE,EAST   11 STREET,EAST   12 STREET,"Hampton Jitney, Inc.",01/16/2018,01/10/2019
20170726103,ICBPS-20170726-103,0001,Renew,030,EXPIRED,IB,Bus Stop,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",11/21/2017,11/21/2017,05/21/2018,MANHATTAN,EAST BROADWAY,PIKE STREET,RUTGERS STREET,Rockledge Bus Tours Inc,07/26/2017,05/21/2018
20130927234,ICBPS-20130927-234,0001,Renew,030,EXPIRED,IB,Bus Stop,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",02/04/2014,02/04/2014,02/04/2017,MANHATTAN,PEARL STREET,FRANKFORT STREET,PECK SLIP,Frank Martz Coach Co,09/27/2013,02/09/2018
20131010253,ICBPS-20131010-253,0001,New,030,EXPIRED,IB,Bus Stop,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",02/28/2014,02/28/2014,02/28/2017,MANHATTAN,WEST   36 STREET,7 AVENUE,8 AVENUE,"Q.T. Transport, Inc.",10/10/2013,02/09/2018
BIB2018100A00,2018030500119690,0001,New,006,ISSUED & PRINTED,IB,Bus Stop,IB01,Intercity Bus Stop Permit,"Only 1 bus(es)  permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the Department. Permittee must follow all applicable laws and rules, including but not limited to section 1642-a of the NYS Vehicle and Traffic Law and section 4-10(d) of Title 34 of the Rules of the City of New York.",04/10/2018,04/10/2018,04/10/2021,BROOKLYN,ATLANTIC AVENUE,3 AVENUE,4 AVENUE,"MBT WORLDWIDE, INC.",04/10/2018,04/10/2018
201601266,ICBPS-20160126-6,0001,Renew,030,EXPIRED,IB,Bus Stop,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",04/15/2016,04/15/2016,04/15/2017,QUEENS,MAIN STREET,DAHLIA AVENUE,PECK AVENUE,New Sun International Travel Inc.,01/26/2016,02/09/2018
2017012414,ICBPS-20170124-14,0001,Renew,030,EXPIRED,IB,Bus Stop,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",04/25/2017,04/25/2017,01/30/2018,MANHATTAN,WATER STREET,BROAD STREET,OLD SLIP,"Hampton Jitney, Inc.",01/24/2017,03/30/2018
20171017147,ICBPS-20171017-147,0001,Renew,030,EXPIRED,IB,Bus Stop Permit,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",01/10/2018,01/10/2018,01/10/2019,BROOKLYN,4 AVENUE,SACKETT STREET,UNION STREET,"Hampton Jitney, Inc.",10/17/2017,01/10/2019
2014032850,ICBPS-20140328-50,0001,New,030,EXPIRED,IB,Bus Stop,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",07/03/2014,07/03/2014,07/03/2017,MANHATTAN,7 AVENUE,WEST   52 STREET,WEST   53 STREET,"Hampton Jitney, Inc.",03/28/2014,02/09/2018
2016100893,ICBPS-20161008-93,0001,Renew,030,EXPIRED,IB,Bus Stop,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",01/10/2017,01/10/2017,01/10/2018,BROOKLYN,4 AVENUE,SACKETT STREET,UNION STREET,"Hampton Jitney, Inc.",10/08/2016,03/30/2018
20171020161,ICBPS-20171020-161,0001,Renew,006,ISSUED & PRINTED,IB,BUS STOP PERMITS,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",12/31/2017,12/31/2017,12/31/2020,MANHATTAN,BROADWAY,WEST  178 STREET,TRANSMANHATTAN EXPRESSWAY,Spanish Transportation Service Corp.,10/20/2017,07/17/2018
20171016144,ICBPS-20171016-144,0001,Renew,030,EXPIRED,IB,Bus Stop Permit,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",01/10/2018,01/10/2018,01/10/2019,MANHATTAN,LEXINGTON AVENUE,EAST   59 STREET,EAST   60 STREET,"Hampton Jitney, Inc.",10/16/2017,01/10/2019
2018011619,ICBPS-20180116-19,0001,Renew,030,EXPIRED,IB,Bus Stop Permit,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",01/30/2018,01/30/2018,01/10/2019,MANHATTAN,7 AVENUE,WEST   52 STREET,WEST   53 STREET,"Hampton Jitney, Inc.",01/16/2018,01/10/2019
2015082081,ICBPS-20150820-81,0001,Renew,030,EXPIRED,IB,Bus Stop,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",10/17/2015,10/17/2015,10/17/2016,MANHATTAN,LEXINGTON AVENUE,EAST   39 STREET,EAST   40 STREET,Hampton Transportation Ventures Inc.,08/20/2015,02/09/2018
20171020164,ICBPS-20171020-164,0001,Renew,030,EXPIRED,IB,Bus Stop Permit,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",01/10/2018,01/10/2018,01/10/2019,MANHATTAN,BROADWAY,WEST   85 STREET,WEST   86 STREET,"Hampton Jitney, Inc.",10/20/2017,01/10/2019
20130823128,ICBPS-20130823-128,0001,Renew,030,EXPIRED,IB,Bus Stop,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",01/10/2014,01/10/2014,01/10/2017,MANHATTAN,3 AVENUE,EAST   72 STREET,EAST   73 STREET,"Hampton Jitney, Inc.",08/23/2013,02/09/2018
2016100785,ICBPS-20161007-85,0001,Renew,030,EXPIRED,IB,Bus Stop,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",01/10/2017,01/10/2017,01/10/2018,MANHATTAN,3 AVENUE,EAST   79 STREET,EAST   80 STREET,"Hampton Jitney, Inc.",10/07/2016,03/30/2018
2013081246,ICBPS-20130812-46,0001,Renew,030,EXPIRED,IB,Bus Stop,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",10/03/2013,10/03/2013,10/03/2016,MANHATTAN,ALLEN STREET,CANAL STREET,HESTER STREET,EASTERN COACH INC.,08/12/2013,02/09/2018
20131118281,ICBPS-20131118-281,0001,New,030,EXPIRED,IB,Bus Stop,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",09/19/2014,09/19/2014,09/19/2017,MANHATTAN,WEST   37 STREET,7 AVENUE,8 AVENUE,"Vision Tours, Corp",11/18/2013,02/09/2018
2017032745,ICBPS-20170327-45,0001,New,030,EXPIRED,IB,Bus Stop,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",04/11/2017,04/11/2017,10/11/2017,MANHATTAN,PIKE STREET,DIVISION STREET,EAST BROADWAY,Yep Tour Inc,03/27/2017,02/09/2018
2015031735,ICBPS-20150317-35,0001,New,030,EXPIRED,IB,Bus Stop,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",06/08/2015,06/08/2015,01/08/2017,MANHATTAN,CANAL STREET,BOWERY,CHRYSTIE STREET,Lucky River Transportation Corp.,03/17/2015,02/09/2018
2015062457,ICBPS-20150624-57,0001,New,030,EXPIRED,IB,Bus Stop Permit,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",11/17/2015,11/17/2015,11/17/2018,MANHATTAN,ALLEN STREET,BROOME STREET,GRAND STREET,Tribal Sun Bus Company LLC,06/24/2015,11/17/2018
20161011103,ICBPS-20161011-103,0001,Renew,030,EXPIRED,IB,Bus Stop,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",01/11/2017,01/11/2017,02/05/2018,MANHATTAN,EAST BROADWAY,PIKE STREET,RUTGERS STREET,GD TOUR INC,10/11/2016,02/09/2018
2017043075,ICBPS-20170430-75,0001,New,030,EXPIRED,IB,Bus Stop Permit,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",02/05/2018,02/05/2018,02/05/2019,MANHATTAN,LEXINGTON AVENUE,EAST   58 STREET,EAST   59 STREET,M&V Corporate Transportation Inc.,04/30/2017,02/05/2019
20161117125,ICBPS-20161117-125,0001,Renew,030,EXPIRED,IB,Bus Stop Permit,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",02/25/2017,02/25/2017,02/25/2019,QUEENS,KISSENA BOULEVARD,MAIN STREET,SANFORD AVENUE,Super Bus Inc.,11/17/2016,02/25/2019
20171017154,ICBPS-20171017-154,0001,Renew,030,EXPIRED,IB,Bus Stop Permit,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",01/10/2018,01/10/2018,01/10/2019,MANHATTAN,EAST 44 STREET,3 AVENUE,LEXINGTON AVENUE,"Hampton Jitney, Inc.",10/17/2017,01/10/2019
QIB2018086A00,2018030800639867,0001,New,906,VOIDED AFTER ISSUE,IB,Bus Stop,IB01,Intercity Bus Stop Permit,"Only 1 bus(es)  permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the Department. Permittee must follow all applicable laws and rules, including but not limited to section 1642-a of the NYS Vehicle and Traffic Law and section 4-10(d) of Title 34 of the Rules of the City of New York.",03/27/2018,03/27/2018,03/27/2019,QUEENS,KISSENA BOULEVARD,41 AVENUE,BARCLAY AVENUE,EAGLE BUS INC.,03/27/2018,03/27/2018
20140815109,ICBPS-20140815-109,0001,Renew,030,EXPIRED,IB,Bus Stop,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",10/17/2014,10/17/2014,10/17/2015,MANHATTAN,3 AVENUE,EAST   40 STREET,EAST   41 STREET,Hampton Transportation Ventures Inc.,08/15/2014,02/09/2018
20130927241,ICBPS-20130927-241,0001,New,030,EXPIRED,IB,Bus Stop,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",03/07/2014,03/07/2014,03/07/2017,MANHATTAN,1 AVENUE,EAST   38 STREET,EAST   39 STREET,"Greyhound Lines, Inc",09/27/2013,02/09/2018
2016100895,ICBPS-20161008-95,0001,Renew,030,EXPIRED,IB,Bus Stop,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",01/10/2017,01/10/2017,01/10/2018,BROOKLYN,TILLARY STREET,CADMAN PLAZA EAST,CLINTON STREET,"Hampton Jitney, Inc.",10/08/2016,03/30/2018
MIB2019010A11,2018112700557440,0001,New,006,ISSUED & PRINTED,IB,Bus Stop Permit,IB01,Intercity Bus Stop Permit,"Only 1 bus(es) permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the NYC DOT. Permittee must follow all applicable laws and rules, including but not limited to section 4-10 of Title 34 of the Rules of the City of New York.",01/10/2019,01/10/2019,01/10/2022,MANHATTAN,LEXINGTON AVENUE,EAST   82 STREET,EAST   83 STREET,"Hampton Jitney, Inc.",01/10/2019,01/10/2019
20131108272,ICBPS-20131108-272,0001,New,030,EXPIRED,IB,Bus Stop,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",09/19/2014,09/19/2014,09/19/2017,MANHATTAN,WEST   36 STREET,7 AVENUE,8 AVENUE,"Gunther Charters, Inc.",11/08/2013,02/09/2018
2015082183,ICBPS-20150821-83,0001,New,030,EXPIRED,IB,Bus Stop Permit,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",12/10/2015,12/10/2015,12/10/2018,MANHATTAN,LEXINGTON AVENUE,EAST   76 STREET,EAST   77 STREET,"Hampton Jitney, Inc.",08/21/2015,12/10/2018
MIB2019025A05,2019010701075960,0001,Renew,906,VOIDED AFTER ISSUE,IB,Bus Stop Permit,IB01,Intercity Bus Stop Permit,"Only 1 bus(es) permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the NYC DOT. Permittee must follow all applicable laws and rules, including but not limited to section 4-10 of Title 34 of the Rules of the City of New York.",01/25/2019,01/25/2019,02/02/2020,MANHATTAN,8 AVENUE,WEST   38 STREET,WEST   39 STREET,"Carl R. Bieber, Inc.",01/25/2019,02/25/2019
2017042757,ICBPS-20170427-57,0001,New,006,ISSUED & PRINTED,IB,Bus Stop,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",08/02/2017,08/02/2017,08/02/2020,MANHATTAN,EAST   44 STREET,5 AVENUE,MADISON AVENUE,Cornell University Motorcoach,04/27/2017,02/08/2018
20171015138,ICBPS-20171015-138,0001,Renew,030,EXPIRED,IB,Bus Stop Permit,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",01/10/2018,01/10/2018,01/10/2019,MANHATTAN,3 AVENUE,EAST   60 STREET,EAST   61 STREET,"Hampton Jitney, Inc.",10/15/2017,01/10/2019
20171016145,ICBPS-20171016-145,0001,Renew,030,EXPIRED,IB,Bus Stop Permit,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",01/10/2018,01/10/2018,01/10/2019,MANHATTAN,LEXINGTON AVENUE,EAST   68 STREET,EAST   69 STREET,"Hampton Jitney, Inc.",10/16/2017,01/10/2019
20131101270,ICBPS-20131101-270,0001,Renew,030,EXPIRED,IB,Bus Stop,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",03/28/2014,03/28/2014,03/28/2015,MANHATTAN,CANAL STREET,ELDRIDGE STREET,FORSYTH STREET,Taos Travel Inc.,11/01/2013,02/09/2018
2017031744,ICBPS-20170317-44,0001,New,006,ISSUED & PRINTED,IB,Bus Stop,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",11/06/2017,11/06/2017,11/06/2020,QUEENS,MAIN STREET,MAPLE AVENUE,SANFORD AVENUE,Soe Tour Inc.,03/17/2017,02/08/2018
2017013019,ICBPS-20170130-19,0001,New,030,EXPIRED,IB,Bus Stop Permit,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",02/23/2017,02/23/2017,02/23/2019,QUEENS,SANFORD AVENUE,KISSENA BOULEVARD,UNION STREET,"Kingly Coach, Inc.",01/30/2017,02/23/2019
MIB2018232A03,2018041701132113,0001,New,006,ISSUED & PRINTED,IB,Bus Stop Permit,IB01,Intercity Bus Stop Permit,"Only 1 bus(es) permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the NYC DOT. Permittee must follow all applicable laws and rules, including but not limited to section 4-10 of Title 34 of the Rules of the City of New York.",08/20/2018,08/20/2018,08/20/2021,MANHATTAN,WEST   42 STREET,8 AVENUE,9 AVENUE,"GALAXY TOWERS, INC.",08/20/2018,08/20/2018
20131202287,ICBPS-20131202-287,0001,New,030,EXPIRED,IB,Bus Stop,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",03/07/2014,03/07/2014,03/07/2015,MANHATTAN,PIKE STREET,HENRY STREET,MADISON STREET,S & F Travel Inc.,12/02/2013,02/09/2018
2018011620,ICBPS-20180116-20,0001,Renew,030,EXPIRED,IB,Bus Stop Permit,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",01/30/2018,01/30/2018,01/10/2019,MANHATTAN,WEST   86 STREET,AMSTERDAM AVENUE,COLUMBUS AVENUE,"Hampton Jitney, Inc.",01/16/2018,01/10/2019
MIB2019025A02,2018122000618300,0001,New,006,ISSUED & PRINTED,IB,Bus Stop Permit,IB01,Intercity Bus Stop Permit,"Only 1 bus(es) permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the NYC DOT. Permittee must follow all applicable laws and rules, including but not limited to section 4-10 of Title 34 of the Rules of the City of New York.",01/25/2019,01/25/2019,01/25/2021,MANHATTAN,3 AVENUE,EAST   86 STREET,EAST   87 STREET,"M&V Corporate Transportation, Inc.",01/25/2019,01/25/2019
2016091371,ICBPS-20160913-71,0001,Renew,030,EXPIRED,IB,Bus Stop Permit,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",01/06/2017,01/06/2017,12/24/2018,MANHATTAN,CANAL STREET,ELDRIDGE STREET,FORSYTH STREET,NYC Style Limo Inc.,09/13/2016,01/04/2019
2017021535,ICBPS-20170215-35,0001,New,006,ISSUED & PRINTED,IB,Bus Stop,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",05/11/2017,05/11/2017,05/11/2020,MANHATTAN,CANAL STREET,BOWERY,CHRYSTIE STREET,"GO GO SUN TOUR, INC.",02/15/2017,02/08/2018
20161008101,ICBPS-20161008-101,0001,Renew,030,EXPIRED,IB,Bus Stop,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",01/10/2017,01/10/2017,01/10/2018,MANHATTAN,7 AVENUE,WEST   54 STREET,WEST   55 STREET,"Hampton Jitney, Inc.",10/08/2016,03/30/2018
20170706100,ICBPS-20170706-100,0001,Renew,030,EXPIRED,IB,Bus Stop Permit,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",09/21/2017,09/21/2017,09/21/2018,MANHATTAN,WEST   36 STREET,7 AVENUE,8 AVENUE,"GUNTHER CHARTERS, INC.",07/06/2017,01/04/2019
