License number,Limited Electrician Business License,Applicant name,License date,Issue date,Expire date,Insurance expiration date,Address - Line 1,Address - Line 2,City,STATE,ZipCode,Location
EL5225,LIMITED ELECTRICAL BUSINESS,_ ADAMS HEATING & AIR CONDITIONING,12/07/1988,12/07/1988,12/07/2002,01/01/2005,10630-B  RIGGS HILL  RD,,JESSUP,MD,20794,"10630-B RIGGS HILL RD
JESSUP, MD 20794
(39.134853, -76.800528)"
EL3299,LIMITED ELECTRICAL BUSINESS,_ SICILLIAN BROS.,02/17/2000,02/17/2000,01/10/1998,,4805  MANHEIM  AVE,,BELTSVILLE,MD,20705,"4805 MANHEIM AVE
BELTSVILLE, MD 20705
(39.044566, -76.908452)"
EL3967,LIMITED ELECTRICAL BUSINESS,"_ GBS SCCURITY SYSTEMS, INC.",04/01/2003,04/01/2003,04/01/2009,11/03/2007,700 CLABBER HILL ROAD,,CHURCH HILL,MD,21623,"700 CLABBER HILL ROAD
CHURCH HILL, MD 21623
(39.143076, -76.024644)"
EL5706,LIMITED ELECTRICAL BUSINESS,_ OTIS ELEVATOR COMPANY,04/24/2007,04/24/2007,04/24/2021,04/01/2020,"5000 PHILADELPHIA WAY, STE H",,LANHAM,MD,20706,"5000 PHILADELPHIA WAY, STE H
LANHAM, MD 20706
(38.958998, -76.837744)"
EL213501,LIMITED ELECTRICAL BUSINESS,_ MARYLAND TELEPHONE PRODUCTS CO INC,03/20/2014,04/09/2014,04/09/2018,04/06/2018,1014 CROMWELL BRIDGE ROAD,,TOWSON,MD,21286,"1014 CROMWELL BRIDGE ROAD
TOWSON, MD 21286
(39.399758, -76.575369)"
EL5621,LIMITED ELECTRICAL BUSINESS,"_ DESIGN TECH ELECTRONICS, INC.",05/12/2005,05/12/2005,05/12/2009,04/23/2013,2170 OLD WASHINGTON ROAD,SUITE #112,WALDORF,MD,20601,"2170 OLD WASHINGTON ROADSUITE #112
WALDORF, MD 20601"
EL4164,LIMITED ELECTRICAL BUSINESS,_ NETVERSTANT MID-ATLANTIC INC.,03/30/2004,04/07/2004,04/07/2010,03/01/2009,900 NORTH LEHIGH STREET,,BALTIMORE,MD,21205,"900 NORTH LEHIGH STREET
BALTIMORE, MD 21205
(39.302194, -76.559632)"
EL5074,LIMITED ELECTRICAL BUSINESS,_ FRENCHS PETROLEUM SERVICE INC,02/17/2000,02/17/2000,01/10/1989,,002838  BLADENSBURG  RDNE,,WASHINGTON,DC,20018,"002838 BLADENSBURG RDNE
WASHINGTON, DC 20018
(38.926754, -76.963306)"
EL223326,LIMITED ELECTRICAL BUSINESS,_ CATON COMMUNICATIONS GROUP INC,11/09/2016,11/09/2016,11/09/2020,03/27/2020,4601 LEEDS AVE,SUITE 100,BALTIMORE,MD,21229,"4601 LEEDS AVESUITE 100
BALTIMORE, MD 21229"
EL4036,LIMITED ELECTRICAL BUSINESS,_ NETWORK CABLING SERVICES,05/22/2003,06/24/2003,06/24/2019,12/17/2018,2022 WESTERN RUN ROAD,,COCKEYSVILLE,MD,21030,"2022 WESTERN RUN ROAD
COCKEYSVILLE, MD 21030
(39.532603, -76.720248)"
EL5373,LIMITED ELECTRICAL BUSINESS,_ ACCUTECH SYSTEMS INC,12/17/1991,12/17/1991,12/17/2007,02/22/2007,704 E GUDE DRIVE #A,,ROCKVILLE,MD,20850,"704 E GUDE DRIVE #A
ROCKVILLE, MD 20850
(39.103041, -77.142349)"
EL5412,LIMITED ELECTRICAL BUSINESS,"_ SECURITY EXPERTS INTERNATIONAL, LTD.",02/17/2000,02/17/2000,07/01/1995,,2609  MOUNT VERNON  AVE,,ALEXANDRIA,VA,22301,"2609 MOUNT VERNON AVE
ALEXANDRIA, VA 22301
(38.828802, -77.059123)"
EL212501,LIMITED ELECTRICAL BUSINESS,_ SUNCLOUD SERVICES LLC,12/26/2013,01/30/2014,01/30/2016,10/14/2016,3470 OLNEY-LAYTONSVILLE ROAD,#293,OLNEY,MD,20832,"3470 OLNEY-LAYTONSVILLE ROAD#293
OLNEY, MD 20832
(39.153763, -77.068141)"
201094,LIMITED ELECTRICAL BUSINESS,_,,,,,,,,,,
EL5335,LIMITED ELECTRICAL BUSINESS,_ MGM SECURITY SYSTEMS INC.,06/29/2011,07/15/2011,07/15/2015,10/25/2013,2517 RED CEDAR DRIVE,,MITCHELLVILLE,MD,20721,"2517 RED CEDAR DRIVE
MITCHELLVILLE, MD 20721
(38.926421, -76.807976)"
EL5719,LIMITED ELECTRICAL BUSINESS,_ DIAMOND SECURITY INC,03/26/2009,04/09/2009,04/09/2021,04/15/2020,2622 LORD BALTIMORE DRIVE,SUITE G,WINDSOR MILL,MD,21244,"2622 LORD BALTIMORE DRIVESUITE G
WINDSOR MILL, MD 21244"
EL5724,LIMITED ELECTRICAL BUSINESS,"_ GRAMPHONE, LTD",08/09/2010,08/17/2010,08/17/2014,09/30/2016,4 WEST AYLESBURY ROAD,,TIMONIUM,MD,21093,"4 WEST AYLESBURY ROAD
TIMONIUM, MD 21093
(39.433135, -76.623984)"
EL5304,LIMITED ELECTRICAL BUSINESS,_ ASCOT TELEPHONE SERVICE CO INC,02/17/2000,02/17/2000,01/10/1989,,000401 W PATRICK  ST,,FREDERICK,MD,21701,"000401 W PATRICK ST
FREDERICK, MD 21701
(39.412604, -77.421027)"
EL5524,LIMITED ELECTRICAL BUSINESS,_ NETHOUSE USA,03/28/2005,04/05/2005,04/05/2007,11/27/2006,7454 EDGEHILL DRIVE,,WARRENTON,VA,20186,"7454 EDGEHILL DRIVE
WARRENTON, VA 20186
(38.630717, -77.810185)"
EL4260,LIMITED ELECTRICAL BUSINESS,_ LOWE VOLTAGE LLC,10/18/2004,10/18/2004,10/18/2010,11/30/2009,664 SHEPHERD LANE,,SHEPHERD,WV,25443,"664 SHEPHERD LANE
SHEPHERD, WV 25443
(39.425734, -77.830791)"
EL223371,LIMITED ELECTRICAL BUSINESS,_ PRO FIRE ALARMS LLC,11/29/2016,12/06/2016,12/06/2018,08/28/2017,3995 CALVERT AVE,,CHESAPEAKE BEACH,MD,20732,"3995 CALVERT AVE
CHESAPEAKE BEACH, MD 20732
(38.6624, -76.534768)"
EL3686,LIMITED ELECTRICAL BUSINESS,_ ACTIVE CONST. & COMMUNICATION,01/04/2001,01/04/2001,01/04/2005,05/20/2001,9501 RIDGELY AVENUE,,CARNEY,MD,21234,"9501 RIDGELY AVENUE
CARNEY, MD 21234
(39.392937, -76.515644)"
EL5388,LIMITED ELECTRICAL BUSINESS,_ BAD-DWD HEATING AND AIR CONDITIONING,02/17/2000,02/17/2000,10/21/1993,,010421  LORAIN  AVE,,SILVER SPRING,MD,20901,"010421 LORAIN AVE
SILVER SPRING, MD 20901
(39.023975, -77.008949)"
EL5017,LIMITED ELECTRICAL BUSINESS,_ PATRICK SIGNS INC,01/26/1971,01/26/1971,12/31/2010,11/29/2010,5410  RANDOLPH  RD,,ROCKVILLE,MD,20852,"5410 RANDOLPH RD
ROCKVILLE, MD 20852
(39.053448, -77.108095)"
EL5400,LIMITED ELECTRICAL BUSINESS,_ SBD CABLE PRODUCTS CORPORATION,02/17/2000,02/17/2000,06/18/1995,,4744  BALTIMORE  AVE,,HYATTSVILLE,MD,20781,"4744 BALTIMORE AVE
HYATTSVILLE, MD 20781
(38.949146, -76.940936)"
EL5247,LIMITED ELECTRICAL BUSINESS,_ COMMERCIAL AIR INC,09/30/1982,09/30/1982,09/30/1996,,12050  BALTIMORE  AVE,,BELTSVILLE,MD,20705,"12050 BALTIMORE AVE
BELTSVILLE, MD 20705
(39.055604, -76.892176)"
EL5712,LIMITED ELECTRICAL BUSINESS,_ VARIA SYSTEMS INC,02/15/2008,02/22/2008,03/05/2020,08/09/2018,2631 Sisson Street,,BALTIMORE,MD,21211,"2631 Sisson Street
BALTIMORE, MD 21211
(39.318186, -76.624244)"
EL5515,LIMITED ELECTRICAL BUSINESS,_ DO NOT USE H N ELECTRICAL SERVICE,02/26/2001,02/26/2001,02/26/2005,07/30/2007,13447 NEW HAMPSHIRE AVENUE,,SILVER SPRING,MD,20904,"13447 NEW HAMPSHIRE AVENUE
SILVER SPRING, MD 20904
(39.076576, -77.001671)"
EL5232,LIMITED ELECTRICAL BUSINESS,_ R.W.M. HEATING AND COOLING,12/16/1980,12/16/1980,10/07/2004,03/01/2008,1038 OLD WOODBINE RD.,,WOODBINE,MD,21797,"1038 OLD WOODBINE RD.
WOODBINE, MD 21797
(39.34575, -77.067828)"
EL5252,LIMITED ELECTRICAL BUSINESS,_ STEUART PETROLEUM CO,02/17/2000,02/17/2000,11/18/1995,,4646  40TH  STN.W.,,WASHINGTON,MD,20016,"4646 40TH STN.W.
WASHINGTON, MD 20016
(38.950294, -77.078722)"
EL4131,LIMITED ELECTRICAL BUSINESS,"_ GENESIS SECURITY SYSTEMS, LLC",01/08/2004,01/08/2004,01/08/2006,04/24/2006,20459 SENECA MEADOWS PARKWAY,,GERMANTOWN,MD,20876,"20459 SENECA MEADOWS PARKWAY
GERMANTOWN, MD 20876
(39.192584, -77.258972)"
EL5438,LIMITED ELECTRICAL BUSINESS,_ NEW AGE TECHNOLOGIES INC.,03/26/1996,03/26/1996,03/26/2002,01/01/2002,10506  WHEATLEY  ST,,KENSINGTON,MD,20895,"10506 WHEATLEY ST
KENSINGTON, MD 20895
(39.027497, -77.070913)"
EL5428,LIMITED ELECTRICAL BUSINESS,_ BOYLE COMMUNICATIONS,02/17/2000,02/17/2000,09/26/2001,12/09/1997,9198  DAHLGREN  RD,,KING GEORGE,VA,22485,"9198 DAHLGREN RD
KING GEORGE, VA 22485
(38.289246, -77.186723)"
EL5341,LIMITED ELECTRICAL BUSINESS,_ INNOVATIVE COMMUNICATIONS INC,06/21/1989,06/21/1989,06/21/1999,04/14/1998,9051  BALTIMORE NATIONAL  PIK,,ELLICOTT CITY,MD,21042,"9051 BALTIMORE NATIONAL PIK
ELLICOTT CITY, MD 21042
(39.276809, -76.824471)"
EL5300,LIMITED ELECTRICAL BUSINESS,"_ EXECUTONE INFORMATION SYSTEMS, INC.",02/17/2000,02/17/2000,12/31/1996,,478  WHEELERS FARMS  RD,,MILFORD,CT,06460,"478 WHEELERS FARMS RD
MILFORD, CT 06460
(41.248108, -73.075589)"
EL5422,LIMITED ELECTRICAL BUSINESS,"_ BAD-GBS SECURITY SYSTEMS, INC.",06/09/1995,06/09/1995,06/09/2001,06/01/2000,700 CLABBER HILL RD.,,CHURCH HILL,MD,21623,"700 CLABBER HILL RD.
CHURCH HILL, MD 21623
(39.143076, -76.024644)"
EL5493,LIMITED ELECTRICAL BUSINESS,_ BETTY THORPE ENTERPRISES INC,02/17/2000,02/17/2000,10/14/2000,04/11/2016,11301  MARYLAND  AVE,,BELTSVILLE,MD,20705,"11301 MARYLAND AVE
BELTSVILLE, MD 20705
(39.038852, -76.904475)"
EL5725,LIMITED ELECTRICAL BUSINESS,_ SHARP COMMUNICATION SERVICES,11/17/2010,11/26/2010,11/26/2012,11/08/2011,9515 GERWIG LANE,SUITE: 108,COLUMBIA,MD,21046,"9515 GERWIG LANESUITE: 108
COLUMBIA, MD 21046"
EL1256,LIMITED ELECTRICAL BUSINESS,_ DAVID M WILLIS,02/17/2000,02/17/2000,06/30/1982,,4708  14TH NW ST,,WASHINGTON,DC,20020,"4708 14TH NW ST
WASHINGTON, DC 20020"
EL5494,LIMITED ELECTRICAL BUSINESS,_ FSS SECURITY INC,02/17/2000,02/17/2000,03/19/1999,,12700  PARK CENTRAL  DR#1990,,DALLAS,TX,75251,"12700 PARK CENTRAL DR#1990
DALLAS, TX 75251
(32.920818, -96.777031)"
EL5723,LIMITED ELECTRICAL BUSINESS,"_ THE PHOENIX SECURITY GROUP, LT",04/29/2009,05/07/2009,05/07/2013,01/01/2012,7818 OX ROAD,,FAIRFAX STATION,VA,22039,"7818 OX ROAD
FAIRFAX STATION, VA 22039
(38.74637, -77.29208)"
EL5711,LIMITED ELECTRICAL BUSINESS,_ BAY TELEPHONE SYSTEM INC.,02/12/2008,02/25/2008,02/25/2012,06/01/2013,11890-F OLD BALTIMORE PIKE,,BELTSVILLE,MD,20705,"11890-F OLD BALTIMORE PIKE
BELTSVILLE, MD 20705
(39.050313, -76.889394)"
EL5525,LIMITED ELECTRICAL BUSINESS,"_ HP ELECTRONICS, INC.",06/01/2006,09/28/2006,09/28/2012,09/28/2014,2300 SULPHUR SPRING ROAD,,BALTIMORE,MD,21227,"2300 SULPHUR SPRING ROAD
BALTIMORE, MD 21227
(39.244803, -76.665434)"
EL5623,LIMITED ELECTRICAL BUSINESS,"_ DATA NETWORK SOLUTIONS, LLC.",02/06/2007,02/06/2007,02/06/2009,05/26/2007,1007 HYDE PARK DRIVE,,ANNAPOLIS,MD,21403,"1007 HYDE PARK DRIVE
ANNAPOLIS, MD 21403
(38.95562, -76.481165)"
EL3947,LIMITED ELECTRICAL BUSINESS,_ SENTRY INSTALLATION INC.,11/15/2002,11/21/2002,11/21/2014,02/10/2013,15940 DERWOOD ROAD,,ROCKVILLE,MD,20855,"15940 DERWOOD ROAD
ROCKVILLE, MD 20855
(39.116526, -77.160547)"
EL5424,LIMITED ELECTRICAL BUSINESS,"_ BUSINESS TELEPHONE SERVICES, INC.",02/17/2000,02/17/2000,03/15/1998,,101  LAKEFOREST  BLV#300,,GAITHERSBURG,MD,20877,"101 LAKEFOREST BLV#300
GAITHERSBURG, MD 20877
(39.150755, -77.20802)"
EL5298,LIMITED ELECTRICAL BUSINESS,_ R C A  SERVICE CO,02/17/2000,02/17/2000,01/10/1989,,000118  DERWOOD  CIR,,ROCKVILLE,MD,20850,"000118 DERWOOD CIR
ROCKVILLE, MD 20850
(39.105664, -77.153508)"
EL6510,LIMITED ELECTRICAL BUSINESS,_ SMI SIGN SYSTEMS  INC,09/01/2011,09/15/2011,09/15/2019,10/29/2017,3903 CORNELL PLACE,,FREDERICK,MD,21703,"3903 CORNELL PLACE
FREDERICK, MD 21703
(39.341826, -77.50394)"
EL5387,LIMITED ELECTRICAL BUSINESS,GABLE SIGNS AND GRAPHICS,12/14/1992,12/14/1992,12/14/2016,12/31/2017,7440 FORT SMALLWOOD ROAD,,BALTIMORE,MD,21226,"7440 FORT SMALLWOOD ROAD
BALTIMORE, MD 21226
(39.1819, -76.549468)"
EL5259,LIMITED ELECTRICAL BUSINESS,_ AIR DISTRIBUTING CO INC,02/17/2000,02/17/2000,10/31/1996,07/31/2015,10105 RESIDENCY RD,,MANASSAS,VA,20110,"10105 RESIDENCY RD
MANASSAS, VA 20110
(38.737687, -77.527431)"
EL3714,LIMITED ELECTRICAL BUSINESS,_ TOWER SECURITY,03/01/2001,03/01/2001,03/01/2003,01/30/2002,3647 CHILDRESS TERRACE,,BURTONSVILLE,MD,20866,"3647 CHILDRESS TERRACE
BURTONSVILLE, MD 20866
(39.092143, -76.936757)"
EL5382,LIMITED ELECTRICAL BUSINESS,"_ TECHNICAL SUPPORT SERVICES, INC.",02/17/2000,02/17/2000,08/31/1992,,81  CROTON  AVE,,NEW YORK,NY,10562,"81 CROTON AVE
NEW YORK, NY 10562
(41.165436, -73.857712)"
EL6508,LIMITED ELECTRICAL BUSINESS,_ STANLEY CONVERGENT SECURITY SOLUTIONS IN,04/08/2011,04/20/2011,04/20/2021,04/01/2020,6995 GOLDEN RING RD,,BALTIMORE,MD,21237,"6995 GOLDEN RING RD
BALTIMORE, MD 21237
(39.333018, -76.494293)"
EL5618,LIMITED ELECTRICAL BUSINESS,"_ SAFE STREETS USA, LLC",07/29/2008,08/01/2008,08/01/2020,04/17/2019,5305 RAYNOR ROAD,SUITE 100,GARNER,NC,27529,"5305 RAYNOR ROADSUITE 100
GARNER, NC 27529"
EL5292,LIMITED ELECTRICAL BUSINESS,_ B FRANK JOY CO INC,02/17/2000,02/17/2000,04/05/1989,,005355  KILMER  PL,,BLADENSBURG,MD,20710,"005355 KILMER PL
BLADENSBURG, MD 20710
(38.931564, -76.927732)"
EL5401,LIMITED ELECTRICAL BUSINESS,"_ LEDERER'S SOUND SERVICE, INC.*",08/04/1993,08/04/1993,08/04/2001,06/09/2000,907 W BROAD  ST,,FALLS CHURCH,VA,22046,"907 W BROAD ST
FALLS CHURCH, VA 22046
(38.889537, -77.182406)"
EL222423,LIMITED ELECTRICAL BUSINESS,_ SACMARIE TECHNOLOGIES LLC,11/16/2015,11/24/2015,11/24/2017,06/03/2018,168 POINSETT LANE,,FREDERICK,MD,21702,"168 POINSETT LANE
FREDERICK, MD 21702
(39.428055, -77.465181)"
EL5217,LIMITED ELECTRICAL BUSINESS,_ LUDDEKE LABORATORIES LTD,02/17/2000,02/17/2000,07/07/1997,,007924  OLD BRANCH  AVE,,CLINTON,MD,20735,"007924 OLD BRANCH AVE
CLINTON, MD 20735
(38.780497, -76.89916)"
EL5722,LIMITED ELECTRICAL BUSINESS,_ DAMRON ELECTRIC,04/03/2009,04/09/2009,04/09/2011,08/29/2009,25612 CONCORDE PLACE,,MILLSBORO,DE,19966,"25612 CONCORDE PLACE
MILLSBORO, DE 19966
(38.636367, -75.293851)"
EL212261,LIMITED ELECTRICAL BUSINESS,_ CHECKVIEW CORPORATION,11/15/2013,11/19/2013,11/19/2017,04/26/2016,8180 UPLAND CIRCLE,,CHANHASSEN,MN,55387,"8180 UPLAND CIRCLE
CHANHASSEN, MN 55387
(44.855218, -93.556898)"
EL3969,LIMITED ELECTRICAL BUSINESS,_ W.H. MARTIN SECURITY SYSTEMS,02/14/2003,02/14/2003,02/14/2005,05/01/2003,10001 FERNWOOD ROAD,,BETHESDA,MD,20817,"10001 FERNWOOD ROAD
BETHESDA, MD 20817
(39.019978, -77.134442)"
EL5355,LIMITED ELECTRICAL BUSINESS,"_ PRIORITY ONE SECURITY INC.,",02/17/2000,02/17/2000,03/05/1991,,24  SHERIDAN  RD,,ARNOLD,MD,21012,"24 SHERIDAN RD
ARNOLD, MD 21012
(39.035767, -76.500595)"
EL5321,LIMITED ELECTRICAL BUSINESS,_ MASTERGUARD,02/17/2000,02/17/2000,10/15/1992,,3638  SHARP  RD,,GLENWOOD,MD,21738,"3638 SHARP RD
GLENWOOD, MD 21738
(39.270754, -77.010143)"
EL5306,LIMITED ELECTRICAL BUSINESS,"_ BELL ATLANTICOM SYSTEMS, INC",02/17/2000,02/17/2000,04/01/1991,,8614  WESTWOOD CTR  DR,,VIENNA,VA,22180,"8614 WESTWOOD CTR DR
VIENNA, VA 22180
(38.929126, -77.247005)"
EL5239,LIMITED ELECTRICAL BUSINESS,_ CHANDLER MALEY INC,02/17/2000,02/17/2000,01/10/1989,,000304  CALVERT  AVE,,ALEXANDRIA,VA,22301,"000304 CALVERT AVE
ALEXANDRIA, VA 22301
(38.829972, -77.054249)"
EL5233,LIMITED ELECTRICAL BUSINESS,_ WILLON CONTRACTING INC,02/17/2000,02/17/2000,06/30/1994,,007028  WICK  LA,,ROCKVILLE,MD,20855,"007028 WICK LA
ROCKVILLE, MD 20855
(39.12407, -77.144823)"
EL3998,LIMITED ELECTRICAL BUSINESS,_ CUSTOM INSTALLED ALARM CO. INC,03/17/2003,03/19/2003,03/19/2005,11/25/2003,902 LORRAINE DRIVE,,FINKSBURG,MD,21048,"902 LORRAINE DRIVE
FINKSBURG, MD 21048
(39.549626, -76.917023)"
EL5718,LIMITED ELECTRICAL BUSINESS,_ CABLING CONCEPTS LLC,01/27/2009,02/24/2009,02/24/2011,10/14/2016,485 ADAMS LANE,,SEVERNA PARK,MD,21146,"485 ADAMS LANE
SEVERNA PARK, MD 21146
(39.080401, -76.561101)"
EL5025,LIMITED ELECTRICAL BUSINESS,_ AMERADA HESS CORP,02/17/2000,02/17/2000,06/30/1984,,008421  ARDMORE  RD,,LANDOVER,MD,20785,"008421 ARDMORE RD
LANDOVER, MD 20785"
EL5290,LIMITED ELECTRICAL BUSINESS,_ ADAMS TELEPHONE CONTRACTORS,02/17/2000,02/17/2000,02/13/1989,,011643  BROWNINGSVILLE  RD,,IJAMSVILLE,MD,21754,"011643 BROWNINGSVILLE RD
IJAMSVILLE, MD 21754
(39.323504, -77.261428)"
EL5325,LIMITED ELECTRICAL BUSINESS,_ HI-TCH ELECTRONICS,02/17/2000,02/17/2000,02/25/1991,,6644  PRESTWICK  DR,,HIGHLAND,MD,20777,"6644 PRESTWICK DR
HIGHLAND, MD 20777
(39.186359, -76.967392)"
EL5480,LIMITED ELECTRICAL BUSINESS,"_ NATIONAL SECURITY, INC.",05/08/1998,05/08/1998,05/08/2002,02/05/2002,10410  MAIN  ST,,FAIRFAX,VA,22030,"10410 MAIN ST
FAIRFAX, VA 22030
(38.846048, -77.305646)"
EL5508,LIMITED ELECTRICAL BUSINESS,"_ PRE-WIRE, INC.",03/30/2000,03/30/2000,03/30/2008,04/26/2008,P.O. BOX 5694,,DERWOOD,MD,20855,"P.O. BOX 5694
DERWOOD, MD 20855"
EL5624,LIMITED ELECTRICAL BUSINESS,_ BAD-ADVANCED WIRING GROUP LLC,01/05/2009,01/13/2009,01/13/2011,08/25/2009,14502-G LEE ROAD,,CHANTILLY,VA,20151,"14502-G LEE ROAD
CHANTILLY, VA 20151
(38.899602, -77.446536)"
EL3867,LIMITED ELECTRICAL BUSINESS,_ AHS SYSTEMS INC,05/03/2002,05/07/2002,05/07/2006,09/24/2008,4715 SELLMAN ROAD,SUITE G,BELTSVILLE,MD,20705,"4715 SELLMAN ROADSUITE G
BELTSVILLE, MD 20705"
EL5003,LIMITED ELECTRICAL BUSINESS,"_ KEY VISUAL SOLUTIONS, LLC",02/27/2008,03/06/2008,03/06/2010,06/20/2008,8101 RUNNYMEADE DRIVE,,FREDERICK,MD,21702,"8101 RUNNYMEADE DRIVE
FREDERICK, MD 21702
(39.455889, -77.423594)"
EL6505,LIMITED ELECTRICAL BUSINESS,_ KCI COMMUNICATIONS INFRASTRUCTURE,02/15/2011,03/09/2011,03/09/2019,04/01/2019,921 MERCANTILE DRIVE,STE KJH,HANOVER,MD,21076,"921 MERCANTILE DRIVESTE KJH
HANOVER, MD 21076"
EL5317,LIMITED ELECTRICAL BUSINESS,_ SHANNON SECURITY INC,07/07/1987,07/07/1987,07/07/2003,01/31/2003,16803 CRABBS BRANCH WAY,,ROCKVILLE,MD,20855,"16803 CRABBS BRANCH WAY
ROCKVILLE, MD 20855
(39.130146, -77.168137)"
EL5274,LIMITED ELECTRICAL BUSINESS,_ CAPITOL COMMUNICATIONS,09/25/1985,09/25/1985,09/25/2011,03/01/2012,16421  ALDEN  AVE,,GAITHERSBURG,MD,20877,"16421 ALDEN AVE
GAITHERSBURG, MD 20877
(39.126054, -77.185541)"
EL2530,LIMITED ELECTRICAL BUSINESS,_ M.R. QUIRK ELECTRICAL SERVICES,02/17/2000,02/17/2000,09/19/1991,,P.O.BOX 415,,GAMBRILLS,MD,21054,"P.O.BOX 415
GAMBRILLS, MD 21054"
EL5324,LIMITED ELECTRICAL BUSINESS,_ FIRST MARYLAND BANCORP,02/17/2000,02/17/2000,01/13/1994,,P.O. BOX 1596,,BALTIMORE,MD,21203,"P.O. BOX 1596
BALTIMORE, MD 21203"
EL3981,LIMITED ELECTRICAL BUSINESS,_ INTELLIGENT HOME TECHNOLOGIES INC.,02/27/2003,02/27/2003,02/27/2005,10/27/2003,8231 TRIPLE CROWN ROAD,,BOWIE,MD,20715,"8231 TRIPLE CROWN ROAD
BOWIE, MD 20715
(39.00182, -76.771909)"
EL0008,LIMITED ELECTRICAL BUSINESS,_ WATKINS JOHNSON CO,02/17/2000,02/17/2000,04/15/1985,,000700  QUINCE ORCHARD  RD,,GAITHERSBURG,MD,20760,"000700 QUINCE ORCHARD RD
GAITHERSBURG, MD 20760
(39.138113, -77.222579)"
EL5395,LIMITED ELECTRICAL BUSINESS,_ A.R.K. SIGN SERVICES,04/21/1993,04/21/1993,04/21/2009,11/18/2007,11119 NEW HAMPSHIRE AVENUE,,SILVER SPRING,MD,20904,"11119 NEW HAMPSHIRE AVENUE
SILVER SPRING, MD 20904
(39.038905, -76.990097)"
EL5255,LIMITED ELECTRICAL BUSINESS,"_ SECURITYLINK FROM AMERITECH, INC",08/31/1983,08/31/1983,08/31/2001,01/26/2002,6301 STEVENS FOREST RD.,,COLUMBIA,MD,21046,"6301 STEVENS FOREST RD.
COLUMBIA, MD 21046
(39.197093, -76.852613)"
EL3835,LIMITED ELECTRICAL BUSINESS,_ V. F. BELL SOUND SYSTEMS,01/17/2002,01/17/2002,01/17/2010,06/24/2009,1157 OLD DAVIDSONVILLE ROAD,,DAVIDSONVILLE,MD,21035,"1157 OLD DAVIDSONVILLE ROAD
DAVIDSONVILLE, MD 21035
(38.956926, -76.645519)"
EL216162,LIMITED ELECTRICAL BUSINESS,_ ELECTRONIC SECURITY SERVICES,08/29/2014,09/11/2014,09/11/2016,10/24/2015,1505 BUCK LANE,,UPPER MARLBORO,MD,20772,"1505 BUCK LANE
UPPER MARLBORO, MD 20772"
EL5268,LIMITED ELECTRICAL BUSINESS,_ EASTERN ENGINEERING INC,03/15/1985,03/15/1985,03/15/2003,01/15/2008,1820  MIDDLEVALE  TR,,SILVER SPRING,MD,20906,"1820 MIDDLEVALE TR
SILVER SPRING, MD 20906
(39.064463, -77.041344)"
EL5491,LIMITED ELECTRICAL BUSINESS,"_ CLARICOM, INC.",09/24/1998,09/24/1998,09/10/2002,,500 STAPLES DRIVE,,FRAMINGHAM,MA,01702,"500 STAPLES DRIVE
FRAMINGHAM, MA 01702
(42.291888, -71.489501)"
EL5403,LIMITED ELECTRICAL BUSINESS,_ RAMPART SECURITY,09/15/1993,09/15/1993,06/07/2002,03/08/2006,357 VALLEY STEAM RD,,SEVERNA PARK,MD,21146,"357 VALLEY STEAM RD
SEVERNA PARK, MD 21146
(39.097781, -76.541878)"
EL5375,LIMITED ELECTRICAL BUSINESS,"_ TEL DATA COMMUNICATIONS, INC.",02/04/1992,02/04/1992,02/04/2006,01/01/2005,19211A  CHENNAULT WAY,,GAITHERSBURG,MD,20879,"19211A CHENNAULT WAY
GAITHERSBURG, MD 20879
(39.171144, -77.156968)"
EL3950,LIMITED ELECTRICAL BUSINESS,_ PRO-LINE SYSTEMS INC,11/25/2002,12/31/2002,12/31/2020,10/15/2019,P O BOX 5598,,DERWOOD,MD,20855,"P O BOX 5598
DERWOOD, MD 20855"
EL4129,LIMITED ELECTRICAL BUSINESS,"_ CONSULTEL, INC.",01/05/2004,03/19/2004,03/19/2006,10/17/2006,6547 CEDAR LANE,,COLUMBIA,MD,21044,"6547 CEDAR LANE
COLUMBIA, MD 21044
(39.192862, -76.889814)"
EL0015,LIMITED ELECTRICAL BUSINESS,_ GENERAL ELECTRIC CO,02/17/2000,02/17/2000,03/14/1985,,008201  STAYTON  DR,,JESSUP,MD,20794,"008201 STAYTON DR
JESSUP, MD 20794
(39.144962, -76.803138)"
EL4223,LIMITED ELECTRICAL BUSINESS,"_ APPLIED FIRE PROTECTION SERVICES, INC.",07/12/2004,01/07/2005,07/01/2010,07/01/2011,10501-C EWING ROAD,,BELSTVILLE,MD,20705,"10501-C EWING ROAD
BELSTVILLE, MD 20705
(39.027541, -76.912599)"
EL5417,LIMITED ELECTRICAL BUSINESS,"_ LUCENT TECHNOLOGIES, INC.",02/17/2000,02/17/2000,09/15/1999,,283  KING GEORGE  RDC2A31,,WARREN,NJ,07059,"283 KING GEORGE RDC2A31
WARREN, NJ 07059"
EL5486,LIMITED ELECTRICAL BUSINESS,"_ BROADVIEW SECURITY, INC",02/04/1997,02/04/1997,02/04/2011,11/01/2010,4200 FORBES BLVD SUITE 102,,LANHAM,MD,20706,"4200 FORBES BLVD SUITE 102
LANHAM, MD 20706
(38.948759, -76.826936)"
