Date,Address,Event,the_geom,LONG,LAT
04/07/2015 12:00:00 AM +0000,48-0225th Avenue,Precision Luxury Limo Inc,POINT (-73.90518783386172 40.76489545480745),-73.9051878339,40.7648954548
04/08/2015 12:00:00 AM +0000,23-03Astoria Boulevard,Hoyt Limo and Service Corp,POINT (-73.92419737740612 40.771719233573954),-73.9241973774,40.7717192336
04/09/2015 12:00:00 AM +0000,143739th Street,Saro's Transportation Group,POINT (-73.98318413520404 40.63876187416981),-73.9831841352,40.6387618742
04/09/2015 12:00:00 AM +0000,4755th Avenue,"Express 11 Car Service, Inc",POINT (-73.98721764405805 40.668062939206806),-73.9872176441,40.6680629392
04/14/2015 12:00:00 AM +0000,20-0231st Street,Fortune Limouesines Inc,POINT (-73.90645591235155 40.77961927753388),-73.9064559124,40.7796192775
04/14/2015 12:00:00 AM +0000,35-2819th Avenue,"Deborah Car and Limousine Service, Inc",POINT (-73.90203201467499 40.78010141989976),-73.9020320147,40.7801014199
04/16/2015 12:00:00 AM +0000,21-0223rd Street,"Leon's Luxury Limo, Inc",POINT (-73.91370028638123 40.78149684072343),-73.9137002864,40.7814968407
04/16/2015 12:00:00 AM +0000,19-23Ditmars Boulevard,"Lincoln Limo Brokerage, Inc",POINT (-73.9173120096825 40.78080781580126),-73.9173120097,40.7808078158
04/16/2015 12:00:00 AM +0000,20-11Steinway Street,Los Andes Limo Inc,POINT (-73.90207399969441 40.77610511695214),-73.9020739997,40.776105117
04/21/2015 12:00:00 AM +0000,37-02Astoria Boulevard,New Enrico's Car Service Inc,POINT (-73.91275961235169 40.76912833983613),-73.9127596124,40.7691283398
04/21/2015 12:00:00 AM +0000,38-05Broadway,"Allesride, Inc",POINT (-73.91967055434792 40.7592989505491),-73.9196705543,40.7592989505
04/21/2015 12:00:00 AM +0000,45-02Ditmars Boulevard,Gee VIP Limo and Car Service Inc,POINT (-73.9030819409314 40.770737258702205),-73.9030819409,40.7707372587
04/23/2015 12:00:00 AM +0000,43-2437th Street,"Gemini Global Transportation, LLC",POINT (-73.92774233806037 40.74545978877342),-73.9277423381,40.7454597888
04/23/2015 12:00:00 AM +0000,10-0238th Avenue,"Bangla Car and Limo Service, Inc",POINT (-73.94233981926173 40.75863457590458),-73.9423398193,40.7586345759
04/23/2015 12:00:00 AM +0000,30-0739th Avenue,"Tel-A-Car of New York, LLC",POINT (-73.9335415205264 40.75303878771607),-73.9335415205,40.7530387877
04/28/2015 12:00:00 AM +0000,38-2123rd Street,Exit Car Service,POINT (-73.93760256870209 40.7562963283154),-73.9376025687,40.7562963283
04/28/2015 12:00:00 AM +0000,37-2223rd Street,"HTP, Inc",POINT (-73.93657276869222 40.757443070003),-73.9365727687,40.75744307
04/28/2015 12:00:00 AM +0000,37-3431st Street,Crescent Car and Limo Inc,POINT (-73.9314465961569 40.754511488910744),-73.9314465962,40.7545114889
04/30/2015 12:00:00 AM +0000,36-3110th Street,Limo 4 LLC,POINT (-73.9410888800592 40.76090384657815),-73.9410888801,40.7609038466
05/05/2015 12:00:00 AM +0000,37-10 Crescent Street,CMS Limo Inc,POINT (-73.93489866446484 40.756692820223876),-73.9348986645,40.7566928202
05/05/2015 12:00:00 AM +0000,38-13 10th Street,Bassett International Corp,POINT (-73.94274435608574 40.75833285543995),-73.9427443561,40.7583328554
05/05/2015 12:00:00 AM +0000,43-58 11th Street,Ta-Ta Transportation,POINT (-73.94894796173172 40.75063126873494),-73.9489479617,40.7506312687
