FSCSKEY,LIBID,LibrarySystem,BranchLibrary,WiFiHours,Password,Address,City,ZIP,Phone,OutletType,Longitude,Latitude,Website,eCardAccess,LastUpdate
WA0058,WA0058-005,FORT VANCOUVER REGIONAL LIBRARY DISTRICT,VANCOUVER MALL COMMUNITY LIBRARY,24x7,false,8700 NE VANCOUVER MALL DRIVE,VANCOUVER,98662,(360) 906-5000,BR,-122.58541,45.655851,https://www.fvrl.org/loc/tm,true,05/07/2020
WA0058,WA0058-009,FORT VANCOUVER REGIONAL LIBRARY DISTRICT,WASHOUGAL COMMUNITY LIBRARY,24x7,false,1661 C STREET,WASHOUGAL,98671,(360) 906-4860,BR,-122.354116,45.579227,https://www.fvrl.org/loc/wa,true,05/07/2020
WA0058,WA0058-010,FORT VANCOUVER REGIONAL LIBRARY DISTRICT,WHITE SALMON VALLEY COMMUNITY LIBRARY,24x7,false,77 NE WAUNA AVENUE,WHITE SALMON,98672,(509) 493-1132,BR,-121.482867,45.728256,https://www.fvrl.org/loc/ws,true,05/07/2020
WA0058,WA0058-013,FORT VANCOUVER REGIONAL LIBRARY DISTRICT,WOODLAND COMMUNITY LIBRARY,24x7,false,770 PARK STREET,WOODLAND,98674,(360) 906-4830,BR,-122.747369,45.903698,https://www.fvrl.org/loc/wd,true,05/07/2020
WA0058,WA0058-019,FORT VANCOUVER REGIONAL LIBRARY DISTRICT,YACOLT LIBRARY EXPRESS,24x7,false,105 E. YACOLT RD.,YACOLT,98675,(360) 906-5000,BR,-122.40642,45.866789,https://www.fvrl.org/loc/yt,true,05/07/2020
WA0037,WA0037-002,GRANDVIEW LIBRARY,GRANDVIEW LIBRARY,24x7,,500 W. MAIN STREET,GRANDVIEW,98930,(509) 882-7034,CE,-119.909172,46.256012,https://grandview.wa.us/departments/library/,true,04/24/2020
WA0038,WA0038-002,JEFFERSON COUNTY RURAL LIBRARY DISTRICT,JEFFERSON COUNTY LIBRARY,24x7,false,620 CEDAR AVENUE,PORT HADLOCK,98339,(360) 385-6544,CE,-122.771635,48.03342,https://jclibrary.info,true,04/24/2020
WA0012,WA0012-002,KALAMA PUBLIC LIBRARY,KALAMA PUBLIC LIBRARY,,false,312 N 1ST,KALAMA,98625,(360) 673-4568,CE,-122.845327,46.009896,https://www.kalamalibrary.com,true,04/28/2020
WA0059,WA0059-042,KING COUNTY LIBRARY SYSTEM,ALGONA-PACIFIC LIBRARY,Normal branch operating hours,false,255 ELLINGSON ROAD,PACIFIC,98047,(253) 833-3554,BR,-122.233834,47.271865,https://kcls.org/locations/1489/,true,04/24/2020
WA0059,WA0059-046,KING COUNTY LIBRARY SYSTEM,AUBURN LIBRARY,Normal branch operating hours,false,1102 AUBURN WAY SOUTH,AUBURN,98002,(253) 931-3018,BR,-122.218653,47.298029,https://kcls.org/locations/1490/,true,04/24/2020
WA0059,WA0059-003,KING COUNTY LIBRARY SYSTEM,BELLEVUE LIBRARY,Normal branch operating hours,false,1111 110TH AVENUE NE,BELLEVUE,98004,(425) 450-1765,BR,-122.193672,47.620045,https://kcls.org/locations/1492/,true,04/24/2020
WA0059,WA0059-004,KING COUNTY LIBRARY SYSTEM,BLACK DIAMOND LIBRARY,Normal branch operating hours,false,24707 ROBERTS DRIVE,BLACK DIAMOND,98010,(360) 886-1105,BR,-122.012814,47.312146,https://kcls.org/locations/1491/,true,04/24/2020
WA0059,WA0059-005,KING COUNTY LIBRARY SYSTEM,BOTHELL LIBRARY,Normal branch operating hours,false,18215 98TH AVENUE NE,BOTHELL,98011,(425) 486-7811,BR,-122.20973,47.760187,https://kcls.org/locations/1493/,true,04/24/2020
WA0059,WA0059-006,KING COUNTY LIBRARY SYSTEM,BOULEVARD PARK LIBRARY,Normal branch operating hours,false,12015 ROSEBERG AVENUE S,SEATTLE,98168,(206) 242-8662,BR,-122.307688,47.495097,https://kcls.org/locations/1494/,true,04/24/2020
WA0059,WA0059-007,KING COUNTY LIBRARY SYSTEM,BURIEN LIBRARY,Normal branch operating hours,false,400 SW 152ND STREET,BURIEN,98166,(206) 243-3490,BR,-122.339781,47.466855,https://kcls.org/locations/1495/,true,04/24/2020
WA0059,WA0059-008,KING COUNTY LIBRARY SYSTEM,CARNATION LIBRARY,Normal branch operating hours,false,4804 TOLT AVENUE,CARNATION,98014,(425) 333-4398,BR,-121.912512,47.65042,https://kcls.org/locations/1496/,true,04/24/2020
WA0059,WA0059-041,KING COUNTY LIBRARY SYSTEM,COVINGTON LIBRARY,Normal branch operating hours,false,27100 164TH AVENUE SE,COVINGTON,98042,(253) 630-8761,BR,-122.122964,47.358721,https://kcls.org/locations/1497/,true,04/24/2020
WA0059,WA0059-010,KING COUNTY LIBRARY SYSTEM,DES MOINES LIBRARY,Normal branch operating hours,false,21620 11TH AVENUE S,DES MOINES,98198,(206) 824-6066,BR,-122.31989,47.408092,https://kcls.org/locations/1502/,true,04/24/2020
WA0059,WA0059-011,KING COUNTY LIBRARY SYSTEM,DUVALL LIBRARY,Normal branch operating hours,false,15508 MAIN STREET NE,DUVALL,98019,(425) 788-1173,BR,-121.98615,47.740208,https://kcls.org/locations/1503/,true,04/24/2020
WA0059,WA0059-057,KING COUNTY LIBRARY SYSTEM,ENUMCLAW LIBRARY,Normal branch operating hours,false,1700 1ST STREET,ENUMCLAW,98022,(360) 825-2045,BR,-121.98702,47.20324,https://kcls.org/locations/119/,true,04/24/2020
WA0059,WA0059-012,KING COUNTY LIBRARY SYSTEM,FAIRWOOD LIBRARY,Normal branch operating hours,false,17009 140TH AVENUE SE,RENTON,98058,(425) 226-0522,BR,-122.154054,47.449779,https://kcls.org/locations/1508/,true,04/24/2020
WA0059,WA0059-013,KING COUNTY LIBRARY SYSTEM,FALL CITY LIBRARY,Normal branch operating hours,false,33415 SE 42ND PLACE,FALL CITY,98024,(425) 222-5951,BR,-121.89386,47.568917,https://kcls.org/locations/1506/,true,04/24/2020
WA0059,WA0059-014,KING COUNTY LIBRARY SYSTEM,FEDERAL WAY 320TH LIBRARY,Normal branch operating hours,false,848 S 320TH STREET,FEDERAL WAY,98003,(253) 839-0257,BR,-122.320835,47.3152,https://kcls.org/locations/1505/,true,04/24/2020
WA0059,WA0059-040,KING COUNTY LIBRARY SYSTEM,FEDERAL WAY LIBRARY,Normal branch operating hours,false,34200 1ST WAY SOUTH,FEDERAL WAY,98003,(253) 838-3668,BR,-122.332173,47.294928,https://kcls.org/locations/1509/,true,04/24/2020
WA0059,WA0059-053,KING COUNTY LIBRARY SYSTEM,GREENBRIDGE LIBRARY,Normal branch operating hours,false,9720 8TH AVE SW,SEATTLE,98106,(206) 762-1682,BR,-122.345286,47.516105,https://kcls.org/locations/1510/,true,04/24/2020
WA0059,WA0059-017,KING COUNTY LIBRARY SYSTEM,ISSAQUAH LIBRARY,Normal branch operating hours,false,10 W SUNSET WAY,ISSAQUAH,98027,(425) 392-5430,BR,-122.036759,47.530161,https://kcls.org/locations/1513/,true,04/24/2020
WA0059,WA0059-018,KING COUNTY LIBRARY SYSTEM,KENMORE LIBRARY,Normal branch operating hours,false,6531 NE 181ST STREET,KENMORE,98028,(425) 486-8747,BR,-122.252553,47.759511,https://kcls.org/locations/1519/,true,04/24/2020
WA0059,WA0059-019,KING COUNTY LIBRARY SYSTEM,KENT LIBRARY,Normal branch operating hours,false,212 2ND AVE N,KENT,98032,(253) 859-3330,BR,-122.234745,47.382488,https://kcls.org/locations/1520/,true,04/24/2020
WA0059,WA0059-059,KING COUNTY LIBRARY SYSTEM,KENT PANTHER LAKE LIBRARY,Normal branch operating hours,false,20500 108TH AVENUE SE,KENT,98031,(253) 854-0211,BR,-122.197044,47.41855,https://kcls.org/locations/155/,true,04/24/2020
WA0059,WA0059-020,KING COUNTY LIBRARY SYSTEM,KINGSGATE LIBRARY,Normal branch operating hours,false,12315 NE 143RD STREET,KIRKLAND,98034,(425) 821-7686,BR,-122.176421,47.729982,https://kcls.org/locations/1517/,true,04/24/2020
WA0059,WA0059-021,KING COUNTY LIBRARY SYSTEM,KIRKLAND LIBRARY,Normal branch operating hours,false,308 KIRKLAND AVENUE,KIRKLAND,98033,(425) 822-2459,BR,-122.202039,47.675495,https://kcls.org/locations/1518/,true,04/24/2020
WA0059,WA0059-015,KING COUNTY LIBRARY SYSTEM,LAKE FOREST PARK LIBRARY,Normal branch operating hours,false,17171 BOTHELL WAY NE,LAKE FOREST PARK,98155,(206) 362-8860,BR,-122.278915,47.752654,https://kcls.org/locations/1521/,true,04/24/2020
WA0059,WA0059-022,KING COUNTY LIBRARY SYSTEM,LAKE HILLS LIBRARY,Normal branch operating hours,false,15590 LAKE HILLS BLVD.,BELLEVUE,98007,(425) 747-3350,BR,-122.13096,47.60332,https://kcls.org/locations/1522/,true,04/24/2020
WA0059,WA0059-051,KING COUNTY LIBRARY SYSTEM,LIBRARY CONNECTION @ CROSSROADS,Normal branch operating hours,false,"15600 NE 8TH STREET, SUITE K-11",BELLEVUE,98008,(425) 644-6203,BR,-122.132298,47.617032,https://kcls.org/locations/1499/,true,04/24/2020
WA0059,WA0059-052,KING COUNTY LIBRARY SYSTEM,LIBRARY CONNECTION @ SOUTHCENTER,Normal branch operating hours,false,1386 SOUTHCENTER MALL,TUKWILA,98188,(425) 226-0522,BR,-122.255388,47.457971,https://kcls.org/locations/1538/,true,04/24/2020
WA0059,WA0059-023,KING COUNTY LIBRARY SYSTEM,MAPLE VALLEY LIBRARY,Normal branch operating hours,false,21844 SE 248TH STREET,MAPLE VALLEY,98038,(425) 432-4620,BR,-122.050174,47.379674,https://kcls.org/locations/1527/,true,04/24/2020
WA0059,WA0059-024,KING COUNTY LIBRARY SYSTEM,MERCER ISLAND LIBRARY,Normal branch operating hours,false,4400 88TH AVENUE SE,MERCER ISLAND,98040,(206) 236-3537,BR,-122.221534,47.566758,https://kcls.org/locations/1525/,true,04/24/2020
WA0059,WA0059-025,KING COUNTY LIBRARY SYSTEM,MUCKLESHOOT LIBRARY,Normal branch operating hours,false,39917 AUBURN ENUMCLAW ROAD SE,AUBURN,98092,(253) 931-6779,BR,-122.113107,47.244259,https://kcls.org/locations/1526/,true,04/24/2020
WA0059,WA0059-058,KING COUNTY LIBRARY SYSTEM,NEWCASTLE LIBRARY,Normal branch operating hours,false,12901 NEWCASTLE WAY,NEWCASTLE,98056,(425) 255-0111,BR,-122.167429,47.538007,https://kcls.org/locations/1564/,true,04/24/2020
WA0059,WA0059-026,KING COUNTY LIBRARY SYSTEM,NEWPORT WAY LIBRARY,Normal branch operating hours,false,14250 SE NEWPORT WAY,BELLEVUE,98006,(425) 747-2390,BR,-122.149885,47.570349,https://kcls.org/locations/1529/,true,04/24/2020
WA0059,WA0059-027,KING COUNTY LIBRARY SYSTEM,NORTH BEND LIBRARY,Normal branch operating hours,false,115 E 4TH STREET,NORTH BEND,98045,(425) 888-0554,BR,-121.783153,47.49709,https://kcls.org/locations/1528/,true,04/24/2020
WA0059,WA0059-029,KING COUNTY LIBRARY SYSTEM,REDMOND LIBRARY,Normal branch operating hours,false,15990 NE 85TH STREET,REDMOND,98052,(425) 885-1861,BR,-122.127709,47.678559,https://kcls.org/locations/1533/,true,04/24/2020
WA0059,WA0059-055,KING COUNTY LIBRARY SYSTEM,RENTON HIGHLANDS LIBRARY,Normal branch operating hours,false,2801 NE 10TH STREET,RENTON,98056,(425) 277-1831,BR,-122.18062,47.499836,https://kcls.org/locations/1557/,true,04/24/2020
WA0059,WA0059-054,KING COUNTY LIBRARY SYSTEM,RENTON LIBRARY,Normal branch operating hours,false,100 MILL AVENUE SOUTH,RENTON,98057,(425) 226-6043,BR,-122.203012,47.482037,https://kcls.org/locations/1556/,true,04/24/2020
WA0059,WA0059-030,KING COUNTY LIBRARY SYSTEM,RICHMOND BEACH LIBRARY,Normal branch operating hours,false,19601 21ST AVENUE NW,SHORELINE,98177,(206) 546-3522,BR,-122.384201,47.771787,https://kcls.org/locations/1532/,true,04/24/2020
WA0059,WA0059-045,KING COUNTY LIBRARY SYSTEM,SAMMAMISH LIBRARY,Normal branch operating hours,false,825 228TH AVENUE NE,SAMMAMISH,98075,(425) 392-3130,BR,-122.03558,47.616915,https://kcls.org/locations/1534/,true,04/24/2020
WA0059,WA0059-031,KING COUNTY LIBRARY SYSTEM,SHORELINE LIBRARY,Normal branch operating hours,false,345 NE 175TH ST,SHORELINE,98155,(206) 362-7550,BR,-122.3248,47.755801,https://kcls.org/locations/1535/,true,04/24/2020
WA0059,WA0059-032,KING COUNTY LIBRARY SYSTEM,SKYKOMISH LIBRARY,Normal branch operating hours,false,100 FIFTH STREET,SKYKOMISH,98288,(360) 677-2660,BR,-121.36111,47.70846,https://kcls.org/locations/1536/,true,04/24/2020
WA0059,WA0059-033,KING COUNTY LIBRARY SYSTEM,SKYWAY LIBRARY,Normal branch operating hours,false,12601 76TH AVENUE SOUTH,SEATTLE,98178,(206) 772-5541,BR,-122.23831,47.49046,https://kcls.org/locations/1541/,true,04/24/2020
WA0059,WA0059-034,KING COUNTY LIBRARY SYSTEM,SNOQUALMIE LIBRARY,Normal branch operating hours,false,7824 CENTER BLVD SE,SNOQUALMIE,98065,(425) 888-1223,BR,-121.872652,47.529907,https://kcls.org/locations/1537/,true,04/24/2020
WA0059,WA0059-016,KING COUNTY LIBRARY SYSTEM,TUKWILA LIBRARY,Normal branch operating hours,false,14380 TUKWILA INTERNATIONAL BLVD,TUKWILA,98168,(206) 242-1640,BR,-122.284097,47.474483,https://kcls.org/locations/154/,true,04/24/2020
WA0059,WA0059-036,KING COUNTY LIBRARY SYSTEM,VALLEY VIEW LIBRARY,Normal branch operating hours,false,17850 MILITARY ROAD S,SEATAC,98188,(206) 242-6044,BR,-122.273997,47.442942,https://kcls.org/locations/1546/,true,04/24/2020
WA0059,WA0059-037,KING COUNTY LIBRARY SYSTEM,VASHON LIBRARY,Normal branch operating hours,false,17210 VASHON HIGHWAY SW,VASHON ISLAND,98070,(206) 463-2069,BR,-122.460421,47.451584,https://kcls.org/locations/1545/,true,04/24/2020
WA0059,WA0059-039,KING COUNTY LIBRARY SYSTEM,WHITE CENTER LIBRARY,Normal branch operating hours,false,1409 SW 107TH STREET,SEATTLE,98146,(206) 243-0233,BR,-122.35254,47.507164,https://kcls.org/locations/1547/,true,04/24/2020
WA0059,WA0059-043,KING COUNTY LIBRARY SYSTEM,WOODINVILLE LIBRARY,Normal branch operating hours,false,17105 AVONDALE ROAD NE,WOODINVILLE,98072,(425) 788-0733,BR,-122.081236,47.752049,https://kcls.org/locations/1548/,true,04/24/2020
WA0059,WA0059-049,KING COUNTY LIBRARY SYSTEM,WOODMONT LIBRARY,Normal branch operating hours,false,26809 PACIFIC HWY S,DES MOINES,98198,(253) 839-0121,BR,-122.308003,47.360923,https://kcls.org/locations/1549/,true,04/24/2020
WA0060,WA0060-003,KITSAP REGIONAL LIBRARY,BAINBRIDGE ISLAND LIBRARY,24x7,false,1270 MADISON N.,BAINBRIDGE ISLAND,98110,(206) 842-4162,BR,-122.520961,47.635318,https://www.krl.org/bainbridge-island,true,04/24/2020
WA0060,WA0060-005,KITSAP REGIONAL LIBRARY,DOWNTOWN BREMERTON LIBRARY,7:00-22:00,false,612 5TH ST.,BREMERTON,98337,(360) 377-3955,BR,-122.628645,47.566624,https://www.krl.org/downtown-bremerton,true,04/24/2020
WA0060,WA0060-006,KITSAP REGIONAL LIBRARY,KINGSTON LIBRARY,24x7,false,26159 DULAY RD NE,KINGSTON,98346,(360) 297-3330,BR,-122.502036,47.79945,https://www.krl.org/kingston,true,04/24/2020
WA0060,WA0060-007,KITSAP REGIONAL LIBRARY,LITTLE BOSTON LIBRARY,24x7,false,31980 LITTLE BOSTON RD. NE,KINGSTON,98346,(360) 297-2670,BR,-122.570161,47.852653,https://www.krl.org/little-boston,true,04/24/2020
WA0060,WA0060-008,KITSAP REGIONAL LIBRARY,MANCHESTER LIBRARY,24x7,false,8067 E. MAIN ST.,PORT ORCHARD,98366,(360) 871-3921,BR,-122.54455,47.555664,https://www.krl.org/manchester,true,04/24/2020
WA0060,WA0060-009,KITSAP REGIONAL LIBRARY,PORT ORCHARD LIBRARY,24x7,false,87 SIDNEY ST.,PORT ORCHARD,98366,(360) 876-2224,BR,-122.636079,47.542693,https://www.krl.org/port-orchard,true,04/24/2020
WA0060,WA0060-010,KITSAP REGIONAL LIBRARY,POULSBO LIBRARY,24x7,false,700 NE LINCOLN ST.,POULSBO,98370,(360) 779-2915,BR,-122.640014,47.735677,https://www.krl.org/poulsbo,true,04/24/2020
WA0060,WA0060-011,KITSAP REGIONAL LIBRARY,SILVERDALE LIBRARY,24x7,false,3450 NW CARLTON ST.,SILVERDALE,98383,(360) 692-2997,BR,-122.696291,47.646071,https://www.krl.org/silverdale,true,04/24/2020
WA0060,WA0060-002,KITSAP REGIONAL LIBRARY,SYLVAN WAY LIBRARY,24x7,false,1301 SYLVAN WAY,BREMERTON,98310,(360) 405-9100,CE,-122.627486,47.595608,https://www.krl.org/sylvan-way,true,04/24/2020
WA0074,WA0074-001,LIBERTY LAKE MUNICIPAL LIBRARY,LIBERTY LAKE MUNICIPAL LIBRARY,24x7,false,23123 E. MISSION AVE,LIBERTY LAKE,99019,(509) 232-2510,CE,-117.094746,47.671316,https://www.libertylakewa.gov/435/Library,true,04/24/2020
WA0061,WA0061-002,MID-COLUMBIA LIBRARY SYSTEM,BASIN CITY BRANCH LIBRARY,24x7,false,50-A N. CANAL BLVD.,BASIN CITY,99343,(509) 269-4201,BR,-119.144369,46.59194,https://www.midcolumbialibraries.org/branch/basin-city,,04/24/2020
WA0061,WA0061-003,MID-COLUMBIA LIBRARY SYSTEM,BENTON CITY BRANCH LIBRARY,24x7,false,810 HORNE ROAD,BENTON CITY,99320,(509) 588-6471,BR,-119.484856,46.267452,https://www.midcolumbialibraries.org/branch/benton-city,,04/24/2020
WA0061,WA0061-004,MID-COLUMBIA LIBRARY SYSTEM,CONNELL BRANCH LIBRARY,24x7,false,118 N. COLUMBIA,CONNELL,99326,(509) 234-4971,BR,-118.86101,46.66074,https://www.midcolumbialibraries.org/branch/connell,,04/24/2020
WA0061,WA0061-005,MID-COLUMBIA LIBRARY SYSTEM,KAHLOTUS BRANCH LIBRARY,24x7,false,255 WESTON,KAHLOTUS,99335,(509) 282-3493,BR,-118.554577,46.642172,https://www.midcolumbialibraries.org/branch/kahlotus,,04/24/2020
WA0061,WA0061-015,MID-COLUMBIA LIBRARY SYSTEM,KEEWAYDIN PARK BRANCH LIBRARY,24x7,false,405 S. DAYTON,KENNEWICK,99336,(509) 586-3156,BR,-119.12293,46.204922,https://www.midcolumbialibraries.org/branch/keewaydin-park,,04/24/2020
WA0061,WA0061-006,MID-COLUMBIA LIBRARY SYSTEM,KENNEWICK BRANCH LIBRARY,24x7,false,1620 S. UNION,KENNEWICK,99338,(509) 783-7878,BR,-119.180391,46.194465,https://www.midcolumbialibraries.org/branch/kennewick,,04/24/2020
WA0061,WA0061-007,MID-COLUMBIA LIBRARY SYSTEM,MERRILL'S CORNER BRANCH LIBRARY,24x7,false,5240 ELTOPIA WEST RD,ELTOPIA,99330,(509) 546-8051,BR,-119.112434,46.459871,https://www.midcolumbialibraries.org/branch/merrills-corner,,04/24/2020
WA0061,WA0061-013,MID-COLUMBIA LIBRARY SYSTEM,OTHELLO BRANCH LIBRARY,24x7,false,101 E. MAIN STREET,OTHELLO,99344,(509) 488-9683,BR,-119.173868,46.826212,https://www.midcolumbialibraries.org/branch/othello,,04/24/2020
WA0061,WA0061-008,MID-COLUMBIA LIBRARY SYSTEM,PASCO BRANCH LIBRARY,24x7,false,1320 W. HOPKINS,PASCO,99301,(509) 545-1019,BR,-119.10586,46.23048,https://www.midcolumbialibraries.org/branch/pasco,,04/24/2020
WA0061,WA0061-016,MID-COLUMBIA LIBRARY SYSTEM,PROSSER BRANCH LIBRARY,24x7,false,902 7TH STREET,PROSSER,99350,(509) 786-2533,BR,-119.765842,46.20458,https://www.midcolumbialibraries.org/branch/prosser,,04/24/2020
