Year and Quarter,Topic,Indicator,Time Period,Rate,Unit,Significant,Standard Error,Footnote Symbol,Footnote
2017 Q2,Rates by Cause,SIDS,12 Month-ending,37.45,"per 100,000 births",,,,
2017 Q3,Rates by Cause,SIDS,12 Month-ending,36.48,"per 100,000 births",,,,
2017 Q4,Rates by Cause,SIDS,12 Month-ending,35.35,"per 100,000 births",,,,
2018 Q1,Rates by Cause,SIDS,12 Month-ending,33.07,"per 100,000 births",,,,
2018 Q2,Rates by Cause,SIDS,12 Month-ending,34.37,"per 100,000 births",,,,
2018 Q3,Rates by Cause,SIDS,12 Month-ending,34.84,"per 100,000 births",,,,
2018 Q4,Rates by Cause,SIDS,12 Month-ending,35.11,"per 100,000 births",,,,
2019 Q1,Rates by Cause,SIDS,12 Month-ending,35.1,"per 100,000 births",,,,
2019 Q2,Rates by Cause,SIDS,12 Month-ending,34.1,"per 100,000 births",,,,
2017 Q1,Rates by Cause,Unintentional injury,12 Month-ending,31.96,"per 100,000 births",,,,
2017 Q2,Rates by Cause,Unintentional injury,12 Month-ending,32.24,"per 100,000 births",,,,
2017 Q3,Rates by Cause,Unintentional injury,12 Month-ending,33.12,"per 100,000 births",,,,
2017 Q4,Rates by Cause,Unintentional injury,12 Month-ending,34.16,"per 100,000 births",,,,
2018 Q1,Rates by Cause,Unintentional injury,12 Month-ending,33.4,"per 100,000 births",,,,
2018 Q2,Rates by Cause,Unintentional injury,12 Month-ending,32.79,"per 100,000 births",,,,
2018 Q3,Rates by Cause,Unintentional injury,12 Month-ending,31.8,"per 100,000 births",,,,
2018 Q4,Rates by Cause,Unintentional injury,12 Month-ending,30.83,"per 100,000 births",,,,
2019 Q1,Rates by Cause,Unintentional injury,12 Month-ending,31.36,"per 100,000 births",,,,
2019 Q2,Rates by Cause,Unintentional injury,12 Month-ending,31.96,"per 100,000 births",,,,
