Agency Name,Contact Name,CEO Title,Street Address,Street Address 2,City,Zip,County Name,Voice Number,Fax Number,Agency_Type
Bernie Police Dept.,Justin Allen,Chief,PO Box 536,206 W Crumb Ave,Bernie,63822,STODDARD,5732934454,5732935584,Municipal
Bertrand Police Dept.,Leonard Harrison,Chief,PO Box 27,,Bertrand,63823,MISSISSIPPI,5736833051,,Municipal
Bethany Police Dept.,Brian Groom,Chief,1501 Central Street,,Bethany,64424,HARRISON,6604253199,6604257906,Municipal
Bevier Police Dept.,Chief of Police,Chief,PO Box 63,,Bevier,63552,MACON,6607735314,6607735128,Municipal
Billings Police Dept.,David Taylor,Chief,PO Box 207,202 NE Hwy 60,Billings,65610,CHRISTIAN,4177442582,4177442954,Municipal
Birch Tree Police Dept.,Chief of Police,Chief,PO Box 240,3106 East First Street,Birch Tree,65438,SHANNON,5732923414,5732923352,Municipal
Bismarck Police Dept.,Steven Poole,Chief,917 Maple Street,PO Box 27,Bismarck,63624,ST. FRANCOIS,5737342777,5737346280,Municipal
Blackburn Police Dept.,Steven Smithson,Chief,207 N Main St,,Blackburn,65321,SALINE,6605384487,6605384489,Municipal
Bland Police Dept.,Patrick Boatman,Chief,PO Box  40,,Bland,65014,GASCONADE,5736463850,5736465210,Municipal
Bloomfield Police Dept.,James Dew,Chief,500 South Prairie,PO Box 350,Bloomfield,63825,STODDARD,5735683576,5735682916,Municipal
Blue Springs Police Dept.,Robert Muenz,Chief,1100 SW Smith Street,,Blue Springs,64015,JACKSON,8162280164,8162280147,Municipal
Blue Springs School District Police Department,Tom Phillips,Director,1501 NW Jefferson Street,,Blue Springs,64015,JACKSON,8162241383,8162241778,University
BNSF Railway Police Department,Greg Sandsness,Chief,8310 Nieman Road,,"Lenexa, Kansas",66214,No County Affiliation,9132074873,8173527536,Rail Road
Bolivar Police Dept.,Mark Webb,Chief,211 West Walnut Street,,Bolivar,65613,POLK,4173285831,4173266076,Municipal
Bollinger County Sheriff's Office,Darin Shell,Sheriff,202 High Street,,Marble Hill,63764,BOLLINGER,5732382633,5732385095,County
Bonne Terre Police Dept.,Douglas Calvert,Chief,118 North Allen Street,,Bonne Terre,63628,ST. FRANCOIS,5734313131,5733582977,Municipal
Boone County Sheriff's Office,Robert Carey,Sheriff,2121 East County Drive,,Columbia,65202,BOONE,5738751111,5738748953,County
Boonville Police Dept.,John Welliver,Chief,401 E Morgan St,,Boonville,65233,COOPER,6608822727,6608826604,Municipal
Bourbon Police Dept.,Jeffry Zwetow,Chief,P.O. Box 984,,Bourbon,65441,CRAWFORD,5737324838,5737323160,Municipal
Bowling Green Police Dept.,Donald Nacke,Chief,15 West Church Street,,Bowling Green,63334,PIKE,5733243200,5733245478,Municipal
Branson Police Dept.,Jeffrey Matthews,Chief,110 West Maddux Street,#100,Branson,65616,TANEY,4173343300,4173358751,Municipal
Branson West Police Dept.,Steven Dalton,Chief,PO Box 2229,110 Silver Lady Lane,Branson West,65737,STONE,4172723400,4172728152,Municipal
Braymer Police Dept.,Christina Vessar,Chief,PO Box 125,108 East 2nd Street,Braymer,64624,CALDWELL,6606452355,6606452390,Municipal
Breckenridge Hills Police Dept.,John Griffin,Chief,9623 St Charles Rock Rd,,Breckenridge Hills,63114,ST. LOUIS,3144261214,3144270813,Municipal
Brentwood Police Dept.,Joseph Spiess,Chief,272 Hanley Industrial Ct,,Brentwood,63144,ST. LOUIS,3146447100,3146467907,Municipal
Bridgeton Police Dept.,Donald Hood,Chief,12355 Natural Bridge Rd,,Bridgeton,63044,ST. LOUIS,3147397557,3143733699,Municipal
Brookfield Police Dept.,Joel Dixon,Chief,116 W Brooks St,,Brookfield,64628,LINN,6602583385,6602587279,Municipal
Browning Police Dept.,Rhonda Gulley,Chief,313 W Main St    PO Box 195,,Browning,64630,LINN,6609464215,6609464215,Municipal
Brunswick Police Dept.,Kenny Clark,Acting Chief,509 Harrison,,Brunswick,65236,CHARITON,6605483491,6605483360,Municipal
Buchanan County Sheriff's Office,William Puett,Sheriff,501 Faraon St,,St Joseph,64501,BUCHANAN,8162368898,8169011758,County
Bucklin Police Dept.,Jeffrey Gulley,Chief,P.O Box 76,,Bucklin,64631,LINN,6606953773,,Municipal
Buckner Police Dept.,Michael Buffalow,Chief,315 Hudson Street,,Buckner,64016,JACKSON,8166503939,8166509777,Municipal
Buffalo Police Dept.,Richard Wilkinson,Chief,311 North Poplar Street,PO Box 410,Buffalo,65622,DALLAS,4173452709,4173458107,Municipal
Bunceton Police Dept.,Chief of Police,Chief,103 E. Main Street,,Bunceton,65237,COOPER,6604275515,6606728051,Municipal
Bunker Police Dept.,Gary Conway Jr,Mayor,PO Box 102,,Bunker,63629,REYNOLDS,5736892444,5736892901,Municipal
Butler County Sheriff's Office,Mark Dobbs,Sheriff,200 Phillip Kearbey Blvd,,Poplar Bluff,63901,BUTLER,5737788042,5737856837,County
Butler Police Dept.,Jerret Wheatley,Chief,309 N Fulton St,,Butler,64730,BATES,6606796131,6606796133,Municipal
Butterfield Police Dept.,Kyle Kuhn,Chief,PO Box 235,,Cassville,65625,BARRY,4174427975,4174427975,Municipal
Byrnes Mill Police Dept.,Frank Selvaggio,Chief,141 Osage Executive Circle,,Byrnes Mill,63051,JEFFERSON,6366777727,6366775533,Municipal
Cabool Police Dept.,Jerald Sigman,Chief,510 Cedar Street,PO Box 710,Cabool,65689,TEXAS,4179623993,4179625294,Municipal
Caldwell County Sheriff's Office,Jerry Galloway,Sheriff,54 North Franklin,PO Box 158,Kingston,64650,CALDWELL,8165862751,8165862103,County
California Police Dept.,Daniel Hurt,Chief,500 S Oak St,,California,65018,MONITEAU,5737962818,5737963186,Municipal
Callao Police Dept.,Chief of Police,Chief,113 Market Street,P.O. Box 70,Callao,63534,MACON,6607685414,6607685593,Municipal
Callaway County Sheriff's Office,John Chism,Sheriff,PO Box 817,1201 St. Rd. O,Fulton,65251,CALLAWAY,5736427291,5735922440,County
Calverton Park Police Dept.,James Buchanan,Chief,52 Young Drive,,Calverton Park,63135,ST. LOUIS,3145241212,3145243065,Municipal
Camden County Sheriff's Office,Tony Helms,Sheriff,1 Court Circle - Suite 13,,Camdenton,65020,CAMDEN,5733462243,5733462513,County
Camden Point Police Dept.,Mark Wagoner,Mayor,101 3rd Street,PO Box 69,Camden Point,64018,PLATTE,8165060062,8168584230,Municipal
Camden Police Department,Richard Pacheco,Chief,PO Box 224,,Henrietta,64036,RAY,8162905337,8164945340,Municipal
Camdenton Police Dept.,Laura Wright,Chief,437 W. US Hwy 54,,Camdenton,65020,CAMDEN,5733463604,5733467920,Municipal
Cameron Police Dept.,Richard Bashor,Chief,101 N. Chestnut St.,,Cameron,64429,CLINTON,8166326521,8166322309,Municipal
Campbell Police Dept.,William Hill,Chief,204 West Grand Avenue,,Campbell,63933,DUNKLIN,5732462541,5732462141,Municipal
Canadian Pacific Police Service,Richard Douglas,Mr.,4747 Front St,,Kansas City,64120,JACKSON,8169205457,,Rail Road
Canalou Police Dept.,John Slayton,Chief,PO Box 3,110 East Madison Street,Canalou,63828,NEW MADRID,5736679840,5736679807,Municipal
Canton Police Dept.,Ryan Crandell,Chief,108 N Fifth Street,PO Box 231,Canton,63435,LEWIS,5732884412,5732884498,Municipal
Cape Girardeau Co. Sheriff's Office,Ruth Dickerson,Sheriff,216 N Missouri Street,,Jackson,63755,CAPE GIRARDEAU,5732433551,5732042909,County
Cape Girardeau Police Dept.,James Blair,Chief,2530 Maria Louise Lane,,Cape Girardeau,63701,CAPE GIRARDEAU,5733396621,5733396362,Municipal
Cardwell Police Dept.,Freddie Williams,Chief,PO Box 216,,Cardwell,63829,DUNKLIN,5736543535,5736542417,Municipal
Carl Junction Police Dept.,Delmar Haase,Chief,302 North Main,PO Box 447,Carl Junction,64834,JASPER,4176497070,4176493273,Municipal
Carroll County Sheriff's Office,William McCoy,Sheriff,106 S Folger,,Carrollton,64633,CARROLL,6605421121,6605421539,County
Carrollton Police Dept.,Christopher Looney,Chief,206 West Washington Street,1320 North Hwy 65,Carrollton,64633,CARROLL,6605423128,6605428202,Municipal
Carter County Sheriff's Office,Richard Stephens,Sheriff,15 Sycamore Street,P.O. Box 8127,Van Buren,63965,CARTER,5733234510,5733234182,County
Carterville Police Dept.,Clinton Worley,Chief,1200 E 1st Street,,Carterville,64835,JASPER,4176732616,4176732278,Municipal
Carthage Police Dept.,Greg Dagnan,Chief,310 W 4th Street,,Carthage,64836,JASPER,4172377200,4172377205,Municipal
Caruthersville Police Dept.,Tony Jones,Chief,1400 Ward Avenue,,Caruthersville,63830,PEMISCOT,5733330216,5733330227,Municipal
Cass County Sheriff's Office,Jeffrey Weber,Sheriff,2501 W. Mechanic,Suite 100,Harrisonville,64701,CASS,8163805200,8163808558,County
Cassville Police Dept.,Dana Kammerlohr,Chief,302 Main Street,,Cassville,65625,BARRY,4178474700,4178473126,Municipal
Cedar County Sheriff's Office,James McCrary,Sheriff,202 South High Street,,Stockton,65785,CEDAR,4172765133,4172765135,County
Center Police Dept.,Dennis McMillen,Mayor,103 S Public Street,PO Box 241,Center,63436,RALLS,5732673770,5732673710,Municipal
Centerview PD,Trenton Neal,Chief,206 S Main Street,,Centerview,64019,JOHNSON,6606563688,6606563688,Municipal
Centralia Police Dept.,Robert Bias,Chief,114 S Rollins St,,Centralia,65240,BOONE,5736822132,5736825571,Municipal
Chaffee Police Dept.,James Chambers,Chief,222 W Yoakum,,Chaffee,63740,SCOTT,5738876911,5738873480,Municipal
Chamois Police Dept.,Chief of Police,Chief,200 South Main St.,,Chamois,65024,OSAGE,5737635541,5737635541,Municipal
Chariton County Sheriff's Office,Richard Hershey,Sheriff,307 S Cherry Street,,Keytesville,65261,CHARITON,6602883277,6602883612,County
Charleston Police Dept.,Robert Hearnes,Chief,204 N Main Street,,Charleston,63834,MISSISSIPPI,5736833737,5736836131,Municipal
Chesterfield Police Dept.,Dorthel Johnson,Chief,690 Chesterfield Parkway West,,Chesterfield,63017,ST. LOUIS,6365373000,6365376799,Municipal
Chilhowee Police Dept.,Robert Vick,Chief,110 South Pennsylvania Ave,,Chilhowee,64733,JOHNSON,6606873738,6607477511,Municipal
Chillicothe Police Dept.,Jonathan Maples,Chief,613 Walnut Street,,Chillicothe,64601,LIVINGSTON,6606462121,6606466511,Municipal
Christian County Sheriff's Office,Bradley Cole,Sheriff,110 W Elm Street  Room#70,,Ozark,65721,CHRISTIAN,4175812332,4175811641,County
Clarence Police Dept.,Raymond Barton,Chief,100 W. Maple,P.O. Box 9,Clarence,63437,SHELBY,6606993700,6606993742,Municipal
Clark County Sheriff's Office,Shawn Webster,Sheriff,518 North Lincoln Street Suite #1,,Kahoka,63445,CLARK,6607272416,6607272445,County
Clark Police Dept.,Logan Sutherland,Chief,206 S Main Street,,Clark,65243,RANDOLPH,5736415713,,Municipal
Clarksburg Police Dept.,Chief of Police,Chief,Box 134,,Clarksburg,65025,MONITEAU,5737873297,,Municipal
Clarksdale Police Dept.,Marshal,Marshal,P.O. Box 317,,Clarksdale,64430,DEKALB,8163935270,,Municipal
Clarkton Police Dept.,David Dillard,Chief,208 S Main   PO Box 98,,Clarkton,63837,DUNKLIN,5734483322,5734485114,Municipal
Clay County Parks Dept.,John Davis,Chief,17201 Paradesian,,Smithville,64089,CLAY,8169350588,8164073411,County
Clay County Sheriff's Office,Paul Vescovo,Sheriff,12 S Water Street,,Liberty,64068,CLAY,8164073749,8164073751,County
Claycomo Police Dept.,Stephen Coonce,Chief,115 E 69 Highway,,Claycomo,64119,CLAY,8164524613,8164528872,Municipal
Clayton Police Dept.,Mark Smith,Acting Chief,10 S. Brentwood Blvd.,,Clayton,63105,ST. LOUIS,3142908406,3148630285,Municipal
Cleveland Police Dept.,Shaun Smith,Chief,209 W Main Street,,Cleveland,64734,CASS,8166183059,8166183243,Municipal
Clever Police Dept.,Jeffrey Lofton,Chief,PO Box 52,210 S Clarke,Clever,65631,CHRISTIAN,4177435109,4177432470,Municipal
Clinton County Sheriff's Office,Larry Fish,Sheriff,207 N Main Suite 6,,Plattsburg,64477,CLINTON,8165392156,8165392346,County
Clinton Police Dept.,Kevin Miller,Chief,101 E Ohio Street,,Clinton,64735,HENRY,6608852679,6608857096,Municipal
Cole Camp Police Dept.,Phillip Robinett,Chief,401 W Main St   PO Box 36,,Cole Camp,65325,BENTON,6606682321,6606682300,Municipal
Cole County Sheriff's Office,John Wheeler,Sheriff,PO Box 426,350 East High,Jefferson City,65102,COLE,5736349160,5736342336,County
Columbia Police Dept.,Geoffrey Jones,Chief,600 E Walnut,,Columbia,65201,BOONE,5738175015,5738743142,Municipal
Concordia Police Dept.,Paul Mapes,Chief,618 S Main    PO Box 847,,Concordia,64020,LAFAYETTE,6604632140,6604637421,Municipal
Cooper County Sheriff's Office,Jerry Wolfe,Sheriff,200 Main St,,Boonville,65233,COOPER,6608822772,6608827075,County
Cooter Police Dept.,JERRY RUSHING,Mayor,P.O. Box 205,,Cooter,63839,PEMISCOT,5736954812,5736954812,Municipal
Corder Police Dept.,Derrick Morgan,Chief,PO Box 275,,Corder,64021,LAFAYETTE,6603942422,6603942440,Municipal
Cottleville Police Dept.,Steven James,Chief,5490 Fifth Street,,Cottleville,63304,ST. CHARLES,6364986464,6364986573,Municipal
Country Club Hills Police Dept.,Daniel Boyer,Acting Chief,7422 Eunice Ave,,Country Club Hills,63136,ST. LOUIS,3142610845,3142612575,Municipal
Country Club Village Police Dept.,Francis Till,Chief,6601 North Belt Hwy,PO Box 8572,St. Joseph,64506,ANDREW,8162324621,8169019593,Municipal
Crane Police Dept.,John Elmore,Chief,PO Box 17,,Crane,65633,STONE,4177238305,4177238486,Municipal
Crawford County Sheriff's Office,Darin Layman,Sheriff,PO Box BE,212 South Third Street,Steelville,65565,CRAWFORD,5737752125,5737752126,County
Creighton Police Dept.,Donna Burton,Mayor,104 W 2nd,,Creighton,64739,CASS,8168044614,6604992613,Municipal
Crestwood Police Dept.,Ronald Compton,Chief,One Detjen Drive,,Crestwood,63126,ST. LOUIS,3147294800,3147294841,Municipal
Creve Coeur Police Dept.,Glennon Eidman,Chief,300 N New Ballas,,Creve Coeur,63141,ST. LOUIS,3148722523,3144325691,Municipal
Crocker Police Dept.,Nicholas Pappas,Chief,PO Box 116,,Crocker,65452,PULASKI,5737362211,5737365438,Municipal
Crystal City Police Dept.,Chad Helms,Chief,130 Mississippi Ave,,Crystal City,63019,JEFFERSON,6369374601,6369376263,Municipal
Crystal Lakes Police Dept.,Daniel Clayton,Chief,14739 Crystal Drive,,Crystal Lakes,64024,RAY,8166632266,8166376677,Municipal
Cuba Police Dept.,Douglas Shelton,Chief,602 S Franklin,,Cuba,65453,CRAWFORD,5738857979,5738851449,Municipal
Dade County Sheriff's Office,Maxie Huffman,Sheriff,201 E Water Street,,Greenfield,65661,DADE,4176372312,4176372508,County
Dallas County Sheriff's Office,Scotty Rice,Sheriff,204 S Poplar St,,Buffalo,65622,DALLAS,4173452441,4173456238,County
Daviess County Sheriff's Office,Benjamin Becerra,Sheriff,102 N Main,Court House,Gallatin,64640,DAVIESS,6606632031,6606632149,County
Deepwater Police Dept.,Mishon Clark,Chief,P.O. Box 18,,Deepwater,64740,HENRY,6606962310,6606962711,Municipal
DeKalb County Sheriff's Office,Andrew Clark,Sheriff,PO Box 137,107 West Main Street,Maysville,64469,DEKALB,8164495802,8164495241,County
Delta Police Dept.,Verlan Graham,Chief,PO Box 757,,Delta,63744,CAPE GIRARDEAU,5737940911,5737940911,Municipal
Dent County Sheriff's Office,Robert Wells,Sheriff,112 East Fifth Street,Suite 7,Salem,65560,DENT,5737293241,5737293058,County
Des Peres Department of Public Safety,Eric Hall,Chief,1000 N Ballas Road,,Des Peres,63131,ST. LOUIS,3148356200,3148356205,Municipal
Desloge Police Dept.,James Bullock,Chief,1000 N Desloge St,,Desloge,63601,ST. FRANCOIS,5734311463,5734314490,Municipal
DeSoto Police Dept.,Jeffrey McCreary,Chief,17 Boyd Street,,DeSoto,63020,JEFFERSON,6365868891,6365868893,Municipal
Dexter Police Dept.,Trevor Pulley,Acting Chief,305 Cooper Street,,Dexter,63841,STODDARD,5736245512,5736248889,Municipal
Diamond Police Dept.,Michael Jones,Chief,PO Box 8,301 E Market,Diamond,64840,NEWTON,4173255411,4173257112,Municipal
Dixon Police Dept.,Gary Brankel,Chief,PO Box 177,303 South Elm,Dixon,65459,PULASKI,5737596610,5737596121,Municipal
Doniphan Police Dept.,Mark Rodgers,Chief,126 Jefferson St,,Doniphan,63935,RIPLEY,5739967123,5739962444,Municipal
Doolittle Police Dept.,Carl Swanson,Chief,380 Eisenhower St,,Doolittle,65401,PHELPS,5737622601,5737620133,Municipal
Douglas County Sheriff's Office,Christopher Degase,Sheriff,Po Box 907,,Ava,65608,DOUGLAS,4176831020,4176833100,County
Drexel Police Dept.,Forrest Routen,Chief,P.O. Box 710,120 South Second,Drexel,64742,CASS,8166192323,8166193684,Municipal
Duenweg Police Dept.,Robert Vice,Chief,PO Box 105,118 Webb Street,Duenweg,64841,JASPER,4176232263,4176232176,Municipal
Dunklin County Sheriff's Office,Robert Holder,Sheriff,PO Box 801,1175 Floyd,Kennett,63857,DUNKLIN,5738882424,5738882604,County
Dunklin R-5 School District Police Department,Mark Grobe,Director,497 Joachim Ave,,Herculaneum,63048,JEFFERSON,6364795200,6364796208,School District
Duquesne Police Dept.,Tommy Kitch,Chief,1501 S Duquesne Rd,,Joplin,64801,JASPER,4177819494,4177814570,Municipal
East Lynne Police Dept.,Susan Lett,Chief,402 E Main St,,East Lynne,64743,CASS,8168693002,8168693002,Municipal
East Prairie Police Dept.,Mark Higgins,Chief,219 N Washington St,,East Prairie,63845,MISSISSIPPI,5736493511,5736495965,Municipal
Easton Police Dept.,William Webb,Chief,106 N. Woodward,P.O. Box 64,Easton,64443,BUCHANAN,8164734571,8164734571,Municipal
Edgar Springs Police Dept.,Joseph Hohner,Chief,PO Box 13,,Edgar Springs,65462,PHELPS,5734356334,5734350224,Municipal
Edgerton Police Dept.,Christopher Stackhouse,Chief,411 Frank Street,,Edgerton,64444,PLATTE,8167903484,8167903333,Municipal
Edina Police Dept.,Ryan Bishop,Chief,204 E. Monticello St,,Edina,63537,KNOX,6603973251,6603972628,Municipal
Edmundson Police Dept.,David Ansell,Chief,4430 Holman Lane,,Edmundson,63134,ST. LOUIS,3144284577,3144286581,Municipal
El Dorado Springs Police Dept.,Jarrod Schiereck,Chief,1207 S Main Street,,El Dorado Springs,64744,CEDAR,4178762313,4178766512,Municipal
Eldon Police Dept.,Brian Kidwell,Chief,111 South Oak Street,,Eldon,65026,MILLER,5733925611,5733923607,Municipal
Ellington Police Dept.,Ryan Barnes,Chief,PO Box 7,100 Tubbs,Ellington,63638,REYNOLDS,5736637717,5736632565,Municipal
Ellisville Police Dept.,Steven Lewis,Chief,37 Weis Ave,,Ellisville,63011,ST. LOUIS,6362277777,6362277744,Municipal
Ellsinore Police Dept.,Dustin Boyer,Chief,11 W Cleveland,,Ellsinore,63937,CARTER,5734290006,5733228376,Municipal
Elsberry Police Dept.,Randall Davis,Chief,106 #A North Third Street,,Elsberry,63343,LINCOLN,5738985456,5738989089,Municipal
Eminence Police Dept.,Steven Hogan,Chief,PO Box 387,,Eminence,65466,SHANNON,5732263717,5732265658,Municipal
Emma Police Department,James Lynn,Chief,101 Elm St,PO Box 140,Emma,65327,SALINE,6604632150,6604630199,Municipal
Eolia Police Department,Chief of Police,Chief,PO Box 7,,Eolia,63344,PIKE,5734857310,5734857310,Municipal
Essex Police Dept.,Donnie Foster,Mayor,PO Box 357,211 Cypress Street,Essex,63846,STODDARD,5732835990,5733612114,Municipal
Eureka Police Dept.,Michael Wiegand,Chief,120 City Hall Drive,,Eureka,63025,ST. LOUIS,6369386600,6369386602,Municipal
Everton Police Dept.,Konnie Brewer,Mayor,PO Box 87,116 W Commercial,Everton,65646,DADE,4175354000,4175356025,Municipal
Excelsior Springs Police Dept.,Clinton Reno,Chief,301 S Main,,Excelsior Springs,64024,CLAY,8166300240,8166304104,Municipal
Exeter Police Dept.,Willie Stephens,Chief,116 Front Street,,Exeter,65647,BARRY,4178352823,4178352066,Municipal
Fair Grove Police Dept.,Richard Mallory,Chief,81 South Orchard Blvd,PO Box 107,Fair Grove,65648,GREENE,4177596482,4177596480,Municipal
Fair Play Police Dept.,Ricky Gooding,Chief,PO Box 55,,Fair Play,65649,POLK,4176542000,4176542518,Municipal
Fairview Police Dept.,Erin Scofield,Chief,100 South Central,PO Box 100,Fairview,64842,NEWTON,4174384746,4176324935,Municipal
Farber Police Dept.,Raymond Bumbales,Chief,214 E Hwy 54   PO Box 37,,Farber,63345,AUDRAIN,5735943344,5732492489,Municipal
Farmington Police Dept.,Richard Baker,Chief,310 Ste Genevieve Ave,,Farmington,63640,ST. FRANCOIS,5737566686,5737560622,Municipal
Fayette Police Dept.,Jeffrey Oswald,Chief,117 S Main Street,,Fayette,65248,HOWARD,6602482241,6602482168,Municipal
Ferguson Police Dept.,Jason Armstrong,Chief,222 S Florissant Rd,,Ferguson,63135,ST. LOUIS,3145223100,3145245290,Municipal
Ferrelview Police Dept.,Daniel Clayton,Chief,205 NW Heady Ave,,Ferrelview,64163,PLATTE,8164645010,8164642383,Municipal
Festus Police Dept.,Timothy Lewis,Chief,100 Park Avenue,,Festus,63028,JEFFERSON,6369373646,6369378086,Municipal
Fleming Police Dept.,Christopher George,Chief,P.O. Box 234,,Henrietta,64036,RAY,8165411839,8164945340,Municipal
Florissant Police Dept.,Timothy Fagan,Chief,1700 North Hwy 67,,Florissant,63033,ST. LOUIS,3148316011,3148306045,Municipal
Foley Police Dept.,Charles Hobby,Chief,617 Elm Street,P.O. Box 81,Foley,63347,LINCOLN,6366622557,6366622067,Municipal
Fordland Police Dept.,Leonard Sanders,Chief,126 East Main,,Fordland,65652,WEBSTER,4177672244,4177674706,Municipal
Foristell Police Dept.,Douglas Johnson,Chief,121 Mulberry Street,,Foristell,63348,ST. CHARLES,6364632123,6366731088,Municipal
Forsyth Police Dept.,Steven Huggins,Acting Chief,PO Box 545,,Forsyth,65653,TANEY,4175463731,4175462052,Municipal
Frankford Police Dept.,Joshua Baker,Chief,PO Box 55,,Frankford,63441,PIKE,5737842618,,Municipal
