Registration Number,Name,Street Address,City,State,Zip,Registration Date,Registration Expiration Date,Registration Status,Location
12-SA-000154,Appliance Treatment,21139 Potomac Trail Cir,Ashburn,Va,20148,06/21/2018,06/21/2019,Expired,"21139 Potomac Trail Cir
Ashburn, Va 20148
(39.032224, -77.532019)"
19-SA-002145,A&B Appliance Co.,10107 Maryland St.,Lanham,Md.,20706,06/11/2019,06/11/2020,New,"10107 Maryland St.
Lanham, Md. 20706
(38.966876, -76.817952)"
05-SA-000308,Star Appliance Repair,462 West Deer Park Road,Gaithersburg,MD,20877,06/19/2019,06/19/2020,Renewed,"462 West Deer Park Road
Gaithersburg, MD 20877
(39.128914, -77.200766)"
12-SA-000148,"Jaks Services, Inc.",9113 Glenville Road,Silver Spring,MD,20901,06/21/2018,06/21/2019,Expired,"9113 Glenville Road
Silver Spring, MD 20901
(39.004162, -76.99769)"
05-SA-000308,Star Appliance Repair,615 S FREDERICK AVE,GAITHERSBURG,MD,20877,06/19/2019,06/19/2020,Renewed,"615 S FREDERICK AVE
GAITHERSBURG, MD 20877
(39.128879, -77.185912)"
05-SA-000308,Star Appliance Repair,20048 Lake Park Dr,Germantown,Maryland,20874,06/19/2019,06/19/2020,Renewed,"20048 Lake Park Dr
Germantown, Maryland 20874
(39.184021, -77.287787)"
20-SA-002216,495 Garage Door Inc.,1813 Arcola Avenue,Silver Spring,MD,20902,04/01/2020,04/01/2021,New,"1813 Arcola Avenue
Silver Spring, MD 20902
(39.04725, -77.03841)"
17-SA-001015,FAMILY FIRST APPLIANCE REPAIR LLC,637 Railroad Avenue,Centreville,MD,21617,11/24/2017,11/24/2018,Expired,"637 Railroad Avenue
Centreville, MD 21617
(39.039008, -76.056877)"
10-SA-000357,"Electronics Service Center, Inc.",12216 Parklawn Dr,Rockville,Maryland,20852,06/27/2018,06/27/2019,Expired,"12216 Parklawn Dr
Rockville, Maryland 20852
(39.057646, -77.110228)"
12-SA-000154,Appliance Treatment,21139 Potomac Trail Circle,Ashburn,VA,20148,06/21/2018,06/21/2019,Expired,"21139 Potomac Trail Circle
Ashburn, VA 20148
(39.032224, -77.532019)"
18-SA-001036,Quick Service,10107 Maryland St.,Lanham,Maryland,20706,06/26/2019,06/26/2020,New,"10107 Maryland St.
Lanham, Maryland 20706
(38.966876, -76.817952)"
12-SA-000148,"Jaks Services, Inc.",9113 Glenville Rd,Silver Spring,MD,20901,06/21/2018,06/21/2019,Expired,"9113 Glenville Rd
Silver Spring, MD 20901
(39.004162, -76.99769)"
10-SA-000357,"Electronics Service Center, Inc.","12216 Parklawn Drive, Suite 112",Rockville,MD,20852,06/27/2018,06/27/2019,Expired,"12216 Parklawn Drive, Suite 112
Rockville, MD 20852
(39.057646, -77.110228)"
12-SA-000148,"Jaks Services, Inc.",9113 Glenville Rd,Silver Spring,MD,20901,06/26/2019,06/26/2020,Renewed,"9113 Glenville Rd
Silver Spring, MD 20901
(39.004162, -76.99769)"
00-SA-000128,"Golden Electric, Inc.",100 South Adams Street,Rockville,MD,20850,08/23/2018,08/23/2019,Expired,"100 South Adams Street
Rockville, MD 20850
(39.082952, -77.154771)"
12-SA-000148,"Jaks Services, Inc.",9113 Glenville Road,Silver Spring,MD,20901,06/26/2019,06/26/2020,Renewed,"9113 Glenville Road
Silver Spring, MD 20901
(39.004162, -76.99769)"
00-SA-000128,"Golden Electric, Inc.",100 S. Adams Street,Rockville,MD,20850,08/23/2018,08/23/2019,Expired,"100 S. Adams Street
Rockville, MD 20850
(39.082952, -77.154771)"
05-SA-000308,Star Appliance Repair,615 S FREDERICK AVE,GAITHERSBURG,MD,20877,06/02/2017,06/02/2018,Expired,"615 S FREDERICK AVE
GAITHERSBURG, MD 20877
(39.128879, -77.185912)"
16-SA-000176,"Haier US Appliance Solution, Inc. /dba GE Applianc",P.O. Box 60320,Fort Myers,FL,33906,08/13/2018,08/13/2019,Expired,"P.O. Box 60320
Fort Myers, FL 33906"
16-SA-000176,"Haier US Appliance Solution, Inc. /dba GE Applianc","4000 Buechel Bank Road, Appliance Park",Louisville,Kentucky,40225,08/13/2018,08/13/2019,Expired,"4000 Buechel Bank Road, Appliance Park
Louisville, Kentucky 40225
(38.190737, -85.64918)"
00-SA-000194,"Bray & Scarff, Inc.",8610 Cherry Ln,Laurel,MD,20707,08/11/2017,08/11/2018,Expired,"8610 Cherry Ln
Laurel, MD 20707
(39.090552, -76.855611)"
18-SA-002072,KJA & K Communications LLC,21207 Big Woods Rd,Dickerson,MD,20842,07/03/2018,07/03/2019,Expired,"21207 Big Woods Rd
Dickerson, MD 20842
(39.20316, -77.41036)"
08-SA-000339,Gigs Kaad,817 silver Spring Av,Silver Spring,MD,20910,08/13/2018,08/13/2019,Expired,"817 silver Spring Av
Silver Spring, MD 20910
(38.991722, -77.023449)"
08-SA-000339,Gigs Kaad,"817 Silver Spring Avenue, #104",Silver Spring,MD,20910,08/13/2018,08/13/2019,Expired,"817 Silver Spring Avenue, #104
Silver Spring, MD 20910
(38.991722, -77.023449)"
16-SA-000176,"Haier US Appliance Solution, Inc. /dba GE Applianc","Appliance Park, AP35-2112",Louisville,KY,40225,08/13/2018,08/13/2019,Expired,"Appliance Park, AP35-2112
Louisville, KY 40225"
00-SA-000003,"Human Circuit, Inc.",9346 Gaither Road,Gaithersburg,MD,20877,08/20/2019,08/20/2020,Renewed,"9346 Gaither Road
Gaithersburg, MD 20877
(39.117901, -77.192875)"
,,15618 Everglade Ln.,Bowie,Md,20716,,,,"15618 Everglade Ln.
Bowie, Md 20716
(38.940141, -76.731443)"
00-SA-000194,"Bray & Scarff, Inc.",8610 Cherry Lane,Laurel,MD,20707,08/16/2019,08/16/2020,Renewed,"8610 Cherry Lane
Laurel, MD 20707
(39.090552, -76.855611)"
19-SA-002155,Jeff's Appliance Service,11104 Cherry Hill Rd.,Adelphi,MD,20783,08/12/2019,08/12/2020,New,"11104 Cherry Hill Rd.
Adelphi, MD 20783
(39.037724, -76.9459)"
00-SA-000223,"Kane Heating & Air Conditioning, Inc.",305 Natick Court,Silver Spring,MD,20905,07/02/2019,07/02/2020,Renewed,"305 Natick Court
Silver Spring, MD 20905
(39.094139, -77.01268)"
00-SA-000223,"Kane Heating & Air Conditioning, Inc.",305 NATICK CT,SILVER SPRING,Maryland,20905-5875,07/02/2019,07/02/2020,Renewed,"305 NATICK CT
SILVER SPRING, Maryland 20905-5875
(39.094139, -77.01268)"
00-SA-000223,"Kane Heating & Air Conditioning, Inc.",305 Natick Ct,Silver Spring,MD,20905,07/02/2019,07/02/2020,Renewed,"305 Natick Ct
Silver Spring, MD 20905
(39.094139, -77.01268)"
18-SA-002072,KJA & K Communications LLC,21207 Big Woods Rd,Dickerson,Maryland,20842,07/03/2018,07/03/2019,Expired,"21207 Big Woods Rd
Dickerson, Maryland 20842
(39.20316, -77.41036)"
04-SA-000293,"Rayco Sound Industries, Inc.",24337 Hilton Place,Gaithersburg,Maryland,20882,08/07/2019,08/07/2020,Renewed,"24337 Hilton Place
Gaithersburg, Maryland 20882
(39.258555, -77.163422)"
20-SA-002220,"Rush Electric CO., INC.",5510 Franconia Road,Alexandria,VA,22310,04/03/2020,04/03/2021,New,"5510 Franconia Road
Alexandria, VA 22310
(38.784115, -77.130086)"
17-SA-001004,"Audio Video Center,Inc",309 Whitcliff Ct,Gaithersburg,Maryland,20878,08/13/2018,08/13/2019,Expired,"309 Whitcliff Ct
Gaithersburg, Maryland 20878
(39.110796, -77.215064)"
18-SA-001031,Advanced TV & Video Service,19332 MONTGOMERY VILLAGE AVE,MONTGOMERY VILLAGE,MD,20886,08/07/2019,08/07/2020,Renewed,"19332 MONTGOMERY VILLAGE AVE
MONTGOMERY VILLAGE, MD 20886
(39.173342, -77.203729)"
17-SA-001005,Air Flow Services,1143 TAFT STREET,ROCKVILLE,MD,20850,08/13/2018,08/13/2019,Expired,"1143 TAFT STREET
ROCKVILLE, MD 20850
(39.093576, -77.135037)"
00-SA-000003,"Human Circuit, Inc.",9346 Gaither Road,Gaithersburg,Maryland,20877,08/20/2019,08/20/2020,Renewed,"9346 Gaither Road
Gaithersburg, Maryland 20877
(39.117901, -77.192875)"
16-SA-000176,"Haier US Appliance Solution, Inc. /dba GE Applianc",Appliance Park AP35-2112,Louisville,KY,40225,08/13/2018,08/13/2019,Expired,"Appliance Park AP35-2112
Louisville, KY 40225"
18-SA-001031,Advanced TV & Video Service,19332 MONTGOMERY VILLAGE AVE,Montgomery Village,MD,20886-3027,08/07/2019,08/07/2020,Renewed,"19332 MONTGOMERY VILLAGE AVE
Montgomery Village, MD 20886-3027
(39.173342, -77.203729)"
00-SA-000402,"Waters Appliance Service, Inc.",216 East Diamond Avenue,Gaithersburg,md,20877,08/01/2019,08/01/2020,Renewed,"216 East Diamond Avenue
Gaithersburg, md 20877
(39.142141, -77.193858)"
20-SA-002219,B's Plumbing Inc,2205 Crain Hwy Suite 110,Waldorf,MD,20604,04/03/2020,04/03/2021,New,"2205 Crain Hwy Suite 110
Waldorf, MD 20604
(38.650833, -76.883674)"
00-SA-000194,"Bray & Scarff, Inc.",8610 Cherry Ln,Laurel,MD,20707,08/16/2019,08/16/2020,Renewed,"8610 Cherry Ln
Laurel, MD 20707
(39.090552, -76.855611)"
18-SA-001039,All Make Appliances Repair,,,,,02/15/2018,02/15/2019,Expired,
16-SA-000176,"Haier US Appliance Solution, Inc. /dba GE Applianc","Appliance Park, AP35-2112",Louisville,KY,40225,07/19/2018,07/19/2019,Expired,"Appliance Park, AP35-2112
Louisville, KY 40225"
00-SA-000147,Reddix Appliance Service,1714 Terrapin Hills Dr,Mitchellville,MD,20721,08/29/2016,08/29/2017,Expired,"1714 Terrapin Hills Dr
Mitchellville, MD 20721
(38.913899, -76.822202)"
16-SA-000176,"Haier US Appliance Solution, Inc. /dba GE Applianc","4000 Buechel Bank Road, Appliance Park",Louisville,Kentucky,40225,07/19/2018,07/19/2019,Expired,"4000 Buechel Bank Road, Appliance Park
Louisville, Kentucky 40225
(38.190737, -85.64918)"
00-SA-000147,Reddix Appliance Service,1714 Terrapin Hills Drive,Mitchellville,MD,20721,07/18/2019,07/18/2020,Renewed,"1714 Terrapin Hills Drive
Mitchellville, MD 20721
(38.913899, -76.822202)"
04-SA-000293,"Rayco Sound Industries, Inc.",24337 Hilton Place,Gaithersburg,MD,20882,08/07/2019,08/07/2020,Renewed,"24337 Hilton Place
Gaithersburg, MD 20882
(39.258555, -77.163422)"
16-SA-000171,"American International Export, Inc.","8309 Sherwick Ct,  #",Jessup,MD,20794,11/20/2019,11/20/2020,Renewed,"8309 Sherwick Ct, #
Jessup, MD 20794
(39.149231, -76.796326)"
00-SA-000023,"Charles A. Klein & Sons, Inc.",5220 Klees Mill Rd.,Sykesville,Maryland,21784,12/18/2017,12/18/2018,Expired,"5220 Klees Mill Rd.
Sykesville, Maryland 21784
(39.43181, -76.99225)"
19-SA-002175,Visions AV Solutions Inc.,11616 Bootjack Ct,N. Potomac,MD,20878,11/26/2019,11/26/2020,New,"11616 Bootjack Ct
N. Potomac, MD 20878
(39.084762, -77.241267)"
00-SA-000023,"Charles A. Klein & Sons, Inc.",5220 Klees Mill Rd.,Sykesville,Maryland,21784,08/12/2016,08/12/2017,Expired,"5220 Klees Mill Rd.
Sykesville, Maryland 21784
(39.43181, -76.99225)"
18-SA-002062,"Apache Appliance, Inc.",13866 Georgia Avenue,Silver Spring,Maryland,20906,03/30/2018,03/30/2019,Expired,"13866 Georgia Avenue
Silver Spring, Maryland 20906
(39.08294, -77.077543)"
08-SA-000337,"A Nova Appliance, Co.",10195 Main Street #G,Fairfax,VA,22031,10/15/2018,10/15/2019,Expired,"10195 Main Street #G
Fairfax, VA 22031
(38.844607, -77.298905)"
05-SA-000308,Star Appliance Repair,615 S FREDERICK AVE,GAITHERSBURG,MD,20877,07/13/2018,07/13/2019,Expired,"615 S FREDERICK AVE
GAITHERSBURG, MD 20877
(39.128879, -77.185912)"
00-SA-000147,Reddix Appliance Service,1714 Terrapin Hills Dr,Mitchellville,MD,20721,03/28/2018,03/28/2019,Expired,"1714 Terrapin Hills Dr
Mitchellville, MD 20721
(38.913899, -76.822202)"
16-SA-000176,"Haier US Appliance Solution, Inc. /dba GE Appliance",Appliance Park AP35-2112,Louisville,KY,40225,11/06/2017,11/06/2018,Expired,"Appliance Park AP35-2112
Louisville, KY 40225"
00-SA-000128,"Golden Electric, Inc.",100 South Adams Street,Rockville,MD,20850,07/26/2019,07/26/2020,Renewed,"100 South Adams Street
Rockville, MD 20850
(39.082952, -77.154771)"
00-SA-000128,"Golden Electric, Inc.",100 S. Adams Street,Rockville,MD,20850,07/26/2019,07/26/2020,Renewed,"100 S. Adams Street
Rockville, MD 20850
(39.082952, -77.154771)"
05-SA-000308,Star Appliance Repair,462 West Deer Park Road,Gaithersburg,MD,20877,07/13/2018,07/13/2019,Expired,"462 West Deer Park Road
Gaithersburg, MD 20877
(39.128914, -77.200766)"
05-SA-000308,Star Appliance Repair,20048 Lake Park Dr,Germantown,Maryland,20874,07/13/2018,07/13/2019,Expired,"20048 Lake Park Dr
Germantown, Maryland 20874
(39.184021, -77.287787)"
12-SA-000154,Appliance Treatment,21139 Potomac Trail Cir,Ashburn,Va,20148,04/20/2020,04/20/2021,New,"21139 Potomac Trail Cir
Ashburn, Va 20148
(39.032224, -77.532019)"
19-SA-002152,E.S.Enright,4886 Onita Dr.,Arlington,TN,38002,07/23/2019,07/23/2020,New,"4886 Onita Dr.
Arlington, TN 38002
(35.258808, -89.789659)"
16-SA-000171,"American International Export, Inc.","8309 Sherwick Ct,  #",Jessup,MD,20794,05/17/2017,05/17/2018,Expired,"8309 Sherwick Ct, #
Jessup, MD 20794
(39.149231, -76.796326)"
00-SA-000223,"Kane Heating & Air Conditioning, Inc.",305 NATICK CT,SILVER SPRING,Maryland,20905-5875,07/24/2018,07/24/2019,Expired,"305 NATICK CT
SILVER SPRING, Maryland 20905-5875
(39.094139, -77.01268)"
00-SA-000147,Reddix Appliance Service,1714 Terrapin Hills Dr,Mitcheville,MD,20721,07/18/2019,07/18/2020,Renewed,"1714 Terrapin Hills Dr
Mitcheville, MD 20721
(38.913899, -76.822202)"
00-SA-000147,Reddix Appliance Service,1714 Terrapin Hills Dr,Mitchellville,MD,20721,07/18/2019,07/18/2020,Renewed,"1714 Terrapin Hills Dr
Mitchellville, MD 20721
(38.913899, -76.822202)"
16-SA-000176,"Haier US Appliance Solution, Inc. /dba GE Applianc",Appliance Park AP35-2112,Louisville,KY,40225,07/19/2018,07/19/2019,Expired,"Appliance Park AP35-2112
Louisville, KY 40225"
08-SA-000337,"A Nova Appliance, Co.",10195 Main St,Fairfax,Va.,22031,10/15/2018,10/15/2019,Expired,"10195 Main St
Fairfax, Va. 22031
(38.844607, -77.298905)"
18-SA-002067,LCP Appliances,3343 Hewitt Av.,Silver Spring,Maryland,20906,,,Closed,"3343 Hewitt Av.
Silver Spring, Maryland 20906
(39.079304, -77.067794)"
18-SA-001038,Phil's Fix-it,600 Main St.,Gaithersburg,MD,20878,01/29/2018,01/29/2019,Expired,"600 Main St.
Gaithersburg, MD 20878
(39.120645, -77.232359)"
00-SA-000023,"Charles A. Klein & Sons, Inc.",5220 Klees Mill Rd.,Sykesville,Maryland,21784,11/19/2019,11/19/2020,Renewed,"5220 Klees Mill Rd.
Sykesville, Maryland 21784
(39.43181, -76.99225)"
00-SA-000223,"Kane Heating & Air Conditioning, Inc.",305 Natick Court,Silver Spring,MD,20905,07/24/2018,07/24/2019,Expired,"305 Natick Court
Silver Spring, MD 20905
(39.094139, -77.01268)"
00-SA-000223,"Kane Heating & Air Conditioning, Inc.",305 Natick Ct,Silver Spring,MD,20905,07/24/2018,07/24/2019,Expired,"305 Natick Ct
Silver Spring, MD 20905
(39.094139, -77.01268)"
18-SA-001034,"Electrolux Services, LLC",10200 David Taylor Dr.,Charlotte,North Carolina,28262,01/10/2018,01/10/2019,Expired,"10200 David Taylor Dr.
Charlotte, North Carolina 28262
(35.329174, -80.762766)"
16-SA-000176,"Haier US Appliance Solution, Inc. /dba GE Applianc",P.O. Box 60320,Fort Myers,FL,33906,07/19/2018,07/19/2019,Expired,"P.O. Box 60320
Fort Myers, FL 33906"
00-SA-000023,"Charles A. Klein & Sons, Inc.",5220 Klees Mill Rd.,Sykesville,MD,21784,11/19/2019,11/19/2020,Renewed,"5220 Klees Mill Rd.
Sykesville, MD 21784
(39.43181, -76.99225)"
17-SA-001014,Acker & Sons,10516 Summit Ave,Kensington,MD,20895,11/13/2018,11/13/2019,Expired,"10516 Summit Ave
Kensington, MD 20895
(39.029026, -77.078639)"
16-SA-000179,"Sears, Roebuck and Co.","3333 Beverly Road, A4250B",Hoffman Estates,IL,60179,11/14/2018,11/14/2019,Expired,"3333 Beverly Road, A4250B
Hoffman Estates, IL 60179
(42.07778, -88.223535)"
17-SA-001014,Acker & Sons,10516 Summit Avenue,Kensington,MD,20895,11/13/2018,11/13/2019,Expired,"10516 Summit Avenue
Kensington, MD 20895
(39.029026, -77.078639)"
13-SA-000160,"Associated Appliance Service, Inc",3001 Taylor Ave,BALTiMORE,MD,21234,05/26/2017,05/26/2018,Expired,"3001 Taylor Ave
BALTiMORE, MD 21234
(39.373557, -76.542448)"
16-SA-000171,"American International Export, Inc.",8951 Brookville Road,Silver Spring,MD,20910,11/20/2019,11/20/2020,Renewed,"8951 Brookville Road
Silver Spring, MD 20910
(39.003313, -77.052306)"
16-SA-000179,"Sears, Roebuck and Co.",3333 BEVERLY ROAD,HOFFMAN ESTATES,IL,60179,11/14/2018,11/14/2019,Expired,"3333 BEVERLY ROAD
HOFFMAN ESTATES, IL 60179
(42.07778, -88.223535)"
16-SA-000171,"American International Export, Inc.",8309B Sherwick Ct,Jessup,MD,20794,05/17/2017,05/17/2018,Expired,"8309B Sherwick Ct
Jessup, MD 20794
(39.149231, -76.796326)"
16-SA-000177,"A & E Factory Service, LLC",3333 BEVERLY ROAD,HOFFMAN ESTATES,IL,60179,11/14/2018,11/14/2019,Expired,"3333 BEVERLY ROAD
HOFFMAN ESTATES, IL 60179
(42.07778, -88.223535)"
20-SA-002226,Ronald Gottlieb dba A.R.C. Appliance Repair Compan,17109 Amity Drive,Rockville,MD,20855,04/24/2020,04/24/2021,New,"17109 Amity Drive
Rockville, MD 20855
(39.136966, -77.165255)"
16-SA-000177,"A & E Factory Service, LLC","3333 Beverly Road, A4250B",Hoffman Estates,IL,60179,11/14/2018,11/14/2019,Expired,"3333 Beverly Road, A4250B
Hoffman Estates, IL 60179
(42.07778, -88.223535)"
16-SA-000171,"American International Export, Inc.",8309B Sherwick Ct,Jessup,MD,20794,11/20/2019,11/20/2020,Renewed,"8309B Sherwick Ct
Jessup, MD 20794
(39.149231, -76.796326)"
12-SA-000154,Appliance Treatment,21139 Potomac Trail Circle,Ashburn,VA,20148,04/20/2020,04/20/2021,New,"21139 Potomac Trail Circle
Ashburn, VA 20148
(39.032224, -77.532019)"
19-SA-002138,"AR Air Conditioning & Refrigeration, Inc",20111 Rothbury Lane,Montgomery Village,MD,20886,04/17/2020,04/17/2021,Renewed,"20111 Rothbury Lane
Montgomery Village, MD 20886
(39.186151, -77.190902)"
02-SA-000277,A.R.C. Appliance Repair Company,17109 Amity Drive,Rockville,MD,20855,,,Closed,"17109 Amity Drive
Rockville, MD 20855
(39.136966, -77.165255)"
19-SA-002138,"AR Air Conditioning & Refrigeration, Inc",20111 Rothbur#1101,Mont vlg,MD,20886,04/17/2020,04/17/2021,Renewed,"20111 Rothbur#1101
Mont vlg, MD 20886"
19-SA-002138,"AR Airconditoning, Refrigration and Appliances",20111 Rothbur#1101,Mont vlg,MD,20886,05/07/2019,05/07/2020,New,"20111 Rothbur#1101
Mont vlg, MD 20886"
19-SA-002138,"AR Airconditoning, Refrigration and Appliances",20111 Rothbury,Montgomery Village,MD,20886,05/07/2019,05/07/2020,New,"20111 Rothbury
Montgomery Village, MD 20886
(39.185601, -77.191877)"
19-SA-002138,"AR Air Conditioning & Refrigeration, Inc",20111 Rothbury,Montgomery Village,MD,20886,04/17/2020,04/17/2021,Renewed,"20111 Rothbury
Montgomery Village, MD 20886
(39.185601, -77.191877)"
00-SA-000394,Universal Electronics,10600 Macarthur Blvd,Potomac,Maryland,20854,02/27/2019,02/27/2020,Expired,"10600 Macarthur Blvd
Potomac, Maryland 20854
(38.980398, -77.221345)"
08-SA-000342,"Mark M. Services, LLC",14514 Anchor Lane,Boyds,Maryland,20841,03/28/2018,03/28/2019,Expired,"14514 Anchor Lane
Boyds, Maryland 20841
(39.172117, -77.300059)"
00-SA-000381,"Bishop Equipment Co., Inc.",2825 Dorr Ave,Fairfax,VA,22031,02/13/2020,02/13/2021,Renewed,"2825 Dorr Ave
Fairfax, VA 22031
(38.875715, -77.233988)"
13-SA-000160,"Associated Appliance Service, Inc",3001 Taylor Ave,BALTiMORE,MD,21234,09/10/2019,09/10/2020,Renewed,"3001 Taylor Ave
BALTiMORE, MD 21234
(39.373557, -76.542448)"
00-SA-000018,Bettar Appliance,10503 Wheatley Street,Kensington,MD,20895,09/18/2019,09/18/2020,Renewed,"10503 Wheatley Street
Kensington, MD 20895
(39.027384, -77.070982)"
16-SA-000174,"Jeff's Appliance Service, Inc.",11104 Cherry Hill Rd.,Adelphi,MD,20783,,06/07/2018,Expired,"11104 Cherry Hill Rd.
Adelphi, MD 20783
(39.037724, -76.9459)"
17-SA-001004,"Audio Video Center,Inc",,,,,09/19/2019,09/19/2020,Renewed,
00-SA-000239,"Hyssong Appliance Center, Inc.",93 MONOCACY BLVD.,FREDERICK,MD,21701,08/17/2016,08/17/2017,Expired,"93 MONOCACY BLVD.
FREDERICK, MD 21701
(39.404993, -77.392388)"
00-SA-000406,"All Variety Service, Inc.","231 Mill Street, NE",Vienna,VA,22180,12/03/2018,12/03/2019,Expired,"231 Mill Street, NE
Vienna, VA 22180
(38.904473, -77.265799)"
00-SA-000406,"All Variety Service, Inc.",2800 Dorr Ave,Fairfax,VA,22031,12/03/2018,12/03/2019,Expired,"2800 Dorr Ave
Fairfax, VA 22031
(38.877816, -77.233671)"
08-SA-000342,"Mark M. Services, LLC",P.O. Box 274,Boyds,MD,20841,02/28/2019,02/28/2020,Expired,"P.O. Box 274
Boyds, MD 20841"
16-SA-000176,"Haier US Appliance Solution, Inc. /dba GE Applianc",Appliance Park AP35-2112,Louisville,KY,40225,08/05/2019,08/05/2020,Renewed,"Appliance Park AP35-2112
Louisville, KY 40225"
16-SA-000176,"Haier US Appliance Solution, Inc. /dba GE Applianc","4000 Buechel Bank Road, Appliance Park",Louisville,Kentucky,40225,08/05/2019,08/05/2020,Renewed,"4000 Buechel Bank Road, Appliance Park
Louisville, Kentucky 40225
(38.190737, -85.64918)"
16-SA-000176,"Haier US Appliance Solution, Inc. /dba GE Applianc",P.O. Box 60320,Fort Myers,FL,33906,08/05/2019,08/05/2020,Renewed,"P.O. Box 60320
Fort Myers, FL 33906"
16-SA-000176,"Haier US Appliance Solution, Inc. /dba GE Applianc","Appliance Park, AP35-2112",Louisville,KY,40225,08/05/2019,08/05/2020,Renewed,"Appliance Park, AP35-2112
Louisville, KY 40225"
00-SA-000046,Anytime Appliance Service,3141 UNIVERSITY BLVD.,KENSINGTON,MARYLAND,20895,12/06/2018,12/06/2019,Expired,"3141 UNIVERSITY BLVD.
KENSINGTON, MARYLAND 20895
(39.035819, -77.06469)"
00-SA-000003,"Human Circuit, Inc.",9346 Gaither Road,Gaithersburg,Maryland,20877,09/28/2018,09/28/2019,Expired,"9346 Gaither Road
Gaithersburg, Maryland 20877
(39.117901, -77.192875)"
