Location_No,Report_Date,Indicator_Name,Indicator_Value
63,01/01/2018,Missing or Outdated Employment Plan,0.9916
64,01/01/2018,Missing or Outdated Employment Plan,0.9799
66,01/01/2018,Missing or Outdated Employment Plan,0.9666
67,01/01/2018,Missing or Outdated Employment Plan,0.9586
70,01/01/2018,Missing or Outdated Employment Plan,0.9916
79,01/01/2018,Missing or Outdated Employment Plan,0.9222
99,01/01/2018,Missing or Outdated Employment Plan,0.9504
13,01/01/2018,Rate of Child Care in Child Care System,0.9722
18,01/01/2018,Rate of Child Care in Child Care System,0.7273
23,01/01/2018,Rate of Child Care in Child Care System,0.9444
35,01/01/2018,Rate of Child Care in Child Care System,0.871
38,01/01/2018,Rate of Child Care in Child Care System,0.8958
40,01/01/2018,Rate of Child Care in Child Care System,0.9189
44,01/01/2018,Rate of Child Care in Child Care System,0.8636
45,01/01/2018,Rate of Child Care in Child Care System,0.8235
46,01/01/2018,Rate of Child Care in Child Care System,0.802
47,01/01/2018,Rate of Child Care in Child Care System,1
53,01/01/2018,Rate of Child Care in Child Care System,0.9286
54,01/01/2018,Rate of Child Care in Child Care System,0.9157
63,01/01/2018,Rate of Child Care in Child Care System,0.9286
64,01/01/2018,Rate of Child Care in Child Care System,0.8814
66,01/01/2018,Rate of Child Care in Child Care System,0.875
67,01/01/2018,Rate of Child Care in Child Care System,0.9828
70,01/01/2018,Rate of Child Care in Child Care System,1
79,01/01/2018,Rate of Child Care in Child Care System,0.875
99,01/01/2018,Rate of Child Care in Child Care System,0.9211
13,01/01/2018,Eligible & Referred to Appropriate Activities,0.9782
18,01/01/2018,Eligible & Referred to Appropriate Activities,0.9707
23,01/01/2018,Eligible & Referred to Appropriate Activities,0.9734
35,01/01/2018,Eligible & Referred to Appropriate Activities,0.983
38,01/01/2018,Eligible & Referred to Appropriate Activities,0.9556
40,01/01/2018,Eligible & Referred to Appropriate Activities,0.9412
44,01/01/2018,Eligible & Referred to Appropriate Activities,0.9573
45,01/01/2018,Eligible & Referred to Appropriate Activities,0.9304
46,01/01/2018,Eligible & Referred to Appropriate Activities,0.9497
47,01/01/2018,Eligible & Referred to Appropriate Activities,1
53,01/01/2018,Eligible & Referred to Appropriate Activities,0.9513
54,01/01/2018,Eligible & Referred to Appropriate Activities,0.9739
63,01/01/2018,Eligible & Referred to Appropriate Activities,0.9843
64,01/01/2018,Eligible & Referred to Appropriate Activities,0.9511
66,01/01/2018,Eligible & Referred to Appropriate Activities,0.9556
67,01/01/2018,Eligible & Referred to Appropriate Activities,0.9545
70,01/01/2018,Eligible & Referred to Appropriate Activities,0.9873
79,01/01/2018,Eligible & Referred to Appropriate Activities,0.9083
99,01/01/2018,Eligible & Referred to Appropriate Activities,0.9669
13,01/01/2018,Re-Engaged after Good Cause,0.9935
18,01/01/2018,Re-Engaged after Good Cause,0.979
23,01/01/2018,Re-Engaged after Good Cause,0.9784
35,01/01/2018,Re-Engaged after Good Cause,0.9866
38,01/01/2018,Re-Engaged after Good Cause,0.9846
40,01/01/2018,Re-Engaged after Good Cause,0.984
44,01/01/2018,Re-Engaged after Good Cause,1
45,01/01/2018,Re-Engaged after Good Cause,0.958
46,01/01/2018,Re-Engaged after Good Cause,0.9631
47,01/01/2018,Re-Engaged after Good Cause,1
53,01/01/2018,Re-Engaged after Good Cause,0.968
54,01/01/2018,Re-Engaged after Good Cause,0.9688
63,01/01/2018,Re-Engaged after Good Cause,0.9919
64,01/01/2018,Re-Engaged after Good Cause,0.989
66,01/01/2018,Re-Engaged after Good Cause,0.992
67,01/01/2018,Re-Engaged after Good Cause,1
70,01/01/2018,Re-Engaged after Good Cause,0.9701
79,01/01/2018,Re-Engaged after Good Cause,0.981
99,01/01/2018,Re-Engaged after Good Cause,0.9857
13,01/01/2018,Reported Placements,168
18,01/01/2018,Reported Placements,141
23,01/01/2018,Reported Placements,97
35,01/01/2018,Reported Placements,123
38,01/01/2018,Reported Placements,257
40,01/01/2018,Reported Placements,144
44,01/01/2018,Reported Placements,144
45,01/01/2018,Reported Placements,145
46,01/01/2018,Reported Placements,269
47,01/01/2018,Reported Placements,12
53,01/01/2018,Reported Placements,125
54,01/01/2018,Reported Placements,257
63,01/01/2018,Reported Placements,148
64,01/01/2018,Reported Placements,258
66,01/01/2018,Reported Placements,226
67,01/01/2018,Reported Placements,231
70,01/01/2018,Reported Placements,81
79,01/01/2018,Reported Placements,64
99,01/01/2018,Reported Placements,85
13,01/01/2018,Employed Cases with Current Documentation,0.8261
18,01/01/2018,Employed Cases with Current Documentation,0.8776
23,01/01/2018,Employed Cases with Current Documentation,0.8605
35,01/01/2018,Employed Cases with Current Documentation,0.7736
38,01/01/2018,Employed Cases with Current Documentation,0.6846
40,01/01/2018,Employed Cases with Current Documentation,0.7846
44,01/01/2018,Employed Cases with Current Documentation,0.7059
45,01/01/2018,Employed Cases with Current Documentation,0.7683
46,01/01/2018,Employed Cases with Current Documentation,0.7328
47,01/01/2018,Employed Cases with Current Documentation,0.8125
53,01/01/2018,Employed Cases with Current Documentation,0.881
54,01/01/2018,Employed Cases with Current Documentation,0.8065
63,01/01/2018,Employed Cases with Current Documentation,0.8615
64,01/01/2018,Employed Cases with Current Documentation,0.8352
66,01/01/2018,Employed Cases with Current Documentation,0.9219
67,01/01/2018,Employed Cases with Current Documentation,0.8072
70,01/01/2018,Employed Cases with Current Documentation,0.9111
79,01/01/2018,Employed Cases with Current Documentation,0.7
99,01/01/2018,Employed Cases with Current Documentation,0.8947
13,01/01/2018,Cases Budgeted Timely (35 days),0.9844
18,01/01/2018,Cases Budgeted Timely (35 days),0.9535
23,01/01/2018,Cases Budgeted Timely (35 days),0.7805
35,01/01/2018,Cases Budgeted Timely (35 days),0.9545
38,01/01/2018,Cases Budgeted Timely (35 days),0.9085
40,01/01/2018,Cases Budgeted Timely (35 days),0.9839
44,01/01/2018,Cases Budgeted Timely (35 days),0.9322
45,01/01/2018,Cases Budgeted Timely (35 days),0.9268
46,01/01/2018,Cases Budgeted Timely (35 days),0.9517
47,01/01/2018,Cases Budgeted Timely (35 days),1
53,01/01/2018,Cases Budgeted Timely (35 days),0.9655
54,01/01/2018,Cases Budgeted Timely (35 days),0.9845
63,01/01/2018,Cases Budgeted Timely (35 days),1
64,01/01/2018,Cases Budgeted Timely (35 days),1
66,01/01/2018,Cases Budgeted Timely (35 days),0.9487
67,01/01/2018,Cases Budgeted Timely (35 days),0.9195
70,01/01/2018,Cases Budgeted Timely (35 days),0.9615
79,01/01/2018,Cases Budgeted Timely (35 days),0.5588
99,01/01/2018,Cases Budgeted Timely (35 days),0.8649
13,01/01/2018,% Placements w/FIA3As (Employment Form),0.9586
18,01/01/2018,% Placements w/FIA3As (Employment Form),0.951
23,01/01/2018,% Placements w/FIA3As (Employment Form),0.8611
35,01/01/2018,% Placements w/FIA3As (Employment Form),0.9048
38,01/01/2018,% Placements w/FIA3As (Employment Form),0.9124
40,01/01/2018,% Placements w/FIA3As (Employment Form),0.925
44,01/01/2018,% Placements w/FIA3As (Employment Form),0.9153
45,01/01/2018,% Placements w/FIA3As (Employment Form),0.874
46,01/01/2018,% Placements w/FIA3As (Employment Form),0.9134
47,01/01/2018,% Placements w/FIA3As (Employment Form),1
53,01/01/2018,% Placements w/FIA3As (Employment Form),0.9375
54,01/01/2018,% Placements w/FIA3As (Employment Form),0.9567
63,01/01/2018,% Placements w/FIA3As (Employment Form),0.9695
64,01/01/2018,% Placements w/FIA3As (Employment Form),0.9404
66,01/01/2018,% Placements w/FIA3As (Employment Form),0.92
67,01/01/2018,% Placements w/FIA3As (Employment Form),0.9289
70,01/01/2018,% Placements w/FIA3As (Employment Form),0.9342
79,01/01/2018,% Placements w/FIA3As (Employment Form),0.8909
99,01/01/2018,% Placements w/FIA3As (Employment Form),0.9385
13,01/01/2018,Training Attendance Rate,0.9857
18,01/01/2018,Training Attendance Rate,0.9538
23,01/01/2018,Training Attendance Rate,1
35,01/01/2018,Training Attendance Rate,0.9365
38,01/01/2018,Training Attendance Rate,0.9293
40,01/01/2018,Training Attendance Rate,0.9508
44,01/01/2018,Training Attendance Rate,0.988
45,01/01/2018,Training Attendance Rate,0.9583
46,01/01/2018,Training Attendance Rate,0.9208
47,01/01/2018,Training Attendance Rate,1
53,01/01/2018,Training Attendance Rate,0.9388
54,01/01/2018,Training Attendance Rate,0.8953
63,01/01/2018,Training Attendance Rate,1
64,01/01/2018,Training Attendance Rate,1
66,01/01/2018,Training Attendance Rate,0.9651
67,01/01/2018,Training Attendance Rate,0.97
70,01/01/2018,Training Attendance Rate,1
79,01/01/2018,Training Attendance Rate,1
99,01/01/2018,Training Attendance Rate,1
13,01/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0.0648
18,01/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0
23,01/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0
35,01/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0
38,01/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0.0608
40,01/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0
44,01/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0
45,01/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0.0491
46,01/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0
47,01/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0
53,01/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0.0216
54,01/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0
63,01/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0
64,01/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0
66,01/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0
67,01/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0.306
70,01/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0
79,01/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0
99,01/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0
13,01/01/2018,Overdue Face To Face Recertifications,1
18,01/01/2018,Overdue Face To Face Recertifications,2
23,01/01/2018,Overdue Face To Face Recertifications,3
35,01/01/2018,Overdue Face To Face Recertifications,0
38,01/01/2018,Overdue Face To Face Recertifications,0
40,01/01/2018,Overdue Face To Face Recertifications,0
44,01/01/2018,Overdue Face To Face Recertifications,8
45,01/01/2018,Overdue Face To Face Recertifications,0
46,01/01/2018,Overdue Face To Face Recertifications,8
47,01/01/2018,Overdue Face To Face Recertifications,0
53,01/01/2018,Overdue Face To Face Recertifications,4
54,01/01/2018,Overdue Face To Face Recertifications,0
63,01/01/2018,Overdue Face To Face Recertifications,0
64,01/01/2018,Overdue Face To Face Recertifications,1
66,01/01/2018,Overdue Face To Face Recertifications,1
67,01/01/2018,Overdue Face To Face Recertifications,123
70,01/01/2018,Overdue Face To Face Recertifications,0
79,01/01/2018,Overdue Face To Face Recertifications,2
99,01/01/2018,Overdue Face To Face Recertifications,0
13,01/01/2018,SSN Validation,0.9474
18,01/01/2018,SSN Validation,1
23,01/01/2018,SSN Validation,1
35,01/01/2018,SSN Validation,0.9444
38,01/01/2018,SSN Validation,0.9565
40,01/01/2018,SSN Validation,1
44,01/01/2018,SSN Validation,0.9737
45,01/01/2018,SSN Validation,1
46,01/01/2018,SSN Validation,0.963
47,01/01/2018,SSN Validation,0.85
53,01/01/2018,SSN Validation,1
54,01/01/2018,SSN Validation,0.9758
63,01/01/2018,SSN Validation,1
64,01/01/2018,SSN Validation,0.9634
66,01/01/2018,SSN Validation,1
67,01/01/2018,SSN Validation,0.975
70,01/01/2018,SSN Validation,0.9565
79,01/01/2018,SSN Validation,1
99,01/01/2018,SSN Validation,1
13,01/01/2018,% SI over 45 Days,0.0306
18,01/01/2018,% SI over 45 Days,0
23,01/01/2018,% SI over 45 Days,0.1398
35,01/01/2018,% SI over 45 Days,0.0593
38,01/01/2018,% SI over 45 Days,0.0115
40,01/01/2018,% SI over 45 Days,0
44,01/01/2018,% SI over 45 Days,0.0303
45,01/01/2018,% SI over 45 Days,0.382
46,01/01/2018,% SI over 45 Days,0.1127
47,01/01/2018,% SI over 45 Days,0
53,01/01/2018,% SI over 45 Days,0
54,01/01/2018,% SI over 45 Days,0
63,01/01/2018,% SI over 45 Days,0.0256
64,01/01/2018,% SI over 45 Days,0
66,01/01/2018,% SI over 45 Days,0.027
67,01/01/2018,% SI over 45 Days,0.0349
70,01/01/2018,% SI over 45 Days,0.0769
79,01/01/2018,% SI over 45 Days,0.25
99,01/01/2018,% SI over 45 Days,0.0563
13,01/01/2018,Fair Hearing Request Rate,0.0338
18,01/01/2018,Fair Hearing Request Rate,0.0413
23,01/01/2018,Fair Hearing Request Rate,0.0517
35,01/01/2018,Fair Hearing Request Rate,0.0387
38,01/01/2018,Fair Hearing Request Rate,0.0541
40,01/01/2018,Fair Hearing Request Rate,0.0484
44,01/01/2018,Fair Hearing Request Rate,0.0592
45,01/01/2018,Fair Hearing Request Rate,0.05
46,01/01/2018,Fair Hearing Request Rate,0.0524
47,01/01/2018,Fair Hearing Request Rate,0.0084
53,01/01/2018,Fair Hearing Request Rate,0.0359
54,01/01/2018,Fair Hearing Request Rate,0.0351
63,01/01/2018,Fair Hearing Request Rate,0.0413
64,01/01/2018,Fair Hearing Request Rate,0.0581
66,01/01/2018,Fair Hearing Request Rate,0.0655
67,01/01/2018,Fair Hearing Request Rate,0.0603
70,01/01/2018,Fair Hearing Request Rate,0.03
79,01/01/2018,Fair Hearing Request Rate,0.069
99,01/01/2018,Fair Hearing Request Rate,0.0318
13,01/01/2018,Fair Hearing Withdrawal Rate,0.05
18,01/01/2018,Fair Hearing Withdrawal Rate,0.034
23,01/01/2018,Fair Hearing Withdrawal Rate,0.087
35,01/01/2018,Fair Hearing Withdrawal Rate,0.084
38,01/01/2018,Fair Hearing Withdrawal Rate,0.059
40,01/01/2018,Fair Hearing Withdrawal Rate,0.056
44,01/01/2018,Fair Hearing Withdrawal Rate,0.073
45,01/01/2018,Fair Hearing Withdrawal Rate,0.064
46,01/01/2018,Fair Hearing Withdrawal Rate,0.053
47,01/01/2018,Fair Hearing Withdrawal Rate,0
53,01/01/2018,Fair Hearing Withdrawal Rate,0.075
54,01/01/2018,Fair Hearing Withdrawal Rate,0.085
63,01/01/2018,Fair Hearing Withdrawal Rate,0.098
64,01/01/2018,Fair Hearing Withdrawal Rate,0.074
66,01/01/2018,Fair Hearing Withdrawal Rate,0.049
67,01/01/2018,Fair Hearing Withdrawal Rate,0.084
70,01/01/2018,Fair Hearing Withdrawal Rate,0.089
79,01/01/2018,Fair Hearing Withdrawal Rate,0.06
99,01/01/2018,Fair Hearing Withdrawal Rate,0.028
13,01/01/2018,Fair Hearing Affirmation Rate,0.65
18,01/01/2018,Fair Hearing Affirmation Rate,0.667
23,01/01/2018,Fair Hearing Affirmation Rate,0.647
35,01/01/2018,Fair Hearing Affirmation Rate,0.633
38,01/01/2018,Fair Hearing Affirmation Rate,0.51
40,01/01/2018,Fair Hearing Affirmation Rate,0.381
44,01/01/2018,Fair Hearing Affirmation Rate,0.5
45,01/01/2018,Fair Hearing Affirmation Rate,0.533
46,01/01/2018,Fair Hearing Affirmation Rate,0.556
47,01/01/2018,Fair Hearing Affirmation Rate,0
53,01/01/2018,Fair Hearing Affirmation Rate,0.604
54,01/01/2018,Fair Hearing Affirmation Rate,0.596
63,01/01/2018,Fair Hearing Affirmation Rate,0.724
64,01/01/2018,Fair Hearing Affirmation Rate,0.53
66,01/01/2018,Fair Hearing Affirmation Rate,0.514
67,01/01/2018,Fair Hearing Affirmation Rate,0.477
70,01/01/2018,Fair Hearing Affirmation Rate,0.429
79,01/01/2018,Fair Hearing Affirmation Rate,0.316
99,01/01/2018,Fair Hearing Affirmation Rate,0.5
13,01/01/2018,Spot Violation,0
18,01/01/2018,Spot Violation,0
23,01/01/2018,Spot Violation,0
35,01/01/2018,Spot Violation,0
38,01/01/2018,Spot Violation,0
40,01/01/2018,Spot Violation,0
44,01/01/2018,Spot Violation,0
45,01/01/2018,Spot Violation,0
46,01/01/2018,Spot Violation,0
47,01/01/2018,Spot Violation,0
53,01/01/2018,Spot Violation,0
54,01/01/2018,Spot Violation,0
63,01/01/2018,Spot Violation,0
64,01/01/2018,Spot Violation,0
66,01/01/2018,Spot Violation,0
67,01/01/2018,Spot Violation,0
70,01/01/2018,Spot Violation,0
79,01/01/2018,Spot Violation,0
99,01/01/2018,Spot Violation,0
45,08/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0.0495
40,02/01/2018,Fair Hearing Withdrawal Rate,0.064
47,05/01/2018,Overdue Face To Face Recertifications,1
44,02/01/2018,Rate of Child Care in Child Care System,0.8235
23,08/01/2018,% Placements w/FIA3As (Employment Form),0.95
66,09/01/2018,SNAP Application Timeliness,0.8807
38,04/01/2018,SNAP Separate Determination Rate,0.9655
53,05/01/2018,Re-Engaged after Good Cause,0.9912
18,02/01/2018,Fair Hearing Affirmation Rate,0.727
47,06/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0
45,03/01/2018,Missing or Outdated Employment Plan,0.8689
18,02/01/2018,% SI over 45 Days,0
70,05/01/2018,Fair Hearing Request Rate,0.0284
79,03/01/2018,% SI over 45 Days,0
54,08/01/2018,Same Day SNAP Issuance (weekly Avg),0.9879
79,02/01/2018,Fair Hearing Request Rate,0.0498
23,05/01/2018,Cases Budgeted Timely (35 days),0.9412
63,03/01/2018,Re-Engaged after Good Cause,1
18,04/01/2018,Fair Hearing Withdrawal Rate,0.015
63,09/01/2018,Spot Violation,0
38,05/01/2018,Missing or Outdated Employment Plan,0.9847
53,04/01/2018,SSN Validation,0.9434
44,08/01/2018,Employed Cases with Current Documentation,0.9726
54,02/01/2018,Missing or Outdated Employment Plan,0.9767
54,02/01/2018,Fair Hearing Affirmation Rate,0.625
23,07/01/2018,Same Day SNAP Issuance (weekly Avg),0.9778
40,02/01/2018,Overdue Face To Face Recertifications,0
64,04/01/2018,SNAP Application Timeliness,0.9934
99,06/01/2018,SNAP Application Timeliness,0.9356
67,08/01/2018,Training Attendance Rate,1
45,07/01/2018,Fair Hearing Affirmation Rate,0.487
18,07/01/2018,Eligible & Referred to Appropriate Activities,0.9795
79,06/01/2018,Re-Engaged after Good Cause,0.955
53,09/01/2018,Fair Hearing Affirmation Rate,0.404
44,08/01/2018,Training Attendance Rate,0.8902
63,06/01/2018,Reported Placements,95
35,03/01/2018,Cases Budgeted Timely (35 days),0.92
46,04/01/2018,SNAP Separate Determination Rate,0.996
54,07/01/2018,Missing or Outdated Employment Plan,0.991
23,05/01/2018,Cash Assistance Application Timeliness,0.9771
79,07/01/2018,Reported Placements,68
23,04/01/2018,Fair Hearing Affirmation Rate,0.55
40,07/01/2018,Fair Hearing Withdrawal Rate,0.066
70,08/01/2018,SSN Validation,1
53,07/01/2018,Same Day SNAP Issuance (weekly Avg),0.9957
99,09/01/2018,Cash Assistance Application Timeliness,0.8741
44,04/01/2018,Cash Assistance Application Timeliness,0.993
45,02/01/2018,Same Day SNAP Issuance (weekly Avg),0.9398
99,07/01/2018,Same Day SNAP Issuance (weekly Avg),0.9653
18,02/01/2018,Eligible & Referred to Appropriate Activities,0.9695
18,07/01/2018,Overdue Face To Face Recertifications,0
40,04/01/2018,Cases Budgeted Timely (35 days),1
99,03/01/2018,Employed Cases with Current Documentation,0.9574
63,09/01/2018,Rate of Child Care in Child Care System,1
53,09/01/2018,Reported Placements,87
13,05/01/2018,Reported Placements,138
35,09/01/2018,Rate of Child Care in Child Care System,0.8889
44,05/01/2018,Employed Cases with Current Documentation,0.9639
40,02/01/2018,Fair Hearing Affirmation Rate,0.5
54,08/01/2018,SNAP Application Timeliness,0.996
66,06/01/2018,SSN Validation,0.9474
44,05/01/2018,Cash Assistance Application Timeliness,0.9932
99,04/01/2018,SNAP Separate Determination Rate,1
35,08/01/2018,Reported Placements,95
64,05/01/2018,Re-Engaged after Good Cause,0.9728
66,08/01/2018,Overdue Face To Face Recertifications,0
35,06/01/2018,Rate of Child Care in Child Care System,0.9655
64,07/01/2018,Employed Cases with Current Documentation,0.8133
46,06/01/2018,Fair Hearing Affirmation Rate,0.408
13,06/01/2018,SNAP Application Timeliness,0.9958
46,04/01/2018,Same Day SNAP Issuance (weekly Avg),0.9906
45,02/01/2018,Training Attendance Rate,0.9667
18,03/01/2018,Cash Assistance Application Timeliness,0.9886
47,06/01/2018,Cases Budgeted Timely (35 days),1
66,05/01/2018,Fair Hearing Withdrawal Rate,0.074
99,06/01/2018,SNAP Separate Determination Rate,1
63,07/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0
44,04/01/2018,% Placements w/FIA3As (Employment Form),0.8592
79,02/01/2018,SSN Validation,1
13,09/01/2018,Reported Placements,93
45,04/01/2018,Fair Hearing Withdrawal Rate,0.092
99,02/01/2018,SNAP Application Timeliness,0.9931
23,03/01/2018,Spot Violation,0
54,03/01/2018,SNAP Separate Determination Rate,0.9974
79,09/01/2018,Employed Cases with Current Documentation,0.8667
35,06/01/2018,Reported Placements,76
35,09/01/2018,Spot Violation,0
79,04/01/2018,Re-Engaged after Good Cause,1
54,03/01/2018,Fair Hearing Request Rate,0.034
40,07/01/2018,Fair Hearing Request Rate,0.0441
70,07/01/2018,Fair Hearing Withdrawal Rate,0.051
63,03/01/2018,Employed Cases with Current Documentation,0.9457
40,09/01/2018,SSN Validation,1
66,04/01/2018,SNAP Application Timeliness,0.9876
47,03/01/2018,Reported Placements,15
46,03/01/2018,Re-Engaged after Good Cause,0.9826
67,02/01/2018,% SI over 45 Days,0.0043
38,08/01/2018,% SI over 45 Days,0.0112
63,03/01/2018,Eligible & Referred to Appropriate Activities,0.9797
45,02/01/2018,Spot Violation,0
45,07/01/2018,Training Attendance Rate,0.9423
63,05/01/2018,% Placements w/FIA3As (Employment Form),0.9479
46,05/01/2018,Fair Hearing Request Rate,0.0498
44,03/01/2018,Fair Hearing Withdrawal Rate,0.07
64,04/01/2018,Cases Budgeted Timely (35 days),0.9254
63,06/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0
99,03/01/2018,Fair Hearing Withdrawal Rate,0.112
38,08/01/2018,Cases Budgeted Timely (35 days),0.9577
23,02/01/2018,SSN Validation,0.9815
79,05/01/2018,Fair Hearing Request Rate,0.0643
99,09/01/2018,Missing or Outdated Employment Plan,0.9695
13,09/01/2018,Employed Cases with Current Documentation,0.7568
23,05/01/2018,Training Attendance Rate,1
67,08/01/2018,% SI over 45 Days,0.0195
23,03/01/2018,SNAP Application Timeliness,0.9943
64,05/01/2018,Reported Placements,183
38,04/01/2018,Eligible & Referred to Appropriate Activities,0.9182
