AppNumber,ApplicantType,Institution,OrganizationType,InstCity,InstState,InstPostalCode,InstCountry,CongressionalDistrict,Latitude,Longitude,CouncilDate,YearAwarded,ProjectTitle,Program,Division,ApprovedOutright,ApprovedMatching,AwardOutright,AwardMatching,OriginalAmount,SupplementAmount,BeginGrant,EndGrant,ProjectDesc,ToSupport,PrimaryDiscipline,SupplementCount,Supplements,ParticipantCount,Participants,DisciplineCount,Disciplines
XN-10033-69,1,South Carolina State University,Four-Year College,Orangeburg,SC,29115-4427,USA,6,33.50362,-80.85401,1969-02-01,1969,Faculty Development Project,Negro College Faculty Development,Fellowships and Seminars,6350.00,0.00,6350.00,0.00,6350.00,0.00,1969-02-01,1969-07-31,None,None,"Interdisciplinary Studies, General",0,NULL,1,Nettie Parler [Project Director],1,"Interdisciplinary Studies, General"
XN-10037-69,1,Xavier University of Louisiana,Four-Year College,New Orleans,LA,70125-1056,USA,2,29.96011,-90.10083,1969-02-01,1969,Faculty Development Program,Negro College Faculty Development,Fellowships and Seminars,7450.00,0.00,7450.00,0.00,7450.00,0.00,1969-06-01,1969-08-31,None,None,"Interdisciplinary Studies, General",0,NULL,1,Dorothy Johnson [Project Director],1,"Interdisciplinary Studies, General"
XY-10073-68,2,"University of Michigan, Ann Arbor",University,Ann Arbor,MI,48109-1382,USA,12,42.27494,-83.74077,1967-11-01,1967,Title not available,Fellowships for Younger Scholars,Fellowships and Seminars,8387.00,0.00,8387.00,0.00,8387.00,0.00,1967-10-01,1968-11-30,None,None,"History, General",0,NULL,1,Richard Haywood [Project Director],1,"History, General"
AO-10003-67,1,University of Pittsburgh,Four-Year College,Pittsburgh,PA,15260-6133,USA,18,40.44171,-79.9566,1967-05-01,1967,Support of a Conference to Explore Potential Application of Computer Science to the Advancement of Research in the Humanities,Program Development/Planning Grants,Agency-wide Projects,5883.00,0.00,5883.00,0.00,5883.00,0.00,1967-05-01,1967-07-31,"Two-day conference whose principal function would be devoted to the discussion of retrieval systems and various techniques that have been established in attempting to coordinate discrete retrieval in various locations and disciplines. The conference would include representatives from the National Science Foundation, Library of Congress, American Council of Learned Societies, and other similarly informed organizations. The conference would also include a session devoted to a discussion of the possible future capabilities of computers and to the impact that this manifestation of various techniques might have upon the philosophy of knowledge.",None,"Interdisciplinary Studies, General",0,NULL,1,Edison Montgomery [Project Director],1,"Interdisciplinary Studies, General"
AO-10015-69,1,Dakota State University,Four-Year College,Madison,SD,57042-1799,USA,1,44.01283,-97.1098,1969-05-01,1969,"A Guideline for the Planning, Development and Organization of the Karl E. Mundt Archival Library",Program Development/Planning Grants,Agency-wide Projects,12210.00,0.00,12210.00,0.00,12210.00,0.00,1969-07-01,1970-09-30,None,None,"History, General",0,NULL,1,David Genaway [Project Director],1,"History, General"
AO-10017-69,1,Society for Health and Human Values,Professional Association,Philadelphia,PA,19107,USA,3,39.95054,-75.15918,1969-05-01,1969,A Study of Humanities Programs in Medical Settings,Program Development/Planning Grants,Agency-wide Projects,10000.00,0.00,10000.00,0.00,10000.00,0.00,1969-07-01,1969-11-30,None,None,"History and Philosophy of Science, Technology, and Medicine",0,NULL,1,Lorraine Hunt [Project Director],1,"History and Philosophy of Science, Technology, and Medicine"
AO-10019-69,2,National Academy of Sciences,Professional Association,Washington,DC,20418-0006,USA,1,38.89216,-77.04671,1969-05-01,1969,Annual Survey of Doctorate Awards,Program Development/Planning Grants,Agency-wide Projects,10000.00,0.00,10000.00,0.00,10000.00,0.00,1969-07-01,1970-06-30,None,None,"Interdisciplinary Studies, General",0,NULL,1,Frederick Seitz [Project Director],1,"Interdisciplinary Studies, General"
AO-10025-69,2,Unknown,None,Westport,CT,Unknown,USA,0,Unknown,unknown,1969-05-01,1969,A Study of Innovative American Colleges,Program Development/Planning Grants,Agency-wide Projects,4000.00,500.00,4000.00,500.00,4500.00,0.00,1969-06-01,1972-01-31,"Study of experimental and innovative American colleges and college programs in the past century, with primary emphasis on differences in curricular philosophies. ABSTRACT: Study of experimental and innovative American colleges and college programs in the past century, with primary emphasis on differences in curricular philosophies. PI to compare not only stated philosophies but some of the differences in their underlying assumptions about the nature of the student, the definition of an ""undeducated man,"" the nature and function of knowledge, the nature of education, and the relation of education to society. ",None,"Interdisciplinary Studies, General",0,NULL,0,NULL,1,"Interdisciplinary Studies, General"
ED-10011-69,1,University of Virginia,University,Charlottesville,VA,22903-4833,USA,5,38.05024,-78.50088,1969-02-01,1969,Center for Textual and Editorial Studies in Humanistic Sources,Education Development and Demonstration,Education Programs,25000.00,8250.00,25000.00,8250.00,33250.00,0.00,1969-07-01,1974-06-30,"Establishment and support for the Center for Textual and Editorial Studies in Humanistic Sources, a program for instruction of graduate students in the handling and editing of manuscript sources and printed text. Establishment and support for the Center for Textual and Editorial Studies in Humanistic Sources, a program for instruction of graduate students in the handling and editing of manuscript sources and printed texts. Consideration will be given to the transmission of literary and historical texts and to the principles of textual criticism and literary and historical editing. Primary purpose of center is to reintroduce American students of history and literature to concern for the integrity of the text upon which conclusions in the fields is based. Will prepare some of these students for careers as scholarly editors. Arrangements have been made with the University of Virginia Library, the Virginia Historical Society, the Library of the College of William and Mary, and the Research Department of colonial Williamsburg, Inc., to provide photographic copies of unedited manuscripts and printed materials to serve as texts for instruction in editorial procedures, which will result in a body of edited texts which have contributed to the training of the student editors which can then be published without further editing. Plans have been made for apprentice programs and/or lectures by the editorial staffs of the paper of George Washington, the John Marshall papers, the James Madison Papers and Stephen Crane's literary texts. Cooperation also planned with the Modern Language Association's Center for Editions of American Authors. Fund for first 2 years of projected 5 year project. Covers salaries, graduate fellowships, honoraria, travel, supplies, indirect costs. ",None,"History, General",0,NULL,1,George Reese [Project Director],2,"History, General; Literature, General"
ED-10031-69,1,Hiram College,Four-Year College,Hiram,OH,44234-9539,USA,4,41.31132,-81.14285,1969-02-01,1969,Hiram College Freshman Year Program,Education Development and Demonstration,Education Programs,60375.00,37500.00,60375.00,37500.00,97875.00,0.00,1969-03-01,1970-02-28,None,None,"Interdisciplinary Studies, General",0,NULL,1,George Morgan [Project Director],1,"Interdisciplinary Studies, General"
EH-10001-68,1,"SUNY Research Foundation, College at Oneonta",Four-Year College,Oneonta,NY,13820-2685,USA,19,42.4529,-75.05487,1968-02-01,1968,Museum Fellowship Program,Institutes for College and University Teachers,Education Programs,32400.00,0.00,32400.00,0.00,32400.00,0.00,1967-06-01,1967-09-30,None,None,"Interdisciplinary Studies, General",0,NULL,1,Louis Jones [Project Director],1,"Interdisciplinary Studies, General"
EH-10009-67,1,Old Dominion University,University,Norfolk,VA,23529-0001,USA,3,36.88605,-76.30803,1967-05-01,1967,Post-Doctoral Teaching Residency Program,Institutes for College and University Teachers,Education Programs,3870.00,0.00,3870.00,0.00,3870.00,0.00,1967-08-01,1968-06-30,None,None,U.S. History,0,NULL,1,Ralph deBedts [Project Director],1,U.S. History
EH-10011-67,1,Occidental College,Four-Year College,Los Angeles,CA,90041-3314,USA,34,34.12734,-118.21449,1967-01-01,1967,Post-Doctoral Teaching Residency Program,Institutes for College and University Teachers,Education Programs,5760.00,0.00,5760.00,0.00,5760.00,0.00,1967-08-01,1968-07-31,None,None,Art History,0,NULL,1,Robert Gross [Project Director],1,Art History
EH-10013-67,1,Albion College,Four-Year College,Albion,MI,49224-1887,USA,3,42.24623,-84.7451,1967-01-01,1967,Post-Doctoral Teaching Residency Program,Institutes for College and University Teachers,Education Programs,5549.00,0.00,5549.00,0.00,5549.00,0.00,1967-08-01,1968-07-31,None,None,"Interdisciplinary Studies, General",0,NULL,1,Jack Padgett [Project Director],1,"Interdisciplinary Studies, General"
EH-10017-67,1,Bryn Mawr College,Four-Year College,Bryn Mawr,PA,19010-2899,USA,5,40.02166,-75.32213,1967-05-01,1967,Post-Doctoral Teaching Residency Program,Institutes for College and University Teachers,Education Programs,4430.00,0.00,4430.00,0.00,4430.00,0.00,1967-08-01,1968-07-31,None,None,"Interdisciplinary Studies, General",0,NULL,1,Milton Nahm [Project Director],1,"Interdisciplinary Studies, General"
EH-10019-67,1,Bucknell University,Four-Year College,Lewisburg,PA,17837-2005,USA,12,40.95473,-76.88991,1967-05-01,1967,Post-Doctoral Teaching Residency Program,Institutes for College and University Teachers,Education Programs,4540.00,0.00,4540.00,0.00,4540.00,0.00,1967-08-01,1968-07-31,None,None,"Interdisciplinary Studies, General",0,NULL,1,Harry Garvin [Project Director],1,"Interdisciplinary Studies, General"
EH-10021-67,1,Denison University,Four-Year College,Granville,OH,43023-1533,USA,12,40.06736,-82.52024,1967-05-01,1967,Post-Doctoral Teaching Residency Program,Institutes for College and University Teachers,Education Programs,5250.00,0.00,5250.00,0.00,5250.00,0.00,1967-08-01,1968-07-31,None,None,"Interdisciplinary Studies, General",0,NULL,1,William Preston [Project Director],1,"Interdisciplinary Studies, General"
EH-10023-67,1,Lafayette College,Four-Year College,Easton,PA,18042-7625,USA,7,40.70105,-75.20238,1967-05-01,1967,Post-Doctoral Teaching Residency,Institutes for College and University Teachers,Education Programs,5070.00,0.00,5070.00,0.00,5070.00,0.00,1966-08-01,1967-07-31,None,None,"Interdisciplinary Studies, General",0,NULL,1,Robert Kelson [Project Director],1,"Interdisciplinary Studies, General"
EH-10027-67,1,Rhodes College,Four-Year College,Memphis,TN,38112-1624,USA,9,35.15272,-89.99265,1967-05-01,1967,Post-Doctoral Teaching Residency Program,Institutes for College and University Teachers,Education Programs,5630.00,0.00,5630.00,0.00,5630.00,0.00,1967-07-01,1968-06-30,None,None,"Interdisciplinary Studies, General",0,NULL,1,John. Benish [Project Director],1,"Interdisciplinary Studies, General"
EH-10029-67,1,"California State University, Fresno Foundation",Four-Year College,Fresno,CA,93740-0001,USA,22,36.74637,-119.63965,1967-05-01,1967,Post-Doctoral Teaching Residency Program,Institutes for College and University Teachers,Education Programs,6560.00,0.00,6560.00,0.00,6560.00,0.00,1967-07-01,1968-06-30,None,None,"Interdisciplinary Studies, General",0,NULL,1,Philip Walker [Project Director],1,"Interdisciplinary Studies, General"
EH-10031-67,1,University of Georgia,University,Athens,GA,30602-0001,USA,10,33.95023,-83.37298,1967-01-01,1967,Support of a Travel-Study Institute in the Art and Culture of Latin America,Institutes for College and University Teachers,Education Programs,22100.00,0.00,22100.00,0.00,22100.00,0.00,1967-02-01,1967-07-31,None,None,"Interdisciplinary Studies, General",0,NULL,1,Lester Walker [Project Director],1,"Interdisciplinary Studies, General"
EH-10033-67,1,Aquinas College,Four-Year College,Grand Rapids,MI,49506-1801,USA,3,42.95836,-85.62413,1967-01-01,1967,Humanities Workshop in Literature and the Arts,Institutes for College and University Teachers,Education Programs,8970.00,0.00,8970.00,0.00,8970.00,0.00,1966-01-01,1967-01-31,None,None,"Interdisciplinary Studies, General",0,NULL,1,Gertrude Horgan [Project Director],1,"Interdisciplinary Studies, General"
EH-10035-67,1,University of Louisville,University,Louisville,KY,40292-0001,USA,3,38.21938,-85.76223,1967-05-01,1967,Summer Humanities Institute Program,Institutes for College and University Teachers,Education Programs,30000.00,0.00,30000.00,0.00,30000.00,0.00,1967-05-01,1967-09-30,None,None,"Interdisciplinary Studies, General",0,NULL,1,John Dillion [Project Director],1,"Interdisciplinary Studies, General"
EH-10038-68,1,Central States Colleges Association,Unknown,Evanston,IL,Unknown,USA,0,Unknown,unknown,1967-11-01,1967,Visiting Scholars Program,Institutes for College and University Teachers,Education Programs,7800.00,0.00,7800.00,0.00,7800.00,0.00,1967-11-01,1968-06-30,None,None,"Interdisciplinary Studies, General",0,NULL,1,Pressley McCoy [Project Director],1,"Interdisciplinary Studies, General"
EH-10040-68,1,Denison University,Four-Year College,Granville,OH,43023-1533,USA,12,40.06736,-82.52024,1968-02-01,1968,Teacher Residency Program,Institutes for College and University Teachers,Education Programs,4550.00,0.00,4550.00,0.00,4550.00,0.00,1968-08-01,1969-07-31,None,None,"History, General",0,NULL,1,Morton Stratton [Project Director],1,"History, General"
EH-10042-68,1,Occidental College,Four-Year College,Los Angeles,CA,90041-3314,USA,34,34.12734,-118.21449,1968-02-01,1968,Teacher Residency Program,Institutes for College and University Teachers,Education Programs,3150.00,0.00,3150.00,0.00,3150.00,0.00,1968-08-01,1969-07-31,None,None,"Arts, General",0,NULL,1,Robert Gross [Project Director],1,"Arts, General"
EH-10044-68,1,"California State University, Fresno Foundation",Four-Year College,Fresno,CA,93740-0001,USA,22,36.74637,-119.63965,1968-02-01,1968,Teacher Residency Program,Institutes for College and University Teachers,Education Programs,3678.00,0.00,3678.00,0.00,3678.00,0.00,1968-08-01,1969-07-31,None,None,"Arts, General",0,NULL,1,Philip Walker [Project Director],1,"Arts, General"
EH-10046-68,1,Bryn Mawr College,Four-Year College,Bryn Mawr,PA,19010-2899,USA,5,40.02166,-75.32213,1968-02-01,1968,Teacher Residency Program,Institutes for College and University Teachers,Education Programs,3030.00,0.00,3030.00,0.00,3030.00,0.00,1968-08-01,1969-07-31,None,None,"Philosophy, General",0,NULL,1,Milton Nahm [Project Director],1,"Philosophy, General"
EH-10050-68,1,Antioch College,Four-Year College,Yellow Springs,OH,45387-1607,USA,10,39.80093,-83.88977,1968-02-01,1968,Teaching Residency Program,Institutes for College and University Teachers,Education Programs,4410.00,0.00,4410.00,0.00,4410.00,0.00,1968-07-01,1969-07-31,None,None,"Literature, General",0,NULL,1,Morris Keeton [Project Director],1,"Literature, General"
EH-10054-68,1,Antioch College,Four-Year College,Yellow Springs,OH,45387-1607,USA,10,39.80093,-83.88977,1968-02-01,1968,Conference of Humanities Interns and Master Teachers,Institutes for College and University Teachers,Education Programs,4477.00,0.00,4477.00,0.00,4477.00,0.00,1968-04-01,1968-06-30,None,None,"Interdisciplinary Studies, General",0,NULL,1,Morris Keeton [Project Director],1,"Interdisciplinary Studies, General"
EH-10058-66,1,American Society of Papyrologists,Professional Association,New York,NY,10027,USA,3,Unknown,unknown,1966-03-01,1966,Summer institute in papyrology to be conducted at Yale University.,Institutes for College and University Teachers,Education Programs,14000.00,0.00,14000.00,0.00,14000.00,0.00,1966-06-01,1966-09-30,A six-week summer training institute for papyrologists.,None,Ancient Literature,0,NULL,1,C. Welles [Project Director],2,Ancient Languages; Ancient Literature
EH-10262-68,1,Bucknell University,Four-Year College,Lewisburg,PA,17837-2005,USA,12,40.95473,-76.88991,1967-11-01,1967,Teacher Residency Program,Institutes for College and University Teachers,Education Programs,8050.00,0.00,8050.00,0.00,8050.00,0.00,1968-07-01,1969-07-31,None,None,"Interdisciplinary Studies, General",0,NULL,1,Harry Garvin [Project Director],1,"Interdisciplinary Studies, General"
EH-10270-69,1,University of Virginia,University,Charlottesville,VA,22903-4833,USA,5,38.05024,-78.50088,1969-05-01,1969,Center for Textual and Editorial Studies in Humanistic Sources,Institutes for College and University Teachers,Education Programs,87400.00,116350.00,87400.00,116350.00,203750.00,0.00,1969-07-01,1974-06-30,None,None,"Interdisciplinary Studies, General",0,NULL,1,George Reese [Project Director],1,"Interdisciplinary Studies, General"
EH-10400-67,1,Antioch College,Four-Year College,Yellow Springs,OH,45387-1607,USA,10,39.80093,-83.88977,1967-01-01,1967,Post-Doctoral Teaching Residency Program,Institutes for College and University Teachers,Education Programs,4836.00,0.00,4836.00,0.00,4836.00,0.00,1967-08-01,1968-07-31,None,None,"Interdisciplinary Studies, General",0,NULL,1,George Geiger [Project Director],1,"Interdisciplinary Studies, General"
EO-10001-67,1,Dover Special School District,Unknown,Dover,DE,Unknown,USA,1,Unknown,unknown,1967-01-01,1967,Planning for Improvement of the Humanities Curriculum in Public Schools,Institutional Planning and Development,Education Programs,6500.00,0.00,6500.00,0.00,6500.00,0.00,1967-02-01,1967-09-30,None,None,"Interdisciplinary Studies, General",0,NULL,1,Duston Wilson [Project Director],1,"Interdisciplinary Studies, General"
EO-10007-67,1,Great Lakes Colleges Association,Educational Consortium,Ann Arbor,MI,48103-3842,USA,12,42.27921,-83.77813,1967-01-01,1967,"To Support Planning a Network to Enrich Humanities Scholarship, Research & Teaching",Institutional Planning and Development,Education Programs,13500.00,0.00,13500.00,0.00,13500.00,0.00,1967-02-01,1968-06-30,None,None,"Interdisciplinary Studies, General",0,NULL,1,Conrad Hilberry [Project Director],1,"Interdisciplinary Studies, General"
EO-10009-68,1,Miles College,Four-Year College,Fairfield,AL,35064-2621,USA,7,33.48083,-86.90826,1968-05-01,1968,Summer Institutes on the Teaching of Humanities,Institutional Planning and Development,Education Programs,18470.00,0.00,18470.00,0.00,18470.00,0.00,1968-06-01,1969-05-31,None,None,"Interdisciplinary Studies, General",0,NULL,1,Doris Havice [Project Director],1,"Interdisciplinary Studies, General"
EO-10011-68,1,Eckerd College,Four-Year College,St. Petersburg,FL,33711-4700,USA,13,27.72158,-82.68561,1968-02-01,1968,Humanities Core Curriculum,Institutional Planning and Development,Education Programs,20000.00,0.00,20000.00,0.00,20000.00,0.00,1968-04-01,1968-08-31,"To establish the second Institute, which encourages interdisciplinary study and teaching. Senior and junior fellows throughout the country each devote a full year to intensive study, discussion, and curriculum materials development and testing. Upon return to their home institutions, they incorporate new interdisciplinary courses into their curriculum. Over a four year period, the Institute will enable 60 American instructors from two and four year colleges and universities throughout the country to participate. The theme, ""Technology and the Humanities,"" will include such subjects as bureaucracy, myths, mass media, advertising and their implications for humanistic education",None,"Interdisciplinary Studies, General",0,NULL,1,William Kadel [Project Director],1,"Interdisciplinary Studies, General"
EO-10025-67,1,"SUNY Research Foundation, College at Brockport",Four-Year College,Brockport,NY,14420-2997,USA,25,43.2096,-77.96121,1967-05-01,1967,Participation by distinguished practitioners in conference of the Int'l Philosophy Year Project,Institutional Planning and Development,Education Programs,9900.00,0.00,9900.00,0.00,9900.00,0.00,1967-07-01,1968-06-30,To present a two-quarter undergraduate course to American history using architecture as primary artifactual evidence and based on the premise that national history can best be taught through regional emphasis in architecture.,None,"Philosophy, General",0,NULL,1,Howard Kiefer [Project Director],1,"Philosophy, General"
EO-10031-67,1,Great Lakes Colleges Association,Educational Consortium,Ann Arbor,MI,48103-3842,USA,12,42.27921,-83.77813,1967-05-01,1967,Support of collaborative programs to enrich humanities scholarship and teaching,Institutional Planning and Development,Education Programs,34000.00,0.00,34000.00,0.00,34000.00,0.00,1967-10-01,1969-06-30,None,None,"Interdisciplinary Studies, General",0,NULL,1,Conrad Hilberry [Project Director],1,"Interdisciplinary Studies, General"
EO-10041-68,1,Albion College,Four-Year College,Albion,MI,49224-1887,USA,3,42.24623,-84.7451,1968-02-01,1968,Teacher Residency Program,Institutional Planning and Development,Education Programs,3180.00,0.00,3180.00,0.00,3180.00,0.00,1968-08-01,1969-07-31,None,None,"Philosophy, General",0,NULL,1,Jack Padgett [Project Director],1,"Philosophy, General"
EO-10045-68,1,South Dakota State University,Four-Year College,Brookings,SD,57007-0001,USA,1,44.29766,-96.76821,1968-02-01,1968,Planning for an integrated summer humanities program,Institutional Planning and Development,Education Programs,6100.00,0.00,6100.00,0.00,6100.00,0.00,1968-04-01,1969-06-30,To support two conferences: the first to explore the possibility of teaching humanities within the framework of education in medicine; the second to recommend ways in which actual teaching problems could be put in operation in medical centers.,None,"Interdisciplinary Studies, General",0,NULL,1,Lawrence Stine [Project Director],1,"Interdisciplinary Studies, General"
EO-10047-68,1,Mount Angel Seminary,Four-Year College,St. Benedict,OR,97373-9700,USA,5,45.05698,-122.77176,1967-11-01,1967,Adult Enrichment Project,Institutional Planning and Development,Education Programs,10000.00,0.00,10000.00,0.00,10000.00,0.00,1968-05-01,1969-07-31,"To offer two interdisciplinary social science courses, one for freshmen, one for seniors, which aim to enlighten the nature of social science by seeing it in the context of its own history and by seeing this history in the context of the development of modernity over the last two hundred years.",None,"Interdisciplinary Studies, General",0,NULL,1,John Lippert [Project Director],1,"Interdisciplinary Studies, General"
EO-10049-68,1,DePauw University,Four-Year College,Greencastle,IN,46135-1736,USA,4,39.64114,-86.86057,1968-05-01,1968,A Study of African Art and the Preparation of a syllabus in this field,Institutional Planning and Development,Education Programs,3692.00,0.00,3692.00,0.00,3692.00,0.00,1968-09-01,1969-08-31,"To support two courses: l) an inquiry into the kind of weight that may be assigned to individuals in the historical process, and into the art of historical portraiture, and 2) an exploration of the role in America from the 1920's to the present of the interpreter of literature and the arts who is also a critic of society and politics. Issues posed by Edmund Wilson's writing will provide the foci of the two courses.",None,Art History and Criticism,0,NULL,1,A. Winsey [Project Director],1,Art History and Criticism
EO-10051-68,1,Unknown,Unknown,University Park,PA,Unknown,USA,0,Unknown,unknown,1968-05-01,1968,The Role of the Humanities in the Rehabilitation of Young Criminal Offenders,Institutional Planning and Development,Education Programs,39655.00,0.00,39655.00,0.00,39655.00,0.00,1968-07-01,1969-06-30,"To implement 2 interdisciplinary, team-taught courses: ""Perspectives on the American Dream, Philosophical, Literary, Religious and Historical""and ""Perspectives on the 20th century: The Holocaust"". The former examines ideals such as equality, liberty, and happiness. The latter examines the precedents, realities, and aftermath of genocide.",None,"Interdisciplinary Studies, General",0,NULL,0,NULL,1,"Interdisciplinary Studies, General"
