Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number
03/20/2020,HYUN,4D,,SIL,208V939,IL,10300 S. Doty,(773) 568-8495,2899388
02/17/2020,CHRY,4D,,BLK,Q224420,IL,701 N. Sacramento,(773) 265-7605,6983184
02/29/2020,JEEP,LL,,BLK,,IL,10300 S. Doty,(773) 568-8495,486696
03/05/2020,INFI,4D,,GRY,BR85653,IL,701 N. Sacramento,(773) 265-1846,1540009
02/23/2020,FORD,PK,,RED,,,701 N. Sacramento,(773) 265-7605,6983872
04/01/2020,DODG,VN,,BLU,,IL,701 N. Sacramento,(773) 265-7605,6986386
04/09/2020,DODG,VN,,SIL,BW19748,IL,701 N. Sacramento,(773) 265-7605,6986495
03/13/2020,CHEV,4D,,ONG,,IL,10300 S. Doty,(773) 568-8495,2898980
03/27/2020,CHRY,VN,,,Q335924,IL,701 N. Sacramento,(773) 265-7605,6986311
04/15/2020,MAZD,LL,,SIL,BA39038,IL,701 N. Sacramento,(773) 265-7605,6986618
04/15/2020,BMW,LL,,BLK,746U487,IL,701 N. Sacramento,(773) 265-7605,6986619
05/03/2020,OLDS,4D,,GRY,BZ30562,IL,10300 S. Doty,(773) 568-8495,2900080
04/01/2020,PONT,4D,,GRY,BH12713,IL,10300 S. Doty,(773) 568-8495,2899595
04/21/2020,MINI,HB,,GRN,AJ95616,IL,701 N. Sacramento,(773) 265-7605,6986749
04/28/2020,NISS,4D,,BLK,,IL,701 N. Sacramento,(773) 265-1846,1540156
04/25/2020,CHEV,LL,,WHI,,IL,10300 S. Doty,(773) 568-8495,2899938
04/09/2020,BMW,4D,,WHI,AR30078,IL,10300 S. Doty,(773) 568-8495,6986496
05/07/2020,GMC,LL,,RED,BY25194,IL,701 N. Sacramento,(773) 265-7605,6987130
02/22/2020,CADI,4D,,BLK,ZX64961,IL,701 N. Sacramento,(773) 265-7605,6983571
05/03/2020,CHEV,4D,,SIL,ZE2U9S,MO,701 N. Sacramento,(773) 265-7605,6987004
02/20/2020,NISS,PK,,BLU,476MFM,KS,10300 S. Doty,(773) 568-8495,2897221
03/15/2020,FORD,4D,,BLU,BB92410,IL,10300 S. Doty,(773) 568-8495,2899182
03/17/2020,INFI,LL,,GRY,,IL,10300 S. Doty,(773) 568-8495,2899305
02/11/2020,NISS,4D,,SIL,,IL,701 N. Sacramento,(773) 265-7605,6981615
03/15/2020,MERZ,4D,,SIL,WH8618A,WI,10300 S. Doty,(773) 568-8495,2899186
03/05/2020,FORD,LL,,WHI,821301,IL,701 N. Sacramento,(773) 265-7605,6984867
03/21/2020,BUIC,4D,,MAR,BY60813,IL,701 N. Sacramento,(773) 265-7605,6986201
02/26/2020,NISS,4D,,BLK,AS32787,IL,10300 S. Doty,(773) 568-8495,2897670
02/27/2020,HOND,VN,,GRY,328627,IL,701 N. Sacramento,(773) 265-7605,6984151
02/27/2020,CHEV,2D,,WHI,ZZ33246,IL,701 N. Sacramento,(773) 265-7605,6984150
02/27/2020,OTTE,HH,,RED,,IL,10300 S. Doty,(773) 785-9752,1719997
02/13/2020,CHEV,VN,,WHI,,IL,10300 S. Doty,(773) 785-9752,1719977
02/27/2020,PONT,4D,,BLU,,IL,10300 S. Doty,(773) 568-8495,2897741
03/11/2020,CHEV,LL,,RED,ZX29722,IL,10300 S. Doty,(773) 568-8495,2898769
03/11/2020,CHEV,2D,,BLK,,,10300 S. Doty,(773) 568-8495,2898770
03/04/2020,JEEP,LL,,BLU,AG46272,IL,701 N. Sacramento,(773) 265-7605,6984686
04/01/2020,CHEV,4D,,SIL,,IL,10300 S. Doty,(773) 568-8495,2899596
02/27/2020,BUIC,4D,,BLU,BN74867,IL,10300 S. Doty,(773) 568-8495,2897743
02/27/2020,VOLV,SW,,BLK,00243430,IL,10300 S. Doty,(773) 568-8495,2897726
04/22/2020,INFI,4D,,GLD,,IL,701 N. Sacramento,(773) 265-7605,6986763
03/21/2020,CHEV,2D,,WHI,BH18311,IL,701 N. Sacramento,(773) 265-7605,6986205
02/27/2020,OTTE,HH,,BLK,489039,IN,10300 S. Doty,(773) 785-9752,1719998
05/03/2020,AUDI,4T,,DBL,,IL,701 N. Sacramento,(773) 265-7605,6987005
04/01/2020,TOYT,VN,,GLD,K204899,IL,10300 S. Doty,(773) 785-9752,1720069
03/15/2020,DODG,VN,,SIL,L929657,IL,10300 S. Doty,(773) 568-8495,2899188
02/22/2020,HYUN,4D,,SIL,BF76090,IL,10300 S. Doty,(773) 568-8495,2897324
02/13/2020,NISS,4D,,GRY,BR96885,IL,701 N. Sacramento,(773) 265-7605,6982717
02/15/2020,NISS,4D,,BLK,BN29272,IL,10300 S. Doty,(773) 568-8495,2896830
04/15/2020,DODG,PK,,DBL,2454053B,IL,701 N. Sacramento,(773) 265-7605,6986620
03/21/2020,CADI,4D,,BLK,BR75577,IL,701 N. Sacramento,(773) 265-7605,6986204
03/17/2020,NISS,4D,,GRY,3R88W1,TN,701 N. Sacramento,(773) 265-7605,6986089
02/15/2020,CHEV,4D,,BLK,BP33923,IL,10300 S. Doty,(773) 568-8495,2896887
04/22/2020,TOYT,4D,,GRN,S153768,IL,701 N. Sacramento,(773) 265-7605,6986762
04/09/2020,BUIC,4T,,GLD,AF24127,IL,10300 S. Doty,(773) 568-8495,2899708
04/15/2020,TOYT,2D,,RED,182VAS,IN,701 N. Sacramento,(773) 265-7605,6986621
03/27/2020,ZCZY,4D,,GRY,,IL,10300 S. Doty,(773) 785-9752,1720060
04/15/2020,FORD,4D,,GRN,338JZB,MN,701 N. Sacramento,(773) 265-7605,6986622
04/15/2020,INFI,4D,,BLK,CA86086,IL,10300 S. Doty,(773) 568-8495,2899792
03/17/2020,CHEV,4D,,SIL,,IL,10300 S. Doty,(773) 568-8495,2899309
04/22/2020,INFI,LL,,BLK,,IL,701 N. Sacramento,(773) 265-7605,6986764
03/07/2020,LINC,4D,,RED,BQ15551,IL,701 N. Sacramento,(773) 265-7605,6985037
03/04/2020,NISS,LL,,BLU,BN42355,IL,701 N. Sacramento,(773) 265-7605,6984691
05/07/2020,FORD,4D,,RED,BZ29678,IL,10300 S. Doty,(773) 568-8495,2900194
03/17/2020,NISS,4D,,GRY,,IL,701 N. Sacramento,(773) 265-7605,6986126
03/27/2020,FORD,4D,,GLD,,IL,10300 S. Doty,(773) 785-9752,1720061
04/28/2020,CHEV,LL,,BLK,BA25514,IL,701 N. Sacramento,(773) 265-1846,1540159
02/29/2020,CADI,4D,,TAN,BB25427,IL,701 N. Sacramento,(773) 265-7605,6984363
03/11/2020,KIA,4D,,WHI,Z163351,IL,701 N. Sacramento,(773) 265-1846,1540041
04/22/2020,NISS,VN,,SIL,E538746,IL,10300 S. Doty,(773) 568-8495,2899890
03/21/2020,JEEP,LL,,WHI,6A700FF,IL,701 N. Sacramento,(773) 265-7605,6986206
03/05/2020,FORD,LL,,GRY,BE36231,IL,701 N. Sacramento,(773) 265-7605,6984873
05/03/2020,CHRY,4D,,BLK,BZ47283,IL,10300 S. Doty,(773) 568-8495,2900079
04/28/2020,CHEV,2D,,YEL,AJ82026,IL,701 N. Sacramento,(773) 265-7605,6986896
04/28/2020,CHEV,4D,,GLD,LO98487,IN,701 N. Sacramento,(773) 265-1846,1540158
03/17/2020,DODG,4D,,GRY,2518598,IL,10300 S. Doty,(773) 568-8495,2899310
04/28/2020,FORD,VN,,WHI,Q175073,IL,10300 S. Doty,(773) 785-9752,1720119
04/22/2020,OLDS,VN,,TAN,259V325,IL,701 N. Sacramento,(773) 265-7605,6986766
03/27/2020,HOND,2D,,BLU,AJ65756,IL,701 N. Sacramento,(773) 265-7605,6986317
03/18/2020,JEEP,4D,,MAR,BR80461,IL,701 N. Sacramento,(773) 265-7605,6986129
02/20/2020,VOLV,4D,,GRY,AR50300,IL,701 N. Sacramento,(773) 265-7605,6983345
03/18/2020,CHEV,LL,,BLU,X656894,IL,10300 S. Doty,(773) 568-8495,2899311
04/28/2020,DODG,VN,,RED,BZ27544,IL,10300 S. Doty,(773) 568-8495,2899997
03/27/2020,MITS,2D,,TRQ,BU71526,IL,10300 S. Doty,(773) 568-8495,2899511
04/22/2020,LAND,LL,,BLK,BGM710,TX,701 N. Sacramento,(773) 265-7605,6986767
04/22/2020,LINC,LL,,RED,,IL,701 N. Sacramento,(773) 265-7605,6986769
02/13/2020,NISS,LL,,MAR,,IL,10300 S. Doty,(773) 568-8495,2896689
03/21/2020,NISS,4D,,RED,BW18465,IL,10300 S. Doty,(773) 568-8495,2899396
04/09/2020,HOND,4D,,BLU,AM97412,IL,701 N. Sacramento,(773) 265-1846,1540123
03/21/2020,PONT,4D,,BLK,135V046,IL,701 N. Sacramento,(773) 265-7605,6986209
03/16/2020,NISS,LL,,GRN,ZY30988,IL,10300 S. Doty,(773) 568-8495,2899272
03/21/2020,HYUN,LL,,SIL,R748115,IL,701 N. Sacramento,(773) 265-7605,6986210
02/29/2020,BUIC,LL,,SIL,AN79322,IL,701 N. Sacramento,(773) 265-7605,6984365
05/03/2020,PONT,4D,,TAN,156V876,IL,10300 S. Doty,(773) 568-8495,2900083
02/29/2020,GLAS,CE,,TAN,IL7128FH,IL,701 N. Sacramento,(773) 265-7605,6984379
04/01/2020,FORD,4D,,BLU,K499659,IL,701 N. Sacramento,(773) 265-7605,6986392
04/09/2020,LINC,4D,,TAN,Z997504,IL,10300 S. Doty,(773) 785-9752,1720088
03/21/2020,PONT,4D,,SIL,154V996,IL,10300 S. Doty,(773) 568-8495,2899397
03/21/2020,CHEV,2D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2899398
03/15/2020,CHRY,4D,,RED,BH62908,IL,701 N. Sacramento,(773) 265-7605,6985963
03/27/2020,HOND,4D,,SIL,,IL,10300 S. Doty,(773) 568-8495,2899512
05/07/2020,CHEV,PK,,BLU,1796152B,IL,10300 S. Doty,(773) 568-8495,2900195
04/09/2020,OTTE,LL,,GRY,,IL,10300 S. Doty,(773) 568-8495,2899711
03/13/2020,FORD,2D,,BLK,2417979B,IL,10300 S. Doty,(773) 568-8495,2898984
02/29/2020,SAA,4D,,GRY,BL34792,IL,701 N. Sacramento,(773) 265-7605,6984364
05/07/2020,FORD,PK,,RED,2607224B,IL,10300 S. Doty,(773) 568-8495,2900196
02/27/2020,AUDI,4D,,SIL,AX95742,IL,701 N. Sacramento,(773) 265-1846,1539986
04/09/2020,HYUN,4D,,GRY,BD31818,IL,10300 S. Doty,(773) 568-8495,2899713
04/09/2020,HYUN,LL,,SIL,S10UXXY,IL,701 N. Sacramento,(773) 265-7605,6986504
02/29/2020,NISS,LL,,RED,,IL,10300 S. Doty,(773) 568-8495,2897922
02/29/2020,PONT,4D,,BLK,,IL,701 N. Sacramento,(773) 265-7605,6984366
02/27/2020,ACUR,4D,,BLK,BB26255,IL,10300 S. Doty,(773) 568-8495,2897745
04/16/2020,INFI,4D,,TAN,CA68754,IL,701 N. Sacramento,(773) 265-7605,6986627
04/16/2020,CHEV,LL,,GRN,AF44081,IL,10300 S. Doty,(773) 568-8495,2899796
04/16/2020,HOND,4D,,BLK,BY72019,IL,701 N. Sacramento,(773) 265-7605,6986623
03/21/2020,NISS,4D,,GRN,BB24149,IL,10300 S. Doty,(773) 568-8495,2899399
02/29/2020,NISS,4D,,BLK,BU46667,IL,10300 S. Doty,(773) 568-8495,2897925
02/25/2020,DODG,VN,,BLK,AF19693,IL,10300 S. Doty,(773) 568-8495,2897538
03/13/2020,FORD,LL,,WHI,BU84702,IL,701 N. Sacramento,(773) 265-7605,6985692
02/11/2020,BUIC,4D,,GLD,,IL,10300 S. Doty,(773) 568-8495,2896497
02/22/2020,CHEV,4D,,WHI,BM36160,IL,10300 S. Doty,(773) 568-8495,2897326
02/13/2020,NISS,4D,,WHI,1X1674,SD,701 N. Sacramento,(773) 265-7605,6982773
03/17/2020,TOYO,4D,,RED,,IL,10300 S. Doty,(773) 568-8495,2899275
02/12/2020,BUIC,4D,,TAN,BN12047,IL,10300 S. Doty,(773) 568-8495,2896600
04/02/2020,PONT,SW,,MAR,BX90865,IL,701 N. Sacramento,(773) 265-7605,6986393
03/27/2020,CHEV,LL,TK,GLD,BR70175,IL,10300 S. Doty,(773) 568-8495,2899513
03/07/2020,PONT,4D,,BLK,118V857,IL,10300 S. Doty,(773) 568-8495,2898420
03/27/2020,DODG,VN,,MAR,BW14600,IL,701 N. Sacramento,(773) 265-7605,6986320
04/09/2020,TOYT,4D,,GRN,BN24848,IL,701 N. Sacramento,(773) 265-1846,1540124
05/03/2020,INFI,4T,,WHI,,IL,10300 S. Doty,(773) 568-8495,2900085
02/27/2020,CHEV,LL,,GRY,942U149,IL,10300 S. Doty,(773) 568-8495,2897748
04/28/2020,JEEP,4D,,MAR,S930947,IL,701 N. Sacramento,(773) 265-7605,6986901
04/28/2020,HOND,LL,TK,BRO,BZ61532,IL,701 N. Sacramento,(773) 265-7605,6986902
03/07/2020,GMC,LL,,MAR,BE22876,IL,701 N. Sacramento,(773) 265-7605,6985042
04/16/2020,CHRY,4D,,WHI,712U694,IL,701 N. Sacramento,(773) 265-7605,6986628
04/28/2020,HOND,2D,,SIL,,,701 N. Sacramento,(773) 265-7605,6986903
03/21/2020,MITS,2D,,WHI,226V565,IL,701 N. Sacramento,(773) 265-7605,6986213
03/07/2020,CHEV,4D,,GRY,BA36386,IL,701 N. Sacramento,(773) 265-7605,6985041
03/04/2020,JEEP,LL,,SIL,AX51430,IL,701 N. Sacramento,(773) 265-7605,6984689
04/02/2020,FORD,4T,,BLK,BW35991,IL,10300 S. Doty,(773) 568-8495,2899604
03/21/2020,DODG,VN,,SIL,Z253447,IL,701 N. Sacramento,(773) 265-7605,6986214
03/13/2020,DODG,4D,,SIL,,IL,701 N. Sacramento,(773) 265-7605,6985695
05/07/2020,MERC,LL,,BLK,BZ26909,IL,10300 S. Doty,(773) 568-8495,2900197
05/03/2020,CHEV,4D,,COM,BW34913,IL,10300 S. Doty,(773) 568-8495,2900082
05/03/2020,CHEV,LL,,BLK,AZ49160,IL,10300 S. Doty,(773) 568-8495,2900087
04/28/2020,FORD,LL,,WHI,401659D,IL,10300 S. Doty,(773) 568-8495,2900000
04/28/2020,CHRY,VN,TK,SIL,68828S1,TX,10300 S. Doty,(773) 568-8495,2899999
02/27/2020,NISS,LL,,BLK,,IL,10300 S. Doty,(773) 568-8495,2897747
03/09/2020,NISS,4D,,RED,554MF,IN,10300 S. Doty,(773) 785-9752,1720016
03/07/2020,NISS,4D,,LBL,AX49622,IL,701 N. Sacramento,(773) 265-7605,6985046
02/29/2020,DODG,4D,,GRY,AV44877,IL,10300 S. Doty,(773) 568-8495,2897924
02/13/2020,FORD,VN,,YEL,12048LE,IL,701 N. Sacramento,(773) 265-7605,6982757
02/27/2020,NISS,LL,,BLK,BB75543,IL,701 N. Sacramento,(773) 265-7605,6984154
04/28/2020,FORD,VN,TK,WHI,,,10300 S. Doty,(773) 568-8495,2899998
05/07/2020,LEXS,LL,TK,BLK,DL3693AB,IL,10300 S. Doty,(773) 568-8495,2900198
03/09/2020,DODG,PK,TK,BLK,BF30134,IL,701 N. Sacramento,(773) 265-7605,6985371
03/04/2020,LINC,4D,,WHI,5284133,IL,701 N. Sacramento,(773) 265-1846,1539998
