PropNum,Prop ID,Boro,AMPSDistrict,Prop Name,Site Name,Prop Location,Site Location,Acres,Category,Sub-Category,Rated,Reason Not Rated,Council District,ZipCode,COMMUNITYBOARD,Jurisdiction,NYSAssembly,NYSSenate,USCongress,Precinct,ComfortStation,PermitDistrict,GISBoro,GIS Site Location
QZ1007,QZ1007,Q,01,GREENSTREET,,Queens Plaza 1,Queens Plaza 1,0.121,Greenstreet,Greenstreet,0,Pending,26,11101,401,DOT,37,12,12,114,0,,Q,Queens Plaza 1
X094,X094,X,05,WASHINGTON BRIDGE PARK,,"HARLEM R, W 174 ST, NYCRR, HAMILTON BRIDGE","Harlem R, W 174 St, Nycrr, Hamilton Bridge",7.156,Large Park,Large Park,1,Pending,16,"10452, 10453","204, 205",DPR,77,29,"15, 13",44,0,X-05,X,Harlem River bet. W 175 St and Alexander Hamilton Br
Q099,Q099-17,Q,15,FLUSHING MEADOWS PARK,,"GRAND CENTRAL PKWY, VAN WYCK EXWY","College Pt Blvd, Van Wyck Expwy, At Booth Memorial Ave",1.347,Small Park,Plgd Within Park,1,,20,11355,407,DPR,25,16,6,109,1,,Q,"College Pt Blvd, Van Wyck Expwy, At Booth Memorial Ave"
BT20,BT20,B,01,420 Kent,,420 Kent Ave,"Kent Ave., S9th St., S 7thSt., East River",0.484,Other,REDEC,1,,33,11249,301,Private,50,26,7,90,,,B,Kent Ave. bet. S 9  St. and S 8 St.
Q162G12,Q162G12,Q,14,PLAYGROUND,,BOARDWALK BET BEACH 42-43 STS,Boardwalk Bet Beach 42-43 Sts,0,Small Park,Neighborhood Plgd,0,NOTHING PRESENT EXCEPT BOARDWALK AND EMPTY LOTS USED FOR DUMPING. 4/02 -AT,31,11691,414,-,23,15,5,101,0,Q-14,Q,Rockaway Boardwalk bet. B. 43 St and B. 42 St.
MZ127,MZ127,M,03,GREENSTREET,,HOUSTON ST BET. BOWERY & CHRYSTIE ST,Houston St Bet. Bowery & Chrystie St,0.056,Greenstreet,Type 1,1,Pending,1,10002,103,DOT,"66, 65",26,"12, 7",5,0,,M,E. Houston St. Bet. 2nd Ave And Bowery
B261,B261,B,05,Sankofa Park,,"LIVONIA AVE, BARBEY ST & SCHENCK AVE",Barbey St & Livonia,0.847,Small Park,Neighborhood Plgd,1,,42,11207,305,DPR,60,19,8,75,1,B-05,B,Livonia Ave. between Barbey St. and Schenck Ave.
R160,R160,R,01,BLISSENBACH MARINA,,Richmond Terrace And Arthur Kill,Richmond Terrace And Arthur Kill,9.934,Neighborhood Park,Small Park,0,Pending,49,10310,501,DPR,61,23,11,120,0,R-01,R,"Richmond Ter. at Tompkins Ct., Kill Van Kull"
Q162G03,Q162G03,Q,14,PARK STRIP,,"BOARDWALK, BET BEACH 48-49 STS","Boardwalk, Bet Beach 48-49 Sts",0,Other,STRIP,0,Beach,31,11691,414,-,23,15,5,101,0,Q-14,Q,Rockaway Boardwalk bet. B. 49 St and B. 48 St.
MZ445,MZ445,M,02,GREENSTREET,,W Houston st btw Thompson St & West Broadway,W Houston St Btw Thompson St & West Broadway,0.035,Greenstreet,Type 1,1,Pending,1,10012,102,DOT,66,26,10,1,0,,M,W Houston st btw Thompson St & West Broadway
Q121,Q121,Q,12,LIBERTY PARK,,"106 AVE, 173 ST, LIBERTY AVE, 172 ST","106 Ave, 173 St, Liberty Ave, 172 St",7.683,Large Park,Large Park,1,,27,11433,412,DPR,29,14,5,103,0,Q-12,Q,Liberty Ave. bet. 172 St. and 173 St.
B169,B169-ZN04B,B,13,CONEY ISLAND BEACH & BOARDWALK,,CORBIN PL TO W 37 ST,W 6th St To W 10th St,14.052,Large Park,Beach Zone,1,,47,11224,313,DPR,46,23,8,2,0,,B,W 6th St To W 10th St
B577,B577,B,04,,,,,0.114,,,0,,34,11206,304,DPR,53,18,7,,,,B,Jefferson St. bet. Evergreen Ave. and Central Ave.
MZ447,MZ447,M,02,GREENSTREET,,W Houston st btw Wooster & Greene,W Houston St Btw Wooster & Greene,0.051,Greenstreet,Type 1,1,Pending,1,10012,102,DOT,66,26,10,1,0,,M,W Houston st btw Wooster & Greene
X104,X104-01,X,07,WILLIAMSBRIDGE OVAL,,"VAN CORTLANDT AVE E,BAINBRIDGE AVE,RESERVOIR OVAL","Reservoir Oval East, Holt Pl",1.61,Small Park,Plgd Within Park,0,"As of FY20, rated with large park.",11,10467,207,DPR,81,36,13,52,0,,X,"Reservoir Oval East, Holt Pl"
Q009,Q009,Q,07,Hermon A. MacNeil Park,,"POPPENHUSEN AVE, COLLEGE PL, 115 ST, EAST RIVER","Poppenhusen Ave, College Pl, 115 St, East River",28.87,Large Park,Large Park,0,Rated as separate zones,19,11356,407,DPR,27,11,14,109,0,Q-07,Q,Poppenhusen Ave. bet. 115 St. and College Pl.
MZ116,MZ116,M,03,GREENSTREET,,HOUSTON ST BET. LUDLOW ST & ORCHARD ST,Houston St Bet. Ludlow St & Orchard St,0.092,Greenstreet,Type 1,1,Pending,1,10002,103,DOT,65,26,12,9,0,,M,East Houston St Bet Orchard St And Ludlow st
BZ539,BZ539,B,02,No name,,Sands and Jay St,Sands And Jay St,0.326,Greenstreet,,0,,35,11201,302,DOT,57,25,8,84,0,,B,Sands and Jay St
Q162G13,Q162G13,Q,14,PLAYGROUND,,BOARDWALK BET BEACH 39-42 STS,Boardwalk Bet Beach 39-42 Sts,0,Small Park,Neighborhood Plgd,0,NOTHING PRESENT EXCEPT BOARDWALK AND EMPTY LOTS USED FOR DUMPING. 4/02 -AT,31,11691,414,-,23,15,5,101,0,Q-14,Q,Rockaway Boardwalk bet. B. 41 St and B. 39 St.
B520,B520,B,04,CONCERNED CITIZENS OF GROVE ST,,72-74 Grove St,72-74 Grove St,0.11,Small Park,Greenthumb,0,,34,11221,304,TPL,54,18,7,83,0,B-04,B,Grove St. between Bushwick Ave. and Evergreen Ave.
B166,B166-ZN01,B,10,Belt Parkway/Shore Parkway,,Belt Pkwy. bet. Verrazano Bridge and Cross Bay Blvd.,"The Narrows, Belt Pkwy, 4 Ave, Bay 8 St",16.307,Large Park,Large Park Zone,0,Pending,43,11209,310,DPR,Null,Null,Null,68,0,Null,B,"The Narrows, Belt Pkwy, 4 Ave, Bay 8 St"
B082,B082-ZN07,B,10,Shore Park and Parkway,,"4 Ave., Shore Rd., Belt Pkwy., Verrazano Bridge","The Narrows, Belt Pkwy, 4 Ave, Bay Ridge Ave",15.61,Large Park,Large Park Zone,0,Pending,43,11209,310,DPR,Null,Null,Null,68,0,Null,B,"The Narrows, Belt Pkwy, 4 Ave, Bay Ridge Ave"
Q162G02,Q162G02,Q,14,PARK STRIP,,BOARDWALK & BEACH 50 ST,Boardwalk & Beach 50 St,0,Other,STRIP,0,Beach,31,11691,414,-,23,15,5,101,0,Q-14,Q,Rockaway Boardwalk at B. 50 St.
X359,X359,X,07,Fordham Bedford Lot Busters,,Bainbridge Ave. at E. 193 St.,Bainbridge Ave. At E. 193 St.,0.138,,,0,,15,10458,207,TPL,78,33,13,52,0,X-07,X,Bainbridge Ave. at E. 193 St.
Q162G07,Q162G07,Q,14,PARK STRIP,,BOARDWALK BET BEACH 47 WAY & BEACH 46 ST,Boardwalk Bet Beach 47 Way & Beach 46 St,0,Other,STRIP,0,Beach,31,11691,414,-,23,15,5,101,0,Q-14,Q,Rockaway Boardwalk bet. B. 47 St and B. 46 Pl.
XT01,XT01,X,09,SHOREHAVEN,,East River bet. Bronx River Ave. at White Plains Rd. and Soundview Ave.,"East River, Bronx River Ave., White Plains Rd., Soundview Ave.",6.281,Other,REDEC,1,,18,10473,209,Private,85,34,15,43,0,,X,"East River bet.Bronx River Ave. at White Plains Rd., Soundview Ave. and Cornell Ave."
BS068,BS068,B,09,P.S. 375,,McKeever Pl. bet.ween Sullivan Pl. to Montgomery St.,Mckeever Pl. Bet.ween Sullivan Pl. To Montgomery St.,0.291,,,0,,35,11225,309,DOE,57,20,9,71,0,,B,McKeever Pl. bet.ween Sullivan Pl. to Montgomery St.
QS074,QS074,Q,09,PS 054 HILLSIDE,,,,0.098,,,0,,29,11418,409,DOE,27,14,5,102,,,Q,Hillside Ave. bet. 126 St. and 127 St.
XS026,XS026,X,12,P.S. 87,,Pitman Ave. bet.ween Grace Ave. and Edson Ave.,Pitman Ave. Between Grace Ave. And Edson Ave.,1.086,,,0,,12,10466,212,DOE,83,36,16,47,0,,X,Pitman Ave. bet.ween Grace Ave. and Edson Ave.
Q360B,Q360B,Q,02,PARK STRIP,,"54 RD, 54 AVE & QUEENS-MIDTOWN EXWY AT 43 ST","54 Rd, 54 Ave & Queens-midtown Exwy At 43 St",0,Other,STRIP,0,EXWY,30,11378,402,SDOT,37,12,12,108,0,Q-02,Q,Kosciuszko Br. bet. 54 Rd. and 54 Ave.
M335,M335,M,03,Clinton Community Garden (LES),,171 Stanton St. & Clinton St.,171 Stanton St. & Clinton St.,0.06,Small Park,Greenthumb,0,,1,10002,103,DPR,65,26,12,7,0,M-03,M,Stanton St. and Clinton St.
B166,B166-ZN02,B,11,Belt Parkway/Shore Parkway,,Belt Pkwy. bet. Verrazano Bridge and Cross Bay Blvd.,"The Narrows, Belt Pkwy, Bay 8 St, 21 Ave",10.809,Large Park,Large Park Zone,0,Pending,43,11214,311,DPR,Null,Null,Null,62,0,Null,B,"The Narrows, Belt Pkwy, Bay 8 St, 21 Ave"
B524,B524,B,08,PROPSPECT HEIGHTS COMMUNITY FARM,,252-256 St. Marks Ave,252-256 St. Marks Ave,0.207,Small Park,Greenthumb,0,,35,11238,308,TPL,57,20,9,77,0,B-08,B,St Marks Ave. between Underhill Ave. and Vanderbilt Ave.
M262,M262,M,02,PARK STRIPS,,"BLEECKER ST, W BROADWAY, MERCER ST","Bleecker St, W Broadway, Mercer St",0.461,Small Park,Sitting Area/Triangle/Mall,1,,1,10012,102,-,66,26,10,6,0,M-02,M,Bleecker St. bet. La Guardia Pl. and Mercer St.
RS013,RS013,R,03,I.S. 75,,455 HUGUENOT AVE,455 Huguenot Ave,1.372,Small Park,DOE Plgd,0,,51,10312,503,DOE,62,24,11,123,0,,R,Woodrow Rd. and Boulder St.
Q162G09,Q162G09,Q,14,PARK STRIP,,BOARDWALK BE BEACH 46 WAY & BEACH 46 ST,Boardwalk Bet Beach 46 Way & Beach 46 St,0,Other,STRIP,0,Beach,31,11691,414,-,23,15,5,101,0,Q-14,Q,Rockaway Boardwalk bet. B. 46 Way and B. 46 St.
M107,M107,M,11R,WARDS ISLAND,,EAST RIVER & HELL GATE,East River & Hell Gate,170.7,Large Park,Flagship Park,0,Rated as separate zones,8,10035,111,DPR,68,29,12,25,0,M-11R,M,East River and Hell Gate
Q162G01,Q162G01,Q,14,PARK STRIP,,"BOARDWALK, BET BEACH 51-52 ST","Boardwalk, Bet Beach 51-52 St",0,Other,STRIP,0,Beach,31,11691,414,-,23,15,5,101,0,Q-14,Q,Rockaway Boardwalk bet. B. 52 St and B. 51 St.
MS012,MS012,M,12,P.S. 132,,185 WADSWORTH AVE,185 Wadsworth Ave,0.109,Small Park,DOE Plgd,0,,10,10033,112,DOE,72,31,13,34,0,,M,Wadsworth Ave. bet.ween W. 183 St. and W. 182 St.
R101,R101,R,03,GENESEE PARK,,"DRUMGOOLE RD E, ANNADALE RD, GENESEE AVE","Drumgoole Rd E, Annadale Rd, Genesee Ave",3.464,Small Park,Undeveloped,1,,51,10312,503,DPR,62,24,11,123,0,R-03,R,"Drumgoole Rd. E., Annadale Rd., Genesee Ave."
Q162D01,Q162D01,Q,14,PARK STRIP,,BOARDWALK & BEACH 61 ST,Boardwalk & Beach 61 St,0,Other,STRIP,0,Beach,31,11692,414,-,31,15,5,100,0,Q-14,Q,Rockaway Boardwalk at B. 61 St.
Q162G11,Q162G11,Q,14,BEACH 44TH STREET PLAYGROUND,,BOARDWALK BET BEACH 43-44 STS,Boardwalk Bet Beach 43-44 Sts,0,Other,STRIP,0,Beach,31,11691,414,-,23,15,5,101,0,Q-14,Q,Rockaway Boardwalk bet. B. 44 St and B. 43 St.
BS084,BS084,B,17,P.S. 198,,E. 42 St. to Albany Ave. at Farragut Rd.,E. 42 St. To Albany Ave. At Farragut Rd.,0.839,,,0,,45,"11203, 11210",317,DOE,58,21,9,67,0,,B,E. 42 St. to Albany Ave. at Farragut Rd.
QT22,QT22,Q,14,,,,,,,,0,,31,11692,414,HPD,23,15,5,,,,Q,Edgemere Ave. bet. B. 56 Pl. and B. 44 St.
RS026,RS026,R,03,PS 42,,,,0.542,,Null,0,,51,10312,503,DOE,62,24,11,123,,Null,R,Genesee Ave. bet. Wainwright Ave. and Richmond Ave.
MZ15B,MZ15B,M,01,Millenium Park (East),,BEEKMAN ST. & BROADWAY & PARK ROW,Beekman St. & Broadway & Park Row (Millenium Park 2) East,0.081,Greenstreet,Type 1,1,,1,10007,101,DOT,66,26,10,1,0,,M,Park Row And Broadway At Barclay St (1)
QS005,QS005,Q,05,P.S. 58,,72-24 GRAND AVE,72-24 Grand Ave,0.832,Small Park,DOE Plgd,0,,30,11378,405,DOE,30,15,6,104,0,,Q,Grand Ave. at 73 St.
MS005,MS005,M,10,P.S. 208,,21 WEST 111TH STREET,21 West 111th Street,0.87,Small Park,DOE Plgd,0,,9,10026,110,DOE,68,30,13,28,0,,M,W. 111 St. bet.ween 5 Ave. and Lenox Ave.
QS068,QS068,Q,05,P.S. 75 ROBERT E. PEARY,,,,0.294,,,0,,34,11385,405,DOE,38,12,7,104,,,Q,Weirfield St. bet. Cypress Ave. and Wyckoff Ave.
BS074,BS074,B,11,P.S. 204,,"81 St., 82 St., 15 Ave., 16 Ave.","81 St., 82 St., 15 Ave., 16 Ave.",0.541,Schoolyard,,0,,43,11228,311,DOE,47,22,10,62,0,,B,"81 St., 82 St., 15 Ave., 16 Ave."
Q162G05,Q162G05,Q,14,PARK STRIP,,"BOARDWALK BET BEACH, 48 WAY & BEACH 47 ST","Boardwalk Bet Beach, 48 Way & Beach 47 St",0,Other,STRIP,0,Beach,31,11691,414,-,23,15,5,101,0,Q-14,Q,Rockaway Boardwalk bet. B. 48 Way and B. 47 St.
QS044,QS044,Q,10,P.S. 121,,"126 St., 127 St., Hawtree Creek Rd., 109 Ave.","126 St., 127 St., Hawtree Creek Rd., 109 Ave.",0.824,,,0,,28,11420,410,DOE,31,10,5,106,0,,Q,"126 St., 127 St., Hawtree Creek Rd., 109 Ave."
XS014,XS014,X,04,P.S. 64,,Townsend Ave. bet.ween E. 171 St. and E. 170 St.,Townsend Ave. Bet.ween E. 171 St. And E. 170 St.,0.727,,,0,,14,10452,204,DOE,77,29,15,44,0,,X,Townsend Ave. bet.ween E. 171 St. and E. 170 St.
BS022,BS022,B,18,P.S. 115,,1500 EAST 92ND ST,1500 East 92nd St,0.124,Small Park,DOE Plgd,0,,46,11236,318,DOE,59,19,8,69,0,,B,E. 91 St. bet.ween Ave. L and Ave. M
XS023,XS023,X,12,P.S. 103,,"Bronx Blvd., E. 229 St. and Carpenter Ave.","Bronx Blvd., E. 229 St. And Carpenter Ave.",0.633,,,0,,12,10466,212,DOE,81,36,16,47,0,,X,"Bronx Blvd., E. 229 St. and Carpenter Ave."
BS087,BS087,B,08,PS 9,,,,0.963,,Null,0,,35,11238,308,DOE,57,25,9,77,,Null,B,St. Mark's Ave. bet. Vanderbilt Ave. and Underhill Ave.
XS013,XS013,X,06,I.S. 45,,E. Fordham Rd. and Hoffman St.,E. Fordham Rd. And Hoffman St.,1.535,,,0,,15,10458,206,DOE,78,33,15,48,0,,X,"E 189 St., E. 188 St. bet. Bathgate Ave. and Lorillard Pl."
Q162G14,Q162G14,Q,14,PARK STRIP,,BOARDWALK BET BEACH 38-39 STS,Boardwalk Bet Beach 38-39 Sts,0,Other,STRIP,0,Beach,31,11691,414,-,23,15,5,101,0,Q-14,Q,Rockaway Boardwalk bet. B. 39 St and B. 38 St.
Q162G08,Q162G08,Q,14,PARK STRIP,,BOARDWALK BE BEACH 46 ST & BEACH 46 WAY,Boardwalk Bet Beach 46 St & Beach 46 Way,0,Other,STRIP,0,Beach,31,11691,414,-,23,15,5,101,0,Q-14,Q,Rockaway Boardwalk bet. B. 46 Pl and B. 46 Way
RS010,RS010,R,02,P.S. 58,,77 MARSH AVE,77 Marsh Ave,0.995,Small Park,DOE Plgd,0,,51,10314,502,DOE,63,24,11,122,0,,R,Marsh Ave. and Westport St.
QS020,QS020,Q,09,I.S. 210,,97 Ave. bet.ween 93 St. and 94 St.,97 Ave. Bet.ween 93 St. And 94 St.,0.456,,,0,,32,11416,409,DOE,38,15,7,102,0,,Q,97 Ave. bet.ween 93 St. and 94 St.
QS051,QS051,Q,12,P.S. 36,,"Lovingham Pl., Foch Blvd., Everitt Pl.","Lovingham Pl., Foch Blvd., Everitt Pl.",0.7,,,0,,27,11412,412,DOE,29,14,5,113,0,,Q,"Lovingham Pl., Foch Blvd., Everitt Pl."
BS030,BS030,B,15,P.S. 215,,E. 2 St. bet.ween Ave. S and Ave. R,E. 2 St. Bet.ween Ave. S And Ave. R,1.334,,,0,,47,11223,315,DOE,45,22,11,61,0,,B,E. 2 St. bet.ween Ave. S and Ave. R
QT23,QT23,Q,07,Skyview Parc,,College Point Blvd. bet. 40th Rd. and Roosevelt Ave.,College Point Blvd. bet. 40th Rd. and Roosevelt Ave.,0.8,Other,REDEC,1,,20,11354,407,Private,40,11,6,109,,,Q,College Point Blvd. bet. 40th Rd. and Roosevelt Ave.
QS035,QS035,Q,04,I.S. 61,,Christie Ave. bet.ween 99 St. and 98 St.,Christie Ave. Bet.ween 99 St. And 98 St.,1.428,,,0,,25,11368,404,DOE,39,13,14,110,0,,Q,Christie Ave. bet.ween 99 St. and 98 St.
RS018,RS018,R,01,P.S. 21,,Trantor Pl. bet.ween Walker St. and Hooker Pl.,Trantor Pl. Bet.ween Walker St. And Hooker Pl.,1.087,,,0,,49,10302,501,DOE,61,23,11,120,0,,R,Trantor Pl. bet.ween Walker St. and Hooker Pl.
QS024,QS024,Q,09,P.S. 62,,"108 St. to 109 St., bet.ween 101 Ave. and 97 Ave.","108 St. To 109 St., Bet.ween 101 Ave. And 97 Ave.",1.065,,,0,,28,11419,409,DOE,38,10,5,102,0,,Q,"108 St. to 109 St., bet.ween 101 Ave. and 97 Ave."
Q162A,Q162A,Q,14,PARKING LOT,,BOARDWALK & BEACH 69 ST,Boardwalk & Beach 69 St,0,Other,Parking Lot,0,Beach,31,11692,414,-,23,15,5,100,0,Q-14,Q,Beach 69 St. bet. Rockaway Beach Blvd. and the Rockaway Boardwalk
Q162B01,Q162B01,Q,14,PARK STRIP,,BOARDWALK & BEACH 66 ST,Boardwalk & Beach 66 St,0,Other,STRIP,0,Beach,31,11692,414,-,23,15,5,100,0,Q-14,Q,Rockaway Boardwalk at B. 66 St.
QS028,QS028,Q,09,P.S. 66,,102 St. bet.ween 85 Rd. and 85 Ave.,102 St. Bet.ween 85 Rd. And 85 Ave.,0.424,,,0,,30,11418,409,DOE,28,10,7,102,0,,Q,102 St. bet.ween 85 Rd. and 85 Ave.
MS007,MS007,M,12,P.S./I.S. 176 - Manhattan,,4862 BROADWAY,4862 Broadway,0.194,Small Park,DOE Plgd,0,,10,10034,112,DOE,72,31,13,34,0,,M,Broadway bet. Academy St. and W. 204 St.
QS078,QS078,Q,12,,,,,0.693,,,0,,27,,412,DOE,33,14,5,,,,Q,202 St. bet. Murdock Ave. and 115 Ave
XS027,XS027,X,11,P.S. 76,,Bronxwood Ave. to Radcliff Ave. bet.ween Adee Ave. and Arnow Ave.,Bronxwood Ave. To Radcliff Ave. Bet.ween Adee Ave. And Arnow Ave.,0.49,,,0,,12,10469,211,DOE,80,36,14,49,0,,X,Bronxwood Ave. to Radcliff Ave. bet.ween Adee Ave. and Arnow Ave.
QS036,QS036,Q,12,P.S. 50,,"Liberty Ave., Allendale St., 101 Ave.","Liberty Ave., Allendale St., 101 Ave.",0.602,,,0,,28,11435,412,DOE,32,10,5,103,0,,Q,"Liberty Ave., Allendale St., 101 Ave."
QS062,QS062,Q,10,MS 137,,,,0.928,,Null,0,,32,11417,410,DOE,23,15,8,106,,Null,Q,98 St. bet. 109 Ave. and Plattwood Ave.
QS067,QS067,Q,06,J.H.S. 157,,,,0.882,,,0,,29,11375,406,DOE,27,16,6,112,,,Q,Yellowstone Blvd. bet. 63 Dr. and 64 Dr.
BS043,BS043,B,14,P.S. 152,,E. 23 St. bet.ween Campus Rd. and Glenwood Rd.,E. 23 St. Bet.ween Campus Rd. And Glenwood Rd.,0.93,,,0,,45,11210,314,DOE,42,21,9,70,0,,B,E. 23 St. bet.ween Campus Rd. and Glenwood Rd.
MZ119,MZ119,M,03,GREENSTREET,,EAST HOUSTON ST BET. AVE C & AVE D,East Houston St Bet. Ave C & Ave D,0.179,Greenstreet,Type 1,1,Pending,2,10002,103,DOT,74,26,"12, 7",9,0,,M,E Houston St btw Pitt St & Columbia St
BS020,BS020,B,17,I.S. 285,,5905 BEVERLY ROAD,5905 Beverly Road,0.883,Small Park,DOE Plgd,0,,45,11203,317,DOE,58,21,9,67,0,,B,Tilden Ave. bet.ween E. 56 St. and Ralph Ave.
Q100A,Q100A,Q,07,DANIEL CARTER BEARD SQ,,Northern Blvd. bet. Main St. and Linden Pl.,Northern Blvd. bet. Main St. and Linden Pl.,0.658,Small Park,Sitting Area/Triangle/Mall,1,,20,11354,407,DPR,40,16,6,109,0,Q-07,Q,Northern Blvd. bet.  Main St. and Linden Pl.
RS029,RS029,R,01,I.S. 049 BERTHA A DREYFUS,,,,0.931,,,0,,49,10304,501,DOE,61,23,11,120,,,R,Hill St. bet. Warren St. Tompkins Ave.
Q162B,Q162B,Q,14,PARKING LOT,,BOARDWALK & BEACH 67-68 STS,Boardwalk & Beach 67-68 Sts,0,Other,Parking Lot,0,Beach,31,11692,414,-,23,15,5,100,0,Q-14,Q,Rockaway Boardwalk bet. B. 68 St. and B. 67 St.
