Meeting Body Name,Committee,Begin Date Time,Is All Day,Has End,End Date Time,Building Name,Room,Address,Address2,City,State,Zip,Webcast URL,Webcast Plugin,Is Video Conf,Is Conf Call,Conf Call Number,Conf Call ID,Conf Call Password,Contact First Name,Contact Last Name,Phone,Email,Notes,Materials URL,Archived URL,Publication Date,Amendments,Amendment Date,LatLng
Missouri Health and Educational Facilities Authority,,05/04/2020 03:30:00 PM,0,0,,Office of the Authority,Suite 230,15450 South Outer Forty Road,,Chesterfield,,63017,,,0,0,,,,Michael,Stanard,(636) 519-0700,,,,,2020-04-24 15:32:31.0,,,"(38.65000750000001, -90.54995079999999)"
Flood Recovery Advisory Working Group Meeting,,05/13/2020 01:00:00 PM,0,0,,,,,,,,,,,1,1,,,,Melissa,Newman,(573) 751-3195,missy.newman@dnr.mo.gov,"Out of caution surrounding the spread of COVID-19, participation in this meeting will be online only",http://dnr.mo.gov/floodrecovery/,,2020-05-04 15:34:48.0,,,"(44.5165436, -67.5845034)"
Division of Environmental Quality,Missouri Air Conservation Commission,08/27/2020 09:00:00 AM,0,0,,Elm Street Conference Center,Bennett Springs Conference Room,1730 East Elm Street,,Jefferson City,,65101,,,0,0,,,,,,(573) 751-4817,,,,,2019-12-19 14:17:21.0,,2019-12-19 14:27:36.0,"(38.5531201, -92.15244589999999)"
Missouri State Committee of Marital and Family Therapists,,04/22/2020 08:00:00 AM,0,0,,Division of Professional Registration,,3605 Missouri Boulevard,,Jefferson City,,,,,0,1,,288 937 174,,,,(573) 751-0870,,"Portions of this meeting may be closed pursuant to Sections 610.021 (1)(14) RSMo, and Section 324.001.8 AND 324.001.9 RSMo.",,,2020-04-14 20:04:34.0,,,"(38.581448, -92.252301)"
911 Service Board,,04/30/2020 01:00:00 PM,0,0,,,,,,,,,https://zoom.us/j/91834865685,,1,1,,918 3486 5685,,,,(573) 522-1714,,,,,2020-04-24 19:51:44.0,,,"(44.5165436, -67.5845034)"
Central Missouri Autism Project Parent Advisory Committee,,05/12/2020 05:30:00 PM,0,0,,Easter Seals,,918 Bernadette Drive,,Columbia,,65203,,,0,1,,,,Darcy,Armstrong,(573) 441-6289,darcy.armstrong@dmh.mo.gov,,,,2019-12-10 16:27:17.0,MEETING CANCELLED,2020-04-09 15:01:19.0,"(38.8996376, -92.4406387)"
Missouri Veterinary Medical Board,,04/16/2020 12:00:00 PM,0,0,,Division of Professional Registration,,3605 Missouri Boulevard,,Jefferson City,,65102,,,0,1,,,,,,(573) 751-0031,,"Portions of this meeting may be closed pursuant to Sections 610.021 (1)(3)(5)(7)(14) RSMo, Section 620.010.14 (17) RSMo.",,,2020-04-09 20:06:04.0,,,"(38.581448, -92.252301)"
Coordinating Board for Higher Education,,04/21/2020 01:00:00 PM,0,1,04/21/2020 02:00:00 PM,,,,,,,65101,https://morenet.zoom.us/j/104913710,,1,1,,104 913 710,,Alyssa,McLeod,(573) 751-1876,alyssa.mcleod@dhe.mo.gov,,,,2020-04-14 22:36:59.0,,,
Missouri Committee for Professional Counselors,Credentials Subcommitee,04/28/2020 07:30:00 AM,0,0,,Division of Professional Registration,,3605 Missouri Boulevard,,Jefferson City,,65102,,,0,1,,287 951 868,,,,(573) 751-0018,,Portions of this meeting may be closed pursuant to Section 610.021 (1)(14) RSMo. and Sections 324.001.8 and 324.001.9 RSMo.,,,2020-04-14 17:54:11.0,,,"(38.581448, -92.252301)"
CARES Act Funding Working Group,Governor's Working Group,04/28/2020 10:00:00 AM,0,0,,Missouri State Capitol,House Hearing Room 5,201 West Capitol Avenue,,Jefferson City,,,www.house.mo.gov,,0,0,,,,,,(573) 751-2411,,,,,2020-04-24 19:39:24.0,,,"(38.578916, -92.17254299999999)"
State Milk Board,,04/14/2020 10:00:00 AM,0,0,,Department of Agriculture,3rd Floor Boardroom,1616 Missouri Boulevard,,Jefferson City,,65109,,,0,0,,,,Amy,Luecke,(573) 751-3830,amy.luecke@mda.mo.gov,,,,2020-02-21 17:18:19.0,,,"(38.5805528, -92.19748969999999)"
Board of Nursing Home Administrators,,04/15/2020 09:00:00 AM,0,0,,,,3418 Knipp Drive,,Jefferson City,,,,,0,0,,808 914 150,,,,(573) 751-3511,,Portions of this meeting may be closed pursuant to Chapter 610.021 (1) RSMo.,,,2020-03-23 16:31:21.0,,2020-04-08 22:35:36.0,"(38.5794179, -92.249692)"
State Board of Podiatric Medicine,,04/20/2020 03:30:00 PM,0,0,,Division of Professional Registration,,3605 Missouri Boulevard,,Jefferson City,,65109,,,0,0,,,,,,(573) 751-0873,,Portions of this meeting will be closed pursuant to Section 610.021(1)(3)(5)(7)(13)(14) RSMo and Section 324.001.8 and 324.001.9 RSMo,,,2020-02-27 13:05:40.0,MEETING CANCELLED,2020-04-10 13:28:00.0,"(38.581448, -92.252301)"
Missouri Statewide Independent Living Council (MOSILC),,05/13/2020 01:30:00 PM,0,0,,,,,,,,,https://us02web.zoom.us/j/86243796347?pwd=S1BWbjV5UkVWUEg3UXNzRTBVT1RGZz09,,1,1,,272835061,,Adonis,Brown,(573) 415-8775,adonistbrown@mosilc.org,Join Zoom Meetinghttps://us02web.zoom.us/j/86243796347?pwd=S1BWbjV5UkVWUEg3UXNzRTBVT1RGZz09Meeting ID: 862 4379 6347Password: 908703Dial by your location+1 312 626 6799 US (Chicago)+1 646 558 8656 US (New York)+1 301 715 8592 US (Germantown)+1 346 248 7799 US (Houston)+1 669 900 9128 US (San Jose)+1 253 215 8782 US (Tacoma)Meeting ID: 862 4379 6347Password: 908703,,,2020-05-04 15:39:04.0,,,"(44.5165436, -67.5845034)"
MO HealthNet Division,Drug Utilization Review Board,04/15/2020 10:00:00 AM,0,0,,,,,,,,,,,0,1,,282 119 546,,,,(573) 751-6961,,,,,2020-04-14 18:09:45.0,,,"(44.5165436, -67.5845034)"
Missouri Statewide Independent Living Council (MOSILC),,05/06/2020 01:00:00 PM,0,0,,,,,,,,,https://us02web.zoom.us/j/86307793648?pwd=RGFhOXUwM3FuWno2aDZHOGR2eXcyUT09,,1,1,,844078335,,Adonis,Brown,(573) 415-8775,adonistbrown@mosilc.org,Join Zoom Meetinghttps://us02web.zoom.us/j/86307793648?pwd=RGFhOXUwM3FuWno2aDZHOGR2eXcyUT09Meeting ID: 863 0779 3648Password: 198415Dial by your location+1 312 626 6799 US (Chicago)+1 301 715 8592 US (Germantown)+1 646 558 8656 US (New York)+1 669 900 9128 US (San Jose)+1 253 215 8782 US (Tacoma)+1 346 248 7799 US (Houston)Meeting ID: 863 0779 3648Password: 198415,,,2020-05-04 15:37:11.0,,,"(44.5165436, -67.5845034)"
Division of Tourism,Tourism Commission Task Force,05/01/2020 12:00:00 PM,0,0,,,,,,,,,https://stateofmo.webex.com/stateofmo/j.php?MTID=m4bf411be6fac3ab7081fa0c6cd9e3fac,,0,1,,280 561 357,,Jadrien,Bopp,(573) 751-4133,,,,,2020-04-24 20:46:05.0,,,"(44.5165436, -67.5845034)"
Division of Developmental Disabilities,Missouri Parent Advisory Committee on Autism,07/24/2020 11:00:00 AM,0,0,,Department of Mental Health,,1706 East Elm Street,,Jefferson City,,65102,,,0,1,,803 502 465,,Kerri,Tesreau,(573) 751-8213,Kerri.Tesreau@dmh.mo.gov,,,,2020-01-27 15:01:13.0,,,"(38.5551799, -92.15435110000001)"
Division of Environmental Quality,Safe Drinking Water Commission Meeting,04/15/2020 10:00:00 AM,0,0,,Lewis and Clark State Office Building,,1101 Riverside Drive,,Jefferson City,,65101,,,0,0,,,,,,(800) 361-4827,,,,,2020-03-02 13:54:18.0,,,"(38.5695013, -92.15548869999999)"
Missouri Public Utility Alliance,Meetings of the Board of Directors and Executive Committee,04/15/2020 10:00:00 AM,0,0,,,,,,,,,,,0,1,,,,Elizabeth,Baysinger,(573) 445-3279,,Portions of this meeting may be closed pursuant to Section 610.021 (1)(3)(13)(14) RSMo.,,,2020-04-10 19:15:17.0,,,"(44.5165436, -67.5845034)"
Missouri Autism Projects Southwest Parent Advisory Council,,05/12/2020 06:30:00 PM,0,0,,,,,,,,,,,0,1,,805 048 757,,Matt,Waggoner,(417) 629-3576,,,,,2020-02-06 12:49:27.0,MEETING HELD VIA WEBEX ONLY,2020-04-15 16:31:22.0,"(44.5165436, -67.5845034)"
Missouri Statewide Independent Living Council (MOSILC),,05/15/2020 10:00:00 AM,0,0,,,,,,,,,https://zoom.us/j/97242316009?pwd=Vkc0VDRhOE9tUTRPWnp4WG80VkY2dz09,,1,1,,,,Adonis,Brown,(573) 415-8775,adonistbrown@mosilc.org,"Join Zoom Meeting Phone one-tap: 	US: +13126266799,,97242316009#,,#,024812# or +16465588656,,97242316009#,,#,024812# Meeting URL: 	https://zoom.us/j/97242316009?pwd=Vkc0VDRhOE9tUTRPWnp4WG80VkY2dz09 Meeting ID: 	972 4231 6009Password:	024812Skype for Business (Lync) https://zoom.us/skype/97242316009",,,2020-04-15 16:48:27.0,,,"(44.5165436, -67.5845034)"
Department of Mental Health,Exceptions Committee,04/20/2020 10:00:00 AM,0,0,,,,,,,,,,,0,1,,285 569 048,,Lisa,Limbach,(573) 751-8202,,Portions of this meeting may be closed pursuant to Section 610.021 (1)(5)(13)(14) RSMo.,,,2020-04-15 16:43:14.0,,,"(44.5165436, -67.5845034)"
Missouri Autism Projects Missouri Parent Advisory Committee,,05/15/2020 11:00:00 AM,0,0,,Department of Mental Health,,1706 East Elm Street,,Jefferson City,,65102,,,0,1,,809 617 876,,Kerri,Tesreau,(573) 751-8213,Kerri.Tesreau@dmh.mo.gov,,,,2020-01-27 15:00:34.0,,2020-04-15 16:34:32.0,"(38.5551799, -92.15435110000001)"
Division of Tourism,Tourism Commission Task Force,04/28/2020 12:00:00 PM,0,0,,,,,,,,,https://stateofmo.webex.com/stateofmo/j.php?MTID=m4bf411be6fac3ab7081fa0c6cd9e3fac,,0,1,,280 561 357,,Jadrien,Bopp,(573) 751-4133,,,,,2020-04-24 20:48:56.0,,,"(44.5165436, -67.5845034)"
Missouri Family Trust,d/b/a Midwest Special Needs Trust,04/28/2020 01:00:00 PM,0,0,,,,,,,,,,,0,1,,,,Kathy,Birkes,(573) 256-5055,kbirkes@midwestspecialneedstrust.org,Portions of this meeting pay be closed pursuant to Section 610.021 (12) RSMo.,,,2020-04-24 20:40:03.0,,,"(44.5165436, -67.5845034)"
Missouri Board of Pharmacy,,04/15/2020 01:00:00 PM,0,0,,,,,,,,,https://stateofmo.webex.com/stateofmo/j.php?MTID=mcb4e324395530167d8f6337c48cb209e,284 841 977,0,1,,284 841 977,,,,(573) 751-0091,,"***Public participants will be required to provide a name and e-mail address when joining the WebEx meeting online. WebEx will provide a conference call telephone number to access the audio portion of the call after you join. Telephone charges may apply as assessed by your service provider. ***Portions of this meeting may be closed pursuant to Section 610.021 (1)(14), RSMo, and Section 324.001.8 and 324.001.9, RSMo.",,,2019-12-04 15:49:06.0,MEETING TIME CHANGE AND CONF. CALL INFO ADDED,2020-04-13 11:56:54.0,"(44.5165436, -67.5845034)"
Clean Water Commission,,10/07/2020 10:00:00 AM,0,0,,Lewis and Clark State Office Building,,1101 Riverside Drive,,Jefferson City,,65101,,,0,0,,,,Krista,Welschmeyer,(573) 751-6721,,,,,2019-11-26 12:24:29.0,,,"(38.5695013, -92.15548869999999)"
State Board of Education Meeting,,05/12/2020 10:00:00 AM,0,0,,,,,,,,,https://livestream.com/MoDESE/SBE,,1,1,,,,,,(573) 751-3563,,"Anyone attending a meeting of the State Board of Education who requires auxiliary aids or services should request such services by contacting the Executive Assistant to the State Board of Education, telephone 573-751-3563 or Relay Missouri 800-735-2966, no later than 48 hours before the meeting.",https://dese.mo.gov/state-board-education/agendas-minutes,,2020-05-05 11:56:24.0,,,"(44.5165436, -67.5845034)"
Missouri Agricultural & Small Business Development Authority,Board Meeting,05/20/2020 08:15:00 AM,0,0,,Department of Agriculture,,1616 Missouri Boulevard,,Jefferson City,,65109,,,0,0,,,,Danielle,Weed,(573) 522-2446,,Portions of this meeting may be closed pursuant to Section 610.021 (1)(3)(14)(15)(17) RSMo and Chapter 348.181 RSMo,,,2020-04-16 14:42:15.0,,,"(38.5805528, -92.19748969999999)"
Division of Energy,Public Hearing - Missouri Weatherization Assistance Program State Plan,04/14/2020 02:00:00 PM,0,0,,,,,,,,,804556705@stateofmo.webex.com,,0,1,,804 556 705,,Kevin,Scherr,(573) 751-6659,Kevin.Scherr@dnr.mo.gov,"Please address questions or written comments concerning the Fiscal Year 2021    Missouri Weatherization State Plan to Kevin Scherr, Department of Natural Resources, Division of Energy, P.O. Box 176, Jefferson City, MO 65101, telephone number: 573- 751-6659, e-mail: kevin.scherr@dnr.mo.gov. Written comments must be received no later than 5:00 p.m. on April 14, 2020.",https://energy.mo.gov/assistance-programs/liwap/facts,,2020-04-01 12:47:48.0,,,"(44.5165436, -67.5845034)"
Administrative Hearing Commission,,05/14/2020 01:00:00 PM,0,0,,Administrative Hearing Commission,,131 West High Street (USPO Building),Third Floor,Jefferson City,,65101,,,0,1,,,,Vicki,Hale,(573) 751-5016,vicki.hale@oa.mo.gov,,,,2020-05-05 11:58:43.0,,,
Missouri Public Utility Alliance,Missouri Joint Municipal Electric Utility Commission Missouri Public Energy Pool Committee (MoPEP),05/07/2020 10:00:00 AM,0,0,,,,,,,,,,,0,1,,,,Konda,Bentley,(573) 445-3279,kbentley@mpua.org,Portions of this meeting may be closed pursuant to Section 610.021 (1)(3)(13)(14) RSMo.,,,2020-05-05 14:58:32.0,,,"(44.5165436, -67.5845034)"
Eastern Missouri Autism Project Parent Advisory Council,,08/17/2020 06:00:00 PM,0,0,,DMH Tri-County Regional Office,,119 Olympic Way,,St. Peters,,63376,,,0,1,,2486405831,,TJ,Moore,,Tauvaris.Moore@dmh.mo.gov,,,,2019-12-16 14:29:12.0,,2020-04-13 15:14:06.0,
Eastern Missouri Autism Project Parent Advisory Council,,06/15/2020 06:00:00 PM,0,0,,,,,,,,,,,0,1,,2486405831,,TJ,Moore,,Tauvaris.Moore@dmh.mo.gov,,,,2019-12-16 14:28:05.0,,2020-04-13 15:13:17.0,"(44.5165436, -67.5845034)"
Missouri Eating Disorders Council Meeting,,09/28/2020 10:00:00 AM,0,0,,Department of Mental Health,Conference Room B,1706 East Elm Street,,Jefferson City,,65102,,,0,0,,,,Elaina,Henry,(573) 522-0076,Elaina.Henry@dmh.mo.gov,,,,2019-07-31 11:47:06.0,,,"(38.5551799, -92.15435110000001)"
Eastern Missouri Autism Project Parent Advisory Council,,04/20/2020 06:00:00 PM,0,0,,,,,,,,,,,0,1,,2486405831,,TJ,Moore,,Tauvaris.Moore@dmh.mo.gov,,,,2019-12-16 14:27:00.0,,2020-04-13 15:12:29.0,"(44.5165436, -67.5845034)"
Personnel Advisory Board,Via Conference Call,04/14/2020 10:00:00 AM,0,0,,,,,,,,,,,0,1,,289 745 721,,Kathy,Miller,(573) 526-9560,kathy.miller@oa.mo.gov,A portion of this meeting will be closed pursuant to Section 610.021 (3) (14) RSMo.For questions about accessibility or to request accommodations please see contact information above. Advance notice is appreciated and will allow additional opportunity to provide requested accommodation(s).,,,2020-04-08 22:28:19.0,,2020-04-13 16:41:57.0,"(44.5165436, -67.5845034)"
Children's Division Psychotropic Medication Advisory Committee (PMAC),Clinical Sub-Committee,04/14/2020 04:00:00 PM,0,0,,,,,,,,,,,0,1,,285 915 551 # #,,Morgan,Bogle,(573) 751-3171,morgan.r.bogle@dss.mo.gov,,,,2020-04-13 16:56:37.0,,,"(44.5165436, -67.5845034)"
Missouri Autism Projects Northwest Parent Advisory Council,,04/14/2020 06:30:00 PM,0,0,,Kansas City Regional Office,,821 East Admiral Blvd,,Kansas City,,64106,,,0,1,,809 729 070,,Denise,Trecker,(816) 889-3454,denise.trecker@dmh.mo.gov,If attending in person contact regional office contact person ahead of time.,,,2019-04-12 14:48:53.0,MEETING CANCELLED,2020-04-13 17:33:21.0,
Central Missouri Autism Project Parent Advisory Committee,,04/14/2020 05:30:00 PM,0,0,,Easter Seals,,918 Bernadette Drive,,Columbia,,65203,,,0,1,,,,Darcy,Armstrong,(573) 441-6289,darcy.armstrong@dmh.mo.gov,,,,2019-12-10 16:26:24.0,MEETING CANCELLED,2020-03-11 18:52:33.0,"(38.8996376, -92.4406387)"
Office of Adult Learning and Rehabilitation Services,2020 Missouri State Rehabilitation Council Meetings,05/07/2020 09:00:00 AM,0,0,,Missouri Vocational Rehabilitation,,3024 Dupont Circle,,Jefferson City,,,,,0,0,,,,Anita,Baker,(573) 522-6025,,,,,2019-11-14 18:06:40.0,,,"(38.595911, -92.232376)"
Missouri Gaming Commission,,04/17/2020 10:00:00 AM,0,0,,,,,,,,,,,0,1,,,,,,(573) 526-2326,meetingcoordinator@mgc.dps.mo.gov,Portions of the meeting may be closed pursuant to Sections 610.021 (1) RSMo.,,,2020-04-16 14:34:59.0,,,"(44.5165436, -67.5845034)"
Division of Professional Registration,Missouri Dental Board,10/23/2020 08:00:00 AM,0,0,,TBD,,,,,,,,,0,0,,,,,,(573) 751-0040,,Portions of this meeting will be closed pursuant to Section (1)(3)(5)(7)(13)(14) RMSo. and Chapter 324.001.8 and 324.001.9 RSMo.,,,2020-01-15 19:20:08.0,,,"(44.5165436, -67.5845034)"
Missouri Agricultural & Small Business Development Authority,Board Meeting,04/15/2020 08:15:00 AM,0,0,,Department of Agriculture,,1616 Missouri Boulevard,,Jefferson City,,65109,,,0,0,,,,Danielle,Weed,(573) 522-2446,,Portions of this meeting may be closed pursuant to Section 610.021 (1)(3)(14)(15)(17) RSMo and Chapter 348.181 RSMo,,,2020-03-24 14:33:30.0,,,"(38.5805528, -92.19748969999999)"
Missouri Geological Survey,Well Installation Board Meeting,05/01/2020 10:00:00 AM,0,0,,,,,,,,,,,0,1,,,,Connie,Edwards,(573) 368-2121,connie.edwards@dnr.mo.gov,,,,2019-12-31 21:17:53.0,MEETING DATE CHANGED AND IS NOW VIA TELECONFERENCE,2020-04-13 18:40:31.0,"(44.5165436, -67.5845034)"
Missouri Weatherization Policy Advisory Council,,04/14/2020 01:00:00 PM,0,0,,,,,,,,,,,0,1,,806 556 705,,Kevin,Scherr,(573) 751-6659,kevin.scherr@dnr.mo.gov,,,,2020-04-01 12:50:50.0,,,"(44.5165436, -67.5845034)"
Division of Professional Registration,Missouri Dental Board,10/22/2020 08:00:00 AM,0,0,,TBD,,,,,,,,,0,0,,,,,,(573) 751-0040,,Portions of this meeting will be closed pursuant to Section (1)(3)(5)(7)(13)(14) RMSo. and Chapter 324.001.8 and 324.001.9 RSMo.,,,2020-01-15 19:19:44.0,,,"(44.5165436, -67.5845034)"
Children's Division Psychotropic Medication Advisory Committee (PMAC),,04/27/2020 09:00:00 AM,0,0,,,,,,,,,,,0,1,,809 908 208 # #,,Larry,Smith,,Larry.K.Smith@dss.mo.gov,,,,2020-04-21 16:10:52.0,UPDATE CONFERENCE CALL ID#.  DIAL  (650) 479-3207; NEW ID# 288 659 616,2020-04-27 14:40:54.0,"(44.5165436, -67.5845034)"
Division of Environmental Quality,Clean Water Fees Stakeholder Meeting,05/12/2020 01:00:00 PM,0,0,,Lewis and Clark State Office Building,LaCharrette/Nightingale Conference Room,1101 Riverside Drive,,Jefferson City,,65101,,,0,0,,,,Krista,Welshmeyer,(573) 751-6721,,,,,2019-12-16 15:19:45.0,,,"(38.5695013, -92.15548869999999)"
Division of Environmental Quality,Missouri Air Conservation Commission,04/29/2020 09:00:00 AM,0,0,,,,,,,,,,,0,0,,,,David,Gilmore,(573) 751-4817,david.gilmore@dnr.mo.gov,"Due to concerns regarding the novel coronavirus, or COVID-19, and restrictions on access to state buildings, this meeting will be limited to remote participation. See full details by visiting the Missouri Air Conservation Commission website at https://dnr.mo.gov/env/apcp/macc.htm",https://dnr.mo.gov/env/apcp/macc.htm,,2020-04-28 12:18:34.0,,,"(44.5165436, -67.5845034)"
Governor's Council on Disability,,08/21/2020 10:00:00 AM,0,0,,Missouri Coalition for Community Behavioral Healthcare,CFO Room,221 Metro Drive,,Jefferson City,,65102,,,0,1,,,,Jessica,Zimmer,(573) 751-2600,Jessica.Zimmer@oa.mo.gov,,,,2019-11-27 12:26:45.0,,,
Missouri Geological Survey,Well Installation Board Meeting,08/21/2020 10:00:00 AM,0,0,,Missouri Geological Survey,,1251 Gale Drive,,Rolla,,,,,0,0,,,,Connie,Edwards,(573) 368-2121,connie.edwards@dnr.mo.gov,,,,2019-12-31 21:22:00.0,,,"(37.9465095, -91.78002870000002)"
Missouri Board of Occupational Therapy,,05/01/2020 02:00:00 PM,0,0,,,,,,,,,,,0,1,,283 174 631,,,,(573) 751-0877,,Portions of this meeting may be closed pursuant to Section 610.021 (1)(3)(5)(7)(13)(14) RSMo and Section 324.001.8 and 324.001.9 RSMo.,,,2020-04-28 12:20:23.0,,,"(44.5165436, -67.5845034)"
Division of Environmental Quality,Clean Water Fees Stakeholder Meeting,04/14/2020 01:00:00 PM,0,0,,Lewis and Clark State Office Building,LaCharrette/Nightingale Conference Room,1101 Riverside Drive,,Jefferson City,,65101,,,0,0,,,,Krista,Welshmeyer,(573) 751-6721,,,,,2019-12-16 15:19:16.0,,,"(38.5695013, -92.15548869999999)"
Missouri State Board of Accountancy,Board Meeting,04/29/2020 08:00:00 AM,0,0,,Missouri Council of School Administrators,Education and Conference Center,3550 Amazonas Drive,,Jefferson City,,65109,,,0,0,,,,,,(573) 751-0012,,Portions of this meeting may be closed pursuant to Section 610.021 (1)(3)(6)(7)(11)(13)(14) RSMo and Section 324.001.8 and 324.001.9 RSMo.,,,2020-01-27 16:35:06.0,MEETING LOCATION CHANGE,2020-03-17 13:56:53.0,"(38.589792, -92.25171999999999)"
Missouri Geological Survey,State Oil and Gas Council Meeting,04/15/2020 10:00:00 AM,0,0,,Lewis and Clark State Office Building,Gasconade Camp Conference Room,1101 Riverside Drive,,Jefferson City,,65101,,,0,0,,,,Connie,Edwards,(573) 368-2121,connie.edwards@dnr.mo.gov,,,,2019-09-20 22:39:41.0,,,"(38.5695013, -92.15548869999999)"
Bureau of Genetics and Healthy Childhood,Newborn Screening for Cystic Fibrosis Task Force,04/23/2020 02:00:00 PM,0,0,,,,,,,,,https://stateofmo.webex.com/stateofmo/j.php?MTID=mc7008044fe9a3a32b65bc78816a269eb,,0,1,,802 614 208 #,,Julie,Raburn-Miller,(573) 751-6266,,,,,2020-04-16 19:01:20.0,,,"(44.5165436, -67.5845034)"
Missouri Eating Disorders Council Meeting,,05/25/2020 10:00:00 AM,0,0,,Department of Mental Health,Conference Room B,1706 East Elm Street,,Jefferson City,,65102,,,0,0,,,,Elaina,Henry,(573) 522-0076,Elaina.Henry@dmh.mo.gov,,,,2019-07-31 11:46:09.0,,,"(38.5551799, -92.15435110000001)"
Water Protection Forum,,05/12/2020 10:00:00 AM,0,0,,Lewis and Clark State Office Building,,1101 Riverside Drive,,Jefferson City,,65101,,,0,0,,,,Krista,Welshmeyer,(573) 751-6721,,,,,2019-11-26 12:27:21.0,MEETING CANCELLED,2020-03-24 18:49:06.0,"(38.5695013, -92.15548869999999)"
State Board of Education Meeting,,04/27/2020 01:00:00 PM,0,0,,,,,,,,,https://livestream.com/MoDESE/SBE,,1,0,,,,,,(573) 751-3563,,"Anyone attending a meeting of the State Board of Education who requires auxiliary aids or services should request such services by contacting the Executive Assistant to the State Board of Education, telephone 573-751-3563 or Relay Missouri 800-735-2966, no later than 48 hours before the meeting.",https://dese.mo.gov/state-board-education/agendas-minutes,,2020-04-16 19:58:34.0,,,"(44.5165436, -67.5845034)"
Division of Developmental Disabilities,Southwest Parent Advisory Council,10/13/2020 06:30:00 PM,0,0,,MARC,,822 West Mount Vernon Boulevard,,Mount Vernon,,65712,,,0,0,,,,Matt,Waggoner,(417) 629-3576,,,,,2020-02-06 12:56:18.0,,,
Soil and Water Districts Commission,,04/17/2020 01:00:00 PM,0,0,,,,,,,,,,,0,1,,,,Bill,Wilson,,Bill.Wilson@dnr.mo.gov,,,,2020-04-13 21:01:59.0,,,"(44.5165436, -67.5845034)"
