Reporting Area,MMWR Year,MMWR Week,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Max†","Cryptosporidiosis, Previous 52 weeks Max†, flag","Cryptosporidiosis, Cum 2020†","Cryptosporidiosis, Cum 2020†, flag","Cryptosporidiosis, Cum 2019†","Cryptosporidiosis, Cum 2019†, flag","Cyclosporiasis, Current week","Cyclosporiasis, Current week, flag","Cyclosporiasis, Previous 52 weeks Max†","Cyclosporiasis, Previous 52 weeks Max†, flag","Cyclosporiasis, Cum 2020†","Cyclosporiasis, Cum 2020†, flag","Cyclosporiasis, Cum 2019†","Cyclosporiasis, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
HAWAII,2020,4,,-,1,,,-,1,,,-,0,,,-,,-,HAWAII,,20200460,POINT (-157.854309 21.361013)
OREGON,2020,4,2,,11,,6,,26,,,-,1,,,-,,-,OREGON,,20200461,POINT (-120.605279 43.940449)
WASHINGTON,2020,4,,-,10,,7,,20,,,-,4,,,-,1,,WASHINGTON,,20200462,POINT (-120.592492 47.411715)
AMERICAN SAMOA,2020,4,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20200464,
NORTHERN MARIANA ISLANDS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200465,POINT (145.725693 15.1834)
GUAM,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200466,POINT (144.653198 13.3532)
PUERTO RICO,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200467,POINT (-66.414655 18.215692)
U.S. VIRGIN ISLANDS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200468,POINT (-64.840836 18.060868)
TOTAL,2020,3,89,,401,,219,,441,,1,,490,,7,,5,,,TOTAL,20200370,
US RESIDENTS,2020,3,89,,401,,219,,441,,1,,490,,7,,5,,,US RESIDENTS,20200301,
NEW HAMPSHIRE,2020,3,,-,4,,1,,10,,,-,2,,,-,,-,NEW HAMPSHIRE,,20200306,POINT (-71.57139 43.680429)
NEW YORK,2020,3,12,,27,,15,,5,,,-,85,,,-,,-,NEW YORK,,20200311,POINT (-75.59655 42.921241)
PACIFIC,2020,3,10,,43,,27,,73,,,-,9,,,-,2,,,PACIFIC,20200357,
WEST SOUTH CENTRAL,2020,3,15,,69,,21,,33,,,-,127,,,-,,-,,WEST SOUTH CENTRAL,20200343,
EAST SOUTH CENTRAL,2020,3,5,,45,,14,,26,,,-,17,,,-,,-,,EAST SOUTH CENTRAL,20200338,
NEVADA,2020,3,,-,4,,1,,1,,,N,,NC,,N,,N,NEVADA,,20200353,POINT (-114.916992 39.283294)
ILLINOIS,2020,3,,-,24,,,-,22,,,-,51,,,-,1,,ILLINOIS,,20200315,POINT (-89.148632 40.124144)
TEXAS,2020,3,6,,55,,8,,14,,,-,119,,,-,,-,TEXAS,,20200347,POINT (-99.317341 31.447238)
ALASKA,2020,3,,-,2,,,-,,-,,-,0,,,-,,-,ALASKA,,20200358,POINT (-151.631889 63.631126)
WASHINGTON,2020,3,,-,10,,3,,17,,,-,4,,,-,1,,WASHINGTON,,20200362,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,3,7,,26,,19,,37,,,-,91,,,-,,-,,NEW ENGLAND,20200302,
RHODE ISLAND,2020,3,,-,7,,3,,2,,,-,5,,,-,,-,RHODE ISLAND,,20200307,POINT (-71.534637 41.572574)
OREGON,2020,3,1,,14,,4,,22,,,-,1,,,-,,-,OREGON,,20200361,POINT (-120.605279 43.940449)
ALABAMA,2020,3,3,,14,,6,,8,,,N,,NC,,N,,N,ALABAMA,,20200339,POINT (-86.844516 32.756889)
NORTH CAROLINA,2020,3,1,,10,,4,,15,,,-,31,,,-,1,,NORTH CAROLINA,,20200334,POINT (-79.130883 35.52603)
GUAM,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200366,POINT (144.653198 13.3532)
NEW JERSEY,2020,3,,-,18,,3,,11,,,-,48,,1,,,-,NEW JERSEY,,20200310,POINT (-74.655514 40.110253)
NEW MEXICO,2020,3,,-,8,,1,,3,,,-,4,,,-,,-,NEW MEXICO,,20200354,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,3,22,,111,,51,,92,,,-,121,,4,,1,,,EAST NORTH CENTRAL,20200314,
TENNESSEE,2020,3,,-,13,,3,,6,,,-,17,,,-,,-,TENNESSEE,,20200342,POINT (-86.343226 35.842998)
CONNECTICUT,2020,3,,-,6,,,-,7,,,-,26,,,-,,-,CONNECTICUT,,20200303,POINT (-72.738288 41.575155)
MARYLAND,2020,3,2,,6,,3,,2,,,-,76,,1,,,-,MARYLAND,,20200333,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,3,2,,7,,3,,5,,,-,4,,,-,,-,SOUTH CAROLINA,,20200335,POINT (-80.864614 33.878572)
OKLAHOMA,2020,3,3,,10,,5,,5,,,N,,NC,,N,,N,OKLAHOMA,,20200346,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200365,POINT (145.725693 15.1834)
LOUISIANA,2020,3,4,,18,,4,,12,,,-,14,,,-,,-,LOUISIANA,,20200345,POINT (-91.840238 30.921314)
HAWAII,2020,3,,-,1,,,-,1,,,-,0,,,-,,-,HAWAII,,20200360,POINT (-157.854309 21.361013)
PENNSYLVANIA,2020,3,2,,21,,17,,24,,,N,,NC,,N,,N,PENNSYLVANIA,,20200313,POINT (-77.838886 40.896694)
UTAH,2020,3,1,,14,,3,,5,,,-,3,,,-,,-,UTAH,,20200355,POINT (-111.678222 39.323779)
COLORADO,2020,3,,-,14,,,-,5,,,-,10,,,-,,-,COLORADO,,20200350,POINT (-105.547832 38.998552)
VERMONT,2020,3,1,,3,,2,,,-,,-,5,,,-,,-,VERMONT,,20200308,POINT (-72.662695 44.075252)
KENTUCKY,2020,3,,-,21,,,-,11,,,-,0,,,-,,-,KENTUCKY,,20200340,POINT (-85.290484 37.526683)
PUERTO RICO,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200367,POINT (-66.414655 18.215692)
MAINE,2020,3,2,,12,,3,,1,,,-,0,,,-,,-,MAINE,,20200304,POINT (-69.06137 45.117911)
VIRGINIA,2020,3,6,,51,,8,,8,,1,,47,,1,,,-,VIRGINIA,,20200336,POINT (-78.666382 37.510861)
ARIZONA,2020,3,2,,8,,5,,7,,,-,5,,,-,,-,ARIZONA,,20200349,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,3,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20200364,
IDAHO,2020,3,,-,10,,1,,3,,,N,,NC,,N,,N,IDAHO,,20200351,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200368,POINT (-64.840836 18.060868)
GEORGIA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,GEORGIA,,20200332,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20200312,
ARKANSAS,2020,3,2,,9,,4,,2,,,-,7,,,-,,-,ARKANSAS,,20200344,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,3,2,,8,,5,,1,,,N,,NC,,N,,N,MISSISSIPPI,,20200341,POINT (-89.65344 32.713378)
WYOMING,2020,3,,-,5,,,-,,-,,-,1,,,-,,-,WYOMING,,20200356,POINT (-107.55145 42.999627)
MIDDLE ATLANTIC,2020,3,14,,54,,35,,40,,,-,115,,1,,,-,,MIDDLE ATLANTIC,20200309,
CALIFORNIA,2020,3,9,,28,,20,,33,,,-,8,,,-,1,,CALIFORNIA,,20200359,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,3,,-,4,,,-,3,,,-,2,,,-,,-,WEST VIRGINIA,,20200337,POINT (-80.613729 38.642579)
FLORIDA,2020,3,,-,21,,,-,34,,,-,114,,,-,,-,FLORIDA,,20200331,POINT (-82.420978 28.260731)
MONTANA,2020,3,,-,5,,,-,1,,,-,1,,,-,,-,MONTANA,,20200352,POINT (-109.645127 47.033521)
MASSACHUSETTS,2020,3,4,,15,,10,,17,,,-,60,,,-,,-,MASSACHUSETTS,,20200305,POINT (-71.481104 42.151077)
MOUNTAIN,2020,3,3,,34,,11,,25,,,-,15,,,-,,-,,MOUNTAIN,20200348,
NON-US RESIDENTS,2020,3,,-,2,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200369,
US TERRITORIES,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200363,
NEW YORK,2020,17,,-,27,,79,,76,,,-,86,,1,,1,,NEW YORK,,20201711,POINT (-75.59655 42.921241)
PACIFIC,2020,17,2,,43,,161,,325,,,-,9,,1,,7,,,PACIFIC,20201757,
TOTAL,2020,16,20,,458,,1594,,2682,,,-,580,,26,,55,,,TOTAL,20201670,
US RESIDENTS,2020,16,20,,458,,1594,,2682,,,-,580,,26,,55,,,US RESIDENTS,20201601,
NEW HAMPSHIRE,2020,16,,-,4,,13,,22,,,-,2,,,-,,-,NEW HAMPSHIRE,,20201606,POINT (-71.57139 43.680429)
NEW YORK,2020,16,1,,27,,79,,71,,,-,86,,1,,1,,NEW YORK,,20201611,POINT (-75.59655 42.921241)
WEST SOUTH CENTRAL,2020,16,3,,200,,143,,277,,,-,127,,4,,5,,,WEST SOUTH CENTRAL,20201643,
NEBRASKA,2020,16,3,,8,,29,,46,,,-,6,,,-,1,,NEBRASKA,,20201625,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,16,,-,45,,87,,165,,,-,17,,2,,1,,,EAST SOUTH CENTRAL,20201638,
NORTH DAKOTA,2020,16,,-,3,,1,,5,,,N,,NC,,N,,N,NORTH DAKOTA,,20201626,POINT (-100.46931 47.446305)
NEVADA,2020,16,,-,4,,4,,10,,,N,,NC,,N,,N,NEVADA,,20201653,POINT (-114.916992 39.283294)
ILLINOIS,2020,16,,-,24,,29,,84,,,-,51,,1,,5,,ILLINOIS,,20201615,POINT (-89.148632 40.124144)
IOWA,2020,16,,-,30,,75,,123,,,-,48,,2,,2,,IOWA,,20201621,POINT (-93.500061 42.074659)
TEXAS,2020,16,2,,195,,95,,151,,,-,119,,4,,5,,TEXAS,,20201647,POINT (-99.317341 31.447238)
ALASKA,2020,16,,-,2,,,-,2,,,-,0,,,-,,-,ALASKA,,20201658,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,16,,-,2,,2,,9,,,-,11,,,-,,-,DISTRICT OF COLUMBIA,,20201630,POINT (-77.016275 38.904785)
WASHINGTON,2020,16,,-,8,,41,,81,,,-,4,,,-,2,,WASHINGTON,,20201662,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,16,1,,26,,70,,123,,,-,91,,1,,1,,,NEW ENGLAND,20201602,
RHODE ISLAND,2020,16,,-,7,,5,,7,,,-,5,,,-,,-,RHODE ISLAND,,20201607,POINT (-71.534637 41.572574)
OREGON,2020,16,,-,11,,20,,73,,,-,1,,,-,,-,OREGON,,20201661,POINT (-120.605279 43.940449)
DELAWARE,2020,16,,-,4,,3,,5,,,-,2,,,-,,-,DELAWARE,,20201629,POINT (-75.452394 38.994926)
ALABAMA,2020,16,,-,14,,27,,52,,,N,,NC,,N,,N,ALABAMA,,20201639,POINT (-86.844516 32.756889)
KANSAS,2020,16,1,,9,,12,,30,,,-,5,,,-,1,,KANSAS,,20201622,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,16,,-,10,,39,,64,,,-,31,,,-,3,,NORTH CAROLINA,,20201634,POINT (-79.130883 35.52603)
GUAM,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201666,POINT (144.653198 13.3532)
NEW JERSEY,2020,16,,-,18,,28,,54,,,-,48,,1,,3,,NEW JERSEY,,20201610,POINT (-74.655514 40.110253)
NEW MEXICO,2020,16,,-,7,,13,,10,,,-,4,,,-,,-,NEW MEXICO,,20201654,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,16,7,,111,,272,,463,,,-,121,,7,,9,,,EAST NORTH CENTRAL,20201614,
TENNESSEE,2020,16,,-,13,,46,,54,,,-,17,,2,,1,,TENNESSEE,,20201642,POINT (-86.343226 35.842998)
CONNECTICUT,2020,16,,-,5,,7,,25,,,-,26,,,-,1,,CONNECTICUT,,20201603,POINT (-72.738288 41.575155)
MARYLAND,2020,16,,-,6,,28,,17,,,-,78,,3,,3,,MARYLAND,,20201633,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,16,1,,7,,24,,29,,,-,4,,,-,,-,SOUTH CAROLINA,,20201635,POINT (-80.864614 33.878572)
OKLAHOMA,2020,16,,-,10,,26,,28,,,N,,NC,,N,,N,OKLAHOMA,,20201646,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201665,POINT (145.725693 15.1834)
OHIO,2020,16,3,,32,,131,,142,,,-,37,,4,,,-,OHIO,,20201618,POINT (-82.70936 40.415534)
MINNESOTA,2020,16,,-,26,,,-,81,,,-,36,,,-,4,,MINNESOTA,,20201623,POINT (-94.198308 46.349153)
LOUISIANA,2020,16,1,,18,,6,,67,,,-,14,,,-,,-,LOUISIANA,,20201645,POINT (-91.840238 30.921314)
HAWAII,2020,16,,-,1,,1,,2,,,-,0,,,-,,-,HAWAII,,20201660,POINT (-157.854309 21.361013)
PENNSYLVANIA,2020,16,2,,21,,89,,107,,,N,,NC,,N,,N,PENNSYLVANIA,,20201613,POINT (-77.838886 40.896694)
UTAH,2020,16,,-,14,,34,,55,,,-,3,,,-,1,,UTAH,,20201655,POINT (-111.678222 39.323779)
COLORADO,2020,16,,-,14,,37,,41,,,-,10,,1,,,-,COLORADO,,20201650,POINT (-105.547832 38.998552)
VERMONT,2020,16,,-,2,,8,,11,,,-,5,,,-,,-,VERMONT,,20201608,POINT (-72.662695 44.075252)
KENTUCKY,2020,16,,-,21,,1,,40,,,-,0,,,-,,-,KENTUCKY,,20201640,POINT (-85.290484 37.526683)
PUERTO RICO,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20201667,POINT (-66.414655 18.215692)
MAINE,2020,16,1,,12,,5,,7,,,-,0,,,-,,-,MAINE,,20201604,POINT (-69.06137 45.117911)
VIRGINIA,2020,16,,-,51,,72,,85,,,-,47,,2,,,-,VIRGINIA,,20201636,POINT (-78.666382 37.510861)
ARIZONA,2020,16,1,,8,,24,,29,,,-,5,,,-,1,,ARIZONA,,20201649,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,16,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20201664,
WISCONSIN,2020,16,4,,42,,77,,147,,,-,28,,2,,3,,WISCONSIN,,20201619,POINT (-89.732969 44.639954)
IDAHO,2020,16,,-,10,,7,,29,,,N,,NC,,N,,N,IDAHO,,20201651,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201668,POINT (-64.840836 18.060868)
MICHIGAN,2020,16,,-,20,,35,,90,,,-,69,,,-,1,,MICHIGAN,,20201617,POINT (-85.730977 44.874798)
GEORGIA,2020,16,,-,23,,54,,67,,,-,14,,,-,2,,GEORGIA,,20201632,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,16,,-,19,,58,,80,,,-,44,,,-,5,,,NEW YORK CITY,20201612,
ARKANSAS,2020,16,,-,9,,16,,31,,,-,7,,,-,,-,ARKANSAS,,20201644,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,16,,-,8,,13,,19,,,N,,NC,,N,,N,MISSISSIPPI,,20201641,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,16,,-,11,,14,,40,,,-,6,,,-,,-,SOUTH DAKOTA,,20201627,POINT (-100.230491 44.43614)
WYOMING,2020,16,,-,5,,4,,6,,,-,1,,,-,,-,WYOMING,,20201656,POINT (-107.55145 42.999627)
MISSOURI,2020,16,,-,24,,38,,54,,,-,16,,,-,2,,MISSOURI,,20201624,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,16,3,,70,,254,,312,,,-,160,,2,,9,,,MIDDLE ATLANTIC,20201609,
CALIFORNIA,2020,16,,-,28,,89,,142,,,-,8,,1,,4,,CALIFORNIA,,20201659,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,16,,-,4,,,-,17,,,-,2,,,-,,-,WEST VIRGINIA,,20201637,POINT (-80.613729 38.642579)
FLORIDA,2020,16,,-,21,,93,,176,,,-,114,,1,,3,,FLORIDA,,20201631,POINT (-82.420978 28.260731)
MONTANA,2020,16,,-,5,,10,,14,,,-,1,,,-,1,,MONTANA,,20201652,POINT (-109.645127 47.033521)
TOTAL,2020,6,49,,434,,550,,948,,,-,548,,9,,10,,,TOTAL,20200670,
MASSACHUSETTS,2020,4,1,,15,,11,,19,,,-,60,,,-,,-,MASSACHUSETTS,,20200405,POINT (-71.481104 42.151077)
MIDDLE ATLANTIC,2020,4,14,,54,,50,,57,,,-,115,,1,,,-,,MIDDLE ATLANTIC,20200409,
NEW YORK CITY,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20200412,
INDIANA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20200416,POINT (-86.2818 39.919991)
MICHIGAN,2020,4,,-,20,,,-,22,,,-,69,,,-,,-,MICHIGAN,,20200417,POINT (-85.730977 44.874798)
WEST NORTH CENTRAL,2020,4,,-,51,,29,,65,,,-,60,,,-,1,,,WEST NORTH CENTRAL,20200420,
MISSOURI,2020,4,,-,24,,6,,14,,,-,16,,,-,1,,MISSOURI,,20200424,POINT (-92.477244 38.3675)
SOUTH DAKOTA,2020,4,,-,11,,,-,7,,,-,6,,,-,,-,SOUTH DAKOTA,,20200427,POINT (-100.230491 44.43614)
FLORIDA,2020,4,,-,21,,,-,38,,,-,114,,,-,1,,FLORIDA,,20200431,POINT (-82.420978 28.260731)
GEORGIA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,GEORGIA,,20200432,POINT (-83.426574 32.638481)
WEST VIRGINIA,2020,4,,-,4,,,-,6,,,-,2,,,-,,-,WEST VIRGINIA,,20200437,POINT (-80.613729 38.642579)
MISSISSIPPI,2020,4,,-,8,,5,,1,,,N,,NC,,N,,N,MISSISSIPPI,,20200441,POINT (-89.65344 32.713378)
ARKANSAS,2020,4,1,,9,,5,,2,,,-,7,,,-,,-,ARKANSAS,,20200444,POINT (-92.439162 34.899825)
MOUNTAIN,2020,4,7,,34,,37,,37,,,-,15,,,-,,-,,MOUNTAIN,20200448,
MONTANA,2020,4,,-,5,,4,,1,,,-,1,,,-,,-,MONTANA,,20200452,POINT (-109.645127 47.033521)
WYOMING,2020,4,,-,5,,,-,1,,,-,1,,,-,,-,WYOMING,,20200456,POINT (-107.55145 42.999627)
CALIFORNIA,2020,4,3,,28,,25,,39,,,-,8,,,-,1,,CALIFORNIA,,20200459,POINT (-119.662127 37.211164)
US TERRITORIES,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200463,
NON-US RESIDENTS,2020,4,,-,2,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200469,
TOTAL,2020,5,51,,433,,450,,796,,,-,547,,9,,7,,,TOTAL,20200570,
US RESIDENTS,2020,5,51,,433,,450,,796,,,-,547,,9,,7,,,US RESIDENTS,20200501,
NEW HAMPSHIRE,2020,5,,-,4,,1,,12,,,-,2,,,-,,-,NEW HAMPSHIRE,,20200506,POINT (-71.57139 43.680429)
NEW YORK,2020,5,11,,27,,35,,16,,,-,85,,,-,,-,NEW YORK,,20200511,POINT (-75.59655 42.921241)
WEST SOUTH CENTRAL,2020,5,4,,69,,33,,68,,,-,127,,,-,1,,,WEST SOUTH CENTRAL,20200543,
NEBRASKA,2020,5,,-,8,,6,,9,,,-,6,,,-,,-,NEBRASKA,,20200525,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,5,1,,45,,24,,50,,,-,17,,,-,,-,,EAST SOUTH CENTRAL,20200538,
NORTH DAKOTA,2020,5,,-,3,,,-,1,,,N,,NC,,N,,N,NORTH DAKOTA,,20200526,POINT (-100.46931 47.446305)
NEVADA,2020,5,,-,4,,2,,3,,,N,,NC,,N,,N,NEVADA,,20200553,POINT (-114.916992 39.283294)
ILLINOIS,2020,5,,-,24,,9,,33,,,-,51,,,-,1,,ILLINOIS,,20200515,POINT (-89.148632 40.124144)
PACIFIC,2020,6,4,,43,,53,,123,,,-,9,,,-,3,,,PACIFIC,20200657,
NEVADA,2020,6,,-,4,,2,,4,,,N,,NC,,N,,N,NEVADA,,20200653,POINT (-114.916992 39.283294)
TEXAS,2020,5,3,,55,,17,,39,,,-,119,,,-,1,,TEXAS,,20200547,POINT (-99.317341 31.447238)
ALASKA,2020,5,,-,2,,,-,,-,,-,0,,,-,,-,ALASKA,,20200558,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,5,,-,1,,,-,3,,,-,11,,,-,,-,DISTRICT OF COLUMBIA,,20200530,POINT (-77.016275 38.904785)
WASHINGTON,2020,5,3,,10,,11,,22,,,-,4,,,-,1,,WASHINGTON,,20200562,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,5,1,,26,,23,,49,,,-,91,,,-,,-,,NEW ENGLAND,20200502,
RHODE ISLAND,2020,5,,-,7,,3,,2,,,-,5,,,-,,-,RHODE ISLAND,,20200507,POINT (-71.534637 41.572574)
OREGON,2020,5,,-,11,,5,,31,,,-,1,,,-,,-,OREGON,,20200561,POINT (-120.605279 43.940449)
DELAWARE,2020,5,,-,4,,2,,1,,,-,2,,,-,,-,DELAWARE,,20200529,POINT (-75.452394 38.994926)
ALABAMA,2020,5,,-,14,,11,,18,,,N,,NC,,N,,N,ALABAMA,,20200539,POINT (-86.844516 32.756889)
KANSAS,2020,5,,-,4,,,-,7,,,-,2,,,-,,-,KANSAS,,20200522,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,5,,-,10,,10,,22,,,-,31,,,-,1,,NORTH CAROLINA,,20200534,POINT (-79.130883 35.52603)
NEW JERSEY,2020,5,,-,18,,10,,18,,,-,48,,1,,,-,NEW JERSEY,,20200510,POINT (-74.655514 40.110253)
NEW MEXICO,2020,5,,-,8,,5,,4,,,-,4,,,-,,-,NEW MEXICO,,20200554,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,5,12,,111,,93,,139,,,-,121,,5,,1,,,EAST NORTH CENTRAL,20200514,
TENNESSEE,2020,5,,-,13,,7,,13,,,-,17,,,-,,-,TENNESSEE,,20200542,POINT (-86.343226 35.842998)
CONNECTICUT,2020,5,,-,5,,,-,10,,,-,26,,,-,,-,CONNECTICUT,,20200503,POINT (-72.738288 41.575155)
MARYLAND,2020,5,4,,6,,9,,4,,,-,78,,2,,,-,MARYLAND,,20200533,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,5,2,,7,,6,,6,,,-,4,,,-,,-,SOUTH CAROLINA,,20200535,POINT (-80.864614 33.878572)
OKLAHOMA,2020,5,1,,10,,7,,9,,,N,,NC,,N,,N,OKLAHOMA,,20200546,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200565,POINT (145.725693 15.1834)
OHIO,2020,5,9,,32,,54,,39,,,-,37,,4,,,-,OHIO,,20200518,POINT (-82.70936 40.415534)
MINNESOTA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200523,POINT (-94.198308 46.349153)
LOUISIANA,2020,5,,-,18,,4,,17,,,-,14,,,-,,-,LOUISIANA,,20200545,POINT (-91.840238 30.921314)
HAWAII,2020,5,,-,1,,,-,1,,,-,0,,,-,,-,HAWAII,,20200560,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,5,11,,79,,53,,143,,,-,220,,3,,2,,,SOUTH ATLANTIC,20200528,
PENNSYLVANIA,2020,5,5,,21,,32,,42,,,N,,NC,,N,,N,PENNSYLVANIA,,20200513,POINT (-77.838886 40.896694)
UTAH,2020,5,,-,14,,8,,12,,,-,3,,,-,,-,UTAH,,20200555,POINT (-111.678222 39.323779)
COLORADO,2020,5,,-,14,,12,,7,,,-,10,,,-,,-,COLORADO,,20200550,POINT (-105.547832 38.998552)
VERMONT,2020,5,,-,3,,3,,3,,,-,5,,,-,,-,VERMONT,,20200508,POINT (-72.662695 44.075252)
KENTUCKY,2020,5,,-,21,,,-,17,,,-,0,,,-,,-,KENTUCKY,,20200540,POINT (-85.290484 37.526683)
PUERTO RICO,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200567,POINT (-66.414655 18.215692)
MAINE,2020,5,,-,12,,3,,1,,,-,0,,,-,,-,MAINE,,20200504,POINT (-69.06137 45.117911)
VIRGINIA,2020,5,5,,51,,26,,19,,,-,47,,1,,,-,VIRGINIA,,20200536,POINT (-78.666382 37.510861)
ARIZONA,2020,5,1,,8,,7,,13,,,-,5,,,-,,-,ARIZONA,,20200549,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,5,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20200564,
WISCONSIN,2020,5,3,,40,,24,,38,,,-,28,,1,,,-,WISCONSIN,,20200519,POINT (-89.732969 44.639954)
IDAHO,2020,5,,-,10,,5,,8,,,N,,NC,,N,,N,IDAHO,,20200551,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200568,POINT (-64.840836 18.060868)
MICHIGAN,2020,5,,-,20,,6,,29,,,-,69,,,-,,-,MICHIGAN,,20200517,POINT (-85.730977 44.874798)
GEORGIA,2020,5,,-,23,,,-,24,,,-,14,,,-,,-,GEORGIA,,20200532,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,5,,-,19,,24,,34,,,-,44,,,-,,-,,NEW YORK CITY,20200512,
ARKANSAS,2020,5,,-,9,,5,,3,,,-,7,,,-,,-,ARKANSAS,,20200544,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,5,1,,8,,6,,2,,,N,,NC,,N,,N,MISSISSIPPI,,20200541,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,5,,-,11,,3,,7,,,-,6,,,-,,-,SOUTH DAKOTA,,20200527,POINT (-100.230491 44.43614)
WYOMING,2020,5,,-,5,,,-,2,,,-,1,,,-,,-,WYOMING,,20200556,POINT (-107.55145 42.999627)
MISSOURI,2020,5,,-,24,,6,,16,,,-,16,,,-,1,,MISSOURI,,20200524,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,5,16,,70,,101,,110,,,-,159,,1,,,-,,MIDDLE ATLANTIC,20200509,
CALIFORNIA,2020,5,2,,28,,31,,53,,,-,8,,,-,1,,CALIFORNIA,,20200559,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,5,,-,4,,,-,8,,,-,2,,,-,,-,WEST VIRGINIA,,20200537,POINT (-80.613729 38.642579)
FLORIDA,2020,5,,-,21,,,-,56,,,-,114,,,-,1,,FLORIDA,,20200531,POINT (-82.420978 28.260731)
