County,Market Name,Location,Address Line 1,City,State,Zip,Contact,Phone,Market Link,Operation Hours,Operation Season,Operating Months,FMNP,SNAP,FCC Issued,FCC Accepted,Latitude,Longitude,Georeference
Kings,Bushwick Bethel Farm Stand,215 Cooper St. Brooklyn,215 Cooper St.,Brooklyn,NY,11207,Novelette Scott,7188210254,http://www.bushwickfarmersmarket.org,Thursday  10pm-3pm,May 23-November 21,P/M,Y,Y,N,Y,40.6898,-73.9056,"(40.6898, -73.9056)"
Erie,Eastgate Farmers' Market,4927-5089 Transit Road   Clarence,4927-5089 Transit Road,Clarence,NY,14221,Julie Fix-Minchen,7168789628,,Wednesday  3pm-7pm,June 17-October 14,M,N,N,N,Y,42.9861,-78.69691,"(42.9861, -78.69691)"
Monroe,The Mall at Greece Ridge Thu Farmers' Market,271 Greece Ridge Center Drive  Rochester,271 Greece Ridge Center Drive,Rochester,NY,14626,Melanie Fazio,5852251140,http://www.themallatgreeceridge.com,Thursday  8am-3pm,June 11-October 29,M,Y,N,N,Y,43.20677,-77.69406,"(43.20677, -77.69406)"
Oneida,Clinton Farmers' Market,Village Green  21 West Park Row,21 West Park Row,Clinton,NY,13323,Jackie Walters,3158531735,http://www.clintonnychamber.org,Thursday  10am-4pm,June 4-October 1,M,Y,Y,N,Y,43.04932,-75.37881,"(43.04932, -75.37881)"
Orleans,Canal Village Farmers' Market,127 W Center St. Medina,127 W Center St.,Medina,NY,14103,Gail Miller,5857983904,http://www.facebook.com/Canal-Village-Farmers-Market-1628793180740256,"Sat  9am-2pm Jun-Oct  , Winter: hours change",June 6 - Oct 31,P/M/W/X,N,N,Y,Y,43.220217,-78.38851,"(43.220217, -78.38851)"
Albany,Veggie Mobile Sprout-Robert Whalen,305 Colonie Street Albany,305 Colonie Street,Albany,NY,12210,Audrey Bridge,5182748685,http://www.capitalroots.org,Wed 11:15am-12pm,Year-round,YR,N,Y,Y,Y,42.66338,-73.75595,"(42.66338, -73.75595)"
Erie,Clinton Bailey Thurs Farmers' Market,1443-1517 Clinton St. Buffalo,Bailey Ave and Clinton St,Buffalo,NY,14206,Sharon Baldi,7162080003,http://www.clintonbaileymarket.com,Thurday  4am-6pm,May 1-October 31,P/M,N,Y,N,Y,42.87206,-78.81997,"(42.87206, -78.81997)"
New York,97th Street Greenmarket,125 W 97th St. btwn Amsterdam & Columbus Aves.,West 97th St and Columbus Ave,New York,NY,10025,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/manhattan/west-97,Friday  8am-2pm,Year-round,YR,N,Y,N,Y,40.79356,-73.96701,"(40.79356, -73.96701)"
Seneca,Ovid Farmers Market,Main Street Ovid at Three Bears Park,Main Street,Ovid,NY,14521,Patti Paine Battley,3155399251,,Friday 3pm-7pm,June 19-September 25,M,N,Y,N,Y,42.67552,-76.82293,"(42.67552, -76.82293)"
Wyoming,Farm & Artisan Market at the Villa,Artisan Villa  140 North Main St.  Warsaw,140 North Main Street,Warsaw,NY,14569,Lisa Seewaldt,5857868766,http://www.marketatthevilla.com,Wednesday  2pm-6pm,June 10-September 30,M,Y,N,N,Y,42.74311,-78.13256,"(42.74311, -78.13256)"
Niagara,Niagara Falls City Friday Market,19th St. & Pine Ave.,1800-1808 Pine Ave,Niagara Falls,NY,14301,Victor Muto,7167540798,,Friday  9am-3pm,Year-round,YR,Y,N,N,Y,43.09513,-79.03972,"(43.09513, -79.03972)"
Madison,Cottage Lawn Farmers' Market,"435 Main St. Oneida, Madison Co. Historical Society",435 Main St.,Oneida,NY,13421,Colleen Donahue,3153634136,http://www.mchsfarmersmarket.org/,Tuesday  3pm-7pm,May 26-September 1,P/M,Y,N,N,Y,43.08719,-75.64705,"(43.08719, -75.64705)"
Albany,Veggie Mobile-Center for Disability,700 South Pearl Street Albany,700 South Pearl Street,Albany,NY,12202,Audrey Bridge,5182748685,http://www.capitalroots.org,Tue 12:15pm-1pm,Year-round,YR,N,Y,Y,Y,42.63003,-73.76585,"(42.63003, -73.76585)"
St. Lawrence,Gouverneur Farmers' Market,East Main Street Park,East Main Street and Village Park,Gouverneur,NY,13642,Donna Besaw,3152870331,http://www.gouverneurchamber.net,Thursday  9am-2pm,June 5-October 29,M,Y,Y,N,Y,44.33871,-75.45766,"(44.33871, -75.45766)"
St. Lawrence,Canton Tuesday Farmers' Market,Village Green Park 17 Park st at Main St.,Main St and Park St,Canton,NY,13617,Elizabeth Parson,3156048133,https://www.facebook.com/CantonNYFarmersMarket/,Tuesday  9am-2pm,May 12-October 27,P/M,N,Y,N,Y,44.59564,-75.16921,"(44.59564, -75.16921)"
Cayuga,Owen Orchards Farm Stand,8174 Grant Ave.  Weedsport,8174 Grant Ave.,Weedsport,NY,13166,Gordon Tripp,3152524097,http://www.owenorchard.com,"Mon-Sat  9am-7pm, Sunday  9am-6pm",August 1-March 30,M/X/W/P,N,Y,N,Y,43.01314,-76.50749,"(43.01314, -76.50749)"
Franklin,Malone Farmers' Market,27 Airport Rd. (Rte 11)  Pavilion at Marcy Airfield,27 Airport Road,Malone,NY,12953,Dick Crawford,5185634777,http://www.adirondackfarmersmarket.com,Wed  12pm-4:30pm,May 27-October 7,P/M,Y,N,N,Y,44.84733,-74.32773,"(44.84733, -74.32773)"
Rensselaer,Veggie Mobile Sprout-Monument Square Apt,1st Street #1,1st Street #1,Troy,NY,12180,Audrey Bridge,5182748685,http://www.captialroots.org,Tuesday 12:15pm-12:45pm,Year-round,YR,N,Y,Y,Y,42.73123,-73.69261,"(42.73123, -73.69261)"
Greene,Fromer Market Gardens Farm Stand,6120 Main St.  Tannersville,6120 Main Street,Tannersville,NY,12485,Becky Kempter,9165993136,,Saturdays  9am-3pm,Year-round,YR,N,N,N,Y,42.19546,-74.13889,"(42.19546, -74.13889)"
Kings,Bushwick Maria Hernandez Pk Farmers' Market,Knickerbocker Ave @ Starr & Suydam,Knickerbocker Avenue,Brooklyn,NY,11206,Novelette Scott,7188210254,http://www.riseboro.org,Saturday  9am-3pm,May 16-November 28,P/M,Y,Y,N,Y,40.70257,-73.92497,"(40.70257, -73.92497)"
Suffolk,Babylon Village Farmers' Market,"LIRR Babylon Station parking lot, 51 South Railorad Ave",51 Railroad Avenue,Babylon,NY,11702,Lona Graepel,6319442661,http://www.longislandfarmersmarkets.com,Sunday  8am-12:30pm,June 7-November 22,M,N,Y,N,Y,40.69992,-73.3245,"(40.69992, -73.3245)"
Kings,Fort Greene Park Greenmarket,Washington Park btwn Dekalb Ave. & Willoughby St.,Washington Park and DeKalb Ave,Brooklyn,NY,11205,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/brooklyn/fort-greene,Saturday  8am-3pm,Year-round,YR,N,Y,N,Y,40.68962,-73.97313,"(40.68962, -73.97313)"
Broome,CHOW MM-Binghmaton Plaza,33 W State St. Binghamton,33 W State st.,Binghamton,NY,13901,Jack Seman,6077249130,http://www.broomecouncil.net,Mon/Fri 1pm-2pm,Year-round,YR,N,Y,N,Y,42.10925,-75.90552,"(42.10925, -75.90552)"
Tompkins,Ithaca WINTER Farmers' Market,"The Space@GreenStar, 700 West Buffalo St. Ithaca",700 West Buffalo St.,Ithaca,NY,14850,Becca Rimmel,6072737109,http://www.ithacamarket.com,Saturday  10:30am-2pm,January 5-March 30,W,N,Y,N,Y,42.44097,-76.51093,"(42.44097, -76.51093)"
Allegany,White Valley Farm Stand,381 Heselton Rd. Whitesville,381 Heselton Road,Whitesville,NY,14897,Justin Ellison,5858086061,,Saturday 12pm-5pm,June 1-November 1,M,Y,N,N,Y,42.01631,-77.84727,"(42.01631, -77.84727)"
Onondaga,Gillie Brook Farm Stand,6147 Gillie Brook Rd.  Memphis,6147 Gillie Brook Road,Memphis,NY,13112,Robert Nogash,3156723706,http://www.gilliefarms.com,Sun 10am-3pm,April-December,P/M/X,N,Y,N,Y,43.07172,-76.35375,"(43.07172, -76.35375)"
Orange,Port Jervis Farmers' Market,100 Pike St. Farmers Market Square,100 Pike Street,Port Jervis,NY,12771,Sarah Worthy,8458005130,http://www.pjfarmmarket.com,Saturday  10am-2pm,June 6-October 3,M,Y,Y,N,Y,41.37555,-74.69237,"(41.37555, -74.69237)"
Putnam,Hudson Valley Regional Farmers' Market,15 Mt Ebo Rd South Brewster,15 Mt Ebo Drive,Brewster,NY,10509,Melissa Kamin,8458789078,http://www.hudsonvalleyfarmersmarket.org,Sunday  10am-2pm,Year-round,YR,N,N,N,Y,41.43416,-73.57263,"(41.43416, -73.57263)"
Westchester,Hastings WINTER Farmers' Market,"134 Southside Ave, Hastings-On-Hudson , Hastings Train Station parking lot",134 Southside Ave,Hastings on Huds,NY,10706,Pascale Le Draoulec,9148063380,http://www.hastingsfarmersmarket.org,Saturday 830am-130pm,Dec 7-May 23,X/W/P,N,Y,N,Y,40.9943,-73.88424,"(40.9943, -73.88424)"
Bronx,170 Farm Stand,1406 Townsend Ave. and 170th St.,1406 Townsend Ave. and 170th Street,Bronx,NY,10452,Theresa Conk,7187168000,http://www.newsettlement.org/170FarmStand,Wednesday  2:30-6:30pm,July 15-November 25,M,Y,Y,N,Y,40.84009,-73.9166,"(40.84009, -73.9166)"
Allegany,Riverside Farms Farm Market,3314 Riverside Drive  Scio,3314 Riverside Drive,Scio,NY,14895,Stephen Demarte,7165605594,,"Mon-Fri  10am-7pm, Saturday  10am-8pm, Sunday  12pm-6pm",April-December,P/M/X,N,N,N,Y,42.14093,-77.97553,"(42.14093, -77.97553)"
New York,Abingdon Square Greenmarket,601 Hudson St. at W 12th St.,Hudson St and W 12 St,New York,NY,10014,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/manhattan/abingdon-square,Saturday  8am-2pm,Year-round,YR,N,Y,N,Y,40.73755,-74.00568,"(40.73755, -74.00568)"
Steuben,Painted Post WINTER Market,304 South Hamilton St,227 Steuben Street,Painted Post,NY,14870,Cathy Halm,6075278730,http://www.facebook.com/paintedpostfarmersmarket,1st and 3rd Sat  11am-3pm,"November 2-March 21,2020",M/X/W/P,N,N,N,Y,42.16067,-77.09283,"(42.16067, -77.09283)"
Cattaraugus,Salamanca Farmers' Market,768 Broad St,768 Broad St,Salamanca,NY,14779,Rachael Ferguson,7168608419,,Tuesday  11am-5pm,May 26-October 13,P/M,N,Y,N,Y,42.15497,-78.71739,"(42.15497, -78.71739)"
Albany,Harriman State Campus Farmers' Market,"Harriman State Office Campus, behind Bldg. 8A Albany",1366 Washington Ave.,Albany,NY,12203,Nicholas DeBlois,5184863966,http://empirestateplaza.ny.gov,Thursday  10am-2pm,May 7-October 8,P/M,N,N,N,Y,42.678038,-73.809942,"(42.678038, -73.809942)"
Kings,Grand Army Plaza Greenmarket,Flatbush Ave. & Prospect Park West,Flatbush Ave and Grand Army Plaza,Brooklyn,NY,11238,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/brooklyn-grand-army-plaza,Saturday  8am-4pm,Year-round,YR,N,Y,N,Y,40.67412,-73.9695,"(40.67412, -73.9695)"
Schoharie,Barber Family Farm Stand,3617 State Route 30 Middleburgh,3617 State Route 30,Fulton,NY,12122,Sarah Hooper,5188275454,http://www.barbersfarm.com,"Daily 9am-5:30pm, (January-May, Sat/Sun 9am-3pm)",Year-round,YR,Y,Y,N,Y,42.58123,-74.39189,"(42.58123, -74.39189)"
Erie,Huntington Farm Stand II,11503 Main Street Clarence,11503 Main Street,Clarence,NY,14031,Dan Huntington,7163930590,,Daily 11am-7pm,June-October,M,N,N,N,Y,42.98909,-78.55762,"(42.98909, -78.55762)"
Erie,Hamburg Farmers' Market,Village municipal parking lot at Main & Buffalo Sts. (enter on Main & Union Sts),30 Buffalo St,Hamburg,NY,14075,Jamie Decker,7166497917,http://www.southtownsregionalchamber.org/explore-hamburg/farmers-market,Saturday  7:30am-1pm,May 2-October 31,P/M,Y,N,N,Y,42.71677,-78.82994,"(42.71677, -78.82994)"
Rensselaer,Veggie Mobile Sprout-Patroons  Dorp Apts,Fowler Ave. & First St. Rensselaer,fowler ave and first street,Rensselaer,NY,12144,Audrey Bridge,5182748685,http://www.capitalroots.org,Tue 3:15pm-4pm,Year-round,YR,N,Y,Y,Y,42.65482,-73.73432,"(42.65482, -73.73432)"
Saratoga,Spa City Sunday Farmers' Market,"65 S Broadway Saratoga Spa St Pk, Lincoln Bath House Building",65 South Broadway,Saratoga Springs,NY,12866,Michael Greenslade,5185842000,http://www.spacityfarmersmarket.com,Sundays  10am-2pm,Year-round,YR,N,N,N,Y,43.06474,-73.78876,"(43.06474, -73.78876)"
Lewis,Lewis Co. General Hospital Farmers' Market,"7785 N. State St.  Lowville, Children's Clinic  parking lot",7785 North State St,Lowville,NY,13367,Tina Schell,3153765087,http://www.lcgh.net,Thursday  11am-4pm,June 11-October 1,M,Y,N,N,Y,43.79599,-75.49832,"(43.79599, -75.49832)"
Herkimer,Salisbury Farmers' Market,"126 State Route 29A Salibury Center, Town Hall Parking Lot",126 State Route 29A,Salisbury Center,NY,13329,Gina Thompson,3154299102,http://www.facebook.com/salisburyfarmersmarket13454/,Friday  9am-1pm,May 22-October 9,P/M,N,N,N,Y,43.14304,-74.78544,"(43.14304, -74.78544)"
Bronx,BronxWorks Farm Stand,1130 Grand Concourse,1130 Grand Concourse,Bronx,NY,10456,Rachel Gill,7185083156,,Thursday  10am-4pm,July 9-November 19,M,N,N,N,Y,40.83256,-73.9192,"(40.83256, -73.9192)"
Kings,Brooklyn Borough Hall Tuesday Greenmarket,211 Montague St. Supreme Court Plaza,Court St and Montague St,Brooklyn,NY,11201,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/brooklyn/boro-hall-sa,Tuesday  8am-4pm,Year-round,YR,N,Y,N,Y,40.69374,-73.99043,"(40.69374, -73.99043)"
Albany,Lansing Farm Market,204 LishaKill Rd Niskayuna,204 LishaKill,Niskayuna,NY,12309,Al Or Jessica Lansing,5184640889,http://www.lansingfarmmarket.com,Daily 9am-5pm,May 1-November 20,P/M,Y,N,N,Y,42.7629,-73.85447,"(42.7629, -73.85447)"
Ulster,Kingston Farmers' Market,Old Dutch Church 272 Wall Street,Wall St and John St,Kingston,NY,12401,Laura Crimmins,6462624672,http://www.kingstonfarmersmarket.org,Saturday  9am-2pm,May 9-November 21,P/M,Y,Y,Y,Y,41.93384,-74.01968,"(41.93384, -74.01968)"
Broome,CHOW MM-ABC Apartments,100 Chenango St. Binghamton,100 Chenango St,Binghamton,NY,13901,Jack Seman,6077249130,http://www.broomecouncil.net,Tuesday 11:30am-1pm,Year-round,YR,N,Y,N,Y,42.10179,-75.90955,"(42.10179, -75.90955)"
Cortland,Cortland Tues Farmers Market,Main St. btwn Court & Orchard Sts.,Main St and Orchard St,Cortland,NY,13045,Laura Morak,6077588332,,Tuesday 8am-2pm,May 19-October 27,M,Y,Y,N,Y,42.60028,-76.18044,"(42.60028, -76.18044)"
Onondaga,Central NY Sunday Regional Market Authority,2100 Park St. Syracuse,2100 Park Street,Syracuse,NY,13208,Amanda Vitale,3154228647,http://www.cnyrma.com,Sunday  7am-2pm,Year-round,YR,N,Y,Y,Y,43.07269,-76.16835,"(43.07269, -76.16835)"
Tompkins,Brooktondale Farmers' Market,"Brooktondale Community Center, 522 Valley Rd. Brooktondale",522 Brooktondale Road,Brooktondale,NY,14817,Barbara Perrone,6075393244,http://bccmarket.wordpress.com,Tuesday  4pm-7pm,June 4-September 24,M,Y,N,N,Y,42.38185,-76.39376,"(42.38185, -76.39376)"
Queens,Queens County Farm-Jamaica Hospital,8900 Van Wyck Expessway Richmond Hill,8900 Van Wyck Expessway,Richmond Hill,NY,11418,Anne Mastrogiacomo,7183473276,,Friday 10am-3pm,June 13-November 14,M,N,N,N,Y,40.70133,-73.81631,"(40.70133, -73.81631)"
Greene,Stoneledge Farm Stand,145 Garcia Lane Leeds,145 Garcia Lane,Leeds,NY,12451,Candice Kavakos,5182429286,http://www.stoneledge.farm,Sat/Sun 9am-3pm,June 6-October 11,M,Y,N,N,Y,42.27878,-73.95216,"(42.27878, -73.95216)"
Nassau,Braydon's Garden Farm Stand,328 North Main St. Salem,328 North Main St,Salem,NY,12865,Lisa Hunt,5187426647,,Daily 9am-7pm,May 1-November 1,P/M,Y,N,N,Y,43.18091,-73.3259,"(43.18091, -73.3259)"
Onondaga,Skaeneateles Farmer's Market-Saturday,1 East Austin St. Austin Park Pavilion,1 East Austin Street,Pavilion,NY,13152,Sue Murphy,3157279320,https://www.townofskaneateles.com/,Saturday 10am-1pm,May 23-October 17,P/M,Y,N,N,Y,42.95091,-76.43045,"(42.95091, -76.43045)"
Cayuga,Auburn Sat Farmers' Co-op Market,96 State Street  Curley's Restaurant Pkg Lot,96 State Street,Auburn,NY,13021,Mark Soper,3157048609,http://www.auburnfarmerscoopmarketinc.com,Sat  7am-2pm,June 6-October 31,M,Y,Y,N,Y,42.93406,-76.56985,"(42.93406, -76.56985)"
Otsego,Richfield Springs Area Sat Farmers' Market,"Spring Park Main St. (Rt. 20), across from Post Office",Main St and Church St,Richfield Springs,NY,13439,Ronald Bayzon,3158582703,,Saturday  8am-1pm,June 20-October 31,M,Y,N,N,Y,42.85359,-74.98476,"(42.85359, -74.98476)"
Clinton,Rouses Point Farmers' Market,Dodge Memorial Library 144 Lake St.,144 Lake Street,Rouses Point,NY,12979,Jim Rabideau,5182983878,http://www.facebook.com/events/1127448587272536/,Friday  3pm-7pm,June 19-September 4,M,N,N,N,Y,44.99029,-73.36438,"(44.99029, -73.36438)"
Niagara,Human Farms & Greenhouse,2853 Hess Rd. Appleton,2853 Hess Rd,Appleton,NY,14008,JoMarie Human,7165312820,,Daily 9a-5p,June 1-December 31,M/X,Y,Y,N,Y,43.27537,-78.64954,"(43.27537, -78.64954)"
Bronx,Harvest Home Co-op City Farm Stand,Asch Loop & Aldrich Ave.,199 Aldrich St.,Bronx,NY,10475,Maritza Owens,2128283361,http://www.harvesthomefm.org,Wednesday  8am-4pm,June 3-November 25,M,Y,Y,N,Y,40.87025,-73.83097,"(40.87025, -73.83097)"
Monroe,Westside Farmers' Market,"St. Monica's Church parking lot, 831 Genesee St. Rochester",831 Genesee St,Rochester,NY,14611,Jackie Farrell,5854368999,http://www.westsidemarketrochester.com,Tuesday  4pm-7pm,June 9-October 13,M,N,Y,N,Y,43.134058,-77.636523,"(43.134058, -77.636523)"
Jefferson,Windswept Meadows Farm Stand,17025 Cty Rt 68  Watertown,17025 County Road 68,Watertown,NY,13601,Delta Keeney,3157881933,http://www.keeneyswindsweptmeadowsfarm.com,Daily  7am-8pm,June 26-October 29,M,Y,Y,N,Y,43.91784,-75.87206,"(43.91784, -75.87206)"
Kings,Harvest Home Brower Park Farm Stand,Prospect Place & Brooklyn Ave.,Prospect Place and Brooklyn Ave.,Brooklyn,NY,11213,Maritza Owens,2128283361,http://www.harvesthomefm.org,Thursday  8am-4pm,June 4-November 19,M,Y,Y,N,Y,40.674,-73.94454,"(40.674, -73.94454)"
Putnam,R & G Produce Farm Stand,997 NY Route 22 Brewster,997 NY Route 22,Brewster,NY,10509,Mike Miller,8459817200,,Saturday 8am-3pm,June 7-November 28,M,Y,N,N,Y,41.39785,-73.60218,"(41.39785, -73.60218)"
Schoharie,Jefferson Farmers' Market,221 Cremery St. Jefferson,221 Cremery St.,Jefferson,NY,12093,Carol Bodnar,6076522107,http://www.facebook.com/Jefferson-NY-Farmers-Market-1982994021967209/,Saturday 9am-12pm,May 23-October 10,P/M,Y,N,N,Y,42.48069,-74.6133,"(42.48069, -74.6133)"
Monroe,Irondequoit Farmers' Market,Town Hall Lawn  1280 Titus Ave. Rochester,1280 Titus Ave,Rochester,NY,14617,Don Sinton,5853367060,http://www.irondequoit.org,Thursday  4pm-8pm,May 28-October 15,P/M,Y,Y,N,Y,43.21118,-77.58154,"(43.21118, -77.58154)"
New York,Union Square Friday Greenmarket,"31 Union Square W, NW side of Park",Broadway and East 17th St,New York,NY,10003,Siobahn Keys,2127887476,https://www.grownyc.org/greenmarket,Friday  8am-4pm,Year-round,YR,N,Y,N,Y,40.73701,-73.99025,"(40.73701, -73.99025)"
Greene,Bulich Creekside Farm Farm Stand,1682 Route 23B  Leeds,1682 Route 23B,Leeds,NY,12451,Ron Bulich,5185885320,,Daily 10am-5pm,July 4-November 5,M,Y,N,N,Y,42.26297,-73.92541,"(42.26297, -73.92541)"
Dutchess,Rhinebeck Farmers' Market,Municipal lot 61 E. Market St.,61 East Market St,Rhinebeck,NY,12572,Andrea Bartolomeo,5188211481,http://www.rhinebeckfarmersmarket.com,Sunday  10am-2pm,May 3-December 27,P/M/X,N,Y,N,Y,41.92704,-73.91027,"(41.92704, -73.91027)"
New York,Harvest Home East Harlem Farmers' Market,E 104th St. & Third Ave.,East 104th St and Third Ave,New York,NY,10029,Maritza Owens,2128283361,http://www.harvesthomefm.org,Thursday  8am-4pm,July 9-November 19,M,Y,Y,N,Y,40.79024,-73.94564,"(40.79024, -73.94564)"
Erie,Clinton Bailey Sun Farmers' Market,1443-1517 Clinton St. Buffalo,Bailey Ave and Clinton St,Buffalo,NY,14206,Sharon Baldi,7162080003,http://www.clintonbaileymarket.com,Sunday 7am-5pm,May 2-October 31,P/M,N,Y,N,Y,42.87206,-78.81997,"(42.87206, -78.81997)"
Richmond,Saint George Greenmarket,35  Hyatt St. at St. Mark's Place Staten Island,St Marks Pl and Hyatt St,Staten Island,NY,10301,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/staten-island/saint-george,Saturday  8am-1pm,Year-round,YR,N,Y,N,Y,40.64159,-74.07791,"(40.64159, -74.07791)"
Clinton,Prays Family Farm Stand-Plattsburgh,605 State Route 3 Plattsburgh,605 State Route 3,Plattsburgh,NY,12944,Darcy Pray,5188349130,,Daily 8:30am-7pm,Year-round,YR,N,N,N,Y,44.6948,-73.5069,"(44.6948, -73.5069)"
Saratoga,Veggie Mobile Sprout-John S. Moore,2 Harris Ave.,2 Harris Avenue,Mechanicville,NY,12118,Audrey Bridge,5182748685,http://www.capitalroots.org,Fri 3pm-3:30pm,Year-round,YR,N,Y,Y,Y,42.89934,-73.69122,"(42.89934, -73.69122)"
Genesee,Genesee Country Tuesday Farmers' Market,Bank St. at Alva Place Batavia,Bank St and Alva Place,Batavia,NY,14020,Sharon Brent,7165600853,,Tuesday 9am-4pm,June 9-October 27,M,Y,Y,N,Y,42.99905,-78.18151,"(42.99905, -78.18151)"
Suffolk,Patchogue (Sun) Farmers' Market,"Division & Ocean St., Patchogue LIRR, East Side Parking Lot",210 S. Ocean Ave.,Patchogue,NY,11772,Ethel Terry,6313233653,http://www.longislandgrowersmarket.com,Sunday  9am-2pm,June 6-November 14,M,Y,N,N,Y,40.76165,-73.01337,"(40.76165, -73.01337)"
Onondaga,Caf? Sankofa Farmers Market,2323 South Salina St. Syracuse,2323 South Salina St.,Syracuse,NY,13205,Marcelle Haddix,3156771538,,Thursday 3pm-6pm,June 11-October 22,M,N,N,N,Y,43.02466,-76.14482,"(43.02466, -76.14482)"
Chautauqua,Jamestown Public Market,Cherry St. btwn W 2nd & W 3rd Sts.,Cherry and West 2nd St,Jamestown,NY,14701,Linnea Carlson,7164893497,http://www.jamestownrenaissance.org,Saturday  10am-2pm,June 6-October 31,M,N,Y,N,Y,42.09567,-79.24234,"(42.09567, -79.24234)"
Monroe,Brightly's Farm Market,525 Drake Rd.  Hamlin,525 Drake Rd.,Hamlin,NY,14464,Betsy Brightly,5856364337,http://www.brightlyfarms.com,"Daily 9am-5pm, delivery options",Year-round,YR,Y,N,N,Y,43.29471,-77.94344,"(43.29471, -77.94344)"
Ontario,Victor Farmers' Market,Village Hall Parking Lot 60 East Main St.,60 East Main St,Victor,NY,14564,Roseanne Turner-Adams,5859243311,http://www.victorny.org,Wednesday  3pm-6pm,June 3-October 28,M,Y,N,N,Y,42.98236,-77.4088,"(42.98236, -77.4088)"
