REGISTRANT_ID,REGISTRANT_FULL_NAME,ENTITY_CD,REGISTRANT_TITLE,REGISTRANT_FIRST_NAME,REGISTRANT_MI,REGISTRANT_LAST_NAME,REGISTRANT_SUFFIX,EMPLOYER,REGISTRATION_DATE,RENEWAL_DATE,TERMINATION_DATE,REGISTERED_BY
RG0103,"Isaja, Joseph",Individual,,Joseph,,Isaja,,"Stantec Consulting Services, Inc.",07/10/2017 12:00:00 AM,,04/09/2019 12:00:00 AM,RG0089
RG0104,"Ehlers, Laci M.",Individual,Ms.,Laci,M.,Ehlers,,"McLean & Howard, L. L. P.",07/10/2017 12:00:00 AM,,,RG0099
RG0105,"Graves, Dougherty, Hearon & Moody, P.C.",Entity,,,,"Graves, Dougherty, Hearon & Moody, P.C.",,"Graves, Dougherty, Hearon & Moody, P.C.",07/10/2017 12:00:00 AM,,,
RG0106,Drenner Group,Entity,,,,Drenner Group,,Drenner Group,07/10/2017 12:00:00 AM,,,
RG0107,"Coleman, Glen",Individual,,Glen,,Coleman,,South Llano Strategies,05/16/2016 12:00:00 AM,,05/06/2019 12:00:00 AM,
RG0108,Thrower Design,Entity,,,,Thrower Design,,Thrower Design,07/12/2017 12:00:00 AM,,,
RG0109,"Cook, Neslie",Individual,,Neslie,,Cook,,Thrower Design,07/10/2017 12:00:00 AM,,07/02/2019 12:00:00 AM,RG0108
RG0111,Homebuilders Association of Greater Austin,Entity,,,,Homebuilders Association of Greater Austin,,Homebuilders Association of Greater Austin,07/14/2017 12:00:00 AM,,,
RG0112,"Glenn, David",Individual,,David,,Glenn,,Homebuilders Association of Greater Austin,07/17/2017 12:00:00 AM,,,RG0111
RG0113,"Strategic Partnerships, Inc.",Entity,,,,"Strategic Partnerships, Inc.",,"Strategic Partnerships, Inc.",07/17/2017 12:00:00 AM,,,
RG0114,"Antu, Edgar",Individual,,Edgar,,Antu,,"Strategic Partnerships, Inc.",07/17/2017 12:00:00 AM,,,RG0113
RG0115,"Levinski, Robert Bobby",Individual,,Robert,Bobby,Levinski,,,08/01/2017 12:00:00 AM,,07/25/2018 12:00:00 AM,
RG0116,"Richard, Jeffrey",Individual,,Jeffrey,,Richard,,J. Richard Consulting Services LLC,08/02/2017 12:00:00 AM,,,
RG0117,"Jackson Walker, L.L.P.",Entity,,,,"Jackson Walker, L.L.P.",,"Jackson Walker, L.L.P.",08/16/2017 12:00:00 AM,,,
RG0118,"Taylor, Timothy C.",Individual,,Timothy,C.,Taylor,,"Jackson Walker, L.L.P.",10/20/2017 12:00:00 AM,,,RG0117
RG0119,"Nias, James M.",Individual,,James,M.,Nias,,"Jackson Walker, L.L.P.",09/06/2017 12:00:00 AM,,,RG0117
RG0120,"Loayza, Katherine P.",Individual,,Katherine,P.,Loayza,,"Jackson Walker, L.L.P.",09/05/2017 12:00:00 AM,,,RG0117
RG0121,"Ibarra, Mia",Individual,,Mia,,Ibarra,,Center for Public Policy Priorities,08/18/2017 12:00:00 AM,,10/08/2018 12:00:00 AM,
RG0122,"Miller, Chris",Individual,,Chris,,Miller,,Uber Technologies,08/22/2017 12:00:00 AM,,,
RG0110,"Garcia, Joe",Individual,,Joe,,Garcia,,,07/14/2017 12:00:00 AM,,,
RG0123,"Schrader, Megan",Individual,,Megan,,Schrader,,,08/25/2017 12:00:00 AM,,,
RG0124,"Rosen, Laura",Individual,,Laura,,Rosen,,Center for Public Policy Priorities,08/30/2017 12:00:00 AM,,04/10/2018 12:00:00 AM,
RG0125,Workers Defense Action Fund,Entity,,,,Workers Defense Action Fund,,,09/14/2017 12:00:00 AM,,,
RG0126,"Wolff, Jessica",Individual,,Jessica,,Wolff,,Workers Defense Project,09/08/2017 12:00:00 AM,,,RG0125
RG0127,"Gonzalez, Ana",Individual,,Ana,,Gonzalez,,Workers Defense Project,09/12/2017 12:00:00 AM,,,RG0125
RG0128,"Mitchell, Kathleen",Individual,,Kathleen,,Mitchell,,Texas Criminal Justice Coalition,09/21/2017 12:00:00 AM,,06/01/2018 12:00:00 AM,
RG0129,Texas Solutions Group,Entity,,,,Texas Solutions Group,,,10/20/2017 12:00:00 AM,,12/26/2018 12:00:00 AM,
RG0130,3 Point Partners,Entity,,,,3 Point Partners,,,10/23/2017 12:00:00 AM,,,
RG0131,"Hillard, Connor",Individual,,Connor,,Hillard,,3 Point Partners,10/19/2017 12:00:00 AM,,12/04/2018 12:00:00 AM,RG0130
RG0132,"Cain, Julienne",Individual,,Julienne,,Cain,,Armbrust & Brown,11/20/2017 12:00:00 AM,,,
RG0133,"Serna, Eduardo",Individual,,Eduardo,,Serna,,,12/01/2017 12:00:00 AM,,,
RG0134,Austin Board of Realtors,Entity,,,,Austin Board of Realtors,,,01/08/2018 12:00:00 AM,,,
RG0135,"Rooney, John",Individual,,John,,Rooney,,,01/10/2018 12:00:00 AM,,10/01/2019 12:00:00 AM,
RG0136,"Whellan, Michael",Individual,,Michael,,Whellan,,Armbrust & Brown,01/25/2018 12:00:00 AM,,,
RG0137,"Courtney, Jennifer",Individual,,Jennifer,,Courtney,,,01/30/2018 12:00:00 AM,,07/08/2019 12:00:00 AM,
RG0138,"Townsend, Thomas",Individual,,Thomas,,Townsend,,,01/30/2018 12:00:00 AM,,,
RG0139,"Leahy, Ed",Individual,,Ed,,Leahy,,,02/05/2018 12:00:00 AM,,05/24/2019 12:00:00 AM,
RG0140,"Hansen, William",Individual,,William,,Hansen,,The ERISA Industry Committee,02/12/2018 12:00:00 AM,,01/02/2019 12:00:00 AM,RG0141
RG0141,The ERISA Industry Committee,Entity,,,,The ERISA Industry Committee,,The ERISA Industry Committee,02/12/2018 12:00:00 AM,,01/02/2019 12:00:00 AM,
RG0142,"Carley, Lynn A.",Individual,,Lynn,A.,Carley,,,02/20/2018 12:00:00 AM,,06/04/2018 12:00:00 AM,
RG0143,"Alborg, Tim",Individual,,Tim,,Alborg,,"Zagster, Inc.",03/01/2018 12:00:00 AM,,09/27/2018 12:00:00 AM,
RG0144,Merck Sharp & Dohme Corp.,Entity,,,,Merck Sharp & Dohme Corp.,,,03/21/2018 12:00:00 AM,,09/05/2019 12:00:00 AM,
RG0145,"Paffe, Heather",Individual,Ms.,Heather,,Paffe,,,03/21/2018 12:00:00 AM,,09/05/2019 12:00:00 AM,RG0144
RG0146,"Timm, Emily",Individual,,Emily,,Timm,,,04/03/2018 12:00:00 AM,,10/10/2019 12:00:00 AM,RG0125
RG0147,"Huerta, Mayra",Individual,,Mayra,,Huerta,,,04/02/2018 12:00:00 AM,,,RG0125
RG0148,"Meachum, Kurt M.",Individual,Mr.,Kurt,M.,Meachum,,,04/10/2018 12:00:00 AM,,09/18/2018 12:00:00 AM,
RG0001,"Allen, Ray",Individual,,Ray,,Allen,,Texas Solutions Group,10/21/2016 12:00:00 AM,,07/10/2017 12:00:00 AM,
RG0002,"Anderson, David J.",Individual,,David,J.,Anderson,,Drenner Group,07/12/2016 12:00:00 AM,,,RG0106
RG0003,"Armbrust, David B.",Individual,,David,B.,Armbrust,,Armbrust & Brown PLLC,01/11/2017 12:00:00 AM,,,
RG0004,"Arnold, Jim A.",Individual,,Jim,A.,Arnold,,Arnold Public Affairs,12/12/2016 12:00:00 AM,,10/03/2017 12:00:00 AM,
RG0005,"Bingham, William H.",Individual,,William,H.,Bingham,,,12/27/2016 12:00:00 AM,,,
RG0006,"Bingham Jr., Alfred L.",Individual,,Alfred,L.,Bingham,Jr.,,01/06/2017 12:00:00 AM,,,
RG0007,"Bojo, Leah",Individual,,Leah,,Bojo,,Drenner Group,04/10/2017 12:00:00 AM,,,RG0106
RG0008,"Burget, Erin K.",Individual,,Erin,K.,Burget,,AT&T,03/02/2017 12:00:00 AM,,,
RG0009,"Butts, David J.",Individual,,David,J.,Butts,,,12/13/2016 12:00:00 AM,,,
RG0010,"Cancialosi, David C.",Individual,,David,C.,Cancialosi,,,09/13/2016 12:00:00 AM,,,
RG0011,"Cannon, Audrey C.",Individual,,Audrey,Christine,Cannon,,Chamber of Commerce,01/09/2017 12:00:00 AM,,07/23/2019 12:00:00 AM,
RG0012,"Carley, Lynn A.",Individual,,Lynn,Ann,Carley,,,01/06/2017 12:00:00 AM,,05/31/2017 12:00:00 AM,
RG0050,"Martin, Donald G.",Individual,,Donald,G.,Martin,,Don Martin Public Affairs,02/17/2017 12:00:00 AM,,08/03/2017 12:00:00 AM,
RG0150,"Walker, Nathaniel J.",Individual,,Nathaniel,J.,Walker,,,04/11/2018 12:00:00 AM,,03/30/2019 12:00:00 AM,
RG0151,Sheryl Cole & Associates,Entity,,,,Sheryl Cole & Associates,,,04/11/2018 12:00:00 AM,,04/10/2019 12:00:00 AM,
RG0152,"Kegley-Whitehead, Ashley M.",Individual,Mrs.,Ashley,M.,Kegley-Whitehead,,Buie & Co.,04/26/2018 12:00:00 AM,,,
RG0153,"Surman, Amanda",Individual,,Amanda,,Surman,,,04/30/2018 12:00:00 AM,,,
RG0154,"Riley, Chris",Individual,,Chris,,Riley,,Austin Board of Realtors,05/02/2018 12:00:00 AM,,06/18/2019 12:00:00 AM,
RG0155,"Burke, Joshua C.",Individual,,Joshua,C.,Burke,,"Graves, Dougherty, Hearon & Moody",05/07/2018 12:00:00 AM,,10/15/2018 12:00:00 AM,
RG0156,"Edmonson, David",Individual,,David,,Edmonson,,,06/12/2018 12:00:00 AM,,12/13/2018 12:00:00 AM,
RG0157,"Gharakhanian, Stephanie A.",Individual,,Stephanie,A.,Gharakhanian,,,07/02/2018 12:00:00 AM,,09/30/2019 12:00:00 AM,RG0125
RG0158,"Randazzo, Chris",Individual,,Chris,,Randazzo,,,07/03/2018 12:00:00 AM,,04/09/2019 12:00:00 AM,RG0089
RG0159,"Strmiska, Greg",Individual,,Greg,,Strmiska,,,07/03/2018 12:00:00 AM,,,RG0089
RG0169,"Bradford, Christopher B.",Individual,Mr.,Christopher,B.,Bradford,,,03/15/2019 12:00:00 AM,,,RG0117
RG0170,"Pierce, Kevin D.",Individual,,Kevin,D.,Pierce,,,04/10/2019 12:00:00 AM,,,RG0080
RG0171,"Gaudini, Michael J.",Individual,,Michael,J.,Gaudini,,Armbrust & Brown,04/18/2019 12:00:00 AM,,,
RG0013,"Cesaro, Peter J.",Individual,,Peter,J.,Cesaro,,"Graves, Dougherty, Hearon & Moody, P.C.",01/05/2017 12:00:00 AM,,,RG0105
RG0014,"Clark, Melody",Individual,,Melody,,Clark,,Melody Clark,05/08/2017 12:00:00 AM,,,
RG0015,"Cole, Sheryl",Individual,,Sheryl,,Cole,,,01/27/2017 12:00:00 AM,,04/10/2019 12:00:00 AM,RG0151
RG0016,"Cosgrove Jr., Joseph E.",Individual,,Joseph,E.,Cosgrove,Jr.,,03/27/2017 12:00:00 AM,,,
RG0017,"Delp, Robert K.",Individual,,Robert,Kyle,Delp,,Workers Defense Action Fund,04/10/2017 12:00:00 AM,,04/06/2018 12:00:00 AM,
RG0018,"DeYoung, Eric H.",Individual,,Eric,Hunter,deYoung,,,01/06/2017 12:00:00 AM,,04/18/2018 12:00:00 AM,
RG0019,"Digneo, Robert H.",Individual,,Robert,H.,Digneo,,AT&T,07/28/2016 12:00:00 AM,,,
RG0020,"Drenner, Stephen O.",Individual,,Stephen,O.,Drenner,,Drenner Group,01/09/2017 12:00:00 AM,,,RG0106
RG0021,"Duhr, Kellie",Individual,,Kellie,,Duhr,,,01/27/2017 12:00:00 AM,,02/16/2018 12:00:00 AM,
RG0022,"Dunkerley, Betty J.",Individual,,Betty,J.,Dunkerley,,Betty Dunkerley Consulting,08/19/2016 12:00:00 AM,,,
RG0023,"Erwin, Gay T.",Individual,,Gay,T.,Erwin,,,06/08/2016 12:00:00 AM,,,RG0113
RG0024,"Francis, William B.",Individual,,William,B.,Francis,,,10/10/2016 12:00:00 AM,,06/07/2017 12:00:00 AM,
RG0025,"Gill, Evan C.",Individual,,Evan,C.,Gill,,,10/27/2016 12:00:00 AM,,09/06/2017 12:00:00 AM,
RG0026,"Gilmore, Henry H.",Individual,,Henry,H.,Gilmore,,,03/29/2017 12:00:00 AM,,,
RG0027,"Glasco, Alice K.",Individual,,Alice,K.,Glasco,,Alice Glasco Consulting,09/07/2016 12:00:00 AM,,,
RG0028,"Haase, Victoria G.",Individual,,Victoria,G.,Haase,,Thrower Design,04/10/2017 12:00:00 AM,,,RG0108
RG0029,"Harris, Jerry L.",Individual,,Jerry,L.,Harris,,,04/26/2017 12:00:00 AM,,,
RG0030,"Hartman, David A.",Individual,,David,A.,Hartman,,Smith Robertson,11/03/2016 12:00:00 AM,,,
RG0031,"Haussmann, Michele C.",Individual,,Michele,Christine,Haussmann,,"Land Use Solutions, LLC",10/05/2016 12:00:00 AM,,,
RG0032,"Heckler, Jeffrey",Individual,,Jeffrey,,Heckler,,,10/21/2016 12:00:00 AM,,12/26/2018 12:00:00 AM,RG0129
RG0038,"Kennard, Karen",Individual,,Karen,,Kennard,,,07/19/2016 12:00:00 AM,,,
RG0173,"Vilms, Sarah",Individual,,Sarah,,Vilms,,,05/07/2019 12:00:00 AM,,04/16/2020 12:00:00 AM,RG0172
RG0174,"Toney, Alexander",Individual,,Alexander,,Toney,,,05/07/2019 12:00:00 AM,,01/08/2020 12:00:00 AM,RG0172
RG0175,South Llano Strategies,Entity,,,,South Llano Strategies,,,05/07/2019 12:00:00 AM,,,
RG0176,"Coleman, Glen",Individual,,Glen,,Coleman,,,05/07/2019 12:00:00 AM,,,RG0175
RG0177,"Stevenson, Josiah",Individual,,Josiah,,Stevenson,,,05/07/2019 12:00:00 AM,,01/10/2020 12:00:00 AM,RG0175
RG0178,Spin,Entity,,,,Spin,,,05/30/2019 12:00:00 AM,,,
RG0160,"Klingler, Hans J.",Individual,Mr.,Hans,J.,Klingler,,,07/18/2018 12:00:00 AM,,01/07/2019 12:00:00 AM,
RG0161,"Arnold, Jim",Individual,Mr.,Jim,,Arnold,,Arnold Public Affairs,07/19/2018 12:00:00 AM,,12/06/2018 12:00:00 AM,
RG0162,"Barnes, Ben F.",Individual,Mr.,Ben,F.,Barnes,,Ben Barnes Group,08/13/2018 12:00:00 AM,,01/07/2019 12:00:00 AM,
RG0163,"Blair, Emily K.",Individual,,Emily,K.,Blair,,,08/20/2018 12:00:00 AM,,12/20/2018 12:00:00 AM,RG0111
RG0164,"Clements, G. Ferris",Individual,Mr.,G. Ferris,,Clements,III,"Armbrust & Brown, PLLC",10/10/2018 12:00:00 AM,,,
RG0165,"Madere, Pamela M.",Individual,,Pamela,M.,Madere,,,10/31/2018 12:00:00 AM,,,RG0117
RG0166,"Nuttle, Christopher M.",Individual,Mr.,Christopher,M.,Nuttle,,"State and Federal Communications, Inc.",10/23/2018 12:00:00 AM,,,
RG0167,"Martinez, Michael",Individual,,Michael,,Martinez,,,01/09/2019 12:00:00 AM,,,
RG0168,"Stern, William C.",Individual,Mr.,William,C.,Stern,,,01/24/2019 12:00:00 AM,,,
