Date,Program,Item,Value
11/01/2019,Assessment cases,Assessment cases,"5,390"
12/01/2019,Assessment cases,Assessment cases,"4,899"
01/01/2016,Cash Assistance Cases,60 Month converted to SNA,"26,963"
02/01/2016,Cash Assistance Cases,60 Month converted to SNA,"27,301"
03/01/2016,Cash Assistance Cases,60 Month converted to SNA,"27,149"
04/01/2016,Cash Assistance Cases,60 Month converted to SNA,"26,987"
05/01/2016,Cash Assistance Cases,60 Month converted to SNA,"27,038"
06/01/2016,Cash Assistance Cases,60 Month converted to SNA,"27,028"
07/01/2016,Cash Assistance Cases,60 Month converted to SNA,"26,792"
08/01/2016,Cash Assistance Cases,60 Month converted to SNA,"26,897"
09/01/2016,Cash Assistance Cases,60 Month converted to SNA,"26,882"
10/01/2016,Cash Assistance Cases,60 Month converted to SNA,"26,896"
11/01/2016,Cash Assistance Cases,60 Month converted to SNA,"27,154"
12/01/2016,Cash Assistance Cases,60 Month converted to SNA,"27,182"
01/01/2017,Cash Assistance Cases,60 Month converted to SNA,"26,901"
02/01/2017,Cash Assistance Cases,60 Month converted to SNA,"27,230"
03/01/2017,Cash Assistance Cases,60 Month converted to SNA,"26,920"
04/01/2017,Cash Assistance Cases,60 Month converted to SNA,"26,656"
05/01/2017,Cash Assistance Cases,60 Month converted to SNA,"26,424"
06/01/2017,Cash Assistance Cases,60 Month converted to SNA,"27,173"
07/01/2017,Cash Assistance Cases,60 Month converted to SNA,"27,063"
08/01/2017,Cash Assistance Cases,60 Month converted to SNA,"27,685"
09/01/2017,Cash Assistance Cases,60 Month converted to SNA,"27,457"
10/01/2017,Cash Assistance Cases,60 Month converted to SNA,"27,346"
11/01/2017,Cash Assistance Cases,60 Month converted to SNA,"27,975"
12/01/2017,Cash Assistance Cases,60 Month converted to SNA,"27,928"
01/01/2018,Cash Assistance Cases,60 Month converted to SNA,"27,591"
02/01/2018,Cash Assistance Cases,60 Month converted to SNA,"27,948"
03/01/2018,Cash Assistance Cases,60 Month converted to SNA,"27,643"
04/01/2018,Cash Assistance Cases,60 Month converted to SNA,"26,957"
05/01/2018,Cash Assistance Cases,60 Month converted to SNA,"27,308"
06/01/2018,Cash Assistance Cases,60 Month converted to SNA,"26,874"
07/01/2018,Cash Assistance Cases,60 Month converted to SNA,"26,370"
08/01/2018,Cash Assistance Cases,60 Month converted to SNA,"26,697"
09/01/2018,Cash Assistance Cases,60 Month converted to SNA,"26,428"
10/01/2018,Cash Assistance Cases,60 Month converted to SNA,"26,245"
11/01/2018,Cash Assistance Cases,60 Month converted to SNA,"26,626"
12/01/2018,Cash Assistance Cases,60 Month converted to SNA,"26,226"
01/01/2019,Cash Assistance Cases,60 Month converted to SNA,"24,956"
02/01/2019,Cash Assistance Cases,60 Month converted to SNA,"26,206"
03/01/2019,Cash Assistance Cases,60 Month converted to SNA,"26,448"
04/01/2019,Cash Assistance Cases,60 Month converted to SNA,"25,496"
05/01/2019,Cash Assistance Cases,60 Month converted to SNA,"25,140"
06/01/2019,Cash Assistance Cases,60 Month converted to SNA,"26,239"
07/01/2019,Cash Assistance Cases,60 Month converted to SNA,"26,098"
08/01/2019,Cash Assistance Cases,60 Month converted to SNA,"25,950"
09/01/2019,Cash Assistance Cases,60 Month converted to SNA,"25,952"
10/01/2019,Cash Assistance Cases,60 Month converted to SNA,"25,854"
11/01/2019,Cash Assistance Cases,60 Month converted to SNA,"25,999"
12/01/2019,Cash Assistance Cases,60 Month converted to SNA,"25,980"
01/01/2016,Cash Assistance Cases,Cash Assistance Cases,"194,856"
02/01/2016,Cash Assistance Cases,Cash Assistance Cases,"195,378"
03/01/2016,Cash Assistance Cases,Cash Assistance Cases,"196,592"
04/01/2016,Cash Assistance Cases,Cash Assistance Cases,"196,625"
05/01/2016,Cash Assistance Cases,Cash Assistance Cases,"195,262"
06/01/2016,Cash Assistance Cases,Cash Assistance Cases,"196,093"
07/01/2016,Cash Assistance Cases,Cash Assistance Cases,"195,691"
08/01/2016,Cash Assistance Cases,Cash Assistance Cases,"196,010"
09/01/2016,Cash Assistance Cases,Cash Assistance Cases,"196,405"
10/01/2016,Cash Assistance Cases,Cash Assistance Cases,"197,597"
11/01/2016,Cash Assistance Cases,Cash Assistance Cases,"195,398"
12/01/2016,Cash Assistance Cases,Cash Assistance Cases,"197,374"
01/01/2017,Cash Assistance Cases,Cash Assistance Cases,"195,489"
02/01/2017,Cash Assistance Cases,Cash Assistance Cases,"193,259"
03/01/2017,Cash Assistance Cases,Cash Assistance Cases,"194,760"
04/01/2017,Cash Assistance Cases,Cash Assistance Cases,"193,396"
05/01/2017,Cash Assistance Cases,Cash Assistance Cases,"193,329"
06/01/2017,Cash Assistance Cases,Cash Assistance Cases,"194,455"
07/01/2017,Cash Assistance Cases,Cash Assistance Cases,"194,673"
08/01/2017,Cash Assistance Cases,Cash Assistance Cases,"195,768"
09/01/2017,Cash Assistance Cases,Cash Assistance Cases,"196,145"
10/01/2017,Cash Assistance Cases,Cash Assistance Cases,"195,810"
11/01/2017,Cash Assistance Cases,Cash Assistance Cases,"194,815"
12/01/2017,Cash Assistance Cases,Cash Assistance Cases,"195,440"
01/01/2018,Cash Assistance Cases,Cash Assistance Cases,"195,313"
02/01/2018,Cash Assistance Cases,Cash Assistance Cases,"194,246"
03/01/2018,Cash Assistance Cases,Cash Assistance Cases,"194,496"
04/01/2018,Cash Assistance Cases,Cash Assistance Cases,"192,441"
05/01/2018,Cash Assistance Cases,Cash Assistance Cases,"191,872"
06/01/2018,Cash Assistance Cases,Cash Assistance Cases,"190,526"
07/01/2018,Cash Assistance Cases,Cash Assistance Cases,"187,968"
08/01/2018,Cash Assistance Cases,Cash Assistance Cases,"188,591"
09/01/2018,Cash Assistance Cases,Cash Assistance Cases,"187,502"
10/01/2018,Cash Assistance Cases,Cash Assistance Cases,"188,112"
11/01/2018,Cash Assistance Cases,Cash Assistance Cases,"185,532"
12/01/2018,Cash Assistance Cases,Cash Assistance Cases,"184,792"
01/01/2019,Cash Assistance Cases,Cash Assistance Cases,"184,303"
02/01/2019,Cash Assistance Cases,Cash Assistance Cases,"183,317"
03/01/2019,Cash Assistance Cases,Cash Assistance Cases,"183,462"
04/01/2019,Cash Assistance Cases,Cash Assistance Cases,"181,665"
05/01/2019,Cash Assistance Cases,Cash Assistance Cases,"181,530"
06/01/2019,Cash Assistance Cases,Cash Assistance Cases,"181,038"
07/01/2019,Cash Assistance Cases,Cash Assistance Cases,"181,736"
08/01/2019,Cash Assistance Cases,Cash Assistance Cases,"181,829"
09/01/2019,Cash Assistance Cases,Cash Assistance Cases,"180,844"
10/01/2019,Cash Assistance Cases,Cash Assistance Cases,"182,604"
11/01/2019,Cash Assistance Cases,Cash Assistance Cases,"179,466"
12/01/2019,Cash Assistance Cases,Cash Assistance Cases,"179,382"
01/01/2016,Cash Assistance Cases,FAP (formerly AFDC),"61,364"
02/01/2016,Cash Assistance Cases,FAP (formerly AFDC),"60,765"
03/01/2016,Cash Assistance Cases,FAP (formerly AFDC),"60,614"
04/01/2016,Cash Assistance Cases,FAP (formerly AFDC),"60,027"
05/01/2016,Cash Assistance Cases,FAP (formerly AFDC),"59,314"
06/01/2016,Cash Assistance Cases,FAP (formerly AFDC),"59,382"
07/01/2016,Cash Assistance Cases,FAP (formerly AFDC),"59,187"
08/01/2016,Cash Assistance Cases,FAP (formerly AFDC),"59,601"
09/01/2016,Cash Assistance Cases,FAP (formerly AFDC),"59,873"
10/01/2016,Cash Assistance Cases,FAP (formerly AFDC),"60,381"
11/01/2016,Cash Assistance Cases,FAP (formerly AFDC),"59,570"
12/01/2016,Cash Assistance Cases,FAP (formerly AFDC),"59,762"
01/01/2017,Cash Assistance Cases,FAP (formerly AFDC),"58,607"
02/01/2017,Cash Assistance Cases,FAP (formerly AFDC),"57,006"
03/01/2017,Cash Assistance Cases,FAP (formerly AFDC),"56,821"
04/01/2017,Cash Assistance Cases,FAP (formerly AFDC),"55,649"
05/01/2017,Cash Assistance Cases,FAP (formerly AFDC),"55,106"
06/01/2017,Cash Assistance Cases,FAP (formerly AFDC),"54,863"
07/01/2017,Cash Assistance Cases,FAP (formerly AFDC),"54,822"
08/01/2017,Cash Assistance Cases,FAP (formerly AFDC),"54,845"
09/01/2017,Cash Assistance Cases,FAP (formerly AFDC),"54,954"
10/01/2017,Cash Assistance Cases,FAP (formerly AFDC),"54,863"
11/01/2017,Cash Assistance Cases,FAP (formerly AFDC),"53,921"
12/01/2017,Cash Assistance Cases,FAP (formerly AFDC),"53,909"
01/01/2018,Cash Assistance Cases,FAP (formerly AFDC),"53,630"
02/01/2018,Cash Assistance Cases,FAP (formerly AFDC),"52,759"
03/01/2018,Cash Assistance Cases,FAP (formerly AFDC),"52,229"
04/01/2018,Cash Assistance Cases,FAP (formerly AFDC),"51,227"
05/01/2018,Cash Assistance Cases,FAP (formerly AFDC),"51,254"
06/01/2018,Cash Assistance Cases,FAP (formerly AFDC),"51,007"
07/01/2018,Cash Assistance Cases,FAP (formerly AFDC),"50,295"
08/01/2018,Cash Assistance Cases,FAP (formerly AFDC),"50,523"
09/01/2018,Cash Assistance Cases,FAP (formerly AFDC),"50,278"
10/01/2018,Cash Assistance Cases,FAP (formerly AFDC),"50,612"
11/01/2018,Cash Assistance Cases,FAP (formerly AFDC),"49,785"
12/01/2018,Cash Assistance Cases,FAP (formerly AFDC),"49,536"
01/01/2019,Cash Assistance Cases,FAP (formerly AFDC),"49,844"
02/01/2019,Cash Assistance Cases,FAP (formerly AFDC),"48,329"
03/01/2019,Cash Assistance Cases,FAP (formerly AFDC),"48,051"
04/01/2019,Cash Assistance Cases,FAP (formerly AFDC),"47,868"
05/01/2019,Cash Assistance Cases,FAP (formerly AFDC),"48,265"
06/01/2019,Cash Assistance Cases,FAP (formerly AFDC),"46,715"
07/01/2019,Cash Assistance Cases,FAP (formerly AFDC),"47,132"
08/01/2019,Cash Assistance Cases,FAP (formerly AFDC),"47,191"
09/01/2019,Cash Assistance Cases,FAP (formerly AFDC),"46,622"
10/01/2019,Cash Assistance Cases,FAP (formerly AFDC),"47,340"
11/01/2019,Cash Assistance Cases,FAP (formerly AFDC),"46,309"
12/01/2019,Cash Assistance Cases,FAP (formerly AFDC),"46,113"
01/01/2016,Cash Assistance Cases,SNA (formerly HR)**,"106,529"
02/01/2016,Cash Assistance Cases,SNA (formerly HR)**,"107,312"
03/01/2016,Cash Assistance Cases,SNA (formerly HR)**,"108,829"
04/01/2016,Cash Assistance Cases,SNA (formerly HR)**,"109,611"
05/01/2016,Cash Assistance Cases,SNA (formerly HR)**,"108,910"
06/01/2016,Cash Assistance Cases,SNA (formerly HR)**,"109,683"
07/01/2016,Cash Assistance Cases,SNA (formerly HR)**,"109,712"
08/01/2016,Cash Assistance Cases,SNA (formerly HR)**,"109,512"
09/01/2016,Cash Assistance Cases,SNA (formerly HR)**,"109,650"
10/01/2016,Cash Assistance Cases,SNA (formerly HR)**,"110,320"
11/01/2016,Cash Assistance Cases,SNA (formerly HR)**,"108,674"
12/01/2016,Cash Assistance Cases,SNA (formerly HR)**,"110,430"
01/01/2017,Cash Assistance Cases,SNA (formerly HR)**,"109,981"
02/01/2017,Cash Assistance Cases,SNA (formerly HR)**,"109,023"
03/01/2017,Cash Assistance Cases,SNA (formerly HR)**,"111,019"
04/01/2017,Cash Assistance Cases,SNA (formerly HR)**,"111,091"
05/01/2017,Cash Assistance Cases,SNA (formerly HR)**,"111,799"
06/01/2017,Cash Assistance Cases,SNA (formerly HR)**,"112,419"
07/01/2017,Cash Assistance Cases,SNA (formerly HR)**,"112,788"
08/01/2017,Cash Assistance Cases,SNA (formerly HR)**,"113,238"
09/01/2017,Cash Assistance Cases,SNA (formerly HR)**,"113,734"
10/01/2017,Cash Assistance Cases,SNA (formerly HR)**,"113,601"
11/01/2017,Cash Assistance Cases,SNA (formerly HR)**,"112,919"
12/01/2017,Cash Assistance Cases,SNA (formerly HR)**,"113,603"
01/01/2018,Cash Assistance Cases,SNA (formerly HR)**,"114,092"
02/01/2018,Cash Assistance Cases,SNA (formerly HR)**,"113,539"
03/01/2018,Cash Assistance Cases,SNA (formerly HR)**,"114,624"
04/01/2018,Cash Assistance Cases,SNA (formerly HR)**,"114,257"
05/01/2018,Cash Assistance Cases,SNA (formerly HR)**,"113,310"
06/01/2018,Cash Assistance Cases,SNA (formerly HR)**,"112,645"
07/01/2018,Cash Assistance Cases,SNA (formerly HR)**,"111,303"
08/01/2018,Cash Assistance Cases,SNA (formerly HR)**,"111,371"
09/01/2018,Cash Assistance Cases,SNA (formerly HR)**,"110,796"
10/01/2018,Cash Assistance Cases,SNA (formerly HR)**,"111,255"
11/01/2018,Cash Assistance Cases,SNA (formerly HR)**,"109,121"
12/01/2018,Cash Assistance Cases,SNA (formerly HR)**,"109,030"
01/01/2019,Cash Assistance Cases,SNA (formerly HR)**,"109,503"
02/01/2019,Cash Assistance Cases,SNA (formerly HR)**,"108,782"
03/01/2019,Cash Assistance Cases,SNA (formerly HR)**,"108,963"
04/01/2019,Cash Assistance Cases,SNA (formerly HR)**,"108,301"
05/01/2019,Cash Assistance Cases,SNA (formerly HR)**,"108,125"
06/01/2019,Cash Assistance Cases,SNA (formerly HR)**,"108,084"
07/01/2019,Cash Assistance Cases,SNA (formerly HR)**,"108,506"
08/01/2019,Cash Assistance Cases,SNA (formerly HR)**,"108,688"
09/01/2019,Cash Assistance Cases,SNA (formerly HR)**,"108,270"
10/01/2019,Cash Assistance Cases,SNA (formerly HR)**,"109,410"
11/01/2019,Cash Assistance Cases,SNA (formerly HR)**,"107,158"
12/01/2019,Cash Assistance Cases,SNA (formerly HR)**,"107,289"
01/01/2016,Cash Assistance Children,60 Month converted to SNA,"55,778"
02/01/2016,Cash Assistance Children,60 Month converted to SNA,"56,458"
03/01/2016,Cash Assistance Children,60 Month converted to SNA,"55,797"
04/01/2016,Cash Assistance Children,60 Month converted to SNA,"55,459"
05/01/2016,Cash Assistance Children,60 Month converted to SNA,"55,782"
06/01/2016,Cash Assistance Children,60 Month converted to SNA,"55,340"
07/01/2016,Cash Assistance Children,60 Month converted to SNA,"54,936"
08/01/2016,Cash Assistance Children,60 Month converted to SNA,"55,142"
09/01/2016,Cash Assistance Children,60 Month converted to SNA,"55,026"
10/01/2016,Cash Assistance Children,60 Month converted to SNA,"55,144"
11/01/2016,Cash Assistance Children,60 Month converted to SNA,"55,319"
12/01/2016,Cash Assistance Children,60 Month converted to SNA,"55,465"
01/01/2017,Cash Assistance Children,60 Month converted to SNA,"55,028"
02/01/2017,Cash Assistance Children,60 Month converted to SNA,"55,473"
03/01/2017,Cash Assistance Children,60 Month converted to SNA,"54,792"
04/01/2017,Cash Assistance Children,60 Month converted to SNA,"54,627"
05/01/2017,Cash Assistance Children,60 Month converted to SNA,"53,862"
06/01/2017,Cash Assistance Children,60 Month converted to SNA,"55,010"
07/01/2017,Cash Assistance Children,60 Month converted to SNA,"55,095"
08/01/2017,Cash Assistance Children,60 Month converted to SNA,"55,807"
09/01/2017,Cash Assistance Children,60 Month converted to SNA,"55,404"
10/01/2017,Cash Assistance Children,60 Month converted to SNA,"55,444"
11/01/2017,Cash Assistance Children,60 Month converted to SNA,"56,440"
12/01/2017,Cash Assistance Children,60 Month converted to SNA,"56,326"
01/01/2018,Cash Assistance Children,60 Month converted to SNA,"55,694"
02/01/2018,Cash Assistance Children,60 Month converted to SNA,"56,464"
03/01/2018,Cash Assistance Children,60 Month converted to SNA,"55,910"
04/01/2018,Cash Assistance Children,60 Month converted to SNA,"54,861"
05/01/2018,Cash Assistance Children,60 Month converted to SNA,"54,970"
06/01/2018,Cash Assistance Children,60 Month converted to SNA,"54,165"
07/01/2018,Cash Assistance Children,60 Month converted to SNA,"53,430"
08/01/2018,Cash Assistance Children,60 Month converted to SNA,"53,864"
09/01/2018,Cash Assistance Children,60 Month converted to SNA,"53,376"
10/01/2018,Cash Assistance Children,60 Month converted to SNA,"52,944"
11/01/2018,Cash Assistance Children,60 Month converted to SNA,"53,332"
12/01/2018,Cash Assistance Children,60 Month converted to SNA,"52,648"
01/01/2019,Cash Assistance Children,60 Month converted to SNA,"50,608"
02/01/2019,Cash Assistance Children,60 Month converted to SNA,"53,183"
03/01/2019,Cash Assistance Children,60 Month converted to SNA,"53,719"
04/01/2019,Cash Assistance Children,60 Month converted to SNA,"51,839"
05/01/2019,Cash Assistance Children,60 Month converted to SNA,"51,085"
06/01/2019,Cash Assistance Children,60 Month converted to SNA,"53,337"
07/01/2019,Cash Assistance Children,60 Month converted to SNA,"53,055"
08/01/2019,Cash Assistance Children,60 Month converted to SNA,"52,803"
09/01/2019,Cash Assistance Children,60 Month converted to SNA,"52,805"
10/01/2019,Cash Assistance Children,60 Month converted to SNA,"52,560"
11/01/2019,Cash Assistance Children,60 Month converted to SNA,"52,783"
12/01/2019,Cash Assistance Children,60 Month converted to SNA,"52,719"
01/01/2016,Cash Assistance Children,Cash Assistance Children,"177,035"
02/01/2016,Cash Assistance Children,Cash Assistance Children,"176,179"
03/01/2016,Cash Assistance Children,Cash Assistance Children,"175,426"
04/01/2016,Cash Assistance Children,Cash Assistance Children,"174,540"
05/01/2016,Cash Assistance Children,Cash Assistance Children,"173,521"
06/01/2016,Cash Assistance Children,Cash Assistance Children,"173,262"
07/01/2016,Cash Assistance Children,Cash Assistance Children,"173,067"
08/01/2016,Cash Assistance Children,Cash Assistance Children,"173,362"
09/01/2016,Cash Assistance Children,Cash Assistance Children,"174,136"
10/01/2016,Cash Assistance Children,Cash Assistance Children,"175,568"
11/01/2016,Cash Assistance Children,Cash Assistance Children,"173,496"
12/01/2016,Cash Assistance Children,Cash Assistance Children,"174,494"
01/01/2017,Cash Assistance Children,Cash Assistance Children,"172,337"
02/01/2017,Cash Assistance Children,Cash Assistance Children,"169,741"
03/01/2017,Cash Assistance Children,Cash Assistance Children,"168,639"
04/01/2017,Cash Assistance Children,Cash Assistance Children,"167,005"
05/01/2017,Cash Assistance Children,Cash Assistance Children,"164,854"
06/01/2017,Cash Assistance Children,Cash Assistance Children,"165,802"
07/01/2017,Cash Assistance Children,Cash Assistance Children,"166,382"
08/01/2017,Cash Assistance Children,Cash Assistance Children,"166,373"
09/01/2017,Cash Assistance Children,Cash Assistance Children,"166,542"
10/01/2017,Cash Assistance Children,Cash Assistance Children,"167,275"
11/01/2017,Cash Assistance Children,Cash Assistance Children,"166,104"
12/01/2017,Cash Assistance Children,Cash Assistance Children,"166,510"
01/01/2018,Cash Assistance Children,Cash Assistance Children,"165,730"
02/01/2018,Cash Assistance Children,Cash Assistance Children,"164,177"
03/01/2018,Cash Assistance Children,Cash Assistance Children,"163,209"
04/01/2018,Cash Assistance Children,Cash Assistance Children,"160,864"
05/01/2018,Cash Assistance Children,Cash Assistance Children,"160,161"
06/01/2018,Cash Assistance Children,Cash Assistance Children,"159,316"
07/01/2018,Cash Assistance Children,Cash Assistance Children,"157,579"
08/01/2018,Cash Assistance Children,Cash Assistance Children,"157,653"
09/01/2018,Cash Assistance Children,Cash Assistance Children,"157,028"
10/01/2018,Cash Assistance Children,Cash Assistance Children,"157,789"
11/01/2018,Cash Assistance Children,Cash Assistance Children,"155,832"
12/01/2018,Cash Assistance Children,Cash Assistance Children,"154,727"
01/01/2019,Cash Assistance Children,Cash Assistance Children,"153,573"
02/01/2019,Cash Assistance Children,Cash Assistance Children,"152,097"
03/01/2019,Cash Assistance Children,Cash Assistance Children,"151,049"
04/01/2019,Cash Assistance Children,Cash Assistance Children,"149,132"
05/01/2019,Cash Assistance Children,Cash Assistance Children,"148,731"
06/01/2019,Cash Assistance Children,Cash Assistance Children,"148,235"
07/01/2019,Cash Assistance Children,Cash Assistance Children,"148,963"
08/01/2019,Cash Assistance Children,Cash Assistance Children,"148,287"
09/01/2019,Cash Assistance Children,Cash Assistance Children,"147,696"
10/01/2019,Cash Assistance Children,Cash Assistance Children,"148,872"
11/01/2019,Cash Assistance Children,Cash Assistance Children,"146,885"
12/01/2019,Cash Assistance Children,Cash Assistance Children,"146,530"
01/01/2016,Cash Assistance Children,FAP (formerly AFDC),"103,422"
02/01/2016,Cash Assistance Children,FAP (formerly AFDC),"102,177"
03/01/2016,Cash Assistance Children,FAP (formerly AFDC),"101,775"
04/01/2016,Cash Assistance Children,FAP (formerly AFDC),"100,614"
05/01/2016,Cash Assistance Children,FAP (formerly AFDC),"99,732"
06/01/2016,Cash Assistance Children,FAP (formerly AFDC),"99,666"
07/01/2016,Cash Assistance Children,FAP (formerly AFDC),"99,593"
08/01/2016,Cash Assistance Children,FAP (formerly AFDC),"100,105"
09/01/2016,Cash Assistance Children,FAP (formerly AFDC),"100,478"
10/01/2016,Cash Assistance Children,FAP (formerly AFDC),"101,328"
11/01/2016,Cash Assistance Children,FAP (formerly AFDC),"99,762"
12/01/2016,Cash Assistance Children,FAP (formerly AFDC),"100,012"
01/01/2017,Cash Assistance Children,FAP (formerly AFDC),"97,968"
02/01/2017,Cash Assistance Children,FAP (formerly AFDC),"95,624"
03/01/2017,Cash Assistance Children,FAP (formerly AFDC),"94,966"
04/01/2017,Cash Assistance Children,FAP (formerly AFDC),"93,187"
05/01/2017,Cash Assistance Children,FAP (formerly AFDC),"91,416"
06/01/2017,Cash Assistance Children,FAP (formerly AFDC),"91,715"
07/01/2017,Cash Assistance Children,FAP (formerly AFDC),"91,739"
08/01/2017,Cash Assistance Children,FAP (formerly AFDC),"91,692"
09/01/2017,Cash Assistance Children,FAP (formerly AFDC),"91,663"
10/01/2017,Cash Assistance Children,FAP (formerly AFDC),"91,683"
11/01/2017,Cash Assistance Children,FAP (formerly AFDC),"90,149"
12/01/2017,Cash Assistance Children,FAP (formerly AFDC),"90,217"
01/01/2018,Cash Assistance Children,FAP (formerly AFDC),"89,581"
02/01/2018,Cash Assistance Children,FAP (formerly AFDC),"88,106"
03/01/2018,Cash Assistance Children,FAP (formerly AFDC),"87,342"
04/01/2018,Cash Assistance Children,FAP (formerly AFDC),"85,820"
05/01/2018,Cash Assistance Children,FAP (formerly AFDC),"85,887"
06/01/2018,Cash Assistance Children,FAP (formerly AFDC),"85,293"
07/01/2018,Cash Assistance Children,FAP (formerly AFDC),"84,486"
08/01/2018,Cash Assistance Children,FAP (formerly AFDC),"84,659"
09/01/2018,Cash Assistance Children,FAP (formerly AFDC),"84,193"
10/01/2018,Cash Assistance Children,FAP (formerly AFDC),"84,968"
11/01/2018,Cash Assistance Children,FAP (formerly AFDC),"83,522"
12/01/2018,Cash Assistance Children,FAP (formerly AFDC),"82,903"
01/01/2019,Cash Assistance Children,FAP (formerly AFDC),"83,440"
02/01/2019,Cash Assistance Children,FAP (formerly AFDC),"80,878"
03/01/2019,Cash Assistance Children,FAP (formerly AFDC),"80,572"
04/01/2019,Cash Assistance Children,FAP (formerly AFDC),"80,454"
05/01/2019,Cash Assistance Children,FAP (formerly AFDC),"81,270"
06/01/2019,Cash Assistance Children,FAP (formerly AFDC),"78,464"
07/01/2019,Cash Assistance Children,FAP (formerly AFDC),"78,842"
08/01/2019,Cash Assistance Children,FAP (formerly AFDC),"78,804"
09/01/2019,Cash Assistance Children,FAP (formerly AFDC),"77,967"
10/01/2019,Cash Assistance Children,FAP (formerly AFDC),"79,130"
11/01/2019,Cash Assistance Children,FAP (formerly AFDC),"77,515"
12/01/2019,Cash Assistance Children,FAP (formerly AFDC),"77,079"
01/01/2016,Cash Assistance Children,SNA (formerly HR)**,"17,835"
02/01/2016,Cash Assistance Children,SNA (formerly HR)**,"17,544"
03/01/2016,Cash Assistance Children,SNA (formerly HR)**,"17,854"
04/01/2016,Cash Assistance Children,SNA (formerly HR)**,"18,467"
05/01/2016,Cash Assistance Children,SNA (formerly HR)**,"18,007"
06/01/2016,Cash Assistance Children,SNA (formerly HR)**,"18,256"
07/01/2016,Cash Assistance Children,SNA (formerly HR)**,"18,538"
08/01/2016,Cash Assistance Children,SNA (formerly HR)**,"18,115"
09/01/2016,Cash Assistance Children,SNA (formerly HR)**,"18,632"
10/01/2016,Cash Assistance Children,SNA (formerly HR)**,"19,096"
11/01/2016,Cash Assistance Children,SNA (formerly HR)**,"18,415"
12/01/2016,Cash Assistance Children,SNA (formerly HR)**,"19,017"
01/01/2017,Cash Assistance Children,SNA (formerly HR)**,"19,341"
02/01/2017,Cash Assistance Children,SNA (formerly HR)**,"18,644"
03/01/2017,Cash Assistance Children,SNA (formerly HR)**,"18,881"
04/01/2017,Cash Assistance Children,SNA (formerly HR)**,"19,191"
05/01/2017,Cash Assistance Children,SNA (formerly HR)**,"19,576"
06/01/2017,Cash Assistance Children,SNA (formerly HR)**,"19,077"
07/01/2017,Cash Assistance Children,SNA (formerly HR)**,"19,548"
08/01/2017,Cash Assistance Children,SNA (formerly HR)**,"18,874"
09/01/2017,Cash Assistance Children,SNA (formerly HR)**,"19,475"
10/01/2017,Cash Assistance Children,SNA (formerly HR)**,"20,148"
11/01/2017,Cash Assistance Children,SNA (formerly HR)**,"19,515"
12/01/2017,Cash Assistance Children,SNA (formerly HR)**,"19,967"
01/01/2018,Cash Assistance Children,SNA (formerly HR)**,"20,455"
02/01/2018,Cash Assistance Children,SNA (formerly HR)**,"19,607"
03/01/2018,Cash Assistance Children,SNA (formerly HR)**,"19,957"
