Business Id,Business Name,Business Address1,Business Address2,Business City,Business State,Business Zip4,Business Zip5,Mailing Address1,Mailing Address2,Mailing Zip4,Mailing Zip5,Mailing City,Mailing State,Email Id,Date Incorporated,Location
1168350,EXECUTIVE ECOSCAPING INC.,106 POPLAR STREET,106 POPLAR STREET,NEW HAVEN,CT,,06513,106 POPLAR STREET,106 POPLAR STREET,,06513,NEW HAVEN,CT,jcarter@executiveecoscaping.com,02/26/2015,
1162706,UNTOUCHABLE WIRELESS INC,,,,,,,,,,,,,,12/29/2014,
1091100,WEST CORNWALL PUBLISHING COMPANY,,,,,,,,,,,,,,12/06/2012,
1178043,META-E INC.,257 GULF STREET,,MILFOR,CT,,06460,,,,,,,phmcvoy@gmail.com,06/02/2015,
1097607,A HAPPY LIFE INC.,756 CHAPEL STREET,,NEW HAVEN,CT,,06510,756 CHAPEL STREET,,,06510,NEW HAVEN,CT,vishal@happylifecoffee.com,02/14/2013,
1187965,THE CHO BOP INC.,1015 POST ROAD,,DARIEN,CT,,06820,152-53 10TH AVE,SUITE 217,,11357,WHITESTONE,NY,emily@taxproteam.com,10/14/2015,
1186234,REINSPIRE BENEFIT CORP.,13 GOLDEN STREET,,NEW LONDON,CT,,06320,13 GOLDEN STREET,,,06320,NEW LONDON,CT,reinspirenewlondon@gmail.com,09/16/2015,
1108868,"GUTSY GIRL CLUB, INC.",338 SHENIPSIT LAKE ROAD,,TOLLAND,CT,,,795 WOODBRIDGE LANE,,,,DURANGO,CO,Heather@gutsygirlclub.com,06/04/2013,
1184755,"THRIVEHELPS CT, INC.",540 JOAN DRIVE,,FAIRFIELD,CT,,06824,540 JOAN DRIVE,,,06824,FAIRFIELD,CT,cbodesq@aol.com,08/31/2015,
1159460,GLOBUS FAMILY DENTAL INC,96 E MAIN ST,,NEW BRITAIN,CT,,06051,55 FOX HOLLOW DRIVE,,,06096,WINDSOR LOCKS,CT,lakshmi.bethi@gmail.com,11/10/2014,"96 E MAIN ST
NEW BRITAIN, CT 06051
(41.670513, -72.779545)"
1159884,"KTOWN COMMERCIAL INVESTMENTS, CORP.",1385 WHALLEY AVENUE,,NEW HAVEN,CT,,06515,,,,,,,mac4326@yahoo.com,11/17/2014,"1385 WHALLEY AVENUE
NEW HAVEN, CT 06515
(41.332738, -72.975258)"
1161364,"PRO TECH CONSULTING, INC.",10 HAYES TOWN RD #10,,DANBURY,CT,,06811,10 HAYES TOWN RD #10,,,06811,DANBURY,CT,kamconsultant@aol.com,11/17/2014,"10 HAYES TOWN RD #10
DANBURY, CT 06811
(41.421546, -73.454774)"
1166038,"NIKTOR IT, INC.",21 FLORENCE WAY,,FARMINGTON,CT,,06032,,,,,,,visu@niktor.com,01/16/2015,"21 FLORENCE WAY
FARMINGTON, CT 06032
(41.701587, -72.886873)"
1177927,"MOBIUSMITH, INC.",27 RACE HILL ROAD,,MADISON,CT,,06443,27 RACE HILL ROAD,,,06443,MADISON,CT,,05/29/2015,"27 RACE HILL ROAD
MADISON, CT 06443
(41.34677, -72.657212)"
1264891,HY INVESTMENT INC,"112 SOUTHFIELD AVE, #401",,STAMFORD,CT,,06902,"112 SOUTHFIELD AVE, #401",,,06902,STAMFORD,CT,yanzhao1688@gmail.com,02/23/2018,
1226763,ANNIES K9 DESIGN INC,1439 EAST MAIN ST,,TORRINGTON,CT,,06790,11 CROSS ST,,,01915,BEVERLY,MA,anniesk9design@yahoo.com,12/29/2016,
1235581,AKROPOL CONSTRUCTION INC.,,,,,,,,,,,,,AKROPOLCONSTRUCTION@GMAIL.COM,04/10/2017,
1241085,LA NAILS SPA INC,,,,,,,,,,,,,YANDWPROFESSIONAL@GMAIL.COM,06/05/2017,
1180320,PROMETHEUS CORP.,15 EAST PUTNAM AVENUE #181,,GREENWICH,CT,,06830,,,,,,,tina.stow@me.com,07/07/2015,"15 EAST PUTNAM AVENUE #181
GREENWICH, CT 06830
(41.031669, -73.626418)"
1173819,"OLD BEV, CO.",,,,,,,,,,,,,,04/30/2015,
1204212,"AL COMPLETE HANDYMEN,INC.",,,,,,,,,,,,,ALCOMPLETEHANDYMEN@GMAIL.COM,04/22/2016,
1245838,"BOOK WAREHOUSE OF CLINTON, CT, INC.",,,,,,,,,,,,,AHASKINS@AMERICANBOOKCO.COM,07/28/2017,
1256518,SMALL FEET STATION INC,,,,,,,,,,,,,EXCELLISA@YAHOO.COM,11/27/2017,
1255514,A & P SANDWICHES INC,,,,,,,,,,,,,CYETTITO@HOTMAIL.COM,11/13/2017,
1254847,ITALL.ORG PUBLIC BENEFIT CORPORATION,,,,,,,,,,,,,GREG@IT-ALL.COM,11/06/2017,
1207298,WHY LEAP ALLIANCE INC.,44 MIDWOOD RD,,BRANFORD,CT,,06405,,,,,,,LISAGGUIDA@GMAIL.COM,05/30/2016,
1261718,DREAM 888 NAILS SPA INC.,153 BOSTON POST RD,,ORANGE,CT,,06477,153 BOSTON POST RD,,,06477,ORANGE,CT,,01/22/2018,
1196968,FAIRFIX CT INC,1134 POST RD,,FAIRFIELD,CT,,06824,1134 POST RD,,,06824,FAIRFIELD,CT,ORENCPA@AOL.COM,01/22/2016,
1205700,"UPLEVEL ADVISORS, INC.",74 STONY BROOK DRIVE,,STAMFORD,CT,,06902,74 STONY BROOK DRIVE,,,06902,STAMFORD,CT,a@upleveladvisors.com,05/10/2016,
1088811,"TRIFECTA ECOSYSTEMS, INC.",290 PRATT STREET,SUITE 1451,MERIDEN,CT,,06450,190 CENTER STREET,P.O. BOX 2419,,06450,MERIDEN,CT,INFO@TRIFECTAECOSYSTEMS.COM,11/14/2012,"NONE
S, CT 06073"
1256579,"EVA'S DOLLAR STREET, INC.",23 HILLSIDE AVENUE,,STAMFORD,CT,,06902,23 HILLSIDE AVENUE,,,06902,STAMFORD,CT,ezberg@mail.ru,11/28/2017,
1257021,"OPEN HEARTS LOVE TRIBE ARTS LIFE CENTER, INC.",1008 MAIN ST.,,BRANFORD,CT,,06405,1008 MAIN ST.,,,06405,BRANFORD,CT,SAL@NEXGENPSS.COM,12/05/2017,
1257553,ASPEN HEALING SPA INC,,,,,,,,,,,,,ICONYLLC@GMAIL.COM,12/08/2017,
1127875,"BLUE EARTH COMPOST, INC.",3580 MAIN STREET,,HARTFORD,CT,,,3580 MAIN STREET,,,,HARTFORD,CT,alex@blueearthcompost.com,12/20/2013,
1235451,BLUE MOON SPA INC,,,,,,,,,,,,,EXCELLISA@YAHOO.COM,04/10/2017,
1156258,"BLUEPRINT FOR IMPACT, INC.",,,,,,,,,,,,,,10/01/2014,
1262296,BLACK TRUCKING INC,,,,,,,,,,,,,TRUCKPRODRIVER@GMAIL.COM,01/31/2018,
1213697,BO BOIL INC,758 STATE STREET,,NEW HAVEN,CT,,06511,758 STATE STREET,,,06511,NEW HAVEN,CT,kaffcocoinc@gmail.com,08/04/2016,
1262491,"BENEFIT COATINGS, INC.",550 LONG BEACH BLVD,,STRATFORD,CT,,06615,550 LONG BEACH BLVD,,,06615,STRATFORD,CT,CRAIGBERRY@BENEFITCOATINGS.COM,02/07/2018,
1196430,BRANDON NICHOLAS EZA PUBLISHING INC.,3050 MAIN STREET,,COVENTRY,CT,,06238,3050 MAIN STREET,,,06238,COVENTRY,CT,legal@bnepublishing.com,01/21/2016,
1199943,BUCKLAND CHARLEY INC,194 BUCKLAND HILLS ROAD,,MANCHESTER,CT,,06040,194 BUCKLAND HILLS ROAD,,,06040,MANCHESTER,CT,mk8500@gmail.com,03/08/2016,
1181133,"THE C.A.R.E.S. GROUP, INC.",2 ELM DR..,,NEWTOWN,CT,,06470,P.O. BOX 114,,,06404,BOTSFORD,CT,joan@thecaresgroup.org,07/14/2015,
1185415,CCMAD-WAD CORP,103 COTTAGE STREET,,BRIDGEPORT,CT,,06605,103 COTTAGE ST,,,06605,BRIDGEPORT,CT,femalefirsts@yahoo.com,09/08/2015,
1263554,BLUE ANGEL INC,,,,,,,,,,,,,PMGCT2@GMAIL.COM,02/12/2018,
1216622,"CERBERUS-MORNINGSTAR, CORPORATION",,,,,,,,,,,,,,09/12/2016,
1257828,CERTIFIED BREAD WINNERS INC,2744 FAIRFIELD AVE APT 5,,BRIDGEPORT,CT,,06605,2744 FAIRFIELD AVE APT 5,,,06605,BRIDGEPORT,CT,certifiedfamily123@gmail.com,12/12/2017,
945693,CIL DEVELOPMENT INCORPORATED,157 CHARTER OAK AVENUE,,HARTFORD,CT,,06109,157 CHARTER OAK AVENUE,,,06106,HARTFORD,CT,MGREEN@CIL.ORG,07/31/2008,
1263264,FAITH TRANSPORTATION INC,,,,,,,,,,,,,TRUCKPRODRIVER@GMAIL.COM,02/08/2018,
1222971,"FOUNDERSTOOD, INCORPORATED",,,,,,,,,,,,,NDOYEN@FOUNDERSTOOD.ORG,11/23/2016,
1269606,CD HOME DESIGN INC,,,,,,,,,,,,,DONERTAS1980@GMAIL.COM,04/10/2018,
1122906,"GENIUS BOX, INC.",7 QUAIL COURT,,SHELTON,CT,,06484,7 QUAIL COURT,,,06484,SHELTON,CT,info@geniusbox.me,10/28/2013,"7 QUAIL COURT
SHELTON, CT 06484
(41.276199, -73.089679)"
1269533,GOLD DUST LOGISTICS INC,,,,,,,,,,,,,EVACHICAGO1@GMAIL.COM,04/09/2018,
1250965,GREAT CLASSIC NAILS & SPA INC,,,,,,,,,,,,,EXCELLISA@YAHOO.COM,09/25/2017,
1170908,"GREENWELL FINANCIAL, INC.",7 ZINN RD.,,DANBURY,CT,,06811,,,,,,,NIKKI@GREENWELLFINANCIAL.COM,03/13/2015,"7 ZINN RD.
DANBURY, CT 06811
(41.421344, -73.483454)"
1270412,SLEEPING GIANT TRANSPORTATION INC,,,,,,,,,,,,,RIMA@FLEETECH.US,04/18/2018,
1200676,"HEALTHVENTURE HOLDINGS, INC.",195 CHURCH STREET 9TH FLOOR,,NEW HAVEN,CT,,06511,33 DIXWELL AVENUE,,,06511,NEW HAVEN,CT,Sri.muthu@healthventure.com,03/16/2016,
1257190,HUNAN ON WATER ELM CORP,25 ELM STREET,,NEW CANAAN,CT,,06840,25 ELM ST,,,06840,NEW CANAAN,CT,vicky840130@yahoo.com,12/04/2017,
1268674,JY SUSHI INC,,,,,,,,,,,,,YKK3455@YAHOO.COM,03/30/2018,
1156154,"DARK BLUES AC, INC.",,,,,,,,,,,,,,10/01/2014,
1267570,HHH BUSINESS GROUP 2 INC,,,,,,,,,,,,,ASMANOSHEEN@YAHOO.COM,03/22/2018,
1113888,IMISSION INSTITUTE INC.,755 TUTTLE AVE,755 TUTTLE AVENUE,HAMDEN,CT,,06518,755 TUTTLE AVE,755 TUTTLE AVENUE,,06518,HAMDEN,CT,robleighton@imissionpartners.com,07/23/2013,"760 CHAPEL STREET
HAMDEN, CT 06510"
1217273,JEJE TRADING INC,,,,,,,,,,,,,YOHAN@CPATAXPLANNING.NET,09/20/2016,
1262305,"JNC REAL ESTATE ADVISERS, INC.",,,,,,,,,,,,,JNOVOTNY1405@GMAIL.COM,01/31/2018,
1211895,"JO-ZKYLAN, INC.",5 JACKIE LANE,,WESTPORT,CT,,06880,,,,,,,JONATHAN@JOZKYLAN.COM,07/19/2016,
1228555,"J&V VENTURES, INC.",,,,,,,,,,,,,VASLEF@MINDSPRING.COM,01/30/2017,
1243772,KRAVE KITCHEN INC.,680 OLD COLONY RD.,,MERIDEN,CT,,06451,637 BARBEY ST,,,11207,BROOKLYN,NY,Braceent1@gmail.com,07/18/2017,
1249949,LAST LINE CREDIT REPAIR INC.,,,,,,,,,,,,,,08/24/2017,
1259283,LESSER GLOBAL CONSULTING INC,59 LIBERTY STREET,UNIT 34,STAMFORD,CT,,06902,59 LIBERTY STREET,UNIT 34,,06902,STAMFORD,CT,robert.dean.lesser@gmail.com,01/02/2018,
1188572,LUSTY-LEAF ORGANICS INC,,,,,,,,,,,,,,10/15/2015,
1238063,MADHAV LOTTO & VARIETY INC.,247 CONNECTICUT AVENUE,,NORWALK,CT,,06854,247 CONNECTICUT AVENUE,,,06854,NORWALK,CT,nishant_patel14@yahoo.com,05/03/2017,
1273685,MO FLOORS INC,,,,,,,,,,,,,MOFLOORSMA@GMAIL.COM,05/17/2018,
1160157,METAMORPHOSIS LTD.,,,,,,,,,,,,,,11/19/2014,
1232338,MJ & J TRUCKING CORP,,,,,,,,,,,,,JTOSEVERINO@GMAIL.COM,03/08/2017,
1227369,MR WIRELESS INC.,,,,,,,,,,,,,ROHIT@SONIWIRELESS.COM,01/19/2017,
1273939,"MULTI AD MEDIA SERVICES, INC.",,,,,,,,,,,,,,05/21/2018,
1244007,MYRICA DESIGN INC,,,,,,,,,,,,,CONSULTANT5914@MAIL.COM,07/06/2017,
1271792,NEW CHEONSU INC,,,,,,,,,,,,,YKK3455@YAHOO.COM,04/30/2018,
1257760,NEW LIGHT STAR INC.,,,,,,,,,,,,,59549940@QQ.COM,12/11/2017,
1162371,"NEW MILFORD FAMILY DENTAL, PC",56 DANBURY ROAD,,NEW MILFORD,CT,,06776,90 NURSERY ROAD,,,06877,RIDGEFIELD,CT,nyudds04@gmail.com,12/19/2014,"56 DANBURY ROAD
NEW MILFORD, CT 06776
(41.566441, -73.41453)"
1205513,NEW YAMA FUJI SUSHI INC.,,,,,,,,,,,,,,04/27/2016,
1275047,AMTRUST NORTH AMERICA CORP. SVC,,,,,,,,,,,,,TFATTER@GMAIL.COM,06/01/2018,
1275082,MUFFINS N' MORE INC,,,,,,,,,,,,,TFATTER@GMAIL.COM,06/01/2018,
1201896,OTTOMANY INC,,,,,,,,,,,,,ELIFCECELI@GMAIL.COM,03/31/2016,
1275301,GOLOBAL SI CORPORATION,,,,,,,,,,,,,GOLOBALSICORP@GMAIL.COM,06/05/2018,
1160134,"PACIFIC 99, INC.",,,,,,,,,,,,,,11/17/2014,
1219990,"PARADIGM PROVIDER PARTNERS, INC.",,,,,,,,,,,,,,10/24/2016,
1252214,"PINE LAKE INVESTMENTS, INC.",,,,,,,,,,,,,KMOYER@PINELAKELABS.COM,10/09/2017,
1193739,"PUDDLE MOUNTAIN FARM, INC.",,,,,,,,,,,,,,12/18/2015,
1243520,R.A REAL ESTATE INC,,,,,,,,,,,,,CONSULTANT5914@MAIL.COM,06/29/2017,
1267188,RAVIX TRUCKING INC,,,,,,,,,,,,,RIMA@FLEETECH.US,03/20/2018,
38096,"R.C. BIGELOW, INC.",201 BLACK ROCK TURNPIKE,,FAIRFIELD,CT,,06825,201 BLACK ROCK TURNPIKE,,,06825,FAIRFIELD,CT,LDIDOMENICO@RCBIGELOW.COM,11/30/1961,
1169714,"READY EVERY MINUTE, INC.",,,,,,,,,,,,,,03/06/2015,
1244010,RIGINA CATERERS INC,,,,,,,,,,,,,BUSINESS703@MAIL.COM,07/06/2017,
1266200,RWT CORPORATION,32 NEW RD,,MADISON,CT,,06443,32 NEW RD,,,06443,MADISON,CT,alicia@weldingworks.com,03/09/2018,
1170978,"SAFETY DISPATCH, INC.",,,,,,,,,,,,,,03/13/2015,
1180377,"SARAH'S COFFEE HOUSE, INC.",257 ASYLUM STREET,,HARTFORD,CT,,06103,P.O. BOX 4070,,,06147,HARTFORD,CT,JBEAULIEU@SARAHCOFFEEHOUSE.COM,07/08/2015,
1169770,"SARF2, INC.",7 A QUEEN TER,,SOUTHINGTON,CT,,06489,7 A QUEEN TER,,,06489,SOUTHINGTON,CT,Saleem@devasp.com,03/05/2015,
1156250,SAY IT FORWARD & CO.,,,,,,,,,,,,,,10/01/2014,
1191049,"TACTILE, INC.",139 W MAIN ST,,CANAAN,CT,,06018,139 W MAIN ST,,,06018,CANAAN,CT,jc@mytactile.com,11/16/2015,
1057471,THE TAN2000 INTERNATIONAL REGULATORY CORPORATION,55 CAPITAL BOULEVARD,2ND FLOOR,ROCKY HILL,CT,,06067,PO BOX 688,,,06067,ROCKY HILL,CT,ANDREW.TAN@TANRC.ORG,12/27/2011,
1251358,THIAGO'S UNISEX INC.,,,,,,,,,,,,,VELKAST@GMAIL.COM,09/29/2017,
1156249,TREESLEEVE INC.,,,,,,,,,,,,,,10/01/2014,
1205049,"TT OF FIRST MILE SERVICES, INC.",505 S FLAGLER DR STE 700,,WEST PALM BEACH,FL,,33401,505 S FLAGLER DR STE 700,,,33401,WEST PALM BEACH,FL,jguittar@totalwarrantyservices.com,05/02/2016,
1184449,"UNTAPPED POTENTIAL, INC.",21 DARTMOUTH DRIVE,,CANTON,CT,,06019,21 DARTMOUTH DRIVE,,,06019,CANTON,CT,cfreedenberg@gmail.com,08/25/2015,
1244201,"WAGGLE CARE, INC.",18 NAVY LANE,,ESSEX,CT,,06426,12 MAIN STREET,SUITE 5,,06426,ESSEX,CT,mornelli@waggle.org,07/10/2017,
171172,"THE WALKER GROUP, INC.",20 WATERSIDE DR,,FARMINGTON,CT,,06032,20 WATERSIDE DRIVE,,,06032,FARMINGTON,CT,dsutcliffe@THEWALKERGROUP.COM,06/26/1985,
1206168,ONE WORLD MARKET INC.,151 NEW PARK AVE STE 5A,,HARTFORD,CT,,06106,,,,,,,ART@INTERHARTFORD.ORG,05/06/2016,
1174832,"OPUS 12 GROUP, INC.",,,,,,,,,,,,,,04/20/2015,
1237464,SERENITY HEALTH PROFESSIONALS INC.,,,,,,,,,,,,,SERENITYPROFESSIONALS@GMAIL.COM,04/28/2017,
1259183,SHAZIA NISAR INC,,,,,,,,,,,,,HARRY103@LIVE.COM,01/01/2018,
1259708,SHAZIA MAHMOOD INC,,,,,,,,,,,,,HARRY103@LIVE.COM,01/06/2018,
1188775,SINGZ CORPORATION,ARVINDER BATRA,80 SALEM RD,TRUMBULL,CT,,06611,ARVINDER BATRA,80 SALEM RD,,06611,TRUMBULL,CT,RAI228@OUTLOOK.COM,10/19/2015,
1166300,"SOCIAL MOVEMENT TECHNOLOGIES, INC.",,,,,,,,,,,,,,01/21/2015,
1165591,SPIRIT TOURS TRAVEL AGENCY INC,,,,,,,,,,,,,,01/29/2015,
1157551,STEPHANIE & CO.,,,,,,,,,,,,,,10/20/2014,
1223517,STOP N GO DELI MINI MARKET INC,,,,,,,,,,,,,LIXUCPA@YAHOO.COM,12/01/2016,
844504,"WALT-THE-MAD, INC.",363 WEST HIGH STREET,,COBALT,CT,,06414,44 WOODLAND HEIGHTS,,,06481,ROCKFALL,CT,waltnelson666@gmail.com,01/03/2006,"367 WEST HIGH STREET
COBALT, CT 06414
(41.562432, -72.555111)"
1158201,"WASTE RESOURCE RECOVERY, INC.",505 EXETER RD,,LEBANON,CT,,06249,505 EXETER RD,,,06249,LEBANON,CT,richmadrak@sbcglobal.net,10/24/2014,"505 EXETER RD
LEBANON, CT 06249
(41.63982, -72.208218)"
1279784,US FURNITURE TREE CORP,,,,,,,,,,,,,2533AGAG@GMAIL.COM,07/23/2018,
1220985,YONG LE CONSULTING INC,677 STATE STREET,,NEW HAVEN,CT,,06511,677 STATE STREET,,,06511,NEW HAVEN,CT,INFO@LUOCPA.COM,11/03/2016,
1199220,"YOUR GREEN SPA, INC.",,,,,,,,,,,,,,03/24/2016,
1233338,"2ND CHANCE PLANET, INC.",22 ANDOVER DRIVE,UNIT A,WEST HARTFORD,CT,,06110,22 ANDOVER DRIVE,UNIT A,,06110,WEST HARTFORD,CT,gspear@2ndchanceplanet.org,03/20/2017,
1284190,"FLAME ON ENTERTAINMENT, INC",,,,,,,,,,,,,BOOKING@HOODENVIRONMENT.COM,09/07/2018,
1285879,TOMMAN CONSTRUCTION PRODUCTS INC,,,,,,,,,,,,,TOMCHRISTMAN19@GMAIL.COM,09/24/2018,
1286134,TREE OF LIFE HOME CARE INC.,400 POST ROAD UNIT 2,,FAIRFILED,CT,,06824,400 POST ROAD UNIT 2,,,06824,FAIRFILED,CT,wilinelouissidne72@gmail.com,09/27/2018,
1286608,PERSONAL TOUCH HOME CARE INC.,8 CHARLES STREET,,NORWALK,CT,,06855,8 CHARLES STREET,,,06855,NORWALK,CT,PERSONALTOUCHHOMECARECT@GMAIL.COM,10/02/2018,
1286620,D&D HOME CARE INC.,,,,,,,,,,,,,DDHOMECARECT@GMAIL.COM,10/02/2018,
1286757,METER DATA COLLECTION SERVICES INC.,46 BRIDGE STREET,,NEW MILFORD,CT,,06776,46 BRIDGE STREET,,,06776,NEW MILFORD,CT,ROND@METERDCS.COM,10/03/2018,
1287375,NESSA MEN AND WOMEN CLOTHING INC,,,,,,,,,,,,,DEREKANDERSON985@YAHOO.COM,10/10/2018,
1289510,"GENERAL HEARING, INC.",733 HIGHLAND AVENUE,,WATERBURY,CT,,06708,733 HIGHLAND AVENUE,,,06708,WATERBURY,CT,b.deanw@snet.net,10/31/2018,
1290318,"CHAPTER391, INC.",,,,,,,,,,,,,JRJURZYNSKI@CHAPTER391.COM,11/10/2018,
1290507,"THE AMATEUR RIDERS ASSOCIATION OF AMERICA, INC.",,,,,,,,,,,,,TIM@RAMIERLAW.COM,11/13/2018,
1291247,".BB-D 2DAZ SPECIAL REVOLVER INDUSTRIES, INC.",,,,,,,,,,,,,SDESAI.CT080@GMAIL.COM,11/21/2018,
1294575,N2K ADVISORY HOLDINGS INC.,79,CATBRIER RD,WESTON,CT,,06883,79,CATBRIER RD,,06883,WESTON,CT,N8KMAIL@GMAIL.COM,12/24/2018,
1296347,CUTLER INVESTMENT MANAGEMENT INC.,,,,,,,,,,,,,BETH.CUTLER@WELLSFARGOADVISORS.COM,01/15/2019,
1320990,NAZ CATERING INC,,,,,,,,,,,,,KAYHANTARTICI@HOTMAIL.COM,09/10/2019,
1320997,NUM #1 REALTY INC.,,,,,,,,,,,,,KOKILA@EGBSYSTEMS.COM,09/10/2019,
1321576,"NIKTOR IT, INC.",146 NEW BRITAIN AVE,2ND FLOOR,PLAINVILLE,CT,,06062,6 ROSE CLIFF,,,06032,FARMINGTON,CT,MMAHAJAN@VERIZON.NET,09/17/2019,
1323683,J&P NAILS INC,,,,,,,,,,,,,YKK3455@YAHOO.COM,10/07/2019,
1324671,POKE N RAMEN 360 TRUMBULL INC,,,,,,,,,,,,,YLIU@WYCPAS.COM,10/17/2019,
256676,"ENTERTAINMENT PROMOTIONS, INC.",W WELLMAN BEATTY III,63 OLD STAGECOACH ROAD,REDDING,CT,,06896,W WELLMAN BEATTY III,63 OLD STAGECOACH ROAD,,06896,REDDING,CT,epimediaproject@gmail.com,01/22/1991,
1296449,SHARPE 75 CORPORATION,,,,,,,,,,,,,ROSS.BAUER@WELLSFARGOADVISORS.COM,01/16/2019,
1296580,E R STUEBNER INC,,,,,,,,,,,,,STUEBNERINC5914@CONTRACTOR.NET,01/16/2019,
1296977,ZENG'S NEW WORLD CHINESE RESTAURANT INC.,,,,,,,,,,,,,DKI.INC@GMAIL.COM,01/23/2019,
1298542,RUBINESTONES CAPITAL USA INC,,,,,,,,,,,,,JWU@LUOCPA.COM,02/06/2019,
1299264,MERRITT GUITAR CORPORATION,,,,,,,,,,,,,RICHMADRAK@SBCGLOBAL.NET,02/13/2019,
1306716,ASSET MGT INC,492 MIDDLEBURY RD,,MIDDLEBURY,CT,,06762,492 MIDDLEBURY RD,,,06762,MIDDLEBURY,CT,assetmgtinc4@gmail.com,04/18/2019,
1311734,ORTIZ CARPENTRY CUSTOMS INC,,,,,,,,,,,,,JYASSOCIATES681@HOTMAIL.COM,06/05/2019,
1303439,"BTX TECHNOLOGIES, INC",,,,,,,,,,,,,KURTK@BTX.COM,03/21/2019,
1304419,CARING STARS HOME AND HEALTHCARE STAFFING AGENCY CORPORATION,,,,,,,,,,,,,AIDEYAN15@GMAIL.COM,03/29/2019,
1304819,MASSEY SUBWAY INC,,,,,,,,,,,,,KERRINMASSEY@YAHOO.COM,04/02/2019,
1306030,NATURAL NAIL INC.,,,,,,,,,,,,,SANNYLU18@GMAIL.COM,04/10/2019,
1309754,NAIL FACTORY INC,,,,,,,,,,,,,AMERIONE.US@GMAIL.COM,05/16/2019,
1310084,CHOCOLATE NAILS INC,,,,,,,,,,,,,AMERIONE.US@GMAIL.COM,05/21/2019,
1311422,COZY NAIL SPA 3 CORP,,,,,,,,,,,,,YKK3455@YAHOO.COM,06/03/2019,
1313194,KIMMIE'S NAIL & SPA INC,1093 S MAIN ST,,CHESHIRE,CT,,06410,1093 S MAIN ST,,,06410,CHESHIRE,CT,XIAOER0317@GMAIL.COM,06/20/2019,
1314030,TRU AUTO MALL MOBILE MECHANIC CORPORATION,,,,,,,,,,,,,TRUAUTOM@GMAIL.COM,06/26/2019,
1314726,VENSAR TECHNOLOGY INC,,,,,,,,,,,,,SRINI@VENSAR.US,07/08/2019,
1322021,"KENSINGTON FINANCIAL ASSOCIATES, INC",,,,,,,,,,,,,JEANNE@KENSINGTONFA.COM,09/20/2019,
