the_geom,OBJECTID,OwnerName,BusinessName,Address,Suite,City,State,Zip,PhoneNumber,BusinessType
POINT (-90.049105787516 29.972033373327),432051,LB SAINTS FOOD STORE CORP.,LB SAINTS FOOD STORE,2601 N VILLERE ST,,NEW ORLEANS,LA,70117,504-945-7799,1101 - CONVENIENCE STORES
POINT (-90.08774928797 29.965515303894),431938,VIENNE ENTERPRISE LLC,CANAL MART & EATERY,2700 CANAL ST,A,NEW ORLEANS,LA,70119,504-821-7730,1101 - CONVENIENCE STORES
POINT (-90.072379747629 29.971765108012),431982,2 NY FASHIONS INC,DISCOUNT EXPRESS,2000 ESPLANADE AVE,,NEW ORLEANS,LA,70116,504-433-8600,1101 - CONVENIENCE STORES
POINT (-89.992314528295 30.02847564279),431970,DALYA LLC,CROWDER CENTER,5769 CROWDER BLVD,,NEW ORLEANS,LA,70127,504-241-6555,1101 - CONVENIENCE STORES
POINT (-90.076989294557 29.951922709288),432039,"MLT ENTERPRISES,INC",KING SUPERMARKET,1135 SAINT BERNARD AVE,,NEW ORLEANS,LA,70116,504-782-7639,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-89.984500416407 29.923482251374),432189,SAMZI  G INC,T & T FOOD MART,6419 GENERAL MEYER AVE,,NEW ORLEANS,LA,70131,504-393-0201,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.039356823812 30.005216761007),432222,"WAL-MART LOUISIANA, LLC",WALMART #3167(GENTILLY),4301 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70164,479-204-6234,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.048008168511 29.977125829774),432003,FRANKLIN AVENUE MARKET LLC,FRANKLIN FOOD MART,1843 FRANKLIN AVE,,NEW ORLEANS,LA,70117,,1101 - CONVENIENCE STORES
POINT (-89.97902656146 30.051703843972),431945,CASTNET SEAFOOD INC,CASTNET,10826 HAYNE BLVD,,NEW ORLEANS,LA,70127,,1104 - FISH & SEAFOOD MARKETS
POINT (-90.0400759319 29.944971979583),432050,LAWSONS GROCERY & DELI  INC,LAWSON'S GROCERY & DELI,1625 NEWTON ST,,NEW ORLEANS,LA,70114-2604,504-368-4958,1101 - CONVENIENCE STORES
POINT (-90.119653822911 29.955581919067),432186,I ZENITH INC,SUPER SERVE,8023 S CLAIBORNE AVE,,NEW ORLEANS,LA,70125,504-862-9079,1101 - CONVENIENCE STORES
POINT (-89.991662452936 30.028219649029),432212,UR FAMILY MATTERS INC,UR FAMILY MATTERS,5741 CROWDER BLVD,,NEW ORLEANS,LA,70127,404-915-8892,1101 - CONVENIENCE STORES
POINT (-89.991780649006 30.029722439012),432153,SAMI LLC,SAM'S MEAT MARKET,8426 I 10 E SERVICE RD,,NEW ORLEANS,LA,70127,,1103 - MEAT MARKETS
POINT (-90.040495089397 29.945326564599),432092,"KHP,LLC",NEWTON CORNER MART,1600 NEWTON ST,,NEW ORLEANS,LA,70114,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-89.91223667081 30.037409320956),432216,HANG VU ENTERPRISES     INC,VIET MY SUPERMARKET,4656 ALCEE FORTIER BLVD,,NEW ORLEANS,LA,70129,504-254-0682,1101 - CONVENIENCE STORES
POINT (-90.089377801288 29.9629592514),431916,HOANG AN INC,BROAD & BANKS SEAFOOD,342 S BROAD ST,,NEW ORLEANS,LA,70119,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.118713740516 29.916084770997),432192,UPTOWN GAS STATION MANAGLLC,TCHOUP-STOP,5600 TCHOUPITOULAS ST,,NEW ORLEANS,LA,70115,504-595-3112,1101 - CONVENIENCE STORES
POINT (-90.120664034947 29.957054464413),432137,CLAIBORNE FRESH MARKET LLC,ROBERT FRESH MARKET #124,8115 S CLAIBORNE AVE,,NEW ORLEANS,LA,70118,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.021260380171 30.018230035093),431985,FADI INC,DOWNMAN SUPERMARKET,4827 DOWNMAN RD,,NEW ORLEANS,LA,70126,504-242-2882,1101 - CONVENIENCE STORES
POINT (-90.092867040416 29.930129203632),431902,BACK ON THE AVENUE LLC,BACK ON THE AVENUE,3401 BARONNE ST,,NEW ORLEANS,LA,70115,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.076989294557 29.951922709288),432091,"NEW ORLEANS FOOD CO-OP,INC",NEW ORLEANS FOOD CO-OP,2372 ST. CLAUDE AVENUE,STE. 110,NEW ORLEANS,LA,70117,504-324-6849,"0138 - GROCERY & RELATED PRDCTS WHLSRS, OTH"
POINT (-90.117647833343 29.920834215075),432227,"WHOLE FOOD COMPANY, INC",WHOLE FOODS MARKET,5600 MAGAZINE ST,,NEW ORLEANS,LA,70115,000-899-9119,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-89.961730828006 30.047884086461),431926,BULLARD BROTHERS NO 127 LLC,BROTHERS FOOD MART NO 127,7001 BULLARD AVE,,NEW ORLEANS,LA,70128,,1101 - CONVENIENCE STORES
POINT (-90.133750108902 29.950718202179),432032,"AMEERA AB,LLC",JSK DISCOUNT,8539 OAK ST,STE #A,NEW ORLEANS,LA,70118,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.042603784029 29.963946443834),432000,"FRADY, JOSEPH M",FRADY'S ONE STOP FOOD STORE,3231 DAUPHINE ST,,NEW ORLEANS,LA,70117,,1101 - CONVENIENCE STORES
POINT (-90.04158844227 29.929638574716),432097,"NOLA DISCOUNT, INC",NOLA DISCOUNT FOOD STORE,2204 L B LANDRY AVE,,NEW ORLEANS,LA,70114,,1101 - CONVENIENCE STORES
POINT (-90.036329126921 29.965571407892),432096,CUONG THAO INC,NIKKI FOOD STORE,3900 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,504-945-6655,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.073964813901 29.947843540234),432140,"ROUSE'S ENTERPRISES, LLC.",ROUSE'S MARKET #46(CBD),701 BARONNE ST,,NEW ORLEANS,LA,70113,504-227-3838,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.05065667633 30.012550600808),432019,MARAH LLC,HAPPY DISCOUNT,5301 FRANKLIN AVE,,NEW ORLEANS,LA,70122,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE)
POINT (-90.066028246976 29.961328059028),432121,ROSEMARY & TRANG INC,QUARTER GROCERY & DELI,836 BURGUNDY ST,,NEW ORLEANS,LA,70116,504-529-2702,1101 - CONVENIENCE STORES
POINT (-90.077682298641 29.976371599768),432049,"LAVA SUPERMARKET, INC",LAVA SUPERMARKET,1410 N BROAD ST,,NEW ORLEANS,LA,70119,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.089290585975 29.946442822093),431980,T & HO LLC,DISCOUNT CITY,2013 S CLAIBORNE AVE,D,NEW ORLEANS,LA,70125,,1101 - CONVENIENCE STORES
POINT (-90.050351857753 29.96450211341),432068,MARDI GRAS ZONE LLC,MARDI GRAS ZONE GROCERY,2706 ROYAL ST,,NEW ORLEANS,LA,70117,504-647-8787,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.051969783282 29.964942085969),432162,SCHIRO'S SUPER FOOD STORE INC,SCHIRO'S SUPER FOOD STORE INC,2483 ROYAL ST,,NEW ORLEANS,LA,70117,504-945-4425,1105 - FULL SVC RESTAURANTS (TABLE SERVICE)
POINT (-90.021708529497 30.014775030981),432055,SOUL'S SEAFOOD LLC,LOUISIANA PRIDE SEAFOOD,4418 DOWNMAN RD,,NEW ORLEANS,LA,70126,504-248-7522,1104 - FISH & SEAFOOD MARKETS
POINT (-90.031237954123 29.964478206152),432204,CHAU TWO CORPORATION,TRUE CAJUN SEAFOOD,4400 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,504-948-8998,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.008742662016 29.964337231061),432064,ALZARA INC,MAGNOLIA SUPERMARKET,6100 N CLAIBORNE AVE,,NEW ORLEANS,LA,70117,504-628-6781,1101 - CONVENIENCE STORES
POINT (-89.911367964934 30.035968125017),431951,"CHEF MARKET,LLC",CHEF MARKET,14400 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70129,,1101 - CONVENIENCE STORES
POINT (-90.107691684146 29.976411409416),432105,OLYMPIA FOOD STORE INC,OLYMPIA FOOD STORE INC,301 S OLYMPIA ST,,NEW ORLEANS,LA,70119,504-231-4883,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.057212000722 29.978814292306),431974,"DANG ENTERPRISE , INC.",DANNY FOOD STORE,2101 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70117,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.037785477168 29.966017663187),432076,MMBS INC.,MIKE'S FOOD STORE,3708 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,504-390-7943,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.088473973179 29.96933963949),432101,NORMA'S SWEET BAKERY #2 LLC,NORMA'S SWEET BAKERY,2925 BIENVILLE AVE,,NEW ORLEANS,LA,70119,504-309-5401,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-89.989134921084 30.04670832449),432015,HABIBI GROCERY L.L.C.,HABIBI GROCERY,9530 HAYNE BLVD,,NEW ORLEANS,LA,70127,504-220-8250,1101 - CONVENIENCE STORES
POINT (-90.100097872802 29.921048906742),431898,REDZONE MAGAZINE,AVENUE MART LLC,4237 MAGAZINE ST,,NEW ORLEANS,LA,70115,(504899-8579,1101 - CONVENIENCE STORES
POINT (-90.073278103732 29.980354849508),432025,INSANITEA KOMBUCHA LLC,INSANITEA KOMBUCHA,2526 D'ABADIE ST,,NEW ORLEANS,LA,70119,,"0138 - GROCERY & RELATED PRDCTS WHLSRS, OTH"
POINT (-90.080638228044 29.974466255347),432151,S EXPRESS FOOD STORE LLC,S EXPRESS FOOD STORE,2703 URSULINES AVE,,NEW ORLEANS,LA,70119,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.10238926156 29.916910432707),432141,"ROUSE'S ENTERPRISES, LLC",ROUSES MARKET #26,4500 TCHOUPITOULAS ST,,NEW ORLEANS,LA,70115,504-896-7910,1105 - FULL SVC RESTAURANTS (TABLE SERVICE)
POINT (-90.100217704488 29.940832037626),431962,SOUTH CLAIBORNE OPERATIONS,CLAIBORNE #165,4101 S CLAIBORNE AVE,,NEW ORLEANS,LA,70125,,1101 - CONVENIENCE STORES
POINT (-90.01927611874 29.938688005792),431893,ALGIERS DISCOUNT FOOD STORE INC,ALGIERS DISCOUNT FOOD STORE,3549 GENERAL MEYER AVE,,NEW ORLEANS,LA,70114,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.111533790201 30.020637775745),432138,M ROBERT ENTERPRISES INC,ROBERT FRESH MARKET(ROBT E LEE),135 ROBERT E LEE BLVD,,NEW ORLEANS,LA,70124,504-885-7005,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.076989294557 29.951922709288),432202,THERESA MARIA LLC,TODAY'S CAJUN,1700 ST CLAUDE AVE,,NEW ORLEANS,LA,70116,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.068895456545 29.95962519443),432111,P & J OYSTER CO,P & J OYSTER CO,1039 TOULOUSE ST,,NEW ORLEANS,LA,70112,504-523-2651,0135 - FISH & SEAFOOD WHLSRS
POINT (-90.062656335105 29.961869327035),432122,MISAEL LLC,QUARTER MASTER DELI,1100 BOURBON ST,,NEW ORLEANS,LA,70116,,1101 - CONVENIENCE STORES
POINT (-90.051787888571 29.979962442149),432161,SAVERS 2 INC,SAVERS 2,2440 N MIRO ST,,NEW ORLEANS,LA,70117,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.08145905493 29.962423706075),432007,"GALVEZ FOOD STORE, INC.",GALVEZ FOOD STORE,120 N GALVEZ ST,,NEW ORLEANS,LA,70119,504-304-6035,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.081520352995 29.967798519509),432139,ROCHEBLAVE FOOD STORE INC,ROCHEBLAVE FOOD STORE,601 N ROCHEBLAVE ST,,NEW ORLEANS,LA,70119,,1101 - CONVENIENCE STORES
POINT (-90.09299298299 29.931916183708),431993,FAMILY DISCOUNT STORE INC,FAMILY DISCOUNT STORE,1935 LOUISIANA AVE,,NEW ORLEANS,LA,70115,504-895-4272,1101 - CONVENIENCE STORES
POINT (-90.096759500936 29.929135085263),432069,"DAVID Y. MARTIN JR., LLC",MARTIN WINE CELLAR,3827 BARONNE ST,,NEW ORLEANS,LA,70115,504-897-0191,1101 - CONVENIENCE STORES
POINT (-90.07926257345 29.96510239089),432110,OVERFLOW MARKET & CAFE,OVERFLOW MARKET & CAFE,432 N GALVEZ ST,,NEW ORLEANS,LA,70116,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.024595285968 30.025278143098),431996,"FAST STOP OF DOWNMAN,LLC",FAST STOP,7200 DOWNMAN RD,,NEW ORLEANS,LA,70126,,1101 - CONVENIENCE STORES
POINT (-90.066368348801 29.973370699282),431956,LAYLA LLC,CIRCLE H MEAT MARKET,1600 ST BERNARD AVE,,NEW ORLEANS,LA,70116,,1103 - MEAT MARKETS
POINT (-90.111735057594 29.956559532172),431971,HENRIETTE KAMBI,CTN GROCERY,2931 BROADWAY ST,,NEW ORLEANS,LA,70125,,1101 - CONVENIENCE STORES
POINT (-90.076989294557 29.951922709288),432179,LUCERO MORAN ENTERPRISES LLC,ST. LOUIS MARKET,730 ST. LOUIS STREET,,NEW ORLEANS,LA,70130,504-451-6811,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.079161074226 29.944684686488),431986,"2000 EARHART BOULEVARD,LLC",EARHART 169,2000 EARHART BLVD,,NEW ORLEANS,LA,70113,,1101 - CONVENIENCE STORES
POINT (-90.125334422119 29.945537782293),431889,B & N FOOD STORE INC,ADAMS STREET GROCERY,1309 ADAMS ST,,NEW ORLEANS,LA,70118,,1101 - CONVENIENCE STORES
POINT (-89.993247916412 30.013710001683),431987,"EAST SIDE CASH & CARRY,",EAST SIDE CASH & CARRY INC,7943 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70126,504-243-9797,1101 - CONVENIENCE STORES
POINT (-89.980786717109 30.042348592751),432130,TBN SEAFOOD CORPORATION,READ SEAFOOD,7340 READ BLVD,,NEW ORLEANS,LA,70127,504-377-8892,1101 - CONVENIENCE STORES
POINT (-90.001739059241 30.011739043564),432083,"QUYNH NGUYEN, INC.",NATAL'S SUPERMARKET,7342 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70126,504-362-3911,1101 - CONVENIENCE STORES
POINT (-90.077557427351 29.971907910096),432023,KAKI INC,IDEAL SUPER MARKET,2436 URSULINES AVE,,NEW ORLEANS,LA,70119,504-821-9339,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-89.963349587694 30.048268165909),431988,SARA GROCERY INC,EASTOVER MARKET,7050 BULLARD AVE,,NEW ORLEANS,LA,70128,504-244-0741,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.071449071823 29.982083405195),432073,"MID CITY MARKET,L.L.C.",MID CITY MARKET,2526 ST BERNARD AVE,,NEW ORLEANS,LA,70119,504-324-9273,1104 - FISH & SEAFOOD MARKETS
POINT (-90.017980287212 30.011817840163),432149,S & I FOOD STORE INC,S & I FOOD STORE,4350 STEMWAY DR,,NEW ORLEANS,LA,70126,,1101 - CONVENIENCE STORES
POINT (-89.991753300368 29.90525121439),432033,"JULIAN FOOD STORE,LLC",JULIAN FOOD STORE,4500 WOODLAND DR,,NEW ORLEANS,LA,70131,,1101 - CONVENIENCE STORES
POINT (-90.019905393762 29.911227182775),432219,WAL-MART LOUISIANA LLC,WAL-MART  #1163(ALGIERS),4001 BEHRMAN HWY,,NEW ORLEANS,LA,70114,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.070761844304 29.952739693869),431924,"148 CARONDELET STREET,LLC",BROTHERS FOOD MART 109,148 CARONDELET ST,,NEW ORLEANS,LA,70130,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.076989294557 29.951922709288),432178,MAGNOLIA ENTERPRISES INC,ST. CHARLES MARKET,303 ST. CHARLES AVE,,NEW ORLEANS,LA,70130,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.072153981133 29.954910959124),431907,"MAGNOLIA ENTERPRISES, INC.",BAYOU GIFTS,1000 CANAL ST,,NEW ORLEANS,LA,70130,,"1110 - BEER, WINE & LIQUOR STORES"
POINT (-90.068797991638 29.955838482173),431897,ARNAUD'S FOOD COMPANY IN,ARNAUD'S FOOD COMPANY'S  INC,813 BIENVILLE ST,,NEW ORLEANS,LA,70112,504-523-5433,"0138 - GROCERY & RELATED PRDCTS WHLSRS, OTH"
POINT (-90.060515488174 29.971478210219),431885,"7TH WARD FOOD MART,LLC",7TH WARD FOOD MART,2101 PAUGER ST,,NEW ORLEANS,LA,70116,,1101 - CONVENIENCE STORES
POINT (-89.961463467552 30.04342760691),432221,"WAL-MART LOUISIANA, LLC",WAL-MART #912(EASTERN NO),6000 BULLARD AVE,,NEW ORLEANS,LA,70128,479-204-6234,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.125729836596 29.954415480643),432211,UPTOWN DANTE SUPERMARKET INC,UPTOWN SUPERMARKET,1940 DANTE ST,,NEW ORLEANS,LA,70118,504-455-4111,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.072160567787 29.966119283395),432213,THONG SINH INC,V & T FOOD STORE,913 N CLAIBORNE AVE,,NEW ORLEANS,LA,70116,504-827-9997,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-89.912354762202 30.037779631289),432114,PEREZ GROCERY LLC,PEREZ GROCERY #2,4668 ALCEE FORTIER BLVD,A,NEW ORLEANS,LA,70129,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.072466457336 29.958093041992),432088,NEW IMAGE SUPERMARKET IN,NEW IMAGE MARKET,1216 BIENVILLE ST,,NEW ORLEANS,LA,70112,,1101 - CONVENIENCE STORES
POINT (-89.818452798836 30.070799135257),431910,BIG BOY DISTRIBUTORS LLC,BIG BOY DISTRIBUTORS,4441 SAN GIORGIO ST,,NEW ORLEANS,LA,70129,504-628-5689,"0138 - GROCERY & RELATED PRDCTS WHLSRS, OTH"
POINT (-89.984049667321 29.923220297258),431909,"BENN, KERMIT",BENNS GROCERY,6445 ISADORE ST,,NEW ORLEANS,LA,70131,504-394-5800,1101 - CONVENIENCE STORES
POINT (-90.110647659927 29.967936655128),431965,COSTCO WHOLESALE CORPORATION,COSTCO WHOLESALE 1147,3900 DUBLIN ST,,NEW ORLEANS,LA,70118,425-313-8100,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-89.981250612467 30.014991441964),432170,SOHANA GROCERY STORE LLC,SOHANA GROCERY,8900 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70127,504,1101 - CONVENIENCE STORES
POINT (-90.047486051616 29.97722427571),431936,RACHEL SEAFOOD INC,CAJUN SEAFOOD 2,1901 ALMONASTER AVE,,NEW ORLEANS,LA,70117,504-945-5447,1101 - CONVENIENCE STORES
POINT (-90.021155486716 30.034317301373),432020,ASEL INC,HAYNE SUPERMARKET,6318 HAYNE BLVD,,NEW ORLEANS,LA,70126,504-244-9739,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.084498011128 29.980560028655),431941,CANSECO'S ESPLANADE LLC,CANSECO'S ESPLANADE MARKET,3135 ESPLANADE AVE,,NEW ORLEANS,LA,70119,504-322-2594,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.078348211519 29.951267900741),432099,"NOLA SUNDRY, LLC",NOLA SUNDRY,1450 POYDRAS ST,STE 120,NEW ORLEANS,LA,70112,504-667-6932,1101 - CONVENIENCE STORES
POINT (-90.113419520221 29.946207863374),431959,CIRCLE K STORES INC,CIRCLE K #4906,6229 S CLAIBORNE AVE,,NEW ORLEANS,LA,70125,504-861-9107,1101 - CONVENIENCE STORES
POINT (-90.07722986226 29.96725599215),431937,CAJUN ORLEANS LLC,CAJUN WILLS,2127 ORLEANS AVE,,NEW ORLEANS,LA,70116,504-821-6386,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.071234696353 29.938076735378),431997,"FAT BOY PANTRY LOUISIANA,LLC",FAT BOY PANTRY,1302 MAGAZINE ST,,NEW ORLEANS,LA,70130,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.118667263273 29.941047550523),431930,SODEXO MANAGEMENT INC,BRUFF STUFF,31 MCALISTER DR,,NEW ORLEANS,LA,70118,504-865-5293,1101 - CONVENIENCE STORES
POINT (-90.049790320384 29.972151382527),431927,BROTHERS FRANKLIN INC,BROTHERS FRANKLIN,2509 N VILLERE ST,,NEW ORLEANS,LA,70117,504-495-3342,1101 - CONVENIENCE STORES
POINT (-90.094156019576 29.925506605722),432120,"PRYTANIA MART,LLC",PRYTANIA MART,3636 PRYTANIA ST,,NEW ORLEANS,LA,70115,,1101 - CONVENIENCE STORES
POINT (-89.999912773961 29.911395962499),431886,ARAMIX INC.,A & J'S MART,5163 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70131,504-394-4410,1101 - CONVENIENCE STORES
POINT (-90.119367393437 29.968523422168),432104,ADAN FOOD INC,OLIVE FOOD MART,8841 OLIVE ST,,NEW ORLEANS,LA,70118,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.108248729479 29.935080936354),432187,"SUPERMACADO LAS ACACIAS, LLC",SUPERMERCADO LAS ACACIAS,4929 FRERET ST,,NEW ORLEANS,LA,70115,504-896-2251,1101 - CONVENIENCE STORES
POINT (-90.090395375508 29.958770739886),432024,"MILAND SEAFOOD, INC",INLAND SEAFOOD,2527 PERDIDO ST,,NEW ORLEANS,LA,70119,504-821-4500,0135 - FISH & SEAFOOD WHLSRS
POINT (-90.077627154369 29.980972783999),432009,GENTILLY FOOD MART INC,GENTILLY FOOD MART,1629 GENTILLY BLVD,,NEW ORLEANS,LA,70119,504-453-8407,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.084739222525 29.968093863639),432012,"TCL FAMILY,LLC",GOLDEN EXPRESS,400 N BROAD ST,,NEW ORLEANS,LA,70119,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.067265019659 29.958663918945),432203,"BAHU, INC",TOULOUSE HOUSE,605 DAUPHINE ST,,NEW ORLEANS,LA,70112,504-529-4270,1101 - CONVENIENCE STORES
POINT (-89.982184534371 30.02939555155),432200,THE LIQUOR STORE DEPOT LLC,THE LIQUOR STORE DEPOT,9301  LAKE FOREST BLVD,109,NEW ORLEANS,LA,70127,,"1110 - BEER, WINE & LIQUOR STORES"
POINT (-90.088427606981 29.984382736029),432129,"RC FOUNTAIN SERVICES OF LOUISIANA, INC.",RC FOUNTAIN SERVICES OF LOUISIANA,3443 ESPLANADE AVE,134,NEW ORLEANS,LA,70119,504-822-2250,"0138 - GROCERY & RELATED PRDCTS WHLSRS, OTH"
POINT (-90.090938483475 29.928187510743),432198,"THE FRESH MARKET, INC",THE FRESH MARKET,3338 ST CHARLES AVE,,NEW ORLEANS,LA,70118,336-217-4077,"1111 - SPECIALTY FOOD STORES, ALL OTHER"
POINT (-90.08288634294 29.971298506486),432109,ORLEANS CENTER MARKET LLC,ORLEANS CENTER MARKET,2707 ORLEANS AVE,,NEW ORLEANS,LA,70119,,1101 - CONVENIENCE STORES
POINT (-90.092276675018 29.939631140245),431946,"CENTRAL CITY GROCERY #3, INC.",CENTRAL CITY GROCERY #3,2611 WASHINGTON AVE,,NEW ORLEANS,LA,70113,,1101 - CONVENIENCE STORES
POINT (-90.065095800655 29.95085973894),432106,OMNI LLC,OMNI LLC,333 CANAL ST,STE 333,NEW ORLEANS,LA,70130,814-521-9012,1101 - CONVENIENCE STORES
POINT (-90.042646757267 29.967101679825),431943,"VU & SONS, LLC",CAPTAIN SAL'S SEAFOOD & CHICKEN,3168 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,,1104 - FISH & SEAFOOD MARKETS
POINT (-90.042379232761 29.967055551198),432218,"AWAMIRA, LLC",WAGNERS,3200 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,504-301-1548,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.019984547374 29.909550717787),431908,BEHRMAN CAJUN SEAFOOD   INC,BEHRMAN CAJUN SEAFOOD,4021 BEHRMAN HWY,C,NEW ORLEANS,LA,70114,504-813-3986,1104 - FISH & SEAFOOD MARKETS
