Borough,CouncilDist,Food_Scrap_Drop_Off_Site_Name,Hours_from,Hours_to,Latitude,Location,Longitude,NTAName,Notes,ObjectId,Operation_Day,Open_Months,Serviced_by,Website,boroCD,ct2010,point,zip_code,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
Manhattan,8,116th Street,10:30am,7:30am,40.79862,116th & Lexington Ave - NW Corner,-73.94162,East Harlem North,,1,Wednesday,Year Round,GrowNYC,https://www.grownyc.org/compost-go,111,182,POINT (-73.94161894 40.79862227999999),10029,12426,7,4,35,16
Manhattan,6,Central Park North (110th St),10:15am,7am,40.79824,"110th, St. Nicholas, & Malcolm X - NW Corner (Public Plaza)",-73.95246,Central Harlem South,,46,Wednesday,Year Round,GrowNYC,https://www.grownyc.org/compost-go,110,186,POINT (-73.95246182 40.79824299999999),10026,,18,4,36,18
Brooklyn,42,UCC Youth Farm,06:00 PM,09:00 AM,40.66491,613 New Lots Avenue,-73.88673,East New York,,238,Tuesdays,Year Round,East New York Farms!,https://ucceny.org/enyf/,305,2004,POINT (-73.88673 40.664909),11207,17214,45,2,25,47
Manhattan,8,Pleasant Village Community Garden,dusk,dawn,40.79662,342 Pleasant Ave.,-73.93159,East Harlem North,,192,Everyday,Year Round,Pleasant Village Community Garden,m.facebook.com/pleasantvillagecommunitygarden,111,3001,POINT (-73.931595 40.796619),10035,13093,7,4,35,16
Manhattan,9,Harlem Grown,3pm,11am,40.8138,118 W 134th St,-73.94282,Central Harlem North-Polo Grounds,,106,Sunday,Year Round,Harlem Grown,http://www.harlemgrown.org/,110,1000,POINT (-73.942816 40.81380399999999),10030,12427,18,4,36,20
Manhattan,9,Garden of Love,6pm,4pm,40.8044,302 West 116 Street,-73.95605,Central Harlem South,,95,Tuesday,Year Round,Garden of Love,,110,2000,POINT (-73.956048 40.804396),10026,12423,18,4,36,18
Staten Island,49,Compost Demonstration Site at Snug Harbor Cultural Center & Botanical Garden,Dusk,Dawn,40.64405,"Compost Demonstration Site at Snug Harbor Cultural Center & Botanical Garden
1000 Richmond Terrace",-74.10175,West New Brighton-New Brighton-St. George,,74,Everyday,Year Round,NYC Compost Project,http://snug-harbor.org/compost/,501,3005,POINT (-74.101757 40.644051999999995),10310,10369,4,1,13,74
Manhattan,3,"Commuter Composting at 23rd Street C/E (Closed Thursday, 7/4 - Independence Day)",11am,8am,40.74529,"West 23rd Street and 8th Avenue -SW Corner, New York, NY 10011",-73.99849,Hudson Yards-Chelsea-Flatiron-Union Square,,63,Tuesday,Year Round,NYC Compost Project,www.lesecologycenter.org,104,91,POINT (-73.99848787 40.74529306),10011,12074,12,4,10,6
Brooklyn,38,Red Hook Community Farm,01:00 PM,10:30 AM,40.67223,Otsego Street and Beard Street,-74.01101,Carroll Gardens-Columbia Street-Red Hook,,206,Saturdays,Year Round,NYC Compost Project,,306,53,POINT (-74.01100591 40.672226949999995),11231,13514,14,2,7,48
Manhattan,7,The Brotherhood/Sister Sol,7pm,11am,40.8243,512 West 143rd Street,-73.95,Hamilton Heights,,224,Wednesday,Year Round,The Brotherhood/Sister Sol,https://brotherhood-sistersol.org/,109,2001,POINT (-73.950001 40.824301),10031,12428,37,4,23,19
Brooklyn,34,Scholes Street Children's Garden,,,40.70848,"134 Scholes St, Brooklyn, NY 11206",-73.94431,East Williamsburg,,211,Saturdays,Year Round,Scholes Street Children's Garden,www.nyrp.org,301,2000,POINT (-73.944309 40.708478),11206,17213,36,2,30,56
Manhattan,7,The Brotherhood/Sister Sol,7pm,11am,40.8243,512 West 143rd Street,-73.95,Hamilton Heights,,223,Tuesday,Year Round,The Brotherhood/Sister Sol,https://brotherhood-sistersol.org/,109,2001,POINT (-73.950001 40.824301),10031,12428,37,4,23,19
Bronx,17,PSS - Andrew Jackson Senior Center,1pm,9am,40.82233,765 Courtlandt Avenue,-73.91826,Melrose South-Mott Haven North,,196,Monday,Year Round,PSS - Andrew Jackson Senior Center,https://www.grownyc.org/compost/locations,201,3000,POINT (-73.918258 40.82233099999999),10451,10929,49,5,43,23
Manhattan,1,Tribeca Greenmarket,1pm,8am,40.7163,"Greenwich Street at Chambers Street,New York,NY",-74.01096,Battery Park City-Lower Manhattan,,234,Wednesday,Year Round,"GrowNYC, NYC Dept of Sanitation & Community Partners",http://www.grownyc.org/compost/locations,101,21,POINT (-74.0109663 40.71630244),10007,11728,56,4,32,1
Manhattan,3,"Commuter Composting at 23rd Street C/E (Closed Thursday, 7/4 - Independence Day)",11am,8am,40.74529,"West 23rd Street and 8th Avenue -SW Corner, New York, NY 10011",-73.99849,Hudson Yards-Chelsea-Flatiron-Union Square,,64,Thursday,Year Round,NYC Compost Project,www.lesecologycenter.org,104,91,POINT (-73.99848787 40.74529306),10011,12074,12,4,10,6
Manhattan,3,Mathews-Palmer Park,9pm,7am,40.76139,437 W 45 St,-73.99274,Clinton,,138,Everyday,"Seasonal, June - November",NYC Parks,https://www.nycgovparks.org/parks/matthews-palmer-playground,104,6000,POINT (-73.992737 40.761394),10036,13094,12,4,10,10
Brooklyn,41,Iso Student Farm,12:00 PM,09:00 AM,40.66747,514 Rockaway Avenue,-73.91048,Brownsville,,123,Wednesdays,Seasonal,Isabahlia LOE Foundation,www.isabahlialoeinc.org,316,1005,POINT (-73.910481 40.66746400000001),11212,17614,55,2,17,46
Manhattan,2,CLOSED FOR SEASON: Peach Tree Garden,6pm,2pm,40.72168,236 East 2nd Street,-73.98202,Lower East Side,,52,Wednesday,"Seasonal, April-October",Peach Tree Garden,,103,1001,POINT (-73.98202 40.72167600000001),10009,11729,70,4,50,5
Manhattan,9,FACES NY at 116th,2pm,10am,40.80216,"114 West 116th, 10026",-73.95074,Central Harlem South,,91,Wednesday,Year Round,FACES NY,www.facesny.org,110,2000,POINT (-73.950743 40.802157),10026,12423,18,4,36,18
Manhattan,2,Commuter Composting at 1st Ave and 1st St.,11am,8am,40.72293,First Avenue between Houston and First Street (West Side),-73.98864,Chinatown,,59,Monday,Year Round,NYC Compost Project,www.lesecologycenter.org,103,3001,POINT (-73.98863937 40.72293373999999),10002,11723,70,4,32,2
Bronx,17,The Point CDC,6pm,10am,40.81822,940 Garrison Avenue,-73.89046,Hunts Point,,228,Monday,Year Round,The Point CDC,thepoint.org,202,2005,POINT (-73.890465 40.818220999999994),10474,12343,8,5,43,24
Queens,20,Queens Botanical Garden Public Food Scrap Drop-Off,"4:30 PM(Nov-Mar),06:00PM(Apr-Oct)",08:00 AM,40.75173,"Parking Garden at QBG
42-80 Crommelin Avenue, Flushing, NY 11355",-73.83,Flushing,,202,Sundays,Year Round,NYC Compost Project,https://queensbotanical.org,407,1004,POINT (-73.83000300000002 40.751732000000004),11355,14190,22,3,3,67
Manhattan,4,OPEN FOR SEASON: Bryant Park,2:30pm,12:30pm,40.75418,6th Avenue and 41st Sreet,-73.9846,Midtown-Midtown South,"For schedule, holiday, and inclement weather updates, please visit: http://bryantpark.org/programs/waste-sorting-concierge",155,Thursday,"Seasonal, May-November",Bryant Park Corporation,http://bryantpark.org/programs/waste-sorting-concierge,105,84,POINT (-73.98459514 40.75417679),10018,13094,11,4,51,8
Manhattan,9,Garden of Love,6pm,4pm,40.8044,302 West 116 Street,-73.95605,Central Harlem South,,96,Thursday,Year Round,Garden of Love,,110,2000,POINT (-73.956048 40.804396),10026,12423,18,4,36,18
Manhattan,3,Abingdon Square Greenmarket,1pm,8am,40.73755,"West 12 Street and 8 Avenue,New York,NY,10014",-74.00483,West Village,,20,Saturday,Year Round,GrowNYC,http://www.grownyc.org/compost/locations,102,77,POINT (-74.00482815 40.73754728),10014,12077,57,4,10,3
Brooklyn,40,Parkside,10:00 AM,07:30 AM,40.65488,"Ocean Ave & Parkside Ave, Brooklyn, NY 11226",-73.96188,park-cemetery-etc-Brooklyn,,191,Thursdays,Year Round,GrowNYC,https://www.grownyc.org/greenmarket/brooklyn/parkside,314,50803,POINT (-73.96188035 40.65488239),11226,13510,17,2,11,44
Brooklyn,42,OPEN FOR SEASON: Pink Houses Community Farm,12:00 PM,10:00 AM,40.66829,1257 Loring Avenue,-73.86444,East New York,,170,Tuesdays,"Seasonal Market, June-November",East New York Farms!,https://ucceny.org/enyf/,305,1000,POINT (-73.86444 40.668292),11208,17215,45,2,25,47
Queens,26,Sunny Compost,04:00 PM,02:00 PM,40.75005,"38-63-38-1 50th St, Woodside, NY 11377",-73.91376,Hunters Point-Sunnyside-West Maspeth,,219,Sundays,Year Round,Sunny Compost,www.sunnycompost.org,402,169,POINT (-73.91375400000001 40.750044),11104,16861,53,3,33,66
Manhattan,6,B'nai Jeshurun Community House,9pm,7am,40.79037,270 West 89th Street,-73.976,Upper West Side,,32,Tuesday,Year Round,B'nai Jeshrun,www.bj.org,107,4001,POINT (-73.975999 40.79037300000001),10024,12421,20,4,19,15
Manhattan,1,East River Park Compost Yard,Dusk,Dawn,40.71099,"East River Park Compost Park (coordinates: 40.711055, -73.978847)",-73.97903,Lower East Side,,84,Everyday,Year Round,NYC Compost Project,,103,202,POINT (-73.979029 40.71099399999999),10002,11723,70,4,50,4
Queens,25,Commuter Composting at Grand Ave Newtown M/R,09:30 AM,07:30 AM,40.73715,"86-55 Broadway, Queens, NY 11373",-73.87709,Elmhurst,,69,Mondays,Year Round,NYC Compost Project,https://queensbotanical.org/farmandcompost/,404,2004,POINT (-73.877092 40.73715000000001),11373,14784,66,3,5,68
Bronx,14,Bronx Cooperative Development Initiative,4pm,10am,40.86143,2431 Morris Ave,-73.90024,Fordham South,,37,Wednesday,Year Round,Commonwise Education/ Bronx Cooperative Development Initiative,commonwise.nyc,205,1000,POINT (-73.900235 40.86142600000001),10468,11606,6,5,29,29
Manhattan,7,Mobilization for Change Community Garden,dusk,dawn,40.79971,955 Columbus Ave,-73.96218,Morningside Heights,,142,Everyday,Year Round,Mobilization for Change Community Garden,,107,3001,POINT (-73.962184 40.79970399999999),10025,12422,20,4,23,15
Bronx,16,161st Street - Yankee Stadium,11:15am,7:30am,40.82781,"161st, River Ave - NE Corner",-73.92593,West Concourse,,10,Friday,Year Round,GrowNYC,https://www.grownyc.org/compost-go,204,63,POINT (-73.92592933 40.82781162),10451,10929,50,5,42,27
Bronx,17,Kelly Street Garden,2pm,10am,40.8201,924 Kelly Street,-73.89573,Longwood,,127,Saturday,"Seasonal, March-November",Kelly Street Garden,https://www.facebook.com/kellyst.garden/,202,2002,POINT (-73.895726 40.820101),10459,10937,8,5,43,24
Manhattan,10,OPEN FOR SEASON: Morris- Jumel Community Garden,5pm,12pm,40.83578,455-457 West 162nd Street,-73.93914,Washington Heights South,,164,Sunday,"Seasonal, April-October",Morris- Jumel Community Garden,https://morrisjumelcommunitygarden.wordpress.com/,112,2000,POINT (-73.939143 40.835777),10032,13090,47,4,39,21
Manhattan,9,Harlem Grown,5pm,9am,40.8138,118 W 134th St,-73.94282,Central Harlem North-Polo Grounds,,101,Tuesday,Year Round,Harlem Grown,http://www.harlemgrown.org/,110,1000,POINT (-73.942816 40.81380399999999),10030,12427,18,4,36,20
Bronx,15,OPENING JUNE 25: Poe Park Greenmarket,01:30 PM,08:00 AM,40.86422,"E. 192 St. btwn Grand Concourse and Valentine, Bronx, NY, 10468",-73.8958,Bedford Park-Fordham North,,187,Tuesdays,"Seasonal, June-November",GrowNYC,http://www.grownyc.org/compost/locations,207,39901,POINT (-73.89579453 40.86421609),10458,11606,24,5,29,34
Brooklyn,43,Bay Ridge Greenmarket,01:00 PM,08:00 AM,40.61728,"3rd Ave & 95th Street, Brooklyn, NY 11209",-74.03359,BK31,,27,Saturdays,"Seasonal Market, May - November",GrowNYC,http://www.grownyc.org/compost/locations,310,54,POINT (-74.03358849 40.61727746999999),11209,17216,10,2,44,41
Manhattan,3,Hudson River Park's Pier 76 at W. 34th St.,7pm,7am,40.75702,Pier 76 at 34th Street and 12th Ave in Hudson River Park's Compost Center,-74.00493,Hudson Yards-Chelsea-Flatiron-Union Square,,116,Everyday,Year Round,Hudson River Park Trust,https://www.hudsonriverpark.org/,104,99,POINT (-74.00492702 40.757021269999996),10001,12080,12,4,10,6
Brooklyn,37,OPEN FOR SEASON: Essex Community Garden,07:00 PM,05:00 PM,40.68026,3030 Fulton Street,-73.88298,East New York,,159,Wednesdays,Seasonal,Essex Community Garden,N/A,305,2003,POINT (-73.882984 40.680263),11208,17215,45,2,37,47
Manhattan,3,Hudson River Park's Pier 51 at Horatio St.,7pm,7am,40.73874,Pier 51 at Horatio St. near comfort station,-74.00961,West Village,,115,Everyday,Year Round,Hudson River Park Trust,https://www.hudsonriverpark.org/,102,79,POINT (-74.00960957 40.73873546),10014,12077,57,4,10,3
Manhattan,8,Lydia's Magic Garden,11:30am,9:30am,40.80008,"1665 Park Avenue, Manhattan 10035
between 117th and 118th Streets",-73.94221,East Harlem North,,132,Saturday,"Seasonal, April-October",GrowNYC,https://www.facebook.com/lydiasmagicgarden/,111,2001,POINT (-73.942206 40.800082999999994),10035,13093,7,4,35,16
Bronx,17,149th St - Grand Concourse,11:15am,7:15am,40.81856,"Grand Concourse, 149th Street - SE Corner",-73.92731,Mott Haven-Port Morris,,5,Friday,Year Round,GrowNYC,https://www.grownyc.org/compost-go,201,51,POINT (-73.92731613 40.818560059999996),10451,10929,50,5,43,27
Manhattan,9,William B. Washington Memorial Garden,6pm,3pm,40.8114,321 West 126th Street,-73.95152,Central Harlem North-Polo Grounds,,247,Wednesday,Year Round,William B. Washington Memorial Garden,,110,1002,POINT (-73.951517 40.81139799999998),10027,12424,18,4,36,18
Staten Island,51,OPEN FOR SEASON: Staten Island Mall Greenmarket,01:00 PM,08:00 AM,40.58381,"Staten Island Mall, Marsh Ave & Ring Rd, Staten Island, NY 10314",-74.16125,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,,174,Saturdays,Seasonal Market,GrowNYC,http://www.grownyc.org/compost/locations,502,27702,POINT (-74.16124483 40.58380348),10314,10700,30,1,9,75
Brooklyn,33,"Brooklyn Borough Hall Greenmarket (Closed Thursday, 7/4 - Independence Day)",02:00 PM,08:00 AM,40.69372,"Court St & Montague St, Brooklyn, NY 11201",-73.99046,Brooklyn Heights-Cobble Hill,,42,Thursdays,Year Round,GrowNYC,http://www.grownyc.org/compost/locations,302,9,POINT (-73.99045462 40.69372139),11201,16865,68,2,38,54
Brooklyn,35,"7 Ave B/Q (Closed Wednesday, 7/3 - Independence Day)",10:00 AM,08:00 AM,40.67745,Park Pl and Carlton Ave,-73.97235,Prospect Heights,,15,Wednesdays,Year Round,NYC Compost Project,,308,161,POINT (-73.97234787 40.67744746),11238,13829,16,2,48,50
Manhattan,2,Union Square Greenmarket,5pm,8am,40.73682,"E 17th St & Union Square E, New York, NY",-73.99004,Hudson Yards-Chelsea-Flatiron-Union Square,,242,Friday,Year Round,NYC Compost Project,http://www.grownyc.org/compost/locations,105,50,POINT (-73.990043 40.73682199999999),10003,11724,11,4,50,7
Bronx,11,OPENING JUNE 26: Bainbridge Avenue Community Garden,07:00 PM,04:00 PM,40.87093,"2980 Bainbridge Avenue, Bronx, NY 10458",-73.88398,Bedford Park-Fordham North,,188,Wednesdays,"Seasonal Market, June-November",Serviced/Managed by Volunteers from Bainbridge Avenue Community Garden,,207,3000,POINT (-73.883979 40.87092700000001),10458,10936,24,5,40,34
Manhattan,8,Lydia's Magic Garden,11:30am,9:30am,40.80008,"1665 Park Avenue, Manhattan 10035
between 117th and 118th Streets",-73.94221,East Harlem North,,131,Wednesday,"Seasonal, April-October",GrowNYC,https://www.facebook.com/lydiasmagicgarden/,111,2001,POINT (-73.942206 40.800082999999994),10035,13093,7,4,35,16
Manhattan,10,OPEN FOR SEASON: Morris- Jumel Community Garden,5pm,12pm,40.83578,455-457 West 162nd Street,-73.93914,Washington Heights South,,163,Saturday,"Seasonal, April-October",Morris- Jumel Community Garden,https://morrisjumelcommunitygarden.wordpress.com/,112,2000,POINT (-73.939143 40.835777),10032,13090,47,4,39,21
Manhattan,2,Christopher Street,11:00 AM,08:00 AM,40.73363,7th Avenue and Christopher St - SW Corner,-74.00278,West Village,,47,Tuesdays,Year Round,NYC Compost Project,www.lesecologycenter.org,102,73,POINT (-74.00278559 40.73363333),10014,12077,57,4,10,3
Brooklyn,46,Bay View Houses Farm,05:00 PM,09:00 AM,40.63334,5955 Shore Parkway,-73.88597,Canarsie,,28,Everyday,"Seasonal, June-November",East New York Farms!,https://ucceny.org/enyf/,318,1004,POINT (-73.885973 40.63333499999999),11236,13827,5,2,8,42
Staten Island,49,Olivet Heavenly Harvest,06:00 PM,04:00 PM,40.6302,"97 Myrtle Avenue, Staten Island, NY",-74.11597,New Brighton-Silver Lake,,146,Thursdays,"Seasonal, March-November",Olivet Presbyterian Church,www.olivetcares.org,501,4006,POINT (-74.115963 40.630199),10310,10697,4,1,13,74
Queens,26,Sunnyside Greenmarket,02:00 PM,08:00 AM,40.74689,"Skillman Ave at 43rd St,Queens,NY,11104",-73.9208,Hunters Point-Sunnyside-West Maspeth,,220,Saturdays,Year Round,NYC Compost Project,http://www.bigreuse.org/compost/drop-off-list/,402,171,POINT (-73.92079709 40.74689072999998),11104,16861,53,3,33,66
Brooklyn,34,Scholes Street Children's Garden,,,40.70848,"134 Scholes St, Brooklyn, NY 11206",-73.94431,East Williamsburg,,210,Thursdays,Year Round,Scholes Street Children's Garden,www.nyrp.org,301,2000,POINT (-73.944309 40.708478),11206,17213,36,2,30,56
Manhattan,9,FACES NY at 115th,2pm,10am,40.80194,"121 West 115th, 10026",-73.95099,Central Harlem South,,88,Monday,Year Round,FACES NY,www.facesny.org,110,2000,POINT (-73.950989 40.80193699999998),10026,12423,18,4,36,18
Manhattan,2,OPENING JULY 1: Green Oasis Garden,dusk,dawn,40.72421,"368 East 8 Street, NY 10009",-73.97742,Lower East Side,,178,Everyday,Year Round,Green Oasis Garden,http://greenoasisnyc.org/,103,1001,POINT (-73.977419 40.724203999999986),10009,11729,70,4,50,5
Queens,26,CLOSING JULY 8: Junkluggers,06:00 PM,10:00 AM,40.76557,"33-56 11th Street, Queens",-73.93752,Queensbridge-Ravenswood-Long Island City,,56,Tuesdays,Year Round,NYC Compost Project,,401,1001,POINT (-73.937525 40.76556599999999),11106,16863,39,3,33,72
Manhattan,8,The Herb Garden,dusk,dawn,40.79483,180 East 111th Street,-73.9431,East Harlem South,,227,Everyday,Year Round,The Herb Garden,,111,1003,POINT (-73.943099 40.794827),10029,12426,7,4,35,14
Manhattan,3,Hudson River Park's 14th Street Park at 10th Ave.,7pm,7am,40.74283,14th Street Park at southwest corner of 15th St. and 10th Ave,-74.0077,Hudson Yards-Chelsea-Flatiron-Union Square,,111,Everyday,Year Round,Hudson River Park Trust,https://www.hudsonriverpark.org/,104,83,POINT (-74.00769751 40.74283076999999),10011,12077,12,4,10,6
Brooklyn,39,East 4th Street Community Garden,06:00 PM,04:00 PM,40.64821,173 East 4th Street,-73.9771,Windsor Terrace,,83,Wednesdays,"Seasonal, April-October",East 4th Street Community Garden,,307,2004,POINT (-73.977095 40.64821399999999),11218,17620,9,2,27,45
Bronx,16,St. Augustine Food Pantry,5pm,11am,40.82907,1168 Franklin Ave,-73.90429,Morrisania-Melrose,,215,Monday,Year Round,St. Augustine Food Pantry,,203,2000,POINT (-73.904291 40.829067),10456,10934,34,5,42,25
Manhattan,4,OPEN FOR SEASON: Bryant Park,2:30pm,12:30pm,40.75418,6th Avenue and 41st Sreet,-73.9846,Midtown-Midtown South,"For schedule, holiday, and inclement weather updates, please visit: http://bryantpark.org/programs/waste-sorting-concierge",156,Friday,"Seasonal, May-November",Bryant Park Corporation,http://bryantpark.org/programs/waste-sorting-concierge,105,84,POINT (-73.98459514 40.75417679),10018,13094,11,4,51,8
Manhattan,7,97th Street Greenmarket,2pm,8am,40.79356,"97th St between Columbus & Amsterdam, Manhattan",-73.96702,Upper West Side,,19,Friday,Year Round,GrowNYC,http://www.grownyc.org/compost/locations,107,181,POINT (-73.96701599 40.79355734),10025,12422,20,4,23,15
Manhattan,2,CLOSED FOR SEASON: Carmen Pabon del Amanecer Community Garden,5pm,10am,40.72445,115 Avenue C,-73.97887,Lower East Side,,51,Sunday,Seasonal,Carmen Pabon del Amanecer Community Garden,,103,2001,POINT (-73.97887300000001 40.72445299999999),10009,11729,70,4,50,5
Manhattan,2,OPENING JULY 7: La Plaza Cultural Community Garden,5pm,10am,40.72541,674 East 9th Street,-73.97862,Lower East Side,Find instructions here for composting at La Plaza: https://drive.google.com/file/d/0BwYV2m0W1uasckhWd2ZZdTRzSVk/view?usp=sharing,183,Sunday,Seasonal,La Plaza Cultural Community Garden,laplazacultural.com,103,2000,POINT (-73.978623 40.725414),10009,11729,70,4,50,5
Queens,26,OPEN FOR SEASON: Brooklyn Grange,04:00 PM,10:00 AM,40.752,37-19 Northern Blvd Roof,-73.92532,Hunters Point-Sunnyside-West Maspeth,,151,Saturdays,Seasonal,Brooklyn Grange,www.brooklyngrangefarm.com,401,1005,POINT (-73.925322 40.752002),11101,16858,39,3,33,72
Queens,22,Astoria Library,08:00 PM,12:00 PM,40.77238,"14-01 Astoria Blvd, Astoria, NY 11102",-73.92874,Old Astoria,,24,Thursdays,Year Round,NYC Compost Project,"http://www.queenslibrary.org/branch/Astoria

http://www.bigreuse.org/compost/drop-off-list/",401,2001,POINT (-73.92874200000001 40.772375999999994),11102,16859,39,3,4,72
Queens,29,Forest Hills Greenmarket,02:00 PM,08:00 AM,40.72186,"South side of Queens Blvd at 70th Avenue, Queens",-73.84648,Forest Hills,,92,Sundays,Year Round,NYC Compost Project,http://www.bigreuse.org/compost/drop-off-list/,406,711,POINT (-73.84648 40.721855999999995),11375,14786,40,3,28,70
Brooklyn,42,UCC Youth Farm,06:00 PM,10:00 AM,40.66491,613 New Lots Avenue,-73.88673,East New York,,239,Fridays,Year Round,East New York Farms!,https://ucceny.org/enyf/,305,2004,POINT (-73.88673 40.664909),11207,17214,45,2,25,47
Manhattan,2,Commuter Composting at 1st Ave and 1st St.,11am,8am,40.72293,First Avenue between Houston and First Street (West Side),-73.98864,Chinatown,,60,Wednesday,Year Round,NYC Compost Project,www.lesecologycenter.org,103,3001,POINT (-73.98863937 40.72293373999999),10002,11723,70,4,32,2
Brooklyn,35,Prospect Heights Community Farm,12:00 PM,10:00 AM,40.67809,252 St. Marks Ave.,-73.96774,Prospect Heights,,195,Sundays,Year Round,Prospect Heights Community Farm,https://www.phcfarm.com/gardening-info/composting/,308,2002,POINT (-73.967744 40.67808899999999),11238,13829,16,2,48,49
Queens,22,Ditmars Blvd N/W Commuter Drop-Off,11:00 AM,08:00 AM,40.77476,"22-75 31st St, Astoria, NY 11102 (Closest approximation, there is no address for this stretch of sidewalk)",-73.91251,Steinway,,79,Tuesdays,Year Round,NYC Compost Project,,401,2003,POINT (-73.912504 40.77476),11105,16862,39,3,4,72
Queens,22,Hellgate Farm,08:00 PM,08:00 AM,40.76889,14-33 30th Drive,-73.92995,Old Astoria,,107,Wednesdays,Year Round,Hellgate Farm,https://www.hellgatefarm.com/,401,1004,POINT (-73.929944 40.768893),11102,16859,39,3,4,72
Brooklyn,33,McCarren Park Greenmarket,02:00 PM,08:00 AM,40.72045,"Union Ave at Driggs Ave,Brooklyn,NY,11222",-73.95271,North Side-South Side,,139,Saturdays,Year Round,GrowNYC,http://www.grownyc.org/compost/locations,301,515,POINT (-73.95270851 40.72045156000001),11211,17613,36,2,38,57
Queens,25,Jackson Heights Greenmarket,02:00 PM,08:00 AM,40.75343,34th Ave b/t 79th & 80th Sts,-73.88783,Jackson Heights,,124,Sundays,Year Round,NYC Compost Project,http://www.bignyc.org/drop-sites,403,285,POINT (-73.88782153 40.753434260000006),11372,14783,65,3,5,73
Queens,22,Astoria Library,06:00 PM,10:00 AM,40.77238,"14-01 Astoria Blvd, Astoria, NY 11102",-73.92874,Old Astoria,,23,Wednesdays,Year Round,NYC Compost Project,"http://www.queenslibrary.org/branch/Astoria

http://www.bigreuse.org/compost/drop-off-list/",401,2001,POINT (-73.92874200000001 40.772375999999994),11102,16859,39,3,4,72
