  Site,Date,Giardia / 50L,Cryptosporidium / 50L,Qualifiers
DEL18,02/14/2011,0,0,
DEL18,01/10/2011,5,0,
1CR21,06/08/2015,0,0,
CATLEFF,01/03/2011,2,1,
DEL18DT,02/06/2017,2,0,
DEL18DT,01/09/2017,0,0,
DEL18,08/06/2012,0,0,
CROGH,08/30/2010,0,0,
DEL18DT,11/13/2017,0,0,
DEL18DT,03/16/2015,1,0,
DEL18,05/31/2011,0,0,
DEL18DT,11/21/2016,2,0,
CROGH,08/13/2018,0,0,
CROGH,07/26/2010,0,0,
DEL18,02/06/2012,2,0,
CRO1B,08/08/2011,2,0,
DEL18DT,12/15/2014,0,0,The spike analysis was not within the control limits.
CRO1B,04/01/2013,0,0,Data recording error.
DEL18DT,01/28/2019,6,1,
1CR21,12/21/2016,2,0,
DEL18DT,01/07/2019,0,0,
DEL18DT,09/08/2015,0,0,
DEL18DT,03/25/2013,2,0,
CRO1T,01/30/2012,3,0,
1CR21,10/17/2016,Cancel,Cancel,
CATLEFF,03/01/2010,2,0,
DEL18DT,10/03/2016,0,0,Heat Dissociation
DEL18,08/02/2010,0,0,
CATLEFF,01/30/2012,2,0,Analysis omitted by error.  Analyist did not take temperature at this site.
DEL18DT,01/11/2016,1,0,
DEL18DT,12/26/2017,1,0,
1CR21,03/07/2016,0,0,
DEL18DT,08/15/2016,0,0,Heat Dissocation
1CR21,07/20/2015,0,0,
DEL18DT,07/25/2016,0,0,
DEL18DT,03/12/2018,2,0,
CROGH,06/21/2010,0,0,
DEL18DT,06/23/2014,0,0,
DEL18,08/13/2012,0,0,
DEL18,01/03/2011,3,0,
DEL18DT,01/30/2017,0,0,
CRO1B,04/02/2012,2,0,
DEL18DT,11/28/2016,0,0,
DEL18DT,11/14/2016,0,0,
CRO1B,07/16/2012,0,0,
CATLEFF,04/30/2012,1,0,
DEL18DT,05/28/2019,0,0,
CATLEFF,11/22/2010,2,0,
CROGH,05/13/2019,1,0,
DEL18DT,10/06/2014,0,0,
1CR21,08/10/2015,0,0,
CRO1B,05/31/2011,2,0,
CRO1B,06/13/2011,0,0,
DEL18,02/13/2012,1,0,
CATLEFF,08/30/2010,1,0,
CRO1B,06/18/2012,0,0,
DEL18DT,07/17/2017,0,0,
1CR21,08/17/2015,0,0,Temperature Data failed QC check against NIST thermometer during the annual NIST temperature check testing outside the 0.5° limit.
CRO1B,07/05/2011,4,0,
DEL18,10/04/2010,0,0,
CATLEFF,11/21/2011,1,0,
DEL18DT,06/17/2019,2,0,
CATLEFF,10/18/2010,0,0,
CATLEFF,06/18/2012,0,0,
DEL18,06/18/2012,0,0,
CATLEFF,12/27/2010,3,0,
DEL18DT,07/15/2013,0,0,
DEL18,10/18/2010,1,0,
CRO1B,06/25/2012,0,0,
DEL18DT,09/25/2017,0,0,
CATLEFF,02/28/2011,3,0,
DEL18,03/26/2012,0,0,
DEL18DT,12/05/2016,1,0,
DEL18,12/13/2010,3,0,
DEL18DT,03/21/2014,5,0,
DEL18DT,01/22/2018,2,0,
DEL18DT,12/10/2018,2,1,
CATLEFF,09/27/2011,Cancel,Cancel,Ship and storage temp failure.
DEL18,07/06/2010,0,0,
CATLEFF,02/14/2011,1,0,
DEL18,08/08/2011,1,0,
DEL18,07/05/2011,2,0,
DEL18DT,07/30/2018,2,0,
DEL18DT,09/03/2013,0,0,
DEL18DT,04/15/2019,3,0,
DEL18DT,12/24/2012,1,0,
DEL18DT,06/17/2013,1,0,
DEL18DT,06/19/2017,0,0,
DEL18DT,04/01/2013,0,0,
CROGH,09/13/2010,0,0,
CATLEFF,01/18/2011,1,0,
DEL18DT,03/24/2014,4,0,
DEL18DT,06/16/2014,0,0,
CROGH,12/01/2014,2,0,
DEL18DT,04/11/2016,0,0,
1CR21,11/16/2015,0,0,
CATLEFF,03/21/2011,4,0,
DEL18DT,07/27/2015,0,0,
DEL18DT,10/09/2018,3,0,
DEL18DT,10/22/2018,1,0,
CROGH,05/09/2016,0,0,
1CR21,06/29/2015,0,0,
DEL18DT,06/03/2013,1,0,
CATLEFF,06/28/2010,0,0,
1CR21,09/08/2015,0,0,
DEL18DT,12/31/2012,0,0,
CATLEFF,03/28/2011,4,0,
DEL18DT,06/20/2016,0,0,
DEL18DT,04/17/2017,0,0,
1CR21,02/29/2016,0,0,
DEL18DT,05/19/2014,0,0,
CATLEFF,08/13/2012,0,0,
DEL18DT,11/19/2018,3,0,
CATLEFF,01/03/2012,4,0,
DEL18DT,04/20/2015,0,0,
CROGH,08/09/2010,0,0,"The IR gun was out of calibration when the temps were taken. However, the IR gun is checked daily against a NIST calibrated thermometer and was in range."
CATLEFF,04/04/2011,3,0,The thermometer used for this reading was outside of its annual check. 08062009A expired on 3/31/2011
DEL18DT,01/14/2019,5,0,
CROGH,06/02/2014,4,0,
1CR21,02/01/2016,0,0,
DEL18DT,02/18/2014,1,0,
DEL18,08/22/2011,1,0,
DEL18DT,07/31/2017,0,0,
DEL18DT,03/11/2019,4,0,
CATLEFF,09/26/2011,Cancel,Cancel,Ship and storage temp failure.
DEL18,03/08/2010,1,0,
DEL18DT,11/12/2013,0,0,
CROGH,02/16/2016,0,0,
DEL18,02/27/2012,3,0,
CROGH,07/12/2010,1,0,
DEL18DT,03/02/2015,3,0,
DEL18DT,09/17/2012,0,0,
CATLEFF,05/31/2011,2,0,
CATLEFF,03/15/2010,0,0,
DEL18DT,12/14/2015,0,1,
CATLEFF,06/14/2010,1,0,
DEL18DT,06/04/2018,1,0,
DEL18DT,08/01/2016,0,1,
CRO1B,06/27/2011,2,0,
CATLEFF,07/25/2011,2,0,
DEL18DT,10/05/2015,0,0,
CATLEFF,09/14/2011,3,0,
DEL18DT,03/27/2017,2,0,
CATLEFF,03/26/2012,1,0,
DEL18DT,01/20/2015,1,0,
DEL18DT,12/04/2017,0,1,Expired reagent used.
1CR21,06/20/2016,1,0,
CRO1T,11/01/2010,1,0,
CRO1T,03/14/2011,7,0,
DEL18,03/28/2011,2,0,
CROGH,07/19/2010,0,0,
DEL18,05/10/2010,0,0,Elution buffer component-Laureth 12 stock- had expired on 5/8/10
DEL18DT,01/21/2014,2,1,
CATLEFF,02/22/2011,4,0,
DEL18DT,06/08/2015,0,0,
DEL18DT,03/19/2018,4,0,
CRO1B,11/05/2012,Cancel,Cancel,
1CR21,10/26/2015,0,0,
DEL18,04/30/2012,1,0,
CATLEFF,04/16/2012,0,0,
DEL18DT,09/06/2016,0,0,
1CR21,02/21/2017,0,0,
CRO1B,07/11/2011,0,0,
DEL18DT,09/22/2014,0,0,
DEL18DT,05/16/2016,3,0,
DEL18DT,07/02/2018,0,0,
CATLEFF,07/30/2012,0,0,
DEL18,06/11/2012,0,0,
CATLEFF,06/21/2010,0,0,
DEL18DT,08/20/2018,0,0,
DEL18,11/29/2010,1,0,
CATLEFF,12/12/2011,3,0,
CRO1B,10/11/2011,0,0,
CRO1T,10/25/2010,2,0,
CATLEFF,02/06/2012,4,0,
DEL18DT,05/31/2016,1,0,
DEL18DT,05/23/2016,1,0,
DEL18DT,05/21/2018,0,0,
1CR21,05/31/2016,1,0,
DEL18DT,02/11/2019,2,0,
CATLEFF,02/07/2011,1,0,
CATLEFF,07/12/2010,0,0,
CRO1B,10/17/2011,0,0,
DEL18DT,08/25/2014,0,0,
DEL18DT,03/23/2015,1,1,
1CR21,02/27/2017,1,0,
DEL18DT,08/26/2013,0,0,
DEL18DT,09/10/2012,0,0,
DEL18,12/19/2011,0,0,
CATLEFF,04/23/2012,0,0,
DEL18DT,02/19/2013,0,0,
DEL18DT,09/15/2014,0,0,
DEL18,06/07/2010,2,0,
1CR21,07/25/2016,0,0,
CRO1B,09/03/2013,0,0,
CRO1T,09/12/2016,0,0,
DEL18,05/17/2010,1,0,
CRO1T,10/11/2016,0,0,
DEL18DT,10/24/2016,0,0,This sample was not analyzed within the acceptable holding time.  YSI was forgotten and sent out later that day to retrieve temperature.  Only the continuous monitoring equipment was available during sampling.
DEL18DT,04/21/2014,Error,Error,Analytical procedure error.
DEL18DT,05/06/2013,0,0,
CATLEFF,09/12/2011,5,0,
1CR21,04/27/2015,Cancel,Cancel,
CRO1B,06/20/2011,2,0,
DEL18DT,08/31/2015,0,0,
DEL18DT,04/15/2013,0,0,
CRO1B,05/23/2011,1,0,
CATLEFF,11/28/2011,2,0,
DEL18,04/16/2012,1,0,
DEL18,04/12/2010,1,0,
DEL18DT,04/18/2016,0,0,
1CR21,03/21/2016,1,0,
DEL18DT,08/22/2016,0,0,
DEL18DT,09/23/2013,1,0,
CRO1B,12/05/2011,0,0,
CATLEFF,11/15/2010,1,0,
DEL18,03/05/2012,2,0,
CRO1B,04/30/2012,0,0,
DEL18DT,10/21/2013,1,0,
CATLEFF,05/07/2012,1,0,
DEL18,04/11/2011,1,0,The thermometer used for this reading was outside of its annual check. 08062009A expired on 3/31/2011
CROGH,05/17/2010,1,0,
DEL18DT,05/13/2013,0,0,Data calculation error.  Procedure calculating temperature using correction factor in LIMS was not followed.
CRO1B,05/09/2011,2,0,
CATLEFF,03/08/2010,4,0,
DEL18DT,03/21/2016,3,0,
DEL18,04/02/2012,1,0,
CRO1B,03/15/2010,0,0,
DEL18DT,08/15/2016,0,0,
CROGH,06/13/2016,0,0,
DEL18DT,06/25/2018,4,0,
CATLEFF,02/02/2011,2,0,
DEL18DT,03/14/2016,0,1,
DEL18DT,07/23/2018,2,0,
DEL18DT,05/28/2013,5,0,
1CR21,12/27/2016,1,0,
CRO1T,11/03/2014,1,0,
DEL18DT,07/16/2018,1,0,
DEL18DT,10/27/2014,1,0,
DEL18,05/21/2012,2,0,
DEL18DT,03/28/2016,0,0,
DEL18DT,12/07/2015,0,0,
DEL18DT,02/09/2015,1,1,
DEL18DT,11/05/2012,0,0,
CROGH,08/29/2011,0,0,
DEL18DT,10/14/2014,0,0,
DEL18,04/25/2011,3,0,
DEL18,05/23/2011,1,0,
DEL18DT,04/30/2018,0,0,
CROGH,04/07/2014,3,0,
DEL18,05/03/2010,1,0,
DEL18DT,11/24/2015,1,0,
DEL18DT,01/28/2013,2,0,
CATLEFF,05/21/2012,3,0,
DEL18DT,10/07/2013,2,0,
DEL18DT,12/11/2017,3,0,
DEL18,10/25/2010,1,0,
CRO1B,04/16/2012,1,0,
DEL18DT,06/11/2018,1,0,
DEL18DT,03/20/2017,2,0,Heat Dissociation
DEL18DT,02/07/2011,2,1,
DEL18,11/15/2010,2,0,
DEL18DT,04/27/2015,1,0,
DEL18DT,12/19/2016,0,0,The spike analysis was not within the control limits.
DEL18DT,09/10/2018,0,0,
DEL18,04/18/2011,3,0,The thermometer used for this reading was outside of its annual check. 08062009A expired on 3/31/2011
DEL18DT,12/30/2013,4,0,
1CR21,12/28/2015,0,0,
CATLEFF,09/10/2012,0,0,
CRO1T,12/06/2010,4,0,
DEL18,04/26/2010,0,0,
CATLEFF,11/07/2011,2,0,
CRO1B,02/27/2012,0,0,
DEL18DT,02/03/2014,3,1,
CRO1B,03/28/2011,4,0,
DEL18DT,09/14/2015,0,1,
1CR21,12/05/2016,0,0,
CRO1B,04/26/2010,1,1,
CROGH,02/11/2016,1,0,The spike analysis was not within the control limits.
DEL18,04/23/2012,2,0,
CRO1B,07/02/2012,0,0,
DEL18DT,04/23/2014,1,0,
CROGH,02/13/2017,0,0,
DEL18DT,04/10/2017,0,0,
CRO1B,07/25/2011,1,0,
DEL18,06/04/2012,2,0,
DEL18DT,04/22/2013,0,0,
DEL18,07/11/2011,0,0,
DEL18DT,01/16/2018,3,1,
DEL18DT,12/23/2013,2,0,
DEL18DT,02/10/2014,3,0,
DEL18DT,05/11/2015,0,0,
CATLEFF,06/11/2012,0,0,
DEL18DT,05/07/2018,0,0,
CRO1B,01/06/2014,0,0,"Dup not preformed correctly, Sample did not exhibit cooling during transport.  Sample was received to Kensico Lab with a temp blank reading 7.7 C. ."
DEL18DT,06/06/2016,1,0,
DEL18,03/21/2011,4,0,
DEL18DT,06/20/2016,2,0,Heat Dissociation
DEL18DT,08/27/2012,0,0,
DEL18DT,11/23/2015,Cancel,Cancel,Laboratory Accident.  Tube broken during processing.
CRO1B,08/15/2011,0,0,
1CR21,11/14/2016,0,0,
DEL18DT,10/17/2016,0,0,
DEL18,05/16/2011,2,0,
DEL18,03/14/2011,4,0,
CATLEFF,02/09/2011,3,0,
DEL18DT,08/08/2016,0,0,
CRO1B,06/03/2013,0,0,
DEL18DT,10/19/2015,0,0,
DEL18DT,05/18/2015,0,0,
1CR21,01/23/2017,0,2,
DEL18,04/19/2010,2,0,
DEL18,08/30/2010,Cancel,Cancel,
DEL18DT,06/22/2015,0,0,
DEL18DT,01/29/2018,3,0,
DEL18DT,08/04/2014,3,0,
DEL18,01/03/2012,Cancel,Cancel,
DEL18,06/01/2010,0,0,
CATLEFF,03/05/2012,1,0,
CRO1B,05/06/2013,0,0,
DEL18,09/07/2010,0,0,
DEL18,11/08/2010,0,0,
CRO1T,04/18/2011,5,0,
DEL18,04/09/2012,2,0,
DEL18DT,08/19/2013,0,0,
CATLEFF,01/10/2011,0,0,
1CR21,08/24/2015,0,0,
CATLEFF,06/25/2012,0,0,
CRO1B,03/04/2013,1,0,
DEL18DT,12/28/2015,1,1,
DEL18DT,02/03/2015,5,1,
DEL18DT,10/11/2016,0,0,
DEL18DT,12/19/2016,2,0,Heat Dissociation
DEL18DT,12/16/2013,5,0,
DEL18DT,01/20/2015,2,0,
CRO1B,04/09/2012,0,0,
1CR21,01/19/2016,0,0,
CATLEFF,04/09/2012,1,0,
CATLEFF,08/29/2011,0,0,
CATLEFF,08/15/2011,0,0,
CRO1B,04/25/2011,1,0,"This thermometer (#08062009A) was outside it anuual check, expired on 3/31/11."
DEL18DT,08/07/2017,2,0,
DEL18DT,10/23/2017,1,0,
1CR21,11/28/2016,0,1,
CRO1T,04/04/2011,5,0,Bucket apparatus was used seven times; cleaning is required after six uses.
CROGH,11/13/2018,0,0,
DEL18DT,11/13/2018,1,0,
DEL18DT,02/25/2019,7,0,
DEL18,01/18/2011,4,0,
DEL18,08/01/2011,2,0,
CRO1B,03/22/2010,3,1,
1CR21,04/04/2016,11,0,
CRO1T,07/07/2014,0,0,The spike analysis was not within the control limits.
DEL18DT,04/09/2018,1,0,
CROGH,08/08/2016,0,0,
DEL18,09/27/2010,0,1,
1CR21,08/08/2016,1,1,
DEL18DT,09/12/2016,0,0,
CRO1B,09/26/2011,0,0,
DEL18,09/16/2011,1,0,
CRO1B,05/02/2011,1,0,
DEL18DT,07/11/2016,1,0,
CATLEFF,06/01/2010,0,0,
DEL18DT,06/01/2015,0,0,
DEL18DT,12/31/2018,5,1,
CATLEFF,10/25/2010,2,0,
DEL18DT,09/21/2015,0,0,Temperature Data failed QC check against NIST thermometer during the annual NIST temperature check testing outside the 0.5° limit.
CATLEFF,09/04/2012,0,0,
DEL18DT,12/10/2012,1,0,
CROGH,08/23/2010,1,0,"The IR gun was out of calibration when the temps were taken. However, the IR gun is checked daily against a NIST calibrated thermometer and was in range."
CATLEFF,02/13/2012,2,0,
CRO1T,10/04/2010,0,0,
DEL18,01/31/2011,2,0,
DEL18,04/05/2010,2,0,
CATLEFF,08/27/2012,0,0,
DEL18DT,11/02/2015,0,0,
CRO1B,04/12/2010,2,0,
CROGH,06/14/2010,0,0,
1CR21,05/23/2016,0,0,
CATLEFF,08/01/2011,2,0,
CRO1B,04/23/2018,0,0,
DEL18DT,02/01/2016,1,0,
CATLEFF,06/27/2011,1,0,
DEL18,07/18/2011,1,0,
DEL18,06/21/2010,0,0,
CROGH,06/07/2010,1,0,
CATLEFF,10/31/2011,1,0,
DEL18,08/31/2011,0,0,
CATLEFF,03/07/2011,6,0,
DEL18DT,01/12/2015,8,0,
DEL18DT,05/12/2014,0,0,
1CR21,02/13/2017,0,0,
DEL18DT,01/26/2015,8,0,
DEL18DT,05/16/2016,2,0,Heat Dissociation
DEL18,02/28/2011,2,0,
1CR21,12/12/2016,0,0,
CATLEFF,03/19/2012,1,0,
CATLEFF,03/19/2012,1,0,
DEL18DT,03/13/2017,0,0,
DEL18DT,03/26/2018,6,1,
CATLEFF,11/29/2010,1,0,
DEL18DT,01/02/2018,1,0,
DEL18DT,01/14/2013,2,0,
CRO1B,07/23/2012,0,0,
1CR21,07/13/2015,0,0,
CATLEFF,04/02/2012,1,0,
CRO1T,10/06/2014,0,0,
CROGH,01/11/2016,0,0,
1CR21,02/08/2016,0,0,
DEL18DT,02/04/2019,4,0,
CATLEFF,04/11/2011,3,0,The thermometer used for this reading was outside of its annual check. 08062009A expired on 3/31/2011.
DEL18,08/16/2010,0,0,"The IR gun was out of calibration when the temps were taken. However, the IR gun is checked daily against a NIST calibrated thermometer and was in range."
CATLEFF,10/24/2011,1,0,
CRO1B,04/09/2018,2,0,
1CR21,12/21/2015,0,0,
CATLEFF,12/27/2011,4,0,
1CR21,01/30/2017,0,0,
CROGH,06/01/2015,0,0,
CATLEFF,05/16/2011,0,0,
1CR21,01/11/2016,0,1,
DEL18DT,09/24/2012,1,0,
CATLEFF,01/11/2011,3,0,
DEL18,03/12/2012,0,0,
1CR21,11/07/2016,0,0,The spike analysis was not within the control limits.
CATLEFF,09/20/2010,0,0,
CRO1T,03/07/2011,3,0,
1CR21,10/13/2015,0,0,
DEL18DT,03/20/2014,5,3,
DEL18DT,03/06/2017,1,1,
DEL18DT,09/14/2011,3,0,
DEL18DT,10/10/2017,0,0,
CATLEFF,07/02/2012,0,0,
DEL18DT,05/14/2018,1,0,
DEL18,12/27/2011,2,0,
DEL18DT,03/18/2019,0,0,
CRO1B,03/19/2018,2,0,
1CR21,10/31/2016,0,0,
CATLEFF,08/22/2011,1,0,
1CR21,09/28/2015,0,0,
DEL18DT,02/08/2016,4,0,
CROGH,09/20/2010,0,0,
DEL18DT,03/31/2014,1,0,
