taxRateKey,taxRateYearDate,taxRateDsc,taxRate,districtNbr
67,2008,2nd Rd N BID Residential Rate,0.144,CG
55,2007,2nd Rd N BID Residential Rate,0.147,CG
83,2009,2nd Rd N BID Residential Rate,0.148,CG
126,2012,2nd Rd N BID Residential Rate,0.149,CG
97,2010,2nd Rd N BID Residential Rate,0.153,CG
111,2011,2nd Rd N BID Residential Rate,0.159,CG
42,2006,2nd Rd N BID Residential Rate,0.223,CG
32,2005,2nd Rd N BID Residential Rate,0.265,CG
22,2004,2nd Rd N BID Residential Rate,0.375,CG
12,2003,2nd Rd N BID Residential Rate,0.478,CG
73,2008,Crystal City BID Commercial Rate,0.043,DC
87,2009,Crystal City BID Commercial Rate,0.043,DC
101,2010,Crystal City BID Commercial Rate,0.043,DC
116,2011,Crystal City BID Commercial Rate,0.043,DC
131,2012,Crystal City BID Commercial Rate,0.043,DC
146,2013,Crystal City BID Commercial Rate,0.043,DC
161,2014,Crystal City BID Commercial Rate,0.043,DC
176,2015,Crystal City BID Commercial Rate,0.043,DC
191,2016,Crystal City BID Commercial Rate,0.043,DC
206,2017,Crystal City BID Commercial Rate,0.043,DC
221,2018,Crystal City BID Commercial Rate,0.043,DC
236,2019,Crystal City BID Commercial Rate,0.043,DC
251,2020,Crystal City BID Commercial Rate,0.043,DC
48,2006,Crystal City BID Commercial Rate,0.045,DC
60,2007,Crystal City BID Commercial Rate,0.045,DC
74,2008,Crystal City BID Residential Rate,0.043,DG
88,2009,Crystal City BID Residential Rate,0.043,DG
102,2010,Crystal City BID Residential Rate,0.043,DG
117,2011,Crystal City BID Residential Rate,0.043,DG
132,2012,Crystal City BID Residential Rate,0.043,DG
147,2013,Crystal City BID Residential Rate,0.043,DG
162,2014,Crystal City BID Residential Rate,0.043,DG
177,2015,Crystal City BID Residential Rate,0.043,DG
192,2016,Crystal City BID Residential Rate,0.043,DG
207,2017,Crystal City BID Residential Rate,0.043,DG
252,2020,Crystal City BID Residential Rate,0.043,DG
222,2018,Crystal City BID Rsidential Rate,0.043,DG
237,2019,Crystal City BID Rsidential Rate,0.043,DG
49,2006,Crystal City BID Residential Rate,0.045,DG
61,2007,Crystal City BID Residential Rate,0.045,DG
253,2020,Crystal City Mixed Rate,0.043,DM
75,2008,Crystal City Mixed Use,0.043,DM
89,2009,Crystal City Mixed Use,0.043,DM
103,2010,Crystal City Mixed Use,0.043,DM
118,2011,Crystal City Mixed Use,0.043,DM
133,2012,Crystal City Mixed Use,0.043,DM
148,2013,Crystal City Mixed Use,0.043,DM
163,2014,Crystal City Mixed Use,0.043,DM
178,2015,Crystal City Mixed Use,0.043,DM
193,2016,Crystal City Mixed Use,0.043,DM
208,2017,Crystal City Mixed Use,0.043,DM
223,2018,Crystal City Mixed Use,0.043,DM
238,2019,Crystal City Mixed Use,0.043,DM
50,2006,Crystal City Mixed Use,0.045,DM
62,2007,Crystal City Mixed Use,0.045,DM
68,2008,Ballston BID Commercial Rate,0.045,FC
84,2009,Ballston BID Commercial Rate,0.045,FC
98,2010,Ballston BID Commercial Rate,0.045,FC
112,2011,Ballston BID Commercial Rate,0.045,FC
127,2012,Ballston BID Commercial Rate,0.045,FC
142,2013,Ballston BID Commercial Rate,0.045,FC
157,2014,Ballston BID Commercial Rate,0.045,FC
172,2015,Ballston BID Commercial Rate,0.045,FC
187,2016,Ballston BID Commercial Rate,0.045,FC
202,2017,Ballston BID Commercial Rate,0.045,FC
232,2019,Ballston BID Commercial Rate,0.045,FC
247,2020,Ballston BID Commercial Rate,0.045,FC
217,2018,Ballston BID Commercial Rate,0.053,FC
69,2008,Ballston BID Residential Rate,,FG
85,2009,Ballston BID Residential Rate,,FG
99,2010,Ballston BID Residential Rate,,FG
113,2011,Ballston BID Residential Rate,0.045,FG
128,2012,Ballston BID Residential Rate,0.045,FG
143,2013,Ballston BID Residential Rate,0.045,FG
158,2014,Ballston BID Residential Rate,0.045,FG
173,2015,Ballston BID Residential Rate,0.045,FG
188,2016,Ballston BID Residential Rate,0.045,FG
203,2017,Ballston BID Residential Rate,0.045,FG
233,2019,Ballston BID Residential Rate,0.045,FG
248,2020,Ballston BID Residential Rate,0.045,FG
218,2018,Ballston BID Residential Rate,0.053,FG
114,2011,Ballston Mixed Use,0.045,FM
129,2012,Ballston Mixed Use,0.045,FM
144,2013,Ballston Mixed Use,0.045,FM
159,2014,Ballston Mixed Use,0.045,FM
174,2015,Ballston Mixed Use,0.045,FM
189,2016,Ballston Mixed Use,0.045,FM
204,2017,Ballston Mixed Use,0.045,FM
234,2019,Ballston Mixed Use,0.045,FM
249,2020,Ballston Mixed Use,0.045,FM
219,2018,Ballston Mixed Use,0.053,FM
