the_geom,OBJECTID,BusinessName,Address,Suite,City,State,Zip,PhoneNumber,BusinessType,OwnerName,LocationX,LocationY
POINT (-90.058848299515 29.988513767501),1338454,WAFFLE HOUSE 1999,2940 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70122,504-947-4407,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"WAFFLE HOUSE, INC",3684288.43906,543557.021134
POINT (-90.064137986016 29.958865958587),1338097,PERE ANTOINE RESTAURANT,741 ROYAL ST,,NEW ORLEANS,LA,70116,504-581-4478,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"PERE ANTOINE, INC",3682733.41224,532757.377732
POINT (-90.058902201606 29.966529397877),1338387,THE RUBY SLIPPER CAFE,2001 BURGUNDY ST,,NEW ORLEANS,LA,70116,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"THE RUBY SLIPPER CAFE, LLC",3684360.29167,535562.48807
POINT (-89.896664517306 30.041179931667),1337643,DIAMOND DISCOUNT,15200 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70129,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"DIAMOND DISCOUNT,LLC",3735386.96071,563315.568288
POINT (-90.077170537715 29.929503507151),1337652,DISTRICT: DONUTS. SLIDERS. BREW,2209 MAGAZINE ST,,NEW ORLEANS,LA,70130,504-875-9090,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),STEPHEN CALI AARON VOGEL CHRIS,3678723.79714,522034.642874
POINT (-90.068778075165 29.955616406739),1337741,G W FINS,808 BIENVILLE ST,,NEW ORLEANS,LA,70112,5045813467,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),LFBP #1 LLC,3681277.20124,531559.476227
POINT (-90.066262057234 29.944508063638),1337608,COURTYARD BY MARRIOTT,300 JULIA ST,,NEW ORLEANS,LA,70130,504-522-1300,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),COURTYARD MANAGEMENT COR,3682118.57461,527528.878975
POINT (-90.065729264635 29.948295370012),1338207,RUTH'S CHRIS STEAK HOUSE,228 POYDRAS ST,"SUITE ""A""",NEW ORLEANS,LA,70130,504-587-7099,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"RCSH OPERATIONS, LLC",3682272.06844,528907.947328
POINT (-90.043309940788 30.002649327998),1338132,PONTILLY RIDGE COFFEE & BAKERY,4000 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70126,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),BETHEL COMMUNITY BAPTIST CHURCH,3689149.21225,548752.290835
POINT (-90.072187980123 29.950827784447),1337484,CAFE BON AMI,822 PERDIDO ST,STE #E,NEW ORLEANS,LA,70112,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"CAFE BON AMI,LLC",3680216.60872,529806.256705
POINT (-90.076989294557 29.951922709288),1338037,NEYOW'S CREOLE CAFE,3332-30 BIENVILLE AVE,,NEW ORLEANS,LA,70119,504-822-4529,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"NEYOW'S CREOLE CAFE, LLC",3678691.8167,530187.70942
POINT (-90.066265825827 29.943192763607),1338254,SPRINGHILL SUITES BY MARRIOTT-[REST],301 ST JOSEPH ST,STE:A,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),SPRINGHILL SMC LLC,3682122.67036,527050.575294
POINT (-90.077093853264 29.977755050269),1338030,NEW ORLEANS FAMOUS HOT DOGS,1501 N BROAD ST,,NEW ORLEANS,LA,70122,504-416-7273,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),KIYAH'S INC,3678555.72002,539580.956234
POINT (-90.104008501902 30.003965862633),1338394,THE STEAK KNIFE RESTAURANT,888 HARRISON AVE,,NEW ORLEANS,LA,70124,504-488-8981,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),STEAK KNIFE INC,3669932.72058,549019.836627
POINT (-90.042881291894 29.962398128483),1337448,BRATZ Y'ALL!,617 PIETY ST,B,NEW ORLEANS,LA,70117,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),BRATZ Y'ALL BISTRO BAKERY & BIERGARTEN LLC,3689449.72239,534116.980613
POINT (-90.076989294557 29.951922709288),1338140,POSEIDON,2100 SAINT CHARLES AVE,SUITE #1,NEW ORLEANS,LA,70115,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),OYSTER SUSHI BAR LLC,3678691.8167,530187.70942
POINT (-90.058289532131 29.961123521812),1337911,LOUISIANA PIZZA KITCHEN,95 FRENCH MARKET PL,,NEW ORLEANS,LA,70116,504-362-3812,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),FRENCH MARKET PIZZA INC,3684576.1485,533598.870021
POINT (-90.06931294818 29.924875380066),1337957,MCDONALDS,1901 TCHOUPITOULAS ST,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"CLB INVESTMENTS, LLC",3681231.14696,520379.060984
POINT (-90.098778084744 29.920903754452),1338211,SAFFRON NOLA,4128 MAGAZINE ST,,NEW ORLEANS,LA,70115,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"ASHWIN, INC.",3671913.58356,518833.076471
POINT (-90.0598623993 30.012956727767),1337762,GOOD TIME SUSHI,5315 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70122,504-265-0721,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),GOOD TIME SUSHI LLC,3683868.64252,552441.863062
POINT (-90.076422297933 29.986284250503),1337527,"CATTY SHACK ROADHOUSE TEX-MEX, LLC",1839 GENTILLY BLVD,,NEW ORLEANS,LA,70119,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),SMITH CATHERINE J,3678734.3012,542684.833037
POINT (-90.072842234853 29.950295825755),1337883,LE PAVILLON HOTEL  RESTAURANT,833 POYDRAS ST,,NEW ORLEANS,LA,70112,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"REMINGTON LODGING & HOSPITALITY,LLC",3680011.55458,529610.537345
POINT (-90.076989294557 29.951922709288),1337381,AT THE AVENUE,1416-18 S CLAIBORNE AVE,,NEW ORLEANS,LA,70125,504-676-8480,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"AT THE AVENUE, INC",3678691.8167,530187.70942
POINT (-90.076989294557 29.951922709288),1338110,PIECE OF MEAT,3301 BIENVILLE ST,,NEW ORLEANS,LA,70119,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),BAYOU MEAT MARKET LLC,3678691.8167,530187.70942
POINT (-90.076989294557 29.951922709288),1337977,"MESSINA LAKEFRONT AIRPORT,LLC",6001 STARS AND STRIPES BLVD,,NEW ORLEANS,LA,70126,504-469-7373,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),MESSINA II GEORGE,3678691.8167,530187.70942
POINT (-90.095978717313 29.973037864855),1337850,KATIE'S RESTAURANT & BAR,3701 IBERVILLE ST,,NEW ORLEANS,LA,70119,504-488-6582,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),SCOTTIES CREOLE COOKING & CATERING LLC,3672595.6036,537800.55092
POINT (-90.064068682003 29.960296644994),1337584,CLOVER GRILL,900 BOURBON ST,,NEW ORLEANS,LA,70116,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"WOOD, THOMAS G",3682749.594,533277.8713
POINT (-90.076989294557 29.951922709288),1338001,MOON WOK,800 DAUPHINE ST,,NEW ORLEANS,LA,70116,504-523-6910,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"Q & T PROPERTIES LA, LLC",3678691.8167,530187.70942
POINT (-90.071976473403 29.958164105246),1337392,BACKATOWN,301 BASIN ST,1,NEW ORLEANS,LA,70112,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),TREME CAFE LLC,3680254.21909,532474.75066
POINT (-90.066144956791 29.96279578616),1337967,MEAUXBAR,942 N RAMPART ST,,NEW ORLEANS,LA,70116,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"MEAUXBAR HOLDINGS ,LLC",3682082.11516,534179.374981
POINT (-90.076989294557 29.951922709288),1338392,THE SPOT CAFE,6209 FRANKLIN AVE,,NEW ORLEANS,LA,70122,504-452-0203,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),THE WING SPOT LLC,3678691.8167,530187.70942
POINT (-90.071257491954 29.981549292886),1337472,BUTTERMILK DROP BAKERY,1783 N DORGENOIS ST,,NEW ORLEANS,LA,70119,504-931-1923,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"BUTTERMILK DROP BAKERY & CAFE, LLC",3680388.21749,540980.991947
POINT (-90.123568057604 29.941215470893),1337438,BOOT PIZZA AND GRILL,1039 BROADWAY ST,,NEW ORLEANS,LA,70118,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"NC AND AC ENTERPRISES OF NEW ORLEANS, LLC",3663983.01044,526135.42227
POINT (-90.060363803741 29.997756346003),1337965,MCKENZIES CHICKEN IN A BOX,3839 FRENCHMEN ST,R,NEW ORLEANS,LA,70122,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"MCKENIE'S CHICKEN IN A BOX,LLC",3683771.36962,546912.645713
POINT (-90.068106436392 29.957383930982),1337406,BAYONA,430 DAUPHINE ST,,NEW ORLEANS,LA,70112,504-568-9591,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),BAYONA CORPORATION,3681482.78082,532204.560835
POINT (-90.112911311079 29.94675755798),1337709,FELIPE'S TAQUERIA,6215 S MIRO ST,,NEW ORLEANS,LA,70125,504-866-1852,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),FELIPE'S LOUISIANA LLC,3667336.54343,528186.524032
POINT (-90.098359506987 29.977359377276),1337708,FELIPE'S TAQUERIA,411 N CARROLLTON AVE,STE:1,NEW ORLEANS,LA,70119,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),FELIPE'S LOUISIANA LLC,3671824.91086,539363.888906
POINT (-90.032658202496 29.961494882527),1337820,JACK DEMPSEY'S RESTAURANT,738 POLAND AVE,,NEW ORLEANS,LA,70117,504-943-9914,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),BAIAMONTE LLC,3692690.39683,533825.127365
POINT (-90.108588204166 29.98469237326),1338198,ROSEDALE,801 ROSEDALE DR,,NEW ORLEANS,LA,70124,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),SPICER ROSEDALE INC,3668558.15226,541995.698764
POINT (-90.050709488621 29.963563176742),1337397,BAO & NOODLE,2700 CHARTRES ST,,NEW ORLEANS,LA,70117,504-272-0004,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),B&N RESTAURANT LLC,3686966.32866,534512.804933
POINT (-90.08423672299 29.928836707661),1337591,COMMANDERS PALACE INC,1403 WASHINGTON AVE,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),COMMANDERS PALACE INC,3676488.32053,521767.703226
POINT (-90.055013046225 29.968575566183),1337375,ARABELLA CASA DI PASTA,2258 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,504-267-6108,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),PIERLAS RESTAURANT GROUP LLC,3685583.36911,536320.266951
POINT (-90.020639725897 29.925316567452),1337558,CHINA HOUSE,3600 MACARTHUR BLVD,G,NEW ORLEANS,LA,70114,504-368-5520,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"CHINA HOUSE FOOD COMPANY, LLC",3696646.56311,520712.840249
POINT (-90.105455109701 29.983242041988),1337468,BURGER KING #6406,512 CITY PARK AVE,,NEW ORLEANS,LA,70119,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"GPS HOSPITALITY PARTNERS IV, LLC",3669555.62324,541478.915852
POINT (-90.051969783282 29.964942085969),1338228,SCHIRO'S SUPER FOOD STORE INC,2483 ROYAL ST,,NEW ORLEANS,LA,70117,504-945-4425,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),SCHIRO'S SUPER FOOD STORE INC,3686561.67721,535009.762054
POINT (-90.069782676981 29.955785111051),1337854,KILLER POBOYS NO 1,219 DAUPHINE ST,,NEW ORLEANS,LA,70112,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"KILLER PARTNERS, LLC",3680958.41416,531617.313987
POINT (-90.073956104354 29.95011861527),1337839,JOHNNY SANCHEZ,930 POYDRAS ST,UNIT B,NEW ORLEANS,LA,70112,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"JOHNNY SANCHEZ, LLC",3679659.53346,529542.218497
POINT (-90.134167597312 29.945106761984),1337400,BARCELONA TAPAS,720 DUBLIN ST,,NEW ORLEANS,LA,70118,504-861-4227,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"CAFE VOLAGE, INC",3660611.31821,527515.158911
POINT (-90.040001362363 29.93042416988),1338274,"STEAKMANS CORNER ,LLC",1723 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70114,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"STEAKMANS CORNER ,LLC",3690492.83241,522500.40025
POINT (-90.076989294557 29.951922709288),1338033,NEW ORLEANS HAMBURGER & SEAFOOD COMPANY,4141 SAINT CHARLES AVE,,NEW ORLEANS,LA,70115,504-837-3382,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"NOHSC UPTOWN #1, LLC.",3678691.8167,530187.70942
POINT (-90.069484006451 29.954207043671),1337859,KRYSTAL ON BOURBON,116 BOURBON ST,,NEW ORLEANS,LA,70130,504-523-4030,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"BIG EASY ENTERPRISES, LLC",3681059.31861,531044.51373
POINT (-90.011328030496 29.919653313113),1338322,TACO BELL #34450,4300 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70131,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"SOUTHEAST RESTAURANT GROUP-TB, LLC",3699619.78263,518687.402615
POINT (-90.076989294557 29.951922709288),1338329,TASTEE # 77,901-903 HARRISON AVE,,NEW ORLEANS,LA,70124,504-737-1808,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"TASTEE #38, LLC.",3678691.8167,530187.70942
POINT (-90.112998773662 29.947429826046),1338433,UPTOWN BURGER,3151 CALHOUN ST,,NEW ORLEANS,LA,70125,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"3MMM, LLC",3667306.24212,528430.691264
POINT (-90.117772119432 29.962392186959),1337402,BARROW'S CATFISH,8300 EARHART BLVD,STE. # 103,NEW ORLEANS,LA,70118,(504)881-6306,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),BARROW'S CATFISH LLC,3665736.89562,533855.513669
POINT (-90.085262571429 29.963682228409),1338455,WAFFLE HOUSE INC #2196,2500 CANAL ST,,NEW ORLEANS,LA,70119,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),WAFFLE HOUSE INC,3676025.37813,534435.280837
POINT (-90.13069134041 29.948247683366),1337675,DTB SOCIAL HOUSE,8201 OAK ST,STE:100,NEW ORLEANS,LA,70118,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),DTB SOCIAL HOUSE LLC,3661700.22144,528668.85696
POINT (-90.128559465481 29.941228086103),1337856,KINDRED,7537 MAPLE ST,,NEW ORLEANS,LA,70118,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),THREE CHICKS CAFE LLC,3662402.17952,526123.354366
POINT (-90.094589004416 29.966012848953),1338115,PIZZA DOMENICA,3200 BANKS ST,,NEW ORLEANS,LA,70119,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),PIZZA DOMENICA MID-CITY LLC,3673063.20206,535250.738886
POINT (-90.052180861804 29.969441192907),1337413,BAYOU SECRET/MAYHAW,2381 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"BAYOU SECRET, LLC",3686476.55273,536645.055751
POINT (-90.072177994317 29.989356637289),1338137,POPEYES FAMOUS FRIED CHICKEN  #2383,2000 GENTILLY BLVD,,NEW ORLEANS,LA,70119,99053396010,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),AMERICA'S FAVORITE CHICK,3680065.56527,543816.834382
POINT (-90.068918223701 29.950374171062),1337831,JIMBEAUX'S BAR & GRILL,326 CAMP ST,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"JIMBEAUX'S BAR & GRILL,LLC",3681253.85813,529652.717377
POINT (-90.012349692677 29.920726751194),1337716,FIREHOUSE SUBS,4150 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70131,504-912-8966,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"SOUTHERN SUBS, LLC",3699291.65501,519074.007799
POINT (-90.09428843197 29.926995087918),1338306,SUPERIOR GRILL,3636 ST CHARLES AVE,,NEW ORLEANS,LA,70115,504-899-4200,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),SUPERIOR BAR & GRILL INC,3673311.79393,521063.456377
POINT (-89.912066147199 30.039183783686),1338332,TAY DO CAFE,14401 PELTIER DR,SUITE HM,NEW ORLEANS,LA,70129,504-254-0008,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),KIM NGUYEN,3730523.24979,562528.929952
POINT (-90.10084163758 29.973791584912),1337843,JUANS FLYING BURRITO,4724 S CARROLLTON AVE,,NEW ORLEANS,LA,70119,504-569-0000,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),JUANS FLYING BURRITO LLC,3671053.05991,538058.039753
POINT (-90.074991157744 29.953550921348),1338483,WILLIE MAE'S AT THE MARKET,234 LOYOLA AVE,,NEW ORLEANS,LA,70112,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"WILLIE MAE'S AT THE MARKET,LLC",3679318.05544,530786.730434
POINT (-90.057863419256 29.963443391344),1337733,FRENCHMAN PRALINE,542 FRENCHMEN ST,,NEW ORLEANS,LA,70116,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"FRENCHMAN PRALINE, LLC.",3684701.68066,534443.961733
POINT (-90.133947699636 29.944369575093),1338096,PEPPERONI'S CAFE,8123 HAMPSON ST,,NEW ORLEANS,LA,70118,504-862-6326,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),ESCOHYDE INC,3660683.7632,527247.818559
POINT (-90.066377797925 29.950859328243),1338043,NOLA EXPERIENCE GROUP,109 TCHOUPITOULAS ST,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),NOLA EXPERIENCE GROUP LLC,3682056.38396,529838.024193
POINT (-90.071911281066 29.935813646529),1338308,SURREY'S CAFE AND JUICE BAR,1418 MAGAZINE ST,,NEW ORLEANS,LA,70130,504-524-3828,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),SURREY'S LGD LLC,3680364.33461,524347.535356
POINT (-90.076989294557 29.951922709288),1337920,LULA RESTAURANT DISTILLERY,1532 SAINT CHARLES AVE,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"LULA HOLDINGS, LLC",3678691.8167,530187.70942
POINT (-90.088753150506 29.945576764516),1337802,HYSTER'S BARBQUE,2000 S CLAIBORNE AVE,,NEW ORLEANS,LA,70125,504-522-3028,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),MRS. HYSTER'S BARBEQUE I,3674991.67361,527839.434367
POINT (-90.051027304691 29.965703269776),1338355,THE FRANKLIN,2600 DAUPHINE ST,,NEW ORLEANS,LA,70117,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),THE FRANKLIN RESTAURANT LLC,3686856.99055,535289.894918
POINT (-90.04179032971 29.962072302122),1338114,PIZZA DELICIOUS,617 DESIRE ST,,NEW ORLEANS,LA,70117,917-952-1921,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),2309 JEFF LLC,3689796.49046,534002.390469
POINT (-90.003198928695 29.932350162935),1337567,CHUBBIE FRIED CHICKEN,4850 GENERAL MEYER AVE,B,NEW ORLEANS,LA,70131,504.884.3624,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"MIRE, GARY L",3702141.20644,523334.196987
POINT (-90.113388312174 30.026211182543),1337876,LANDRY'S SEAFOOD HOUSE,8000 LAKESHORE DR,,NEW ORLEANS,LA,70124,713-850-1010,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"LANDRY'S SEAFOOD HOUSE - NEW ORLEANS, INC",3666877.87514,557077.430426
POINT (-90.099218798442 29.975434311456),1338328,TAQUERIA GUERRERO MEXICO,208 N CARROLLTON AVE,,NEW ORLEANS,LA,70119,504-484-6959,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"TAQUERIA GUERRERO MEXICO, INC.",3671560.41127,538660.928969
POINT (-90.026274160881 30.031961909501),1338253,SOUTHSHORE GRILL,7929 DOWNMAN RD,,NEW ORLEANS,LA,70126,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"CHARLIE MOSER, INC",3694419.49942,559472.581853
POINT (-90.092588052832 29.927587345906),1338351,THE DELACHAISE,3442 ST CHARLES AVE,,NEW ORLEANS,LA,70115,504-236-7476,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"FOUR BLIND MICE, LLC",3673848.0482,521284.650553
POINT (-90.108400163452 29.924482760708),1338090,PARRAN'S PO-BOYS,4920 PRYTANIA ST,,NEW ORLEANS,LA,70115,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"VINTER,INC",3668851.73678,520101.823096
POINT (-90.06724717005 29.95673192658),1338111,PIER 424 SEAFOOD MARKET RESTAURANT,424 BOURBON ST,,NEW ORLEANS,LA,70130,504-250-1780,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),426 BOURBON LLC,3681757.48533,531970.473475
POINT (-90.13110251376 29.943289602512),1338227,SATSUMA CAFE,7901 MAPLE ST,,NEW ORLEANS,LA,70118,504-340-5962,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"SATSUMA MAPLE,LLC",3661588.92819,526864.541374
POINT (-90.076989294557 29.951922709288),1337773,HAIFA RESTAURANT,4740 CANAL STREET,,NEW ORLEANS,LA,70119,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),HAIFA RESTAURANT NOLA LLC,3678691.8167,530187.70942
POINT (-90.080633932401 29.973634821649),1338312,SWEET SOULFOOD,1025 N BROAD ST,,NEW ORLEANS,LA,70119,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"SWEET SOULFOOD,INC",3677451.36942,538070.413833
POINT (-90.098579062403 29.940210808062),1337561,CHINA WALL,3700 S CLAIBORNE AVE,,NEW ORLEANS,LA,70125,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),ZHENG LI LLC,3671900.97121,525854.507709
POINT (-90.129648450814 29.941840009729),1338270,STARBUCKS COFFEE #6285,7700 MAPLE ST,,NEW ORLEANS,LA,70118,206-447-1575,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),STARBUCKS CORPORATION,3662054.95949,526342.248702
POINT (-90.097690308937 29.940568852228),1337554,CHICKEN AND WATERMELON,3400 S CLAIBORNE AVE,STE:C,NEW ORLEANS,LA,70125,504-554-0914,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),RONN WOODS,3672181.03835,525987.740285
POINT (-90.108498233249 30.005022626404),1337873,LAKEVIEW PEARL,6300 CANAL BLVD,STE A,NEW ORLEANS,LA,70124,504-810-8270,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"LAKEVIEW PEARL, LLC",3668507.6082,549388.901651
POINT (-90.070314950856 29.965630408797),1337817,J C FOOD MARKET,1532 ST PHILIP ST,,NEW ORLEANS,LA,70116,504-221-8270,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),LABAN FOOD INC,3680750.40571,535195.571654
